Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-16,@,Savannah State,L,57.0,59.0,19.0,44.0,0.432,4.0,14.0,0.286,15.0,26.0,0.577,6.0,35.0,10.0,10.0,1.0,23.0,25.0,,19.0,50.0,0.38,5.0,13.0,0.385,16.0,27.0,0.593,6.0,27.0,8.0,9.0,3.0,17.0,23.0,,-2.0,0,1,58.0,0,1,0,-1,71.22222222222223,,71.62348709214065,,65.33333333333333,,69.0,,75.62962962962963,,76.34478316554511,,75.33333333333333,,79.0,,6.925925925925926,,6.9985512799779945,,5.333333333333333,,6.0,,6.851851851851852,,7.291293513942475,,8.666666666666666,,6.0,,0.4350740740740743,,0.4370958438686687,,0.3870000000000003,,0.3999999999999999,,0.4778518518518519,,0.4879980785829245,,0.5086666666666669,,0.529,,73.42592592592592,,73.9841351288429,,70.33333333333333,,74.0,,0.0,,0.0507286957206832,,0.6666666666666666,,0.0,,,,,,,,,,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-11-21,,Morgan State,L,54.0,59.0,19.0,56.0,0.339,4.0,20.0,0.2,12.0,23.0,0.522,7.0,30.0,9.0,12.0,2.0,10.0,22.0,,20.0,47.0,0.426,6.0,13.0,0.462,13.0,22.0,0.591,6.0,40.0,15.0,4.0,3.0,16.0,20.0,5.0,-5.0,0,2,56.5,1,0,0,1,71.22222222222223,57.0,71.62348709214065,57.0,65.33333333333333,,69.0,57.0,75.62962962962963,59.0,76.34478316554511,59.0,75.33333333333333,,79.0,59.0,6.925925925925926,-0.10299804631441489,6.9985512799779945,-0.10299804631441489,5.333333333333333,,6.0,-0.10299804631441489,6.851851851851852,-0.059287073968295356,7.291293513942475,-0.059287073968295356,8.666666666666666,,6.0,-0.059287073968295356,0.4350740740740743,0.432,0.4370958438686687,0.432,0.3870000000000003,,0.3999999999999999,0.432,0.4778518518518519,0.38,0.4879980785829245,0.38,0.5086666666666669,,0.529,0.38,73.42592592592592,58.0,73.9841351288429,58.0,70.33333333333333,,74.0,58.0,0.0,2.0,0.0507286957206832,2.0,0.6666666666666666,,0.0,2.0,-2.0,-2.0,,-2.0,-0.034482758620689655,-0.034482758620689655,,-0.034482758620689655,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-11-24,@,SIU-Edwardsville,W,77.0,74.0,27.0,52.0,0.519,7.0,19.0,0.368,16.0,25.0,0.64,1.0,22.0,11.0,6.0,0.0,8.0,21.0,,28.0,65.0,0.431,4.0,16.0,0.25,14.0,23.0,0.609,15.0,41.0,10.0,4.0,3.0,13.0,24.0,3.0,3.0,1,3,75.5,0,1,0,-1,71.22222222222223,55.5,71.62348709214065,55.44444444444444,65.33333333333333,,69.0,54.0,75.62962962962963,59.0,76.34478316554511,59.0,75.33333333333333,,79.0,59.0,6.925925925925926,-0.09730814588767234,6.9985512799779945,-0.09709149637242565,5.333333333333333,,6.0,-0.09130213988166636,6.851851851851852,-0.033863345154736046,7.291293513942475,-0.032921725569048654,8.666666666666666,,6.0,-0.008439616341176681,0.4350740740740743,0.3855,0.4370958438686687,0.38377777777777783,0.3870000000000003,,0.3999999999999999,0.339,0.4778518518518519,0.403,0.4879980785829245,0.40385185185185185,0.5086666666666669,,0.529,0.42600000000000005,73.42592592592592,57.25,73.9841351288429,57.22222222222222,70.33333333333333,,74.0,56.5,0.0,0.0,0.0507286957206832,0.0041152263374485566,0.6666666666666666,,0.0,3.0,-3.5,-3.555555555555557,,-5.0,-0.0611353711790393,-0.06213592233009711,,-0.08849557522123894,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-11-28,,Coastal Carolina,W,79.0,73.0,27.0,55.0,0.491,11.0,23.0,0.478,14.0,20.0,0.7,6.0,31.0,13.0,2.0,1.0,11.0,16.0,,28.0,58.0,0.483,5.0,18.0,0.278,12.0,20.0,0.6,8.0,31.0,15.0,4.0,2.0,9.0,17.0,4.0,6.0,1,4,76.0,1,0,0,1,71.22222222222223,62.666666666666664,71.62348709214065,63.168190127970746,65.33333333333333,62.666666666666664,69.0,77.0,75.62962962962963,64.0,76.34478316554511,64.3747714808044,75.33333333333333,64.0,79.0,74.0,6.925925925925926,-0.07416265997622898,6.9985512799779945,-0.07250332196265627,5.333333333333333,-0.07416265997622898,6.0,-0.04079708937661586,6.851851851851852,-0.07914936210388857,7.291293513942475,-0.08170656753938116,8.666666666666666,-0.07914936210388857,6.0,-0.1513621999417264,0.4350740740740743,0.43,0.4370958438686687,0.4322303473491774,0.3870000000000003,0.43,0.3999999999999999,0.5190000000000001,0.4778518518518519,0.4123333333333334,0.4879980785829245,0.41357952468007314,0.5086666666666669,0.4123333333333334,0.529,0.431,73.42592592592592,63.333333333333336,73.9841351288429,63.77148080438757,70.33333333333333,63.333333333333336,74.0,75.5,0.0,0.4444444444444444,0.0507286957206832,0.44770043681841115,0.6666666666666666,0.4444444444444444,0.0,4.0,-1.3333333333333357,-1.206581352833652,-1.3333333333333357,3.0,-0.021052631578947406,-0.01892039102141466,-0.021052631578947406,0.039735099337748346,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-11-30,,VMI,W,66.0,65.0,20.0,58.0,0.345,5.0,18.0,0.278,21.0,31.0,0.677,12.0,38.0,11.0,6.0,5.0,5.0,16.0,,25.0,60.0,0.417,7.0,20.0,0.35,8.0,13.0,0.615,9.0,39.0,13.0,5.0,4.0,9.0,19.0,2.0,1.0,1,5,65.5,1,0,0,1,71.22222222222223,66.75,71.62348709214065,67.5763571790969,65.33333333333333,70.0,69.0,79.0,75.62962962962963,66.25,76.34478316554511,66.7763571790969,75.33333333333333,68.66666666666667,79.0,73.0,6.925925925925926,-0.021389530643214416,6.9985512799779945,-0.014986150636318973,5.333333333333333,0.0007613521818257141,6.0,0.10419715688345321,6.851851851851852,-0.08710926776426592,7.291293513942475,-0.08972364456303872,8.666666666666666,-0.095077760162141,6.0,-0.10804491004909406,0.4350740740740743,0.44525000000000003,0.4370958438686687,0.44859401319127346,0.3870000000000003,0.4496666666666667,0.3999999999999999,0.4910000000000002,0.4778518518518519,0.43000000000000005,0.4879980785829245,0.43290877727042115,0.5086666666666669,0.44666666666666677,0.529,0.48299999999999993,73.42592592592592,66.5,73.9841351288429,67.17635717909691,70.33333333333333,69.33333333333333,74.0,76.0,0.0,0.0,0.0507286957206832,0.006858710562414271,0.6666666666666666,0.5555555555555556,0.0,5.0,0.5,0.7999999999999972,1.3333333333333286,6.0,0.007518796992481203,0.011908951803789251,0.019230769230769162,0.07894736842105263,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-12-09,@,Charlotte,W,76.0,70.0,30.0,64.0,0.469,8.0,20.0,0.4,8.0,12.0,0.667,9.0,34.0,6.0,4.0,2.0,10.0,16.0,,24.0,64.0,0.375,7.0,24.0,0.292,15.0,19.0,0.789,13.0,40.0,9.0,4.0,3.0,13.0,14.0,9.0,6.0,1,6,73.0,0,1,0,-1,71.22222222222223,66.6,71.62348709214065,67.21271715176152,65.33333333333333,74.0,69.0,66.0,75.62962962962963,66.0,76.34478316554511,66.3665803964427,75.33333333333333,70.66666666666667,79.0,65.0,6.925925925925926,-0.03424508282460925,6.9985512799779945,-0.03112931898721233,5.333333333333333,-0.002713551293077765,6.0,-0.0862516348311613,6.851851851851852,-0.06806981664934306,7.291293513942475,-0.06729380649781463,8.666666666666666,-0.08710926776426595,6.0,0.00955256097303453,0.4350740740740743,0.4252000000000001,0.4370958438686687,0.4246965549957666,0.3870000000000003,0.4516666666666667,0.3999999999999999,0.3450000000000002,0.4778518518518519,0.4274,0.4879980785829245,0.42923888044868536,0.5086666666666669,0.4436666666666668,0.529,0.4169999999999999,73.42592592592592,66.3,73.9841351288429,66.78964877410213,70.33333333333333,72.33333333333333,74.0,65.5,0.0,0.24000000000000005,0.0507286957206832,0.40303621083706165,0.6666666666666666,0.6666666666666666,0.0,6.0,0.5999999999999943,0.8461367553188239,3.3333333333333286,1.0,0.009049773755656023,0.01266868101344045,0.0460829493087557,0.015267175572519083,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-12-13,@,UNC Asheville,L,60.0,80.0,19.0,64.0,0.297,4.0,27.0,0.148,18.0,24.0,0.75,9.0,30.0,7.0,8.0,1.0,9.0,26.0,,25.0,52.0,0.481,1.0,7.0,0.143,29.0,35.0,0.829,7.0,40.0,12.0,2.0,4.0,12.0,20.0,4.0,-20.0,0,7,70.0,0,1,0,-1,71.22222222222223,68.16666666666667,71.62348709214065,68.9613257276817,65.33333333333333,73.66666666666667,69.0,76.0,75.62962962962963,66.66666666666667,76.34478316554511,67.0896057944439,75.33333333333333,69.33333333333333,79.0,70.0,6.925925925925926,-0.02746079242173699,6.9985512799779945,-0.02380579630511076,5.333333333333333,0.012267493099731297,6.0,0.0022651115803219435,6.851851851851852,-0.05852436210388856,7.291293513942475,-0.056129895975192856,8.666666666666666,-0.039485900565427,6.0,-0.013524362103888576,0.4350740740740743,0.43250000000000005,0.4370958438686687,0.4335126344614162,0.3870000000000003,0.43500000000000005,0.3999999999999999,0.4690000000000002,0.4778518518518519,0.4186666666666667,0.4879980785829245,0.41844571797299546,0.5086666666666669,0.4250000000000001,0.529,0.37499999999999994,73.42592592592592,67.41666666666667,73.9841351288429,68.02546576106282,70.33333333333333,71.5,74.0,73.0,0.0,0.0,0.0507286957206832,0.0005188587186246059,0.6666666666666666,0.7777777777777777,0.0,7.0,1.5,1.8717199332377987,4.333333333333343,6.0,0.022249690976514212,0.02751498886920014,0.06060606060606074,0.0821917808219178,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-12-19,,Citadel,W,101.0,82.0,31.0,53.0,0.585,10.0,26.0,0.385,29.0,40.0,0.725,4.0,38.0,18.0,8.0,0.0,15.0,21.0,,29.0,72.0,0.403,7.0,32.0,0.219,17.0,22.0,0.773,10.0,33.0,12.0,7.0,0.0,15.0,28.0,6.0,19.0,1,8,91.5,1,0,0,1,71.22222222222223,67.0,71.62348709214065,67.37982695271886,65.33333333333333,67.33333333333333,69.0,60.0,75.62962962962963,68.57142857142857,76.34478316554511,69.36803794174365,75.33333333333333,71.66666666666667,79.0,80.0,6.925925925925926,-0.038471057199837344,6.9985512799779945,-0.0379051848260914,5.333333333333333,-0.06104911457913609,6.0,-0.11352436210388855,6.851851851851852,-0.09477436210388857,7.291293513942475,-0.10088488682709329,8.666666666666666,-0.10422203652249323,6.0,-0.2760243621038886,0.4350740740740743,0.4131428571428572,0.4370958438686687,0.40942082363695553,0.3870000000000003,0.3703333333333334,0.3999999999999999,0.29700000000000026,0.4778518518518519,0.42757142857142855,0.4879980785829245,0.42948532566059383,0.5086666666666669,0.4243333333333334,0.529,0.48099999999999987,73.42592592592592,67.78571428571429,73.9841351288429,68.37393244723127,70.33333333333333,69.5,74.0,70.0,0.0,0.16326530612244897,0.0507286957206832,0.22954484730794242,0.6666666666666666,0.8888888888888888,0.0,8.0,-1.5714285714285694,-1.9882109890247932,-4.333333333333343,-20.0,-0.02318229715489986,-0.029078494067300113,-0.06235011990407688,-0.2857142857142857,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-12-22,,College of Charleston,L,68.0,86.0,23.0,55.0,0.418,4.0,20.0,0.2,18.0,24.0,0.75,3.0,22.0,11.0,6.0,0.0,12.0,17.0,,33.0,57.0,0.579,9.0,19.0,0.474,11.0,17.0,0.647,6.0,36.0,15.0,8.0,2.0,16.0,21.0,3.0,-18.0,0,9,77.0,1,0,0,1,71.22222222222223,71.25,71.62348709214065,72.7490800294189,65.33333333333333,79.0,69.0,101.0,75.62962962962963,70.25,76.34478316554511,71.38540415371013,75.33333333333333,77.33333333333333,79.0,82.0,6.925925925925926,-0.034576993682835955,6.9985512799779945,-0.0331580110603763,5.333333333333333,-0.03504334944566073,6.0,-0.01649465913359155,6.851851851851852,-0.08932507384766081,7.291293513942475,-0.09291248918674491,8.666666666666666,-0.11955884486250926,6.0,-0.057426801128278804,0.4350740740740743,0.43462500000000004,0.4370958438686687,0.43746140009579604,0.3870000000000003,0.4503333333333334,0.3999999999999999,0.5850000000000002,0.4778518518518519,0.4245,0.4879980785829245,0.42525553136148186,0.5086666666666669,0.4196666666666667,0.529,0.4029999999999999,73.42592592592592,70.75,73.9841351288429,72.06724209156454,70.33333333333333,78.16666666666667,74.0,91.5,0.0,0.0,0.0507286957206832,0.0027139288092922357,0.6666666666666666,1.0,0.0,9.0,1.0,1.363675875708779,1.6666666666666714,19.0,0.014134275618374558,0.01892227086997682,0.02132196162046914,0.20765027322404372,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
2015-12-28,@,UNC Wilmington,L,83.0,106.0,26.0,60.0,0.433,6.0,20.0,0.3,25.0,38.0,0.658,11.0,33.0,7.0,4.0,1.0,15.0,26.0,,39.0,70.0,0.557,9.0,18.0,0.5,19.0,26.0,0.731,11.0,40.0,16.0,7.0,5.0,11.0,29.0,6.0,-23.0,0,10,94.5,0,1,0,-1,71.22222222222223,70.88888888888889,71.62348709214065,72.05215691584432,65.33333333333333,76.33333333333333,69.0,68.0,75.62962962962963,72.0,76.34478316554511,73.53008261306151,75.33333333333333,82.66666666666667,79.0,86.0,6.925925925925926,-0.0454992837339826,6.9985512799779945,-0.04754716114945645,5.333333333333333,-0.07771650184187981,6.0,-0.13705377386859444,6.851851851851852,-0.07741325099277746,7.291293513942475,-0.07689169319130573,8.666666666666666,-0.107879200813566,6.0,0.00042912626820446054,0.4350740740740743,0.4327777777777778,0.4370958438686687,0.43460545758371705,0.3870000000000003,0.4333333333333334,0.3999999999999999,0.41800000000000015,0.4778518518518519,0.44166666666666665,0.4879980785829245,0.4478173903140962,0.5086666666666669,0.4876666666666667,0.529,0.5789999999999998,73.42592592592592,71.44444444444444,73.9841351288429,72.79111976445294,70.33333333333333,79.5,74.0,77.0,0.0,0.12345679012345678,0.0507286957206832,0.2610353630428344,0.6666666666666666,1.1111111111111112,0.0,10.0,-1.1111111111111143,-1.477925697217188,-6.333333333333343,-18.0,-0.015552099533437058,-0.020303653824802446,-0.07966457023060809,-0.23376623376623376,-4.407407407407405,-0.06002522068095835,-4.72129607340446,-0.06381497959234575,-10.0,-0.14218009478672985,-10.0,-0.13513513513513514,Big South
