Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-14,,UCF,W,90.0,85.0,30.0,75.0,0.4,9.0,37.0,0.243,21.0,28.0,0.75,9.0,39.0,18.0,5.0,4.0,6.0,24.0,,29.0,68.0,0.426,9.0,25.0,0.36,18.0,29.0,0.621,8.0,42.0,18.0,1.0,7.0,10.0,24.0,,5.0,1,1,87.5,1,0,0,1,78.90625,,77.26615892143008,,72.66666666666667,,74.0,,78.3125,,77.53636663799762,,82.0,,84.0,,9.59375,,9.370685620754466,,9.666666666666666,,13.0,,7.40625,,6.937929947960705,,6.666666666666667,,3.0,,0.44681249999999995,,0.44483631583358535,,0.40266666666666656,,0.41899999999999993,,0.46215625,,0.46505982310951866,,0.47300000000000003,,0.4690000000000002,,78.609375,,77.40126277971386,,77.33333333333333,,79.0,,0.0625,,-0.01914548670387912,,-0.3333333333333333,,-1.0,,,,,,,,,,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-11-21,,College of Charleston,W,82.0,81.0,28.0,57.0,0.491,10.0,26.0,0.385,16.0,24.0,0.667,5.0,23.0,13.0,5.0,1.0,10.0,19.0,,32.0,63.0,0.508,7.0,19.0,0.368,10.0,15.0,0.667,13.0,42.0,8.0,4.0,2.0,17.0,25.0,7.0,1.0,1,2,81.5,1,0,0,1,78.90625,90.0,77.26615892143008,90.0,72.66666666666667,,74.0,90.0,78.3125,85.0,77.53636663799762,85.0,82.0,,84.0,85.0,9.59375,-0.013524362103888576,9.370685620754466,-0.013524362103888576,9.666666666666666,,13.0,-0.013524362103888576,7.40625,0.004122696719640828,6.937929947960705,0.004122696719640828,6.666666666666667,,3.0,0.004122696719640828,0.44681249999999995,0.4,0.44483631583358535,0.4,0.40266666666666656,,0.41899999999999993,0.4,0.46215625,0.426,0.46505982310951866,0.426,0.47300000000000003,,0.4690000000000002,0.426,78.609375,87.5,77.40126277971386,87.5,77.33333333333333,,79.0,87.5,0.0625,2.0,-0.01914548670387912,2.0,-0.3333333333333333,,-1.0,2.0,5.0,5.0,,5.0,0.05714285714285714,0.05714285714285714,,0.05714285714285714,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-11-23,,Mercer,W,77.0,71.0,23.0,62.0,0.371,9.0,31.0,0.29,22.0,28.0,0.786,10.0,34.0,14.0,4.0,3.0,5.0,17.0,,26.0,65.0,0.4,8.0,24.0,0.333,11.0,18.0,0.611,17.0,47.0,12.0,3.0,3.0,13.0,22.0,2.0,6.0,1,3,74.0,1,0,0,1,78.90625,86.0,77.26615892143008,85.875,72.66666666666667,,74.0,82.0,78.3125,83.0,77.53636663799762,82.93750000000001,82.0,,84.0,81.0,9.59375,0.017870986733320715,9.370685620754466,0.018899218682137564,9.666666666666666,,13.0,0.05232929643269679,7.40625,-0.02436773559786448,6.937929947960705,-0.02528020234503403,6.666666666666667,,3.0,-0.05426510284462932,0.44681249999999995,0.4455,0.44483631583358535,0.446921875,0.40266666666666656,,0.41899999999999993,0.491,0.46215625,0.46699999999999997,0.46505982310951866,0.46828125,0.47300000000000003,,0.4690000000000002,0.508,78.609375,84.5,77.40126277971386,84.40625,77.33333333333333,,79.0,81.5,0.0625,3.0,-0.01914548670387912,3.0,-0.3333333333333333,,-1.0,3.0,3.0,2.937499999999986,,1.0,0.03550295857988166,0.03480192521288395,,0.012269938650306749,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-01,@,Charlotte,W,109.0,74.0,36.0,62.0,0.581,15.0,29.0,0.517,22.0,29.0,0.759,5.0,35.0,15.0,8.0,5.0,7.0,22.0,,24.0,70.0,0.343,6.0,19.0,0.316,20.0,27.0,0.741,15.0,38.0,11.0,6.0,3.0,13.0,24.0,8.0,35.0,1,4,91.5,0,1,0,-1,78.90625,83.0,77.26615892143008,82.72990562967783,72.66666666666667,83.0,74.0,77.0,78.3125,79.0,77.53636663799762,78.70712658639766,82.0,79.0,84.0,71.0,9.59375,0.023825035486472856,9.370685620754466,0.024910670878186603,9.666666666666666,0.023825035486472856,13.0,0.03712498854546209,7.40625,-0.009726893749458176,6.937929947960705,-0.009365464858708428,6.666666666666667,-0.009726893749458176,3.0,0.024503806910195935,0.44681249999999995,0.4206666666666667,0.44483631583358535,0.4200169215750081,0.40266666666666656,0.4206666666666667,0.41899999999999993,0.371,0.46215625,0.4446666666666667,0.46505982310951866,0.4440839570452327,0.47300000000000003,0.4446666666666667,0.4690000000000002,0.4,78.609375,81.0,77.40126277971386,80.71851610803775,77.33333333333333,81.0,79.0,74.0,0.0625,4.0,-0.01914548670387912,4.0,-0.3333333333333333,4.0,-1.0,4.0,4.0,4.022779043280167,4.0,6.0,0.04938271604938271,0.04983712829774863,0.04938271604938271,0.08108108108108109,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-06,@,UNC,L,65.0,98.0,23.0,67.0,0.343,8.0,31.0,0.258,11.0,13.0,0.846,7.0,28.0,13.0,4.0,4.0,14.0,16.0,,38.0,75.0,0.507,8.0,23.0,0.348,14.0,17.0,0.824,12.0,47.0,21.0,7.0,3.0,15.0,18.0,5.0,-33.0,0,5,81.5,0,1,0,-1,78.90625,89.5,77.26615892143008,89.9255487804878,72.66666666666667,89.33333333333333,74.0,109.0,78.3125,77.75,77.53636663799762,77.41779725609756,82.0,75.33333333333333,84.0,74.0,9.59375,0.04681083342683767,9.370685620754466,0.04961521677538755,9.666666666666666,0.06707265282148461,13.0,0.09931967459335916,7.40625,-0.024135294579772815,6.937929947960705,-0.025314257267080476,6.666666666666667,-0.034763300156985866,3.0,-0.07028111886064531,0.44681249999999995,0.46075,0.44483631583358535,0.464111806402439,0.40266666666666656,0.48100000000000004,0.41899999999999993,0.581,0.46215625,0.41925,0.46505982310951866,0.4163960442073171,0.47300000000000003,0.41700000000000004,0.4690000000000002,0.3430000000000001,78.609375,83.625,77.40126277971386,83.67167301829268,77.33333333333333,82.33333333333333,79.0,91.5,0.0625,1.25,-0.01914548670387912,1.0223332105610503,-0.3333333333333333,0.5555555555555556,-1.0,5.0,11.75,12.507751524390244,14.0,35.0,0.14050822122571002,0.1494860933598847,0.17004048582995954,0.3825136612021858,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-09,,Eastern Washington,W,96.0,86.0,34.0,57.0,0.596,13.0,26.0,0.5,15.0,19.0,0.789,3.0,30.0,18.0,7.0,4.0,11.0,14.0,,33.0,68.0,0.485,10.0,27.0,0.37,10.0,12.0,0.833,9.0,31.0,9.0,6.0,2.0,11.0,18.0,3.0,10.0,1,6,91.0,1,0,0,1,78.90625,84.6,77.26615892143008,84.29846885308754,72.66666666666667,83.66666666666667,74.0,65.0,78.3125,81.8,77.53636663799762,82.06434289253951,82.0,81.0,84.0,98.0,9.59375,0.048177765555685925,9.370685620754466,0.05067553004570863,9.666666666666666,0.06894575741802378,13.0,0.055706407126880686,7.40625,-0.0347957557469204,6.937929947960705,-0.03699094411831422,6.666666666666667,-0.04191942383228364,3.0,-0.0686264029202151,0.44681249999999995,0.4372,0.44483631583358535,0.4367701490218862,0.40266666666666656,0.43166666666666664,0.41899999999999993,0.34299999999999997,0.46215625,0.4368,0.46505982310951866,0.43685038627513056,0.47300000000000003,0.4166666666666667,0.4690000000000002,0.5070000000000001,78.609375,83.2,77.40126277971386,83.18140587281351,77.33333333333333,82.33333333333333,79.0,81.5,0.0625,0.24000000000000005,-0.01914548670387912,0.09276600357114341,-0.3333333333333333,0.6666666666666666,-1.0,6.0,2.799999999999997,2.2341259605480275,2.6666666666666714,-33.0,0.03365384615384612,0.026858478010867753,0.0323886639676114,-0.4049079754601227,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-12,,Western Carolina,W,87.0,54.0,29.0,61.0,0.475,9.0,31.0,0.29,20.0,28.0,0.714,8.0,44.0,16.0,3.0,6.0,9.0,21.0,,17.0,64.0,0.266,8.0,29.0,0.276,12.0,23.0,0.522,15.0,36.0,8.0,6.0,1.0,13.0,23.0,3.0,33.0,1,7,70.5,1,0,0,1,78.90625,86.5,77.26615892143008,86.5657188736446,72.66666666666667,90.0,74.0,96.0,78.3125,82.5,77.53636663799762,82.82690281275558,82.0,86.0,84.0,86.0,9.59375,0.056417834427903324,9.370685620754466,0.05971096635035933,9.666666666666666,0.08647563789611146,13.0,0.09272563789611143,7.40625,-0.02261527119479767,6.937929947960705,-0.022444902646279463,6.666666666666667,-0.034454594662028104,3.0,0.035312847198437025,0.44681249999999995,0.46366666666666667,0.44483631583358535,0.46762199895254103,0.40266666666666656,0.5066666666666667,0.41899999999999993,0.5959999999999999,0.46215625,0.44483333333333336,0.46505982310951866,0.4461796963745469,0.47300000000000003,0.445,0.4690000000000002,0.4850000000000001,78.609375,84.5,77.40126277971386,84.69631084320008,77.33333333333333,88.0,79.0,91.0,0.0625,0.7777777777777777,-0.01914548670387912,0.605080074416324,-0.3333333333333333,0.7777777777777777,-1.0,7.0,4.0,3.7388160608890217,4.0,10.0,0.047337278106508875,0.04414378883409414,0.045454545454545456,0.10989010989010989,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-20,N,Pitt,L,69.0,94.0,24.0,69.0,0.348,6.0,30.0,0.2,15.0,26.0,0.577,13.0,28.0,10.0,3.0,1.0,8.0,14.0,,36.0,66.0,0.545,9.0,20.0,0.45,13.0,14.0,0.929,12.0,47.0,21.0,6.0,7.0,13.0,24.0,8.0,-25.0,0,8,81.5,0,0,1,0,78.90625,86.57142857142857,77.26615892143008,86.63997632342831,72.66666666666667,82.66666666666667,74.0,87.0,78.3125,78.42857142857143,77.53636663799762,77.89780928754764,82.0,79.33333333333333,84.0,54.0,9.59375,0.04786177650997281,9.370685620754466,0.04891267463177401,9.666666666666666,0.049378863702563,13.0,-0.003179534517681659,7.40625,-0.007513433142139925,6.937929947960705,-0.004266161454148543,6.666666666666667,0.014206730333086226,3.0,0.13092008234055585,0.44681249999999995,0.4652857142857143,0.44483631583358535,0.4688835585945264,0.40266666666666656,0.4713333333333334,0.41899999999999993,0.47499999999999976,0.46215625,0.4192857142857143,0.46505982310951866,0.4153708862660698,0.47300000000000003,0.41933333333333334,0.4690000000000002,0.2660000000000001,78.609375,82.5,77.40126277971386,82.26889280548798,77.33333333333333,81.0,79.0,70.5,0.0625,1.4693877551020407,-0.01914548670387912,1.3759688933650593,-0.3333333333333333,0.8888888888888888,-1.0,8.0,8.142857142857139,8.74216703588067,3.333333333333343,33.0,0.09870129870129865,0.1062633364539154,0.041152263374485715,0.46808510638297873,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-23,,Morehead State,W,81.0,77.0,28.0,47.0,0.596,10.0,21.0,0.476,15.0,25.0,0.6,4.0,26.0,19.0,7.0,3.0,16.0,17.0,,28.0,62.0,0.452,11.0,23.0,0.478,10.0,18.0,0.556,11.0,29.0,11.0,10.0,1.0,12.0,21.0,3.0,4.0,1,9,79.0,1,0,0,1,78.90625,84.375,77.26615892143008,83.92357362500238,72.66666666666667,84.0,74.0,69.0,78.3125,80.375,77.53636663799762,80.37740639697131,82.0,78.0,84.0,94.0,9.59375,0.03758674900722253,9.370685620754466,0.03605341637740467,9.666666666666666,0.01980897122944475,13.0,-0.05265479688649727,7.40625,-0.010258421201866819,6.937929947960705,-0.008232495944450913,6.666666666666667,0.03262948404995758,3.0,-0.02629031955069705,0.44681249999999995,0.450625,0.44483631583358535,0.4502685435434357,0.40266666666666656,0.47300000000000003,0.41899999999999993,0.34799999999999975,0.46215625,0.435,0.46505982310951866,0.43533264062929655,0.47300000000000003,0.43199999999999994,0.4690000000000002,0.5450000000000002,78.609375,82.375,77.40126277971386,82.15049001098684,77.33333333333333,81.0,79.0,81.5,0.0625,1.265625,-0.01914548670387912,1.1079261361784183,-0.3333333333333333,4.0,-1.0,0.0,4.0,3.5461672280310665,6.0,-25.0,0.048558421851289835,0.0431667203391824,0.07407407407407407,-0.3067484662576687,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
2015-12-28,@,California,L,60.0,86.0,21.0,67.0,0.313,8.0,29.0,0.276,10.0,12.0,0.833,9.0,26.0,10.0,5.0,1.0,10.0,17.0,,31.0,59.0,0.525,12.0,22.0,0.545,12.0,17.0,0.706,11.0,44.0,21.0,4.0,10.0,18.0,16.0,5.0,-26.0,0,10,73.0,0,1,0,-1,78.90625,84.0,77.26615892143008,83.51182042015937,72.66666666666667,79.0,74.0,81.0,78.3125,80.0,77.53636663799762,79.90173583539648,82.0,75.0,84.0,77.0,9.59375,0.03965024107071463,9.370685620754466,0.03889374539391327,9.666666666666666,0.0029313340986431013,13.0,0.056846008266481785,7.40625,0.003142304562778142,6.937929947960705,0.008499530717001602,6.666666666666667,0.059808971229444785,3.0,0.11504706646753998,0.44681249999999995,0.46677777777777774,0.44483631583358535,0.4707932170899691,0.40266666666666656,0.47300000000000003,0.41899999999999993,0.5959999999999998,0.46215625,0.4368888888888889,0.46505982310951866,0.4376800549644329,0.47300000000000003,0.421,0.4690000000000002,0.45200000000000007,78.609375,82.0,77.40126277971386,81.70677812777792,77.33333333333333,77.0,79.0,79.0,0.0625,1.9753086419753085,-0.01914548670387912,1.9561552056244824,-0.3333333333333333,4.444444444444445,-1.0,10.0,4.0,3.6100845847628875,4.0,4.0,0.04878048780487805,0.04418341620467793,0.05194805194805195,0.05063291139240506,0.59375,0.007553170343868018,-0.2702077165675405,-0.003490998814018825,-9.333333333333329,-0.12068965517241374,-10.0,-0.12658227848101267,A-10
