Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,,Delaware,L,56.0,62.0,24.0,64.0,0.375,8.0,29.0,0.276,0.0,2.0,0.0,5.0,26.0,7.0,10.0,3.0,8.0,21.0,,19.0,48.0,0.396,8.0,25.0,0.32,16.0,23.0,0.696,9.0,39.0,13.0,2.0,6.0,14.0,9.0,,-6.0,0,1,59.0,1,0,0,1,60.03333333333333,,62.641281389130775,,61.666666666666664,,58.0,,74.06666666666666,,73.33970955100041,,71.33333333333333,,63.0,,6.966666666666667,,7.31263873579963,,7.0,,8.0,,7.966666666666667,,7.7866069704033585,,7.666666666666667,,7.0,,0.38563333333333333,,0.4062392841792404,,0.43099999999999977,,0.44,,0.4466333333333333,,0.4475552272983982,,0.4429999999999998,,0.48900000000000016,,67.05,,67.99049547006561,,66.5,,60.5,,-0.23333333333333334,,-0.12997616147644694,,0.0,,0.0,,,,,,,,,,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-17,,Penn,L,54.0,60.0,21.0,61.0,0.344,5.0,17.0,0.294,7.0,9.0,0.778,9.0,31.0,11.0,4.0,5.0,9.0,18.0,,22.0,54.0,0.407,3.0,23.0,0.13,13.0,18.0,0.722,8.0,36.0,13.0,2.0,1.0,10.0,12.0,4.0,-6.0,0,2,57.0,1,0,0,1,60.03333333333333,56.0,62.641281389130775,56.0,61.666666666666664,,58.0,56.0,74.06666666666666,62.0,73.33970955100041,62.0,71.33333333333333,,63.0,62.0,6.966666666666667,0.11504706646753998,7.31263873579963,0.11504706646753998,7.0,,8.0,0.11504706646753998,7.966666666666667,0.07357241208965981,7.7866069704033585,0.07357241208965981,7.666666666666667,,7.0,0.07357241208965981,0.38563333333333333,0.375,0.4062392841792404,0.375,0.43099999999999977,,0.44,0.375,0.4466333333333333,0.396,0.4475552272983982,0.396,0.4429999999999998,,0.48900000000000016,0.396,67.05,59.0,67.99049547006561,59.0,66.5,,60.5,59.0,-0.23333333333333334,2.0,-0.12997616147644694,2.0,0.0,,0.0,2.0,-6.0,-6.0,,-6.0,-0.1016949152542373,-0.1016949152542373,,-0.1016949152542373,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-19,@,Nebraska,L,60.0,75.0,21.0,47.0,0.447,5.0,11.0,0.455,13.0,22.0,0.591,9.0,26.0,6.0,6.0,1.0,17.0,24.0,,22.0,50.0,0.44,12.0,28.0,0.429,19.0,25.0,0.76,14.0,31.0,19.0,7.0,4.0,16.0,22.0,2.0,-15.0,0,3,67.5,0,1,0,-1,60.03333333333333,55.0,62.641281389130775,54.96666666666667,61.666666666666664,,58.0,54.0,74.06666666666666,61.0,73.33970955100041,60.96666666666666,71.33333333333333,,63.0,60.0,6.966666666666667,0.04102109244156599,7.31263873579963,0.03850717215930127,7.0,,8.0,-0.035746584326110775,7.966666666666667,-0.04303255882520002,7.7866069704033585,-0.04698526970366984,7.666666666666667,,7.0,-0.16352436210388857,0.38563333333333333,0.3595,0.4062392841792404,0.3589833333333333,0.43099999999999977,,0.44,0.344,0.4466333333333333,0.40149999999999997,0.4475552272983982,0.40168333333333334,0.4429999999999998,,0.48900000000000016,0.4069999999999999,67.05,58.0,67.99049547006561,57.96666666666666,66.5,,60.5,57.0,-0.23333333333333334,3.0,-0.12997616147644694,3.0,0.0,,0.0,3.0,-6.0,-5.999999999999993,,-6.0,-0.10344827586206896,-0.10350776308223106,,-0.10526315789473684,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-21,,Lamar,L,66.0,77.0,23.0,62.0,0.371,6.0,21.0,0.286,14.0,23.0,0.609,16.0,34.0,17.0,6.0,3.0,19.0,22.0,,23.0,51.0,0.451,8.0,19.0,0.421,23.0,30.0,0.767,12.0,38.0,16.0,10.0,7.0,20.0,23.0,2.0,-11.0,0,4,71.5,1,0,0,1,60.03333333333333,56.666666666666664,62.641281389130775,56.75749722325065,61.666666666666664,56.666666666666664,58.0,60.0,74.06666666666666,65.66666666666667,73.33970955100041,65.95964457608294,71.33333333333333,65.66666666666667,63.0,75.0,6.966666666666667,0.004122696719640884,7.31263873579963,0.0001310370428936336,7.0,0.004122696719640884,8.0,-0.06352436210388857,7.966666666666667,0.036729445002710415,7.7866069704033585,0.03937224033104242,7.666666666666667,0.036729445002710415,7.0,0.16647563789611142,0.38563333333333333,0.38866666666666666,0.4062392841792404,0.39029914846353203,0.43099999999999977,0.38866666666666666,0.44,0.44699999999999995,0.4466333333333333,0.4143333333333333,0.4475552272983982,0.41531617919289154,0.4429999999999998,0.4143333333333333,0.48900000000000016,0.44,67.05,61.166666666666664,67.99049547006561,61.358570899666795,66.5,61.166666666666664,60.5,67.5,-0.23333333333333334,0.4444444444444444,-0.12997616147644694,0.33272523333535753,0.0,0.4444444444444444,0.0,4.0,-9.000000000000007,-9.202147352832284,-9.000000000000007,-15.0,-0.1471389645776568,-0.14997329986514168,-0.1471389645776568,-0.2222222222222222,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-24,@,UC-Riverside,L,55.0,81.0,19.0,53.0,0.358,3.0,16.0,0.188,14.0,18.0,0.778,3.0,25.0,9.0,7.0,7.0,15.0,19.0,,28.0,57.0,0.491,9.0,21.0,0.429,16.0,23.0,0.696,11.0,41.0,18.0,7.0,2.0,12.0,20.0,3.0,-26.0,0,5,68.0,0,1,0,-1,60.03333333333333,59.0,62.641281389130775,59.30414354421014,61.666666666666664,60.0,58.0,66.0,74.06666666666666,68.5,73.33970955100041,69.00166481687015,71.33333333333333,70.66666666666667,63.0,77.0,6.966666666666667,-0.008439616341176681,7.31263873579963,-0.012419427640750602,7.0,-0.0468576954372219,8.0,-0.04079708937661586,7.966666666666667,0.025891696290271993,7.7866069704033585,0.02670170974690883,7.666666666666667,0.011947336009318965,7.0,-0.0018360504155768842,0.38563333333333333,0.38425,0.4062392841792404,0.384981529781724,0.43099999999999977,0.3873333333333333,0.44,0.37099999999999994,0.4466333333333333,0.4235,0.4475552272983982,0.4251483721790603,0.4429999999999998,0.4326666666666667,0.48900000000000016,0.451,67.05,63.75,67.99049547006561,64.15290418054015,66.5,65.33333333333333,60.5,71.5,-0.23333333333333334,1.25,-0.12997616147644694,1.1736053557323642,0.0,0.5555555555555556,0.0,5.0,-9.5,-9.697521272660005,-10.666666666666671,-11.0,-0.14901960784313725,-0.15116262305708067,-0.16326530612244908,-0.15384615384615385,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-27,@,Fresno State,L,59.0,80.0,20.0,63.0,0.317,10.0,30.0,0.333,9.0,16.0,0.563,13.0,29.0,14.0,4.0,3.0,11.0,20.0,,27.0,61.0,0.443,10.0,24.0,0.417,16.0,22.0,0.727,17.0,50.0,15.0,5.0,6.0,11.0,18.0,3.0,-21.0,0,6,69.5,0,1,0,-1,60.03333333333333,58.2,62.641281389130775,58.32484668025458,61.666666666666664,60.333333333333336,58.0,55.0,74.06666666666666,71.0,73.33970955100041,71.7315765628045,71.33333333333333,77.66666666666667,63.0,81.0,6.966666666666667,-0.03517384663997103,7.31263873579963,-0.04191386516215345,7.0,-0.08148016320886095,8.0,-0.14988799846752493,7.966666666666667,0.024503806910195935,7.7866069704033585,0.024930809643932406,7.666666666666667,0.05986619583602559,7.0,0.01980897122944475,0.38563333333333333,0.379,0.4062392841792404,0.3788425785063862,0.43099999999999977,0.39200000000000007,0.44,0.3579999999999999,0.4466333333333333,0.437,0.4475552272983982,0.4401312118425199,0.4429999999999998,0.4606666666666667,0.48900000000000016,0.49099999999999994,67.05,64.6,67.99049547006561,65.02821162152955,66.5,69.0,60.5,68.0,-0.23333333333333334,0.24000000000000005,-0.12997616147644694,0.12916938770387235,0.0,0.6666666666666666,0.0,6.0,-12.799999999999997,-13.406729882549925,-17.333333333333336,-26.0,-0.1981424148606811,-0.20616790079632488,-0.2512077294685991,-0.38235294117647056,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-11-29,@,San Francisco,L,47.0,67.0,17.0,51.0,0.333,8.0,26.0,0.308,5.0,13.0,0.385,7.0,26.0,10.0,5.0,5.0,9.0,14.0,,26.0,55.0,0.473,9.0,25.0,0.36,6.0,11.0,0.545,9.0,37.0,18.0,3.0,1.0,10.0,17.0,2.0,-20.0,0,7,57.0,0,1,0,-1,60.03333333333333,58.333333333333336,62.641281389130775,58.45692979194095,61.666666666666664,60.0,58.0,59.0,74.06666666666666,72.5,73.33970955100041,73.34916336032936,71.33333333333333,79.33333333333333,63.0,80.0,6.966666666666667,0.00361849503896855,7.31263873579963,0.0048553517572716975,7.0,0.0031423045627780866,8.0,0.19495021416729785,7.966666666666667,0.03130322410300801,7.7866069704033585,0.03272849365205621,7.666666666666667,0.02681177234989296,7.0,0.061475637896111435,0.38563333333333333,0.3686666666666667,0.4062392841792404,0.3667440521940044,0.43099999999999977,0.3486666666666667,0.44,0.31699999999999984,0.4466333333333333,0.438,0.4475552272983982,0.4406924450550765,0.4429999999999998,0.4616666666666667,0.48900000000000016,0.44299999999999995,67.05,65.41666666666667,67.99049547006561,65.90304657613515,66.5,69.66666666666667,60.5,69.5,-0.23333333333333334,0.0,-0.12997616147644694,0.042167169141950823,0.0,0.7777777777777777,0.0,7.0,-14.166666666666664,-14.892233568388406,-19.33333333333333,-21.0,-0.21656050955414008,-0.22597185323115532,-0.27751196172248793,-0.302158273381295,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-12-04,@,Old Dominion,L,38.0,82.0,15.0,59.0,0.254,3.0,17.0,0.176,5.0,12.0,0.417,10.0,25.0,8.0,5.0,3.0,14.0,22.0,,30.0,60.0,0.5,6.0,23.0,0.261,16.0,20.0,0.8,15.0,45.0,18.0,6.0,6.0,10.0,15.0,5.0,-44.0,0,8,60.0,0,1,0,-1,60.03333333333333,56.714285714285715,62.641281389130775,56.47537914542154,61.666666666666664,53.666666666666664,58.0,47.0,74.06666666666666,71.71428571428571,73.33970955100041,72.2510341939651,71.33333333333333,76.0,63.0,67.0,6.966666666666667,0.02652601572986457,7.31263873579963,0.03252867827279782,7.0,0.07777998572219841,8.0,0.19711393576845182,7.966666666666667,0.0390652793303744,7.7866069704033585,0.04182757252713026,7.666666666666667,0.05489669052769036,7.0,0.0894607125229771,0.38563333333333333,0.3635714285714286,0.4062392841792404,0.3609077985330761,0.43099999999999977,0.336,0.44,0.3329999999999999,0.4466333333333333,0.443,0.4475552272983982,0.4462802471583596,0.4429999999999998,0.46900000000000003,0.48900000000000016,0.4729999999999999,67.05,64.21428571428571,67.99049547006561,64.36320666969331,66.5,64.83333333333333,60.5,57.0,-0.23333333333333334,0.16326530612244897,-0.12997616147644694,0.44990729146682773,0.0,8.0,0.0,8.0,-14.999999999999993,-15.775655048543555,-22.333333333333336,-20.0,-0.23359288097886532,-0.24510362153804613,-0.34447300771208234,-0.3508771929824561,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-12-12,@,Michigan,L,33.0,80.0,12.0,50.0,0.24,4.0,21.0,0.19,5.0,10.0,0.5,7.0,27.0,8.0,3.0,4.0,16.0,11.0,,32.0,61.0,0.525,11.0,27.0,0.407,5.0,10.0,0.5,6.0,38.0,23.0,6.0,2.0,7.0,12.0,8.0,-47.0,0,9,56.5,0,1,0,-1,60.03333333333333,54.375,62.641281389130775,53.592556373165,61.666666666666664,48.0,58.0,38.0,74.06666666666666,73.0,73.33970955100041,73.77222303725617,71.33333333333333,76.33333333333333,63.0,82.0,6.966666666666667,0.01751012065473212,7.31263873579963,0.02044581577329252,7.0,0.12397563789611143,8.0,-0.07668225684073068,7.966666666666667,0.020379747485152533,7.7866069704033585,0.01826772875413535,7.666666666666667,0.013986554926679162,7.0,-0.09401216698193735,0.38563333333333333,0.34987500000000005,0.4062392841792404,0.34422634189193646,0.43099999999999977,0.30133333333333334,0.44,0.25399999999999995,0.4466333333333333,0.450125,0.4475552272983982,0.4546624581859613,0.4429999999999998,0.472,0.48900000000000016,0.4999999999999999,67.05,63.6875,67.99049547006561,63.68238970521058,66.5,62.166666666666664,60.5,60.0,-0.23333333333333334,0.5625,-0.12997616147644694,1.1417710413604922,0.0,9.0,0.0,9.0,-18.625,-20.179666664091165,-28.33333333333333,-44.0,-0.29244357212953875,-0.3168798588982605,-0.45576407506702404,-0.7333333333333333,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
2015-12-15,@,Grand Canyon,L,59.0,88.0,23.0,55.0,0.418,6.0,17.0,0.353,7.0,15.0,0.467,10.0,23.0,13.0,4.0,2.0,15.0,21.0,,31.0,56.0,0.554,9.0,20.0,0.45,17.0,26.0,0.654,14.0,36.0,18.0,12.0,3.0,13.0,15.0,3.0,-29.0,0,10,73.5,0,1,0,-1,60.03333333333333,52.0,62.641281389130775,50.64879072106328,61.666666666666664,39.333333333333336,58.0,33.0,74.06666666666666,73.77777777777777,73.33970955100041,74.66250181467724,71.33333333333333,76.33333333333333,63.0,80.0,6.966666666666667,0.01980897122944475,7.31263873579963,0.023208934466938225,7.0,0.06783157009950125,8.0,0.05011200153247508,7.966666666666667,0.0298491318720151,7.7866069704033585,0.03062995009409003,7.666666666666667,0.027086991607901845,7.0,0.09897563789611141,0.38563333333333333,0.3376666666666667,0.4062392841792404,0.32932688406136235,0.43099999999999977,0.2756666666666667,0.44,0.23999999999999994,0.4466333333333333,0.4584444444444445,0.4475552272983982,0.46471741376764225,0.4429999999999998,0.49933333333333324,0.48900000000000016,0.5249999999999999,67.05,62.888888888888886,67.99049547006561,62.65564626787026,66.5,57.833333333333336,60.5,56.5,-0.23333333333333334,1.1111111111111112,-0.12997616147644694,2.008967236399928,0.0,10.0,0.0,10.0,-21.77777777777777,-24.013711093613963,-36.99999999999999,-47.0,-0.3462897526501766,-0.38326491743375674,-0.6397694524495676,-0.831858407079646,-14.033333333333331,-0.20929654486701466,-10.698428161869636,-0.1573518193668682,-9.666666666666664,-0.14536340852130322,-5.0,-0.08264462809917356,MEAC
