Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,,Grambling,W,61.0,53.0,14.0,45.0,0.311,4.0,16.0,0.25,29.0,42.0,0.69,11.0,40.0,10.0,7.0,2.0,12.0,16.0,,21.0,58.0,0.362,8.0,29.0,0.276,3.0,8.0,0.375,8.0,32.0,11.0,7.0,2.0,14.0,26.0,,8.0,1,1,57.0,1,0,0,1,68.3125,,66.69274117459415,,57.0,,66.0,,71.90625,,72.83248129043294,,64.33333333333333,,71.0,,7.25,,7.571321833244661,,5.0,,6.0,,7.78125,,7.7148335620690505,,5.0,,4.0,,0.425,,0.4199012927044184,,0.36866666666666686,,0.3639999999999999,,0.4453750000000001,,0.4538475118166281,,0.4133333333333335,,0.42199999999999993,,70.109375,,69.76261123251356,,60.666666666666664,,68.5,,0.09375,,0.05221961960382069,,0.0,,0.0,,,,,,,,,,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-11-16,,Charlotte,W,88.0,74.0,30.0,53.0,0.566,7.0,11.0,0.636,21.0,28.0,0.75,7.0,35.0,16.0,7.0,4.0,14.0,16.0,,28.0,63.0,0.444,10.0,26.0,0.385,8.0,13.0,0.615,11.0,24.0,16.0,6.0,5.0,11.0,20.0,3.0,14.0,1,2,81.0,1,0,0,1,68.3125,61.0,66.69274117459415,61.0,57.0,,66.0,61.0,71.90625,53.0,72.83248129043294,53.0,64.33333333333333,,71.0,53.0,7.25,-0.11680305062847873,7.571321833244661,-0.11680305062847873,5.0,,6.0,-0.11680305062847873,7.78125,0.13930582657535673,7.7148335620690505,0.13930582657535673,5.0,,4.0,0.13930582657535673,0.425,0.311,0.4199012927044184,0.311,0.36866666666666686,,0.3639999999999999,0.311,0.4453750000000001,0.362,0.4538475118166281,0.362,0.4133333333333335,,0.42199999999999993,0.362,70.109375,57.0,69.76261123251356,57.0,60.666666666666664,,68.5,57.0,0.09375,2.0,0.05221961960382069,2.0,0.0,,0.0,2.0,8.0,8.0,,8.0,0.14035087719298245,0.14035087719298245,,0.14035087719298245,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-11-20,@,California,L,62.0,70.0,18.0,55.0,0.327,5.0,15.0,0.333,21.0,25.0,0.84,9.0,23.0,10.0,6.0,1.0,10.0,26.0,,24.0,55.0,0.436,3.0,23.0,0.13,19.0,31.0,0.613,18.0,44.0,14.0,1.0,6.0,15.0,19.0,4.0,-8.0,0,3,66.0,0,1,0,-1,68.3125,74.5,66.69274117459415,74.921875,57.0,,66.0,88.0,71.90625,63.5,72.83248129043294,63.82812499999999,64.33333333333333,,71.0,74.0,7.25,-0.09204785203677446,7.571321833244661,-0.09141800131139638,5.0,,6.0,-0.07488799846752492,7.78125,0.11167248828981224,7.7148335620690505,0.11095544205767821,5.0,,4.0,0.09188104330151686,0.425,0.4385,0.4199012927044184,0.442484375,0.36866666666666686,,0.3639999999999999,0.5660000000000001,0.4453750000000001,0.403,0.4538475118166281,0.40428125000000004,0.4133333333333335,,0.42199999999999993,0.44400000000000006,70.109375,69.0,69.76261123251356,69.375,60.666666666666664,,68.5,81.0,0.09375,3.0,0.05221961960382069,3.0,0.0,,0.0,3.0,11.0,11.093750000000007,,14.0,0.15942028985507245,0.15990990990991003,,0.1728395061728395,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-11-23,@,San Diego State,L,54.0,79.0,18.0,56.0,0.321,7.0,21.0,0.333,11.0,14.0,0.786,9.0,28.0,8.0,4.0,3.0,12.0,23.0,,26.0,53.0,0.491,11.0,27.0,0.407,16.0,25.0,0.64,9.0,33.0,17.0,4.0,5.0,11.0,16.0,3.0,-25.0,0,4,66.5,0,1,0,-1,68.3125,70.33333333333333,66.69274117459415,70.34266189391474,57.0,70.33333333333333,66.0,62.0,71.90625,65.66666666666667,72.83248129043294,66.01529450048811,64.33333333333333,65.66666666666667,71.0,70.0,7.25,-0.08603621044512078,7.571321833244661,-0.08522442178107659,5.0,-0.08603621044512078,6.0,-0.07158887823292082,7.78125,0.006272592210832206,7.7148335620690505,-0.00023720069112637132,5.0,0.006272592210832206,4.0,-0.18495293353246,0.425,0.4013333333333333,0.4199012927044184,0.40155938821998044,0.36866666666666686,0.4013333333333333,0.3639999999999999,0.32700000000000007,0.4453750000000001,0.414,0.4538475118166281,0.4155216400911162,0.4133333333333335,0.414,0.42199999999999993,0.4360000000000001,70.109375,68.0,69.76261123251356,68.17897819720143,60.666666666666664,68.0,68.5,66.0,0.09375,0.4444444444444444,0.05221961960382069,0.3392977201154382,0.0,0.4444444444444444,0.0,4.0,4.666666666666657,4.327367393426627,4.666666666666657,-8.0,0.06862745098039202,0.06347069885544654,0.06862745098039202,-0.12121212121212122,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-11-26,N,Little Rock,L,46.0,54.0,13.0,42.0,0.31,6.0,17.0,0.353,14.0,21.0,0.667,5.0,35.0,10.0,3.0,3.0,22.0,19.0,,15.0,57.0,0.263,4.0,22.0,0.182,20.0,22.0,0.909,9.0,30.0,10.0,10.0,4.0,6.0,18.0,3.0,-8.0,0,5,50.0,0,0,1,0,68.3125,66.25,66.69274117459415,65.86624237804878,57.0,68.0,66.0,54.0,71.90625,69.0,72.83248129043294,69.57193597560975,64.33333333333333,74.33333333333333,71.0,79.0,7.25,-0.05314700361332253,7.571321833244661,-0.049162031340936,5.0,-0.034112597398006206,6.0,0.07536452678500033,7.78125,0.034301724852633164,7.7148335620690505,0.03224492083036168,5.0,0.009345593053062151,4.0,0.10419715688345321,0.425,0.38125,0.4199012927044184,0.3794933612804878,0.36866666666666686,0.4046666666666667,0.3639999999999999,0.3210000000000001,0.4453750000000001,0.43325,0.4538475118166281,0.4361959222560976,0.4133333333333335,0.457,0.42199999999999993,0.49100000000000005,70.109375,67.625,69.76261123251356,67.71908917682927,60.666666666666664,71.16666666666667,68.5,66.5,0.09375,0.0,0.05221961960382069,0.019493158834027316,0.0,0.5555555555555556,0.0,5.0,-2.75,-3.705693597560966,-6.333333333333329,-25.0,-0.04066543438077634,-0.05472155108118176,-0.08899297423887581,-0.37593984962406013,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-11-27,N,Stetson,W,93.0,73.0,33.0,61.0,0.541,10.0,21.0,0.476,17.0,18.0,0.944,13.0,38.0,19.0,8.0,1.0,14.0,19.0,,22.0,53.0,0.415,8.0,26.0,0.308,21.0,24.0,0.875,7.0,20.0,12.0,9.0,1.0,14.0,11.0,1.0,20.0,1,6,83.0,0,0,1,0,68.3125,62.2,66.69274117459415,61.38132873771612,57.0,54.0,66.0,46.0,71.90625,66.0,72.83248129043294,66.05648565871603,64.33333333333333,67.66666666666667,71.0,54.0,7.25,-0.03378159683057669,7.571321833244661,-0.027685442834091578,5.0,0.01980897122944475,6.0,0.07777998572219841,7.78125,0.013748365168838705,7.7148335620690505,0.009444174234236713,5.0,-0.04751450988713979,4.0,-0.09130213988166636,0.425,0.367,0.4199012927044184,0.36380485220119624,0.36866666666666686,0.31933333333333336,0.3639999999999999,0.3100000000000001,0.4453750000000001,0.3992,0.4538475118166281,0.39709598884168107,0.4133333333333335,0.39666666666666667,0.42199999999999993,0.263,70.109375,64.1,69.76261123251356,63.71890719821608,60.666666666666664,60.833333333333336,68.5,50.0,0.09375,0.0,0.05221961960382069,0.014022314919423004,0.0,2.6666666666666665,0.0,0.0,-3.799999999999997,-4.67515692099991,-13.666666666666671,-8.0,-0.059282371294851754,-0.07337158037655109,-0.22465753424657542,-0.16,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-12-01,,Florida Atlantic,W,74.0,48.0,32.0,59.0,0.542,5.0,13.0,0.385,5.0,11.0,0.455,9.0,38.0,23.0,5.0,3.0,11.0,17.0,,19.0,53.0,0.358,5.0,23.0,0.217,5.0,12.0,0.417,6.0,27.0,16.0,3.0,4.0,12.0,13.0,4.0,26.0,1,7,61.0,1,0,0,1,68.3125,67.33333333333333,66.69274117459415,67.50765803337546,57.0,64.33333333333333,66.0,93.0,71.90625,67.16666666666667,72.83248129043294,67.40183806049707,64.33333333333333,68.66666666666667,71.0,73.0,7.25,-0.023920401707848926,7.571321833244661,-0.017878216884414377,5.0,0.04398859126398713,6.0,0.009056283057401748,7.78125,0.014019062213729283,7.7148335620690505,0.010661004534280705,5.0,0.02142709420679101,4.0,0.01524276118378265,0.425,0.39599999999999996,0.4199012927044184,0.3981375986978335,0.36866666666666686,0.3906666666666667,0.3639999999999999,0.5410000000000001,0.4453750000000001,0.4018333333333333,0.4538475118166281,0.40056501090017155,0.4133333333333335,0.38966666666666666,0.42199999999999993,0.4149999999999999,70.109375,67.25,69.76261123251356,67.45474804693627,60.666666666666664,66.5,68.5,83.0,0.09375,0.0,0.05221961960382069,0.010634051198760798,0.0,0.7777777777777777,0.0,0.0,0.1666666666666572,0.10581997287839329,-4.333333333333343,20.0,0.0024783147459725976,0.00156875499415937,-0.06516290726817058,0.24096385542168675,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-12-04,,USC Upstate,W,82.0,71.0,27.0,50.0,0.54,3.0,13.0,0.231,25.0,32.0,0.781,10.0,30.0,15.0,5.0,2.0,11.0,19.0,,24.0,55.0,0.436,13.0,27.0,0.481,10.0,18.0,0.556,11.0,28.0,19.0,7.0,2.0,16.0,25.0,3.0,11.0,1,8,76.5,1,0,0,1,68.3125,68.28571428571429,66.69274117459415,68.61777940017608,57.0,71.0,66.0,74.0,71.90625,64.42857142857143,72.83248129043294,64.0843302802713,64.33333333333333,58.333333333333336,71.0,48.0,7.25,-0.037373734488825805,7.571321833244661,-0.03501711469087182,5.0,-0.017749714216564627,6.0,-0.11082165940118585,7.78125,0.012417988228705656,7.7148335620690505,0.009164421542459333,5.0,-0.02209579067531714,4.0,-0.0010243621038885653,0.425,0.41685714285714287,0.4199012927044184,0.4227365379382156,0.36866666666666686,0.46433333333333343,0.3639999999999999,0.5420000000000001,0.4453750000000001,0.3955714285714286,0.4538475118166281,0.3932868471310273,0.4133333333333335,0.3453333333333333,0.42199999999999993,0.35799999999999993,70.109375,66.35714285714286,69.76261123251356,66.3510548402237,60.666666666666664,64.66666666666667,68.5,61.0,0.09375,0.16326530612244897,0.05221961960382069,0.15385182874793132,0.0,0.8888888888888888,0.0,8.0,3.857142857142861,4.533449119904773,12.666666666666664,26.0,0.05812701829924656,0.06832520041801175,0.19587628865979376,0.4262295081967213,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-12-07,@,College of Charleston,L,73.0,77.0,29.0,63.0,0.46,5.0,16.0,0.313,10.0,22.0,0.455,10.0,37.0,14.0,3.0,4.0,9.0,22.0,,25.0,56.0,0.446,5.0,15.0,0.333,22.0,29.0,0.759,8.0,36.0,18.0,6.0,2.0,8.0,19.0,3.0,-4.0,0,9,75.0,0,1,0,-1,68.3125,70.0,66.69274117459415,70.67852480491979,57.0,83.0,66.0,82.0,71.90625,65.25,72.83248129043294,65.14928317723997,64.33333333333333,64.0,71.0,71.0,7.25,-0.061738647818174286,7.571321833244661,-0.06516586202240127,5.0,-0.09665689222437049,6.0,-0.20376826454291297,7.78125,0.042797476976571214,7.7148335620690505,0.04719370709325549,5.0,0.09272563789611143,4.0,0.2357714125439988,0.425,0.43225,0.4199012927044184,0.4407940896566009,0.36866666666666686,0.541,0.3639999999999999,0.5400000000000003,0.4453750000000001,0.400625,0.4538475118166281,0.39986430061419653,0.4133333333333335,0.403,0.42199999999999993,0.43599999999999994,70.109375,67.625,69.76261123251356,67.91390399107989,60.666666666666664,73.5,68.5,76.5,0.09375,0.5625,0.05221961960382069,0.6625003710703301,0.0,4.0,0.0,9.0,4.75,5.5292416276798235,19.0,11.0,0.07024029574861368,0.08141545843699485,0.2585034013605442,0.1437908496732026,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
2015-12-13,,North Carolina A&T,W,71.0,60.0,25.0,55.0,0.455,4.0,19.0,0.211,17.0,24.0,0.708,11.0,35.0,16.0,6.0,3.0,10.0,16.0,,21.0,53.0,0.396,5.0,19.0,0.263,13.0,17.0,0.765,9.0,28.0,15.0,2.0,5.0,14.0,20.0,6.0,11.0,1,10,65.5,1,0,0,1,68.3125,70.33333333333333,66.69274117459415,71.00547906506333,57.0,76.33333333333333,66.0,73.0,71.90625,66.55555555555556,72.83248129043294,66.81832636114623,64.33333333333333,65.33333333333333,71.0,77.0,7.25,-0.06707886447355682,7.571321833244661,-0.07137453929788751,5.0,-0.14321868524799336,6.0,-0.10804491004909406,7.78125,0.022034903338515488,7.7148335620690505,0.020266074560504443,5.0,0.03851645422264205,4.0,-0.11871916729869375,0.425,0.43533333333333335,0.4199012927044184,0.4434990309887404,0.36866666666666686,0.5140000000000001,0.3639999999999999,0.4600000000000002,0.4453750000000001,0.4056666666666667,0.4538475118166281,0.4063620066809499,0.4133333333333335,0.41333333333333333,0.42199999999999993,0.4459999999999999,70.109375,68.44444444444444,69.76261123251356,68.9119027131048,60.666666666666664,70.83333333333333,68.5,75.0,0.09375,0.12345679012345678,0.05221961960382069,0.0851249561830131,0.0,1.1111111111111112,0.0,10.0,3.7777777777777715,4.187152703917093,11.0,-4.0,0.0551948051948051,0.06076095041736285,0.15529411764705883,-0.05333333333333334,-3.59375,-0.05125919322487185,-6.139740115838791,-0.08800903531800862,-7.333333333333329,-0.12087912087912081,-5.0,-0.072992700729927,AAC
