Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,,North Florida,L,81.0,93.0,32.0,71.0,0.451,5.0,16.0,0.313,12.0,23.0,0.522,9.0,37.0,14.0,2.0,2.0,5.0,14.0,,35.0,67.0,0.522,17.0,33.0,0.515,6.0,8.0,0.75,3.0,35.0,20.0,2.0,6.0,6.0,21.0,,-12.0,0,1,87.0,1,0,0,1,72.11764705882354,,70.58066593046642,,70.33333333333333,,58.0,,74.76470588235294,,74.314547667533,,69.0,,89.0,,8.147058823529411,,8.123774792142711,,9.333333333333334,,4.0,,8.764705882352942,,8.720016482628376,,8.333333333333334,,13.0,,0.4328823529411765,,0.43071826273656727,,0.4643333333333335,,0.39299999999999996,,0.46108823529411763,,0.46183395612446815,,0.45933333333333315,,0.5830000000000003,,73.44117647058823,,72.44760679899973,,69.66666666666667,,73.5,,0.14705882352941177,,0.05426703988601457,,0.0,,0.0,,,,,,,,,,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-15,,North Dakota State,W,80.0,74.0,28.0,57.0,0.491,7.0,17.0,0.412,17.0,27.0,0.63,7.0,32.0,15.0,7.0,4.0,11.0,17.0,,27.0,61.0,0.443,11.0,27.0,0.407,9.0,10.0,0.9,4.0,29.0,12.0,5.0,2.0,15.0,23.0,2.0,6.0,1,2,77.0,1,0,0,1,72.11764705882354,81.0,70.58066593046642,81.0,70.33333333333333,,58.0,81.0,74.76470588235294,93.0,74.314547667533,93.0,69.0,,89.0,93.0,8.147058823529411,-0.1283391769187034,8.123774792142711,-0.1283391769187034,9.333333333333334,,4.0,-0.1283391769187034,8.764705882352942,0.23486273467030494,8.720016482628376,0.23486273467030494,8.333333333333334,,13.0,0.23486273467030494,0.4328823529411765,0.451,0.43071826273656727,0.451,0.4643333333333335,,0.39299999999999996,0.451,0.46108823529411763,0.522,0.46183395612446815,0.522,0.45933333333333315,,0.5830000000000003,0.522,73.44117647058823,87.0,72.44760679899973,87.0,69.66666666666667,,73.5,87.0,0.14705882352941177,2.0,0.05426703988601457,2.0,0.0,,0.0,2.0,-12.0,-12.0,,-12.0,-0.13793103448275862,-0.13793103448275862,,-0.13793103448275862,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-18,@,Providence,L,59.0,60.0,23.0,60.0,0.383,9.0,25.0,0.36,4.0,6.0,0.667,13.0,34.0,17.0,5.0,3.0,13.0,21.0,,23.0,60.0,0.383,6.0,23.0,0.261,8.0,18.0,0.444,15.0,37.0,13.0,6.0,4.0,7.0,13.0,3.0,-1.0,0,3,59.5,0,1,0,-1,72.11764705882354,80.5,70.58066593046642,80.48529411764706,70.33333333333333,,58.0,80.0,74.76470588235294,83.5,74.314547667533,83.22058823529412,69.0,,89.0,74.0,8.147058823529411,-0.08992187763183887,8.123774792142711,-0.08878473118848565,9.333333333333334,,4.0,-0.051024362103888554,8.764705882352942,0.1894696498721593,8.720016482628376,0.18797767005727062,8.333333333333334,,13.0,0.13242158384205738,0.4328823529411765,0.471,0.43071826273656727,0.47158823529411764,0.4643333333333335,,0.39299999999999996,0.49099999999999994,0.46108823529411763,0.48250000000000004,0.46183395612446815,0.4813382352941176,0.45933333333333315,,0.5830000000000003,0.44300000000000006,73.44117647058823,82.0,72.44760679899973,81.85294117647058,69.66666666666667,,73.5,77.0,0.14705882352941177,3.0,0.05426703988601457,3.0,0.0,,0.0,3.0,-3.0,-2.735294117647058,,6.0,-0.036585365853658534,-0.03341717570966582,,0.07792207792207792,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-21,N,Chattanooga,L,77.0,81.0,30.0,58.0,0.517,4.0,13.0,0.308,13.0,18.0,0.722,7.0,26.0,14.0,6.0,3.0,15.0,17.0,,29.0,58.0,0.5,12.0,30.0,0.4,11.0,13.0,0.846,6.0,30.0,17.0,10.0,8.0,19.0,18.0,3.0,-4.0,0,4,79.0,0,0,1,0,72.11764705882354,73.33333333333333,70.58066593046642,72.89824156817528,70.33333333333333,73.33333333333333,58.0,59.0,74.76470588235294,75.66666666666667,74.314547667533,75.0207552608821,69.0,75.66666666666667,89.0,60.0,8.147058823529411,-0.02716072574025219,8.123774792142711,-0.022224793922429875,9.333333333333334,-0.02716072574025219,4.0,0.14410275654017923,8.764705882352942,0.13581484494456958,8.720016482628376,0.13106865914131316,8.333333333333334,0.13581484494456958,13.0,-0.013524362103888576,0.4328823529411765,0.44166666666666665,0.43071826273656727,0.4403052752954742,0.4643333333333335,0.44166666666666665,0.39299999999999996,0.3829999999999999,0.46108823529411763,0.44933333333333336,0.46183395612446815,0.4466122801960219,0.45933333333333315,0.44933333333333336,0.5830000000000003,0.38300000000000006,73.44117647058823,74.5,72.44760679899973,73.95949841452868,69.66666666666667,74.5,73.5,59.5,0.14705882352941177,0.4444444444444444,0.05426703988601457,0.3451435483295982,0.0,0.4444444444444444,0.0,4.0,-2.333333333333343,-2.122513692706818,-2.333333333333343,-1.0,-0.03131991051454151,-0.02869832459937112,-0.03131991051454151,-0.01680672268907563,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-23,N,Chicago State,W,82.0,79.0,22.0,55.0,0.4,9.0,26.0,0.346,29.0,41.0,0.707,11.0,33.0,14.0,8.0,1.0,14.0,19.0,,26.0,57.0,0.456,11.0,25.0,0.44,16.0,22.0,0.727,5.0,27.0,11.0,5.0,4.0,11.0,29.0,2.0,3.0,1,5,80.5,0,0,1,0,72.11764705882354,74.25,70.58066593046642,74.0158815903198,70.33333333333333,72.0,58.0,77.0,74.76470588235294,77.0,74.314547667533,76.64996949514465,69.0,71.66666666666667,89.0,81.0,8.147058823529411,-0.060999109578636024,8.123774792142711,-0.060621506004136405,9.333333333333334,-0.035746584326110775,4.0,-0.15768020625973272,8.764705882352942,0.13452758594805947,8.720016482628376,0.1310258776518337,8.333333333333334,0.09112680068680906,13.0,0.13092008234055585,0.4328823529411765,0.4605,0.43071826273656727,0.4612029208399004,0.4643333333333335,0.46366666666666667,0.39299999999999996,0.5169999999999999,0.46108823529411763,0.462,0.46183395612446815,0.46115927347602825,0.45933333333333315,0.442,0.5830000000000003,0.5,73.44117647058823,75.625,72.44760679899973,75.33292554273221,69.66666666666667,71.83333333333333,73.5,79.0,0.14705882352941177,0.3125,0.05426703988601457,0.22835036885500792,0.0,0.0,0.0,0.0,-2.75,-2.6340879048248524,0.3333333333333286,-4.0,-0.03636363636363636,-0.034965957924077695,0.004640371229698311,-0.05063291139240506,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-27,N,Alabama-Birmingham,W,72.0,58.0,27.0,56.0,0.482,5.0,12.0,0.417,13.0,19.0,0.684,7.0,28.0,14.0,10.0,0.0,11.0,17.0,,19.0,49.0,0.388,5.0,23.0,0.217,15.0,19.0,0.789,8.0,32.0,11.0,5.0,7.0,16.0,16.0,4.0,14.0,1,6,65.0,0,0,1,0,72.11764705882354,75.8,70.58066593046642,75.80592137650504,70.33333333333333,72.66666666666667,58.0,82.0,74.76470588235294,77.4,74.314547667533,77.17684646346964,69.0,73.33333333333333,89.0,79.0,8.147058823529411,-0.04439507450494401,8.123774792142711,-0.042101408221170034,9.333333333333334,-0.010772068525906953,4.0,0.01574393057903828,8.764705882352942,0.1283361030123905,8.720016482628376,0.12486878423914582,8.333333333333334,0.08193018335065694,13.0,0.10419715688345321,0.4328823529411765,0.4484,0.43071826273656727,0.4474812226244357,0.4643333333333335,0.4333333333333333,0.39299999999999996,0.3999999999999999,0.46108823529411763,0.46080000000000004,0.46183395612446815,0.46000256407919565,0.45933333333333315,0.4463333333333333,0.5830000000000003,0.45599999999999996,73.44117647058823,76.6,72.44760679899973,76.49138391998734,69.66666666666667,73.0,73.5,80.5,0.14705882352941177,0.24000000000000005,0.05426703988601457,0.16492346571068228,0.0,0.6666666666666666,0.0,0.0,-1.6000000000000085,-1.3709250869646041,-0.6666666666666572,3.0,-0.020887728459530137,-0.0179226079684823,-0.00913242009132407,0.037267080745341616,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-11-28,N,Iowa State,L,73.0,84.0,29.0,63.0,0.46,10.0,26.0,0.385,5.0,8.0,0.625,7.0,29.0,12.0,2.0,0.0,10.0,13.0,,33.0,67.0,0.493,6.0,25.0,0.24,12.0,14.0,0.857,11.0,40.0,11.0,6.0,0.0,8.0,12.0,1.0,-11.0,0,7,78.5,0,0,1,0,72.11764705882354,75.16666666666667,70.58066593046642,75.07477659340954,70.33333333333333,77.0,58.0,72.0,74.76470588235294,74.16666666666667,74.314547667533,73.49283676885403,69.0,72.66666666666667,89.0,58.0,8.147058823529411,-0.05410085877794624,8.123774792142711,-0.053724988957495445,9.333333333333334,-0.0797581283376548,4.0,-0.10519102877055522,8.764705882352942,0.10445316598599907,8.720016482628376,0.09761356316907288,8.333333333333334,0.0717967388135426,13.0,-0.054903672448716134,0.4328823529411765,0.454,0.43071826273656727,0.4541125272417042,0.4643333333333335,0.46633333333333327,0.39299999999999996,0.4819999999999999,0.46108823529411763,0.4486666666666667,0.46183395612446815,0.44617035529501237,0.45933333333333315,0.44799999999999995,0.5830000000000003,0.38799999999999996,73.44117647058823,74.66666666666667,72.44760679899973,74.2838066811318,69.66666666666667,74.83333333333333,73.5,65.0,0.14705882352941177,0.19444444444444442,0.05426703988601457,0.12558470514685988,0.0,0.0,0.0,0.0,1.0,1.581939824555505,4.333333333333329,14.0,0.013392857142857142,0.021295890655497602,0.05790645879732734,0.2153846153846154,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-12-02,,Notre Dame,L,79.0,84.0,30.0,71.0,0.423,11.0,29.0,0.379,8.0,9.0,0.889,8.0,30.0,15.0,7.0,1.0,3.0,20.0,,29.0,56.0,0.518,10.0,20.0,0.5,16.0,22.0,0.727,5.0,33.0,13.0,1.0,5.0,8.0,14.0,4.0,-5.0,0,8,81.5,1,0,0,1,72.11764705882354,74.85714285714286,70.58066593046642,74.723594221931,70.33333333333333,75.66666666666667,58.0,73.0,74.76470588235294,75.57142857142857,74.314547667533,75.27130800896104,69.0,73.66666666666667,89.0,84.0,8.147058823529411,-0.0329900109588504,8.123774792142711,-0.02872947853212815,9.333333333333334,0.0036562546361995074,4.0,0.09743454200570045,8.764705882352942,0.07210890821747246,8.720016482628376,0.06042995863088296,8.333333333333334,-0.014881828167236988,13.0,-0.09923864781817429,0.4328823529411765,0.4548571428571429,0.43071826273656727,0.4551090570135559,0.4643333333333335,0.4473333333333332,0.39299999999999996,0.45999999999999996,0.46108823529411763,0.455,0.46183395612446815,0.45409686927981185,0.45933333333333315,0.4456666666666666,0.5830000000000003,0.493,73.44117647058823,75.21428571428571,72.44760679899973,74.99745111544601,69.66666666666667,74.66666666666667,73.5,78.5,0.14705882352941177,0.16326530612244897,0.05426703988601457,0.09905036416070583,0.0,0.0,0.0,0.0,-0.7142857142857082,-0.5477137870300481,2.0,-11.0,-0.00949667616334275,-0.007303098690473287,0.026785714285714284,-0.14012738853503184,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-12-05,,Western Carolina,W,80.0,68.0,28.0,53.0,0.528,7.0,18.0,0.389,17.0,21.0,0.81,8.0,28.0,14.0,7.0,1.0,15.0,18.0,,21.0,48.0,0.438,11.0,24.0,0.458,15.0,18.0,0.833,2.0,20.0,12.0,8.0,2.0,17.0,20.0,3.0,12.0,1,9,74.0,1,0,0,1,72.11764705882354,75.375,70.58066593046642,75.37445585221676,70.33333333333333,74.66666666666667,58.0,79.0,74.76470588235294,76.625,74.314547667533,76.59979997029106,69.0,75.33333333333333,89.0,84.0,8.147058823529411,-0.015016899417321428,8.123774792142711,-0.007525142616127911,9.333333333333334,0.03468992361039713,4.0,0.10419715688345321,8.764705882352942,0.06820483854863996,8.720016482628376,0.057624092563716145,8.333333333333334,-0.034763300156985866,13.0,0.043618495038968585,0.4328823529411765,0.450875,0.43071826273656727,0.45022211356633746,0.4643333333333335,0.4549999999999999,0.39299999999999996,0.423,0.46108823529411763,0.46287500000000004,0.46183395612446815,0.4638228162547705,0.45933333333333315,0.46633333333333327,0.5830000000000003,0.5180000000000001,73.44117647058823,76.0,72.44760679899973,75.9871279112539,69.66666666666667,75.0,73.5,81.5,0.14705882352941177,0.5625,0.05426703988601457,0.5470122700827826,0.0,1.0,0.0,9.0,-1.25,-1.2253441180743039,-0.6666666666666572,-5.0,-0.01644736842105263,-0.016125680121841096,-0.008888888888888762,-0.06134969325153374,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
2015-12-09,,Yale,W,69.0,65.0,26.0,65.0,0.4,8.0,26.0,0.308,9.0,11.0,0.818,5.0,20.0,12.0,7.0,1.0,5.0,18.0,,25.0,58.0,0.431,5.0,18.0,0.278,10.0,14.0,0.714,16.0,46.0,14.0,2.0,3.0,23.0,16.0,4.0,4.0,1,10,67.0,1,0,0,1,72.11764705882354,75.88888888888889,70.58066593046642,76.01734558467992,70.33333333333333,77.33333333333333,58.0,80.0,74.76470588235294,75.66666666666667,74.314547667533,75.40454100712957,69.0,78.66666666666667,89.0,68.0,8.147058823529411,-0.019234464592907563,8.123774792142711,-0.013887710224781968,9.333333333333334,0.048544603413352816,4.0,-0.051024362103888554,8.764705882352942,0.07854612247760923,8.720016482628376,0.07193095779812281,8.333333333333334,0.029695976879162256,13.0,0.17176975554317025,0.4328823529411765,0.45944444444444443,0.43071826273656727,0.4610322156869389,0.4643333333333335,0.47033333333333327,0.39299999999999996,0.528,0.46108823529411763,0.46011111111111114,0.46183395612446815,0.460233784801805,0.45933333333333315,0.48299999999999993,0.5830000000000003,0.43800000000000017,73.44117647058823,75.77777777777777,72.44760679899973,75.71094329590476,69.66666666666667,78.0,73.5,74.0,0.14705882352941177,1.1111111111111112,0.05426703988601457,1.2338083137938496,0.0,4.444444444444445,0.0,10.0,0.22222222222221433,0.6128045775503494,-1.3333333333333428,12.0,0.0029325513196479898,0.008094002674821995,-0.017094017094017217,0.16216216216216217,-2.647058823529406,-0.036043251902282664,-3.733881737066582,-0.051539062531436655,1.3333333333333286,0.019138755980861174,-31.0,-0.4217687074829932,Big Ten
