Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-17,,Texas-Arlington,W,80.0,68.0,29.0,62.0,0.468,6.0,22.0,0.273,16.0,24.0,0.667,9.0,35.0,11.0,10.0,4.0,18.0,17.0,,24.0,74.0,0.324,8.0,29.0,0.276,12.0,18.0,0.667,16.0,40.0,14.0,12.0,2.0,15.0,23.0,,12.0,1,1,74.0,1,0,0,1,78.93548387096774,,79.14399213897596,,75.0,,83.0,,74.61290322580645,,76.29291574880939,,84.0,,88.0,,7.064516129032258,,7.078766424470713,,7.333333333333333,,8.0,,6.580645161290323,,6.774943191437957,,7.666666666666667,,11.0,,0.4544516129032257,,0.45841451653349913,,0.40333333333333327,,0.4140000000000001,,0.43916129032258056,,0.450419858106833,,0.4786666666666664,,0.4350000000000002,,76.7741935483871,,77.71845394389268,,79.5,,85.5,,0.03225806451612903,,-0.03113905781836577,,-0.3333333333333333,,0.0,,,,,,,,,,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-11-21,@,Grambling,W,86.0,67.0,34.0,66.0,0.515,7.0,26.0,0.269,11.0,20.0,0.55,4.0,32.0,24.0,10.0,5.0,4.0,22.0,,19.0,46.0,0.413,8.0,18.0,0.444,21.0,33.0,0.636,3.0,31.0,9.0,0.0,1.0,16.0,17.0,4.0,19.0,1,2,76.5,0,1,0,-1,78.93548387096774,80.0,79.14399213897596,80.0,75.0,,83.0,80.0,74.61290322580645,68.0,76.29291574880939,68.0,84.0,,88.0,68.0,7.064516129032258,-0.08852436210388856,7.078766424470713,-0.08852436210388856,7.333333333333333,,8.0,-0.08852436210388856,6.580645161290323,0.03941681436669969,6.774943191437957,0.03941681436669969,7.666666666666667,,11.0,0.03941681436669969,0.4544516129032257,0.468,0.45841451653349913,0.468,0.40333333333333327,,0.4140000000000001,0.468,0.43916129032258056,0.324,0.450419858106833,0.324,0.4786666666666664,,0.4350000000000002,0.324,76.7741935483871,74.0,77.71845394389268,74.0,79.5,,85.5,74.0,0.03225806451612903,2.0,-0.03113905781836577,2.0,-0.3333333333333333,,0.0,2.0,12.0,12.0,,12.0,0.16216216216216217,0.16216216216216217,,0.16216216216216217,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-11-24,@,Ohio State,W,82.0,74.0,29.0,70.0,0.414,10.0,25.0,0.4,14.0,18.0,0.778,16.0,39.0,11.0,5.0,2.0,8.0,23.0,,26.0,57.0,0.456,5.0,14.0,0.357,17.0,27.0,0.63,15.0,39.0,8.0,4.0,7.0,14.0,18.0,3.0,8.0,1,3,78.0,0,1,0,-1,78.93548387096774,83.0,79.14399213897596,83.09677419354838,75.0,,83.0,86.0,74.61290322580645,67.5,76.29291574880939,67.48387096774194,84.0,,88.0,67.0,7.064516129032258,-0.07858460306774398,7.078766424470713,-0.07827591489891958,7.333333333333333,,8.0,-0.06933831559226067,6.580645161290323,0.042031193451667004,6.774943191437957,0.04211617326896039,7.666666666666667,,11.0,0.04468459311999201,0.4544516129032257,0.49150000000000005,0.45841451653349913,0.4922580645161291,0.40333333333333327,,0.4140000000000001,0.5150000000000001,0.43916129032258056,0.3685,0.450419858106833,0.36993548387096775,0.4786666666666664,,0.4350000000000002,0.413,76.7741935483871,75.25,77.71845394389268,75.29032258064517,79.5,,85.5,76.5,0.03225806451612903,0.0,-0.03113905781836577,0.003121748178980229,-0.3333333333333333,,0.0,3.0,15.5,15.612903225806448,,19.0,0.2059800664451827,0.20736932305055691,,0.24836601307189543,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-11-27,,North Carolina Central,W,71.0,50.0,26.0,64.0,0.406,4.0,24.0,0.167,15.0,26.0,0.577,14.0,37.0,15.0,7.0,10.0,13.0,17.0,,16.0,58.0,0.276,1.0,12.0,0.083,17.0,21.0,0.81,17.0,45.0,6.0,8.0,1.0,19.0,25.0,3.0,21.0,1,4,60.5,1,0,0,1,78.93548387096774,82.66666666666667,79.14399213897596,82.70735090152566,75.0,82.66666666666667,83.0,82.0,74.61290322580645,69.66666666666667,76.29291574880939,69.79750346740639,84.0,69.66666666666667,88.0,74.0,7.064516129032258,-0.03529855565227569,7.078766424470713,-0.032299516383470006,7.333333333333333,-0.03529855565227569,8.0,0.05232929643269679,6.580645161290323,-0.012088955405324009,6.774943191437957,-0.015455846087673697,7.666666666666667,-0.012088955405324009,11.0,-0.11082165940118585,0.4544516129032257,0.4656666666666667,0.45841451653349913,0.4644715672676838,0.40333333333333327,0.4656666666666667,0.4140000000000001,0.41400000000000003,0.43916129032258056,0.39766666666666667,0.450419858106833,0.400493758668516,0.4786666666666664,0.39766666666666667,0.4350000000000002,0.456,76.7741935483871,76.16666666666667,77.71845394389268,76.25242718446601,79.5,76.16666666666667,85.5,78.0,0.03225806451612903,0.4444444444444444,-0.03113905781836577,0.5651035605117719,-0.3333333333333333,0.4444444444444444,0.0,4.0,13.0,12.909847434119271,13.0,8.0,0.17067833698030632,0.16930408527047175,0.17067833698030632,0.10256410256410256,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-01,@,Memphis,L,68.0,94.0,23.0,60.0,0.383,6.0,20.0,0.3,16.0,34.0,0.471,8.0,31.0,8.0,9.0,5.0,12.0,22.0,,32.0,67.0,0.478,10.0,23.0,0.435,20.0,28.0,0.714,10.0,47.0,21.0,8.0,3.0,13.0,27.0,4.0,-26.0,0,5,81.0,0,1,0,-1,78.93548387096774,79.75,79.14399213897596,79.49138220105962,75.0,79.66666666666667,83.0,71.0,74.61290322580645,64.75,76.29291574880939,64.35919790758501,84.0,63.666666666666664,88.0,50.0,7.064516129032258,-0.05960586680608293,7.078766424470713,-0.059830769954754504,7.333333333333333,-0.04992603574405596,8.0,-0.14451027759684631,6.580645161290323,-0.05869810727763375,6.774943191437957,-0.0662617899429149,7.666666666666667,-0.09362907414577337,11.0,-0.25352436210388857,0.4544516129032257,0.45075,0.45841451653349913,0.44840963047414667,0.40333333333333327,0.445,0.4140000000000001,0.4060000000000001,0.43916129032258056,0.36725,0.450419858106833,0.36629575481188387,0.4786666666666664,0.38166666666666665,0.4350000000000002,0.27599999999999997,76.7741935483871,72.25,77.71845394389268,71.92529005432232,79.5,71.66666666666667,85.5,60.5,0.03225806451612903,0.0,-0.03113905781836577,2.1611248222474835e-05,-0.3333333333333333,0.5555555555555556,0.0,5.0,15.0,15.132184293474609,16.000000000000007,21.0,0.20761245674740483,0.21038753242490743,0.22325581395348845,0.34710743801652894,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-04,,Jackson State,W (2 OT),95.0,88.0,25.0,68.0,0.368,8.0,29.0,0.276,37.0,44.0,0.841,12.0,43.0,18.0,7.0,5.0,16.0,18.0,,37.0,85.0,0.435,8.0,31.0,0.258,6.0,14.0,0.429,14.0,43.0,13.0,9.0,5.0,17.0,28.0,3.0,7.0,1,6,91.5,1,0,0,1,78.93548387096774,77.4,79.14399213897596,76.88731366765676,75.0,73.66666666666667,83.0,68.0,74.61290322580645,70.6,76.29291574880939,71.07611661093841,84.0,72.66666666666667,88.0,94.0,7.064516129032258,-0.05771040861551652,7.078766424470713,-0.057623720762288,7.333333333333333,-0.04203114943420533,8.0,-0.048818479750947386,6.580645161290323,-0.04156968788292531,6.774943191437957,-0.04471756770493984,7.666666666666667,-0.09334087586535647,11.0,0.005624574066324217,0.4544516129032257,0.4372,0.45841451653349913,0.43358711761024343,0.40333333333333327,0.40099999999999997,0.4140000000000001,0.3830000000000001,0.43916129032258056,0.3894,0.450419858106833,0.39160911615105065,0.4786666666666664,0.4033333333333333,0.4350000000000002,0.478,76.7741935483871,74.0,77.71845394389268,73.98171513929758,79.5,73.16666666666667,85.5,81.0,0.03225806451612903,0.24000000000000005,-0.03113905781836577,0.30375723549524747,-0.3333333333333333,0.6666666666666666,0.0,6.0,6.800000000000011,5.811197056718342,1.0,-26.0,0.09189189189189205,0.07854909886553242,0.013667425968109338,-0.32098765432098764,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-12,,Louisiana,W,91.0,79.0,31.0,61.0,0.508,8.0,20.0,0.4,21.0,28.0,0.75,8.0,31.0,15.0,8.0,6.0,11.0,18.0,,28.0,69.0,0.406,6.0,21.0,0.286,17.0,24.0,0.708,15.0,39.0,15.0,5.0,3.0,14.0,21.0,8.0,12.0,1,7,85.0,1,0,0,1,78.93548387096774,80.33333333333333,79.14399213897596,80.41320382408837,75.0,78.0,83.0,95.0,74.61290322580645,73.5,76.29291574880939,74.37058948785976,84.0,77.33333333333333,88.0,88.0,7.064516129032258,-0.05833764011218728,7.078766424470713,-0.05837552602507445,7.333333333333333,-0.08275513133465778,8.0,-0.060892783156520136,6.580645161290323,-0.041415518566473575,6.774943191437957,-0.04381452888976356,7.666666666666667,-0.06783470693147475,11.0,-0.04079708937661586,0.4544516129032257,0.42566666666666664,0.45841451653349913,0.42081965903852736,0.40333333333333327,0.3856666666666666,0.4140000000000001,0.3680000000000001,0.43916129032258056,0.397,0.450419858106833,0.4000557643971855,0.4786666666666664,0.39633333333333337,0.4350000000000002,0.43500000000000005,76.7741935483871,76.91666666666667,77.71845394389268,77.39189665597407,79.5,77.66666666666667,85.5,91.5,0.03225806451612903,0.0,-0.03113905781836577,0.001268463067401925,-0.3333333333333333,0.7777777777777777,0.0,7.0,6.833333333333329,6.04261433622861,0.6666666666666714,7.0,0.0888407367280606,0.07807812700455592,0.008583690987124524,0.07650273224043716,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-15,@,Ole Miss,L,80.0,99.0,27.0,62.0,0.435,8.0,24.0,0.333,18.0,24.0,0.75,9.0,28.0,14.0,8.0,2.0,11.0,17.0,,37.0,65.0,0.569,12.0,26.0,0.462,13.0,19.0,0.684,9.0,33.0,17.0,8.0,4.0,11.0,20.0,3.0,-19.0,0,8,89.5,0,1,0,-1,78.93548387096774,81.85714285714286,79.14399213897596,82.23349589127278,75.0,84.66666666666667,83.0,91.0,74.61290322580645,74.28571428571429,76.29291574880939,75.16656960223685,84.0,87.0,88.0,79.0,7.064516129032258,-0.056979859486087525,7.078766424470713,-0.05674160050831806,7.333333333333333,-0.05368184241884921,8.0,-0.04978809836762482,6.580645161290323,-0.04813974671927318,6.774943191437957,-0.05137930497686616,7.666666666666667,-0.03766229313837133,11.0,-0.08567626083806579,0.4544516129032257,0.4374285714285714,0.45841451653349913,0.4358094331335156,0.40333333333333327,0.41966666666666663,0.4140000000000001,0.5080000000000001,0.43916129032258056,0.3982857142857143,0.450419858106833,0.4010778153305829,0.4786666666666664,0.4396666666666667,0.4350000000000002,0.4060000000000001,76.7741935483871,78.07142857142857,77.71845394389268,78.70003274675481,79.5,85.83333333333333,85.5,85.0,0.03225806451612903,0.16326530612244897,-0.03113905781836577,0.2681658676224353,-0.3333333333333333,0.8888888888888888,0.0,8.0,7.571428571428569,7.0669262890359335,-2.3333333333333286,12.0,0.09698078682525157,0.08979572234456709,-0.027184466019417423,0.1411764705882353,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-18,,Southern,W,83.0,76.0,24.0,53.0,0.453,8.0,20.0,0.4,27.0,38.0,0.711,10.0,36.0,12.0,8.0,4.0,14.0,21.0,,28.0,62.0,0.452,7.0,20.0,0.35,13.0,24.0,0.542,13.0,34.0,13.0,5.0,2.0,12.0,26.0,3.0,7.0,1,9,79.5,1,0,0,1,78.93548387096774,81.625,79.14399213897596,81.88735100168091,75.0,88.66666666666667,83.0,80.0,74.61290322580645,77.375,76.29291574880939,78.86025006337609,84.0,88.66666666666667,88.0,99.0,7.064516129032258,-0.05165606195074923,7.078766424470713,-0.05019820844442857,7.333333333333333,-0.04284767037456527,8.0,-0.013524362103888576,6.580645161290323,-0.032425816061885326,6.774943191437957,-0.03163332672841229,7.666666666666667,-0.020291279397121664,11.0,0.05011200153247508,0.4544516129032257,0.437125,0.45841451653349913,0.4356839880213363,0.40333333333333327,0.437,0.4140000000000001,0.43500000000000005,0.43916129032258056,0.419625,0.450419858106833,0.4271022223149612,0.4786666666666664,0.47000000000000003,0.4350000000000002,0.5690000000000001,76.7741935483871,79.5,77.71845394389268,80.3738005325285,79.5,88.66666666666667,85.5,89.5,0.03225806451612903,0.0,-0.03113905781836577,6.409810835089916e-07,-0.3333333333333333,1.0,0.0,9.0,4.25,3.0271009383048266,0.0,-19.0,0.05345911949685535,0.037662782128608095,0.0,-0.2122905027932961,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
2015-12-22,@,Florida Gulf Coast,W,66.0,63.0,29.0,64.0,0.453,2.0,17.0,0.118,6.0,13.0,0.462,10.0,31.0,5.0,8.0,2.0,13.0,15.0,,22.0,51.0,0.431,5.0,14.0,0.357,14.0,19.0,0.737,7.0,29.0,9.0,7.0,5.0,16.0,14.0,4.0,3.0,1,10,64.5,0,1,0,-1,78.93548387096774,81.77777777777777,79.14399213897596,82.04519128888576,75.0,84.66666666666667,83.0,83.0,74.61290322580645,77.22222222222223,76.29291574880939,78.45449524567259,84.0,84.66666666666667,88.0,76.0,7.064516129032258,-0.04857870992997548,7.078766424470713,-0.046491256141743154,7.333333333333333,-0.03005979517475471,8.0,-0.02436773559786448,6.580645161290323,-0.032948822535543265,6.774943191437957,-0.03239948671709164,7.666666666666667,-0.018248771552707488,11.0,-0.03720857263020433,0.4544516129032257,0.4388888888888889,0.45841451653349913,0.4381404359290626,0.40333333333333327,0.4653333333333333,0.4140000000000001,0.4530000000000001,0.43916129032258056,0.4232222222222222,0.450419858106833,0.4306342188264448,0.4786666666666664,0.4756666666666667,0.4350000000000002,0.4520000000000002,76.7741935483871,79.5,77.71845394389268,80.24984326727918,79.5,84.66666666666667,85.5,79.5,0.03225806451612903,0.12345679012345678,-0.03113905781836577,0.2005931118603059,-0.3333333333333333,1.1111111111111112,0.0,10.0,4.555555555555543,3.590696043213171,0.0,7.0,0.05730258560447224,0.044743963315343076,0.0,0.0880503144654088,4.322580645161295,0.056302521008403425,2.8510763901665683,0.036684677132471616,-9.0,-0.11320754716981132,-5.0,-0.05847953216374269,CUSA
