Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,@,Notre Dame,L,56.0,87.0,17.0,52.0,0.327,6.0,18.0,0.333,16.0,23.0,0.696,7.0,28.0,7.0,5.0,1.0,12.0,19.0,,29.0,68.0,0.426,10.0,29.0,0.345,19.0,25.0,0.76,19.0,47.0,12.0,6.0,3.0,9.0,23.0,,-31.0,0,1,71.5,0,1,-1,69.20689655172414,,70.73487434851477,,68.0,,72.0,,72.72413793103448,,73.52328571550035,,77.0,,74.0,,7.137931034482759,,7.37283492483047,,7.333333333333333,,5.0,,6.689655172413793,,6.924503713796906,,8.666666666666666,,12.0,,0.4203793103448276,,0.4191539159934778,,0.4050000000000001,,0.42599999999999977,,0.45282758620689667,,0.4526946528257527,,0.4613333333333334,,0.4,,70.96551724137932,,72.12908003200754,,72.5,,73.0,,-0.10344827586206896,,-0.14831789601171877,,-1.0,,-1.0,,,,,,,,,,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-11-21,,American,W,68.0,48.0,24.0,57.0,0.421,5.0,20.0,0.25,15.0,24.0,0.625,11.0,40.0,11.0,6.0,1.0,8.0,24.0,,16.0,47.0,0.34,5.0,23.0,0.217,11.0,20.0,0.55,7.0,26.0,11.0,2.0,4.0,11.0,21.0,8.0,20.0,1,2,58.0,1,0,1,69.20689655172414,56.0,70.73487434851477,56.0,68.0,,72.0,56.0,72.72413793103448,87.0,73.52328571550035,87.0,77.0,,74.0,87.0,7.137931034482759,0.007904209324682887,7.37283492483047,0.007904209324682887,7.333333333333333,,5.0,0.007904209324682887,6.689655172413793,0.03130322410300801,6.924503713796906,0.03130322410300801,8.666666666666666,,12.0,0.03130322410300801,0.4203793103448276,0.327,0.4191539159934778,0.327,0.4050000000000001,,0.42599999999999977,0.327,0.45282758620689667,0.426,0.4526946528257527,0.426,0.4613333333333334,,0.4,0.426,70.96551724137932,71.5,72.12908003200754,71.5,72.5,,73.0,71.5,-0.10344827586206896,2.0,-0.14831789601171877,2.0,-1.0,,-1.0,2.0,-31.0,-31.0,,-31.0,-0.43356643356643354,-0.43356643356643354,,-0.43356643356643354,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-11-24,@,Kent State,L,60.0,79.0,19.0,51.0,0.373,4.0,14.0,0.286,18.0,26.0,0.692,8.0,31.0,5.0,2.0,3.0,13.0,18.0,,32.0,70.0,0.457,5.0,18.0,0.278,10.0,14.0,0.714,14.0,37.0,15.0,4.0,7.0,5.0,20.0,3.0,-19.0,0,3,69.5,0,1,-1,69.20689655172414,62.0,70.73487434851477,62.206896551724135,68.0,,72.0,68.0,72.72413793103448,67.5,73.52328571550035,66.82758620689654,77.0,,74.0,48.0,7.137931034482759,-0.047395329845824063,7.37283492483047,-0.04911194525244733,7.333333333333333,,5.0,-0.09293612680977092,6.689655172413793,0.01980897122944475,6.924503713796906,0.019292975357411757,8.666666666666666,,12.0,-0.0010243621038885653,0.4203793103448276,0.374,0.4191539159934778,0.37562068965517237,0.4050000000000001,,0.42599999999999977,0.421,0.45282758620689667,0.383,0.4526946528257527,0.38151724137931037,0.4613333333333334,,0.4,0.34,70.96551724137932,64.75,72.12908003200754,64.51724137931035,72.5,,73.0,58.0,-0.10344827586206896,0.0,-0.14831789601171877,0.0035671819262782386,-1.0,,-1.0,3.0,-5.5,-4.620689655172406,,20.0,-0.08494208494208494,-0.07161945483698544,,0.3448275862068966,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-11-27,@,Maryland-Eastern Shore,L,57.0,70.0,20.0,53.0,0.377,6.0,20.0,0.3,11.0,20.0,0.55,13.0,29.0,15.0,4.0,2.0,15.0,11.0,,30.0,55.0,0.545,4.0,12.0,0.333,6.0,6.0,1.0,8.0,31.0,19.0,3.0,4.0,14.0,16.0,3.0,-13.0,0,4,63.5,0,1,-1,69.20689655172414,61.333333333333336,70.73487434851477,61.41996830427892,68.0,61.333333333333336,72.0,60.0,72.72413793103448,71.33333333333333,73.52328571550035,71.16798732171156,77.0,71.33333333333333,74.0,79.0,7.137931034482759,-0.06895914471258421,7.37283492483047,-0.0715489260423755,7.333333333333333,-0.06895914471258421,5.0,-0.11352436210388855,6.689655172413793,-0.0331505303281876,6.924503713796906,-0.03728680448480909,8.666666666666666,-0.0331505303281876,12.0,-0.12365094438236957,0.4203793103448276,0.37366666666666665,0.4191539159934778,0.37468621236133126,0.4050000000000001,0.37366666666666665,0.42599999999999977,0.37300000000000005,0.45282758620689667,0.4076666666666667,0.4526946528257527,0.40843264659271,0.4613333333333334,0.4076666666666667,0.4,0.457,70.96551724137932,66.33333333333333,72.12908003200754,66.29397781299525,72.5,66.33333333333333,73.0,69.5,-0.10344827586206896,0.4444444444444444,-0.14831789601171877,0.44726630684572316,-1.0,0.4444444444444444,-1.0,4.0,-9.999999999999993,-9.748019017432647,-9.999999999999993,-19.0,-0.150753768844221,-0.14704230065859458,-0.150753768844221,-0.2733812949640288,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-02,,Lehigh,W,84.0,73.0,27.0,59.0,0.458,8.0,19.0,0.421,22.0,26.0,0.846,12.0,32.0,13.0,8.0,3.0,11.0,18.0,,27.0,59.0,0.458,7.0,21.0,0.333,12.0,16.0,0.75,12.0,33.0,13.0,4.0,8.0,19.0,24.0,5.0,11.0,1,5,78.5,1,0,1,69.20689655172414,60.25,70.73487434851477,60.19813252518633,68.0,61.666666666666664,72.0,57.0,72.72413793103448,71.0,73.52328571550035,70.84511425997214,77.0,65.66666666666667,74.0,70.0,7.137931034482759,-0.05211357372214581,7.37283492483047,-0.05222815374396644,7.333333333333333,-0.07028111886064531,5.0,0.0022651115803219435,6.689655172413793,-0.06000323534332519,6.924503713796906,-0.06591410114022361,8.666666666666666,-0.10032639256074138,12.0,-0.14209579067531714,0.4203793103448276,0.3745,0.4191539159934778,0.37532582521091,0.4050000000000001,0.39033333333333337,0.42599999999999977,0.377,0.45282758620689667,0.44200000000000006,0.4526946528257527,0.44618469981161446,0.4613333333333334,0.4473333333333334,0.4,0.5449999999999999,70.96551724137932,65.625,72.12908003200754,65.52162339257924,72.5,63.666666666666664,73.0,63.5,-0.10344827586206896,1.25,-0.14831789601171877,1.3436309782522613,-1.0,0.5555555555555556,-1.0,5.0,-10.75,-10.646981734785804,-4.000000000000007,-13.0,-0.16380952380952382,-0.16249569506227535,-0.06282722513089016,-0.2047244094488189,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-04,@,Maryland,L,55.0,96.0,18.0,62.0,0.29,8.0,27.0,0.296,11.0,16.0,0.688,13.0,26.0,9.0,1.0,1.0,13.0,23.0,,31.0,46.0,0.674,9.0,19.0,0.474,25.0,29.0,0.862,4.0,31.0,22.0,7.0,7.0,10.0,18.0,2.0,-41.0,0,6,75.5,0,1,-1,69.20689655172414,65.0,70.73487434851477,65.63692332690893,68.0,67.0,72.0,84.0,72.72413793103448,71.4,73.52328571550035,71.33751145334482,77.0,74.0,74.0,73.0,7.137931034482759,-0.04583205441158089,7.37283492483047,-0.04508756769302441,7.333333333333333,-0.04486764568597812,5.0,-0.027810076389602867,6.689655172413793,-0.05302016042321628,6.924503713796906,-0.056546730424289426,8.666666666666666,-0.09730814588767234,12.0,-0.025853129227176253,0.4203793103448276,0.3912,0.4191539159934778,0.3942170967407054,0.4050000000000001,0.4026666666666667,0.42599999999999977,0.45799999999999996,0.45282758620689667,0.4452000000000001,0.4526946528257527,0.44888452771596615,0.4613333333333334,0.48666666666666675,0.4,0.45799999999999985,70.96551724137932,68.2,72.12908003200754,68.48721739012687,72.5,70.5,73.0,78.5,-0.10344827586206896,0.24000000000000005,-0.14831789601171877,0.17633422413828817,-1.0,0.6666666666666666,-1.0,6.0,-6.400000000000006,-5.700588126435889,-7.0,11.0,-0.09384164222873909,-0.08323579703878707,-0.09929078014184398,0.14012738853503184,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-12,,Duquesne,L,65.0,67.0,24.0,56.0,0.429,9.0,19.0,0.474,8.0,19.0,0.421,6.0,30.0,16.0,4.0,5.0,10.0,16.0,,28.0,62.0,0.452,6.0,21.0,0.286,5.0,9.0,0.556,12.0,42.0,12.0,4.0,10.0,15.0,19.0,8.0,-2.0,0,7,66.0,1,0,1,69.20689655172414,63.333333333333336,70.73487434851477,63.544919321984025,68.0,65.33333333333333,72.0,55.0,72.72413793103448,75.5,73.52328571550035,76.18797650093018,77.0,79.66666666666667,74.0,96.0,7.137931034482759,-0.021419098945993864,7.37283492483047,-0.01650189212701786,7.333333333333333,0.023210331773662496,5.0,0.12283927425974778,6.689655172413793,-0.048623699852232916,6.924503713796906,-0.050531622410749766,8.666666666666666,-0.062478336999286066,12.0,-0.032274362103888565,0.4203793103448276,0.37433333333333335,0.4191539159934778,0.3737203255351017,0.4050000000000001,0.375,0.42599999999999977,0.29,0.45282758620689667,0.4833333333333334,0.4526946528257527,0.4931588404204099,0.4613333333333334,0.559,0.4,0.6739999999999999,70.96551724137932,69.41666666666667,72.12908003200754,69.8664479114571,72.5,72.5,73.0,75.5,-0.10344827586206896,0.7777777777777777,-0.14831789601171877,0.7827160369800156,-1.0,0.7777777777777777,-1.0,7.0,-12.166666666666664,-12.643057178946151,-14.333333333333343,-41.0,-0.17527010804321724,-0.18096035446039715,-0.1977011494252875,-0.543046357615894,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-15,@,Binghamton,W,67.0,61.0,25.0,51.0,0.49,4.0,12.0,0.333,13.0,21.0,0.619,7.0,38.0,14.0,7.0,4.0,14.0,22.0,,19.0,50.0,0.38,5.0,21.0,0.238,18.0,29.0,0.621,6.0,31.0,9.0,5.0,0.0,12.0,19.0,3.0,6.0,1,8,64.0,0,1,-1,69.20689655172414,63.57142857142857,70.73487434851477,63.798171025946,68.0,68.0,72.0,65.0,72.72413793103448,74.28571428571429,73.52328571550035,74.58884131895807,77.0,78.66666666666667,74.0,67.0,7.137931034482759,-0.003412002553326743,7.37283492483047,0.004486697634289327,7.333333333333333,0.05412269671964087,5.0,0.10186025328072684,6.689655172413793,-0.04813974671927318,6.924503713796906,-0.049646124166722816,8.666666666666666,-0.033863345154736046,12.0,-0.04486764568597812,0.4203793103448276,0.3821428571428571,0.4191539159934778,0.38334155957676846,0.4050000000000001,0.39233333333333337,0.42599999999999977,0.429,0.45282758620689667,0.4788571428571429,0.4526946528257527,0.4859952881672245,0.4613333333333334,0.5280000000000001,0.4,0.45199999999999985,70.96551724137932,68.92857142857143,72.12908003200754,69.19350617245203,72.5,73.33333333333333,73.0,66.0,-0.10344827586206896,0.16326530612244897,-0.14831789601171877,0.08346712276005765,-1.0,0.8888888888888888,-1.0,8.0,-10.714285714285722,-10.790670293012077,-10.666666666666671,-2.0,-0.15544041450777213,-0.15594917630157842,-0.14545454545454553,-0.030303030303030304,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-19,@,Albany (NY),L,58.0,65.0,22.0,54.0,0.407,10.0,23.0,0.435,4.0,4.0,1.0,5.0,27.0,10.0,3.0,4.0,14.0,20.0,,23.0,60.0,0.383,2.0,11.0,0.182,17.0,25.0,0.68,12.0,34.0,11.0,9.0,0.0,7.0,9.0,4.0,-7.0,0,9,61.5,0,1,-1,69.20689655172414,64.0,70.73487434851477,64.30140137071221,68.0,62.333333333333336,72.0,67.0,72.72413793103448,72.625,73.52328571550035,72.45308786137903,77.0,74.66666666666667,74.0,61.0,7.137931034482759,-0.020555612103888565,7.37283492483047,-0.018261441767969733,7.333333333333333,0.023374033618036583,5.0,-0.13441988449194828,6.689655172413793,-0.05018529153590234,6.924503713796906,-0.05202487606316725,8.666666666666666,-0.045667219246745716,12.0,-0.06762272275962627,0.4203793103448276,0.395625,0.4191539159934778,0.40010502951265636,0.4050000000000001,0.403,0.42599999999999977,0.49000000000000005,0.45282758620689667,0.4665,0.4526946528257527,0.4693360456404603,0.4613333333333334,0.5020000000000001,0.4,0.37999999999999984,70.96551724137932,68.3125,72.12908003200754,68.37724461604562,72.5,68.5,73.0,64.0,-0.10344827586206896,0.5625,-0.14831789601171877,0.5325774842696567,-1.0,1.0,-1.0,9.0,-8.625,-8.151686490666819,-12.333333333333336,6.0,-0.1262580054894785,-0.11921636410534622,-0.18004866180048665,0.09375,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
2015-12-30,,NJIT,L,65.0,77.0,23.0,58.0,0.397,11.0,29.0,0.379,8.0,16.0,0.5,10.0,34.0,12.0,7.0,1.0,16.0,17.0,,26.0,64.0,0.406,11.0,31.0,0.355,14.0,17.0,0.824,12.0,40.0,15.0,10.0,2.0,12.0,19.0,11.0,-12.0,0,10,71.0,1,0,1,69.20689655172414,63.333333333333336,70.73487434851477,63.39320664549215,68.0,63.333333333333336,72.0,58.0,72.72413793103448,71.77777777777777,73.52328571550035,71.37890536067903,77.0,64.33333333333333,74.0,65.0,7.137931034482759,0.0022651115803219435,7.37283492483047,0.011009583684000346,7.333333333333333,0.0496335326329535,5.0,0.2037170172064563,6.689655172413793,-0.0673943311441362,6.924503713796906,-0.07423058280280673,8.666666666666666,-0.11145182324378491,12.0,-0.22121666979619625,0.4203793103448276,0.3968888888888889,0.4191539159934778,0.401098772881593,0.4050000000000001,0.442,0.42599999999999977,0.40700000000000003,0.45282758620689667,0.45722222222222225,0.4526946528257527,0.4568927910952952,0.4613333333333334,0.4050000000000001,0.4,0.3829999999999999,70.96551724137932,67.55555555555556,72.12908003200754,67.38605600308559,72.5,63.833333333333336,73.0,61.5,-0.10344827586206896,1.1111111111111112,-0.14831789601171877,1.241332696884006,-1.0,1.1111111111111112,-1.0,10.0,-8.444444444444436,-7.985698715186878,-0.9999999999999929,-7.0,-0.12499999999999988,-0.11850669394898576,-0.015665796344647407,-0.11382113821138211,-3.5172413793103345,-0.04956268221574329,-2.788411366985585,-0.038658629303856606,-9.0,-0.12413793103448276,-2.0,-0.0273972602739726,NEC
