Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,,Air Force,W,77.0,75.0,28.0,67.0,0.418,6.0,24.0,0.25,15.0,28.0,0.536,14.0,33.0,14.0,8.0,1.0,5.0,26.0,,22.0,51.0,0.431,4.0,20.0,0.2,27.0,33.0,0.818,8.0,32.0,10.0,2.0,1.0,12.0,21.0,,2.0,1,1,76.0,1,0,0,1,73.75,,71.11516398579546,,62.666666666666664,,60.0,,69.65625,,69.94888615498711,,69.0,,66.0,,6.625,,6.351934736379621,,4.666666666666667,,3.0,,5.90625,,5.773154604130874,,6.333333333333333,,6.0,,0.45631249999999995,,0.4401848877320595,,0.38533333333333336,,0.426,,0.45203125000000005,,0.46094846280320034,,0.4599999999999998,,0.4770000000000005,,71.703125,,70.53202507039127,,65.83333333333333,,63.0,,0.09375,,0.030181353894467525,,0.0,,0.0,,,,,,,,,,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-15,,Florida A&M,W,81.0,51.0,29.0,61.0,0.475,7.0,20.0,0.35,16.0,26.0,0.615,13.0,42.0,18.0,13.0,3.0,18.0,22.0,,16.0,53.0,0.302,5.0,20.0,0.25,14.0,19.0,0.737,5.0,28.0,6.0,8.0,1.0,24.0,24.0,2.0,30.0,1,2,66.0,1,0,0,1,73.75,77.0,71.11516398579546,77.0,62.666666666666664,,60.0,77.0,69.65625,75.0,69.94888615498711,75.0,69.0,,66.0,75.0,6.625,-0.0797581283376548,6.351934736379621,-0.0797581283376548,4.666666666666667,,3.0,-0.0797581283376548,5.90625,-0.15352436210388856,5.773154604130874,-0.15352436210388856,6.333333333333333,,6.0,-0.15352436210388856,0.45631249999999995,0.418,0.4401848877320595,0.418,0.38533333333333336,,0.426,0.418,0.45203125000000005,0.431,0.46094846280320034,0.431,0.4599999999999998,,0.4770000000000005,0.431,71.703125,76.0,70.53202507039127,76.0,65.83333333333333,,63.0,76.0,0.09375,2.0,0.030181353894467525,2.0,0.0,,0.0,2.0,2.0,2.0,,2.0,0.02631578947368421,0.02631578947368421,,0.02631578947368421,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-18,,Kent State,W,72.0,69.0,22.0,45.0,0.489,5.0,15.0,0.333,23.0,30.0,0.767,5.0,29.0,11.0,3.0,0.0,13.0,29.0,,23.0,59.0,0.39,7.0,24.0,0.292,16.0,36.0,0.444,18.0,39.0,10.0,4.0,3.0,14.0,25.0,3.0,3.0,1,3,70.5,1,0,0,1,73.75,79.0,71.11516398579546,79.0625,62.666666666666664,,60.0,81.0,69.65625,63.0,69.94888615498711,62.625,69.0,,66.0,51.0,6.625,-0.06668891906591387,6.351934736379621,-0.06629116052286091,4.666666666666667,,3.0,-0.05426510284462932,5.90625,-0.09923864781817429,5.773154604130874,-0.09720699683442749,6.333333333333333,,6.0,-0.019406715045065026,0.45631249999999995,0.4465,0.4401848877320595,0.44739062499999993,0.38533333333333336,,0.426,0.47500000000000003,0.45203125000000005,0.3665,0.46094846280320034,0.36448437499999997,0.4599999999999998,,0.4770000000000005,0.302,71.703125,71.0,70.53202507039127,70.84375,65.83333333333333,,63.0,66.0,0.09375,3.0,0.030181353894467525,3.0,0.0,,0.0,3.0,16.0,16.4375,,30.0,0.22535211267605634,0.23202470224966917,,0.45454545454545453,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-21,@,Sam Houston State,W (1 OT),86.0,81.0,25.0,54.0,0.463,9.0,18.0,0.5,27.0,33.0,0.818,4.0,26.0,15.0,11.0,1.0,17.0,28.0,,27.0,52.0,0.519,8.0,19.0,0.421,19.0,31.0,0.613,4.0,28.0,23.0,4.0,1.0,21.0,28.0,3.0,5.0,1,4,83.5,0,1,0,-1,73.75,76.66666666666667,71.11516398579546,76.55971363488447,62.666666666666664,76.66666666666667,60.0,72.0,69.65625,65.0,69.94888615498711,64.88415229417507,69.0,65.0,66.0,69.0,6.625,-0.07874175340823641,6.351934736379621,-0.07925535824446017,4.666666666666667,-0.07874175340823641,3.0,-0.10519102877055522,5.90625,-0.0673705159500424,5.773154604130874,-0.06403216343696111,6.333333333333333,-0.0673705159500424,6.0,-0.009176536016932024,0.45631249999999995,0.4606666666666667,0.4401848877320595,0.462136023429873,0.38533333333333336,0.4606666666666667,0.426,0.489,0.45203125000000005,0.37433333333333335,0.46094846280320034,0.3735265213146762,0.4599999999999998,0.37433333333333335,0.4770000000000005,0.38999999999999996,71.703125,70.83333333333333,70.53202507039127,70.72193296452977,65.83333333333333,70.83333333333333,63.0,70.5,0.09375,4.0,0.030181353894467525,4.0,0.0,4.0,0.0,4.0,11.666666666666671,11.675561340709407,11.666666666666671,3.0,0.16470588235294126,0.16509109481729278,0.16470588235294126,0.0425531914893617,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-24,,Oakland,W,97.0,88.0,34.0,63.0,0.54,12.0,25.0,0.48,17.0,28.0,0.607,12.0,32.0,20.0,6.0,0.0,11.0,22.0,,29.0,58.0,0.5,9.0,24.0,0.375,21.0,27.0,0.778,8.0,29.0,12.0,5.0,3.0,12.0,24.0,3.0,9.0,1,5,92.5,1,0,0,1,73.75,79.0,71.11516398579546,79.14550304878047,62.666666666666664,79.66666666666667,60.0,86.0,69.65625,69.0,69.94888615498711,69.29844512195122,69.0,67.0,66.0,81.0,6.625,-0.057195248179837954,6.351934736379621,-0.055538674659202536,4.666666666666667,-0.04992603574405596,3.0,0.00042912626820446054,5.90625,-0.05265479688649727,5.773154604130874,-0.049047279284746004,6.333333333333333,-0.015016899417321428,6.0,-0.017228065807592285,0.45631249999999995,0.46125000000000005,0.4401848877320595,0.46237267530487797,0.38533333333333336,0.47566666666666674,0.426,0.46299999999999997,0.45203125000000005,0.4105,0.46094846280320034,0.41337317073170726,0.4599999999999998,0.4036666666666666,0.4770000000000005,0.519,71.703125,74.0,70.53202507039127,74.22197408536586,65.83333333333333,73.33333333333333,63.0,83.5,0.09375,1.25,0.030181353894467525,1.0223332105610503,0.0,0.5555555555555556,0.0,5.0,10.0,9.847057926829251,12.666666666666671,5.0,0.13513513513513514,0.13267038566642986,0.1727272727272728,0.059880239520958084,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-27,N,UTEP,L,66.0,71.0,26.0,64.0,0.406,5.0,22.0,0.227,9.0,9.0,1.0,6.0,32.0,8.0,3.0,4.0,12.0,28.0,,22.0,51.0,0.431,3.0,12.0,0.25,24.0,38.0,0.632,8.0,35.0,12.0,4.0,2.0,13.0,19.0,3.0,-5.0,0,6,68.5,0,0,1,0,73.75,82.6,71.11516398579546,83.17625407828983,62.666666666666664,85.0,60.0,97.0,69.65625,72.8,69.94888615498711,73.52042414404694,69.0,79.33333333333333,66.0,88.0,6.625,-0.030231383895656105,6.351934736379621,-0.025749471084476006,4.666666666666667,-0.007642009162712071,3.0,0.05760965851466815,5.90625,-0.04154634012586661,5.773154604130874,-0.037605985175654555,6.333333333333333,-0.011003353700527185,6.0,-0.006706180285706742,0.45631249999999995,0.47700000000000004,0.4401848877320595,0.479897471426986,0.38533333333333336,0.49733333333333346,0.426,0.54,0.45203125000000005,0.4284,0.46094846280320034,0.4329296545805817,0.4599999999999998,0.4696666666666666,0.4770000000000005,0.5000000000000001,71.703125,77.7,70.53202507039127,78.34833911116839,65.83333333333333,82.16666666666667,63.0,92.5,0.09375,2.16,0.030181353894467525,1.9896420556553356,0.0,0.6666666666666666,0.0,6.0,9.799999999999997,9.655829934242888,5.666666666666671,9.0,0.1261261261261261,0.12324230537347115,0.06896551724137936,0.0972972972972973,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-11-28,N,Portland,W,80.0,79.0,29.0,58.0,0.5,6.0,17.0,0.353,16.0,22.0,0.727,7.0,26.0,10.0,3.0,2.0,11.0,23.0,,27.0,52.0,0.519,10.0,19.0,0.526,15.0,25.0,0.6,8.0,31.0,17.0,7.0,1.0,17.0,23.0,1.0,1.0,1,7,79.5,0,0,1,0,73.75,79.83333333333333,71.11516398579546,79.84823982757604,62.666666666666664,83.0,60.0,66.0,69.65625,72.5,69.94888615498711,73.03207508778598,69.0,80.0,66.0,71.0,6.625,-0.03795024936902425,6.351934736379621,-0.03543907928607948,4.666666666666667,-0.00027135005569578485,3.0,-0.0862516348311613,5.90625,-0.06524850003492305,5.773154604130874,-0.06570217563514785,6.333333333333333,-0.06352436210388857,6.0,-0.18676379872360688,0.45631249999999995,0.46516666666666673,0.4401848877320595,0.46557934147386815,0.38533333333333336,0.4696666666666669,0.426,0.406,0.45203125000000005,0.42883333333333334,0.46094846280320034,0.43255577108340826,0.4599999999999998,0.4833333333333332,0.4770000000000005,0.43100000000000005,71.703125,76.16666666666667,70.53202507039127,76.44015745768101,65.83333333333333,81.5,63.0,68.5,0.09375,1.75,0.030181353894467525,1.5088775005145258,0.0,0.0,0.0,0.0,7.333333333333329,6.816164739790054,3.0,-5.0,0.09628008752735223,0.08916994635396501,0.03680981595092025,-0.072992700729927,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-12-02,,Southeast Missouri State,W,74.0,50.0,30.0,67.0,0.448,5.0,27.0,0.185,9.0,11.0,0.818,10.0,41.0,17.0,7.0,1.0,16.0,17.0,,19.0,55.0,0.345,3.0,15.0,0.2,9.0,15.0,0.6,5.0,27.0,10.0,10.0,1.0,21.0,17.0,4.0,24.0,1,8,62.0,1,0,0,1,73.75,79.85714285714286,71.11516398579546,79.87418920160827,62.666666666666664,81.0,60.0,80.0,69.65625,73.42857142857143,69.94888615498711,74.05252672058175,69.0,79.33333333333333,66.0,79.0,6.625,-0.045188047255945774,6.351934736379621,-0.044530394888185554,4.666666666666667,-0.029573744819937964,3.0,-0.08852436210388856,5.90625,-0.045041871831515035,5.773154604130874,-0.04163737701708725,6.333333333333333,-0.03621343773414065,6.0,0.06622247333914943,0.45631249999999995,0.4701428571428572,0.4401848877320595,0.471464907681816,0.38533333333333336,0.4820000000000002,0.426,0.5,0.45203125000000005,0.4417142857142857,0.46094846280320034,0.4473368140491418,0.4599999999999998,0.4833333333333332,0.4770000000000005,0.5190000000000001,71.703125,76.64285714285714,70.53202507039127,76.96335796109501,65.83333333333333,80.16666666666667,63.0,79.5,0.09375,1.4693877551020407,0.030181353894467525,1.1851304145443708,0.0,0.8888888888888888,0.0,0.0,6.428571428571431,5.821662481026522,1.6666666666666714,1.0,0.0838769804287046,0.07564200205465792,0.020790020790020847,0.012578616352201259,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-12-05,@,North Texas,W,95.0,63.0,36.0,53.0,0.679,10.0,15.0,0.667,13.0,19.0,0.684,6.0,26.0,13.0,10.0,0.0,11.0,19.0,,24.0,52.0,0.462,2.0,18.0,0.111,13.0,22.0,0.591,6.0,19.0,6.0,6.0,1.0,16.0,19.0,3.0,32.0,1,9,79.0,0,1,0,-1,73.75,79.125,71.11516398579546,78.96961523247428,62.666666666666664,73.33333333333333,60.0,74.0,69.65625,70.5,69.94888615498711,70.34864711837533,69.0,66.66666666666667,66.0,50.0,6.625,-0.0528608549948838,6.351934736379621,-0.05409625788097505,4.666666666666667,-0.09534254392207037,3.0,-0.11082165940118585,5.90625,-0.052886064231548124,5.773154604130874,-0.0516942835028919,6.333333333333333,-0.07352436210388857,6.0,-0.13352436210388857,0.45631249999999995,0.46737500000000004,0.4401848877320595,0.46785151629304494,0.38533333333333336,0.45133333333333353,0.426,0.44799999999999995,0.45203125000000005,0.42962500000000003,0.46094846280320034,0.431577836104132,0.4599999999999998,0.4316666666666666,0.4770000000000005,0.3450000000000001,71.703125,74.8125,70.53202507039127,74.6591311754248,65.83333333333333,70.0,63.0,62.0,0.09375,2.25,0.030181353894467525,2.070254816658977,0.0,1.0,0.0,9.0,8.625,8.620968114098957,6.666666666666657,24.0,0.11528822055137844,0.11547104792637448,0.09523809523809511,0.3870967741935484,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
2015-12-09,,SIU-Edwardsville,L,74.0,76.0,25.0,51.0,0.49,3.0,15.0,0.2,21.0,36.0,0.583,11.0,30.0,6.0,12.0,1.0,17.0,22.0,,25.0,46.0,0.543,10.0,16.0,0.625,16.0,26.0,0.615,5.0,24.0,9.0,9.0,5.0,20.0,29.0,4.0,-2.0,0,10,75.0,1,0,0,1,73.75,80.88888888888889,71.11516398579546,81.22731869731855,62.666666666666664,83.0,60.0,95.0,69.65625,69.66666666666667,69.94888615498711,69.31367095893317,69.0,64.0,66.0,63.0,6.625,-0.04566721924674566,6.351934736379621,-0.044812453567231736,4.666666666666667,-0.0605123139111175,3.0,0.0022651115803219435,5.90625,-0.06950522334790771,5.773154604130874,-0.07301975788246909,6.333333333333333,-0.07914936210388857,6.0,-0.21828626686579333,0.45631249999999995,0.49088888888888893,0.4401848877320595,0.49758945896722984,0.38533333333333336,0.5423333333333334,0.426,0.679,0.45203125000000005,0.4332222222222223,0.46094846280320034,0.43586246344351454,0.4599999999999998,0.4419999999999999,0.4770000000000005,0.4620000000000002,71.703125,75.27777777777777,70.53202507039127,75.27049482812585,65.83333333333333,73.5,63.0,79.0,0.09375,1.1111111111111112,0.030181353894467525,0.7356326712164752,0.0,0.0,0.0,10.0,11.222222222222214,11.913647738385379,19.0,32.0,0.14907749077490764,0.1582777921892136,0.2585034013605442,0.4050632911392405,4.09375,0.057093048594465026,1.1662778308083546,0.0165354366281757,-6.333333333333336,-0.09620253164556966,-6.0,-0.09523809523809523,MVC
