Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-16,,Eastern Kentucky,W,78.0,59.0,29.0,65.0,0.446,7.0,25.0,0.28,13.0,22.0,0.591,14.0,40.0,16.0,8.0,8.0,15.0,29.0,,17.0,51.0,0.333,3.0,9.0,0.333,22.0,35.0,0.629,10.0,34.0,5.0,5.0,0.0,19.0,25.0,,19.0,1,1,68.5,1,0,0,1,78.29032258064517,,76.71454126236593,,79.33333333333333,,85.0,,72.38709677419355,,72.61020942941427,,78.66666666666667,,93.0,,7.096774193548387,,7.152727882221077,,7.666666666666667,,11.0,,5.225806451612903,,5.229547188579931,,4.666666666666667,,4.0,,0.45422580645161303,,0.45398801176639786,,0.4496666666666665,,0.44100000000000034,,0.4273225806451614,,0.4281007319833559,,0.4463333333333335,,0.5370000000000004,,75.33870967741936,,74.66237534589011,,79.0,,89.0,,-0.03225806451612903,,0.006381035363392427,,0.0,,0.0,,,,,,,,,,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-11-21,,Western Michigan,W,80.0,76.0,26.0,67.0,0.388,10.0,36.0,0.278,18.0,25.0,0.72,11.0,32.0,16.0,8.0,2.0,12.0,24.0,,27.0,53.0,0.509,2.0,8.0,0.25,20.0,31.0,0.645,9.0,40.0,9.0,6.0,2.0,18.0,21.0,5.0,4.0,1,2,78.0,1,0,0,1,78.29032258064517,78.0,76.71454126236593,78.0,79.33333333333333,,85.0,78.0,72.38709677419355,59.0,72.61020942941427,59.0,78.66666666666667,,93.0,59.0,7.096774193548387,-0.04429359287311935,7.152727882221077,-0.04429359287311935,7.666666666666667,,11.0,-0.04429359287311935,5.225806451612903,-0.16098198922253262,5.229547188579931,-0.16098198922253262,4.666666666666667,,4.0,-0.16098198922253262,0.45422580645161303,0.446,0.45398801176639786,0.446,0.4496666666666665,,0.44100000000000034,0.446,0.4273225806451614,0.333,0.4281007319833559,0.333,0.4463333333333335,,0.5370000000000004,0.333,75.33870967741936,68.5,74.66237534589011,68.5,79.0,,89.0,68.5,-0.03225806451612903,2.0,0.006381035363392427,2.0,0.0,,0.0,2.0,19.0,19.0,,19.0,0.2773722627737226,0.2773722627737226,,0.2773722627737226,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-11-28,@,ETSU,W,94.0,73.0,41.0,70.0,0.586,7.0,19.0,0.368,5.0,10.0,0.5,11.0,38.0,15.0,10.0,2.0,13.0,24.0,,24.0,52.0,0.462,7.0,15.0,0.467,18.0,25.0,0.72,4.0,23.0,12.0,7.0,4.0,21.0,12.0,7.0,21.0,1,3,83.5,0,1,0,-1,78.29032258064517,79.0,76.71454126236593,79.03225806451613,79.33333333333333,,85.0,80.0,72.38709677419355,67.5,72.61020942941427,67.7741935483871,78.66666666666667,,93.0,76.0,7.096774193548387,0.009260448022693712,7.152727882221077,0.010965433814478842,7.666666666666667,,11.0,0.061475637896111435,5.225806451612903,-0.20241325099277746,5.229547188579931,-0.203576718124831,4.666666666666667,,4.0,-0.23457699368283594,0.45422580645161303,0.41700000000000004,0.45398801176639786,0.4160645161290322,0.4496666666666665,,0.44100000000000034,0.38800000000000007,0.4273225806451614,0.42100000000000004,0.4281007319833559,0.4238387096774193,0.4463333333333335,,0.5370000000000004,0.5090000000000001,75.33870967741936,73.25,74.66237534589011,73.40322580645162,79.0,,89.0,78.0,-0.03225806451612903,3.0,0.006381035363392427,3.0,0.0,,0.0,3.0,11.5,11.258064516129025,,4.0,0.15699658703071673,0.15337288508020205,,0.05128205128205128,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-12,@,Georgetown,L,82.0,87.0,24.0,65.0,0.369,7.0,13.0,0.538,27.0,39.0,0.692,12.0,38.0,14.0,9.0,1.0,11.0,28.0,,24.0,50.0,0.48,10.0,19.0,0.526,29.0,36.0,0.806,5.0,34.0,16.0,4.0,8.0,16.0,27.0,14.0,-5.0,0,4,84.5,0,1,0,-1,78.29032258064517,84.0,76.71454126236593,84.34674063800277,79.33333333333333,84.0,85.0,94.0,72.38709677419355,69.33333333333333,72.61020942941427,69.62968099861304,78.66666666666667,69.33333333333333,93.0,73.0,7.096774193548387,-0.027810076389602867,7.152727882221077,-0.029033948712235358,7.666666666666667,-0.027810076389602867,11.0,-0.09012010678473964,5.225806451612903,-0.14044743902696546,5.229547188579931,-0.13741934845928563,4.666666666666667,-0.14044743902696546,4.0,-0.025853129227176253,0.45422580645161303,0.47333333333333333,0.45398801176639786,0.4764022191400832,0.4496666666666665,0.47333333333333333,0.44100000000000034,0.586,0.4273225806451614,0.4346666666666667,0.4281007319833559,0.43738834951456307,0.4463333333333335,0.4346666666666667,0.5370000000000004,0.4620000000000001,75.33870967741936,76.66666666666667,74.66237534589011,76.9882108183079,79.0,76.66666666666667,89.0,83.5,-0.03225806451612903,0.4444444444444444,0.006381035363392427,0.33611046454588994,0.0,0.4444444444444444,0.0,4.0,14.666666666666671,14.717059639389731,14.666666666666671,21.0,0.19130434782608702,0.19115991244584157,0.19130434782608702,0.25149700598802394,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-16,@,East Carolina,L,73.0,78.0,28.0,69.0,0.406,3.0,25.0,0.12,14.0,21.0,0.667,13.0,41.0,15.0,5.0,3.0,10.0,34.0,,20.0,44.0,0.455,3.0,10.0,0.3,35.0,51.0,0.686,4.0,35.0,16.0,3.0,1.0,15.0,20.0,4.0,-5.0,0,5,75.5,0,1,0,-1,78.29032258064517,83.5,76.71454126236593,83.70209912145395,79.33333333333333,85.33333333333333,85.0,82.0,72.38709677419355,73.75,72.61020942941427,74.4012474012474,78.66666666666667,78.66666666666667,93.0,87.0,7.096774193548387,-0.0350812483314335,7.152727882221077,-0.036674764080681765,7.666666666666667,-0.032274362103888565,11.0,-0.057426801128278804,5.225806451612903,-0.08979554854456653,5.229547188579931,-0.08322357708283659,4.666666666666667,-0.07199893837507501,4.0,0.03130322410300801,0.45422580645161303,0.44725,0.45398801176639786,0.44689920193146,0.4496666666666665,0.44766666666666666,0.44100000000000034,0.369,0.4273225806451614,0.446,0.4281007319833559,0.44909362215813825,0.4463333333333335,0.4836666666666667,0.5370000000000004,0.48000000000000004,75.33870967741936,78.625,74.66237534589011,79.05167326135069,79.0,82.0,89.0,84.5,-0.03225806451612903,0.0,0.006381035363392427,0.02076840954179832,0.0,0.5555555555555556,0.0,5.0,9.75,9.300851720206552,6.666666666666657,-5.0,0.12400635930047695,0.11765534284716843,0.08130081300812997,-0.05917159763313609,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-19,@,Radford,L,67.0,69.0,26.0,61.0,0.426,2.0,13.0,0.154,13.0,21.0,0.619,11.0,38.0,8.0,5.0,6.0,10.0,14.0,,27.0,66.0,0.409,6.0,21.0,0.286,9.0,10.0,0.9,7.0,33.0,9.0,5.0,5.0,8.0,23.0,3.0,-2.0,0,6,68.0,0,1,0,-1,78.29032258064517,81.4,76.71454126236593,81.27689046718372,79.33333333333333,83.0,85.0,73.0,72.38709677419355,74.6,72.61020942941427,75.21676273595182,78.66666666666667,79.33333333333333,93.0,78.0,7.096774193548387,-0.06291011148963799,7.152727882221077,-0.06792976192804778,7.666666666666667,-0.10870508499545484,11.0,-0.19023669087101186,5.225806451612903,-0.11245197604490731,5.229547188579931,-0.11022839459851927,4.666666666666667,-0.06142352176775412,4.0,-0.19813974671927317,0.45422580645161303,0.43899999999999995,0.45398801176639786,0.4376310109577768,0.4496666666666665,0.4536666666666667,0.44100000000000034,0.406,0.4273225806451614,0.4478,0.4281007319833559,0.4504320697369649,0.4463333333333335,0.46566666666666673,0.5370000000000004,0.45500000000000007,75.33870967741936,78.0,74.66237534589011,78.24682660156776,79.0,81.16666666666667,89.0,75.5,-0.03225806451612903,0.24000000000000005,0.006381035363392427,0.4585634857213452,0.0,6.0,0.0,6.0,6.800000000000011,6.060127731231901,3.6666666666666714,-5.0,0.08717948717948733,0.07744886271350052,0.04517453798767973,-0.06622516556291391,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-22,N,Utah Valley,W,102.0,77.0,38.0,77.0,0.494,6.0,23.0,0.261,20.0,25.0,0.8,14.0,46.0,16.0,10.0,4.0,8.0,27.0,,25.0,60.0,0.417,5.0,20.0,0.25,22.0,31.0,0.71,7.0,31.0,13.0,1.0,2.0,13.0,17.0,3.0,25.0,1,7,89.5,0,0,1,0,78.29032258064517,79.0,76.71454126236593,78.49769213961112,79.33333333333333,74.0,85.0,67.0,72.38709677419355,73.66666666666667,72.61020942941427,74.006582085033,78.66666666666667,78.0,93.0,69.0,7.096774193548387,-0.08567626083806579,7.152727882221077,-0.09385640806181006,7.666666666666667,-0.1513621999417264,11.0,-0.22397212329791844,5.225806451612903,-0.10311712228488407,5.229547188579931,-0.09977907471105671,4.666666666666667,-0.06993461851414498,4.0,-0.05265479688649727,0.45422580645161303,0.43683333333333335,0.45398801176639786,0.43536687043809347,0.4496666666666665,0.4003333333333334,0.44100000000000034,0.42600000000000005,0.4273225806451614,0.4413333333333333,0.4281007319833559,0.44236673231734136,0.4463333333333335,0.4480000000000001,0.5370000000000004,0.4090000000000001,75.33870967741936,76.33333333333333,74.66237534589011,76.25213711232206,79.0,76.0,89.0,68.0,-0.03225806451612903,0.7777777777777777,0.006381035363392427,1.2189930077732503,0.0,7.0,0.0,7.0,5.333333333333329,4.491110054578115,-4.0,-2.0,0.06986899563318771,0.05889815321454602,-0.05263157894736842,-0.029411764705882353,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-23,N,UMKC,W,76.0,56.0,25.0,63.0,0.397,8.0,25.0,0.32,18.0,22.0,0.818,11.0,42.0,18.0,9.0,1.0,9.0,19.0,,21.0,52.0,0.404,4.0,13.0,0.308,10.0,20.0,0.5,7.0,32.0,8.0,5.0,3.0,15.0,16.0,1.0,20.0,1,8,66.0,0,0,1,0,78.29032258064517,82.28571428571429,76.71454126236593,82.5386752517761,79.33333333333333,80.66666666666667,85.0,102.0,72.38709677419355,74.14285714285714,72.61020942941427,74.52126988990263,78.66666666666667,74.66666666666667,93.0,77.0,7.096774193548387,-0.09477436210388859,7.152727882221077,-0.10303500853738345,7.666666666666667,-0.1771607257402522,11.0,-0.13705377386859444,5.225806451612903,-0.10543187655475558,5.229547188579931,-0.10314395098991952,4.666666666666667,-0.12602436210388857,4.0,-0.11871916729869375,0.45422580645161303,0.445,0.45398801176639786,0.4454482415009064,0.4496666666666665,0.442,0.44100000000000034,0.49400000000000005,0.4273225806451614,0.4378571428571428,0.4281007319833559,0.43800518035767394,0.4463333333333335,0.4270000000000001,0.5370000000000004,0.4170000000000001,75.33870967741936,78.21428571428571,74.66237534589011,78.52997257083936,79.0,77.66666666666667,89.0,89.5,-0.03225806451612903,0.6530612244897959,0.006381035363392427,0.955249764243497,0.0,3.5555555555555554,0.0,0.0,8.142857142857153,8.017405361873472,6.0,25.0,0.10410958904109603,0.10209357140219587,0.07725321888412016,0.27932960893854747,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-28,,Campbell,W,106.0,83.0,39.0,70.0,0.557,9.0,18.0,0.5,19.0,26.0,0.731,11.0,40.0,16.0,7.0,5.0,11.0,29.0,,26.0,60.0,0.433,6.0,20.0,0.3,25.0,38.0,0.658,11.0,33.0,7.0,4.0,1.0,15.0,26.0,5.0,23.0,1,9,94.5,1,0,0,1,78.29032258064517,81.5,76.71454126236593,81.52531810527456,79.33333333333333,81.66666666666667,85.0,76.0,72.38709677419355,71.875,72.61020942941427,71.65086258528564,78.66666666666667,67.33333333333333,93.0,56.0,7.096774193548387,-0.08346301241063703,7.152727882221077,-0.08782173328135198,7.666666666666667,-0.1176059947569498,11.0,0.0022651115803219435,5.225806451612903,-0.10482870992997553,5.229547188579931,-0.10267091506539289,4.666666666666667,-0.09075208487616579,4.0,-0.09923864781817429,0.45422580645161303,0.43900000000000006,0.45398801176639786,0.43793978300282765,0.4496666666666665,0.43900000000000006,0.44100000000000034,0.397,0.4273225806451614,0.4336249999999999,0.4281007319833559,0.43273509257893583,0.4463333333333335,0.41000000000000014,0.5370000000000004,0.4040000000000002,75.33870967741936,76.6875,74.66237534589011,76.58809034528011,79.0,74.5,89.0,66.0,-0.03225806451612903,0.5625,0.006381035363392427,0.7673694365802196,0.0,1.0,0.0,0.0,9.625,9.874455519988928,14.333333333333343,20.0,0.12550937245313773,0.1289293867424057,0.19239373601789722,0.30303030303030304,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
2015-12-31,,Drexel,W,75.0,63.0,20.0,43.0,0.465,6.0,12.0,0.5,29.0,38.0,0.763,7.0,28.0,9.0,10.0,11.0,17.0,18.0,,22.0,67.0,0.328,5.0,13.0,0.385,14.0,19.0,0.737,21.0,40.0,9.0,7.0,5.0,18.0,25.0,3.0,12.0,1,10,69.0,1,0,0,1,78.29032258064517,84.22222222222223,76.71454126236593,84.99729428585498,79.33333333333333,94.66666666666667,85.0,106.0,72.38709677419355,73.11111111111111,72.61020942941427,73.26085020202007,78.66666666666667,72.0,93.0,83.0,7.096774193548387,-0.08001512727539256,7.152727882221077,-0.082688708917875,7.666666666666667,-0.07056661562501534,11.0,-0.058807380971813095,5.225806451612903,-0.10379791833489163,5.229547188579931,-0.1017043504495439,4.666666666666667,-0.10519102877055522,4.0,-0.09665689222437049,0.45422580645161303,0.4521111111111112,0.45398801176639786,0.45482965471789183,0.4496666666666665,0.48266666666666674,0.44100000000000034,0.557,0.4273225806451614,0.43355555555555547,0.4281007319833559,0.43277267232195143,0.4463333333333335,0.41800000000000015,0.5370000000000004,0.43300000000000016,75.33870967741936,78.66666666666667,74.66237534589011,79.12907224393751,79.0,83.33333333333333,89.0,94.5,-0.03225806451612903,0.12345679012345678,0.006381035363392427,0.1181915216684093,0.0,1.1111111111111112,0.0,10.0,11.111111111111114,11.736444083834911,22.66666666666667,23.0,0.14124293785310738,0.14832025387147263,0.2720000000000001,0.24338624338624337,5.903225806451616,0.07835581245985873,4.104331832951658,0.05497188930753174,0.6666666666666572,0.008438818565400723,-8.0,-0.0898876404494382,CAA
