Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,@,Oklahoma State,L,57.0,91.0,21.0,56.0,0.375,4.0,20.0,0.2,11.0,16.0,0.688,5.0,29.0,5.0,3.0,0.0,10.0,24.0,,33.0,59.0,0.559,7.0,21.0,0.333,18.0,24.0,0.75,7.0,38.0,12.0,7.0,5.0,5.0,15.0,,-34.0,0,1,74.0,0,1,0,-1,71.18181818181819,,73.07496184518698,,76.33333333333333,,80.0,,72.03030303030303,,72.24754380712021,,79.66666666666667,,83.0,,7.575757575757576,,7.643342284745854,,9.0,,7.0,,8.757575757575758,,9.44081630484368,,13.666666666666666,,10.0,,0.44224242424242427,,0.4539599291838418,,0.4460000000000001,,0.45000000000000034,,0.4354848484848484,,0.4316470662810557,,0.436,,0.39099999999999985,,71.60606060606061,,72.66125282615359,,78.0,,81.5,,-0.21212121212121213,,-0.1637920671782521,,-0.6666666666666666,,-1.0,,,,,,,,,,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-11-16,,Bethune-Cookman,L,79.0,86.0,26.0,59.0,0.441,13.0,30.0,0.433,14.0,25.0,0.56,12.0,34.0,17.0,5.0,4.0,14.0,25.0,,27.0,56.0,0.482,13.0,26.0,0.5,19.0,27.0,0.704,10.0,37.0,12.0,3.0,5.0,12.0,22.0,3.0,-7.0,0,2,82.5,1,0,0,1,71.18181818181819,57.0,73.07496184518698,57.0,76.33333333333333,,80.0,57.0,72.03030303030303,91.0,72.24754380712021,91.0,79.66666666666667,,83.0,91.0,7.575757575757576,-0.10299804631441489,7.643342284745854,-0.10299804631441489,9.0,,7.0,-0.10299804631441489,8.757575757575758,-0.08275513133465778,9.44081630484368,-0.08275513133465778,13.666666666666666,,10.0,-0.08275513133465778,0.44224242424242427,0.375,0.4539599291838418,0.375,0.4460000000000001,,0.45000000000000034,0.375,0.4354848484848484,0.559,0.4316470662810557,0.559,0.436,,0.39099999999999985,0.559,71.60606060606061,74.0,72.66125282615359,74.0,78.0,,81.5,74.0,-0.21212121212121213,2.0,-0.1637920671782521,2.0,-0.6666666666666666,,-1.0,2.0,-34.0,-34.0,,-34.0,-0.4594594594594595,-0.4594594594594595,,-0.4594594594594595,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-11-20,N,Oral Roberts,L,66.0,70.0,23.0,57.0,0.404,7.0,24.0,0.292,13.0,16.0,0.813,5.0,29.0,7.0,7.0,0.0,8.0,19.0,,23.0,54.0,0.426,7.0,21.0,0.333,17.0,22.0,0.773,10.0,37.0,14.0,1.0,2.0,13.0,16.0,4.0,-4.0,0,3,68.0,0,0,1,0,71.18181818181819,68.0,73.07496184518698,68.33333333333334,76.33333333333333,,80.0,79.0,72.03030303030303,88.5,72.24754380712021,88.42424242424241,79.66666666666667,,83.0,86.0,7.575757575757576,0.061475637896111435,7.643342284745854,0.06563306583402712,9.0,,7.0,0.18014652397206082,8.757575757575758,0.025458688743569047,9.44081630484368,0.028833417197002498,13.666666666666666,,10.0,0.13996400998913466,0.44224242424242427,0.40800000000000003,0.4539599291838418,0.409,0.4460000000000001,,0.45000000000000034,0.44100000000000006,0.4354848484848484,0.5205,0.4316470662810557,0.5193333333333333,0.436,,0.39099999999999985,0.4819999999999999,71.60606060606061,78.25,72.66125282615359,78.37878787878788,78.0,,81.5,82.5,-0.21212121212121213,0.0,-0.1637920671782521,0.00275482093663912,-0.6666666666666666,,-1.0,3.0,-20.5,-20.090909090909065,,-7.0,-0.26198083067092653,-0.256330949159095,,-0.08484848484848485,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-11-21,N,Florida International,L,62.0,69.0,21.0,51.0,0.412,9.0,26.0,0.346,11.0,18.0,0.611,13.0,30.0,7.0,2.0,1.0,20.0,21.0,,23.0,47.0,0.489,9.0,19.0,0.474,14.0,21.0,0.667,8.0,25.0,12.0,7.0,6.0,17.0,21.0,1.0,-7.0,0,4,65.5,0,0,1,0,71.18181818181819,67.33333333333333,73.07496184518698,67.5079559363525,76.33333333333333,67.33333333333333,80.0,66.0,72.03030303030303,82.33333333333333,72.24754380712021,81.90697674418604,79.66666666666667,82.33333333333333,83.0,70.0,7.575757575757576,0.04291128146046791,7.643342284745854,0.04454576880230143,9.0,0.04291128146046791,7.0,0.0046574560779296115,8.757575757575758,0.014410860568176254,9.44081630484368,0.01602822464407161,13.666666666666666,0.014410860568176254,10.0,-0.013524362103888576,0.44224242424242427,0.40666666666666673,0.4539599291838418,0.4072313341493267,0.4460000000000001,0.40666666666666673,0.45000000000000034,0.4040000000000001,0.4354848484848484,0.48899999999999993,0.4316470662810557,0.4863182374541003,0.436,0.48899999999999993,0.39099999999999985,0.42599999999999993,71.60606060606061,74.83333333333333,72.66125282615359,74.70746634026928,78.0,74.83333333333333,81.5,68.0,-0.21212121212121213,0.0,-0.1637920671782521,0.001534107678178967,-0.6666666666666666,0.0,-1.0,0.0,-15.0,-14.399020807833537,-15.0,-4.0,-0.200445434298441,-0.19273871158005113,-0.200445434298441,-0.058823529411764705,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-11-22,@,James Madison,W,78.0,75.0,30.0,55.0,0.545,12.0,27.0,0.444,6.0,7.0,0.857,9.0,28.0,8.0,3.0,0.0,11.0,17.0,,28.0,57.0,0.491,11.0,30.0,0.367,8.0,11.0,0.727,8.0,22.0,14.0,5.0,3.0,8.0,9.0,1.0,3.0,1,5,76.5,0,1,0,-1,71.18181818181819,66.0,73.07496184518698,66.00333611342785,76.33333333333333,69.0,80.0,62.0,72.03030303030303,79.0,72.24754380712021,78.38115095913261,79.66666666666667,75.0,83.0,69.0,7.575757575757576,0.061475637896111435,7.643342284745854,0.06441038479393563,9.0,0.10676549296857518,7.0,0.12195950886385337,8.757575757575758,0.0282477897948456,9.44081630484368,0.030878110788991775,13.666666666666666,0.0731423045627781,10.0,0.07777998572219841,0.44224242424242427,0.40800000000000003,0.4539599291838418,0.40853400055601885,0.4460000000000001,0.41900000000000004,0.45000000000000034,0.41200000000000003,0.4354848484848484,0.489,0.4316470662810557,0.48705082012788425,0.436,0.4656666666666666,0.39099999999999985,0.48899999999999993,71.60606060606061,72.5,72.66125282615359,72.19224353628024,78.0,72.0,81.5,65.5,-0.21212121212121213,0.0,-0.1637920671782521,0.00101304573073861,-0.6666666666666666,0.5555555555555556,-1.0,0.0,-13.0,-12.377814845704762,-6.0,-7.0,-0.1793103448275862,-0.1714562983415841,-0.08333333333333333,-0.10687022900763359,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-11-28,@,Mississippi State,L,51.0,76.0,22.0,55.0,0.4,5.0,17.0,0.294,2.0,6.0,0.333,9.0,25.0,9.0,6.0,4.0,12.0,15.0,,32.0,65.0,0.492,4.0,18.0,0.222,8.0,10.0,0.8,15.0,38.0,17.0,9.0,4.0,10.0,14.0,6.0,-25.0,0,6,63.5,0,1,0,-1,71.18181818181819,68.4,73.07496184518698,68.70202892149072,76.33333333333333,68.66666666666667,80.0,78.0,72.03030303030303,78.2,72.24754380712021,77.62054885652647,79.66666666666667,71.33333333333333,83.0,75.0,7.575757575757576,0.08121248000137454,7.643342284745854,0.08576263128847478,9.0,0.09424262818737356,7.0,0.148014099434573,8.757575757575758,0.04708944863779946,9.44081630484368,0.05165708828124749,13.666666666666666,0.06498031079330774,10.0,0.12647563789611144,0.44224242424242427,0.4354,0.4539599291838418,0.43923251930478535,0.4460000000000001,0.45366666666666666,0.45000000000000034,0.5450000000000002,0.4354848484848484,0.4894,0.4316470662810557,0.4879392023831006,0.436,0.4686666666666666,0.39099999999999985,0.491,71.60606060606061,73.3,72.66125282615359,73.1612888890086,78.0,70.0,81.5,76.5,-0.21212121212121213,0.24000000000000005,-0.1637920671782521,0.2745745288896337,-0.6666666666666666,0.6666666666666666,-1.0,6.0,-9.799999999999997,-8.918519935035746,-2.666666666666657,3.0,-0.1336971350613915,-0.12190217081284392,-0.03809523809523796,0.0392156862745098,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-12-01,@,UMKC,L,70.0,74.0,22.0,56.0,0.393,8.0,22.0,0.364,18.0,22.0,0.818,7.0,24.0,14.0,9.0,2.0,7.0,22.0,,26.0,51.0,0.51,8.0,17.0,0.471,14.0,18.0,0.778,4.0,32.0,15.0,3.0,4.0,13.0,19.0,3.0,-4.0,0,7,72.0,0,1,0,-1,71.18181818181819,65.5,73.07496184518698,65.28719954056551,76.33333333333333,63.666666666666664,80.0,51.0,72.03030303030303,77.83333333333333,72.24754380712021,77.30793509496081,79.66666666666667,73.33333333333333,83.0,76.0,7.575757575757576,0.06815502720908856,7.643342284745854,0.06991452869414999,9.0,0.09485260124689682,7.0,-0.019406715045065026,8.757575757575758,0.01409876423444123,9.44081630484368,0.01234673486085719,13.666666666666666,0.013748365168838705,10.0,-0.1556296252617833,0.44224242424242427,0.4295,0.4539599291838418,0.4316643269691006,0.4460000000000001,0.4523333333333334,0.45000000000000034,0.40000000000000013,0.4354848484848484,0.48983333333333334,0.4316470662810557,0.48872255501876066,0.436,0.49066666666666664,0.39099999999999985,0.492,71.60606060606061,71.66666666666667,72.66125282615359,71.29756731776317,78.0,68.5,81.5,63.5,-0.21212121212121213,0.7777777777777777,-0.1637920671782521,0.9354432156109537,-0.6666666666666666,3.1111111111111107,-1.0,7.0,-12.333333333333329,-12.020735554395301,-9.666666666666664,-25.0,-0.17209302325581388,-0.16859951898247222,-0.14111922141119218,-0.3937007874015748,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-12-09,@,Texas Tech,L,49.0,68.0,18.0,54.0,0.333,7.0,24.0,0.292,6.0,13.0,0.462,9.0,32.0,6.0,4.0,4.0,17.0,14.0,,27.0,65.0,0.415,7.0,27.0,0.259,7.0,12.0,0.583,11.0,40.0,17.0,8.0,2.0,10.0,18.0,8.0,-19.0,0,8,58.5,0,1,0,-1,71.18181818181819,66.14285714285714,73.07496184518698,66.08884131217405,76.33333333333333,66.33333333333333,80.0,70.0,72.03030303030303,77.28571428571429,72.24754380712021,76.74525925652554,79.66666666666667,75.0,83.0,74.0,7.575757575757576,0.06228557310129512,7.643342284745854,0.06260310522607904,9.0,0.06336006000666422,7.0,0.029332780753254295,8.757575757575758,0.013647541777811967,9.44081630484368,0.012093042184062819,13.666666666666666,-0.006857695437221922,10.0,0.010799962220435777,0.44224242424242427,0.42428571428571427,0.4539599291838418,0.425087570784248,0.4460000000000001,0.4460000000000001,0.45000000000000034,0.3930000000000001,0.4354848484848484,0.4927142857142857,0.4316470662810557,0.4923418231878422,0.436,0.49766666666666665,0.39099999999999985,0.51,71.60606060606061,71.71428571428571,72.66125282615359,71.4170502843498,78.0,70.66666666666667,81.5,72.0,-0.21212121212121213,1.4693877551020407,-0.1637920671782521,1.793452913234279,-0.6666666666666666,8.0,-1.0,8.0,-11.142857142857153,-10.656417944351489,-8.666666666666671,-4.0,-0.15537848605577706,-0.14921391883202317,-0.12264150943396232,-0.05555555555555555,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-12-11,@,Texas-Rio Grande Valley,W,72.0,64.0,25.0,56.0,0.446,5.0,16.0,0.313,17.0,21.0,0.81,10.0,40.0,8.0,3.0,1.0,12.0,17.0,,22.0,60.0,0.367,6.0,25.0,0.24,14.0,19.0,0.737,8.0,28.0,12.0,4.0,3.0,7.0,19.0,2.0,8.0,1,9,68.0,0,1,0,-1,71.18181818181819,64.0,73.07496184518698,63.473115318021286,76.33333333333333,56.666666666666664,80.0,49.0,72.03030303030303,76.125,72.24754380712021,75.40665463465439,79.66666666666667,72.66666666666667,83.0,68.0,7.575757575757576,0.06733501289611143,7.643342284745854,0.06880010363621758,9.0,0.03941681436669969,7.0,0.11504706646753998,8.757575757575758,0.011598790605471032,9.44081630484368,0.009774954907943889,13.666666666666666,-0.0520564721956317,10.0,-0.004700832692123846,0.44224242424242427,0.412875,0.4539599291838418,0.4109920655221598,0.4460000000000001,0.37533333333333346,0.45000000000000034,0.3330000000000002,0.4354848484848484,0.483,0.4316470662810557,0.48050339519544905,0.436,0.47233333333333327,0.39099999999999985,0.41500000000000004,71.60606060606061,70.0625,72.66125282615359,69.43988497633784,78.0,64.66666666666667,81.5,58.5,-0.21212121212121213,2.25,-0.1637920671782521,2.762951657698715,-0.6666666666666666,9.0,-1.0,9.0,-12.125,-11.933539316633102,-16.000000000000007,-19.0,-0.17305976806422838,-0.17185424948067735,-0.24742268041237123,-0.3247863247863248,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
2015-12-16,@,Saint Louis,W,82.0,76.0,25.0,52.0,0.481,8.0,19.0,0.421,24.0,32.0,0.75,6.0,34.0,12.0,7.0,2.0,14.0,18.0,,23.0,60.0,0.383,8.0,32.0,0.25,22.0,25.0,0.88,7.0,31.0,18.0,4.0,2.0,12.0,23.0,5.0,6.0,1,10,79.0,0,1,0,-1,71.18181818181819,64.88888888888889,73.07496184518698,64.66588427699999,76.33333333333333,63.666666666666664,80.0,72.0,72.03030303030303,74.77777777777777,72.24754380712021,73.81105388696734,79.66666666666667,68.66666666666667,83.0,64.0,7.575757575757576,0.04606467899200184,7.643342284745854,0.04170128682285057,9.0,0.0006117635505616947,7.0,-0.10519102877055522,8.757575757575758,0.007426603720777136,9.44081630484368,0.004674798997324481,13.666666666666666,-0.007699119385441988,10.0,-0.032274362103888565,0.44224242424242427,0.41655555555555557,0.4539599291838418,0.4158890917070429,0.4460000000000001,0.3906666666666667,0.45000000000000034,0.4460000000000001,0.4354848484848484,0.4701111111111111,0.4316470662810557,0.4646261631726034,0.436,0.4306666666666666,0.39099999999999985,0.36700000000000005,71.60606060606061,69.83333333333333,72.66125282615359,69.23846908198367,78.0,66.16666666666667,81.5,68.0,-0.21212121212121213,3.08641975308642,-0.1637920671782521,3.8000936418001343,-0.6666666666666666,10.0,-1.0,10.0,-9.888888888888886,-9.145169609967354,-5.000000000000007,8.0,-0.14160700079554492,-0.13208220417379204,-0.07556675062972303,0.11764705882352941,-0.8484848484848442,-0.011849344054168369,0.8274180380667673,0.011387335146097945,-3.333333333333343,-0.042735042735042854,-3.0,-0.03680981595092025,OVC
