Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2015-11-13,,Charleston Southern,W,88.0,63.0,25.0,57.0,0.439,7.0,25.0,0.28,31.0,41.0,0.756,16.0,44.0,14.0,4.0,4.0,6.0,27.0,,18.0,48.0,0.375,8.0,25.0,0.32,19.0,30.0,0.633,1.0,20.0,8.0,0.0,1.0,13.0,39.0,,25.0,1,1,75.5,1,0,0,1,72.32352941176471,,71.11747442517307,,64.0,,57.0,,59.1764705882353,,57.40328266059032,,56.666666666666664,,65.0,,7.147058823529412,,6.636481018244414,,5.333333333333333,,6.0,,5.882352941176471,,5.686157456282666,,5.333333333333333,,7.0,,0.4307352941176471,,0.42610094105275786,,0.373,,0.33900000000000047,,0.3887941176470588,,0.38312336002759634,,0.42400000000000015,,0.5530000000000002,,65.75,,64.26037854288168,,60.333333333333336,,61.0,,0.058823529411764705,,0.053811534373785316,,0.0,,0.0,,,,,,,,,,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-11-17,@,Tulsa,L,67.0,77.0,20.0,55.0,0.364,8.0,26.0,0.308,19.0,24.0,0.792,6.0,31.0,10.0,9.0,2.0,9.0,25.0,,23.0,50.0,0.46,10.0,22.0,0.455,21.0,28.0,0.75,3.0,31.0,15.0,6.0,5.0,13.0,21.0,4.0,-10.0,0,2,72.0,0,1,0,-1,72.32352941176471,88.0,71.11747442517307,88.0,64.0,,57.0,88.0,59.1764705882353,63.0,57.40328266059032,63.0,56.666666666666664,,65.0,63.0,7.147058823529412,-0.07488799846752492,6.636481018244414,-0.07488799846752492,5.333333333333333,,6.0,-0.07488799846752492,5.882352941176471,0.06742801884849237,5.686157456282666,0.06742801884849237,5.333333333333333,,7.0,0.06742801884849237,0.4307352941176471,0.439,0.42610094105275786,0.439,0.373,,0.33900000000000047,0.439,0.3887941176470588,0.375,0.38312336002759634,0.375,0.42400000000000015,,0.5530000000000002,0.375,65.75,75.5,64.26037854288168,75.5,60.333333333333336,,61.0,75.5,0.058823529411764705,2.0,0.053811534373785316,2.0,0.0,,0.0,2.0,25.0,25.0,,25.0,0.33112582781456956,0.33112582781456956,,0.33112582781456956,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-11-26,N,USC,L,69.0,72.0,26.0,74.0,0.351,9.0,29.0,0.31,8.0,10.0,0.8,16.0,37.0,14.0,13.0,4.0,15.0,16.0,,25.0,55.0,0.455,12.0,23.0,0.522,10.0,17.0,0.588,8.0,32.0,15.0,11.0,8.0,23.0,14.0,9.0,-3.0,0,3,70.5,0,0,1,0,72.32352941176471,77.5,71.11747442517307,77.19117647058825,64.0,,57.0,67.0,59.1764705882353,70.0,57.40328266059032,70.20588235294117,56.666666666666664,,65.0,77.0,7.147058823529412,-0.023201781458727255,6.636481018244414,-0.021468732460146966,5.333333333333333,,6.0,0.04468459311999201,5.882352941176471,0.07218992361039717,5.686157456282666,0.0723156043812393,5.333333333333333,,7.0,0.07608602750650106,0.4307352941176471,0.40149999999999997,0.42610094105275786,0.40039705882352944,0.373,,0.33900000000000047,0.36399999999999993,0.3887941176470588,0.4175,0.38312336002759634,0.41875,0.42400000000000015,,0.5530000000000002,0.45999999999999996,65.75,73.75,64.26037854288168,73.69852941176471,60.333333333333336,,61.0,72.0,0.058823529411764705,0.0,0.053811534373785316,0.002595155709342562,0.0,,0.0,3.0,7.5,6.985294117647072,,-10.0,0.1016949152542373,0.09478200139678757,,-0.1388888888888889,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-11-27,N,Alabama,L,60.0,64.0,19.0,61.0,0.311,10.0,30.0,0.333,12.0,18.0,0.667,16.0,38.0,10.0,4.0,0.0,10.0,23.0,,17.0,42.0,0.405,5.0,20.0,0.25,25.0,33.0,0.758,5.0,26.0,8.0,2.0,4.0,12.0,19.0,1.0,-4.0,0,4,62.0,0,0,1,0,72.32352941176471,74.66666666666667,71.11747442517307,74.29864514269244,64.0,74.66666666666667,57.0,69.0,59.1764705882353,70.66666666666667,57.40328266059032,70.83943499567599,56.666666666666664,70.66666666666667,65.0,72.0,7.147058823529412,0.007904209324682832,6.636481018244414,0.01107931133699408,5.333333333333333,0.007904209324682832,6.0,0.07777998572219841,5.882352941176471,0.11100393978290385,5.686157456282666,0.11328912521207701,5.333333333333333,0.11100393978290385,7.0,0.18647563789611143,0.4307352941176471,0.38466666666666666,0.42610094105275786,0.38295358893052756,0.373,0.38466666666666666,0.33900000000000047,0.35099999999999987,0.3887941176470588,0.43,0.38312336002759634,0.4315508792159124,0.42400000000000015,0.43,0.5530000000000002,0.455,65.75,72.66666666666667,64.26037854288168,72.56904006918421,60.333333333333336,72.66666666666667,61.0,70.5,0.058823529411764705,0.0,0.053811534373785316,0.001447902315787795,0.0,0.0,0.0,0.0,4.0,3.4592101470164494,4.0,-3.0,0.055045871559633024,0.04766785041828563,0.055045871559633024,-0.0425531914893617,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-11-29,N,Iowa,L,61.0,84.0,21.0,59.0,0.356,6.0,22.0,0.273,13.0,17.0,0.765,12.0,25.0,11.0,6.0,1.0,11.0,16.0,,28.0,52.0,0.538,8.0,18.0,0.444,20.0,24.0,0.833,9.0,30.0,16.0,4.0,5.0,11.0,18.0,2.0,-23.0,0,5,72.5,0,0,1,0,72.32352941176471,71.0,71.11747442517307,70.40257511820633,64.0,65.33333333333333,57.0,60.0,59.1764705882353,69.0,57.40328266059032,68.97583761248666,56.666666666666664,71.0,65.0,64.0,7.147058823529412,0.045630567473576245,6.636481018244414,0.05180937274647135,5.333333333333333,0.09974094401856043,6.0,0.18647563789611143,5.882352941176471,0.06691042050480711,5.686157456282666,0.06463644263663448,5.333333333333333,0.0667573280369565,7.0,-0.07914936210388857,0.4307352941176471,0.36624999999999996,0.42610094105275786,0.3633477998373074,0.373,0.3419999999999999,0.33900000000000047,0.31099999999999994,0.3887941176470588,0.42375,0.38312336002759634,0.4243163417052214,0.42400000000000015,0.44,0.5530000000000002,0.4050000000000001,65.75,70.0,64.26037854288168,69.6892063653465,60.333333333333336,68.16666666666667,61.0,62.0,0.058823529411764705,0.0,0.053811534373785316,0.0009579464239627793,0.0,0.5555555555555556,0.0,0.0,2.0,1.4267375057196716,-5.666666666666671,-4.0,0.02857142857142857,0.020472862013092577,-0.0831295843520783,-0.06451612903225806,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-12-05,@,Saint Louis,W,68.0,53.0,26.0,54.0,0.481,6.0,20.0,0.3,10.0,11.0,0.909,7.0,23.0,19.0,8.0,3.0,9.0,21.0,,16.0,36.0,0.444,5.0,12.0,0.417,16.0,23.0,0.696,3.0,22.0,13.0,5.0,3.0,17.0,14.0,6.0,15.0,1,6,60.5,0,1,0,-1,72.32352941176471,69.0,71.11747442517307,68.29451726002398,64.0,63.333333333333336,57.0,61.0,59.1764705882353,72.0,57.40328266059032,72.34425564535925,56.666666666666664,73.33333333333333,65.0,84.0,7.147058823529412,0.034301724852633164,6.636481018244414,0.03774122352173992,5.333333333333333,0.0812124800013746,6.0,-0.018442394890773817,5.882352941176471,0.044808971229444716,5.686157456282666,0.04057057569656758,5.333333333333333,0.027384728805202374,7.0,-0.027810076389602867,0.4307352941176471,0.36419999999999997,0.42610094105275786,0.36170042271001446,0.373,0.33933333333333326,0.33900000000000047,0.3559999999999999,0.3887941176470588,0.4466,0.38312336002759634,0.4498042241419367,0.42400000000000015,0.466,0.5530000000000002,0.538,65.75,70.5,64.26037854288168,70.31938645269162,60.333333333333336,68.33333333333333,61.0,72.5,0.058823529411764705,0.0,0.053811534373785316,0.000691865947041282,0.0,0.0,0.0,0.0,-3.0,-4.049738385335274,-9.999999999999993,-23.0,-0.0425531914893617,-0.057590638792899516,-0.14634146341463405,-0.31724137931034485,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-12-09,,UNLV,W,56.0,50.0,21.0,56.0,0.375,3.0,18.0,0.167,11.0,22.0,0.5,11.0,30.0,10.0,7.0,3.0,7.0,16.0,,19.0,47.0,0.404,4.0,17.0,0.235,8.0,13.0,0.615,7.0,31.0,9.0,5.0,2.0,19.0,22.0,4.0,6.0,1,7,53.0,1,0,0,1,72.32352941176471,68.83333333333333,71.11747442517307,68.23793838282293,64.0,63.0,57.0,68.0,59.1764705882353,68.83333333333333,57.40328266059032,68.62808544665744,56.666666666666664,67.0,65.0,53.0,7.147058823529412,0.02061607373146257,6.636481018244414,0.02117046656464311,5.333333333333333,0.03568198710246062,6.0,-0.048818479750947386,5.882352941176471,0.03514391876778217,5.686157456282666,0.03002571212699484,5.333333333333333,-0.04486764568597812,7.0,-0.03050549417936027,0.4307352941176471,0.3836666666666666,0.42610094105275786,0.384618726829363,0.373,0.38266666666666654,0.33900000000000047,0.481,0.3887941176470588,0.44616666666666666,0.38312336002759634,0.44868919107070937,0.42400000000000015,0.4623333333333333,0.5530000000000002,0.44399999999999995,65.75,68.83333333333333,64.26037854288168,68.43301191474019,60.333333333333336,65.0,61.0,60.5,0.058823529411764705,0.19444444444444442,0.053811534373785316,0.2821954590489918,0.0,0.7777777777777777,0.0,7.0,0.0,-0.3901470638345046,-4.0,15.0,0.0,-0.005701152892708914,-0.06153846153846154,0.24793388429752067,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-12-12,,Utah,W,67.0,50.0,26.0,59.0,0.441,10.0,25.0,0.4,5.0,10.0,0.5,5.0,21.0,15.0,7.0,3.0,3.0,17.0,,14.0,34.0,0.412,5.0,13.0,0.385,17.0,21.0,0.81,4.0,26.0,5.0,1.0,3.0,19.0,13.0,3.0,17.0,1,8,58.5,1,0,0,1,72.32352941176471,67.0,71.11747442517307,66.16651139789367,64.0,61.666666666666664,57.0,56.0,59.1764705882353,66.14285714285714,57.40328266059032,65.47504465949886,56.666666666666664,62.333333333333336,65.0,50.0,7.147058823529412,-9.152628299302634e-05,6.636481018244414,-0.003753194631792023,5.333333333333333,-0.07028111886064531,6.0,-0.15281007638960284,5.882352941176471,0.02340868325248291,5.686157456282666,0.016641094062092465,5.333333333333333,-0.04079708937661586,7.0,-0.07352436210388857,0.4307352941176471,0.3824285714285714,0.42610094105275786,0.3829906347691046,0.373,0.4039999999999999,0.33900000000000047,0.375,0.3887941176470588,0.4401428571428571,0.38312336002759634,0.4411249761332932,0.42400000000000015,0.46199999999999997,0.5530000000000002,0.40399999999999997,65.75,66.57142857142857,64.26037854288168,65.82077802869628,60.333333333333336,62.0,61.0,53.0,0.058823529411764705,0.0,0.053811534373785316,4.8617105360097436e-05,0.0,0.0,0.0,8.0,0.8571428571428612,0.6914667383948085,-0.6666666666666714,6.0,0.012875536480686756,0.01050529573037477,-0.010752688172043088,0.11320754716981132,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-12-19,@,Seton Hall,L (1 OT),76.0,80.0,26.0,64.0,0.406,14.0,30.0,0.467,10.0,14.0,0.714,9.0,32.0,19.0,9.0,2.0,21.0,31.0,,24.0,56.0,0.429,6.0,14.0,0.429,26.0,35.0,0.743,9.0,35.0,11.0,13.0,8.0,17.0,18.0,7.0,-4.0,0,9,78.0,0,1,0,-1,72.32352941176471,67.0,71.11747442517307,66.29336693465625,64.0,63.666666666666664,57.0,67.0,59.1764705882353,64.125,57.40328266059032,63.11976938429463,56.666666666666664,51.0,65.0,50.0,7.147058823529412,0.016699518493126342,6.636481018244414,0.017472513410093815,5.333333333333333,-0.01509504273216078,6.0,0.1342368319259622,5.882352941176471,0.01980897122944475,5.686157456282666,0.013004253517481301,5.333333333333333,-0.039014558182319914,7.0,-0.013524362103888576,0.4307352941176471,0.38974999999999993,0.42610094105275786,0.3918195607376481,0.373,0.43233333333333324,0.33900000000000047,0.44100000000000006,0.3887941176470588,0.436625,0.38312336002759634,0.43669220468177095,0.42400000000000015,0.41999999999999993,0.5530000000000002,0.4119999999999999,65.75,65.5625,64.26037854288168,64.70656815947545,60.333333333333336,57.333333333333336,61.0,58.5,0.058823529411764705,0.140625,0.053811534373785316,0.21424384455706794,0.0,1.0,0.0,9.0,2.875,3.1735975503616203,12.666666666666664,17.0,0.0438512869399428,0.04904598776649673,0.22093023255813948,0.2905982905982906,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
2015-12-22,,Nevada,W,98.0,69.0,24.0,47.0,0.511,6.0,19.0,0.316,44.0,62.0,0.71,7.0,32.0,16.0,8.0,2.0,11.0,23.0,,21.0,53.0,0.396,6.0,17.0,0.353,21.0,31.0,0.677,8.0,27.0,9.0,8.0,5.0,18.0,38.0,3.0,29.0,1,10,83.5,1,0,0,1,72.32352941176471,68.0,71.11747442517307,67.64246112446904,64.0,66.33333333333333,57.0,76.0,59.1764705882353,65.88888888888889,57.40328266059032,65.4658991795638,56.666666666666664,60.0,65.0,80.0,7.147058823529412,0.0443187751510134,6.636481018244414,0.05208283334459174,5.333333333333333,0.09351081377550846,6.0,0.2391072168434799,5.882352941176471,0.0051940190090962735,5.686157456282666,-0.004239705161530105,5.333333333333333,-0.06352436210388857,7.0,-0.08852436210388856,0.4307352941176471,0.3915555555555555,0.42610094105275786,0.3937904550826848,0.373,0.4073333333333333,0.33900000000000047,0.4060000000000001,0.3887941176470588,0.43577777777777776,0.38312336002759634,0.43562308951349704,0.42400000000000015,0.415,0.5530000000000002,0.429,65.75,66.94444444444444,64.26037854288168,66.55418015201644,60.333333333333336,63.166666666666664,61.0,78.0,0.058823529411764705,0.0,0.053811534373785316,0.00037731502113459286,0.0,1.1111111111111112,0.0,10.0,2.1111111111111143,2.176561944905231,6.333333333333329,-4.0,0.031535269709543616,0.032703609899990424,0.10026385224274399,-0.05128205128205128,13.147058823529413,0.19995526727801388,13.71419176458275,0.21341598159791594,7.333333333333336,0.12154696132596689,-8.0,-0.13114754098360656,MVC
