Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-11,N,Florida,L,59.0,80.0,23.0,59.0,0.39,8.0,20.0,0.4,5.0,11.0,0.455,11.0,31.0,8.0,1.0,2.0,19.0,22.0,,28.0,62.0,0.452,4.0,15.0,0.267,20.0,26.0,0.769,14.0,38.0,11.0,13.0,9.0,7.0,16.0,,-21.0,0,1,69.5,0,0,1,0,76.54838709677419,,77.67419769161994,,77.0,,80.0,,70.87096774193549,,69.8978491200163,,69.66666666666667,,86.0,,6.32258064516129,,6.132191252343025,,5.666666666666667,,8.0,,6.709677419354839,,6.686787208164936,,4.666666666666667,,2.0,,0.48619354838709666,,0.48065913847308295,,0.47500000000000014,,0.414,,0.4357419354838709,,0.431092887974113,,0.4470000000000001,,0.5560000000000003,,73.70967741935483,,73.78602340581811,,73.33333333333333,,83.0,,0.0967741935483871,,0.20520646995262706,,0.6666666666666666,,0.0,,,,,,,,,,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-11-16,,Texas-Arlington,W,85.0,72.0,28.0,50.0,0.56,8.0,20.0,0.4,21.0,28.0,0.75,6.0,29.0,12.0,2.0,2.0,13.0,18.0,,28.0,62.0,0.452,9.0,28.0,0.321,7.0,16.0,0.438,8.0,23.0,14.0,5.0,1.0,7.0,22.0,5.0,13.0,1,2,78.5,1,0,0,1,76.54838709677419,59.0,77.67419769161994,59.0,77.0,,80.0,59.0,70.87096774193549,80.0,69.8978491200163,80.0,69.66666666666667,,86.0,80.0,6.32258064516129,0.09325529891306061,6.132191252343025,0.09325529891306061,5.666666666666667,,8.0,0.09325529891306061,6.709677419354839,-0.16352436210388857,6.686787208164936,-0.16352436210388857,4.666666666666667,,2.0,-0.16352436210388857,0.48619354838709666,0.39,0.48065913847308295,0.39,0.47500000000000014,,0.414,0.39,0.4357419354838709,0.452,0.431092887974113,0.452,0.4470000000000001,,0.5560000000000003,0.452,73.70967741935483,69.5,73.78602340581811,69.5,73.33333333333333,,83.0,69.5,0.0967741935483871,0.0,0.20520646995262706,0.0,0.6666666666666666,,0.0,0.0,-21.0,-21.0,,-21.0,-0.302158273381295,-0.302158273381295,,-0.302158273381295,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-11-18,@,Baylor,L,72.0,81.0,26.0,55.0,0.473,10.0,19.0,0.526,10.0,11.0,0.909,6.0,19.0,17.0,1.0,4.0,12.0,25.0,,25.0,48.0,0.521,4.0,17.0,0.235,27.0,31.0,0.871,6.0,27.0,15.0,7.0,6.0,12.0,14.0,2.0,-9.0,0,3,76.5,0,1,0,-1,76.54838709677419,72.0,77.67419769161994,72.41935483870968,77.0,,80.0,85.0,70.87096774193549,76.0,69.8978491200163,75.87096774193549,69.66666666666667,,86.0,72.0,6.32258064516129,0.01980897122944475,6.132191252343025,0.01787875593620053,5.666666666666667,,8.0,-0.03117142092741798,6.709677419354839,-0.05694541473546749,6.686787208164936,-0.05332028047123549,4.666666666666667,,2.0,0.061475637896111435,0.48619354838709666,0.47500000000000003,0.48065913847308295,0.47774193548387106,0.47500000000000014,,0.414,0.56,0.4357419354838709,0.452,0.431092887974113,0.452,0.4470000000000001,,0.5560000000000003,0.452,73.70967741935483,74.0,73.78602340581811,74.14516129032258,73.33333333333333,,83.0,78.5,0.0967741935483871,0.75,0.20520646995262706,0.7991675338189386,0.6666666666666666,,0.0,3.0,-4.0,-3.451612903225808,,13.0,-0.05405405405405406,-0.046552099195127275,,0.16560509554140126,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-11-20,@,Michigan State,L,77.0,78.0,29.0,63.0,0.46,8.0,17.0,0.471,11.0,17.0,0.647,12.0,37.0,16.0,8.0,2.0,13.0,28.0,,25.0,49.0,0.51,9.0,17.0,0.529,19.0,33.0,0.576,6.0,29.0,21.0,3.0,8.0,12.0,18.0,2.0,-1.0,0,4,77.5,0,1,0,-1,76.54838709677419,72.0,77.67419769161994,72.27045769764216,77.0,72.0,80.0,72.0,70.87096774193549,77.66666666666667,69.8978491200163,77.69209431345354,69.66666666666667,77.66666666666667,86.0,81.0,6.32258064516129,0.04758674900722254,6.132191252343025,0.04803934334835397,5.666666666666667,0.04758674900722254,8.0,0.10314230456277812,6.709677419354839,-0.09464024193221476,6.686787208164936,-0.09480114016729901,4.666666666666667,-0.09464024193221476,2.0,-0.16537621395574043,0.48619354838709666,0.47433333333333333,0.48065913847308295,0.4760582524271845,0.47500000000000014,0.47433333333333333,0.414,0.47299999999999986,0.4357419354838709,0.47500000000000003,0.431092887974113,0.4764993065187241,0.4470000000000001,0.47500000000000003,0.5560000000000003,0.5210000000000001,73.70967741935483,74.83333333333333,73.78602340581811,74.98127600554785,73.33333333333333,74.83333333333333,83.0,76.5,0.0967741935483871,0.0,0.20520646995262706,0.0019698330835774785,0.6666666666666666,0.0,0.0,4.0,-5.666666666666671,-5.42163661581138,-5.666666666666671,-9.0,-0.07572383073496666,-0.0723065397741462,-0.07572383073496666,-0.11764705882352941,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-11-23,,Binghamton,W,69.0,53.0,28.0,59.0,0.475,7.0,22.0,0.318,6.0,8.0,0.75,6.0,35.0,23.0,6.0,4.0,10.0,16.0,,20.0,52.0,0.385,3.0,18.0,0.167,10.0,18.0,0.556,6.0,25.0,8.0,4.0,1.0,10.0,13.0,3.0,16.0,1,5,61.0,1,0,0,1,76.54838709677419,73.25,77.67419769161994,73.56964656964657,77.0,78.0,80.0,77.0,70.87096774193549,77.75,69.8978491200163,77.77667493796525,69.66666666666667,77.0,86.0,78.0,6.32258064516129,0.0345985047903094,6.132191252343025,0.03369992383308301,5.666666666666667,0.01980897122944475,8.0,-0.0018360504155768842,6.709677419354839,-0.06272050358298825,6.686787208164936,-0.05969587818352101,4.666666666666667,-0.027810076389602867,2.0,0.03262948404995758,0.48619354838709666,0.47075,0.48065913847308295,0.47164710616323524,0.47500000000000014,0.49766666666666665,0.414,0.45999999999999985,0.4357419354838709,0.48375,0.431092887974113,0.48570183086312124,0.4470000000000001,0.49433333333333335,0.5560000000000003,0.5100000000000001,73.70967741935483,75.5,73.78602340581811,75.67316075380592,73.33333333333333,77.5,83.0,77.5,0.0967741935483871,0.3125,0.20520646995262706,0.42280003148900536,0.6666666666666666,0.5555555555555556,0.0,5.0,-4.5,-4.207028368318689,1.0,-1.0,-0.059602649006622516,-0.05559472244070497,0.012903225806451613,-0.012903225806451613,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-11-25,,Long Beach State,W (1 OT),68.0,67.0,24.0,55.0,0.436,6.0,20.0,0.3,14.0,20.0,0.7,5.0,33.0,15.0,5.0,6.0,18.0,16.0,,25.0,65.0,0.385,5.0,24.0,0.208,12.0,15.0,0.8,8.0,32.0,6.0,8.0,4.0,12.0,19.0,2.0,1.0,1,6,67.5,1,0,0,1,76.54838709677419,72.4,77.67419769161994,72.53411641038586,77.0,72.66666666666667,80.0,69.0,70.87096774193549,72.8,69.8978491200163,72.16201880353111,69.66666666666667,70.66666666666667,86.0,53.0,6.32258064516129,0.026254643420973278,6.132191252343025,0.0244570755119618,5.666666666666667,0.030512335143817848,8.0,-0.009176536016932024,6.709677419354839,-0.07451337309289957,6.686787208164936,-0.07367936086570784,4.666666666666667,-0.08710926776426595,2.0,-0.1437130413491716,0.48619354838709666,0.4716,0.48065913847308295,0.47240690730668294,0.47500000000000014,0.4693333333333333,0.414,0.4749999999999998,0.4357419354838709,0.4640000000000001,0.431092887974113,0.46288173277409145,0.4470000000000001,0.47200000000000003,0.5560000000000003,0.3850000000000001,73.70967741935483,72.6,73.78602340581811,72.34806760695848,73.33333333333333,71.66666666666667,83.0,61.0,0.0967741935483871,0.0,0.20520646995262706,1.7648793542162974e-05,0.6666666666666666,0.6666666666666666,0.0,6.0,-0.3999999999999915,0.37209760685475146,2.0,16.0,-0.00550964187327812,0.00514315888678916,0.027906976744186046,0.26229508196721313,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-12-04,@,Georgia Southern,W,85.0,82.0,35.0,57.0,0.614,6.0,17.0,0.353,9.0,18.0,0.5,9.0,36.0,23.0,4.0,6.0,15.0,21.0,,29.0,63.0,0.46,5.0,20.0,0.25,19.0,27.0,0.704,10.0,24.0,8.0,11.0,3.0,9.0,16.0,9.0,3.0,1,7,83.5,0,1,0,-1,76.54838709677419,71.66666666666667,77.67419769161994,71.65148662669954,77.0,71.33333333333333,80.0,68.0,70.87096774193549,71.83333333333333,69.8978491200163,71.15715895266598,69.66666666666667,66.0,86.0,67.0,6.32258064516129,0.014382614640297442,6.132191252343025,0.010919878875306044,5.666666666666667,-0.01913183873940255,8.0,-0.048818479750947386,6.709677419354839,-0.07686542938927138,6.686787208164936,-0.07660549904435174,4.666666666666667,-0.055948604528130996,2.0,-0.08964376508896318,0.48619354838709666,0.4656666666666667,0.48065913847308295,0.46531978871237867,0.47500000000000014,0.457,0.414,0.43599999999999983,0.4357419354838709,0.45083333333333336,0.431092887974113,0.44772095375349646,0.4470000000000001,0.42666666666666675,0.5560000000000003,0.3850000000000001,73.70967741935483,71.75,73.78602340581811,71.40432278968275,73.33333333333333,68.66666666666667,83.0,67.5,0.0967741935483871,0.19444444444444442,0.20520646995262706,0.2690363947217177,0.6666666666666666,0.7777777777777777,0.0,7.0,-0.1666666666666572,0.49432767403355626,5.333333333333329,1.0,-0.0023228803716607276,0.0069229376418787625,0.07766990291262128,0.014814814814814815,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-12-09,,Siena,W,73.0,69.0,27.0,47.0,0.574,3.0,5.0,0.6,16.0,30.0,0.533,3.0,22.0,12.0,7.0,4.0,11.0,18.0,,25.0,52.0,0.481,1.0,8.0,0.125,18.0,23.0,0.783,6.0,29.0,13.0,6.0,1.0,12.0,23.0,5.0,4.0,1,8,71.0,1,0,0,1,76.54838709677419,73.57142857142857,77.67419769161994,73.94662791386345,77.0,74.0,80.0,85.0,70.87096774193549,73.28571428571429,69.8978491200163,73.02147533471856,69.66666666666667,67.33333333333333,86.0,82.0,6.32258064516129,-0.004786498026218666,6.132191252343025,-0.01135021883645293,5.666666666666667,-0.05676760534713182,8.0,-0.10175965622153563,6.709677419354839,-0.08545418666529209,6.686787208164936,-0.08703034054527364,4.666666666666667,-0.12045505517319549,2.0,-0.1305975328355959,0.48619354838709666,0.4868571428571428,0.48065913847308295,0.490883840825704,0.47500000000000014,0.5083333333333333,0.414,0.6139999999999999,0.4357419354838709,0.4521428571428571,0.431092887974113,0.44983221103130805,0.4470000000000001,0.4100000000000001,0.5560000000000003,0.4600000000000002,73.70967741935483,73.42857142857143,73.78602340581811,73.484051624291,73.33333333333333,70.66666666666667,83.0,83.5,0.0967741935483871,0.0,0.20520646995262706,0.0007376666987337189,0.6666666666666666,0.8888888888888888,0.0,8.0,0.2857142857142776,0.9251525791448927,6.666666666666671,3.0,0.003891050583657477,0.012589841723412442,0.0943396226415095,0.03592814371257485,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-12-11,,Florida International,W,82.0,63.0,32.0,55.0,0.582,8.0,18.0,0.444,10.0,16.0,0.625,10.0,31.0,18.0,5.0,2.0,13.0,23.0,,20.0,52.0,0.385,2.0,18.0,0.111,21.0,26.0,0.808,7.0,18.0,7.0,8.0,2.0,9.0,15.0,2.0,19.0,1,9,72.5,1,0,0,1,76.54838709677419,73.5,77.67419769161994,73.79992049612913,77.0,75.33333333333333,80.0,73.0,70.87096774193549,72.75,69.8978491200163,72.39823123511141,69.66666666666667,72.66666666666667,86.0,69.0,6.32258064516129,-0.027810076389602867,6.132191252343025,-0.03877336203772391,5.666666666666667,-0.11440931785610095,8.0,-0.19023669087101186,6.709677419354839,-0.1073387950935793,6.686787208164936,-0.11406260280867697,4.666666666666667,-0.16214821531489776,2.0,-0.2700461012343234,0.48619354838709666,0.49774999999999997,0.48065913847308295,0.5037650974481602,0.47500000000000014,0.5413333333333332,0.414,0.5739999999999997,0.4357419354838709,0.45575,0.431092887974113,0.4546625628190798,0.4470000000000001,0.4420000000000001,0.5560000000000003,0.48100000000000015,73.70967741935483,73.125,73.78602340581811,73.09907586562026,73.33333333333333,74.0,83.0,71.0,0.0967741935483871,0.140625,0.20520646995262706,0.19412300121336026,0.6666666666666666,1.0,0.0,9.0,0.75,1.4016892610177223,2.666666666666657,4.0,0.010256410256410256,0.01917519810502776,0.03603603603603591,0.056338028169014086,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
2016-12-13,,Georgia Southern,L,59.0,72.0,20.0,51.0,0.392,4.0,24.0,0.167,15.0,25.0,0.6,11.0,38.0,8.0,3.0,5.0,19.0,22.0,,25.0,59.0,0.424,9.0,28.0,0.321,13.0,25.0,0.52,14.0,35.0,13.0,12.0,2.0,10.0,20.0,2.0,-13.0,0,10,65.5,1,0,0,1,76.54838709677419,74.44444444444444,77.67419769161994,74.96318303979638,77.0,80.0,80.0,82.0,70.87096774193549,71.66666666666667,69.8978491200163,71.06499899420838,69.66666666666667,71.33333333333333,86.0,63.0,6.32258064516129,-0.02695719792478407,6.132191252343025,-0.03599075120800882,5.666666666666667,-0.10102436210388857,8.0,-0.02084143527462029,6.709677419354839,-0.11817552489458624,6.686787208164936,-0.1271698295838767,4.666666666666667,-0.20137482939360818,2.0,-0.21828626686579333,0.48619354838709666,0.5071111111111111,0.48065913847308295,0.5148634937140809,0.47500000000000014,0.5899999999999999,0.414,0.5819999999999997,0.4357419354838709,0.44788888888888884,0.431092887974113,0.4447802378995409,0.4470000000000001,0.4420000000000001,0.5560000000000003,0.3850000000000001,73.70967741935483,73.05555555555556,73.78602340581811,73.01409101700239,73.33333333333333,75.66666666666667,83.0,72.5,0.0967741935483871,0.49382716049382713,0.20520646995262706,0.7176523713713225,0.6666666666666666,1.1111111111111112,0.0,10.0,2.7777777777777715,3.898184045587996,8.666666666666671,19.0,0.03802281368821284,0.05338947580242076,0.11453744493392076,0.2620689655172414,5.677419354838705,0.07702407002188177,7.776348571603634,0.10539053621082473,7.333333333333329,0.09999999999999994,-6.0,-0.07228915662650602,A-Sun
