Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-14,@,Auburn,L,65.0,83.0,22.0,60.0,0.367,5.0,23.0,0.217,16.0,24.0,0.667,12.0,33.0,9.0,8.0,3.0,18.0,31.0,,25.0,53.0,0.472,7.0,21.0,0.333,26.0,39.0,0.667,10.0,38.0,13.0,7.0,6.0,16.0,23.0,,-18.0,0,1,74.0,0,1,0,-1,72.51612903225806,,72.24480915687694,,71.0,,64.0,,70.6774193548387,,70.60201804962873,,76.66666666666667,,80.0,,7.290322580645161,,7.279745917089772,,5.666666666666667,,6.0,,8.32258064516129,,8.117944820385599,,5.666666666666667,,6.0,,0.4683870967741936,,0.4654981351250712,,0.4223333333333333,,0.4139999999999996,,0.417225806451613,,0.41626618494434503,,0.4299999999999999,,0.48300000000000004,,71.59677419354838,,71.42341360325284,,73.83333333333333,,72.0,,-0.0967741935483871,,-0.09197969866161931,,-0.3333333333333333,,-1.0,,,,,,,,,,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-11-18,@,Purdue,L,56.0,64.0,22.0,54.0,0.407,5.0,14.0,0.357,7.0,11.0,0.636,10.0,33.0,8.0,8.0,1.0,19.0,31.0,,17.0,45.0,0.378,5.0,22.0,0.227,25.0,37.0,0.676,6.0,25.0,11.0,6.0,1.0,14.0,16.0,4.0,-8.0,0,2,60.0,0,1,0,-1,72.51612903225806,65.0,72.24480915687694,65.0,71.0,,64.0,65.0,70.6774193548387,83.0,70.60201804962873,83.0,76.66666666666667,,80.0,83.0,7.290322580645161,-0.08275513133465778,7.279745917089772,-0.08275513133465778,5.666666666666667,,6.0,-0.08275513133465778,8.32258064516129,-0.0605123139111175,8.117944820385599,-0.0605123139111175,5.666666666666667,,6.0,-0.0605123139111175,0.4683870967741936,0.367,0.4654981351250712,0.367,0.4223333333333333,,0.4139999999999996,0.367,0.417225806451613,0.472,0.41626618494434503,0.472,0.4299999999999999,,0.48300000000000004,0.472,71.59677419354838,74.0,71.42341360325284,74.0,73.83333333333333,,72.0,74.0,-0.0967741935483871,2.0,-0.09197969866161931,2.0,-0.3333333333333333,,-1.0,2.0,-18.0,-18.0,,-18.0,-0.24324324324324326,-0.24324324324324326,,-0.24324324324324326,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-11-22,N,NJIT,W,74.0,53.0,32.0,56.0,0.571,2.0,13.0,0.154,8.0,16.0,0.5,6.0,35.0,10.0,8.0,3.0,16.0,21.0,,17.0,50.0,0.34,10.0,28.0,0.357,9.0,15.0,0.6,5.0,25.0,10.0,7.0,2.0,20.0,17.0,4.0,21.0,1,3,63.5,0,0,1,0,72.51612903225806,60.5,72.24480915687694,60.354838709677416,71.0,,64.0,56.0,70.6774193548387,73.5,70.60201804962873,73.19354838709677,76.66666666666667,,80.0,64.0,7.290322580645161,-0.0655904778063679,7.279745917089772,-0.06499416434867744,5.666666666666667,,6.0,-0.045667219246745716,8.32258064516129,-0.0686264029202151,8.117944820385599,-0.06892321622464659,5.666666666666667,,6.0,-0.07914936210388857,0.4683870967741936,0.387,0.4654981351250712,0.38764516129032256,0.4223333333333333,,0.4139999999999996,0.40700000000000003,0.417225806451613,0.425,0.41626618494434503,0.4234838709677419,0.4299999999999999,,0.48300000000000004,0.378,71.59677419354838,67.0,71.42341360325284,66.7741935483871,73.83333333333333,,72.0,60.0,-0.0967741935483871,3.0,-0.09197969866161931,3.0,-0.3333333333333333,,-1.0,3.0,-13.0,-12.838709677419352,,-8.0,-0.19402985074626866,-0.19227053140096612,,-0.13333333333333333,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-11-23,N,Eastern Kentucky,W,82.0,65.0,30.0,57.0,0.526,9.0,18.0,0.5,13.0,19.0,0.684,12.0,34.0,12.0,13.0,2.0,14.0,19.0,,21.0,63.0,0.333,6.0,31.0,0.194,17.0,21.0,0.81,18.0,34.0,13.0,6.0,2.0,18.0,19.0,1.0,17.0,1,4,73.5,0,0,1,0,72.51612903225806,65.0,72.24480915687694,65.1997226074896,71.0,65.0,64.0,74.0,70.6774193548387,66.66666666666667,70.60201804962873,66.02357836338419,76.66666666666667,66.66666666666667,80.0,53.0,7.290322580645161,-0.12890897748850394,7.279745917089772,-0.13247392495355567,5.666666666666667,-0.12890897748850394,6.0,-0.23244328102280748,8.32258064516129,0.016475637896111395,8.117944820385599,0.022693943465088184,5.666666666666667,0.016475637896111395,6.0,0.252513373745168,0.4683870967741936,0.4483333333333333,0.4654981351250712,0.45274757281553396,0.4223333333333333,0.4483333333333333,0.4139999999999996,0.571,0.417225806451613,0.39666666666666667,0.41626618494434503,0.3938418862690707,0.4299999999999999,0.39666666666666667,0.48300000000000004,0.33999999999999997,71.59677419354838,65.83333333333333,71.42341360325284,65.6116504854369,73.83333333333333,65.83333333333333,72.0,63.5,-0.0967741935483871,1.7777777777777777,-0.09197969866161931,1.6637779628771108,-0.3333333333333333,1.7777777777777777,-1.0,0.0,-1.6666666666666714,-0.8238557558945843,-1.6666666666666714,21.0,-0.025316455696202604,-0.012556546738257202,-0.025316455696202604,0.33070866141732286,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-11-30,,Wright State,W,81.0,74.0,26.0,55.0,0.473,11.0,25.0,0.44,18.0,30.0,0.6,6.0,26.0,11.0,5.0,4.0,12.0,26.0,,22.0,53.0,0.415,11.0,29.0,0.379,19.0,22.0,0.864,11.0,35.0,14.0,3.0,2.0,18.0,23.0,7.0,7.0,1,5,77.5,1,0,0,1,72.51612903225806,69.25,72.24480915687694,69.81470055663605,71.0,70.66666666666667,64.0,82.0,70.6774193548387,66.25,70.60201804962873,65.74240493595332,76.66666666666667,60.666666666666664,80.0,65.0,7.290322580645161,-0.08608753899919541,7.279745917089772,-0.08465270225914212,5.666666666666667,-0.08710926776426595,6.0,0.01574393057903828,8.32258064516129,0.003456769971583118,8.117944820385599,0.0065896863616087265,5.666666666666667,0.03262948404995758,6.0,-0.03660128518081163,0.4683870967741936,0.46775,0.4654981351250712,0.472869760579438,0.4223333333333333,0.5013333333333333,0.4139999999999996,0.526,0.417225806451613,0.38075,0.41626618494434503,0.3771288310643149,0.4299999999999999,0.35033333333333333,0.48300000000000004,0.333,71.59677419354838,67.75,71.42341360325284,67.77855274629468,73.83333333333333,65.66666666666667,72.0,73.5,-0.0967741935483871,1.25,-0.09197969866161931,1.0940694412627887,-0.3333333333333333,0.5555555555555556,-1.0,0.0,3.0,4.072295620682738,10.000000000000007,17.0,0.04428044280442804,0.06008236316177999,0.15228426395939096,0.23129251700680273,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-12-04,@,Mississippi State,L,60.0,82.0,25.0,62.0,0.403,6.0,19.0,0.316,4.0,6.0,0.667,12.0,34.0,10.0,3.0,5.0,18.0,15.0,,31.0,66.0,0.47,13.0,34.0,0.382,7.0,9.0,0.778,8.0,33.0,17.0,9.0,4.0,10.0,15.0,4.0,-22.0,0,6,71.0,0,1,0,-1,72.51612903225806,71.6,72.24480915687694,72.34940750550656,71.0,79.0,64.0,81.0,70.6774193548387,67.8,70.60201804962873,67.61366316160732,76.66666666666667,64.0,80.0,74.0,7.290322580645161,-0.04536793752288293,7.279745917089772,-0.03935717007153422,5.666666666666667,-0.03504334944566073,6.0,0.09388304530351882,8.32258064516129,0.031608381258943274,8.117944820385599,0.03779784463921321,5.666666666666667,0.10835063789611143,6.0,0.13242158384205738,0.4683870967741936,0.4688,0.4654981351250712,0.4728992742072123,0.4223333333333333,0.5233333333333333,0.4139999999999996,0.473,0.417225806451613,0.3876,0.41626618494434503,0.3857108377910173,0.4299999999999999,0.3626666666666667,0.48300000000000004,0.415,71.59677419354838,69.7,71.42341360325284,69.98153533355693,73.83333333333333,71.5,72.0,77.5,-0.0967741935483871,0.24000000000000005,-0.09197969866161931,0.10961267843755063,-0.3333333333333333,0.6666666666666666,-1.0,6.0,3.799999999999997,4.735744343899242,15.0,7.0,0.054519368723098954,0.06767134103770368,0.2097902097902098,0.09032258064516129,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-12-14,,Alabama A&M,W,94.0,79.0,35.0,64.0,0.547,8.0,19.0,0.421,16.0,25.0,0.64,13.0,34.0,21.0,9.0,3.0,10.0,15.0,,29.0,59.0,0.492,6.0,22.0,0.273,15.0,18.0,0.833,7.0,25.0,23.0,6.0,2.0,13.0,19.0,10.0,15.0,1,7,86.5,1,0,0,1,72.51612903225806,69.66666666666667,72.24480915687694,69.94542095362355,71.0,74.33333333333333,64.0,60.0,70.6774193548387,70.16666666666667,70.60201804962873,70.41416677078323,76.66666666666667,73.66666666666667,80.0,82.0,7.290322580645161,-0.04079708937661586,7.279745917089772,-0.035043474527038265,5.666666666666667,0.036251422649474674,6.0,-0.013524362103888576,8.32258064516129,0.057021956185897615,8.117944820385599,0.06597306652449042,5.666666666666667,0.09371545690063632,6.0,0.1620853939936724,0.4683870967741936,0.4578333333333333,0.4654981351250712,0.4592923934636953,0.4223333333333333,0.4673333333333333,0.4139999999999996,0.403,0.417225806451613,0.4013333333333333,0.41626618494434503,0.4021189134278062,0.4299999999999999,0.40599999999999997,0.48300000000000004,0.47000000000000003,71.59677419354838,69.91666666666667,71.42341360325284,70.17979386220338,73.83333333333333,74.0,72.0,71.0,-0.0967741935483871,0.7777777777777777,-0.09197969866161931,0.6448493545491985,-0.3333333333333333,0.0,-1.0,7.0,-0.5,-0.4687458171596717,0.6666666666666572,-22.0,-0.007151370679380214,-0.006679213365602708,0.00900900900900888,-0.30985915492957744,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-12-18,@,Old Dominion,L,46.0,58.0,16.0,43.0,0.372,6.0,14.0,0.429,8.0,12.0,0.667,6.0,24.0,12.0,5.0,2.0,18.0,15.0,,20.0,52.0,0.385,9.0,29.0,0.31,9.0,13.0,0.692,14.0,34.0,15.0,12.0,10.0,11.0,12.0,4.0,-12.0,0,8,52.0,0,1,0,-1,72.51612903225806,73.14285714285714,72.24480915687694,74.08136148653071,71.0,78.33333333333333,64.0,94.0,70.6774193548387,71.42857142857143,70.60201804962873,71.89041358404218,76.66666666666667,78.33333333333333,80.0,79.0,7.290322580645161,-0.04399311210388851,7.279745917089772,-0.04009667559866664,5.666666666666667,0.005624574066324217,6.0,-0.05820521316771837,8.32258064516129,0.034475637896111466,8.117944820385599,0.03731986712092811,5.666666666666667,0.06945436130036675,6.0,-0.08567626083806579,0.4683870967741936,0.4705714285714286,0.4654981351250712,0.4743728255185818,0.4223333333333333,0.4743333333333333,0.4139999999999996,0.547,0.417225806451613,0.41428571428571426,0.41626618494434503,0.4175730532977646,0.4299999999999999,0.459,0.48300000000000004,0.492,71.59677419354838,72.28571428571429,71.42341360325284,72.98588753528644,73.83333333333333,78.33333333333333,72.0,86.5,-0.0967741935483871,0.16326530612244897,-0.09197969866161931,0.05042066581082969,-0.3333333333333333,0.8888888888888888,-1.0,8.0,1.7142857142857082,2.1909479024885314,0.0,15.0,0.02371541501976276,0.030018788240798955,0.0,0.17341040462427745,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-12-21,@,Middle Tennessee,W,64.0,56.0,22.0,46.0,0.478,10.0,20.0,0.5,10.0,17.0,0.588,7.0,30.0,13.0,11.0,5.0,17.0,19.0,,18.0,51.0,0.353,7.0,26.0,0.269,13.0,18.0,0.722,7.0,26.0,9.0,10.0,2.0,12.0,16.0,3.0,8.0,1,9,60.0,0,1,0,-1,72.51612903225806,69.75,72.24480915687694,69.72934104658928,71.0,66.66666666666667,64.0,46.0,70.6774193548387,69.75,70.60201804962873,69.73769161342166,76.66666666666667,73.0,80.0,58.0,7.290322580645161,-0.03395446963077031,7.279745917089772,-0.028045126803500187,5.666666666666667,-0.013524362103888576,6.0,0.07777998572219841,8.32258064516129,0.04669069165955231,8.117944820385599,0.05210054704910694,5.666666666666667,0.07003728173172785,6.0,0.15199287927542177,0.4683870967741936,0.45825,0.4654981351250712,0.4585071906074994,0.4223333333333333,0.4406666666666667,0.4139999999999996,0.372,0.417225806451613,0.410625,0.41626618494434503,0.412524915093669,0.4299999999999999,0.449,0.48300000000000004,0.385,71.59677419354838,69.75,71.42341360325284,69.73351633000546,73.83333333333333,69.83333333333333,72.0,52.0,-0.0967741935483871,0.5625,-0.09197969866161931,0.44381251271471933,-0.3333333333333333,1.0,-1.0,9.0,0.0,-0.008350566832376671,-6.333333333333329,-12.0,0.0,-0.00011974968812498456,-0.09069212410501187,-0.23076923076923078,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
2016-12-28,,UMass,L,65.0,74.0,24.0,62.0,0.387,6.0,22.0,0.273,11.0,21.0,0.524,13.0,34.0,14.0,13.0,7.0,15.0,22.0,,25.0,55.0,0.455,7.0,26.0,0.269,17.0,23.0,0.739,8.0,35.0,13.0,11.0,5.0,17.0,21.0,7.0,-9.0,0,10,69.5,1,0,0,1,72.51612903225806,69.11111111111111,72.24480915687694,68.91657723908637,71.0,68.0,64.0,64.0,70.6774193548387,68.22222222222223,70.60201804962873,67.78886391208027,76.66666666666667,64.33333333333333,80.0,56.0,7.290322580645161,-0.014488992328968942,7.279745917089772,-0.00390113098689715,5.666666666666667,0.03941681436669969,6.0,0.15522563789611143,8.32258064516129,0.04803915581142082,8.117944820385599,0.05319921090572055,5.666666666666667,0.02844454981320993,6.0,0.061475637896111435,0.4683870967741936,0.46044444444444443,0.4654981351250712,0.461272438801305,0.4223333333333333,0.4656666666666667,0.4139999999999996,0.478,0.417225806451613,0.4042222222222222,0.41626618494434503,0.4040807159720931,0.4299999999999999,0.41,0.48300000000000004,0.353,71.59677419354838,68.66666666666667,71.42341360325284,68.3527205755833,73.83333333333333,66.16666666666667,72.0,60.0,-0.0967741935483871,1.1111111111111112,-0.09197969866161931,1.1050444483893282,-0.3333333333333333,1.1111111111111112,-1.0,10.0,0.8888888888888857,1.1277133270060915,3.6666666666666714,8.0,0.01294498381877018,0.01649844099122704,0.055415617128463546,0.13333333333333333,1.8387096774193594,0.02568145978824066,1.6427911072482146,0.02300073637440086,-5.666666666666671,-0.07674943566591429,-16.0,-0.2222222222222222,Sun Belt
