Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-11,@,Central Connecticut,L,60.0,75.0,25.0,61.0,0.41,5.0,22.0,0.227,5.0,15.0,0.333,4.0,28.0,11.0,6.0,3.0,13.0,18.0,,30.0,64.0,0.469,6.0,14.0,0.429,9.0,17.0,0.529,8.0,41.0,24.0,3.0,4.0,14.0,18.0,,-15.0,0,1,67.5,0,1,-1,66.75,,65.48339983768062,,69.66666666666667,,71.0,,77.03125,,77.0765984615899,,83.0,,100.0,,8.21875,,7.875216058994919,,6.666666666666667,,5.0,,7.8125,,8.197242884778662,,8.333333333333334,,13.0,,0.40384375000000017,,0.393537020867449,,0.38333333333333336,,0.42199999999999993,,0.4554062500000001,,0.46103175118727835,,0.4983333333333333,,0.6140000000000003,,71.890625,,71.27999914963526,,76.33333333333333,,85.5,,-0.125,,-0.12782938003034125,,-0.3333333333333333,,-1.0,,,,,,,,,,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-15,,Niagara,W (1 OT),82.0,78.0,24.0,53.0,0.453,8.0,25.0,0.32,26.0,32.0,0.813,4.0,30.0,15.0,6.0,4.0,14.0,22.0,,26.0,69.0,0.377,11.0,33.0,0.333,15.0,25.0,0.6,14.0,40.0,17.0,6.0,4.0,11.0,28.0,4.0,4.0,1,2,80.0,1,0,1,66.75,60.0,65.48339983768062,60.0,69.66666666666667,,71.0,60.0,77.03125,75.0,77.0765984615899,75.0,83.0,,100.0,75.0,8.21875,-0.06352436210388857,7.875216058994919,-0.06352436210388857,6.666666666666667,,5.0,-0.06352436210388857,7.8125,-0.07352436210388857,8.197242884778662,-0.07352436210388857,8.333333333333334,,13.0,-0.07352436210388857,0.40384375000000017,0.41,0.393537020867449,0.41,0.38333333333333336,,0.42199999999999993,0.41,0.4554062500000001,0.469,0.46103175118727835,0.469,0.4983333333333333,,0.6140000000000003,0.469,71.890625,67.5,71.27999914963526,67.5,76.33333333333333,,85.5,67.5,-0.125,2.0,-0.12782938003034125,2.0,-0.3333333333333333,,-1.0,2.0,-15.0,-15.0,,-15.0,-0.2222222222222222,-0.2222222222222222,,-0.2222222222222222,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-16,,Rider,L,68.0,84.0,23.0,57.0,0.404,7.0,21.0,0.333,15.0,19.0,0.789,5.0,31.0,14.0,5.0,3.0,14.0,21.0,,33.0,73.0,0.452,4.0,14.0,0.286,14.0,22.0,0.636,18.0,47.0,16.0,11.0,5.0,10.0,17.0,1.0,-16.0,0,3,76.0,1,0,1,66.75,71.0,65.48339983768062,71.34375,69.66666666666667,,71.0,82.0,77.03125,76.5,77.0765984615899,76.54687499999999,83.0,,100.0,78.0,8.21875,-0.03887647477994488,7.875216058994919,-0.03822869850336297,6.666666666666667,,5.0,-0.02084143527462029,7.8125,0.01980897122944475,8.197242884778662,0.022666697295989024,8.333333333333334,,13.0,0.10955256097303451,0.40384375000000017,0.4315,0.393537020867449,0.432171875,0.38333333333333336,,0.42199999999999993,0.453,0.4554062500000001,0.423,0.46103175118727835,0.4215625,0.4983333333333333,,0.6140000000000003,0.377,71.890625,73.75,71.27999914963526,73.9453125,76.33333333333333,,85.5,80.0,-0.125,0.0,-0.12782938003034125,0.002929687499999995,-0.3333333333333333,,-1.0,3.0,-5.5,-5.203124999999986,,4.0,-0.07457627118644068,-0.07036450079239283,,0.05,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-18,@,Drexel,L,73.0,87.0,22.0,58.0,0.379,8.0,23.0,0.348,21.0,25.0,0.84,5.0,31.0,8.0,6.0,0.0,14.0,26.0,,30.0,63.0,0.476,4.0,18.0,0.222,23.0,36.0,0.639,6.0,35.0,15.0,5.0,5.0,14.0,19.0,2.0,-14.0,0,4,80.0,0,1,-1,66.75,70.0,65.48339983768062,70.15880247315327,69.66666666666667,70.0,71.0,68.0,77.03125,79.0,77.0765984615899,79.18808981451349,83.0,79.0,100.0,84.0,8.21875,-0.027810076389602867,7.875216058994919,-0.026712796133888883,6.666666666666667,-0.027810076389602867,5.0,-0.004700832692123846,7.8125,-0.04770157729376201,8.197242884778662,-0.05000959911307301,8.333333333333334,-0.04770157729376201,13.0,-0.17066721924674572,0.40384375000000017,0.4223333333333333,0.393537020867449,0.42218841522941747,0.38333333333333336,0.4223333333333333,0.42199999999999993,0.40399999999999997,0.4554062500000001,0.4326666666666667,0.46103175118727835,0.4323488447770908,0.4983333333333333,0.4326666666666667,0.6140000000000003,0.45199999999999996,71.890625,74.5,71.27999914963526,74.67344614383339,76.33333333333333,74.5,85.5,76.0,-0.125,0.4444444444444444,-0.12782938003034125,0.5611584643508659,-0.3333333333333333,0.4444444444444444,-1.0,4.0,-9.0,-9.029287341360217,-9.0,-16.0,-0.12080536912751678,-0.12091697661801115,-0.12080536912751678,-0.21052631578947367,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-23,,Appalachian State,L,61.0,70.0,21.0,52.0,0.404,9.0,20.0,0.45,10.0,13.0,0.769,4.0,28.0,10.0,7.0,3.0,17.0,14.0,,27.0,63.0,0.429,6.0,16.0,0.375,10.0,12.0,0.833,10.0,39.0,10.0,4.0,5.0,14.0,18.0,5.0,-9.0,0,5,65.5,1,0,1,66.75,70.75,65.48339983768062,70.93703506097562,69.66666666666667,74.33333333333333,71.0,73.0,77.03125,81.0,77.0765984615899,81.32785060975608,83.0,83.0,100.0,87.0,8.21875,-0.01670457411802284,7.875216058994919,-0.01488653929232836,6.666666666666667,-0.004107321745144166,5.0,0.01524276118378265,7.8125,-0.08204288062240708,8.197242884778662,-0.08680735342908594,8.333333333333334,-0.08460869945328617,13.0,-0.17559332762112995,0.40384375000000017,0.4115,0.393537020867449,0.4103586737804878,0.38333333333333336,0.412,0.42199999999999993,0.3789999999999999,0.4554062500000001,0.4435,0.46103175118727835,0.44430533536585365,0.4983333333333333,0.43500000000000005,0.6140000000000003,0.4759999999999999,71.890625,75.875,71.27999914963526,76.13244283536586,76.33333333333333,78.66666666666667,85.5,80.0,-0.125,0.0,-0.12782938003034125,1.9036287923854855e-05,-0.3333333333333333,0.5555555555555556,-1.0,5.0,-10.25,-10.390815548780466,-8.666666666666671,-14.0,-0.13509060955518945,-0.13648341182549856,-0.11016949152542378,-0.175,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-25,@,Rutgers,L,75.0,77.0,26.0,54.0,0.481,12.0,26.0,0.462,11.0,15.0,0.733,9.0,28.0,16.0,9.0,1.0,17.0,21.0,,27.0,60.0,0.45,6.0,18.0,0.333,17.0,30.0,0.567,16.0,37.0,18.0,10.0,4.0,15.0,13.0,2.0,-2.0,0,6,76.0,0,1,-1,66.75,68.8,65.48339983768062,68.69369466265864,69.66666666666667,67.33333333333333,71.0,61.0,77.03125,78.8,77.0765984615899,78.77052594067412,83.0,80.33333333333333,100.0,70.0,8.21875,0.009150056500762671,7.875216058994919,0.013978287219475027,6.666666666666667,0.04291128146046791,5.0,0.12909858871578356,7.8125,-0.07748375296683271,8.197242884778662,-0.08070334186271871,8.333333333333334,-0.13925050318272672,13.0,-0.05638150496103145,0.40384375000000017,0.41,0.393537020867449,0.4089231681508955,0.38333333333333336,0.39566666666666667,0.42199999999999993,0.4039999999999999,0.4554062500000001,0.4406,0.46103175118727835,0.4408500716050516,0.4983333333333333,0.4523333333333334,0.6140000000000003,0.42899999999999994,71.890625,73.8,71.27999914963526,73.7321103016664,76.33333333333333,73.83333333333333,85.5,65.5,-0.125,0.24000000000000005,-0.12782938003034125,0.3017143471182448,-0.3333333333333333,0.6666666666666666,-1.0,6.0,-10.0,-10.076831278015476,-13.0,-9.0,-0.13550135501355015,-0.13666815227161255,-0.1760722347629797,-0.13740458015267176,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-27,@,North Texas,L,78.0,81.0,27.0,57.0,0.474,13.0,27.0,0.481,11.0,17.0,0.647,9.0,25.0,14.0,5.0,1.0,14.0,18.0,,27.0,55.0,0.491,13.0,22.0,0.591,14.0,20.0,0.7,8.0,28.0,14.0,6.0,4.0,14.0,15.0,2.0,-3.0,0,7,79.5,0,1,-1,66.75,69.83333333333333,65.48339983768062,69.91558355277188,69.66666666666667,69.66666666666667,71.0,75.0,77.03125,78.5,77.0765984615899,78.42747468310861,83.0,78.0,100.0,77.0,8.21875,0.037310960091815504,7.875216058994919,0.04567442141164779,6.666666666666667,0.10274358047984344,5.0,0.16647563789611142,7.8125,-0.07785557229497136,8.197242884778662,-0.08052353380789451,8.333333333333334,-0.10839615697568344,13.0,-0.0797581283376548,0.40384375000000017,0.4218333333333333,0.393537020867449,0.42288853699364637,0.38333333333333336,0.4213333333333334,0.42199999999999993,0.48099999999999987,0.4554062500000001,0.44216666666666665,0.46103175118727835,0.4426229315052721,0.4983333333333333,0.4516666666666667,0.6140000000000003,0.45,71.890625,74.16666666666667,71.27999914963526,74.17152911794027,76.33333333333333,73.83333333333333,85.5,76.0,-0.125,0.0,-0.12782938003034125,0.0011758833888355178,-0.3333333333333333,0.7777777777777777,-1.0,7.0,-8.666666666666671,-8.511891130336736,-8.333333333333329,-2.0,-0.11685393258426972,-0.11475954765341245,-0.11286681715575615,-0.02631578947368421,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-11-30,,LIU,L,68.0,75.0,23.0,55.0,0.418,7.0,18.0,0.389,15.0,25.0,0.6,6.0,29.0,11.0,9.0,4.0,16.0,23.0,,25.0,58.0,0.431,8.0,20.0,0.4,17.0,27.0,0.63,7.0,36.0,15.0,11.0,7.0,15.0,24.0,3.0,-7.0,0,8,71.5,1,0,1,66.75,71.0,65.48339983768062,71.29793270848776,69.66666666666667,71.33333333333333,71.0,78.0,77.03125,78.85714285714286,77.0765984615899,78.86734912835468,83.0,76.0,100.0,81.0,8.21875,0.060721110733133576,7.875216058994919,0.07201304930717112,6.666666666666667,0.16311115191480308,5.0,0.18647563789611143,7.8125,-0.04178523166910597,8.197242884778662,-0.0368870819844212,8.333333333333334,0.01542300631716409,13.0,0.1679571193775929,0.40384375000000017,0.42928571428571427,0.393537020867449,0.431628053097924,0.38333333333333336,0.45300000000000007,0.42199999999999993,0.47399999999999987,0.4554062500000001,0.4491428571428572,0.46103175118727835,0.4508948952550646,0.4983333333333333,0.4566666666666667,0.6140000000000003,0.49100000000000005,71.890625,74.92857142857143,71.27999914963526,75.08264091842123,76.33333333333333,73.66666666666667,85.5,79.5,-0.125,0.16326530612244897,-0.12782938003034125,0.26421805698612727,-0.3333333333333333,0.8888888888888888,-1.0,8.0,-7.857142857142861,-7.569416419866911,-4.666666666666671,-3.0,-0.10486177311725459,-0.10081446692972922,-0.06334841628959283,-0.03773584905660377,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-12-03,@,Sacred Heart,W (1 OT),87.0,79.0,29.0,62.0,0.468,14.0,27.0,0.519,15.0,25.0,0.6,6.0,32.0,15.0,11.0,6.0,15.0,17.0,,29.0,66.0,0.439,7.0,22.0,0.318,14.0,19.0,0.737,11.0,39.0,13.0,7.0,4.0,19.0,23.0,3.0,8.0,1,9,83.0,0,1,-1,66.75,70.625,65.48339983768062,70.79007979846627,69.66666666666667,73.66666666666667,71.0,68.0,77.03125,78.375,77.0765984615899,78.27181104965184,83.0,77.66666666666667,100.0,75.0,8.21875,0.05284731931204062,7.875216058994919,0.06066538117094489,6.666666666666667,0.1208647781676046,5.0,-0.004700832692123846,7.8125,-0.03601240038140052,8.197242884778662,-0.030488723761395387,8.333333333333334,0.03411512287465218,13.0,0.006475637896111441,0.40384375000000017,0.427875,0.393537020867449,0.42952945162982986,0.38333333333333336,0.4576666666666667,0.42199999999999993,0.4179999999999999,0.4554062500000001,0.446875,0.46103175118727835,0.4478312546829407,0.4983333333333333,0.45733333333333337,0.6140000000000003,0.43100000000000005,71.890625,74.5,71.27999914963526,74.53094542405907,76.33333333333333,75.66666666666667,85.5,71.5,-0.125,0.0,-0.12782938003034125,5.302091934845526e-07,-0.3333333333333333,1.0,-1.0,9.0,-7.75,-7.481731251185579,-4.0,-7.0,-0.1040268456375839,-0.10038422575504359,-0.05286343612334801,-0.0979020979020979,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
2016-12-07,@,Quinnipiac,L,79.0,99.0,21.0,52.0,0.404,6.0,15.0,0.4,31.0,40.0,0.775,6.0,19.0,12.0,9.0,5.0,18.0,22.0,,35.0,65.0,0.538,10.0,20.0,0.5,19.0,24.0,0.792,14.0,41.0,25.0,10.0,3.0,20.0,29.0,4.0,-20.0,0,10,89.0,0,1,-1,66.75,72.44444444444444,65.48339983768062,73.07306885547196,69.66666666666667,77.66666666666667,71.0,87.0,77.03125,78.44444444444444,77.0765984615899,78.37436845798011,83.0,78.33333333333333,100.0,79.0,8.21875,0.06837747838690894,7.875216058994919,0.07887036116471535,6.666666666666667,0.12424387823945904,5.0,0.16923425858576663,7.8125,-0.0373203960982228,8.197242884778662,-0.03293231670959362,8.333333333333334,0.04392244640674975,13.0,-0.04770157729376201,0.40384375000000017,0.43233333333333335,0.393537020867449,0.43494760544269045,0.38333333333333336,0.4533333333333334,0.42199999999999993,0.4679999999999999,0.4554062500000001,0.446,0.46103175118727835,0.44658746954704126,0.4983333333333333,0.4536666666666667,0.6140000000000003,0.4390000000000001,71.890625,75.44444444444444,71.27999914963526,75.72371865672604,76.33333333333333,78.0,85.5,83.0,-0.125,0.12345679012345678,-0.12782938003034125,0.19776929795370493,-0.3333333333333333,1.1111111111111112,-1.0,10.0,-6.0,-5.301299602508152,-0.6666666666666572,8.0,-0.07952871870397643,-0.07000844248735627,-0.008547008547008425,0.0963855421686747,-10.28125,-0.1430123886111715,-11.593198623909274,-0.16264308027799124,-13.333333333333329,-0.17467248908296937,-29.0,-0.3391812865497076,AEC
