Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-11,@,Murray State,L,70.0,73.0,24.0,54.0,0.444,6.0,16.0,0.375,16.0,21.0,0.762,9.0,37.0,11.0,8.0,3.0,18.0,21.0,,24.0,58.0,0.414,12.0,33.0,0.364,13.0,19.0,0.684,9.0,31.0,12.0,8.0,3.0,14.0,18.0,,-3.0,0,1,71.5,0,1,0,-1,68.73529411764706,,67.19122495953063,,66.0,,62.0,,61.14705882352941,,60.48960571238813,,68.33333333333333,,63.0,,8.558823529411764,,8.642856160032277,,9.666666666666666,,10.0,,6.9411764705882355,,6.933256748891181,,9.0,,7.0,,0.44129411764705884,,0.4369609221796468,,0.395,,0.3670000000000001,,0.3774117647058824,,0.37984777500604233,,0.40000000000000036,,0.39599999999999974,,64.94117647058823,,63.84041533595938,,67.16666666666667,,62.5,,0.08823529411764706,,0.14030121387268507,,0.6666666666666666,,1.0,,,,,,,,,,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-11-16,,Purdue-Fort Wayne,W,75.0,57.0,29.0,62.0,0.468,11.0,26.0,0.423,6.0,10.0,0.6,12.0,34.0,18.0,9.0,2.0,13.0,16.0,,20.0,50.0,0.4,8.0,24.0,0.333,9.0,13.0,0.692,9.0,29.0,10.0,7.0,1.0,17.0,14.0,5.0,18.0,1,2,66.0,1,0,0,1,68.73529411764706,70.0,67.19122495953063,70.0,66.0,,62.0,70.0,61.14705882352941,73.0,60.48960571238813,73.0,68.33333333333333,,63.0,73.0,8.558823529411764,-0.05638150496103145,8.642856160032277,-0.05638150496103145,9.666666666666666,,10.0,-0.05638150496103145,6.9411764705882355,0.17962632282761826,6.933256748891181,0.17962632282761826,9.0,,7.0,0.17962632282761826,0.44129411764705884,0.444,0.4369609221796468,0.444,0.395,,0.3670000000000001,0.444,0.3774117647058824,0.414,0.37984777500604233,0.414,0.40000000000000036,,0.39599999999999974,0.414,64.94117647058823,71.5,63.84041533595938,71.5,67.16666666666667,,62.5,71.5,0.08823529411764706,2.0,0.14030121387268507,2.0,0.6666666666666666,,1.0,2.0,-3.0,-3.0,,-3.0,-0.04195804195804196,-0.04195804195804196,,-0.04195804195804196,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-11-21,@,TCU,L,71.0,80.0,22.0,51.0,0.431,10.0,25.0,0.4,17.0,22.0,0.773,5.0,27.0,17.0,7.0,3.0,17.0,24.0,,26.0,56.0,0.464,6.0,14.0,0.429,22.0,30.0,0.733,10.0,33.0,20.0,10.0,2.0,12.0,19.0,5.0,-9.0,0,3,75.5,0,1,0,-1,68.73529411764706,72.5,67.19122495953063,72.57352941176471,66.0,,62.0,75.0,61.14705882352941,65.0,60.48960571238813,64.76470588235294,68.33333333333333,,63.0,57.0,8.558823529411764,0.0381997758271459,8.642856160032277,0.04088293272893817,9.666666666666666,,10.0,0.12647563789611144,6.9411764705882355,0.148014099434573,6.933256748891181,0.14696610111137032,9.0,,7.0,0.10752826947505878,0.44129411764705884,0.456,0.4369609221796468,0.4563529411764706,0.395,,0.3670000000000001,0.468,0.3774117647058824,0.40700000000000003,0.37984777500604233,0.4067941176470588,0.40000000000000036,,0.39599999999999974,0.4000000000000001,64.94117647058823,68.75,63.84041533595938,68.66911764705883,67.16666666666667,,62.5,66.0,0.08823529411764706,0.0,0.14030121387268507,0.002595155709342562,0.6666666666666666,,1.0,3.0,7.5,7.808823529411768,,18.0,0.10909090909090909,0.11371667202055899,,0.2727272727272727,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-11-30,,IUPUI,W,77.0,63.0,30.0,60.0,0.5,6.0,18.0,0.333,11.0,21.0,0.524,12.0,41.0,18.0,7.0,9.0,13.0,20.0,,21.0,54.0,0.389,6.0,19.0,0.316,15.0,20.0,0.75,6.0,29.0,11.0,6.0,5.0,13.0,17.0,9.0,14.0,1,4,70.0,1,0,0,1,68.73529411764706,72.0,67.19122495953063,72.01787258575959,66.0,72.0,62.0,71.0,61.14705882352941,70.0,60.48960571238813,70.14471029115019,68.33333333333333,70.0,63.0,80.0,8.558823529411764,0.061475637896111435,8.642856160032277,0.06460076298116924,9.666666666666666,0.061475637896111435,10.0,0.10901084916371706,6.9411764705882355,0.057904209324682876,6.933256748891181,0.052124216792434175,9.0,0.057904209324682876,7.0,-0.08852436210388856,0.44129411764705884,0.44766666666666666,0.4369609221796468,0.44740011530700496,0.395,0.44766666666666666,0.3670000000000001,0.431,0.3774117647058824,0.426,0.37984777500604233,0.42699509945229175,0.40000000000000036,0.426,0.39599999999999974,0.4640000000000001,64.94117647058823,71.0,63.84041533595938,71.08129143845488,67.16666666666667,71.0,62.5,75.5,0.08823529411764706,0.4444444444444444,0.14030121387268507,0.44649671043474387,0.6666666666666666,0.4444444444444444,1.0,4.0,2.0,1.8731622946094006,2.0,-9.0,0.028169014084507043,0.026352395358928755,0.028169014084507043,-0.11920529801324503,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-03,,New Mexico,W,79.0,74.0,26.0,61.0,0.426,14.0,35.0,0.4,13.0,20.0,0.65,9.0,31.0,17.0,8.0,2.0,11.0,18.0,,26.0,57.0,0.456,4.0,17.0,0.235,18.0,21.0,0.857,10.0,36.0,13.0,8.0,2.0,14.0,17.0,3.0,5.0,1,5,76.5,1,0,0,1,68.73529411764706,73.25,67.19122495953063,73.37539402104835,66.0,74.33333333333333,62.0,77.0,61.14705882352941,68.25,60.48960571238813,68.19793202501398,68.33333333333333,66.66666666666667,63.0,63.0,8.558823529411764,0.02435959694048001,8.642856160032277,0.0233230447158414,9.666666666666666,0.04970433744768099,10.0,-0.0797581283376548,6.9411764705882355,0.03812398954446311,6.933256748891181,0.0320039215797403,9.0,-0.013524362103888576,7.0,-0.027810076389602867,0.44129411764705884,0.46075,0.4369609221796468,0.46173244064263563,0.395,0.4663333333333333,0.3670000000000001,0.5,0.3774117647058824,0.41675,0.37984777500604233,0.416642260663989,0.40000000000000036,0.4176666666666667,0.39599999999999974,0.38900000000000007,64.94117647058823,70.75,63.84041533595938,70.78666302303117,67.16666666666667,70.5,62.5,70.0,0.08823529411764706,0.0,0.14030121387268507,0.004325259515570937,0.6666666666666666,0.5555555555555556,1.0,5.0,5.0,5.177461996034367,7.666666666666657,14.0,0.0706713780918728,0.07314177240350808,0.10874704491725755,0.2,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-07,@,Tulsa,L,68.0,70.0,23.0,59.0,0.39,12.0,28.0,0.429,10.0,13.0,0.769,9.0,30.0,15.0,8.0,5.0,13.0,21.0,,25.0,55.0,0.455,6.0,23.0,0.261,14.0,24.0,0.583,9.0,35.0,11.0,6.0,1.0,9.0,14.0,4.0,-2.0,0,6,69.0,0,1,0,-1,68.73529411764706,74.4,67.19122495953063,74.63643099060678,66.0,75.66666666666667,62.0,79.0,61.14705882352941,69.4,60.48960571238813,69.49875598383503,68.33333333333333,72.33333333333333,63.0,74.0,8.558823529411764,0.06550789596062756,8.642856160032277,0.06955016061273944,9.666666666666666,0.08295140882122154,10.0,0.21812120751636455,6.9411764705882355,-0.0022851690203150588,6.933256748891181,-0.011769399992815455,9.0,-0.0923262054218609,7.0,-0.1513621999417264,0.44129411764705884,0.45380000000000004,0.4369609221796468,0.45372122548702487,0.395,0.4523333333333333,0.3670000000000001,0.42599999999999993,0.3774117647058824,0.42460000000000003,0.37984777500604233,0.4254662679858681,0.40000000000000036,0.4363333333333334,0.39599999999999974,0.45600000000000007,64.94117647058823,71.9,63.84041533595938,72.06759348722092,67.16666666666667,74.0,62.5,76.5,0.08823529411764706,0.24000000000000005,0.14030121387268507,0.3661064658463833,0.6666666666666666,0.6666666666666666,1.0,6.0,5.0,5.137675006771758,3.333333333333343,5.0,0.06954102920723226,0.07128967068510168,0.045045045045045175,0.06535947712418301,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-10,,UT-Martin,W,74.0,57.0,25.0,56.0,0.446,12.0,28.0,0.429,12.0,22.0,0.545,8.0,37.0,19.0,9.0,5.0,14.0,17.0,,17.0,53.0,0.321,7.0,20.0,0.35,16.0,23.0,0.696,7.0,34.0,7.0,8.0,1.0,15.0,15.0,3.0,17.0,1,7,65.5,1,0,0,1,68.73529411764706,73.33333333333333,67.19122495953063,73.3615250172177,66.0,74.66666666666667,62.0,68.0,61.14705882352941,69.5,60.48960571238813,69.59504855302451,68.33333333333333,69.0,63.0,70.0,8.558823529411764,0.08874836516883872,8.642856160032277,0.09560803587802336,9.666666666666666,0.11504706646753998,10.0,0.2158874026019938,6.9411764705882355,-0.011366088722593592,6.933256748891181,-0.020389573084575174,9.0,-0.08164030413287407,7.0,-0.05638150496103145,0.44129411764705884,0.4431666666666667,0.4369609221796468,0.4414799212197062,0.395,0.4386666666666666,0.3670000000000001,0.38999999999999996,0.3774117647058824,0.4296666666666667,0.37984777500604233,0.4311399096487714,0.40000000000000036,0.4333333333333334,0.39599999999999974,0.455,64.94117647058823,71.41666666666667,63.84041533595938,71.47828678512111,67.16666666666667,71.83333333333333,62.5,69.0,0.08823529411764706,0.0,0.14030121387268507,0.000389212408475,0.6666666666666666,0.7777777777777777,1.0,7.0,3.8333333333333286,3.7664764641931896,5.666666666666671,-2.0,0.05367561260210028,0.05269399468842918,0.07888631090487246,-0.028985507246376812,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-18,,St. Joseph's,W,81.0,72.0,31.0,66.0,0.47,9.0,20.0,0.45,10.0,13.0,0.769,12.0,34.0,14.0,10.0,3.0,10.0,21.0,,23.0,55.0,0.418,8.0,25.0,0.32,18.0,23.0,0.783,8.0,29.0,14.0,3.0,2.0,14.0,16.0,8.0,9.0,1,8,76.5,1,0,0,1,68.73529411764706,73.42857142857143,67.19122495953063,73.46959504234496,66.0,73.66666666666667,62.0,74.0,61.14705882352941,67.71428571428571,60.48960571238813,67.46317612213791,68.33333333333333,67.0,63.0,57.0,8.558823529411764,0.10087252505564448,8.642856160032277,0.10879572540229637,9.666666666666666,0.20231274196850957,10.0,0.17296212438259795,6.9411764705882355,-0.0033977798254075098,6.933256748891181,-0.00962280933920484,9.0,-0.059793018820306465,7.0,0.05489669052769036,0.44129411764705884,0.4435714285714286,0.4369609221796468,0.4422450021399246,0.395,0.4206666666666666,0.3670000000000001,0.44599999999999995,0.3774117647058824,0.4141428571428572,0.37984777500604233,0.4124973267375549,0.40000000000000036,0.41066666666666674,0.39599999999999974,0.321,64.94117647058823,70.57142857142857,63.84041533595938,70.46638558224144,67.16666666666667,70.33333333333333,62.5,65.5,0.08823529411764706,0.16326530612244897,0.14030121387268507,0.24628201519453333,0.6666666666666666,0.8888888888888888,1.0,8.0,5.714285714285722,6.006418920207054,6.666666666666671,17.0,0.08097165991902845,0.0852380730269889,0.09478672985781998,0.2595419847328244,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-22,@,Hawaii,W,71.0,45.0,25.0,51.0,0.49,6.0,20.0,0.3,15.0,21.0,0.714,10.0,33.0,10.0,5.0,7.0,10.0,22.0,,14.0,55.0,0.255,5.0,26.0,0.192,12.0,16.0,0.75,9.0,22.0,8.0,3.0,1.0,12.0,18.0,4.0,26.0,1,9,58.0,0,1,0,-1,68.73529411764706,74.375,67.19122495953063,74.61570977088331,66.0,74.33333333333333,62.0,81.0,61.14705882352941,68.25,60.48960571238813,68.1536729408935,68.33333333333333,66.33333333333333,63.0,72.0,8.558823529411764,0.08983698243392657,8.642856160032277,0.0940932699431759,9.666666666666666,0.13042182623691861,10.0,0.01980897122944475,6.9411764705882355,-0.00033754891707538093,6.933256748891181,-0.00489053918474347,9.0,0.003058552468975795,7.0,0.01980897122944475,0.44129411764705884,0.446875,0.4369609221796468,0.4464692652462063,0.395,0.4353333333333333,0.3670000000000001,0.4699999999999999,0.3774117647058824,0.4146250000000001,0.37984777500604233,0.413334824177319,0.40000000000000036,0.3980000000000001,0.39599999999999974,0.418,64.94117647058823,71.3125,63.84041533595938,71.3846913558884,67.16666666666667,70.33333333333333,62.5,76.5,0.08823529411764706,0.5625,0.14030121387268507,0.8151449278063221,0.6666666666666666,1.0,1.0,9.0,6.125,6.462036829989813,8.0,9.0,0.08588957055214724,0.09052412649335873,0.1137440758293839,0.11764705882352941,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
2016-12-23,N,San Francisco,L,58.0,66.0,23.0,76.0,0.303,4.0,25.0,0.16,8.0,13.0,0.615,17.0,43.0,9.0,3.0,5.0,9.0,23.0,,22.0,60.0,0.367,8.0,23.0,0.348,14.0,26.0,0.538,13.0,45.0,13.0,1.0,2.0,7.0,15.0,1.0,-8.0,0,10,62.0,0,0,1,0,68.73529411764706,74.0,67.19122495953063,74.11317372042066,66.0,75.33333333333333,62.0,71.0,61.14705882352941,65.66666666666667,60.48960571238813,64.93561726421291,68.33333333333333,58.0,63.0,45.0,8.558823529411764,0.0738630252834988,8.642856160032277,0.07357553635774372,9.666666666666666,0.044882717542129136,10.0,-0.06000323534332519,6.9411764705882355,0.0011964500788525512,6.933256748891181,-0.0025115550550851573,9.0,0.03130322410300801,7.0,0.01980897122944475,0.44129411764705884,0.4516666666666667,0.4369609221796468,0.45251946421213834,0.395,0.46866666666666656,0.3670000000000001,0.49,0.3774117647058824,0.39688888888888896,0.37984777500604233,0.39132836839551843,0.40000000000000036,0.3313333333333334,0.39599999999999974,0.25500000000000006,64.94117647058823,69.83333333333333,63.84041533595938,69.52439549231678,67.16666666666667,66.66666666666667,62.5,58.0,0.08823529411764706,0.12345679012345678,0.14030121387268507,0.14432697212575396,0.6666666666666666,1.1111111111111112,1.0,10.0,8.333333333333329,9.177556456207753,17.33333333333333,26.0,0.11933174224343669,0.13200483644941544,0.2599999999999999,0.4482758620689655,7.588235294117645,0.1168478260869565,6.701619247142496,0.10497455588086808,-2.3333333333333286,-0.03473945409429273,-1.0,-0.016,MVC
