Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-11,N,Kansas,W (1 OT),103.0,99.0,31.0,71.0,0.437,15.0,31.0,0.484,26.0,36.0,0.722,17.0,44.0,15.0,7.0,3.0,17.0,31.0,,31.0,71.0,0.437,7.0,23.0,0.304,30.0,38.0,0.789,11.0,36.0,16.0,9.0,2.0,11.0,32.0,,4.0,1,1,101.0,0,0,1,0,79.73529411764706,,77.02281709865552,,72.66666666666667,,63.0,,73.26470588235294,,75.32498163051297,,72.66666666666667,,75.0,,8.676470588235293,,8.440241314378474,,8.666666666666666,,5.0,,6.852941176470588,,7.233995864317203,,8.666666666666666,,7.0,,0.48058823529411765,,0.46947633668989375,,0.46433333333333343,,0.3790000000000003,,0.43185294117647066,,0.4466654169836937,,0.4673333333333333,,0.48200000000000043,,76.5,,76.17389936458427,,72.66666666666667,,69.0,,0.23529411764705882,,0.04529493550315918,,0.0,,0.0,,,,,,,,,,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-11-16,,UMass-Lowell,W,100.0,78.0,40.0,71.0,0.563,11.0,27.0,0.407,9.0,14.0,0.643,16.0,43.0,23.0,10.0,6.0,16.0,21.0,,27.0,61.0,0.443,9.0,21.0,0.429,15.0,18.0,0.833,5.0,19.0,12.0,7.0,3.0,15.0,18.0,5.0,22.0,1,2,89.0,1,0,0,1,79.73529411764706,103.0,77.02281709865552,103.0,72.66666666666667,,63.0,103.0,73.26470588235294,99.0,75.32498163051297,99.0,72.66666666666667,,75.0,99.0,8.676470588235293,0.12336884177960655,8.440241314378474,0.12336884177960655,8.666666666666666,,5.0,0.12336884177960655,6.852941176470588,-0.10140314998267644,7.233995864317203,-0.10140314998267644,8.666666666666666,,7.0,-0.10140314998267644,0.48058823529411765,0.437,0.46947633668989375,0.437,0.46433333333333343,,0.3790000000000003,0.437,0.43185294117647066,0.437,0.4466654169836937,0.437,0.4673333333333333,,0.48200000000000043,0.437,76.5,101.0,76.17389936458427,101.0,72.66666666666667,,69.0,101.0,0.23529411764705882,0.0,0.04529493550315918,0.0,0.0,,0.0,0.0,4.0,4.0,,4.0,0.039603960396039604,0.039603960396039604,,0.039603960396039604,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-11-19,,Liberty,W,87.0,48.0,28.0,46.0,0.609,9.0,21.0,0.429,22.0,31.0,0.71,9.0,52.0,16.0,5.0,5.0,26.0,19.0,,19.0,64.0,0.297,5.0,27.0,0.185,5.0,14.0,0.357,4.0,18.0,9.0,6.0,2.0,10.0,29.0,3.0,39.0,1,3,67.5,1,0,0,1,79.73529411764706,101.5,77.02281709865552,101.45588235294117,72.66666666666667,,63.0,100.0,73.26470588235294,88.5,75.32498163051297,88.19117647058825,72.66666666666667,,75.0,78.0,8.676470588235293,0.07071209109808185,8.440241314378474,0.06913979212136151,8.666666666666666,,5.0,0.01647563789611145,6.852941176470588,-0.042337921425922465,7.233995864317203,-0.040387793819746554,8.666666666666666,,7.0,0.03262948404995758,0.48058823529411765,0.5,0.46947633668989375,0.5018529411764705,0.46433333333333343,,0.3790000000000003,0.563,0.43185294117647066,0.44,0.4466654169836937,0.44008823529411767,0.4673333333333333,,0.48200000000000043,0.443,76.5,95.0,76.17389936458427,94.82352941176471,72.66666666666667,,69.0,89.0,0.23529411764705882,0.75,0.04529493550315918,0.7947664359861593,0.0,,0.0,3.0,13.0,13.264705882352928,,22.0,0.1368421052631579,0.1398883374689825,,0.24719101123595505,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-11-22,@,Purdue-Fort Wayne,L (1 OT),68.0,71.0,25.0,62.0,0.403,7.0,24.0,0.292,11.0,19.0,0.579,11.0,38.0,12.0,4.0,3.0,15.0,13.0,,30.0,73.0,0.411,7.0,31.0,0.226,4.0,7.0,0.571,10.0,38.0,13.0,11.0,7.0,8.0,15.0,3.0,-3.0,0,4,69.5,0,1,0,-1,79.73529411764706,96.66666666666667,77.02281709865552,96.35110982992217,72.66666666666667,96.66666666666667,63.0,87.0,73.26470588235294,75.0,75.32498163051297,73.99855866243875,72.66666666666667,75.0,75.0,48.0,8.676470588235293,0.048544603413352816,8.440241314378474,0.0460803554360974,8.666666666666666,0.048544603413352816,5.0,-0.003179534517681659,6.852941176470588,-0.03352436210388854,7.233995864317203,-0.031371195579410704,8.666666666666666,-0.03352436210388854,7.0,-0.0010243621038885653,0.48058823529411765,0.5363333333333333,0.46947633668989375,0.5396895358893052,0.46433333333333343,0.5363333333333333,0.3790000000000003,0.609,0.43185294117647066,0.39233333333333337,0.4466654169836937,0.38955981550879215,0.4673333333333333,0.39233333333333337,0.48200000000000043,0.297,76.5,85.83333333333333,76.17389936458427,85.17483424618047,72.66666666666667,85.83333333333333,69.0,67.5,0.23529411764705882,1.7777777777777777,0.04529493550315918,1.8828048387392986,0.0,1.7777777777777777,0.0,4.0,21.66666666666667,22.352551167483412,21.66666666666667,39.0,0.25242718446601947,0.262431402013392,0.25242718446601947,0.5777777777777777,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-11-27,,Mississippi Valley State,W,85.0,52.0,29.0,59.0,0.492,9.0,25.0,0.36,18.0,22.0,0.818,14.0,46.0,20.0,4.0,8.0,15.0,13.0,,21.0,67.0,0.313,5.0,20.0,0.25,5.0,9.0,0.556,12.0,23.0,10.0,6.0,4.0,9.0,20.0,5.0,33.0,1,5,68.5,1,0,0,1,79.73529411764706,89.5,77.02281709865552,88.62604860440285,72.66666666666667,85.0,63.0,68.0,73.26470588235294,74.0,75.32498163051297,73.18151659972547,72.66666666666667,65.66666666666667,75.0,71.0,8.676470588235293,0.038430945158681284,8.440241314378474,0.03546383378975049,8.666666666666666,0.004122696719640828,5.0,-0.004700832692123846,6.852941176470588,-0.029740578320104794,7.233995864317203,-0.02777027826139028,8.666666666666666,0.006272592210832206,7.0,-0.017749714216564627,0.48058823529411765,0.503,0.46947633668989375,0.5024446082668158,0.46433333333333343,0.525,0.3790000000000003,0.403,0.43185294117647066,0.397,0.4466654169836937,0.395401799786466,0.4673333333333333,0.38366666666666666,0.48200000000000043,0.411,76.5,81.75,76.17389936458427,80.90378260206417,72.66666666666667,75.33333333333333,69.0,69.5,0.23529411764705882,0.3125,0.04529493550315918,0.25686795394617534,0.0,0.5555555555555556,0.0,5.0,15.5,15.444532004677384,19.33333333333333,-3.0,0.18960244648318042,0.19089999883742562,0.2566371681415929,-0.04316546762589928,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-11-30,,UNC,W,76.0,67.0,25.0,52.0,0.481,8.0,21.0,0.381,18.0,27.0,0.667,7.0,36.0,12.0,7.0,6.0,13.0,22.0,,24.0,61.0,0.393,6.0,21.0,0.286,13.0,22.0,0.591,12.0,33.0,16.0,5.0,5.0,12.0,21.0,3.0,9.0,1,6,71.5,1,0,0,1,79.73529411764706,88.6,77.02281709865552,87.81308830804089,72.66666666666667,80.0,63.0,85.0,73.26470588235294,69.6,75.32498163051297,68.43261941412241,72.66666666666667,57.0,75.0,52.0,8.676470588235293,0.031848098392725455,8.440241314378474,0.028662248661129597,8.666666666666666,-0.0010243621038885653,5.0,0.004122696719640828,6.852941176470588,-0.029041603483198952,7.233995864317203,-0.027309027516683015,8.666666666666666,-0.015278748068800863,7.0,-0.02506282364235013,0.48058823529411765,0.5008,0.46947633668989375,0.5001029265194545,0.46433333333333343,0.5013333333333334,0.3790000000000003,0.492,0.43185294117647066,0.3802,0.4466654169836937,0.3769273117462825,0.4673333333333333,0.3403333333333333,0.48200000000000043,0.313,76.5,79.1,76.17389936458427,78.12285386108167,72.66666666666667,68.5,69.0,68.5,0.23529411764705882,0.9600000000000002,0.04529493550315918,0.9601962199035985,0.0,0.6666666666666666,0.0,6.0,19.0,19.380468893918476,23.0,33.0,0.2402022756005057,0.2480768166557368,0.3357664233576642,0.48175182481751827,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-12-02,,SIU-Edwardsville,W,83.0,60.0,28.0,60.0,0.467,7.0,22.0,0.318,20.0,23.0,0.87,12.0,41.0,15.0,7.0,8.0,13.0,20.0,,24.0,63.0,0.381,4.0,14.0,0.286,8.0,16.0,0.5,12.0,30.0,7.0,4.0,6.0,10.0,21.0,2.0,23.0,1,7,71.5,1,0,0,1,79.73529411764706,86.5,77.02281709865552,85.54370934977086,72.66666666666667,76.33333333333333,63.0,76.0,73.26470588235294,69.16666666666667,75.32498163051297,68.1574029534611,72.66666666666667,63.333333333333336,75.0,67.0,8.676470588235293,0.027516100323857096,8.440241314378474,0.024156925840314092,8.666666666666666,0.0008861182454564243,5.0,0.0022651115803219435,6.852941176470588,-0.031596651260515085,7.233995864317203,-0.03062488363077165,8.666666666666666,-0.029313835788099096,7.0,-0.04486764568597812,0.48058823529411765,0.4975,0.46947633668989375,0.4964331173760555,0.46433333333333343,0.4586666666666668,0.3790000000000003,0.481,0.43185294117647066,0.38233333333333336,0.4466654169836937,0.3800149903934482,0.4673333333333333,0.37233333333333335,0.48200000000000043,0.39299999999999996,76.5,77.83333333333333,76.17389936458427,76.850556151616,72.66666666666667,69.83333333333333,69.0,71.5,0.23529411764705882,1.75,0.04529493550315918,1.8587193392809962,0.0,0.7777777777777777,0.0,7.0,17.33333333333333,17.386306396309763,12.999999999999993,9.0,0.22269807280513915,0.22623527098501245,0.18615751789976126,0.1258741258741259,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-12-04,,Southeast Missouri State,W,83.0,55.0,29.0,56.0,0.518,7.0,20.0,0.35,18.0,24.0,0.75,12.0,42.0,16.0,10.0,8.0,15.0,15.0,,20.0,64.0,0.313,5.0,25.0,0.2,10.0,16.0,0.625,12.0,29.0,7.0,5.0,1.0,14.0,21.0,2.0,28.0,1,8,69.0,1,0,0,1,79.73529411764706,86.0,77.02281709865552,85.11315413498666,72.66666666666667,81.33333333333333,63.0,83.0,73.26470588235294,67.85714285714286,75.32498163051297,66.77665857674009,72.66666666666667,59.666666666666664,75.0,60.0,8.676470588235293,0.015379292381161258,8.440241314378474,0.010181391070438583,8.666666666666666,-0.018442394890773817,5.0,-0.0605123139111175,6.852941176470588,-0.04194541473546748,7.233995864317203,-0.04323269586839257,8.666666666666666,-0.062127714059195815,7.0,-0.11352436210388855,0.48058823529411765,0.49314285714285716,0.46947633668989375,0.4914511872767075,0.46433333333333343,0.48000000000000015,0.3790000000000003,0.46699999999999997,0.43185294117647066,0.3821428571428571,0.4466654169836937,0.3801817158185647,0.4673333333333333,0.36233333333333334,0.48200000000000043,0.381,76.5,76.92857142857143,76.17389936458427,75.9449063558634,72.66666666666667,70.5,69.0,71.5,0.23529411764705882,2.6122448979591835,0.04529493550315918,2.854515145381866,0.0,8.0,0.0,8.0,18.14285714285714,18.33649555824657,21.666666666666664,23.0,0.23584029712163412,0.24144470561758594,0.30732860520094557,0.32167832167832167,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-12-10,,Houston Baptist,W,103.0,61.0,33.0,60.0,0.55,12.0,28.0,0.429,25.0,32.0,0.781,11.0,44.0,19.0,9.0,5.0,12.0,18.0,,25.0,66.0,0.379,2.0,17.0,0.118,9.0,14.0,0.643,9.0,27.0,8.0,4.0,0.0,15.0,23.0,6.0,42.0,1,9,82.0,1,0,0,1,79.73529411764706,85.625,77.02281709865552,84.79153569727995,72.66666666666667,80.66666666666667,63.0,83.0,73.26470588235294,66.25,75.32498163051297,64.98427132483693,72.66666666666667,60.666666666666664,75.0,55.0,8.676470588235293,0.006183667093191736,8.440241314378474,-0.00035073615232422695,8.666666666666666,-0.04079708937661586,5.0,-0.0605123139111175,6.852941176470588,-0.0418262488963414,7.233995864317203,-0.04291895483626418,8.666666666666666,-0.0662716148511413,7.0,-0.04079708937661586,0.48058823529411765,0.49624999999999997,0.46947633668989375,0.4954918710723964,0.46433333333333343,0.4886666666666668,0.3790000000000003,0.518,0.43185294117647066,0.3735,0.4466654169836937,0.36995677381065023,0.4673333333333333,0.36233333333333334,0.48200000000000043,0.31299999999999994,76.5,75.9375,76.17389936458427,74.88790351105845,72.66666666666667,70.66666666666667,69.0,69.0,0.23529411764705882,3.515625,0.04529493550315918,3.9040663384523153,0.0,9.0,0.0,9.0,19.375,19.80726437244303,20.000000000000007,28.0,0.2551440329218107,0.26449217355267735,0.2830188679245284,0.4057971014492754,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
2016-12-17,N,Butler,L,78.0,83.0,26.0,59.0,0.441,6.0,21.0,0.286,20.0,26.0,0.769,12.0,38.0,11.0,3.0,8.0,13.0,18.0,,27.0,58.0,0.466,10.0,21.0,0.476,19.0,25.0,0.76,4.0,22.0,14.0,5.0,4.0,6.0,21.0,7.0,-5.0,0,10,80.5,0,0,1,0,79.73529411764706,87.55555555555556,77.02281709865552,87.32227248632363,72.66666666666667,89.66666666666667,63.0,103.0,73.26470588235294,65.66666666666667,75.32498163051297,64.43051007118797,72.66666666666667,58.666666666666664,75.0,61.0,8.676470588235293,0.010079698809817017,8.440241314378474,0.005607009760561166,8.666666666666666,-0.023561536825078166,5.0,0.03599020100290756,6.852941176470588,-0.059717255504903866,7.233995864317203,-0.06558406959184834,8.666666666666666,-0.12602436210388857,7.0,-0.21516370636618365,0.48058823529411765,0.5022222222222221,0.46947633668989375,0.5030677832902333,0.46433333333333343,0.5116666666666668,0.3790000000000003,0.55,0.43185294117647066,0.3741111111111111,0.4466654169836937,0.37121366317971205,0.4673333333333333,0.35766666666666663,0.48200000000000043,0.37899999999999995,76.5,76.61111111111111,76.17389936458427,75.87639127875582,72.66666666666667,74.16666666666667,69.0,82.0,0.23529411764705882,4.444444444444445,0.04529493550315918,4.9853553905134875,0.0,10.0,0.0,10.0,21.888888888888886,22.89176241513566,31.000000000000007,42.0,0.28571428571428564,0.301698091189334,0.4179775280898877,0.5121951219512195,6.470588235294116,0.08458285274894269,1.6978354681425571,0.02228893994275336,0.0,0.0,-12.0,-0.17391304347826086,Big Ten
