Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-12,@,Marshall,L,69.0,81.0,27.0,66.0,0.409,7.0,26.0,0.269,8.0,17.0,0.471,10.0,36.0,10.0,2.0,2.0,13.0,24.0,,28.0,59.0,0.475,8.0,26.0,0.308,17.0,25.0,0.68,10.0,37.0,13.0,6.0,5.0,13.0,17.0,,-12.0,0,1,75.0,0,1,0,-1,72.93548387096774,,73.76038125607293,,69.0,,63.0,,64.0,,63.34159733239873,,58.333333333333336,,67.0,,7.225806451612903,,7.047816970918825,,5.0,,5.0,,6.129032258064516,,5.843323579403028,,5.333333333333333,,5.0,,0.4536774193548388,,0.44706633400665224,,0.39833333333333343,,0.3580000000000001,,0.40090322580645166,,0.3964698147948441,,0.3700000000000001,,0.4580000000000003,,68.46774193548387,,68.55098929423583,,63.666666666666664,,65.0,,-0.22580645161290322,,-0.11821925551763725,,0.0,,0.0,,,,,,,,,,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-11-14,@,Ohio State,L,63.0,69.0,25.0,51.0,0.49,6.0,19.0,0.316,7.0,9.0,0.778,4.0,31.0,10.0,4.0,3.0,19.0,27.0,,26.0,56.0,0.464,6.0,21.0,0.286,11.0,23.0,0.478,10.0,29.0,14.0,4.0,1.0,12.0,16.0,2.0,-6.0,0,2,66.0,0,1,0,-1,72.93548387096774,69.0,73.76038125607293,69.0,69.0,,63.0,69.0,64.0,81.0,63.34159733239873,81.0,58.333333333333336,,67.0,81.0,7.225806451612903,-0.009176536016932024,7.047816970918825,-0.009176536016932024,5.0,,5.0,-0.009176536016932024,6.129032258064516,-0.017228065807592285,5.843323579403028,-0.017228065807592285,5.333333333333333,,5.0,-0.017228065807592285,0.4536774193548388,0.409,0.44706633400665224,0.409,0.39833333333333343,,0.3580000000000001,0.409,0.40090322580645166,0.475,0.3964698147948441,0.475,0.3700000000000001,,0.4580000000000003,0.475,68.46774193548387,75.0,68.55098929423583,75.0,63.666666666666664,,65.0,75.0,-0.22580645161290322,2.0,-0.11821925551763725,2.0,0.0,,0.0,2.0,-12.0,-12.0,,-12.0,-0.16,-0.16,,-0.16,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-11-16,@,Western Carolina,W,67.0,59.0,23.0,48.0,0.479,5.0,21.0,0.238,16.0,24.0,0.667,5.0,30.0,11.0,7.0,3.0,13.0,19.0,,22.0,58.0,0.379,5.0,25.0,0.2,10.0,14.0,0.714,8.0,25.0,11.0,4.0,1.0,15.0,19.0,2.0,8.0,1,3,63.0,0,1,0,-1,72.93548387096774,66.0,73.76038125607293,65.90322580645162,69.0,,63.0,63.0,64.0,75.0,63.34159733239873,74.80645161290323,58.333333333333336,,67.0,69.0,7.225806451612903,-0.018069816649343096,7.047816970918825,-0.01837017708186217,5.0,,5.0,-0.027810076389602867,6.129032258064516,-0.03352436210388854,5.843323579403028,-0.03409357297064153,5.333333333333333,,5.0,-0.05265479688649727,0.4536774193548388,0.4495,0.44706633400665224,0.4508064516129032,0.39833333333333343,,0.3580000000000001,0.49000000000000005,0.40090322580645166,0.46950000000000003,0.3964698147948441,0.46932258064516125,0.3700000000000001,,0.4580000000000003,0.4640000000000001,68.46774193548387,70.5,68.55098929423583,70.35483870967742,63.666666666666664,,65.0,66.0,-0.22580645161290322,3.0,-0.11821925551763725,3.0,0.0,,0.0,3.0,-9.0,-8.903225806451616,,-6.0,-0.1276595744680851,-0.12654745529573594,,-0.09090909090909091,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-11-18,,Jackson State,W,84.0,75.0,28.0,47.0,0.596,10.0,18.0,0.556,18.0,27.0,0.667,4.0,29.0,23.0,3.0,3.0,11.0,18.0,,30.0,61.0,0.492,8.0,20.0,0.4,7.0,20.0,0.35,12.0,32.0,13.0,2.0,2.0,11.0,25.0,2.0,9.0,1,4,79.5,1,0,0,1,72.93548387096774,66.33333333333333,73.76038125607293,66.29264909847434,69.0,66.33333333333333,63.0,67.0,64.0,69.66666666666667,63.34159733239873,69.19417475728156,58.333333333333336,69.66666666666667,67.0,59.0,7.225806451612903,-0.042167578184290566,7.047816970918825,-0.04394677355230586,5.0,-0.042167578184290566,5.0,-0.08964376508896318,6.129032258064516,-0.04079708937661586,5.843323579403028,-0.04172095854799451,5.333333333333333,-0.04079708937661586,5.0,-0.059287073968295356,0.4536774193548388,0.45933333333333337,0.44706633400665224,0.4608169209431346,0.39833333333333343,0.45933333333333337,0.3580000000000001,0.4790000000000001,0.40090322580645166,0.43933333333333335,0.3964698147948441,0.43725242718446605,0.3700000000000001,0.43933333333333335,0.4580000000000003,0.37900000000000006,68.46774193548387,68.0,68.55098929423583,67.74341192787794,63.666666666666664,68.0,65.0,63.0,-0.22580645161290322,4.0,-0.11821925551763725,4.0,0.0,4.0,0.0,4.0,-3.333333333333343,-2.9015256588072162,-3.333333333333343,8.0,-0.04901960784313739,-0.042831111930061685,-0.04901960784313739,0.12698412698412698,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-11-26,@,Northern Kentucky,W,82.0,74.0,33.0,65.0,0.508,6.0,15.0,0.4,10.0,12.0,0.833,4.0,36.0,12.0,3.0,2.0,7.0,20.0,,26.0,63.0,0.413,12.0,32.0,0.375,10.0,21.0,0.476,13.0,35.0,14.0,6.0,5.0,8.0,17.0,8.0,8.0,1,5,78.0,0,1,0,-1,72.93548387096774,70.75,73.76038125607293,71.15679699550667,69.0,71.33333333333333,63.0,84.0,64.0,71.0,63.34159733239873,70.78901482127289,58.333333333333336,67.66666666666667,67.0,75.0,7.225806451612903,-0.01670457411802284,7.047816970918825,-0.015551375757743957,5.0,-0.01913183873940255,5.0,0.043618495038968585,6.129032258064516,-0.028313094498254754,5.843323579403028,-0.02769395382751688,5.333333333333333,-0.0327361847639871,5.0,0.006475637896111441,0.4536774193548388,0.49350000000000005,0.44706633400665224,0.4979512440480183,0.39833333333333343,0.5216666666666667,0.3580000000000001,0.5960000000000002,0.40090322580645166,0.4525,0.3964698147948441,0.4522913956139763,0.3700000000000001,0.445,0.4580000000000003,0.492,68.46774193548387,70.875,68.55098929423583,70.97290590838978,63.666666666666664,69.5,65.0,79.5,-0.22580645161290322,1.25,-0.11821925551763725,1.0152330469978623,0.0,0.5555555555555556,0.0,5.0,-0.25,0.36778217423378123,3.666666666666657,9.0,-0.003527336860670194,0.005182008113187674,0.052757793764987876,0.11320754716981132,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-11-28,@,Missouri,W,62.0,52.0,19.0,52.0,0.365,6.0,22.0,0.273,18.0,23.0,0.783,7.0,42.0,11.0,1.0,8.0,13.0,19.0,,17.0,68.0,0.25,7.0,27.0,0.259,11.0,20.0,0.55,12.0,37.0,8.0,4.0,4.0,6.0,21.0,2.0,10.0,1,6,57.0,0,1,0,-1,72.93548387096774,73.0,73.76038125607293,73.61398127945615,69.0,77.66666666666667,63.0,82.0,64.0,71.6,63.34159733239873,71.51665796452986,58.333333333333336,69.33333333333333,67.0,74.0,7.225806451612903,-0.034072307309368055,7.047816970918825,-0.035356901240918226,5.0,-0.043138096009468,5.0,-0.09401216698193735,6.129032258064516,0.01329128035421201,5.843323579403028,0.019355758077776397,5.333333333333333,0.04705256097303456,5.0,0.17296212438259795,0.4536774193548388,0.49640000000000006,0.44706633400665224,0.5002283982420531,0.39833333333333343,0.5276666666666668,0.3580000000000001,0.5080000000000001,0.40090322580645166,0.4446,0.3964698147948441,0.44338755052714207,0.3700000000000001,0.428,0.4580000000000003,0.41300000000000003,68.46774193548387,72.3,68.55098929423583,72.56531962199301,63.666666666666664,73.5,65.0,78.0,-0.22580645161290322,2.16,-0.11821925551763725,1.9844759715731477,0.0,0.6666666666666666,0.0,6.0,1.4000000000000057,2.0973233149262995,8.333333333333343,8.0,0.019363762102351394,0.028902557390385216,0.11337868480725637,0.10256410256410256,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-12-03,@,East Carolina,L,56.0,69.0,21.0,53.0,0.396,8.0,27.0,0.296,6.0,11.0,0.545,6.0,26.0,11.0,11.0,2.0,16.0,17.0,,28.0,60.0,0.467,8.0,18.0,0.444,5.0,15.0,0.333,13.0,39.0,16.0,7.0,3.0,16.0,15.0,5.0,-13.0,0,7,62.5,0,1,0,-1,72.93548387096774,71.16666666666667,73.76038125607293,71.35315582712703,69.0,76.0,63.0,62.0,64.0,68.33333333333333,63.34159733239873,67.7174649049835,58.333333333333336,67.0,67.0,52.0,7.225806451612903,-0.03249391713901739,7.047816970918825,-0.03330089864523045,5.0,-0.024050677893362238,5.0,-0.023201781458727255,6.129032258064516,0.023061003749769993,5.843323579403028,0.02996389452877557,5.333333333333333,0.0894607125229771,5.0,0.09032179174226529,0.4536774193548388,0.4745000000000001,0.44706633400665224,0.47390428101929405,0.39833333333333343,0.48966666666666675,0.3580000000000001,0.3650000000000001,0.40090322580645166,0.4121666666666666,0.3964698147948441,0.4057419330704708,0.3700000000000001,0.385,0.4580000000000003,0.25000000000000006,68.46774193548387,69.75,68.55098929423583,69.53531036605527,63.666666666666664,71.5,65.0,57.0,-0.22580645161290322,3.1111111111111107,-0.11821925551763725,3.0290622130045954,0.0,0.7777777777777777,0.0,7.0,2.833333333333343,3.6356909221435245,9.0,10.0,0.040621266427718176,0.05228553526264755,0.1258741258741259,0.17543859649122806,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-12-06,,LIU,W,79.0,56.0,32.0,57.0,0.561,6.0,17.0,0.353,9.0,12.0,0.75,8.0,29.0,20.0,7.0,4.0,15.0,20.0,,17.0,51.0,0.333,1.0,13.0,0.077,21.0,29.0,0.724,14.0,31.0,2.0,7.0,4.0,18.0,17.0,3.0,23.0,1,8,67.5,1,0,0,1,72.93548387096774,69.0,73.76038125607293,68.7133366321609,69.0,66.66666666666667,63.0,56.0,64.0,68.42857142857143,63.34159733239873,67.93798378723572,58.333333333333336,65.0,67.0,69.0,7.225806451612903,-0.015387716141155694,7.047816970918825,-0.01251326246749801,5.0,-0.013524362103888576,5.0,0.11504706646753998,6.129032258064516,0.02468023079799031,5.843323579403028,0.030721399559969165,5.333333333333333,0.10186025328072684,5.0,0.034301724852633164,0.4536774193548388,0.46328571428571436,0.44706633400665224,0.46050943120988846,0.39833333333333343,0.42300000000000004,0.3580000000000001,0.39600000000000013,0.40090322580645166,0.42,0.3964698147948441,0.41627463545087456,0.3700000000000001,0.3766666666666667,0.4580000000000003,0.4670000000000001,68.46774193548387,68.71428571428571,68.55098929423583,68.32566020969831,63.666666666666664,65.83333333333333,65.0,62.5,-0.22580645161290322,4.081632653061225,-0.11821925551763725,4.108719232076271,0.0,8.0,0.0,8.0,0.5714285714285694,0.7753528449251803,1.6666666666666714,-13.0,0.008316008316008287,0.01134790125035813,0.025316455696202604,-0.208,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-12-10,@,Coastal Carolina,L,67.0,70.0,21.0,62.0,0.339,12.0,38.0,0.316,13.0,16.0,0.813,10.0,27.0,9.0,6.0,0.0,9.0,16.0,,27.0,61.0,0.443,8.0,23.0,0.348,8.0,10.0,0.8,12.0,40.0,15.0,5.0,0.0,15.0,14.0,4.0,-3.0,0,9,68.5,0,1,0,-1,72.93548387096774,70.25,73.76038125607293,70.30755311119826,69.0,65.66666666666667,63.0,79.0,64.0,66.875,63.34159733239873,66.08784737277949,58.333333333333336,59.0,67.0,56.0,7.225806451612903,-0.025268134345881432,7.047816970918825,-0.02525384746130005,5.0,-0.00895583418510687,5.0,-0.08567626083806579,6.129032258064516,-0.0051131471506175585,5.843323579403028,-0.007450684526877749,5.333333333333333,-0.042337921425922465,5.0,-0.25995293353246,0.4536774193548388,0.47550000000000003,0.44706633400665224,0.47608335591456047,0.39833333333333343,0.4406666666666667,0.3580000000000001,0.5610000000000002,0.40090322580645166,0.409125,0.3964698147948441,0.40336881833852734,0.3700000000000001,0.35000000000000003,0.4580000000000003,0.333,68.46774193548387,68.5625,68.55098929423583,68.19770024198888,63.666666666666664,62.333333333333336,65.0,67.5,-0.22580645161290322,2.25,-0.11821925551763725,1.8274194845961522,0.0,1.0,0.0,9.0,3.375,4.219705738418767,6.666666666666671,23.0,0.049225159525979945,0.06187460461930242,0.10695187165775408,0.34074074074074073,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
2016-12-13,@,LSU,L,66.0,70.0,27.0,58.0,0.466,7.0,22.0,0.318,5.0,11.0,0.455,8.0,30.0,13.0,5.0,6.0,19.0,17.0,,29.0,65.0,0.446,7.0,21.0,0.333,5.0,11.0,0.455,14.0,36.0,13.0,8.0,4.0,18.0,13.0,3.0,-4.0,0,10,68.0,0,1,0,-1,72.93548387096774,69.88888888888889,73.76038125607293,69.8383439232104,69.0,67.33333333333333,63.0,67.0,64.0,67.22222222222223,63.34159733239873,66.64282499393632,58.333333333333336,65.0,67.0,70.0,7.225806451612903,0.0012610115050144532,7.047816970918825,0.008639522184114679,5.0,0.07261425175749758,5.0,0.22378907073193233,6.129032258064516,-0.0011276678890125846,5.843323579403028,-0.0019697203534001506,5.333333333333333,-0.05198590056542701,5.0,0.029332780753254295,0.4536774193548388,0.4603333333333334,0.44706633400665224,0.4566367233276032,0.39833333333333343,0.432,0.3580000000000001,0.3390000000000001,0.40090322580645166,0.4128888888888889,0.3964698147948441,0.4089908942179504,0.3700000000000001,0.4143333333333334,0.4580000000000003,0.443,68.46774193548387,68.55555555555556,68.55098929423583,68.24058445857337,63.666666666666664,66.16666666666667,65.0,68.5,-0.22580645161290322,3.08641975308642,-0.11821925551763725,2.793585332177217,0.0,1.1111111111111112,0.0,10.0,2.666666666666657,3.195518929274087,2.3333333333333286,-3.0,0.03889789303079402,0.046827250303138626,0.035264483627203955,-0.043795620437956206,8.935483870967744,0.13050647820965844,10.418783923674205,0.15198590174905435,10.666666666666664,0.1675392670157068,-4.0,-0.06153846153846154,MEAC
