Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2016-11-11,@,Oregon State,L,58.0,78.0,21.0,64.0,0.328,5.0,21.0,0.238,11.0,17.0,0.647,5.0,27.0,8.0,7.0,1.0,15.0,31.0,,19.0,46.0,0.413,3.0,16.0,0.188,37.0,49.0,0.755,9.0,45.0,10.0,10.0,9.0,20.0,14.0,,-20.0,0,1,68.0,0,1,-1,67.90322580645162,,69.78955344681142,,71.0,,77.0,,73.96774193548387,,70.75034139050126,,68.33333333333333,,81.0,,7.225806451612903,,7.973746947693622,,10.0,,14.0,,6.516129032258065,,6.117809114892856,,5.0,,5.0,,0.42193548387096763,,0.43137154503745373,,0.4416666666666667,,0.4359999999999999,,0.46645161290322584,,0.4569575551183512,,0.44433333333333325,,0.5100000000000002,,70.93548387096774,,70.26994741865632,,69.66666666666667,,79.0,,-0.2903225806451613,,-0.05126046497556375,,1.0,,1.0,,,,,,,,,,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-11-14,@,Fresno State,W,84.0,78.0,25.0,54.0,0.463,8.0,20.0,0.4,26.0,31.0,0.839,5.0,28.0,15.0,8.0,5.0,11.0,23.0,,29.0,62.0,0.468,7.0,20.0,0.35,13.0,22.0,0.591,13.0,39.0,15.0,9.0,3.0,18.0,26.0,3.0,6.0,1,2,81.0,0,1,-1,67.90322580645162,58.0,69.78955344681142,58.0,71.0,,77.0,58.0,73.96774193548387,78.0,70.75034139050126,78.0,68.33333333333333,,81.0,78.0,7.225806451612903,-0.054903672448716134,7.973746947693622,-0.054903672448716134,10.0,,14.0,-0.054903672448716134,6.516129032258065,-0.19813974671927317,6.117809114892856,-0.19813974671927317,5.0,,5.0,-0.19813974671927317,0.42193548387096763,0.328,0.43137154503745373,0.328,0.4416666666666667,,0.4359999999999999,0.328,0.46645161290322584,0.413,0.4569575551183512,0.413,0.44433333333333325,,0.5100000000000002,0.413,70.93548387096774,68.0,70.26994741865632,68.0,69.66666666666667,,79.0,68.0,-0.2903225806451613,2.0,-0.05126046497556375,2.0,1.0,,1.0,2.0,-20.0,-20.0,,-20.0,-0.29411764705882354,-0.29411764705882354,,-0.29411764705882354,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-11-16,@,Saint Mary's,L,72.0,110.0,25.0,56.0,0.446,5.0,15.0,0.333,17.0,26.0,0.654,4.0,20.0,12.0,3.0,3.0,8.0,22.0,,39.0,68.0,0.574,14.0,32.0,0.438,18.0,21.0,0.857,14.0,46.0,26.0,3.0,3.0,5.0,24.0,2.0,-38.0,0,3,91.0,0,1,-1,67.90322580645162,71.0,69.78955344681142,71.41935483870968,71.0,,77.0,84.0,73.96774193548387,78.0,70.75034139050126,78.0,68.33333333333333,,81.0,78.0,7.225806451612903,-0.03887647477994488,7.973746947693622,-0.03845661142638174,10.0,,14.0,-0.027810076389602867,6.516129032258065,-0.12121666979619625,6.117809114892856,-0.11873528021803248,5.0,,5.0,-0.04429359287311935,0.42193548387096763,0.3955,0.43137154503745373,0.3976774193548387,0.4416666666666667,,0.4359999999999999,0.463,0.46645161290322584,0.4405,0.4569575551183512,0.4413870967741935,0.44433333333333325,,0.5100000000000002,0.468,70.93548387096774,74.5,70.26994741865632,74.70967741935483,69.66666666666667,,79.0,81.0,-0.2903225806451613,3.0,-0.05126046497556375,3.0,1.0,,1.0,3.0,-7.0,-6.58064516129032,,6.0,-0.09395973154362416,-0.08808290155440412,,0.07407407407407407,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-11-19,@,UTSA,L,59.0,69.0,17.0,54.0,0.315,5.0,19.0,0.263,20.0,25.0,0.8,3.0,27.0,8.0,6.0,5.0,15.0,20.0,,26.0,63.0,0.413,2.0,16.0,0.125,15.0,25.0,0.6,11.0,42.0,6.0,7.0,4.0,12.0,19.0,3.0,-10.0,0,4,64.0,0,1,-1,67.90322580645162,71.33333333333333,69.78955344681142,71.625520110957,71.0,71.33333333333333,77.0,72.0,73.96774193548387,88.66666666666667,70.75034139050126,89.36199722607489,68.33333333333333,88.66666666666667,81.0,110.0,7.225806451612903,-0.061187913505757696,7.973746947693622,-0.06227537871827221,10.0,-0.061187913505757696,14.0,-0.10519102877055522,6.516129032258065,-0.04284767037456527,6.117809114892856,-0.036991690987948744,5.0,-0.04284767037456527,5.0,0.06829381971429327,0.42193548387096763,0.4123333333333334,0.43137154503745373,0.41483495145631066,0.4416666666666667,0.4123333333333334,0.4359999999999999,0.446,0.46645161290322584,0.48500000000000004,0.4569575551183512,0.48847295423023573,0.44433333333333325,0.48500000000000004,0.5100000000000002,0.5740000000000001,70.93548387096774,80.0,70.26994741865632,80.49375866851595,69.66666666666667,80.0,79.0,91.0,-0.2903225806451613,4.0,-0.05126046497556375,4.0,1.0,4.0,1.0,4.0,-17.333333333333343,-17.736477115117893,-17.333333333333343,-38.0,-0.21666666666666679,-0.22034599214280792,-0.21666666666666679,-0.4175824175824176,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-11-25,,Lamar,L,83.0,91.0,33.0,63.0,0.524,9.0,20.0,0.45,8.0,13.0,0.615,7.0,32.0,20.0,4.0,8.0,19.0,25.0,,30.0,55.0,0.545,9.0,17.0,0.529,22.0,36.0,0.611,5.0,27.0,20.0,9.0,1.0,13.0,19.0,6.0,-8.0,0,5,87.0,1,0,1,67.90322580645162,68.25,69.78955344681142,68.15733351217222,71.0,71.66666666666667,77.0,59.0,73.96774193548387,83.75,70.75034139050126,83.76862718798202,68.33333333333333,85.66666666666667,81.0,69.0,7.225806451612903,-0.06077710935663583,7.973746947693622,-0.0615647913497564,10.0,-0.06236157140621418,14.0,-0.059287073968295356,6.516129032258065,-0.08068854120836619,6.117809114892856,-0.07988648316316926,5.0,-0.045041871831515035,5.0,-0.22656784036475813,0.42193548387096763,0.388,0.43137154503745373,0.3874106364428945,0.4416666666666667,0.408,0.4359999999999999,0.315,0.46645161290322584,0.467,0.4569575551183512,0.46774079538595664,0.44433333333333325,0.48500000000000004,0.5100000000000002,0.41300000000000014,70.93548387096774,76.0,70.26994741865632,75.96298035007712,69.66666666666667,78.66666666666667,79.0,64.0,-0.2903225806451613,5.0,-0.05126046497556375,5.0,1.0,5.0,1.0,5.0,-15.5,-15.611293675809804,-14.0,-10.0,-0.20394736842105263,-0.20551186385611522,-0.17796610169491525,-0.15625,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-11-27,@,Wisconsin,L,50.0,95.0,22.0,59.0,0.373,6.0,18.0,0.333,0.0,3.0,0.0,8.0,19.0,7.0,4.0,1.0,15.0,24.0,,33.0,59.0,0.559,9.0,27.0,0.333,20.0,27.0,0.741,14.0,40.0,15.0,4.0,4.0,11.0,14.0,2.0,-45.0,0,6,72.5,0,1,-1,67.90322580645162,71.2,69.78955344681142,71.52083844799984,71.0,71.33333333333333,77.0,83.0,73.96774193548387,85.2,70.75034139050126,85.40733261641557,68.33333333333333,90.0,81.0,91.0,7.225806451612903,-0.04386144075557391,7.973746947693622,-0.04227727898638334,10.0,-0.04716922191697265,14.0,0.011776842715388536,6.516129032258065,-0.06704548886445194,6.117809114892856,-0.06465936734237426,5.0,-0.035746584326110775,5.0,-0.01682106540059186,0.42193548387096763,0.4152,0.43137154503745373,0.4183632283429172,0.4416666666666667,0.4283333333333333,0.4359999999999999,0.524,0.46645161290322584,0.48260000000000003,0.4569575551183512,0.48524854685841334,0.44433333333333325,0.5106666666666667,0.5100000000000002,0.5450000000000002,70.93548387096774,78.2,70.26994741865632,78.4640855322077,69.66666666666667,80.66666666666667,79.0,87.0,-0.2903225806451613,2.16,-0.05126046497556375,1.7938028872108709,1.0,0.6666666666666666,1.0,6.0,-14.0,-13.886494168415737,-18.66666666666667,-8.0,-0.17902813299232737,-0.17697898438790383,-0.23140495867768598,-0.09195402298850575,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-12-03,@,Houston,L,61.0,105.0,17.0,46.0,0.37,6.0,17.0,0.353,21.0,31.0,0.677,3.0,23.0,8.0,11.0,2.0,18.0,28.0,,37.0,67.0,0.552,11.0,18.0,0.611,20.0,34.0,0.588,18.0,48.0,19.0,6.0,8.0,14.0,23.0,6.0,-44.0,0,7,83.0,0,1,-1,67.90322580645162,67.66666666666667,69.78955344681142,67.33150335713255,71.0,64.0,77.0,50.0,73.96774193548387,86.83333333333333,70.75034139050126,87.27468077676586,68.33333333333333,85.0,81.0,95.0,7.225806451612903,-0.0327361847639871,7.973746947693622,-0.029447468531086818,10.0,-0.0010243621038885653,14.0,0.04647563789611142,6.516129032258065,-0.06016543695993459,6.117809114892856,-0.05716981662981202,5.0,-0.07823024445682975,5.0,-0.029313835788099096,0.42193548387096763,0.4081666666666666,0.43137154503745373,0.409532635390361,0.4416666666666667,0.40399999999999997,0.4359999999999999,0.373,0.46645161290322584,0.4953333333333334,0.4569575551183512,0.49960530862655067,0.44433333333333325,0.5056666666666668,0.5100000000000002,0.559,70.93548387096774,77.25,70.26994741865632,77.3030920669492,69.66666666666667,74.5,79.0,72.5,-0.2903225806451613,3.1111111111111107,-0.05126046497556375,2.822617440053333,1.0,0.7777777777777777,1.0,7.0,-19.166666666666657,-19.943177419633315,-21.0,-45.0,-0.24811218985976255,-0.2579868008689912,-0.28187919463087246,-0.6206896551724138,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-12-06,@,Kansas State,L,55.0,74.0,22.0,56.0,0.393,5.0,18.0,0.278,6.0,9.0,0.667,8.0,25.0,13.0,8.0,1.0,10.0,16.0,,25.0,46.0,0.543,11.0,20.0,0.55,13.0,23.0,0.565,8.0,32.0,20.0,6.0,5.0,12.0,10.0,3.0,-19.0,0,8,64.5,0,1,-1,67.90322580645162,66.71428571428571,69.78955344681142,66.24286566704805,71.0,64.66666666666667,77.0,61.0,73.96774193548387,89.42857142857143,70.75034139050126,90.32236937246947,68.33333333333333,97.0,81.0,105.0,7.225806451612903,-0.03086911585121188,7.973746947693622,-0.02770501902835748,10.0,0.011217905937348505,14.0,-0.018442394890773817,6.516129032258065,-0.0499460873435052,6.117809114892856,-0.04559050364596923,5.0,-0.014555289938940119,5.0,0.0007613521818257141,0.42193548387096763,0.4027142857142857,0.43137154503745373,0.40273540028728966,0.4416666666666667,0.4223333333333333,0.4359999999999999,0.37,0.46645161290322584,0.5034285714285714,0.4569575551183512,0.5086140436097245,0.44433333333333325,0.5520000000000002,0.5100000000000002,0.5520000000000002,70.93548387096774,78.07142857142857,70.26994741865632,78.28261751975876,69.66666666666667,80.83333333333333,79.0,83.0,-0.2903225806451613,4.081632653061225,-0.05126046497556375,3.894974419870834,1.0,0.8888888888888888,1.0,8.0,-22.714285714285722,-24.079503705421416,-32.33333333333333,-44.0,-0.2909423604757549,-0.30759706903443385,-0.39999999999999997,-0.5301204819277109,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-12-10,@,Texas State,L,57.0,64.0,22.0,57.0,0.386,6.0,19.0,0.316,7.0,7.0,1.0,9.0,28.0,9.0,9.0,3.0,10.0,20.0,,19.0,46.0,0.413,7.0,19.0,0.368,19.0,25.0,0.76,8.0,30.0,13.0,5.0,7.0,13.0,10.0,4.0,-7.0,0,9,60.5,0,1,-1,67.90322580645162,65.25,69.78955344681142,64.50045794191058,71.0,55.333333333333336,77.0,55.0,73.96774193548387,87.5,70.75034139050126,87.7927454020885,68.33333333333333,91.33333333333333,81.0,74.0,7.225806451612903,-0.031915166701589726,7.973746947693622,-0.029435157996749728,10.0,-0.006295446441237973,14.0,-0.04079708937661586,6.516129032258065,-0.030667219246745703,6.117809114892856,-0.022336627831217815,5.0,0.025891696290272048,5.0,0.13242158384205738,0.42193548387096763,0.40149999999999997,0.43137154503745373,0.40122661799190074,0.4416666666666667,0.37866666666666665,0.4359999999999999,0.393,0.46645161290322584,0.508375,0.4569575551183512,0.5139431436652611,0.44433333333333325,0.5513333333333335,0.5100000000000002,0.5430000000000001,70.93548387096774,76.375,70.26994741865632,76.14660167199955,69.66666666666667,73.33333333333333,79.0,64.5,-0.2903225806451613,5.0625,-0.05126046497556375,4.98989634619669,1.0,9.0,1.0,9.0,-22.25,-23.292287460177917,-35.99999999999999,-19.0,-0.29132569558101473,-0.3058874191196231,-0.49090909090909085,-0.29457364341085274,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
2016-12-13,@,Louisiana Tech,L,52.0,65.0,21.0,53.0,0.396,6.0,17.0,0.353,4.0,8.0,0.5,8.0,23.0,15.0,13.0,1.0,17.0,13.0,,22.0,40.0,0.55,9.0,22.0,0.409,12.0,14.0,0.857,5.0,29.0,19.0,7.0,6.0,23.0,8.0,3.0,-13.0,0,10,58.5,0,1,-1,67.90322580645162,64.33333333333333,69.78955344681142,63.43644365033481,71.0,57.666666666666664,77.0,57.0,73.96774193548387,84.88888888888889,70.75034139050126,84.41750867124999,68.33333333333333,81.0,81.0,64.0,7.225806451612903,-0.028550268839639847,7.973746947693622,-0.02539443885881343,10.0,-0.01872667424261687,14.0,0.0022651115803219435,6.516129032258065,-0.02687514744420272,6.117809114892856,-0.01836405500257815,5.0,0.044500329254136106,5.0,0.014600637896111435,0.42193548387096763,0.3997777777777778,0.43137154503745373,0.39906657132792067,0.4416666666666667,0.38299999999999995,0.4359999999999999,0.386,0.46645161290322584,0.4977777777777778,0.4569575551183512,0.49962335834971733,0.44433333333333325,0.5026666666666667,0.5100000000000002,0.41300000000000014,70.93548387096774,74.61111111111111,70.26994741865632,73.9269761607924,69.66666666666667,69.33333333333333,79.0,60.5,-0.2903225806451613,6.049382716049383,-0.05126046497556375,6.097004737621142,1.0,10.0,1.0,10.0,-20.555555555555557,-20.98106502091518,-23.333333333333336,-7.0,-0.27550260610573346,-0.2838079698442016,-0.3365384615384616,-0.11570247933884298,-6.064516129032256,-0.08549340609367892,-0.9607879436898372,-0.013672814325100134,2.6666666666666714,0.038277511961722556,-4.0,-0.05063291139240506,SWAC
