Date,Loc,Opp_name,Win,Score,Opp_score,6,7,8,Threes,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Opp_Threes,27,28,29,30,31,32,33,34,35,36,37,38,result,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Mean_Score,Avg_Threes,Opp_Avg_Threes,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Date2,Loc2,Opp_name.1,Win2,Score2,Opp_score.1,6.1,7.1,8.1,Threes2,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19.1,20.1,21.1,22.1,23.1,24.1,25.1,Opp_Threes2,27.1,28.1,29.1,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,result2,Game_Number2,Mean_Score2,Avg_Score2,Opp_Avg_Score2,Avg_Mean_Score2,Avg_Threes2,Opp_Avg_Threes2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Avg_Result_Fin2,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,Avg_Result_NC,Avg_Result_NC2,Opp_Prev_SOS
2017-11-10,@,High Point,L,66.0,100.0,20.0,53.0,0.377,5.0,22.0,0.227,21.0,27.0,0.778,10.0,28.0,4.0,3.0,9.0,15.0,20.0,,37.0,61.0,0.607,8.0,15.0,0.5329999999999999,18.0,25.0,0.72,8.0,36.0,16.0,10.0,1.0,9.0,25.0,-34.0,1,83.0,,,,,,,,0,1,0,-0.03448275862068328,2017-11-10,,William & Mary,W,100.0,66.0,37.0,61.0,0.607,8.0,15.0,0.5329999999999999,18.0,25.0,0.72,8.0,36.0,16.0,10.0,1.0,9.0,25.0,,20.0,53.0,0.377,5.0,22.0,0.227,21.0,27.0,0.778,10.0,28.0,4.0,3.0,9.0,15.0,20.0,34.0,1,83.0,,,,,,,,1,0,0,-0.3703703703703667,,,,,,0.1904535131627736,,0.036394357148201904,,,,,,
2017-11-15,,Hampton,W,83.0,76.0,24.0,48.0,0.5,7.0,20.0,0.35,28.0,34.0,0.8240000000000001,4.0,34.0,11.0,7.0,6.0,11.0,17.0,,27.0,66.0,0.409,8.0,22.0,0.364,14.0,23.0,0.609,11.0,32.0,8.0,5.0,2.0,10.0,24.0,7.0,2,79.5,66.0,100.0,83.0,-0.0862516348311613,-0.07352436210388857,-34.0,-0.40963855421686746,1,0,0,-0.03448275862068328,2017-11-15,@,William & Mary,L,76.0,83.0,27.0,66.0,0.409,8.0,22.0,0.364,14.0,23.0,0.609,11.0,32.0,8.0,5.0,2.0,10.0,24.0,,24.0,48.0,0.5,7.0,20.0,0.35,28.0,34.0,0.8240000000000001,4.0,34.0,11.0,7.0,6.0,11.0,17.0,-7.0,2,79.5,75.0,90.0,82.5,0.0064756378961114405,0.1531423045627781,-15.0,-0.18181818181818185,0,1,0,0.12903225806452667,1.5,1.5,-5.5,-5.5,-0.5,0.1904535131627736,-0.3703703703703667,0.036394357148201904,0.25,-0.11492943108860855,-0.02182010874233584,13.0,-15.0,12.0
2017-11-18,@,UCF,L,64.0,75.0,25.0,71.0,0.35200000000000004,9.0,28.0,0.321,5.0,7.0,0.7140000000000001,11.0,33.0,17.0,6.0,3.0,7.0,20.0,,26.0,56.0,0.464,5.0,17.0,0.294,18.0,22.0,0.818,7.0,41.0,13.0,3.0,4.0,11.0,11.0,-11.0,3,69.5,74.5,88.0,81.25,-0.071913623848855,-0.040797089376615865,-13.5,-0.16615384615384615,0,1,0,-0.03448275862068328,2017-11-18,,William & Mary,W,75.0,64.0,26.0,56.0,0.464,5.0,17.0,0.294,18.0,22.0,0.818,7.0,41.0,13.0,3.0,4.0,11.0,11.0,,25.0,71.0,0.35200000000000004,9.0,28.0,0.321,5.0,7.0,0.7140000000000001,11.0,33.0,17.0,6.0,3.0,7.0,20.0,11.0,3,69.5,78.0,72.0,75.0,-0.17890897748850396,0.08230897122944475,6.0,0.08,1,0,0,1.0,-4.75,-4.75,-7.166666666666668,-7.166666666666668,3.583333333333334,0.1904535131627736,-0.12066905615292,0.036394357148201904,3.125,-0.07693592396520962,0.08543398354798545,-6.5,6.0,9.388888888888888
2017-11-25,,Old Dominion,W,79.0,77.0,28.0,48.0,0.583,15.0,25.0,0.6,8.0,10.0,0.8,3.0,20.0,18.0,8.0,2.0,14.0,13.0,,33.0,54.0,0.611,7.0,20.0,0.35,4.0,14.0,0.28600000000000003,9.0,25.0,22.0,7.0,2.0,13.0,13.0,2.0,4,78.0,71.0,83.66666666666667,77.33333333333333,-0.017749714216564627,-0.06252834616763359,-12.666666666666671,-0.16379310344827594,1,0,0,-0.03448275862068328,2017-11-25,@,William & Mary,L,77.0,79.0,33.0,54.0,0.611,7.0,20.0,0.35,4.0,14.0,0.28600000000000003,9.0,25.0,22.0,7.0,2.0,13.0,13.0,,28.0,48.0,0.583,15.0,25.0,0.6,8.0,10.0,0.8,3.0,20.0,18.0,8.0,2.0,14.0,13.0,-2.0,6,78.0,65.6,58.8,62.2,-0.0848658255185227,0.0742307399369278,6.799999999999998,0.10932475884244368,0,1,0,10.53125,-4.455555555555555,-4.455555555555555,2.033333333333333,2.033333333333333,-1.6366666666666665,0.1904535131627736,0.2528872958980533,0.036394357148201904,7.566666666666663,-0.03629840795358109,0.07284586272276676,-1.6666666666666714,6.799999999999998,3.8837777777777784
2017-11-29,,Marshall,W,114.0,104.0,42.0,70.0,0.6,18.0,28.0,0.643,12.0,14.0,0.857,8.0,33.0,25.0,7.0,5.0,13.0,17.0,,37.0,71.0,0.521,12.0,27.0,0.444,18.0,19.0,0.947,7.0,28.0,18.0,7.0,4.0,12.0,17.0,10.0,5,109.0,73.0,82.0,77.5,0.05633865159474155,-0.0574268011282788,-9.0,-0.11612903225806452,1,0,0,-0.03448275862068328,2017-11-29,@,William & Mary,L,104.0,114.0,37.0,71.0,0.521,12.0,27.0,0.444,18.0,19.0,0.947,7.0,28.0,18.0,7.0,4.0,12.0,17.0,,42.0,70.0,0.6,18.0,28.0,0.643,12.0,14.0,0.857,8.0,33.0,25.0,7.0,5.0,13.0,17.0,-10.0,6,109.0,86.8,85.2,86.0,0.03209775771177964,0.017461553389069184,1.5999999999999943,0.01860465116279063,0,1,0,3.771428571428572,-1.255952380952381,-1.255952380952381,-6.338095238095237,-6.338095238095237,-1.6425595238095234,0.1904535131627736,2.8224779719235404,0.036394357148201904,-4.25,0.031364954530331265,-0.04293333843038585,-7.75,1.5999999999999943,0.5101587301587296
2017-12-02,@,Savannah State,W,108.0,85.0,38.0,60.0,0.633,16.0,32.0,0.5,16.0,19.0,0.8420000000000001,4.0,48.0,28.0,6.0,11.0,22.0,17.0,,30.0,82.0,0.366,16.0,46.0,0.348,9.0,21.0,0.429,10.0,24.0,18.0,15.0,1.0,8.0,17.0,23.0,6,96.5,81.2,86.4,83.8,0.08549041622123454,-0.03574658432611083,-5.200000000000003,-0.06205250596658715,0,1,0,-0.03448275862068328,2017-12-02,,William & Mary,L,85.0,108.0,30.0,82.0,0.366,16.0,46.0,0.348,9.0,21.0,0.429,10.0,24.0,18.0,15.0,1.0,8.0,17.0,,38.0,60.0,0.633,16.0,32.0,0.5,16.0,19.0,0.8420000000000001,4.0,48.0,28.0,6.0,11.0,22.0,17.0,-23.0,8,96.5,75.28571428571429,99.42857142857143,87.35714285714286,0.11342060943311333,0.057165293068525184,-24.142857142857146,-0.27636958299264097,1,0,0,-10.299999999999997,-1.114285714285714,-1.114285714285714,9.69387755102041,9.69387755102041,-1.7336021505376344,0.1904535131627736,3.0122680918245464,0.036394357148201904,-1.778571428571432,0.06990768697244297,-0.06367416571435912,-3.200000000000003,-24.142857142857142,-4.737872529964365
2017-12-06,@,George Mason,W,77.0,70.0,27.0,56.0,0.482,8.0,20.0,0.4,15.0,17.0,0.882,4.0,29.0,16.0,3.0,2.0,9.0,11.0,,29.0,58.0,0.5,6.0,22.0,0.273,6.0,9.0,0.667,3.0,29.0,10.0,5.0,5.0,7.0,16.0,7.0,7,73.5,85.66666666666667,86.16666666666669,85.91666666666669,0.09503594918015812,0.011427281996691685,-0.5,-0.005819592628516003,0,1,0,-0.03448275862068328,2017-12-06,,William & Mary,L,70.0,77.0,29.0,58.0,0.5,6.0,22.0,0.273,6.0,9.0,0.667,3.0,29.0,10.0,5.0,5.0,7.0,16.0,,27.0,56.0,0.482,8.0,20.0,0.4,15.0,17.0,0.882,4.0,29.0,16.0,3.0,2.0,9.0,11.0,-7.0,9,73.5,68.875,71.75,70.3125,0.040377634266347384,0.04710281559645985,-2.875,-0.040888888888888884,1,0,0,-3.8181818181818272,-4.909722222222221,-4.909722222222221,2.159672619047619,2.159672619047619,1.0174422799422798,0.1904535131627736,0.7935567431871225,0.036394357148201904,7.802083333333336,0.06690635836202355,0.021480377397076447,-2.8333333333333286,-2.875,-1.41664097930839
2017-12-09,@,Ohio State,L,62.0,97.0,27.0,52.0,0.519,5.0,16.0,0.313,3.0,6.0,0.5,4.0,18.0,13.0,3.0,1.0,18.0,20.0,,35.0,54.0,0.648,11.0,21.0,0.524,16.0,23.0,0.696,9.0,29.0,19.0,7.0,3.0,11.0,12.0,-35.0,8,79.5,84.42857142857143,83.85714285714286,84.14285714285714,0.0824147241905277,0.0033410552726020892,0.5714285714285694,0.006791171477079773,0,1,0,-0.03448275862068328,2017-12-09,,William & Mary,W,97.0,62.0,35.0,54.0,0.648,11.0,21.0,0.524,16.0,23.0,0.696,9.0,29.0,19.0,7.0,3.0,11.0,12.0,,27.0,52.0,0.519,5.0,16.0,0.313,3.0,6.0,0.5,4.0,18.0,13.0,3.0,1.0,18.0,20.0,35.0,11,79.5,76.2,67.8,72.0,-0.05368184241884921,0.0670066113474389,8.400000000000006,0.11666666666666675,1,0,0,8.647058823529406,-4.396825396825396,-4.396825396825396,2.752142857142857,2.752142857142857,1.1951955782312924,0.1904535131627736,0.13473694870584402,0.036394357148201904,6.0714285714285685,0.07431239057614189,-0.013392311326148695,-3.142857142857153,8.333333333333329,1.6609682825992358
2017-12-22,@,TCU,L,75.0,86.0,28.0,66.0,0.424,15.0,38.0,0.395,4.0,6.0,0.667,5.0,22.0,20.0,4.0,2.0,7.0,17.0,,34.0,55.0,0.618,4.0,15.0,0.267,14.0,22.0,0.636,6.0,38.0,20.0,3.0,3.0,10.0,7.0,-11.0,9,80.5,81.625,85.5,83.5625,0.06779263636471787,0.00665107649260266,-3.875,-0.046372475691847416,0,1,0,-0.03448275862068328,2017-12-22,,William & Mary,W,86.0,75.0,34.0,55.0,0.618,4.0,15.0,0.267,14.0,22.0,0.636,6.0,38.0,20.0,3.0,3.0,10.0,7.0,,28.0,66.0,0.424,15.0,38.0,0.395,4.0,6.0,0.667,5.0,22.0,20.0,4.0,2.0,7.0,17.0,11.0,12,80.5,87.63636363636364,72.36363636363636,80.0,-0.005433075796834663,0.006827396690081311,15.27272727272728,0.190909090909091,1,0,0,6.696969696969703,-0.9680215617715616,-0.9680215617715616,1.1806943056943058,1.1806943056943058,0.31563692237849555,0.1904535131627736,1.1987771830587892,0.036394357148201904,1.78125,0.021513884380287087,-0.006011306240315451,-1.375,16.111111111111118,0.4245289675359602
2017-12-30,,Hofstra,W,90.0,87.0,31.0,58.0,0.534,8.0,15.0,0.5329999999999999,20.0,25.0,0.8,9.0,34.0,21.0,6.0,10.0,13.0,17.0,,32.0,68.0,0.471,5.0,18.0,0.278,18.0,25.0,0.72,10.0,31.0,11.0,6.0,5.0,8.0,20.0,3.0,10,88.5,80.8888888888889,85.55555555555556,83.22222222222223,0.09032179174226528,-0.013524362103888576,-4.666666666666671,-0.056074766355140235,1,0,0,-0.03448275862068328,2017-12-30,@,William & Mary,L,87.0,90.0,32.0,68.0,0.471,5.0,18.0,0.278,18.0,25.0,0.72,10.0,31.0,11.0,6.0,5.0,8.0,20.0,,31.0,58.0,0.534,8.0,15.0,0.5329999999999999,20.0,25.0,0.8,9.0,34.0,21.0,6.0,10.0,13.0,17.0,-3.0,12,88.5,75.0909090909091,77.9090909090909,76.5,0.009720189954222802,0.005028730078141752,-2.818181818181813,-0.03683897801544853,0,1,0,1.0666666666666629,0.5974488474488473,0.5974488474488473,2.578217237308147,2.578217237308147,0.2284783632005853,0.1904535131627736,1.809687462382224,0.036394357148201904,3.3611111111111143,0.02131206022058836,-0.011465573193673716,-2.1111111111111143,-0.5555555555555571,0.4527446208923819
