Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,LSU,L,59.0,99.0,23.0,59.0,0.39,4.0,24.0,0.167,9.0,13.0,0.692,10.0,24.0,7.0,4.0,2.0,15.0,18.0,,36.0,59.0,0.61,11.0,19.0,0.579,16.0,24.0,0.667,9.0,33.0,18.0,12.0,6.0,7.0,16.0,,-40.0,0,1,79.0,0,1,-1,67.57142857142857,,70.26066232234373,,70.33333333333333,,71.0,,77.03571428571429,,75.29285178500024,,81.33333333333333,,87.0,,6.964285714285714,,6.654344537053951,,4.333333333333333,,4.0,,8.678571428571429,,7.748396003703479,,7.333333333333333,,8.0,,0.42282142857142857,,0.44159112937385275,,0.4790000000000001,,0.49099999999999994,,0.4447142857142858,,0.4330710507211311,,0.4176666666666666,,0.5080000000000005,,72.30357142857143,,72.77675705367199,,75.83333333333333,,79.0,,-0.2857142857142857,,-0.10502090379358628,,0.3333333333333333,,-1.0,,,,,,,,,,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-12,@,Creighton,L,72.0,109.0,22.0,66.0,0.333,7.0,24.0,0.292,21.0,28.0,0.75,12.0,28.0,12.0,8.0,2.0,16.0,26.0,,33.0,59.0,0.559,16.0,33.0,0.485,27.0,32.0,0.844,11.0,45.0,18.0,7.0,4.0,19.0,23.0,2.0,-37.0,0,2,90.5,0,1,-1,67.57142857142857,59.0,70.26066232234373,59.0,70.33333333333333,,71.0,59.0,77.03571428571429,99.0,75.29285178500024,99.0,81.33333333333333,,87.0,99.0,6.964285714285714,-0.11013453159541398,6.654344537053951,-0.11013453159541398,4.333333333333333,,4.0,-0.11013453159541398,8.678571428571429,0.01980897122944475,7.748396003703479,0.01980897122944475,7.333333333333333,,8.0,0.01980897122944475,0.42282142857142857,0.39,0.44159112937385275,0.39,0.4790000000000001,,0.49099999999999994,0.39,0.4447142857142858,0.61,0.4330710507211311,0.61,0.4176666666666666,,0.5080000000000005,0.61,72.30357142857143,79.0,72.77675705367199,79.0,75.83333333333333,,79.0,79.0,-0.2857142857142857,2.0,-0.10502090379358628,2.0,0.3333333333333333,,-1.0,2.0,-40.0,-40.0,,-40.0,-0.5063291139240507,-0.5063291139240507,,-0.5063291139240507,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-13,@,Northern Iowa,L,45.0,73.0,16.0,53.0,0.302,7.0,23.0,0.304,6.0,10.0,0.6,3.0,23.0,6.0,10.0,5.0,9.0,18.0,,26.0,58.0,0.448,15.0,27.0,0.556,6.0,9.0,0.667,10.0,47.0,15.0,5.0,2.0,13.0,15.0,1.0,-28.0,0,3,59.0,0,1,-1,67.57142857142857,65.5,70.26066232234373,65.73214285714286,70.33333333333333,,71.0,72.0,77.03571428571429,104.0,75.29285178500024,104.17857142857143,81.33333333333333,,87.0,109.0,6.964285714285714,-0.061615965157323704,6.654344537053951,-0.060060629422552025,4.333333333333333,,4.0,-0.02185769543722188,8.678571428571429,0.07589871481918836,7.748396003703479,0.07780234341548059,7.333333333333333,,8.0,0.12684261037317568,0.42282142857142857,0.36150000000000004,0.44159112937385275,0.3604821428571429,0.4790000000000001,,0.49099999999999994,0.3330000000000001,0.4447142857142858,0.5845,0.4330710507211311,0.5835892857142858,0.4176666666666666,,0.5080000000000005,0.559,72.30357142857143,84.75,72.77675705367199,84.95535714285715,75.83333333333333,,79.0,90.5,-0.2857142857142857,3.0,-0.10502090379358628,3.0,0.3333333333333333,,-1.0,3.0,-38.5,-38.44642857142857,,-37.0,-0.45427728613569324,-0.4525486074619022,,-0.4088397790055249,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-17,@,Baylor,L,61.0,78.0,25.0,60.0,0.417,9.0,27.0,0.333,2.0,4.0,0.5,3.0,22.0,16.0,4.0,2.0,12.0,19.0,,27.0,63.0,0.429,6.0,24.0,0.25,18.0,24.0,0.75,18.0,47.0,17.0,3.0,4.0,10.0,11.0,4.0,-17.0,0,4,69.5,0,1,-1,67.57142857142857,58.666666666666664,70.26066232234373,58.32214194645133,70.33333333333333,58.666666666666664,71.0,45.0,77.03571428571429,93.66666666666667,75.29285178500024,93.03484912877177,81.33333333333333,93.66666666666667,87.0,73.0,6.964285714285714,-0.006706180285706742,6.654344537053951,-0.0012648307992365604,4.333333333333333,-0.006706180285706742,4.0,0.1531423045627781,8.678571428571429,0.13487421440856695,7.748396003703479,0.14093429917855044,7.333333333333333,0.13487421440856695,8.0,0.302913994060495,0.42282142857142857,0.34166666666666673,0.44159112937385275,0.3395796855078623,0.4790000000000001,0.34166666666666673,0.49099999999999994,0.302,0.4447142857142858,0.539,0.4330710507211311,0.5351274968125798,0.4176666666666666,0.539,0.5080000000000005,0.44800000000000006,72.30357142857143,76.16666666666667,72.77675705367199,75.67849553761157,75.83333333333333,76.16666666666667,79.0,59.0,-0.2857142857142857,4.0,-0.10502090379358628,4.0,0.3333333333333333,4.0,-1.0,4.0,-35.00000000000001,-34.712707182320436,-35.00000000000001,-28.0,-0.4595185995623633,-0.45868653883411986,-0.4595185995623633,-0.4745762711864407,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-19,@,Central Arkansas,L,76.0,102.0,25.0,59.0,0.424,5.0,15.0,0.333,21.0,31.0,0.677,9.0,33.0,12.0,8.0,2.0,14.0,27.0,,35.0,64.0,0.547,11.0,23.0,0.478,21.0,31.0,0.677,8.0,37.0,25.0,3.0,2.0,12.0,19.0,2.0,-26.0,0,5,89.0,0,1,-1,67.57142857142857,59.25,70.26066232234373,59.06497952684258,70.33333333333333,59.333333333333336,71.0,61.0,77.03571428571429,89.75,75.29285178500024,88.86418334849863,81.33333333333333,86.66666666666667,87.0,78.0,6.964285714285714,0.0282477897948456,6.654344537053951,0.03608269494394495,4.333333333333333,0.07411608733431369,4.0,0.12909858871578356,8.678571428571429,0.08758984402424513,7.748396003703479,0.0864690334672274,7.333333333333333,0.11339871481918834,8.0,-0.08275513133465778,0.42282142857142857,0.36050000000000004,0.44159112937385275,0.36105607370336673,0.4790000000000001,0.3506666666666667,0.49099999999999994,0.417,0.4447142857142858,0.5115,0.4330710507211311,0.5056877388535033,0.4176666666666666,0.47866666666666663,0.5080000000000005,0.429,72.30357142857143,74.5,72.77675705367199,73.9645814376706,75.83333333333333,73.0,79.0,69.5,-0.2857142857142857,5.0,-0.10502090379358628,5.0,0.3333333333333333,5.0,-1.0,5.0,-30.5,-29.79920382165605,-27.333333333333336,-17.0,-0.40939597315436244,-0.40288477596223016,-0.37442922374429227,-0.2446043165467626,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-22,,Yale,L,73.0,87.0,24.0,58.0,0.414,6.0,21.0,0.286,19.0,26.0,0.731,16.0,33.0,11.0,9.0,5.0,18.0,24.0,,26.0,54.0,0.481,9.0,27.0,0.333,26.0,33.0,0.788,12.0,32.0,18.0,9.0,1.0,16.0,20.0,3.0,-14.0,0,6,80.0,1,0,1,67.57142857142857,62.6,70.26066232234373,62.952466650936465,70.33333333333333,60.666666666666664,71.0,76.0,77.03571428571429,92.2,75.29285178500024,91.87955130616422,81.33333333333333,84.33333333333333,87.0,102.0,6.964285714285714,-0.006815096928169673,6.654344537053951,-0.006107250364894068,4.333333333333333,0.03262948404995758,4.0,-0.11615594105125698,8.678571428571429,0.07042357715858438,7.748396003703479,0.06698308880390186,7.333333333333333,0.065922278212317,8.0,0.010005049660817333,0.42282142857142857,0.37320000000000003,0.44159112937385275,0.3755050496231729,0.4790000000000001,0.381,0.49099999999999994,0.424,0.4447142857142858,0.5186,0.4330710507211311,0.5151710981165621,0.4176666666666666,0.4746666666666666,0.5080000000000005,0.5469999999999999,72.30357142857143,77.4,72.77675705367199,77.41600897855034,75.83333333333333,72.5,79.0,89.0,-0.2857142857142857,6.0,-0.10502090379358628,6.0,0.3333333333333333,6.0,-1.0,6.0,-29.6,-28.927084655227752,-23.666666666666664,-26.0,-0.38242894056847543,-0.3736576586277211,-0.32643678160919537,-0.29213483146067415,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-11-29,@,Tulane,L,65.0,81.0,25.0,64.0,0.391,11.0,33.0,0.333,4.0,6.0,0.667,7.0,31.0,15.0,8.0,3.0,14.0,17.0,,25.0,53.0,0.472,14.0,31.0,0.452,17.0,24.0,0.708,5.0,31.0,20.0,6.0,6.0,14.0,11.0,7.0,-16.0,0,7,73.0,0,1,-1,67.57142857142857,64.33333333333333,70.26066232234373,64.93977272210054,70.33333333333333,70.0,71.0,73.0,77.03571428571429,91.33333333333333,75.29285178500024,90.91442269216459,81.33333333333333,89.0,87.0,87.0,6.964285714285714,-0.01818757453912173,6.654344537053951,-0.019634803034807524,4.333333333333333,-0.027810076389602867,4.0,-0.06694901963813515,8.678571428571429,0.05873841161873922,7.748396003703479,0.05370310367079506,7.333333333333333,-0.021389530643214416,8.0,-0.003179534517681659,0.42282142857142857,0.38000000000000006,0.44159112937385275,0.3831189829076201,0.4790000000000001,0.4183333333333333,0.49099999999999994,0.414,0.4447142857142858,0.5123333333333333,0.4330710507211311,0.508412381485707,0.4176666666666666,0.48566666666666664,0.5080000000000005,0.481,72.30357142857143,77.83333333333333,72.77675705367199,77.92709770713256,75.83333333333333,79.5,79.0,80.0,-0.2857142857142857,3.1111111111111107,-0.10502090379358628,2.557257259271722,0.3333333333333333,0.7777777777777777,-1.0,7.0,-27.0,-25.97464997006405,-19.0,-14.0,-0.3468950749464668,-0.33331986862493695,-0.2389937106918239,-0.175,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-12-10,@,Iowa State,L,58.0,78.0,23.0,56.0,0.411,8.0,26.0,0.308,4.0,8.0,0.5,6.0,22.0,10.0,9.0,3.0,9.0,19.0,,26.0,64.0,0.406,11.0,28.0,0.393,15.0,17.0,0.882,21.0,46.0,15.0,2.0,5.0,12.0,12.0,11.0,-20.0,0,8,68.0,0,1,-1,67.57142857142857,64.42857142857143,70.26066232234373,64.95032562512351,70.33333333333333,71.33333333333333,71.0,65.0,77.03571428571429,89.85714285714286,75.29285178500024,89.17723740257053,81.33333333333333,90.0,87.0,81.0,6.964285714285714,0.012417988228705656,6.654344537053951,0.017855937636660546,4.333333333333333,-0.005113147150617503,4.0,0.1941679455884191,8.678571428571429,0.07757261722838482,7.748396003703479,0.07778124514333984,7.333333333333333,0.0642534156738892,8.0,0.20499415641462992,0.42282142857142857,0.3815714285714286,0.44159112937385275,0.3844998789400983,0.4790000000000001,0.4096666666666666,0.49099999999999994,0.39099999999999996,0.4447142857142858,0.5065714285714286,0.4330710507211311,0.5020322769208645,0.4176666666666666,0.49999999999999994,0.5080000000000005,0.472,72.30357142857143,77.14285714285714,72.77675705367199,77.06378151384702,75.83333333333333,80.66666666666667,79.0,73.0,-0.2857142857142857,4.081632653061225,-0.10502090379358628,3.6313185145865807,0.3333333333333333,0.8888888888888888,-1.0,8.0,-25.42857142857143,-24.226911777447015,-18.66666666666667,-16.0,-0.32962962962962966,-0.31437481137742845,-0.23140495867768598,-0.2191780821917808,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2017-12-22,@,Vanderbilt,L,51.0,92.0,17.0,51.0,0.333,6.0,19.0,0.316,11.0,13.0,0.846,4.0,23.0,7.0,1.0,0.0,13.0,12.0,,32.0,60.0,0.533,17.0,35.0,0.486,11.0,14.0,0.786,8.0,31.0,23.0,12.0,5.0,6.0,18.0,12.0,-41.0,0,9,71.5,0,1,-1,67.57142857142857,63.625,70.26066232234373,63.84947192381114,70.33333333333333,65.33333333333333,71.0,58.0,77.03571428571429,88.375,75.29285178500024,87.40688823783651,81.33333333333333,82.0,87.0,78.0,6.964285714285714,0.022428486619097687,6.654344537053951,0.029713347394810963,4.333333333333333,0.06912869912060127,4.0,0.10026874134438729,8.678571428571429,0.08110081469950609,7.748396003703479,0.08227188886360609,7.333333333333333,0.10110978423757483,8.0,0.10955256097303451,0.42282142857142857,0.38525000000000004,0.44159112937385275,0.3886972011847666,0.4790000000000001,0.4053333333333333,0.49099999999999994,0.4109999999999999,0.4447142857142858,0.494,0.4330710507211311,0.48682184028870895,0.4176666666666666,0.45299999999999985,0.5080000000000005,0.406,72.30357142857143,76.0,72.77675705367199,75.62818008082382,75.83333333333333,73.66666666666667,79.0,68.0,-0.2857142857142857,5.0625,-0.10502090379358628,4.735966559936724,0.3333333333333333,1.0,-1.0,9.0,-24.75,-23.557416314025375,-16.66666666666667,-20.0,-0.3256578947368421,-0.31148992728437425,-0.22624434389140277,-0.29411764705882354,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
2018-01-01,@,Prairie View,L,64.0,76.0,19.0,52.0,0.365,7.0,24.0,0.292,19.0,27.0,0.704,8.0,27.0,11.0,3.0,0.0,20.0,18.0,,29.0,56.0,0.518,6.0,17.0,0.353,12.0,17.0,0.706,9.0,37.0,20.0,10.0,2.0,14.0,21.0,10.0,-12.0,0,10,70.0,0,1,-1,67.57142857142857,62.22222222222222,70.26066232234373,61.9813161600767,70.33333333333333,58.0,71.0,51.0,77.03571428571429,88.77777777777777,75.29285178500024,88.07467040529365,81.33333333333333,83.66666666666667,87.0,92.0,6.964285714285714,0.023975637896111457,6.654344537053951,0.030874165353396432,4.333333333333333,0.1175101206547321,4.0,0.03941681436669969,8.678571428571429,0.09949190823403387,7.748396003703479,0.1063507069645811,7.333333333333333,0.1884676697686214,8.0,0.24082346398306798,0.42282142857142857,0.3794444444444445,0.44159112937385275,0.3805995106310885,0.4790000000000001,0.37833333333333335,0.49099999999999994,0.333,0.4447142857142858,0.49833333333333335,0.4330710507211311,0.49353557885592864,0.4176666666666666,0.4703333333333332,0.5080000000000005,0.533,72.30357142857143,75.5,72.77675705367199,75.02799328268517,75.83333333333333,70.83333333333333,79.0,71.5,-0.2857142857142857,6.049382716049383,-0.10502090379358628,5.85732055540332,0.3333333333333333,10.0,-1.0,10.0,-26.55555555555555,-26.093354245216943,-25.66666666666667,-41.0,-0.3517292126563649,-0.3477815826274901,-0.36235294117647066,-0.5734265734265734,-9.464285714285722,-0.13089651765868127,-5.032189462656504,-0.06914555781793526,-11.0,-0.14505494505494507,-16.0,-0.20253164556962025,SWAC
