Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-13,@,Fresno State,L,73.0,89.0,25.0,54.0,0.463,8.0,16.0,0.5,15.0,17.0,0.882,3.0,24.0,12.0,5.0,1.0,9.0,17.0,,35.0,56.0,0.625,10.0,17.0,0.588,9.0,18.0,0.5,4.0,29.0,14.0,7.0,7.0,7.0,16.0,,-16.0,0,1,81.0,0,1,0,-1,64.78571428571429,,66.32824984011012,,78.33333333333333,,76.0,,74.75,,76.29352480231826,,91.33333333333333,,102.0,,5.857142857142857,,6.260654629967255,,8.333333333333334,,9.0,,6.535714285714286,,6.6031761124406385,,9.333333333333334,,4.0,,0.4282142857142857,,0.4371328204868703,,0.4536666666666666,,0.438,,0.46985714285714286,,0.4766717774594964,,0.5363333333333334,,0.571,,69.76785714285714,,71.31088732121422,,84.83333333333333,,89.0,,-0.14285714285714285,,-0.04390373646805137,,0.3333333333333333,,1.0,,,,,,,,,,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-11-18,@,George Mason,L (1 OT),73.0,78.0,29.0,68.0,0.426,7.0,18.0,0.389,8.0,13.0,0.615,7.0,30.0,5.0,6.0,4.0,11.0,23.0,,25.0,61.0,0.41,9.0,27.0,0.333,19.0,20.0,0.95,10.0,41.0,14.0,5.0,11.0,14.0,17.0,5.0,-5.0,0,2,75.5,0,1,0,-1,64.78571428571429,73.0,66.32824984011012,73.0,78.33333333333333,,76.0,73.0,74.75,89.0,76.29352480231826,89.0,91.33333333333333,,102.0,89.0,5.857142857142857,0.01524276118378265,6.260654629967255,0.01524276118378265,8.333333333333334,,9.0,0.01524276118378265,6.535714285714286,0.023554289581504684,6.6031761124406385,0.023554289581504684,9.333333333333334,,4.0,0.023554289581504684,0.4282142857142857,0.463,0.4371328204868703,0.463,0.4536666666666666,,0.438,0.463,0.46985714285714286,0.625,0.4766717774594964,0.625,0.5363333333333334,,0.571,0.625,69.76785714285714,81.0,71.31088732121422,81.0,84.83333333333333,,89.0,81.0,-0.14285714285714285,2.0,-0.04390373646805137,2.0,0.3333333333333333,,1.0,2.0,-16.0,-16.0,,-16.0,-0.19753086419753085,-0.19753086419753085,,-0.19753086419753085,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-11-21,N,Southeast Missouri State,L,59.0,74.0,21.0,62.0,0.339,5.0,19.0,0.263,12.0,17.0,0.706,9.0,32.0,9.0,5.0,3.0,8.0,10.0,,28.0,61.0,0.459,10.0,24.0,0.417,8.0,11.0,0.727,6.0,34.0,17.0,7.0,4.0,10.0,16.0,3.0,-15.0,0,3,66.5,0,0,1,0,64.78571428571429,73.0,66.32824984011012,73.0,78.33333333333333,,76.0,73.0,74.75,83.5,76.29352480231826,83.30357142857143,91.33333333333333,,102.0,78.0,5.857142857142857,-0.005305184021696774,6.260654629967255,-0.006039039207606789,8.333333333333334,,9.0,-0.025853129227176253,6.535714285714286,0.02779300316557254,6.6031761124406385,0.02795473757456801,9.333333333333334,,4.0,0.03262948404995758,0.4282142857142857,0.4445,0.4371328204868703,0.44383928571428577,0.4536666666666666,,0.438,0.426,0.46985714285714286,0.5175,0.4766717774594964,0.5136607142857142,0.5363333333333334,,0.571,0.4099999999999999,69.76785714285714,78.25,71.31088732121422,78.15178571428571,84.83333333333333,,89.0,75.5,-0.14285714285714285,3.0,-0.04390373646805137,3.0,0.3333333333333333,,1.0,3.0,-10.5,-10.30357142857143,,-5.0,-0.134185303514377,-0.13184051182451734,,-0.06622516556291391,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-11-22,N,Binghamton,L,65.0,70.0,25.0,53.0,0.472,6.0,13.0,0.462,9.0,14.0,0.643,5.0,29.0,9.0,5.0,2.0,12.0,17.0,,24.0,55.0,0.436,8.0,25.0,0.32,14.0,25.0,0.56,8.0,32.0,12.0,7.0,3.0,9.0,14.0,1.0,-5.0,0,4,67.5,0,0,1,0,64.78571428571429,68.33333333333333,66.32824984011012,67.99617509562262,78.33333333333333,68.33333333333333,76.0,59.0,74.75,80.33333333333333,76.29352480231826,79.97832554186145,91.33333333333333,80.33333333333333,102.0,74.0,5.857142857142857,-0.020841435274620235,6.260654629967255,-0.022552769241611648,8.333333333333334,-0.020841435274620235,9.0,-0.059287073968295356,6.535714285714286,0.04747148851851807,6.6031761124406385,0.04909513212797412,9.333333333333334,0.04747148851851807,4.0,0.09188104330151686,0.4282142857142857,0.4093333333333333,0.4371328204868703,0.4063680407989801,0.4536666666666666,0.4093333333333333,0.438,0.339,0.46985714285714286,0.498,0.4766717774594964,0.4941240968975775,0.5363333333333334,0.498,0.571,0.459,69.76785714285714,74.33333333333333,71.31088732121422,73.98725031874203,84.83333333333333,74.33333333333333,89.0,66.5,-0.14285714285714285,1.7777777777777777,-0.04390373646805137,1.6516564561449074,0.3333333333333333,1.7777777777777777,1.0,0.0,-12.0,-11.982150446238833,-12.0,-15.0,-0.16143497757847536,-0.16194885462858705,-0.16143497757847536,-0.22556390977443608,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-11-28,@,California,L,63.0,83.0,25.0,67.0,0.373,5.0,17.0,0.294,8.0,11.0,0.727,10.0,31.0,12.0,3.0,2.0,11.0,20.0,,30.0,58.0,0.517,6.0,14.0,0.429,17.0,24.0,0.708,9.0,38.0,14.0,3.0,11.0,11.0,20.0,6.0,-20.0,0,5,73.0,0,1,0,-1,64.78571428571429,67.5,66.32824984011012,67.1650363967243,78.33333333333333,65.66666666666667,76.0,65.0,74.75,77.75,76.29352480231826,77.21033894449499,91.33333333333333,74.0,102.0,70.0,5.857142857142857,-0.024635473214999704,6.260654629967255,-0.026324206307676845,8.333333333333334,-0.03941268697698502,9.0,-0.03660128518081163,6.535714285714286,0.043388821175854186,6.6031761124406385,0.044125004831999826,9.333333333333334,0.05134050276097629,4.0,0.029332780753254295,0.4282142857142857,0.425,0.4371328204868703,0.42457434030937224,0.4536666666666666,0.4123333333333333,0.438,0.4719999999999999,0.46985714285714286,0.4825,0.4766717774594964,0.4780004777070063,0.5363333333333334,0.435,0.571,0.436,69.76785714285714,72.625,71.31088732121422,72.18768767060965,84.83333333333333,69.83333333333333,89.0,67.5,-0.14285714285714285,1.25,-0.04390373646805137,1.0780173637875774,0.3333333333333333,0.5555555555555556,1.0,0.0,-10.25,-10.045302547770689,-8.333333333333329,-5.0,-0.14113597246127366,-0.13915534451812775,-0.11933174224343669,-0.07407407407407407,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-12-03,@,Montana,L,68.0,86.0,25.0,52.0,0.481,4.0,12.0,0.333,14.0,23.0,0.609,6.0,22.0,11.0,4.0,3.0,15.0,20.0,,31.0,60.0,0.517,4.0,12.0,0.333,20.0,25.0,0.8,12.0,35.0,15.0,5.0,6.0,12.0,22.0,5.0,-18.0,0,6,77.0,0,1,0,-1,64.78571428571429,66.6,66.32824984011012,66.20893921400686,78.33333333333333,62.333333333333336,76.0,63.0,74.75,78.8,76.29352480231826,78.53937381881465,91.33333333333333,75.66666666666667,102.0,83.0,5.857142857142857,-0.03424508282460925,6.260654629967255,-0.037050066820842054,8.333333333333334,-0.05683987012527897,9.0,-0.07542912400865048,6.535714285714286,0.013886805408801772,6.6031761124406385,0.009972645702001515,9.333333333333334,0.0036562546361995074,4.0,-0.09665689222437049,0.4282142857142857,0.41459999999999997,0.4371328204868703,0.41273528855244573,0.4536666666666666,0.39466666666666667,0.438,0.373,0.46985714285714286,0.4894,0.4766717774594964,0.48695294050444626,0.5363333333333334,0.47066666666666673,0.571,0.5170000000000001,69.76785714285714,72.7,71.31088732121422,72.37415651641076,84.83333333333333,69.0,89.0,73.0,-0.14285714285714285,2.16,-0.04390373646805137,2.0694971735778025,0.3333333333333333,0.6666666666666666,1.0,6.0,-12.200000000000003,-12.330434604807792,-13.333333333333336,-20.0,-0.16781292984869328,-0.1703706847624798,-0.19323671497584544,-0.273972602739726,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-12-06,@,Idaho State,L,66.0,74.0,25.0,50.0,0.5,4.0,15.0,0.267,12.0,20.0,0.6,8.0,35.0,9.0,3.0,3.0,17.0,22.0,,24.0,58.0,0.414,9.0,26.0,0.346,17.0,21.0,0.81,8.0,26.0,11.0,9.0,3.0,8.0,18.0,3.0,-8.0,0,7,70.0,0,1,0,-1,64.78571428571429,66.83333333333333,66.32824984011012,66.56319392012931,78.33333333333333,65.33333333333333,76.0,68.0,74.75,80.0,76.29352480231826,80.01501437550284,91.33333333333333,79.66666666666667,102.0,86.0,5.857142857142857,-0.05167897557022272,6.260654629967255,-0.05725680257634158,8.333333333333334,-0.08393252536919468,9.0,-0.13705377386859444,6.535714285714286,-0.019774362103888554,6.6031761124406385,-0.029134910853323037,9.333333333333334,-0.08758293950974633,4.0,-0.17398947838295833,0.4282142857142857,0.42566666666666664,0.4371328204868703,0.42623739606410005,0.4536666666666666,0.442,0.438,0.481,0.46985714285714286,0.494,0.4766717774594964,0.4928959617099153,0.5363333333333334,0.49000000000000005,0.571,0.5170000000000002,69.76785714285714,73.41666666666667,71.31088732121422,73.28910414781609,84.83333333333333,72.5,89.0,77.0,-0.14285714285714285,3.1111111111111107,-0.04390373646805137,3.132221185005708,0.3333333333333333,3.1111111111111107,1.0,7.0,-13.166666666666671,-13.451820455373536,-14.333333333333343,-18.0,-0.17934165720771855,-0.18354461569406946,-0.1977011494252875,-0.23376623376623376,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-12-09,,Loyola Marymount,L,57.0,74.0,21.0,49.0,0.429,2.0,12.0,0.167,13.0,19.0,0.684,7.0,24.0,13.0,2.0,3.0,12.0,20.0,,29.0,54.0,0.537,6.0,15.0,0.4,10.0,16.0,0.625,8.0,30.0,14.0,8.0,2.0,7.0,14.0,3.0,-17.0,0,8,65.5,1,0,0,1,64.78571428571429,66.71428571428571,66.32824984011012,66.46451220929094,78.33333333333333,65.66666666666667,76.0,66.0,74.75,79.14285714285714,76.29352480231826,78.96107560223686,91.33333333333333,81.0,102.0,74.0,5.857142857142857,-0.06298903019810692,6.260654629967255,-0.07021050446691676,8.333333333333334,-0.11555481895668046,9.0,-0.13170618028570674,6.535714285714286,-0.010275264630964343,6.6031761124406385,-0.015920110873797966,9.333333333333334,-0.07895646086932068,4.0,0.05134050276097629,0.4282142857142857,0.4362857142857143,0.4371328204868703,0.439161931809471,0.4536666666666666,0.45133333333333336,0.438,0.5,0.46985714285714286,0.4825714285714286,0.4766717774594964,0.479071969295394,0.5363333333333334,0.48266666666666674,0.571,0.41400000000000026,69.76785714285714,72.92857142857143,71.31088732121422,72.71279390576392,84.83333333333333,73.33333333333333,89.0,70.0,-0.14285714285714285,4.081632653061225,-0.04390373646805137,4.227475938279355,0.3333333333333333,8.0,1.0,8.0,-12.42857142857143,-12.496563392945916,-15.333333333333329,-8.0,-0.1704211557296768,-0.171861961584663,-0.20909090909090905,-0.11428571428571428,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-12-17,@,Eastern Washington,L,58.0,86.0,21.0,58.0,0.362,3.0,12.0,0.25,13.0,25.0,0.52,8.0,31.0,8.0,4.0,3.0,9.0,14.0,,32.0,62.0,0.516,11.0,22.0,0.5,11.0,14.0,0.786,6.0,39.0,22.0,2.0,5.0,9.0,20.0,8.0,-28.0,0,9,72.0,0,1,0,-1,64.78571428571429,65.5,66.32824984011012,64.96543952425701,78.33333333333333,63.666666666666664,76.0,57.0,74.75,78.5,76.29352480231826,78.17529681520112,91.33333333333333,78.0,102.0,74.0,5.857142857142857,-0.07879153767640765,6.260654629967255,-0.08939522786494716,8.333333333333334,-0.15645629927666344,9.0,-0.20826120420915173,6.535714285714286,-0.01734601815484399,6.6031761124406385,-0.024070421049248836,9.333333333333334,-0.06993461851414498,4.0,-0.07028111886064531,0.4282142857142857,0.43537499999999996,0.4371328204868703,0.4375523956742857,0.4536666666666666,0.47000000000000003,0.438,0.42900000000000005,0.46985714285714286,0.489375,0.4766717774594964,0.48824712028118233,0.5363333333333334,0.48933333333333345,0.571,0.5370000000000004,69.76785714285714,72.0,71.31088732121422,71.57036816972908,84.83333333333333,70.83333333333333,89.0,65.5,-0.14285714285714285,2.25,-0.04390373646805137,1.8502080652642658,0.3333333333333333,1.0,1.0,9.0,-13.0,-13.209857290944115,-14.333333333333336,-17.0,-0.18055555555555555,-0.1845715989558269,-0.20235294117647062,-0.2595419847328244,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
2017-12-19,@,Sacramento State,L,61.0,66.0,25.0,59.0,0.424,7.0,18.0,0.389,4.0,5.0,0.8,8.0,35.0,17.0,2.0,5.0,11.0,16.0,,24.0,60.0,0.4,4.0,14.0,0.286,14.0,21.0,0.667,11.0,36.0,17.0,4.0,4.0,7.0,10.0,2.0,-5.0,0,10,63.5,0,1,0,-1,64.78571428571429,64.66666666666667,66.32824984011012,63.95274997006054,78.33333333333333,60.333333333333336,76.0,58.0,74.75,79.33333333333333,76.29352480231826,79.3129127764536,91.33333333333333,78.0,102.0,86.0,5.857142857142857,-0.08672023839254836,6.260654629967255,-0.09848751563145192,8.333333333333334,-0.1643530913856565,9.0,-0.1583519483107851,6.535714285714286,-0.006801673028258293,6.6031761124406385,-0.009209627797730713,9.333333333333334,0.01980897122944475,4.0,0.07019656812866959,0.4282142857142857,0.42722222222222217,0.4371328204868703,0.42656800314206733,0.4536666666666666,0.43033333333333346,0.438,0.36200000000000004,0.46985714285714286,0.49233333333333335,0.4766717774594964,0.49228204891594296,0.5363333333333334,0.48900000000000016,0.571,0.5160000000000003,69.76785714285714,72.0,71.31088732121422,71.63283137325708,84.83333333333333,69.16666666666667,89.0,72.0,-0.14285714285714285,3.08641975308642,-0.04390373646805137,2.8395645468949966,0.3333333333333333,1.1111111111111112,1.0,10.0,-14.666666666666657,-15.360162806393063,-17.666666666666664,-28.0,-0.20370370370370358,-0.2144290894541902,-0.2554216867469879,-0.3888888888888889,-9.964285714285708,-0.14282057844893772,-9.965274962208142,-0.13974408868761304,-13.0,-0.1532416502946955,-26.0,-0.29213483146067415,Big West
