Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Howard,W,84.0,75.0,31.0,58.0,0.534,5.0,17.0,0.294,17.0,26.0,0.654,10.0,38.0,19.0,4.0,10.0,15.0,19.0,,23.0,65.0,0.354,10.0,26.0,0.385,19.0,25.0,0.76,8.0,31.0,8.0,6.0,1.0,11.0,25.0,,9.0,1,1,79.5,1,0,0,1,67.42424242424242,,69.34252921123999,,73.0,,63.0,,70.27272727272727,,70.69363082230306,,76.66666666666667,,70.0,,5.454545454545454,,5.32358685210384,,4.666666666666667,,4.0,,6.9393939393939394,,7.16320194260236,,8.333333333333334,,7.0,,0.4472727272727274,,0.459941934082716,,0.48766666666666686,,0.44599999999999984,,0.4555757575757575,,0.45064825372207884,,0.49499999999999994,,0.47700000000000015,,68.84848484848484,,70.0180800167715,,74.83333333333333,,66.5,,0.21212121212121213,,0.10807464539950125,,-0.3333333333333333,,0.0,,,,,,,,,,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-14,@,Florida State,L,67.0,87.0,24.0,63.0,0.381,7.0,26.0,0.269,12.0,14.0,0.857,13.0,29.0,6.0,7.0,0.0,19.0,11.0,,38.0,68.0,0.559,8.0,21.0,0.381,3.0,4.0,0.75,13.0,35.0,19.0,8.0,8.0,16.0,16.0,4.0,-20.0,0,2,77.0,0,1,0,-1,67.42424242424242,84.0,69.34252921123999,84.0,73.0,,63.0,84.0,70.27272727272727,75.0,70.69363082230306,75.0,76.66666666666667,,70.0,75.0,5.454545454545454,-0.13495293353246,5.32358685210384,-0.13495293353246,4.666666666666667,,4.0,-0.13495293353246,6.9393939393939394,0.08647563789611146,7.16320194260236,0.08647563789611146,8.333333333333334,,7.0,0.08647563789611146,0.4472727272727274,0.534,0.459941934082716,0.534,0.48766666666666686,,0.44599999999999984,0.534,0.4555757575757575,0.354,0.45064825372207884,0.354,0.49499999999999994,,0.47700000000000015,0.354,68.84848484848484,79.5,70.0180800167715,79.5,74.83333333333333,,66.5,79.5,0.21212121212121213,2.0,0.10807464539950125,2.0,-0.3333333333333333,,0.0,2.0,9.0,9.0,,9.0,0.11320754716981132,0.11320754716981132,,0.11320754716981132,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-18,,Hampton,W,65.0,57.0,26.0,61.0,0.426,5.0,19.0,0.263,8.0,10.0,0.8,7.0,33.0,15.0,4.0,7.0,6.0,12.0,,23.0,59.0,0.39,2.0,12.0,0.167,9.0,10.0,0.9,6.0,31.0,6.0,3.0,1.0,7.0,11.0,4.0,8.0,1,3,61.0,1,0,0,1,67.42424242424242,75.5,69.34252921123999,75.24242424242425,73.0,,63.0,67.0,70.27272727272727,81.0,70.69363082230306,81.18181818181819,76.66666666666667,,70.0,87.0,5.454545454545454,-0.0751137660773985,5.32358685210384,-0.07308940439144393,4.666666666666667,,4.0,-9.152628299302634e-05,6.9393939393939394,0.01980897122944475,7.16320194260236,0.017942603181665795,8.333333333333334,,7.0,-0.03766229313837133,0.4472727272727274,0.4575,0.459941934082716,0.4551818181818182,0.48766666666666686,,0.44599999999999984,0.381,0.4555757575757575,0.4565,0.45064825372207884,0.45960606060606063,0.49499999999999994,,0.47700000000000015,0.559,68.84848484848484,78.25,70.0180800167715,78.2121212121212,74.83333333333333,,66.5,77.0,0.21212121212121213,0.0,0.10807464539950125,0.00275482093663912,-0.3333333333333333,,0.0,3.0,-5.5,-5.939393939393938,,-20.0,-0.07028753993610223,-0.07593955831073226,,-0.2597402597402597,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-20,,Rider,L,65.0,67.0,27.0,61.0,0.443,4.0,18.0,0.222,7.0,10.0,0.7,12.0,37.0,16.0,6.0,12.0,9.0,12.0,,27.0,69.0,0.391,6.0,21.0,0.286,7.0,13.0,0.538,16.0,36.0,14.0,6.0,1.0,7.0,14.0,2.0,-2.0,0,4,66.0,1,0,0,1,67.42424242424242,72.0,69.34252921123999,71.61933904528765,73.0,72.0,63.0,65.0,70.27272727272727,73.0,70.69363082230306,72.62790697674419,76.66666666666667,73.0,70.0,57.0,5.454545454545454,-0.07741325099277746,5.32358685210384,-0.07619248713593271,4.666666666666667,-0.07741325099277746,4.0,-0.08275513133465778,6.9393939393939394,-0.03955175936416255,7.16320194260236,-0.0448555719729416,8.333333333333334,-0.03955175936416255,7.0,-0.20826120420915173,0.4472727272727274,0.447,0.459941934082716,0.444859241126071,0.48766666666666686,0.447,0.44599999999999984,0.42599999999999993,0.4555757575757575,0.4343333333333333,0.45064825372207884,0.434984088127295,0.49499999999999994,0.4343333333333333,0.47700000000000015,0.39,68.84848484848484,72.5,70.0180800167715,72.12362301101591,74.83333333333333,72.5,66.5,61.0,0.21212121212121213,0.4444444444444444,0.10807464539950125,0.44662309041796944,-0.3333333333333333,0.4444444444444444,0.0,4.0,-1.0,-1.0085679314565397,-1.0,8.0,-0.013793103448275862,-0.01398387781077629,-0.013793103448275862,0.13114754098360656,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-23,N,Xavier,L,64.0,83.0,23.0,57.0,0.404,8.0,22.0,0.364,10.0,15.0,0.667,7.0,26.0,8.0,5.0,4.0,11.0,16.0,,33.0,57.0,0.579,5.0,13.0,0.385,12.0,15.0,0.8,7.0,35.0,13.0,7.0,1.0,13.0,13.0,3.0,-19.0,0,5,73.5,0,0,1,0,67.42424242424242,70.25,69.34252921123999,69.81112037809287,73.0,65.66666666666667,63.0,65.0,70.27272727272727,71.5,70.69363082230306,71.09051987767583,76.66666666666667,70.33333333333333,70.0,67.0,5.454545454545454,-0.08932507384766081,5.32358685210384,-0.0896007204893968,4.666666666666667,-0.0698695397688632,4.0,-0.12890897748850394,6.9393939393939394,-0.04079708937661586,7.16320194260236,-0.0448586803971599,8.333333333333334,-0.08603621044512078,7.0,-0.04486764568597812,0.4472727272727274,0.446,0.459941934082716,0.4443513483458438,0.48766666666666686,0.4166666666666667,0.44599999999999984,0.443,0.4555757575757575,0.4235,0.45064825372207884,0.42296886294134,0.49499999999999994,0.4466666666666666,0.47700000000000015,0.391,68.84848484848484,70.875,70.0180800167715,70.45082012788436,74.83333333333333,68.0,66.5,66.0,0.21212121212121213,1.25,0.10807464539950125,1.3314923187232677,-0.3333333333333333,0.5555555555555556,0.0,5.0,-1.25,-1.279399499582965,-4.666666666666657,-2.0,-0.01763668430335097,-0.01816017893419214,-0.06862745098039202,-0.030303030303030304,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-24,N,Kansas State,L,59.0,67.0,22.0,54.0,0.407,5.0,17.0,0.294,10.0,14.0,0.714,12.0,32.0,15.0,3.0,0.0,11.0,16.0,,23.0,49.0,0.469,5.0,17.0,0.294,16.0,18.0,0.889,7.0,22.0,8.0,5.0,5.0,5.0,13.0,1.0,-8.0,0,6,63.0,0,0,1,0,67.42424242424242,69.0,69.34252921123999,68.50388789084279,73.0,64.66666666666667,63.0,64.0,70.27272727272727,73.8,70.69363082230306,73.769600383537,76.66666666666667,69.0,70.0,83.0,5.454545454545454,-0.06135044906041032,5.32358685210384,-0.05784995341813198,4.666666666666667,-0.05063776416574428,4.0,0.061475637896111435,6.9393939393939394,-0.061491841778685274,7.16320194260236,-0.06711707626755806,8.333333333333334,-0.12511856500243929,7.0,-0.1328014705376235,0.4472727272727274,0.43760000000000004,0.459941934082716,0.43527416700558336,0.48766666666666686,0.4243333333333333,0.44599999999999984,0.40399999999999997,0.4555757575757575,0.45459999999999995,0.45064825372207884,0.4580686299595186,0.49499999999999994,0.4533333333333333,0.47700000000000015,0.579,68.84848484848484,71.4,70.0180800167715,71.1367441371899,74.83333333333333,66.83333333333333,66.5,73.5,0.21212121212121213,0.9600000000000002,0.10807464539950125,0.9597879890068851,-0.3333333333333333,2.6666666666666665,0.0,0.0,-4.799999999999997,-5.265712492694206,-4.333333333333329,-19.0,-0.06722689075630248,-0.07402239948653092,-0.06483790523690766,-0.2585034013605442,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-11-29,,Morgan State,W,73.0,66.0,25.0,54.0,0.463,7.0,18.0,0.389,16.0,22.0,0.727,9.0,29.0,15.0,8.0,8.0,13.0,14.0,,25.0,56.0,0.446,4.0,10.0,0.4,12.0,19.0,0.632,8.0,27.0,7.0,7.0,2.0,14.0,19.0,5.0,7.0,1,7,69.5,1,0,0,1,67.42424242424242,67.33333333333333,69.34252921123999,66.67052993246385,73.0,62.666666666666664,63.0,59.0,70.27272727272727,72.66666666666667,70.69363082230306,72.46370316749754,76.66666666666667,72.33333333333333,70.0,67.0,5.454545454545454,-0.06104911457913609,5.32358685210384,-0.058095287151395725,4.666666666666667,-0.042247766359207684,4.0,-0.059287073968295356,6.9393939393939394,-0.06581794008553996,7.16320194260236,-0.07113496218748899,8.333333333333334,-0.0923262054218609,7.0,-0.08964376508896318,0.4472727272727274,0.43250000000000005,0.459941934082716,0.4298199076864927,0.48766666666666686,0.418,0.44599999999999984,0.4069999999999999,0.4555757575757575,0.4569999999999999,0.45064825372207884,0.4601773579337839,0.49499999999999994,0.4796666666666665,0.47700000000000015,0.4690000000000001,68.84848484848484,70.0,70.0180800167715,69.56711654998068,74.83333333333333,67.5,66.5,63.0,0.21212121212121213,0.7777777777777777,0.10807464539950125,0.7294075075995867,-0.3333333333333333,0.7777777777777777,0.0,0.0,-5.333333333333343,-5.7931732350336915,-9.666666666666664,-8.0,-0.07619047619047632,-0.08327459182344536,-0.14320987654320985,-0.12698412698412698,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-12-03,,Temple,W,71.0,67.0,27.0,45.0,0.6,9.0,16.0,0.563,8.0,13.0,0.615,4.0,26.0,16.0,5.0,3.0,17.0,14.0,,26.0,54.0,0.481,8.0,22.0,0.364,7.0,10.0,0.7,3.0,19.0,11.0,11.0,1.0,9.0,15.0,4.0,4.0,1,8,69.0,1,0,0,1,67.42424242424242,68.14285714285714,69.34252921123999,67.74716528801459,73.0,65.33333333333333,63.0,73.0,70.27272727272727,71.71428571428571,70.69363082230306,71.36423492076293,76.66666666666667,72.0,70.0,66.0,5.454545454545454,-0.05566272688376278,5.32358685210384,-0.05218570029492403,4.666666666666667,-0.007401913124296722,4.0,-0.025853129227176253,6.9393939393939394,-0.07448053740269334,7.16320194260236,-0.08066360211465898,8.333333333333334,-0.11907991765944412,7.0,-0.13170618028570674,0.4472727272727274,0.4368571428571429,0.459941934082716,0.4354638020574262,0.48766666666666686,0.4246666666666667,0.44599999999999984,0.4629999999999999,0.4555757575757575,0.4554285714285714,0.45064825372207884,0.4577658061550501,0.49499999999999994,0.49799999999999983,0.47700000000000015,0.44600000000000006,68.84848484848484,69.92857142857143,70.0180800167715,69.55570010438875,74.83333333333333,68.66666666666667,66.5,69.5,0.21212121212121213,1.4693877551020407,0.10807464539950125,1.5346994517160601,-0.3333333333333333,0.8888888888888888,0.0,8.0,-3.5714285714285694,-3.61706963274834,-6.666666666666671,7.0,-0.05107252298263531,-0.052002490483452325,-0.09708737864077677,0.10071942446043165,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-12-06,,Princeton,W,71.0,60.0,25.0,55.0,0.455,5.0,18.0,0.278,16.0,22.0,0.727,17.0,35.0,11.0,5.0,5.0,10.0,11.0,,24.0,49.0,0.49,9.0,16.0,0.563,3.0,5.0,0.6,7.0,20.0,10.0,3.0,3.0,14.0,17.0,3.0,11.0,1,9,65.5,1,0,0,1,67.42424242424242,68.5,69.34252921123999,68.24506471579856,73.0,67.66666666666667,63.0,71.0,70.27272727272727,71.125,70.69363082230306,70.69621755678305,76.66666666666667,66.66666666666667,70.0,67.0,5.454545454545454,-0.03980173436666229,5.32358685210384,-0.033244577407478326,4.666666666666667,-0.0031795345176817147,4.0,0.0667573280369565,6.9393939393939394,-0.060448790926384166,7.16320194260236,-0.062480149842684685,8.333333333333334,-0.05852436210388856,7.0,0.04468459311999201,0.4472727272727274,0.45725000000000005,0.459941934082716,0.4606487518194006,0.48766666666666686,0.49000000000000005,0.44599999999999984,0.5999999999999999,0.4555757575757575,0.45862499999999995,0.45064825372207884,0.4613221786254366,0.49499999999999994,0.4653333333333332,0.47700000000000015,0.48100000000000004,68.84848484848484,69.8125,70.0180800167715,69.47064113629081,74.83333333333333,67.16666666666667,66.5,69.0,0.21212121212121213,2.25,0.10807464539950125,2.4713435851581704,-0.3333333333333333,4.0,0.0,9.0,-2.625,-2.4511528409844914,1.0,4.0,-0.03760071620411817,-0.035283290910986455,0.014888337468982629,0.057971014492753624,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
2017-12-09,@,Penn State,L,54.0,74.0,19.0,52.0,0.365,2.0,15.0,0.133,14.0,20.0,0.7,5.0,24.0,5.0,7.0,5.0,13.0,13.0,,29.0,60.0,0.483,7.0,16.0,0.438,9.0,16.0,0.563,13.0,39.0,14.0,7.0,4.0,15.0,21.0,3.0,-20.0,0,10,64.0,0,1,0,-1,67.42424242424242,68.77777777777777,69.34252921123999,68.63043421633087,73.0,71.66666666666667,63.0,71.0,70.27272727272727,69.88888888888889,70.69363082230306,69.19999510789997,76.66666666666667,64.33333333333333,70.0,60.0,5.454545454545454,-0.04696539602957517,5.32358685210384,-0.04323153673857233,4.666666666666667,-0.020501106289935123,4.0,-0.10225675647008575,6.9393939393939394,-0.04166426671438139,7.16320194260236,-0.03834957305157899,8.333333333333334,0.012900508362432728,7.0,0.13647563789611145,0.4472727272727274,0.4570000000000001,0.459941934082716,0.45985858564752835,0.48766666666666686,0.5060000000000001,0.44599999999999984,0.45499999999999996,0.4555757575757575,0.4621111111111111,0.45064825372207884,0.4653337275583087,0.49499999999999994,0.47233333333333327,0.47700000000000015,0.4900000000000001,68.84848484848484,69.33333333333333,70.0180800167715,68.91521466211542,74.83333333333333,68.0,66.5,65.5,0.21212121212121213,3.08641975308642,0.10807464539950125,3.488071953471416,-0.3333333333333333,10.0,0.0,10.0,-1.1111111111111143,-0.5695608915690968,7.333333333333343,11.0,-0.016025641025641073,-0.008264661067394166,0.1078431372549021,0.16793893129770993,-2.848484848484844,-0.041373239436619656,-1.351101611063072,-0.019296467580079905,-3.6666666666666714,-0.04899777282850786,-7.0,-0.10526315789473684,A-10
