Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Arkansas-Pine Bluff,W,82.0,70.0,25.0,51.0,0.49,4.0,20.0,0.2,28.0,42.0,0.667,9.0,36.0,20.0,7.0,2.0,15.0,17.0,,21.0,57.0,0.368,10.0,26.0,0.385,18.0,24.0,0.75,8.0,25.0,10.0,10.0,3.0,14.0,33.0,,12.0,1,1,76.0,1,0,0,1,69.10714285714286,,68.01654279971572,,64.66666666666667,,67.0,,68.92857142857143,,68.15995127851897,,66.0,,68.0,,6.607142857142857,,6.8778614370694235,,7.0,,6.0,,6.428571428571429,,6.206021759565885,,5.666666666666667,,5.0,,0.4391071428571429,,0.4331503630030642,,0.4196666666666669,,0.448,,0.4441071428571429,,0.4489666868193711,,0.45933333333333337,,0.44200000000000006,,69.01785714285714,,68.08824703911738,,65.33333333333333,,67.5,,0.32142857142857145,,0.11985746464133805,,-0.6666666666666666,,0.0,,,,,,,,,,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-11-12,,North Dakota,W,81.0,78.0,29.0,57.0,0.509,4.0,14.0,0.286,19.0,29.0,0.655,9.0,33.0,14.0,6.0,0.0,15.0,26.0,,28.0,57.0,0.491,4.0,13.0,0.308,18.0,29.0,0.621,5.0,24.0,6.0,6.0,3.0,13.0,27.0,2.0,3.0,1,2,79.5,1,0,0,1,69.10714285714286,82.0,68.01654279971572,82.0,64.66666666666667,,67.0,82.0,68.92857142857143,70.0,68.15995127851897,70.0,66.0,,68.0,70.0,6.607142857142857,-0.16718289868925443,6.8778614370694235,-0.16718289868925443,7.0,,6.0,-0.16718289868925443,6.428571428571429,0.11504706646753998,6.206021759565885,0.11504706646753998,5.666666666666667,,5.0,0.11504706646753998,0.4391071428571429,0.49,0.4331503630030642,0.49,0.4196666666666669,,0.448,0.49,0.4441071428571429,0.368,0.4489666868193711,0.368,0.45933333333333337,,0.44200000000000006,0.368,69.01785714285714,76.0,68.08824703911738,76.0,65.33333333333333,,67.5,76.0,0.32142857142857145,2.0,0.11985746464133805,2.0,-0.6666666666666666,,0.0,2.0,12.0,12.0,,12.0,0.15789473684210525,0.15789473684210525,,0.15789473684210525,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-11-13,,Troy,W (1 OT),72.0,67.0,25.0,61.0,0.41,6.0,22.0,0.273,16.0,25.0,0.64,12.0,43.0,19.0,6.0,4.0,14.0,16.0,,22.0,63.0,0.349,10.0,34.0,0.294,13.0,18.0,0.722,7.0,30.0,9.0,7.0,5.0,14.0,26.0,1.0,5.0,1,3,69.5,1,0,0,1,69.10714285714286,81.5,68.01654279971572,81.48214285714286,64.66666666666667,,67.0,81.0,68.92857142857143,74.0,68.15995127851897,74.14285714285714,66.0,,68.0,78.0,6.607142857142857,-0.16628509830020757,6.8778614370694235,-0.16625283021697207,7.0,,6.0,-0.16537621395574043,6.428571428571429,-0.029740578320104794,6.206021759565885,-0.03462262799984228,5.666666666666667,,5.0,-0.1596782082577347,0.4391071428571429,0.4995,0.4331503630030642,0.49983928571428576,0.4196666666666669,,0.448,0.509,0.4441071428571429,0.4295,0.4489666868193711,0.43169642857142854,0.45933333333333337,,0.44200000000000006,0.491,69.01785714285714,77.75,68.08824703911738,77.8125,65.33333333333333,,67.5,79.5,0.32142857142857145,3.0,0.11985746464133805,3.0,-0.6666666666666666,,0.0,3.0,7.5,7.339285714285722,,3.0,0.09646302250803858,0.09432013769363178,,0.03773584905660377,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-11-25,,Nevada,L,54.0,67.0,20.0,52.0,0.385,3.0,16.0,0.188,11.0,21.0,0.524,6.0,33.0,9.0,4.0,3.0,17.0,21.0,,22.0,50.0,0.44,5.0,17.0,0.294,18.0,29.0,0.621,6.0,33.0,8.0,7.0,5.0,11.0,23.0,12.0,-13.0,0,4,60.5,1,0,0,1,69.10714285714286,78.33333333333333,68.01654279971572,78.09307267318317,64.66666666666667,78.33333333333333,67.0,72.0,68.92857142857143,71.66666666666667,68.15995127851897,71.58988525286868,66.0,71.66666666666667,68.0,67.0,6.607142857142857,-0.1348009578485694,6.8778614370694235,-0.1324007886112109,7.0,-0.1348009578485694,6.0,-0.06352436210388857,6.428571428571429,0.021359358826343988,6.206021759565885,0.021861002186023604,5.666666666666667,0.021359358826343988,5.0,0.1342368319259622,0.4391071428571429,0.4696666666666667,0.4331503630030642,0.46772928176795586,0.4196666666666669,0.4696666666666667,0.448,0.41000000000000003,0.4441071428571429,0.4026666666666667,0.4489666868193711,0.40213939651508707,0.45933333333333337,0.4026666666666667,0.44200000000000006,0.349,69.01785714285714,75.0,68.08824703911738,74.84147896302592,65.33333333333333,75.0,67.5,69.5,0.32142857142857145,4.0,0.11985746464133805,4.0,-0.6666666666666666,4.0,0.0,4.0,6.666666666666657,6.5031874203144895,6.666666666666657,5.0,0.08888888888888877,0.0868928234773029,0.08888888888888877,0.07194244604316546,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-02,@,Utah,L,60.0,80.0,23.0,63.0,0.365,4.0,22.0,0.182,10.0,15.0,0.667,7.0,29.0,9.0,5.0,2.0,9.0,21.0,,25.0,56.0,0.446,8.0,23.0,0.348,22.0,27.0,0.815,8.0,41.0,17.0,6.0,4.0,13.0,18.0,7.0,-20.0,0,5,70.0,0,1,0,-1,69.10714285714286,72.25,68.01654279971572,71.40965650591447,64.66666666666667,69.0,67.0,54.0,68.92857142857143,70.5,68.15995127851897,70.31665150136487,66.0,70.66666666666667,68.0,67.0,6.607142857142857,-0.13705377386859444,6.8778614370694235,-0.13543341222337085,7.0,-0.12511856500243929,6.0,-0.1468576954372219,6.428571428571429,-0.005013723806016224,6.206021759565885,-0.007611456749195111,5.666666666666667,-0.04465643757558668,5.0,-0.08964376508896318,0.4391071428571429,0.4485,0.4331503630030642,0.44478018653321205,0.4196666666666669,0.4346666666666667,0.448,0.38500000000000006,0.4441071428571429,0.412,0.4489666868193711,0.41264192447679704,0.45933333333333337,0.4266666666666666,0.44200000000000006,0.43999999999999995,69.01785714285714,71.375,68.08824703911738,70.86315400363966,65.33333333333333,69.83333333333333,67.5,60.5,0.32142857142857145,5.0,0.11985746464133805,5.0,-0.6666666666666666,5.0,0.0,5.0,1.75,1.093005004549596,-1.6666666666666714,-13.0,0.024518388791593695,0.015424165349646407,-0.02386634844868742,-0.21487603305785125,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-06,,Prairie View,W,72.0,60.0,17.0,44.0,0.386,7.0,24.0,0.292,31.0,38.0,0.816,8.0,36.0,11.0,0.0,4.0,17.0,20.0,,21.0,60.0,0.35,8.0,21.0,0.381,10.0,23.0,0.435,10.0,26.0,5.0,12.0,4.0,7.0,28.0,4.0,12.0,1,6,66.0,1,0,0,1,69.10714285714286,69.8,68.01654279971572,68.79053402965998,64.66666666666667,62.0,67.0,60.0,68.92857142857143,72.4,68.15995127851897,72.53949455409249,66.0,71.33333333333333,68.0,80.0,6.607142857142857,-0.13300860279156762,6.8778614370694235,-0.13104679887457205,7.0,-0.10384694274904985,6.0,-0.11352436210388855,6.428571428571429,-0.006894527849744925,6.206021759565885,-0.00910838032002309,5.666666666666667,0.008905544438167545,5.0,-0.013524362103888576,0.4391071428571429,0.43179999999999996,0.4331503630030642,0.4264663942117171,0.4196666666666669,0.3866666666666667,0.448,0.365,0.4441071428571429,0.41879999999999995,0.4489666868193711,0.42029937545458285,0.45933333333333337,0.4116666666666666,0.44200000000000006,0.4459999999999999,69.01785714285714,71.1,68.08824703911738,70.66501429187623,65.33333333333333,66.66666666666667,67.5,70.0,0.32142857142857145,2.16,0.11985746464133805,1.755396099149947,-0.6666666666666666,0.6666666666666666,0.0,6.0,-2.6000000000000085,-3.748960524432505,-9.333333333333329,-20.0,-0.03656821378340378,-0.053052568686220325,-0.13999999999999993,-0.2857142857142857,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-17,,Utah Valley,W,70.0,69.0,23.0,53.0,0.434,5.0,18.0,0.278,19.0,29.0,0.655,6.0,25.0,15.0,5.0,1.0,15.0,26.0,,19.0,53.0,0.358,4.0,18.0,0.222,27.0,32.0,0.844,12.0,33.0,9.0,6.0,3.0,17.0,27.0,11.0,1.0,1,7,69.5,1,0,0,1,69.10714285714286,70.16666666666667,68.01654279971572,69.4253357254061,64.66666666666667,62.0,67.0,72.0,68.92857142857143,70.33333333333333,68.15995127851897,70.05930237249605,66.0,69.0,68.0,60.0,6.607142857142857,-0.11399942148631137,6.8778614370694235,-0.10864932128197097,7.0,-0.08771791049098535,6.0,-0.02185769543722188,6.428571428571429,0.006380851166253643,6.206021759565885,0.007082707507213626,5.666666666666667,-0.009176536016932024,5.0,0.08647563789611146,0.4391071428571429,0.42416666666666664,0.4331503630030642,0.41846252817801444,0.4196666666666669,0.37866666666666676,0.448,0.386,0.4441071428571429,0.4073333333333333,0.4489666868193711,0.4063948308478255,0.45933333333333337,0.412,0.44200000000000006,0.3499999999999998,69.01785714285714,70.25,68.08824703911738,69.74231904895107,65.33333333333333,65.5,67.5,66.0,0.32142857142857145,3.1111111111111107,0.11985746464133805,2.793319134773179,-0.6666666666666666,0.7777777777777777,0.0,7.0,-0.1666666666666572,-0.6339666470899488,-7.0,12.0,-0.0023724792408065082,-0.009090128572366187,-0.10687022900763359,0.18181818181818182,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-23,,Miami (FL),L,57.0,75.0,21.0,50.0,0.42,8.0,23.0,0.348,7.0,10.0,0.7,4.0,23.0,13.0,3.0,0.0,16.0,17.0,,30.0,57.0,0.526,5.0,13.0,0.385,10.0,13.0,0.769,7.0,29.0,11.0,6.0,5.0,9.0,15.0,6.0,-18.0,0,8,66.0,1,0,0,1,69.10714285714286,70.14285714285714,68.01654279971572,69.52602724878332,64.66666666666667,67.33333333333333,67.0,70.0,68.92857142857143,70.14285714285714,68.15995127851897,69.87369353213597,66.0,69.66666666666667,68.0,69.0,6.607142857142857,-0.11189503420164823,6.8778614370694235,-0.10698916091225541,7.0,-0.07590059972765092,6.0,-0.09923864781817429,6.428571428571429,-0.014135360067228653,6.206021759565885,-0.018299332874842866,5.666666666666667,-0.026443022390969906,5.0,-0.1396113186256277,0.4391071428571429,0.4255714285714286,0.4331503630030642,0.4211849728754719,0.4196666666666669,0.3950000000000001,0.448,0.43400000000000005,0.4441071428571429,0.4002857142857143,0.4489666868193711,0.3979151855016898,0.45933333333333337,0.38466666666666666,0.44200000000000006,0.35799999999999976,69.01785714285714,70.14285714285714,68.08824703911738,69.69986039045965,65.33333333333333,68.5,67.5,69.5,0.32142857142857145,4.081632653061225,0.11985746464133805,3.8779258612378262,-0.6666666666666666,0.8888888888888888,0.0,8.0,0.0,-0.3476662833526518,-2.333333333333343,1.0,0.0,-0.0049880484896959645,-0.03406326034063274,0.014388489208633094,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-24,,Davidson,W,79.0,71.0,27.0,58.0,0.466,7.0,25.0,0.28,18.0,25.0,0.72,11.0,36.0,16.0,5.0,4.0,11.0,21.0,,24.0,63.0,0.381,9.0,27.0,0.333,14.0,20.0,0.7,10.0,29.0,14.0,5.0,1.0,12.0,23.0,1.0,8.0,1,9,75.0,1,0,0,1,69.10714285714286,68.5,68.01654279971572,67.54204488546524,64.66666666666667,66.33333333333333,67.0,57.0,68.92857142857143,70.75,68.15995127851897,70.68564303689163,66.0,68.0,68.0,75.0,6.607142857142857,-0.08907180735936301,6.8778614370694235,-0.0783151998126686,7.0,-0.012016824415446326,6.0,0.10752826947505878,6.428571428571429,-0.02730528083180378,6.206021759565885,-0.034302488177925194,5.666666666666667,-0.06352436210388857,5.0,-0.11352436210388855,0.4391071428571429,0.424875,0.4331503630030642,0.4209972864495003,0.4196666666666669,0.4133333333333334,0.448,0.4200000000000001,0.4441071428571429,0.41600000000000004,0.4489666868193711,0.41820238494061784,0.45933333333333337,0.41133333333333333,0.44200000000000006,0.5259999999999998,69.01785714285714,69.625,68.08824703911738,69.11384396117845,65.33333333333333,67.16666666666667,67.5,66.0,0.32142857142857145,5.0625,0.11985746464133805,4.986465355609923,-0.6666666666666666,9.0,0.0,9.0,-2.25,-3.1435981514263887,-1.6666666666666714,-18.0,-0.03231597845601436,-0.04548434830498158,-0.024813895781637785,-0.2727272727272727,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
2017-12-25,,Princeton,L,63.0,77.0,26.0,56.0,0.464,2.0,11.0,0.182,9.0,20.0,0.45,7.0,28.0,8.0,4.0,3.0,11.0,18.0,,26.0,48.0,0.542,9.0,22.0,0.409,16.0,21.0,0.762,3.0,28.0,11.0,2.0,4.0,15.0,23.0,1.0,-14.0,0,10,70.0,1,0,0,1,69.10714285714286,69.66666666666667,68.01654279971572,69.20789115640521,64.66666666666667,68.66666666666667,67.0,79.0,68.92857142857143,70.77777777777777,68.15995127851897,70.73134668728156,66.0,71.66666666666667,68.0,71.0,6.607142857142857,-0.08385929033355366,6.8778614370694235,-0.07323461152727145,7.0,-0.022262226181558487,6.0,-0.04770157729376201,6.428571428571429,-0.01682106540059186,6.206021759565885,-0.01955382252943455,5.666666666666667,-0.06236157140621418,5.0,0.0667573280369565,0.4391071428571429,0.42944444444444446,0.4331503630030642,0.4275401295485434,0.4196666666666669,0.4400000000000001,0.448,0.46600000000000014,0.4441071428571429,0.41211111111111115,0.4489666868193711,0.4127936140383139,0.45933333333333337,0.4216666666666667,0.44200000000000006,0.3809999999999998,69.01785714285714,70.22222222222223,68.08824703911738,69.96961892184339,65.33333333333333,70.16666666666667,67.5,75.0,0.32142857142857145,6.049382716049383,0.11985746464133805,6.107662935733797,-0.6666666666666666,10.0,0.0,10.0,-1.1111111111111,-1.5234555308763476,-3.0,8.0,-0.015822784810126424,-0.021773100301976194,-0.04275534441805225,0.10666666666666667,0.1785714285714306,0.0025873221216041694,-0.14340847880325214,-0.002106214876127778,-1.3333333333333286,-0.02040816326530605,-1.0,-0.014814814814814815,Big West
