Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-14,@,Memphis,L,62.0,70.0,23.0,52.0,0.442,7.0,23.0,0.304,9.0,12.0,0.75,9.0,29.0,13.0,3.0,5.0,15.0,23.0,,23.0,55.0,0.418,8.0,18.0,0.444,16.0,23.0,0.696,9.0,25.0,9.0,7.0,0.0,11.0,14.0,,-8.0,0,1,66.0,0,1,0,-1,62.166666666666664,,62.80610646601652,,60.0,,64.0,,70.4,,70.79101022572434,,67.33333333333333,,93.0,,6.066666666666666,,6.02659022285667,,4.333333333333333,,4.0,,8.266666666666667,,8.522240792027173,,8.666666666666666,,12.0,,0.4224666666666667,,0.42561416420865805,,0.3876666666666666,,0.39299999999999985,,0.43516666666666676,,0.43744931624552646,,0.3916666666666666,,0.5560000000000005,,66.28333333333333,,66.7985583458704,,63.666666666666664,,78.5,,-0.1,,-0.12145423745043946,,-0.6666666666666666,,0.0,,,,,,,,,,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-11-18,@,Grand Canyon,L,51.0,76.0,15.0,55.0,0.273,3.0,18.0,0.167,18.0,26.0,0.692,10.0,28.0,4.0,8.0,2.0,16.0,25.0,,24.0,47.0,0.511,8.0,20.0,0.4,20.0,28.0,0.714,5.0,35.0,20.0,7.0,8.0,18.0,24.0,4.0,-25.0,0,2,63.5,0,1,0,-1,62.166666666666664,62.0,62.80610646601652,62.0,60.0,,64.0,62.0,70.4,70.0,70.79101022572434,70.0,67.33333333333333,,93.0,70.0,6.066666666666666,0.02518531531546625,6.02659022285667,0.02518531531546625,4.333333333333333,,4.0,0.02518531531546625,8.266666666666667,0.029332780753254295,8.522240792027173,0.029332780753254295,8.666666666666666,,12.0,0.029332780753254295,0.4224666666666667,0.442,0.42561416420865805,0.442,0.3876666666666666,,0.39299999999999985,0.442,0.43516666666666676,0.418,0.43744931624552646,0.418,0.3916666666666666,,0.5560000000000005,0.418,66.28333333333333,66.0,66.7985583458704,66.0,63.666666666666664,,78.5,66.0,-0.1,2.0,-0.12145423745043946,2.0,-0.6666666666666666,,0.0,2.0,-8.0,-8.0,,-8.0,-0.12121212121212122,-0.12121212121212122,,-0.12121212121212122,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-11-20,@,San Diego,L,52.0,66.0,19.0,51.0,0.373,3.0,17.0,0.176,11.0,19.0,0.579,11.0,35.0,9.0,8.0,1.0,15.0,19.0,,21.0,46.0,0.457,10.0,25.0,0.4,14.0,24.0,0.583,5.0,28.0,14.0,10.0,5.0,11.0,17.0,2.0,-14.0,0,3,59.0,0,1,0,-1,62.166666666666664,56.5,62.80610646601652,56.31666666666666,60.0,,64.0,51.0,70.4,73.0,70.79101022572434,73.10000000000001,67.33333333333333,,93.0,76.0,6.066666666666666,-0.04803763644017173,6.02659022285667,-0.05072471723854377,4.333333333333333,,4.0,-0.13705377386859444,8.266666666666667,0.01524276118378265,8.522240792027173,0.014793011357123687,8.666666666666666,,12.0,0.0022651115803219435,0.4224666666666667,0.35750000000000004,0.42561416420865805,0.35468333333333335,0.3876666666666666,,0.39299999999999985,0.2730000000000001,0.43516666666666676,0.4645,0.43744931624552646,0.46605,0.3916666666666666,,0.5560000000000005,0.5110000000000001,66.28333333333333,64.75,66.7985583458704,64.70833333333333,63.666666666666664,,78.5,63.5,-0.1,3.0,-0.12145423745043946,3.0,-0.6666666666666666,,0.0,3.0,-16.5,-16.783333333333346,,-25.0,-0.2548262548262548,-0.259368963296845,,-0.3937007874015748,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-11-25,,Robert Morris,L,64.0,78.0,24.0,47.0,0.511,5.0,14.0,0.357,11.0,21.0,0.524,9.0,30.0,11.0,4.0,2.0,21.0,28.0,,23.0,53.0,0.434,11.0,30.0,0.367,21.0,30.0,0.7,13.0,32.0,11.0,3.0,2.0,16.0,23.0,5.0,-14.0,0,4,71.0,1,0,0,1,62.166666666666664,55.0,62.80610646601652,54.78082191780822,60.0,55.0,64.0,52.0,70.4,70.66666666666667,70.79101022572434,70.57386153276566,67.33333333333333,70.66666666666667,93.0,66.0,6.066666666666666,-0.0771607257402522,6.02659022285667,-0.08102704858631993,4.333333333333333,-0.0771607257402522,4.0,-0.1404474390269655,8.266666666666667,0.0544001661979982,8.522240792027173,0.056793547874077976,8.666666666666666,0.0544001661979982,12.0,0.14102109244156597,0.4224666666666667,0.3626666666666667,0.42561416420865805,0.36120029618659766,0.3876666666666666,0.3626666666666667,0.39299999999999985,0.3730000000000001,0.43516666666666676,0.462,0.43744931624552646,0.462830062939652,0.3916666666666666,0.462,0.5560000000000005,0.4570000000000002,66.28333333333333,62.833333333333336,66.7985583458704,62.67734172528694,63.666666666666664,62.833333333333336,78.5,59.0,-0.1,4.0,-0.12145423745043946,4.0,-0.6666666666666666,4.0,0.0,4.0,-15.666666666666671,-15.793039614957443,-15.666666666666671,-14.0,-0.24933687002652527,-0.2519736667227832,-0.24933687002652527,-0.23728813559322035,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-11-26,,Norfolk State,W,70.0,55.0,26.0,50.0,0.52,6.0,16.0,0.375,12.0,18.0,0.667,8.0,31.0,19.0,4.0,6.0,17.0,15.0,,18.0,61.0,0.295,9.0,27.0,0.333,10.0,15.0,0.667,15.0,32.0,7.0,4.0,3.0,21.0,20.0,1.0,15.0,1,5,62.5,1,0,0,1,62.166666666666664,57.25,62.80610646601652,57.3210414354421,60.0,55.666666666666664,64.0,64.0,70.4,72.5,70.79101022572434,72.62003329633743,67.33333333333333,73.33333333333333,93.0,78.0,6.066666666666666,-0.07771650184187984,6.02659022285667,-0.08044939426578601,4.333333333333333,-0.11591957168472689,4.0,-0.07914936210388857,8.266666666666667,0.0692342585857666,8.522240792027173,0.07240753678447626,8.666666666666666,0.08193018335065694,12.0,0.10955256097303451,0.4224666666666667,0.39975000000000005,0.42561416420865805,0.40247557343692203,0.3876666666666666,0.38566666666666677,0.39299999999999985,0.5110000000000001,0.43516666666666676,0.455,0.43744931624552646,0.4548863300036996,0.3916666666666666,0.4673333333333334,0.5560000000000005,0.4340000000000002,66.28333333333333,64.875,66.7985583458704,64.97053736588975,63.666666666666664,64.5,78.5,71.0,-0.1,1.25,-0.12145423745043946,1.0076777864553286,-0.6666666666666666,0.5555555555555556,0.0,5.0,-15.25,-15.298991860895327,-17.666666666666664,-14.0,-0.2350674373795761,-0.23547583999093513,-0.27390180878552967,-0.19718309859154928,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-11-29,,Central Arkansas,W,71.0,65.0,24.0,60.0,0.4,6.0,23.0,0.261,17.0,25.0,0.68,14.0,38.0,13.0,2.0,2.0,10.0,11.0,,24.0,64.0,0.375,6.0,20.0,0.3,11.0,15.0,0.733,15.0,41.0,10.0,7.0,3.0,15.0,21.0,3.0,6.0,1,6,68.0,1,0,0,1,62.166666666666664,59.8,62.80610646601652,60.20581147922851,60.0,62.0,64.0,70.0,70.4,69.0,70.79101022572434,68.61104912267824,67.33333333333333,66.33333333333333,93.0,55.0,6.066666666666666,-0.0727216865186043,6.02659022285667,-0.0740825350322992,4.333333333333333,-0.08771791049098535,4.0,-0.05638150496103145,8.266666666666667,0.0864756378961114,8.522240792027173,0.09155411623704163,8.666666666666666,0.13873694442877477,12.0,0.17738472880520234,0.4224666666666667,0.42380000000000007,0.42561416420865805,0.42921522586468946,0.3876666666666666,0.46800000000000014,0.39299999999999985,0.5200000000000001,0.43516666666666676,0.42300000000000004,0.43744931624552646,0.41850831891886703,0.3916666666666666,0.3953333333333333,0.5560000000000005,0.2950000000000002,66.28333333333333,64.4,66.7985583458704,64.40843030095337,63.666666666666664,64.16666666666667,78.5,62.5,-0.1,0.24000000000000005,-0.12145423745043946,0.08533928657874,-0.6666666666666666,0.6666666666666666,0.0,6.0,-9.200000000000003,-8.40523764344973,-4.333333333333329,15.0,-0.14285714285714288,-0.13049902946206898,-0.06753246753246746,0.24,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-12-02,,Oral Roberts,L (2 OT),66.0,74.0,28.0,77.0,0.364,4.0,30.0,0.133,6.0,11.0,0.545,10.0,37.0,17.0,5.0,3.0,16.0,24.0,,26.0,61.0,0.426,6.0,22.0,0.273,16.0,28.0,0.571,11.0,48.0,17.0,4.0,6.0,21.0,13.0,3.0,-8.0,0,7,70.0,1,0,0,1,62.166666666666664,61.666666666666664,62.80610646601652,62.317524428355895,60.0,68.33333333333333,64.0,71.0,70.4,68.33333333333333,70.79101022572434,67.90460424471257,67.33333333333333,66.0,93.0,65.0,6.066666666666666,-0.07028111886064531,6.02659022285667,-0.07094438217661189,4.333333333333333,-0.06474387429901049,4.0,-0.06000323534332519,8.266666666666667,0.06696344277416022,8.522240792027173,0.06755496216979467,8.666666666666666,0.08041503183550536,12.0,-0.03660128518081163,0.4224666666666667,0.41983333333333334,0.42561416420865805,0.4234997271357737,0.3876666666666666,0.4770000000000001,0.39299999999999985,0.40000000000000013,0.43516666666666676,0.41500000000000004,0.43744931624552646,0.40999660168519686,0.3916666666666666,0.36799999999999994,0.5560000000000005,0.37500000000000017,66.28333333333333,65.0,66.7985583458704,65.11106433653424,63.666666666666664,67.16666666666667,78.5,68.0,-0.1,0.0,-0.12145423745043946,0.06958717377141752,-0.6666666666666666,7.0,0.0,7.0,-6.666666666666664,-5.5870798163566775,2.3333333333333286,6.0,-0.10256410256410253,-0.08580845472712893,0.03473945409429273,0.08823529411764706,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-12-09,@,Central Arkansas,L,54.0,69.0,17.0,60.0,0.283,6.0,23.0,0.261,14.0,18.0,0.778,8.0,41.0,9.0,5.0,2.0,18.0,22.0,,24.0,59.0,0.407,5.0,25.0,0.2,16.0,27.0,0.593,7.0,40.0,17.0,10.0,6.0,11.0,16.0,7.0,-15.0,0,8,61.5,0,1,0,-1,62.166666666666664,62.285714285714285,62.80610646601652,62.95443256886979,60.0,69.0,64.0,66.0,70.4,69.14285714285714,70.79101022572434,68.958842650553,67.33333333333333,64.66666666666667,93.0,74.0,6.066666666666666,-0.07957940797544824,6.02659022285667,-0.08196193558033069,4.333333333333333,-0.08164030413287407,4.0,-0.13170618028570674,8.266666666666667,0.04597977012751647,8.522240792027173,0.04197254376454668,8.666666666666666,0.011217905937348505,12.0,-0.07028111886064531,0.4224666666666667,0.41185714285714287,0.42561416420865805,0.41320886170195076,0.3876666666666666,0.4280000000000001,0.39299999999999985,0.3640000000000001,0.43516666666666676,0.41657142857142865,0.43744931624552646,0.41276449368183915,0.3916666666666666,0.3653333333333333,0.5560000000000005,0.42600000000000016,66.28333333333333,65.71428571428571,66.7985583458704,65.9566376097114,63.666666666666664,66.83333333333333,78.5,70.0,-0.1,0.16326530612244897,-0.12145423745043946,0.5219012287068941,-0.6666666666666666,8.0,0.0,8.0,-6.857142857142854,-6.004410081683204,4.333333333333329,-8.0,-0.10434782608695649,-0.09103572133578745,0.06483790523690766,-0.11428571428571428,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-12-13,@,Bradley,L,46.0,86.0,16.0,45.0,0.356,9.0,25.0,0.36,5.0,8.0,0.625,9.0,23.0,8.0,2.0,2.0,19.0,22.0,,31.0,51.0,0.608,10.0,21.0,0.476,14.0,20.0,0.7,9.0,31.0,21.0,9.0,2.0,10.0,16.0,4.0,-40.0,0,9,66.0,0,1,0,-1,62.166666666666664,61.25,62.80610646601652,61.55721944977824,60.0,63.666666666666664,64.0,54.0,70.4,69.125,70.79101022572434,68.96526467541634,67.33333333333333,69.33333333333333,93.0,69.0,6.066666666666666,-0.0686264029202151,6.02659022285667,-0.06803155460091048,4.333333333333333,-0.06221546158032837,4.0,0.01980897122944475,8.266666666666667,0.0282477897948456,8.522240792027173,0.02041225557375148,8.666666666666666,-0.06833205441158086,12.0,-0.09613305775606248,0.4224666666666667,0.39575,0.42561416420865805,0.39289160224495023,0.3876666666666666,0.34900000000000003,0.39299999999999985,0.28300000000000003,0.43516666666666676,0.41537500000000005,0.43744931624552646,0.41186502560999433,0.3916666666666666,0.4026666666666667,0.5560000000000005,0.4070000000000002,66.28333333333333,65.1875,66.7985583458704,65.26124206259729,63.666666666666664,66.5,78.5,61.5,-0.1,0.0,-0.12145423745043946,0.03189068036063474,-0.6666666666666666,1.0,0.0,9.0,-7.875,-7.408045225638098,-5.666666666666664,-15.0,-0.12080536912751678,-0.11351370264348398,-0.0852130325814536,-0.24390243902439024,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
2017-12-15,@,Sam Houston State,L,55.0,57.0,22.0,53.0,0.415,8.0,28.0,0.286,3.0,5.0,0.6,4.0,30.0,18.0,5.0,3.0,17.0,15.0,,20.0,49.0,0.408,7.0,28.0,0.25,10.0,12.0,0.833,5.0,31.0,17.0,6.0,1.0,16.0,13.0,2.0,-2.0,0,10,56.0,0,1,0,-1,62.166666666666664,59.55555555555556,62.80610646601652,59.33326981338701,60.0,55.333333333333336,64.0,46.0,70.4,71.0,70.79101022572434,71.40042949091739,67.33333333333333,76.33333333333333,93.0,86.0,6.066666666666666,-0.03927063076060494,6.02659022285667,-0.030187550652798434,4.333333333333333,0.029849131872015044,4.0,0.2734321596352419,8.266666666666667,0.02919864259094712,8.522240792027173,0.02297788607176171,8.666666666666666,-0.03841519179821168,12.0,0.035312847198437025,0.4224666666666667,0.3913333333333333,0.42561416420865805,0.38761784071812955,0.3876666666666666,0.33433333333333337,0.39299999999999985,0.35600000000000004,0.43516666666666676,0.4367777777777778,0.43744931624552646,0.4399030889918458,0.3916666666666666,0.4803333333333333,0.5560000000000005,0.6080000000000001,66.28333333333333,65.27777777777777,66.7985583458704,65.3668496521522,63.666666666666664,65.83333333333333,78.5,66.0,-0.1,0.12345679012345678,-0.12145423745043946,0.08452200842940394,-0.6666666666666666,1.1111111111111112,0.0,10.0,-11.444444444444443,-12.067159677530377,-20.999999999999993,-40.0,-0.1753191489361702,-0.1846067194877131,-0.3189873417721518,-0.6060606060606061,-8.233333333333341,-0.1242142318330401,-7.984903759707812,-0.1195370672277608,-7.333333333333329,-0.11518324607329836,-29.0,-0.36942675159235666,Sun Belt
