Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Mount St. Mary's,W,80.0,59.0,29.0,57.0,0.509,6.0,21.0,0.286,16.0,21.0,0.762,9.0,33.0,16.0,10.0,2.0,10.0,15.0,,23.0,51.0,0.451,7.0,28.0,0.25,6.0,11.0,0.545,4.0,23.0,12.0,3.0,3.0,15.0,16.0,,21.0,1,1,69.5,1,0,0,1,81.31428571428572,,80.63535673611982,,82.66666666666667,,80.0,,78.51428571428572,,79.6154364998859,,79.0,,85.0,,11.0,,10.883234410859119,,10.333333333333334,,12.0,,6.9714285714285715,,7.340933368775913,,5.666666666666667,,6.0,,0.47674285714285713,,0.4783976916554346,,0.4910000000000003,,0.4590000000000004,,0.47797142857142844,,0.4810742406028679,,0.4953333333333334,,0.5339999999999997,,79.91428571428571,,80.12539661800285,,80.83333333333333,,82.5,,0.2857142857142857,,0.24850642892149852,,1.0,,1.0,,,,,,,,,,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-14,,Purdue,L,71.0,86.0,23.0,57.0,0.404,11.0,27.0,0.407,14.0,16.0,0.875,3.0,20.0,10.0,4.0,3.0,11.0,19.0,,32.0,56.0,0.571,4.0,12.0,0.333,18.0,23.0,0.783,6.0,32.0,19.0,5.0,5.0,10.0,18.0,4.0,-15.0,0,2,78.5,1,0,0,1,81.31428571428572,80.0,80.63535673611982,80.0,82.66666666666667,,80.0,80.0,78.51428571428572,59.0,79.6154364998859,59.0,79.0,,85.0,59.0,11.0,-0.08852436210388856,10.883234410859119,-0.08852436210388856,10.333333333333334,,12.0,-0.08852436210388856,6.9714285714285715,0.04240784128594194,7.340933368775913,0.04240784128594194,5.666666666666667,,6.0,0.04240784128594194,0.47674285714285713,0.509,0.4783976916554346,0.509,0.4910000000000003,,0.4590000000000004,0.509,0.47797142857142844,0.451,0.4810742406028679,0.451,0.4953333333333334,,0.5339999999999997,0.451,79.91428571428571,69.5,80.12539661800285,69.5,80.83333333333333,,82.5,69.5,0.2857142857142857,2.0,0.24850642892149852,2.0,1.0,,1.0,2.0,21.0,21.0,,21.0,0.302158273381295,0.302158273381295,,0.302158273381295,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-20,N,VCU,W,94.0,83.0,34.0,66.0,0.515,13.0,36.0,0.361,13.0,17.0,0.765,15.0,39.0,18.0,6.0,7.0,17.0,18.0,,30.0,68.0,0.441,10.0,26.0,0.385,13.0,19.0,0.684,9.0,28.0,13.0,7.0,2.0,15.0,19.0,6.0,11.0,1,3,88.5,0,0,1,0,81.31428571428572,75.5,80.63535673611982,75.37142857142857,82.66666666666667,,80.0,71.0,78.51428571428572,72.5,79.6154364998859,72.88571428571429,79.0,,85.0,86.0,11.0,0.024223982266972366,10.883234410859119,0.027643189071244134,10.333333333333334,,12.0,0.15126437029047762,6.9714285714285715,-0.08593815520733683,7.340933368775913,-0.08890656516151299,5.666666666666667,,6.0,-0.17398947838295833,0.47674285714285713,0.4565,0.4783976916554346,0.455,0.4910000000000003,,0.4590000000000004,0.404,0.47797142857142844,0.511,0.4810742406028679,0.5127142857142857,0.4953333333333334,,0.5339999999999997,0.571,79.91428571428571,74.0,80.12539661800285,74.12857142857143,80.83333333333333,,82.5,78.5,0.2857142857142857,3.0,0.24850642892149852,3.0,1.0,,1.0,3.0,3.0,2.4857142857142804,,-15.0,0.04054054054054054,0.03353247253806121,,-0.1910828025477707,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-21,N,Wichita State,L,66.0,80.0,23.0,61.0,0.377,9.0,33.0,0.273,11.0,15.0,0.733,5.0,22.0,9.0,5.0,1.0,9.0,19.0,,31.0,57.0,0.544,6.0,19.0,0.316,12.0,17.0,0.706,10.0,41.0,18.0,1.0,6.0,12.0,17.0,1.0,-14.0,0,4,73.0,0,0,1,0,81.31428571428572,81.66666666666667,80.63535673611982,81.93906420021763,82.66666666666667,81.66666666666667,80.0,94.0,78.51428571428572,76.0,79.6154364998859,76.45157780195865,79.0,76.0,85.0,83.0,11.0,0.0538225766716216,10.883234410859119,0.05746180028223663,10.333333333333334,0.0538225766716216,12.0,0.10136925491738802,6.9714285714285715,-0.03720857263020433,7.340933368775913,-0.03653493726151963,5.666666666666667,-0.03720857263020433,6.0,0.04792142102864155,0.47674285714285713,0.476,0.4783976916554346,0.4761534276387378,0.4910000000000003,0.476,0.4590000000000004,0.515,0.47797142857142844,0.4876666666666667,0.4810742406028679,0.48743090315560395,0.4953333333333334,0.4876666666666667,0.5339999999999997,0.44100000000000006,79.91428571428571,78.83333333333333,80.12539661800285,79.19532100108815,80.83333333333333,78.83333333333333,82.5,88.5,0.2857142857142857,1.7777777777777777,0.24850642892149852,1.6767290935764263,1.0,1.7777777777777777,1.0,0.0,5.666666666666671,5.48748639825898,5.666666666666671,11.0,0.07188160676532776,0.06929053798751042,0.07188160676532776,0.12429378531073447,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-22,N,LSU,W,94.0,84.0,26.0,45.0,0.578,11.0,24.0,0.458,31.0,35.0,0.886,3.0,22.0,15.0,9.0,7.0,16.0,20.0,,27.0,56.0,0.482,7.0,22.0,0.318,23.0,26.0,0.885,7.0,26.0,7.0,9.0,2.0,17.0,27.0,1.0,10.0,1,5,89.0,0,0,1,0,81.31428571428572,77.75,80.63535673611982,77.60643206711723,82.66666666666667,77.0,80.0,66.0,78.51428571428572,77.0,79.6154364998859,77.41612677697506,79.0,83.0,85.0,80.0,11.0,0.06268142567746193,10.883234410859119,0.06627055046909747,10.333333333333334,0.11504706646753998,12.0,0.09556654698702055,6.9714285714285715,-0.050537349116875574,7.340933368775913,-0.05113862563655003,5.666666666666667,-0.07256050668220182,6.0,-0.08852436210388856,0.47674285714285713,0.45125,0.4783976916554346,0.4492010720111862,0.4910000000000003,0.43199999999999994,0.4590000000000004,0.377,0.47797142857142844,0.50175,0.4810742406028679,0.5028077837333955,0.4953333333333334,0.5186666666666667,0.5339999999999997,0.544,79.91428571428571,77.375,80.12539661800285,77.51127942204614,80.83333333333333,80.0,82.5,73.0,0.2857142857142857,1.25,0.24850642892149852,1.1113343570118874,1.0,0.5555555555555556,1.0,0.0,0.75,0.19030529014216313,-6.0,-14.0,0.009693053311793215,0.00245519479953308,-0.075,-0.1917808219178082,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-27,,Eastern Illinois,W (1 OT),86.0,83.0,27.0,58.0,0.466,11.0,27.0,0.407,21.0,28.0,0.75,12.0,33.0,14.0,9.0,6.0,14.0,18.0,,31.0,62.0,0.5,6.0,19.0,0.316,15.0,21.0,0.714,12.0,31.0,16.0,4.0,3.0,14.0,20.0,5.0,3.0,1,6,84.5,1,0,0,1,81.31428571428572,81.0,80.63535673611982,81.27024063732806,82.66666666666667,84.66666666666667,80.0,94.0,78.51428571428572,78.4,79.6154364998859,78.8875606489948,79.0,82.33333333333333,85.0,84.0,11.0,0.056846008266481785,10.883234410859119,0.058843650219625954,10.333333333333334,0.07623941742367046,12.0,0.037539467683345484,6.9714285714285715,-0.05332028047123555,7.340933368775913,-0.054086112537811926,5.666666666666667,-0.034172135383240765,6.0,-0.06352436210388857,0.47674285714285713,0.4766,0.4783976916554346,0.4779864235668316,0.4910000000000003,0.48999999999999994,0.4590000000000004,0.578,0.47797142857142844,0.49779999999999996,0.4810742406028679,0.4981574393616501,0.4953333333333334,0.4890000000000001,0.5339999999999997,0.482,79.91428571428571,79.7,80.12539661800285,80.07890064316143,80.83333333333333,83.5,82.5,89.0,0.2857142857142857,0.9600000000000002,0.24850642892149852,0.8041172996602294,1.0,0.0,1.0,0.0,2.5999999999999943,2.3826799883332512,2.333333333333343,10.0,0.03262233375156831,0.029754154580002055,0.02794411177644722,0.11235955056179775,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-11-29,,Chicago State,W,95.0,69.0,34.0,64.0,0.531,18.0,39.0,0.462,9.0,15.0,0.6,11.0,38.0,23.0,3.0,2.0,8.0,17.0,,24.0,58.0,0.414,7.0,22.0,0.318,14.0,17.0,0.824,8.0,29.0,8.0,4.0,1.0,10.0,17.0,2.0,26.0,1,7,82.0,1,0,0,1,81.31428571428572,81.83333333333333,80.63535673611982,82.17530536509882,82.66666666666667,82.0,80.0,86.0,78.51428571428572,79.16666666666667,79.6154364998859,79.67449789385047,79.0,82.33333333333333,85.0,83.0,11.0,0.05918439553358601,10.883234410859119,0.06111720391993408,10.333333333333334,0.06452441838391632,12.0,0.07019656812866959,6.9714285714285715,-0.060892783156520136,7.340933368775913,-0.06257226745779021,5.666666666666667,-0.08275513133465778,6.0,-0.09665689222437049,0.47674285714285713,0.4748333333333334,0.4783976916554346,0.4756927573672195,0.4910000000000003,0.4736666666666666,0.4590000000000004,0.4660000000000001,0.47797142857142844,0.49816666666666665,0.4810742406028679,0.4985100231856202,0.4953333333333334,0.5086666666666667,0.5339999999999997,0.5,79.91428571428571,80.5,80.12539661800285,80.92490162947466,80.83333333333333,82.16666666666667,82.5,84.5,0.2857142857142857,1.75,0.24850642892149852,1.6628395602530077,1.0,0.7777777777777777,1.0,7.0,2.666666666666657,2.5008074712483506,-0.3333333333333286,3.0,0.0331262939958591,0.03090281756162803,-0.004056795131845784,0.03550295857988166,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-12-02,,Georgia,L,66.0,73.0,22.0,62.0,0.355,11.0,33.0,0.333,11.0,14.0,0.786,8.0,30.0,11.0,4.0,4.0,11.0,23.0,,24.0,50.0,0.48,4.0,14.0,0.286,21.0,30.0,0.7,7.0,35.0,18.0,7.0,2.0,10.0,15.0,3.0,-7.0,0,8,69.5,1,0,0,1,81.31428571428572,83.71428571428571,80.63535673611982,84.33596244019735,82.66666666666667,91.66666666666667,80.0,95.0,78.51428571428572,77.71428571428571,79.6154364998859,77.87609800566085,79.0,78.66666666666667,85.0,69.0,11.0,0.0909124979643709,10.883234410859119,0.09789260448269721,10.333333333333334,0.12283927425974778,12.0,0.2548966905276904,6.9714285714285715,-0.05433318563330031,7.340933368775913,-0.05460168133324689,5.666666666666667,-0.059287073968295356,6.0,-0.009176536016932024,0.47674285714285713,0.48285714285714293,0.4783976916554346,0.4850107168587072,0.4910000000000003,0.525,0.4590000000000004,0.5310000000000001,0.47797142857142844,0.48614285714285715,0.4810742406028679,0.4842720873352156,0.4953333333333334,0.4653333333333334,0.5339999999999997,0.4139999999999999,79.91428571428571,80.71428571428571,80.12539661800285,81.1060302229291,80.83333333333333,85.16666666666667,82.5,82.0,0.2857142857142857,2.6122448979591835,0.24850642892149852,2.63353274763902,1.0,3.5555555555555554,1.0,8.0,6.0,6.459864434536499,13.0,26.0,0.0743362831858407,0.07964715344569115,0.15264187866927592,0.3170731707317073,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-12-05,,Vermont,W,91.0,81.0,33.0,60.0,0.55,12.0,27.0,0.444,13.0,16.0,0.813,7.0,28.0,25.0,6.0,5.0,10.0,17.0,,28.0,59.0,0.475,13.0,29.0,0.448,12.0,16.0,0.75,9.0,28.0,19.0,5.0,0.0,13.0,16.0,3.0,10.0,1,9,86.0,1,0,0,1,81.31428571428572,81.5,80.63535673611982,81.56022562946754,82.66666666666667,82.33333333333333,80.0,66.0,78.51428571428572,77.125,79.6154364998859,77.13794396705052,79.0,75.0,85.0,73.0,11.0,0.10058606734396419,10.883234410859119,0.10874412608432221,10.333333333333334,0.1723055974102815,12.0,0.18647563789611143,6.9714285714285715,-0.06555029403257576,7.340933368775913,-0.06814549364502251,5.666666666666667,-0.08685769543722191,6.0,-0.14914080046005296,0.47674285714285713,0.46687500000000004,0.4783976916554346,0.46532941931291005,0.4910000000000003,0.4506666666666666,0.4590000000000004,0.3550000000000001,0.47797142857142844,0.485375,0.4810742406028679,0.48362536971056475,0.4953333333333334,0.46466666666666673,0.5339999999999997,0.4799999999999999,79.91428571428571,79.3125,80.12539661800285,79.34908479825903,80.83333333333333,78.66666666666667,82.5,69.5,0.2857142857142857,3.515625,0.24850642892149852,3.6665949815402703,1.0,9.0,1.0,9.0,4.375,4.422281662417021,7.333333333333329,-7.0,0.055161544523246654,0.055731980698459783,0.09322033898305078,-0.10071942446043165,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
2017-12-09,@,Wisconsin,W,82.0,63.0,29.0,55.0,0.527,14.0,22.0,0.636,10.0,10.0,1.0,6.0,27.0,14.0,3.0,5.0,9.0,18.0,,23.0,54.0,0.426,4.0,12.0,0.333,13.0,20.0,0.65,8.0,26.0,11.0,4.0,5.0,11.0,10.0,4.0,19.0,1,10,72.5,0,1,0,-1,81.31428571428572,82.55555555555556,80.63535673611982,82.86427599490078,82.66666666666667,84.0,80.0,91.0,78.51428571428572,77.55555555555556,79.6154364998859,77.67146472542933,79.0,74.33333333333333,85.0,81.0,11.0,0.09831951407376954,10.883234410859119,0.10469898557077828,10.333333333333334,0.17457087599134952,12.0,0.08208003350050702,6.9714285714285715,-0.03845272886606621,7.340933368775913,-0.034131543675686604,5.666666666666667,0.009345593053062151,6.0,0.1679571193775929,0.47674285714285713,0.47611111111111115,0.4783976916554346,0.4770261715182507,0.4910000000000003,0.47866666666666663,0.4590000000000004,0.5500000000000002,0.47797142857142844,0.48422222222222217,0.4810742406028679,0.4824338246501054,0.4953333333333334,0.4563333333333334,0.5339999999999997,0.47499999999999987,79.91428571428571,80.05555555555556,80.12539661800285,80.26787036016506,80.83333333333333,79.16666666666667,82.5,86.0,0.2857142857142857,4.444444444444445,0.24850642892149852,4.736856363425017,1.0,10.0,1.0,10.0,5.0,5.1928112694714486,9.666666666666671,10.0,0.062456627342123525,0.06469352240405908,0.12210526315789479,0.11627906976744186,2.799999999999997,0.03503754022166604,1.019920236233915,0.01272905070406548,3.6666666666666714,0.0453608247422681,-5.0,-0.06060606060606061,Big East
