Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,Western Kentucky,W,85.0,80.0,34.0,61.0,0.557,6.0,13.0,0.462,11.0,18.0,0.611,10.0,36.0,13.0,5.0,3.0,18.0,31.0,,22.0,56.0,0.393,8.0,21.0,0.381,28.0,36.0,0.778,11.0,29.0,9.0,3.0,5.0,15.0,19.0,,5.0,1,1,82.5,0,1,0,-1,69.78125,,69.37581166416662,,67.33333333333333,,63.0,,67.15625,,69.37524149516999,,72.33333333333333,,67.0,,7.0625,,7.509235563284439,,7.0,,7.0,,7.09375,,7.493157474722467,,9.0,,9.0,,0.4339375000000001,,0.42902113778645623,,0.418,,0.4509999999999998,,0.4165624999999999,,0.43220584696794506,,0.4773333333333336,,0.4669999999999999,,68.46875,,69.37552657966829,,69.83333333333333,,65.0,,0.0625,,0.028057578300518405,,-0.3333333333333333,,0.0,,,,,,,,,,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-15,,Southern,W,86.0,58.0,31.0,69.0,0.449,9.0,24.0,0.375,15.0,23.0,0.652,20.0,51.0,17.0,6.0,7.0,9.0,20.0,,20.0,67.0,0.299,9.0,21.0,0.429,9.0,18.0,0.5,20.0,38.0,11.0,7.0,4.0,16.0,18.0,5.0,28.0,1,2,72.0,1,0,0,1,69.78125,85.0,69.37581166416662,85.0,67.33333333333333,,63.0,85.0,67.15625,80.0,69.37524149516999,80.0,72.33333333333333,,67.0,80.0,7.0625,-0.10175965622153563,7.509235563284439,-0.10175965622153563,7.0,,7.0,-0.10175965622153563,7.09375,-0.013524362103888576,7.493157474722467,-0.013524362103888576,9.0,,9.0,-0.013524362103888576,0.4339375000000001,0.557,0.42902113778645623,0.557,0.418,,0.4509999999999998,0.557,0.4165624999999999,0.393,0.43220584696794506,0.393,0.4773333333333336,,0.4669999999999999,0.393,68.46875,82.5,69.37552657966829,82.5,69.83333333333333,,65.0,82.5,0.0625,2.0,0.028057578300518405,2.0,-0.3333333333333333,,0.0,2.0,5.0,5.0,,5.0,0.06060606060606061,0.06060606060606061,,0.06060606060606061,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-17,,North Dakota State,L,54.0,57.0,20.0,61.0,0.328,1.0,17.0,0.059,13.0,19.0,0.684,13.0,41.0,1.0,5.0,4.0,8.0,17.0,,22.0,56.0,0.393,6.0,20.0,0.3,7.0,12.0,0.583,7.0,32.0,11.0,4.0,3.0,12.0,15.0,2.0,-3.0,0,3,55.5,1,0,0,1,69.78125,85.5,69.37581166416662,85.51562500000001,67.33333333333333,,63.0,86.0,67.15625,69.0,69.37524149516999,68.65625,72.33333333333333,,67.0,58.0,7.0625,-0.050366467367046475,7.509235563284439,-0.048770113976718876,7.0,,7.0,0.00042912626820446054,7.09375,0.05604085528741576,7.493157474722467,0.05857395378140956,9.0,,9.0,0.15199287927542177,0.4339375000000001,0.503,0.42902113778645623,0.5013125,0.418,,0.4509999999999998,0.44899999999999995,0.4165624999999999,0.346,0.43220584696794506,0.34453125,0.4773333333333336,,0.4669999999999999,0.29899999999999993,68.46875,77.25,69.37552657966829,77.0859375,69.83333333333333,,65.0,72.0,0.0625,0.0,0.028057578300518405,0.002929687499999995,-0.3333333333333333,,0.0,3.0,16.5,16.859375000000014,,28.0,0.21359223300970873,0.21870882740447975,,0.3888888888888889,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-20,N,Georgia Southern,L,73.0,74.0,28.0,58.0,0.483,4.0,18.0,0.222,13.0,17.0,0.765,11.0,38.0,12.0,3.0,3.0,17.0,17.0,,28.0,67.0,0.418,10.0,28.0,0.357,8.0,13.0,0.615,9.0,32.0,10.0,9.0,3.0,8.0,17.0,3.0,-1.0,0,4,73.5,0,0,1,0,69.78125,75.0,69.37581166416662,74.34721770257077,67.33333333333333,75.0,63.0,54.0,67.15625,65.0,69.37524149516999,64.5255450699642,72.33333333333333,65.0,67.0,57.0,7.0625,-0.10019102877055522,7.509235563284439,-0.10261609883841274,7.0,-0.10019102877055522,7.0,-0.257968806548333,7.09375,0.0403217917422653,7.493157474722467,0.04094668239222066,9.0,0.0403217917422653,9.0,0.0022651115803219435,0.4339375000000001,0.4446666666666667,0.42902113778645623,0.4398945655711032,0.418,0.4446666666666667,0.4509999999999998,0.3279999999999999,0.4165624999999999,0.36166666666666664,0.43220584696794506,0.3617074520013016,0.4773333333333336,0.36166666666666664,0.4669999999999999,0.39299999999999996,68.46875,70.0,69.37552657966829,69.43638138626748,69.83333333333333,70.0,65.0,55.5,0.0625,0.4444444444444444,0.028057578300518405,0.5611584643508659,-0.3333333333333333,0.4444444444444444,0.0,4.0,10.0,9.821672632606578,10.0,-3.0,0.14285714285714285,0.14144850921838248,0.14285714285714285,-0.05405405405405406,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-21,N,Manhattan,W,69.0,65.0,24.0,55.0,0.436,1.0,11.0,0.091,20.0,25.0,0.8,11.0,30.0,14.0,8.0,2.0,12.0,19.0,,23.0,53.0,0.434,8.0,19.0,0.421,11.0,15.0,0.733,4.0,23.0,14.0,4.0,7.0,14.0,23.0,1.0,4.0,1,5,67.0,0,0,1,0,69.78125,74.5,69.37581166416662,73.9782012195122,67.33333333333333,71.0,63.0,73.0,67.15625,67.25,69.37524149516999,67.12069359756097,72.33333333333333,63.0,67.0,74.0,7.0625,-0.11218208022469395,7.509235563284439,-0.11519117644644583,7.0,-0.11634126351233928,7.0,-0.14914080046005296,7.09375,0.05450537767306313,7.493157474722467,0.05632802089520239,9.0,0.08330103472150824,9.0,0.09188104330151686,0.4339375000000001,0.45425000000000004,0.42902113778645623,0.45170157774390246,0.418,0.4200000000000001,0.4509999999999998,0.48299999999999993,0.4165624999999999,0.37575,0.43220584696794506,0.3771265472560975,0.4773333333333336,0.36999999999999994,0.4669999999999999,0.4179999999999999,68.46875,70.875,69.37552657966829,70.54944740853658,69.83333333333333,67.0,65.0,73.5,0.0625,0.3125,0.028057578300518405,0.3698080572506134,-0.3333333333333333,2.2222222222222223,0.0,0.0,7.25,6.857507621951228,8.0,-1.0,0.10229276895943562,0.09720143635202252,0.11940298507462686,-0.013605442176870748,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-22,N,Florida Atlantic,W,71.0,60.0,29.0,63.0,0.46,4.0,12.0,0.333,9.0,12.0,0.75,15.0,39.0,16.0,4.0,4.0,14.0,13.0,,21.0,59.0,0.356,5.0,16.0,0.313,13.0,16.0,0.813,11.0,29.0,7.0,9.0,5.0,12.0,12.0,1.0,11.0,1,6,65.5,0,0,1,0,69.78125,73.4,69.37581166416662,72.8543448742186,67.33333333333333,65.33333333333333,63.0,69.0,67.15625,66.8,69.37524149516999,66.64193533710723,72.33333333333333,65.33333333333333,67.0,65.0,7.0625,-0.1418622367632891,7.509235563284439,-0.14830101096488307,7.0,-0.22168762741001102,7.0,-0.2700461012343234,7.09375,0.05473911095000361,7.493157474722467,0.05619114570486777,9.0,0.05382257667162166,9.0,0.055706407126880686,0.4339375000000001,0.4506,0.42902113778645623,0.4481568600837484,0.418,0.4156666666666667,0.4509999999999998,0.43599999999999994,0.4165624999999999,0.38739999999999997,0.43220584696794506,0.38996604247265576,0.4773333333333336,0.415,0.4669999999999999,0.4339999999999999,68.46875,70.1,69.37552657966829,69.7481401056629,69.83333333333333,65.33333333333333,65.0,67.0,0.0625,0.24000000000000005,0.028057578300518405,0.2660197396768847,-0.3333333333333333,0.6666666666666666,0.0,0.0,6.6000000000000085,6.21240953711137,0.0,4.0,0.09415121255349514,0.08906917844260882,0.0,0.05970149253731343,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-11-28,,Colorado State,W,77.0,67.0,23.0,53.0,0.434,8.0,24.0,0.333,23.0,29.0,0.793,11.0,35.0,13.0,6.0,6.0,14.0,24.0,,23.0,64.0,0.359,4.0,23.0,0.174,17.0,24.0,0.708,14.0,37.0,6.0,4.0,2.0,12.0,24.0,6.0,10.0,1,7,72.0,1,0,0,1,69.78125,73.0,69.37581166416662,72.49505313697433,67.33333333333333,71.0,63.0,71.0,67.15625,65.66666666666667,69.37524149516999,65.3550158869489,72.33333333333333,66.33333333333333,67.0,60.0,7.0625,-0.1422914853915598,7.509235563284439,-0.14758167804514852,7.0,-0.18676379872360688,7.0,-0.14451027759684631,7.09375,0.036729445002710415,7.493157474722467,0.03489605670782597,9.0,0.03320930623781998,9.0,-0.06352436210388857,0.4339375000000001,0.45216666666666666,0.42902113778645623,0.4504515477516667,0.418,0.45966666666666667,0.4509999999999998,0.4599999999999999,0.4165624999999999,0.3821666666666666,0.43220584696794506,0.38338489428550676,0.4773333333333336,0.4026666666666667,0.4669999999999999,0.3559999999999998,68.46875,69.33333333333333,69.37552657966829,68.92503451196161,69.83333333333333,68.66666666666667,65.0,65.5,0.0625,0.19444444444444442,0.028057578300518405,0.20174040790416187,-0.3333333333333333,0.0,0.0,0.0,7.333333333333329,7.140037250025429,4.666666666666671,11.0,0.10576923076923071,0.10359134820289875,0.06796116504854376,0.16793893129770993,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-12-02,N,South Dakota State,W,73.0,53.0,30.0,62.0,0.484,9.0,24.0,0.375,4.0,6.0,0.667,10.0,39.0,19.0,3.0,2.0,7.0,15.0,,21.0,59.0,0.356,3.0,24.0,0.125,8.0,12.0,0.667,9.0,30.0,7.0,3.0,3.0,7.0,9.0,4.0,20.0,1,8,63.0,0,0,1,0,69.78125,73.57142857142857,69.37581166416662,73.26535109642491,67.33333333333333,72.33333333333333,63.0,77.0,67.15625,65.85714285714286,69.37524149516999,65.63629065980179,72.33333333333333,64.0,67.0,67.0,7.0625,-0.12129135239515071,7.509235563284439,-0.12139039949035937,7.0,-0.1338008597997411,7.0,-0.0018360504155768842,7.09375,0.011855247440579975,7.493157474722467,0.005343320519385686,9.0,-0.047899362103888565,9.0,-0.13441988449194828,0.4339375000000001,0.4495714285714286,0.42902113778645623,0.4476385082090868,0.418,0.44333333333333336,0.4509999999999998,0.4339999999999999,0.4165624999999999,0.37885714285714284,0.43220584696794506,0.3792153369342957,0.4773333333333336,0.383,0.4669999999999999,0.3589999999999999,68.46875,69.71428571428571,69.37552657966829,69.45082087811335,69.83333333333333,68.16666666666667,65.0,72.0,0.0625,0.6530612244897959,0.028057578300518405,0.7773853443086272,-0.3333333333333333,0.8888888888888888,0.0,8.0,7.714285714285708,7.629060436623121,8.333333333333329,10.0,0.11065573770491796,0.10984838393792598,0.12224938875305616,0.1388888888888889,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-12-04,@,North Dakota State,W,71.0,58.0,29.0,61.0,0.475,7.0,18.0,0.389,6.0,9.0,0.667,11.0,40.0,9.0,2.0,3.0,11.0,12.0,,21.0,53.0,0.396,8.0,27.0,0.296,8.0,11.0,0.727,4.0,26.0,10.0,3.0,3.0,8.0,13.0,2.0,13.0,1,9,64.5,0,1,0,-1,69.78125,73.5,69.37581166416662,73.22448933895183,67.33333333333333,73.66666666666667,63.0,73.0,67.15625,64.25,69.37524149516999,63.690411968298584,72.33333333333333,60.0,67.0,53.0,7.0625,-0.09923864781817429,7.509235563284439,-0.0941055799355387,7.0,-0.028456488800721158,7.0,0.05633865159474155,7.09375,-0.004185840703110344,7.493157474722467,-0.013757344307177954,9.0,-0.11352436210388855,9.0,-0.1437130413491716,0.4339375000000001,0.45387500000000003,0.42902113778645623,0.45323786121323145,0.418,0.45933333333333337,0.4509999999999998,0.48399999999999993,0.4165624999999999,0.37599999999999995,0.43220584696794506,0.37564037726672334,0.4773333333333336,0.357,0.4669999999999999,0.35599999999999987,68.46875,68.875,69.37552657966829,68.4574506536252,69.83333333333333,66.83333333333333,65.0,63.0,0.0625,0.5625,0.028057578300518405,0.6259484098766455,-0.3333333333333333,1.0,0.0,0.0,9.25,9.534077370653243,13.666666666666671,20.0,0.13430127041742287,0.13927012004716482,0.20448877805486293,0.31746031746031744,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
2017-12-08,,Hampton,W,88.0,75.0,32.0,66.0,0.485,13.0,19.0,0.684,11.0,14.0,0.786,10.0,37.0,19.0,4.0,1.0,11.0,14.0,,27.0,63.0,0.429,11.0,21.0,0.524,10.0,12.0,0.833,5.0,28.0,13.0,5.0,2.0,8.0,14.0,4.0,13.0,1,10,81.5,1,0,0,1,69.78125,73.22222222222223,69.37581166416662,72.9111944704322,67.33333333333333,73.66666666666667,63.0,71.0,67.15625,63.55555555555556,69.37524149516999,62.88897999997522,72.33333333333333,59.333333333333336,67.0,58.0,7.0625,-0.09045911172452589,7.509235563284439,-0.08363358330015647,7.0,0.012267493099731297,7.0,-0.017749714216564627,7.09375,0.006405707826181328,7.493157474722467,0.0010535271048383033,9.0,-0.060715373339843615,9.0,0.10026874134438729,0.4339375000000001,0.4562222222222222,0.42902113778645623,0.4563028192197817,0.418,0.46433333333333343,0.4509999999999998,0.47499999999999987,0.4165624999999999,0.3782222222222222,0.43220584696794506,0.3785078063056668,0.4773333333333336,0.3703333333333334,0.4669999999999999,0.3959999999999999,68.46875,68.38888888888889,69.37552657966829,67.90008723520371,69.83333333333333,66.5,65.0,64.5,0.0625,0.12345679012345678,0.028057578300518405,0.07351606945084897,-0.3333333333333333,0.0,0.0,10.0,9.666666666666671,10.022214470456987,14.333333333333336,13.0,0.1413484971567832,0.1476023798870885,0.21553884711779453,0.20155038759689922,2.625,0.038338658146964855,0.0005701689966315371,8.21858982182681e-06,-5.0,-0.07159904534606205,-4.0,-0.06153846153846154,MVC
