Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,Marquette,L,59.0,80.0,23.0,51.0,0.451,7.0,28.0,0.25,6.0,11.0,0.545,4.0,23.0,12.0,3.0,3.0,15.0,16.0,,29.0,57.0,0.509,6.0,21.0,0.286,16.0,21.0,0.762,9.0,33.0,16.0,10.0,2.0,10.0,15.0,,-21.0,0,1,69.5,0,1,-1,71.7,,71.97886049463736,,67.0,,56.0,,71.8,,68.29429791340152,,58.333333333333336,,60.0,,9.833333333333334,,9.860050577797965,,8.666666666666666,,8.0,,7.5,,7.542833600130324,,6.333333333333333,,10.0,,0.4532666666666667,,0.458407475680182,,0.42533333333333334,,0.3850000000000001,,0.4524333333333333,,0.43293712790156896,,0.41099999999999987,,0.4779999999999997,,71.75,,70.13657920401944,,62.666666666666664,,58.0,,-0.13333333333333333,,0.03915504020756597,,1.0,,1.0,,,,,,,,,,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-11-13,@,Notre Dame,L,62.0,88.0,24.0,61.0,0.393,11.0,35.0,0.314,3.0,4.0,0.75,7.0,27.0,11.0,4.0,1.0,11.0,14.0,,33.0,63.0,0.524,4.0,12.0,0.333,18.0,19.0,0.947,11.0,37.0,17.0,8.0,6.0,5.0,9.0,3.0,-26.0,0,2,75.0,0,1,-1,71.7,59.0,71.97886049463736,59.0,67.0,,56.0,59.0,71.8,80.0,68.29429791340152,80.0,58.333333333333336,,60.0,80.0,9.833333333333334,0.04240784128594194,9.860050577797965,0.04240784128594194,8.666666666666666,,8.0,0.04240784128594194,7.5,-0.08852436210388856,7.542833600130324,-0.08852436210388856,6.333333333333333,,10.0,-0.08852436210388856,0.4532666666666667,0.451,0.458407475680182,0.451,0.42533333333333334,,0.3850000000000001,0.451,0.4524333333333333,0.509,0.43293712790156896,0.509,0.41099999999999987,,0.4779999999999997,0.509,71.75,69.5,70.13657920401944,69.5,62.666666666666664,,58.0,69.5,-0.13333333333333333,2.0,0.03915504020756597,2.0,1.0,,1.0,2.0,-21.0,-21.0,,-21.0,-0.302158273381295,-0.302158273381295,,-0.302158273381295,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-11-15,@,Georgetown,L,68.0,102.0,25.0,65.0,0.385,8.0,33.0,0.242,10.0,17.0,0.588,7.0,21.0,14.0,7.0,2.0,9.0,17.0,,39.0,68.0,0.574,11.0,22.0,0.5,13.0,15.0,0.867,14.0,51.0,25.0,5.0,4.0,16.0,17.0,2.0,-34.0,0,3,85.0,0,1,-1,71.7,60.5,71.97886049463736,60.55,67.0,,56.0,62.0,71.8,84.0,68.29429791340152,84.13333333333334,58.333333333333336,,60.0,88.0,9.833333333333334,0.13275662963164864,9.860050577797965,0.13569116225614447,8.666666666666666,,8.0,0.21873370241224044,7.5,-0.13495293353246,7.542833600130324,-0.13642452058249396,6.333333333333333,,10.0,-0.1771607257402522,0.4532666666666667,0.42200000000000004,0.458407475680182,0.42103333333333337,0.42533333333333334,,0.3850000000000001,0.39300000000000007,0.4524333333333333,0.5165,0.43293712790156896,0.51675,0.41099999999999987,,0.4779999999999997,0.5239999999999999,71.75,72.25,70.13657920401944,72.34166666666665,62.666666666666664,,58.0,75.0,-0.13333333333333333,3.0,0.03915504020756597,3.0,1.0,,1.0,3.0,-23.5,-23.583333333333343,,-26.0,-0.32525951557093424,-0.3259993088353878,,-0.3466666666666667,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-11-18,,North Florida,W,84.0,81.0,30.0,62.0,0.484,9.0,29.0,0.31,15.0,16.0,0.938,8.0,24.0,20.0,8.0,4.0,8.0,16.0,,32.0,58.0,0.552,7.0,18.0,0.389,10.0,18.0,0.556,6.0,28.0,15.0,5.0,3.0,12.0,15.0,3.0,3.0,1,4,82.5,1,0,1,71.7,63.0,71.97886049463736,63.2006664198445,67.0,63.0,56.0,68.0,71.8,90.0,68.29429791340152,90.49018881895596,58.333333333333336,90.0,60.0,102.0,9.833333333333334,0.09917405059452411,9.860050577797965,0.09883614286081671,8.666666666666666,0.09917405059452411,8.0,0.03941681436669969,7.5,-0.08019102877055523,7.542833600130324,-0.0776990820462814,6.333333333333333,-0.08019102877055523,10.0,0.010005049660817333,0.4532666666666667,0.4096666666666667,0.458407475680182,0.40821288411699375,0.42533333333333334,0.4096666666666667,0.3850000000000001,0.385,0.4524333333333333,0.5356666666666666,0.43293712790156896,0.5371192151055165,0.41099999999999987,0.5356666666666666,0.4779999999999997,0.5739999999999998,71.75,76.5,70.13657920401944,76.84542761940023,62.666666666666664,76.5,58.0,85.0,-0.13333333333333333,4.0,0.03915504020756597,4.0,1.0,4.0,1.0,4.0,-27.0,-27.289522399111455,-27.0,-34.0,-0.35294117647058826,-0.3551222661453705,-0.35294117647058826,-0.4,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-11-24,@,Ohio,L,77.0,96.0,31.0,62.0,0.5,11.0,32.0,0.344,4.0,4.0,1.0,4.0,24.0,15.0,1.0,3.0,13.0,12.0,,39.0,71.0,0.549,9.0,24.0,0.375,9.0,10.0,0.9,7.0,31.0,19.0,8.0,1.0,5.0,9.0,6.0,-19.0,0,5,86.5,0,1,-1,71.7,68.25,71.97886049463736,68.93164076951535,67.0,71.33333333333333,56.0,84.0,71.8,87.75,68.29429791340152,87.87529596744359,58.333333333333336,90.33333333333333,60.0,81.0,9.833333333333334,0.07109102251149607,9.860050577797965,0.0683040805309072,8.666666666666666,0.07899900238209279,8.0,0.007904209324682887,7.5,-0.07420812278764924,7.542833600130324,-0.07174735092926068,6.333333333333333,-0.06998192667953432,10.0,-0.05426510284462932,0.4532666666666667,0.42825,0.458407475680182,0.429094996300407,0.42533333333333334,0.4206666666666667,0.3850000000000001,0.484,0.4524333333333333,0.53975,0.43293712790156896,0.5412194136145024,0.41099999999999987,0.5499999999999999,0.4779999999999997,0.5519999999999999,71.75,78.0,70.13657920401944,78.40346836847947,62.666666666666664,80.83333333333333,58.0,82.5,-0.13333333333333333,1.25,0.03915504020756597,1.0076777864553286,1.0,0.5555555555555556,1.0,5.0,-19.5,-18.943655197928237,-19.0,3.0,-0.25,-0.2416175660609442,-0.2350515463917526,0.03636363636363636,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-11-27,,Morgan State,L,63.0,69.0,22.0,55.0,0.4,8.0,25.0,0.32,11.0,15.0,0.733,2.0,25.0,12.0,4.0,0.0,13.0,15.0,,27.0,51.0,0.529,5.0,11.0,0.455,10.0,13.0,0.769,2.0,32.0,10.0,6.0,3.0,16.0,16.0,3.0,-6.0,0,6,66.0,1,0,1,71.7,70.0,71.97886049463736,70.7673878375492,67.0,76.33333333333333,56.0,77.0,71.8,89.4,68.29429791340152,89.72386284211314,58.333333333333336,93.0,60.0,96.0,9.833333333333334,0.08076135218182567,9.860050577797965,0.07987589943878992,8.666666666666666,0.053287864970347265,8.0,0.11504706646753998,7.5,-0.06520221445288185,7.542833600130324,-0.06213806980836839,6.333333333333333,-0.023201781458727255,10.0,-0.032274362103888565,0.4532666666666667,0.4426,0.458407475680182,0.44522760132357697,0.42533333333333334,0.4563333333333333,0.3850000000000001,0.5,0.4524333333333333,0.5416,0.43293712790156896,0.5429896853930315,0.41099999999999987,0.5583333333333332,0.4779999999999997,0.5489999999999999,71.75,79.7,70.13657920401944,80.24562533983116,62.666666666666664,84.66666666666667,58.0,86.5,-0.13333333333333333,2.16,0.03915504020756597,1.9789886912158634,1.0,0.6666666666666666,1.0,6.0,-19.400000000000006,-18.95647500456394,-16.66666666666667,-19.0,-0.24341279799247184,-0.23623063468301742,-0.19685039370078744,-0.21965317919075145,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-12-02,,Loyola (MD),W (1 OT),80.0,75.0,26.0,59.0,0.441,11.0,27.0,0.407,17.0,20.0,0.85,5.0,28.0,10.0,6.0,8.0,13.0,22.0,,26.0,56.0,0.464,2.0,7.0,0.286,21.0,26.0,0.808,7.0,35.0,8.0,5.0,0.0,18.0,22.0,5.0,5.0,1,7,77.5,1,0,1,71.7,68.83333333333333,71.97886049463736,69.24782076255475,67.0,74.66666666666667,56.0,63.0,71.8,86.0,68.29429791340152,85.66956552875637,58.333333333333336,82.0,60.0,69.0,9.833333333333334,0.07872745387674102,9.860050577797965,0.07766038422490601,8.666666666666666,0.061475637896111435,8.0,0.06742801884849237,7.5,-0.06933831559226067,7.542833600130324,-0.06749458452165374,6.333333333333333,-0.057426801128278804,10.0,-0.09613305775606248,0.4532666666666667,0.4355,0.458407475680182,0.43637953357034276,0.42533333333333334,0.4613333333333334,0.3850000000000001,0.4,0.4524333333333333,0.5395,0.43293712790156896,0.5402528238177648,0.41099999999999987,0.5433333333333333,0.4779999999999997,0.5289999999999998,71.75,77.41666666666667,70.13657920401944,77.45869314565556,62.666666666666664,78.33333333333333,58.0,66.0,-0.13333333333333333,0.7777777777777777,0.03915504020756597,0.4964869258275334,1.0,0.7777777777777777,1.0,7.0,-17.16666666666667,-16.421744766201613,-7.333333333333329,-6.0,-0.22174381054897743,-0.2120064785410424,-0.09361702127659569,-0.09090909090909091,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-12-05,@,Pitt,L (1 OT),78.0,82.0,28.0,62.0,0.452,13.0,27.0,0.481,9.0,14.0,0.643,8.0,24.0,16.0,10.0,4.0,13.0,24.0,,26.0,55.0,0.473,7.0,18.0,0.389,23.0,34.0,0.676,11.0,39.0,13.0,6.0,5.0,16.0,14.0,3.0,-4.0,0,8,80.0,0,1,-1,71.7,70.42857142857143,71.97886049463736,71.10748020940231,67.0,73.33333333333333,56.0,80.0,71.8,84.42857142857143,68.29429791340152,83.82419466103399,58.333333333333336,80.0,60.0,75.0,9.833333333333334,0.08201316325108104,9.860050577797965,0.08180803448625262,8.666666666666666,0.09556654698702055,8.0,0.09897563789611141,7.5,-0.09017410829678196,7.542833600130324,-0.09318758263904539,6.333333333333333,-0.11352436210388855,10.0,-0.23352436210388855,0.4532666666666667,0.4362857142857143,0.458407475680182,0.43717867334052346,0.42533333333333334,0.44700000000000006,0.3850000000000001,0.44099999999999995,0.4524333333333333,0.5287142857142857,0.43293712790156896,0.527064401170599,0.41099999999999987,0.5139999999999999,0.4779999999999997,0.46399999999999986,71.75,77.42857142857143,70.13657920401944,77.46583743521815,62.666666666666664,76.66666666666667,58.0,77.5,-0.13333333333333333,0.16326530612244897,0.03915504020756597,0.017900035879191763,1.0,0.8888888888888888,1.0,8.0,-14.0,-12.716714451631674,-6.666666666666671,5.0,-0.18081180811808117,-0.16415900056933094,-0.08695652173913049,0.06451612903225806,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-12-09,@,Lehigh,L,60.0,75.0,19.0,57.0,0.333,9.0,36.0,0.25,13.0,15.0,0.867,5.0,22.0,12.0,6.0,4.0,8.0,15.0,,28.0,59.0,0.475,7.0,18.0,0.389,12.0,14.0,0.857,8.0,38.0,14.0,4.0,0.0,12.0,19.0,4.0,-15.0,0,9,67.5,0,1,-1,71.7,71.375,71.97886049463736,72.18296087229783,67.0,73.66666666666667,56.0,78.0,71.8,84.125,68.29429791340152,83.53955476983258,58.333333333333336,75.33333333333333,60.0,82.0,9.833333333333334,0.09628299341274893,9.860050577797965,0.09945608649134041,8.666666666666666,0.1208647781676046,8.0,0.18647563789611143,7.5,-0.08618409464475038,7.542833600130324,-0.08771044970497777,6.333333333333333,-0.12768365413928678,10.0,-0.057426801128278804,0.4532666666666667,0.43825,0.458407475680182,0.4394913326733946,0.42533333333333334,0.43100000000000005,0.3850000000000001,0.452,0.4524333333333333,0.5217499999999999,0.43293712790156896,0.5186284126240993,0.41099999999999987,0.4886666666666666,0.4779999999999997,0.4729999999999998,71.75,77.75,70.13657920401944,77.8612578210652,62.666666666666664,74.5,58.0,80.0,-0.13333333333333333,0.5625,0.03915504020756597,0.34559349047010934,1.0,1.0,1.0,9.0,-12.75,-11.35659389753475,-1.6666666666666572,-4.0,-0.1639871382636656,-0.145856799843044,-0.02237136465324372,-0.05,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
2017-12-18,@,American,W,59.0,56.0,23.0,58.0,0.397,6.0,23.0,0.261,7.0,13.0,0.538,6.0,31.0,14.0,10.0,4.0,9.0,13.0,,22.0,58.0,0.379,7.0,22.0,0.318,5.0,10.0,0.5,10.0,36.0,15.0,6.0,2.0,14.0,13.0,9.0,3.0,1,10,57.5,0,1,-1,71.7,70.11111111111111,71.97886049463736,70.44137128493095,67.0,72.66666666666667,56.0,60.0,71.8,83.11111111111111,68.29429791340152,82.31880065071633,58.333333333333336,77.33333333333333,60.0,75.0,9.833333333333334,0.10010479795950283,9.860050577797965,0.10396370932752663,8.666666666666666,0.1406040782630839,8.0,0.13647563789611145,7.5,-0.08090404124827358,7.542833600130324,-0.08065307796725366,6.333333333333333,-0.10662781037975061,10.0,-0.03352436210388854,0.4532666666666667,0.4265555555555556,0.458407475680182,0.4242680878421219,0.42533333333333334,0.4086666666666667,0.3850000000000001,0.333,0.4524333333333333,0.5165555555555554,0.43293712790156896,0.512391604516782,0.41099999999999987,0.4706666666666666,0.4779999999999997,0.47499999999999976,71.75,76.61111111111111,70.13657920401944,76.38008596782363,62.666666666666664,75.0,58.0,67.5,-0.13333333333333333,1.1111111111111112,0.03915504020756597,0.9665729577965774,1.0,1.1111111111111112,1.0,10.0,-13.0,-11.877429365785375,-4.666666666666657,-15.0,-0.1696881798404641,-0.15550426809926526,-0.062222222222222096,-0.2222222222222222,-0.09999999999999432,-0.0013937282229964365,3.684562581235838,0.05253410735242531,8.666666666666664,0.1382978723404255,-4.0,-0.06896551724137931,NEC
