Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Idaho,W,88.0,64.0,30.0,62.0,0.484,7.0,23.0,0.304,21.0,26.0,0.808,5.0,32.0,21.0,10.0,7.0,10.0,22.0,,22.0,58.0,0.379,4.0,19.0,0.211,16.0,21.0,0.762,7.0,34.0,16.0,4.0,2.0,17.0,24.0,,24.0,1,1,76.0,1,0,0,1,82.56756756756756,,81.89718108385333,,76.66666666666667,,68.0,,73.05405405405405,,74.85660652525587,,75.0,,69.0,,9.567567567567568,,9.492155491044073,,8.0,,7.0,,7.4324324324324325,,7.529910900348578,,7.0,,5.0,,0.47110810810810816,,0.4655028759354327,,0.47133333333333344,,0.41400000000000037,,0.43516216216216225,,0.4446886382135622,,0.47666666666666685,,0.5579999999999998,,77.8108108108108,,78.37689380455458,,75.83333333333333,,68.5,,0.02702702702702703,,-0.00716872309782503,,0.0,,0.0,,,,,,,,,,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-13,,Rhode Island,W,88.0,81.0,24.0,43.0,0.558,4.0,13.0,0.308,36.0,44.0,0.818,6.0,30.0,13.0,7.0,4.0,14.0,17.0,,31.0,70.0,0.443,9.0,22.0,0.409,10.0,18.0,0.556,16.0,29.0,17.0,5.0,1.0,14.0,28.0,3.0,7.0,1,2,84.5,1,0,0,1,82.56756756756756,88.0,81.89718108385333,88.0,76.66666666666667,,68.0,88.0,73.05405405405405,64.0,74.85660652525587,64.0,75.0,,69.0,64.0,9.567567567567568,-0.07488799846752492,9.492155491044073,-0.07488799846752492,8.0,,7.0,-0.07488799846752492,7.4324324324324325,-0.12602436210388857,7.529910900348578,-0.12602436210388857,7.0,,5.0,-0.12602436210388857,0.47110810810810816,0.484,0.4655028759354327,0.484,0.47133333333333344,,0.41400000000000037,0.484,0.43516216216216225,0.379,0.4446886382135622,0.379,0.47666666666666685,,0.5579999999999998,0.379,77.8108108108108,76.0,78.37689380455458,76.0,75.83333333333333,,68.5,76.0,0.02702702702702703,2.0,-0.00716872309782503,2.0,0.0,,0.0,2.0,24.0,24.0,,24.0,0.3157894736842105,0.3157894736842105,,0.3157894736842105,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-15,@,Santa Clara,W,93.0,63.0,36.0,66.0,0.545,15.0,30.0,0.5,6.0,10.0,0.6,12.0,43.0,27.0,3.0,5.0,11.0,17.0,,23.0,59.0,0.39,9.0,24.0,0.375,8.0,17.0,0.471,9.0,27.0,15.0,4.0,0.0,9.0,17.0,2.0,30.0,1,3,78.0,0,1,0,-1,82.56756756756756,88.0,81.89718108385333,88.0,76.66666666666667,,68.0,88.0,73.05405405405405,72.5,74.85660652525587,72.72972972972974,75.0,,69.0,81.0,9.567567567567568,-0.12602436210388857,9.492155491044073,-0.12740642598595245,8.0,,7.0,-0.1771607257402522,7.4324324324324325,-0.04455884486250927,7.529910900348578,-0.04262135207044382,7.0,,5.0,0.01980897122944475,0.47110810810810816,0.521,0.4655028759354327,0.522,0.47133333333333344,,0.41400000000000037,0.558,0.43516216216216225,0.41100000000000003,0.4446886382135622,0.41186486486486484,0.47666666666666685,,0.5579999999999998,0.44300000000000006,77.8108108108108,80.25,78.37689380455458,80.36486486486486,75.83333333333333,,68.5,84.5,0.02702702702702703,3.0,-0.00716872309782503,3.0,0.0,,0.0,3.0,15.5,15.27027027027026,,7.0,0.19314641744548286,0.19001177064065905,,0.08284023668639054,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-18,@,Pacific,W,89.0,74.0,27.0,67.0,0.403,17.0,34.0,0.5,18.0,20.0,0.9,12.0,40.0,17.0,4.0,4.0,10.0,21.0,,28.0,66.0,0.424,3.0,12.0,0.25,15.0,23.0,0.652,13.0,40.0,8.0,6.0,5.0,10.0,20.0,3.0,15.0,1,4,81.5,0,1,0,-1,82.56756756756756,89.66666666666667,81.89718108385333,89.75754625121714,76.66666666666667,89.66666666666667,68.0,93.0,73.05405405405405,69.33333333333333,74.85660652525587,69.30963972736126,75.0,69.33333333333333,69.0,63.0,9.567567567567568,-0.023561536825078166,9.492155491044073,-0.018962576052533098,8.0,-0.023561536825078166,7.0,0.17034660563804693,7.4324324324324325,0.003783330203803781,7.529910900348578,0.007755192833524438,7.0,0.003783330203803781,5.0,0.11504706646753998,0.47110810810810816,0.529,0.4655028759354327,0.5300847127555989,0.47133333333333344,0.529,0.41400000000000037,0.5450000000000002,0.43516216216216225,0.4040000000000001,0.4446886382135622,0.4041791626095423,0.47666666666666685,0.4040000000000001,0.5579999999999998,0.39000000000000007,77.8108108108108,79.5,78.37689380455458,79.53359298928919,75.83333333333333,79.5,68.5,78.0,0.02702702702702703,0.4444444444444444,-0.00716872309782503,0.35279204421230487,0.0,0.4444444444444444,0.0,4.0,20.333333333333343,20.447906523855877,20.333333333333343,30.0,0.2557651991614257,0.25709773386711704,0.2557651991614257,0.38461538461538464,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-21,,Davidson,W,81.0,68.0,30.0,54.0,0.556,9.0,20.0,0.45,12.0,17.0,0.706,2.0,28.0,20.0,11.0,4.0,10.0,15.0,,23.0,56.0,0.411,13.0,36.0,0.361,9.0,11.0,0.818,5.0,27.0,18.0,5.0,0.0,15.0,16.0,3.0,13.0,1,5,74.5,1,0,0,1,82.56756756756756,89.5,81.89718108385333,89.55253501676859,76.66666666666667,90.0,68.0,89.0,73.05405405405405,70.5,74.85660652525587,70.57897021108701,75.0,72.66666666666667,69.0,74.0,9.567567567567568,0.04681083342683767,9.492155491044073,0.05593401339711185,8.0,0.08647563789611146,7.0,0.25950934576127993,7.4324324324324325,-0.04756691529537793,7.529910900348578,-0.0488963159685506,7.0,-0.024533536415815183,5.0,-0.19190274048226694,0.47110810810810816,0.49750000000000005,0.4655028759354327,0.49569236535805883,0.47133333333333344,0.5020000000000001,0.41400000000000037,0.40300000000000014,0.43516216216216225,0.40900000000000003,0.4446886382135622,0.4095431840599723,0.47666666666666685,0.41900000000000004,0.5579999999999998,0.42400000000000004,77.8108108108108,80.0,78.37689380455458,80.0657526139278,75.83333333333333,81.33333333333333,68.5,81.5,0.02702702702702703,0.0,-0.00716872309782503,0.014587884277265675,0.0,0.5555555555555556,0.0,5.0,19.0,18.973564805681576,17.33333333333333,15.0,0.2375,0.23697478867364122,0.21311475409836061,0.18404907975460122,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-25,@,Hawaii,W,67.0,54.0,22.0,50.0,0.44,5.0,17.0,0.294,18.0,29.0,0.621,6.0,33.0,8.0,7.0,5.0,11.0,23.0,,20.0,52.0,0.385,3.0,16.0,0.188,11.0,21.0,0.524,6.0,33.0,9.0,4.0,3.0,17.0,21.0,4.0,13.0,1,6,60.5,0,1,0,-1,82.56756756756756,87.8,81.89718108385333,87.6522519696316,76.66666666666667,87.66666666666667,68.0,81.0,73.05405405405405,70.0,74.85660652525587,70.00595023962929,75.0,68.33333333333333,69.0,68.0,9.567567567567568,0.04182871306695429,9.492155491044073,0.04851657862286157,8.0,0.15415624626113045,7.0,0.01980897122944475,7.4324324324324325,0.012189923610397113,7.529910900348578,0.01777165213455756,7.0,0.05232929643269685,5.0,0.2600050496608173,0.47110810810810816,0.5092000000000001,0.4655028759354327,0.5090920854993172,0.47133333333333344,0.5013333333333334,0.41400000000000037,0.5560000000000002,0.43516216216216225,0.40940000000000004,0.4446886382135622,0.4098668731916982,0.47666666666666685,0.4083333333333334,0.5579999999999998,0.411,77.8108108108108,78.9,78.37689380455458,78.82910110463044,75.83333333333333,78.0,68.5,74.5,0.02702702702702703,0.24000000000000005,-0.00716872309782503,0.1947810482533845,0.0,0.6666666666666666,0.0,6.0,17.799999999999997,17.64630173000232,19.333333333333343,13.0,0.22560202788339664,0.22385516874764633,0.24786324786324798,0.174496644295302,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-11-29,,Illinois State,W,98.0,68.0,35.0,62.0,0.565,14.0,29.0,0.483,14.0,21.0,0.667,10.0,40.0,25.0,8.0,3.0,16.0,14.0,,24.0,56.0,0.429,12.0,33.0,0.364,8.0,15.0,0.533,3.0,22.0,14.0,5.0,1.0,20.0,20.0,4.0,30.0,1,7,83.0,1,0,0,1,82.56756756756756,84.33333333333333,81.89718108385333,83.72879284762519,76.66666666666667,79.0,68.0,67.0,73.05405405405405,67.33333333333333,74.85660652525587,66.96518298739949,75.0,65.33333333333333,69.0,54.0,9.567567567567568,0.02442030192773198,9.492155491044073,0.02751339666199859,8.0,0.07888070118725066,7.0,-0.08964376508896318,7.4324324324324325,-0.009068916559334061,7.529910900348578,-0.007448846806663467,7.0,-0.022708035573276275,5.0,-0.1468576954372219,0.47110810810810816,0.4976666666666667,0.4655028759354327,0.4959661574644783,0.47133333333333344,0.4663333333333333,0.41400000000000037,0.44000000000000017,0.43516216216216225,0.4053333333333334,0.4446886382135622,0.40514273169840204,0.47666666666666685,0.40666666666666673,0.5579999999999998,0.38500000000000006,77.8108108108108,75.83333333333333,78.37689380455458,75.34698791751234,75.83333333333333,72.16666666666667,68.5,60.5,0.02702702702702703,0.0,-0.00716872309782503,0.013570726665315253,0.0,0.7777777777777777,0.0,7.0,17.0,16.7636098602257,13.666666666666671,13.0,0.22417582417582418,0.2224854678806538,0.1893764434180139,0.21487603305785125,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-12-02,@,UC-Irvine,W,76.0,65.0,26.0,57.0,0.456,10.0,22.0,0.455,14.0,21.0,0.667,6.0,30.0,17.0,3.0,3.0,5.0,14.0,,28.0,65.0,0.431,4.0,15.0,0.267,5.0,11.0,0.455,18.0,45.0,11.0,3.0,4.0,12.0,15.0,3.0,11.0,1,8,70.5,0,1,0,-1,82.56756756756756,86.28571428571429,81.89718108385333,86.11259346636945,76.66666666666667,82.0,68.0,98.0,73.05405405405405,67.42857142857143,74.85660652525587,67.13803433827584,75.0,63.333333333333336,69.0,68.0,9.567567567567568,0.03912464451862796,9.492155491044073,0.044153030337832855,8.0,0.027939052530257802,7.0,0.11504706646753998,7.4324324324324325,0.023340044675772442,7.529910900348578,0.030335222345730883,7.0,0.12858090105400616,5.0,0.2158874026019938,0.47110810810810816,0.5072857142857143,0.4655028759354327,0.5074972714615927,0.47133333333333344,0.5203333333333333,0.41400000000000037,0.5650000000000002,0.43516216216216225,0.40871428571428575,0.4446886382135622,0.4091277464439439,0.47666666666666685,0.40833333333333344,0.5579999999999998,0.42900000000000005,77.8108108108108,76.85714285714286,78.37689380455458,76.62531390232263,75.83333333333333,72.66666666666667,68.5,83.0,0.02702702702702703,0.16326530612244897,-0.00716872309782503,0.1359496774011093,0.0,0.8888888888888888,0.0,8.0,18.85714285714286,18.974559128093603,18.666666666666664,30.0,0.24535315985130116,0.2476278159497165,0.2568807339449541,0.3614457831325301,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-12-05,@,Texas Tech,L (1 OT),76.0,82.0,25.0,59.0,0.424,12.0,30.0,0.4,14.0,17.0,0.824,4.0,31.0,13.0,8.0,2.0,20.0,27.0,,26.0,62.0,0.419,4.0,16.0,0.25,26.0,38.0,0.684,9.0,34.0,8.0,10.0,5.0,12.0,14.0,3.0,-6.0,0,9,79.0,0,1,0,-1,82.56756756756756,85.0,81.89718108385333,84.59683825622004,76.66666666666667,80.33333333333333,68.0,76.0,73.05405405405405,67.125,74.85660652525587,66.81756890094788,75.0,62.333333333333336,69.0,65.0,9.567567567567568,0.04382857907258203,9.492155491044073,0.049143310717054356,8.0,0.04747148851851807,7.0,0.0812124800013746,7.4324324324324325,0.004911392086055566,7.529910900348578,0.007115724112989219,7.0,-0.008711527879289638,5.0,-0.12890897748850394,0.47110810810810816,0.5008750000000001,0.4655028759354327,0.4997784545442533,0.47133333333333344,0.48699999999999993,0.41400000000000037,0.4560000000000002,0.43516216216216225,0.41150000000000003,0.4446886382135622,0.41240613219093897,0.47666666666666685,0.4150000000000001,0.5579999999999998,0.4310000000000001,77.8108108108108,76.0625,78.37689380455458,75.70720357858394,75.83333333333333,71.33333333333333,68.5,70.5,0.02702702702702703,0.0,-0.00716872309782503,0.013736306873971448,0.0,1.0,0.0,9.0,17.875,17.779269355272163,17.999999999999993,11.0,0.23500410846343467,0.23484250526856817,0.25233644859813076,0.15602836879432624,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
2017-12-09,N,TCU,L,80.0,84.0,27.0,59.0,0.458,6.0,18.0,0.333,20.0,30.0,0.667,13.0,33.0,11.0,4.0,3.0,10.0,18.0,,30.0,54.0,0.556,10.0,18.0,0.556,14.0,21.0,0.667,4.0,23.0,10.0,6.0,4.0,11.0,21.0,4.0,-4.0,0,10,82.0,0,0,1,0,82.56756756756756,84.0,81.89718108385333,83.42248922756131,76.66666666666667,83.33333333333333,68.0,76.0,73.05405405405405,68.77777777777777,74.85660652525587,68.89152593985688,75.0,71.66666666666667,69.0,82.0,9.567567567567568,0.0555232569437305,9.492155491044073,0.06295912744688564,8.0,0.11847563789611149,7.0,0.1601598484224272,7.4324324324324325,-0.017886236094195485,7.529910900348578,-0.02122431469356434,7.0,-0.034454594662028104,5.0,-0.16718289868925443,0.47110810810810816,0.49233333333333346,0.4655028759354327,0.48942693322501524,0.47133333333333344,0.48166666666666663,0.41400000000000037,0.4240000000000001,0.43516216216216225,0.4123333333333334,0.4446886382135622,0.41330687058171567,0.47666666666666685,0.42633333333333345,0.5579999999999998,0.4190000000000001,77.8108108108108,76.38888888888889,78.37689380455458,76.1570075837091,75.83333333333333,77.5,68.5,79.0,0.02702702702702703,0.12345679012345678,-0.00716872309782503,0.2901335539453478,0.0,1.1111111111111112,0.0,10.0,15.222222222222229,14.530963287704438,11.666666666666657,-6.0,0.19927272727272735,0.19080270809921876,0.15053763440860202,-0.0759493670886076,9.513513513513516,0.12226467523445644,7.040574558597456,0.08982972170540801,1.6666666666666714,0.021978021978022042,-1.0,-0.014598540145985401,MWC
