Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-11,@,DePaul,W,72.0,58.0,25.0,53.0,0.472,12.0,27.0,0.444,10.0,16.0,0.625,6.0,37.0,10.0,1.0,3.0,8.0,15.0,,22.0,65.0,0.338,5.0,22.0,0.227,9.0,16.0,0.563,10.0,31.0,9.0,4.0,2.0,4.0,12.0,,14.0,1,1,65.0,0,1,0,-1,74.71428571428571,,72.91922714788025,,72.33333333333333,,63.0,,69.0,,70.06656606330483,,74.66666666666667,,73.0,,8.314285714285715,,8.063567499033098,,5.333333333333333,,4.0,,7.9714285714285715,,7.995440515216353,,7.666666666666667,,9.0,,0.44308571428571425,,0.4292233126260518,,0.4163333333333333,,0.3830000000000002,,0.4280000000000001,,0.4308000303690101,,0.4110000000000001,,0.37899999999999984,,71.85714285714286,,71.49289660559256,,73.5,,68.0,,0.14285714285714285,,0.1409144629755803,,0.6666666666666666,,1.0,,,,,,,,,,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-11-13,,Mount St. Mary's,W,88.0,62.0,33.0,63.0,0.524,4.0,12.0,0.333,18.0,19.0,0.947,11.0,37.0,17.0,8.0,6.0,5.0,9.0,,24.0,61.0,0.393,11.0,35.0,0.314,3.0,4.0,0.75,7.0,27.0,11.0,4.0,1.0,11.0,14.0,2.0,26.0,1,2,75.0,1,0,0,1,74.71428571428571,72.0,72.91922714788025,72.0,72.33333333333333,,63.0,72.0,69.0,58.0,70.06656606330483,58.0,74.66666666666667,,73.0,58.0,8.314285714285715,0.18647563789611143,8.063567499033098,0.18647563789611143,5.333333333333333,,4.0,0.18647563789611143,7.9714285714285715,-0.054903672448716134,7.995440515216353,-0.054903672448716134,7.666666666666667,,9.0,-0.054903672448716134,0.44308571428571425,0.472,0.4292233126260518,0.472,0.4163333333333333,,0.3830000000000002,0.472,0.4280000000000001,0.338,0.4308000303690101,0.338,0.4110000000000001,,0.37899999999999984,0.338,71.85714285714286,65.0,71.49289660559256,65.0,73.5,,68.0,65.0,0.14285714285714285,2.0,0.1409144629755803,2.0,0.6666666666666666,,1.0,2.0,14.0,14.0,,14.0,0.2153846153846154,0.2153846153846154,,0.2153846153846154,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-11-16,,Chicago State,W,105.0,66.0,36.0,58.0,0.621,10.0,22.0,0.455,23.0,30.0,0.767,12.0,37.0,18.0,9.0,8.0,12.0,18.0,,22.0,61.0,0.361,6.0,16.0,0.375,16.0,21.0,0.762,11.0,21.0,13.0,9.0,2.0,15.0,21.0,3.0,39.0,1,3,85.5,1,0,0,1,74.71428571428571,80.0,72.91922714788025,80.22857142857143,72.33333333333333,,63.0,88.0,69.0,60.0,70.06656606330483,60.05714285714286,74.66666666666667,,73.0,62.0,8.314285714285715,-0.013524362103888576,8.063567499033098,-0.018652567232093742,5.333333333333333,,4.0,-0.1771607257402522,7.9714285714285715,0.08647563789611146,7.995440515216353,0.09037668451837594,7.666666666666667,,9.0,0.21873370241224044,0.44308571428571425,0.498,0.4292233126260518,0.49874285714285715,0.4163333333333333,,0.3830000000000002,0.524,0.4280000000000001,0.36550000000000005,0.4308000303690101,0.3662857142857143,0.4110000000000001,,0.37899999999999984,0.39300000000000007,71.85714285714286,70.0,71.49289660559256,70.14285714285714,73.5,,68.0,75.0,0.14285714285714285,0.0,0.1409144629755803,0.002448979591836737,0.6666666666666666,,1.0,3.0,20.0,20.17142857142857,,26.0,0.2857142857142857,0.28757637474541753,,0.3466666666666667,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-11-21,N,LSU,W,92.0,53.0,33.0,64.0,0.516,15.0,32.0,0.469,11.0,17.0,0.647,12.0,34.0,18.0,12.0,2.0,5.0,10.0,,19.0,52.0,0.365,6.0,23.0,0.261,9.0,12.0,0.75,10.0,31.0,9.0,2.0,4.0,17.0,15.0,5.0,39.0,1,4,72.5,0,0,1,0,74.71428571428571,88.33333333333333,72.91922714788025,88.96191512513602,72.33333333333333,88.33333333333333,63.0,105.0,69.0,62.0,70.06656606330483,62.152339499455934,74.66666666666667,62.0,73.0,66.0,8.314285714285715,-0.01918473946237914,8.063567499033098,-0.02246315558693568,5.333333333333333,-0.01918473946237914,4.0,-0.027810076389602867,7.9714285714285715,0.04131434757353081,7.995440515216353,0.04126747234409628,7.666666666666667,0.04131434757353081,9.0,-0.04079708937661586,0.44308571428571425,0.539,0.4292233126260518,0.5418454842219804,0.4163333333333333,0.539,0.3830000000000002,0.621,0.4280000000000001,0.36400000000000005,0.4308000303690101,0.3644221980413493,0.4110000000000001,0.36400000000000005,0.37899999999999984,0.361,71.85714285714286,75.16666666666667,71.49289660559256,75.55712731229598,73.5,75.16666666666667,68.0,85.5,0.14285714285714285,0.4444444444444444,0.1409144629755803,0.5507287217856378,0.6666666666666666,0.4444444444444444,1.0,4.0,26.33333333333333,26.809575625680083,26.33333333333333,39.0,0.35033259423503316,0.3548252372654348,0.35033259423503316,0.45614035087719296,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-11-22,N,Wichita State,W,67.0,66.0,25.0,51.0,0.49,4.0,12.0,0.333,13.0,17.0,0.765,7.0,28.0,13.0,5.0,5.0,9.0,14.0,,27.0,59.0,0.458,8.0,23.0,0.348,4.0,5.0,0.8,9.0,27.0,17.0,3.0,4.0,10.0,15.0,1.0,1.0,1,5,66.5,0,0,1,0,74.71428571428571,89.25,72.91922714788025,89.78774178513166,72.33333333333333,95.0,63.0,92.0,69.0,59.75,70.06656606330483,59.66450710790026,74.66666666666667,60.333333333333336,73.0,53.0,8.314285714285715,0.031013453022161852,8.063567499033098,0.032703516276257616,5.333333333333333,-0.008261204209151718,4.0,0.17560607267872014,7.9714285714285715,0.03794007304255492,7.995440515216353,0.037604688549887466,7.666666666666667,0.06769110750937107,9.0,0.026098279405545377,0.44308571428571425,0.53325,0.4292233126260518,0.5348200419482638,0.4163333333333333,0.5536666666666666,0.3830000000000002,0.516,0.4280000000000001,0.36425,0.4308000303690101,0.36457925891400605,0.4110000000000001,0.373,0.37899999999999984,0.365,71.85714285714286,74.5,71.49289660559256,74.72612444651595,73.5,77.66666666666667,68.0,72.5,0.14285714285714285,0.3125,0.1409144629755803,0.36502244295656905,0.6666666666666666,2.2222222222222223,1.0,0.0,29.5,30.123234677231395,34.666666666666664,39.0,0.3959731543624161,0.40311517424928983,0.446351931330472,0.5379310344827586,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-11-30,@,Michigan State,L,63.0,81.0,24.0,54.0,0.444,8.0,18.0,0.444,7.0,10.0,0.7,3.0,18.0,16.0,8.0,6.0,10.0,15.0,,31.0,60.0,0.517,9.0,21.0,0.429,10.0,14.0,0.714,13.0,39.0,21.0,4.0,6.0,13.0,14.0,8.0,-18.0,0,6,72.0,0,1,0,-1,74.71428571428571,84.8,72.91922714788025,84.69489537183502,72.33333333333333,88.0,63.0,67.0,69.0,61.0,70.06656606330483,61.08043030714632,74.66666666666667,61.666666666666664,73.0,66.0,8.314285714285715,0.004871864311205787,8.063567499033098,0.003156466702537164,5.333333333333333,0.016021092441565965,4.0,-0.13441988449194828,7.9714285714285715,0.04057399855184918,7.995440515216353,0.04062509337124831,7.666666666666667,0.010799962220435777,9.0,0.05011200153247508,0.44308571428571425,0.5246000000000001,0.4292233126260518,0.5248031832339459,0.4163333333333333,0.5423333333333332,0.3830000000000002,0.49,0.4280000000000001,0.383,0.4308000303690101,0.38545791774090876,0.4110000000000001,0.39466666666666667,0.37899999999999984,0.45799999999999996,71.85714285714286,72.9,71.49289660559256,72.88766283949066,73.5,74.83333333333333,68.0,66.5,0.14285714285714285,0.24000000000000005,0.1409144629755803,0.2641157085567155,0.6666666666666666,0.6666666666666666,1.0,0.0,23.799999999999997,23.614465064688694,26.333333333333336,1.0,0.326474622770919,0.3239843911128172,0.35189309576837424,0.015037593984962405,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-12-03,,St. Francis (NY),W,71.0,53.0,24.0,58.0,0.414,3.0,14.0,0.214,20.0,29.0,0.69,13.0,41.0,10.0,9.0,6.0,10.0,10.0,,19.0,60.0,0.317,6.0,23.0,0.261,9.0,12.0,0.75,12.0,37.0,10.0,2.0,3.0,15.0,21.0,3.0,18.0,1,7,62.0,1,0,0,1,74.71428571428571,81.16666666666667,72.91922714788025,80.54346121459433,72.33333333333333,74.0,63.0,63.0,69.0,64.33333333333333,70.06656606330483,64.8921464091657,74.66666666666667,66.66666666666667,73.0,81.0,8.314285714285715,0.012964344261614469,8.063567499033098,0.012776346449918763,5.333333333333333,0.05134050276097629,4.0,0.06742801884849237,7.9714285714285715,0.0362165705385985,7.995440515216353,0.035653068397968946,7.666666666666667,0.03147563789611141,9.0,0.01980897122944475,0.44308571428571425,0.5111666666666667,0.4292233126260518,0.5093410623459756,0.4163333333333333,0.4833333333333332,0.3830000000000002,0.44399999999999995,0.4280000000000001,0.4053333333333333,0.4308000303690101,0.41062919808337606,0.4110000000000001,0.4466666666666667,0.37899999999999984,0.5169999999999999,71.85714285714286,72.75,71.49289660559256,72.71780381188,73.5,70.33333333333333,68.0,72.0,0.14285714285714285,0.0,0.1409144629755803,0.0032948452766911407,0.6666666666666666,0.7777777777777777,1.0,7.0,16.833333333333343,15.651314805428626,7.333333333333329,-18.0,0.2313860252004583,0.215233601470121,0.10426540284360183,-0.25,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-12-05,,Ball State,L,77.0,80.0,26.0,54.0,0.481,6.0,17.0,0.353,19.0,26.0,0.731,4.0,24.0,16.0,9.0,2.0,10.0,13.0,,29.0,63.0,0.46,8.0,24.0,0.333,14.0,16.0,0.875,12.0,36.0,12.0,4.0,3.0,14.0,21.0,2.0,-3.0,0,8,78.5,1,0,0,1,74.71428571428571,79.71428571428571,72.91922714788025,78.93561419903062,72.33333333333333,67.0,63.0,71.0,69.0,62.714285714285715,70.06656606330483,62.88860160684773,74.66666666666667,66.66666666666667,73.0,53.0,8.314285714285715,-0.012449093286684254,8.063567499033098,-0.01746175021277696,5.333333333333333,-0.08964376508896318,4.0,-0.18676379872360688,7.9714285714285715,0.034995000082899574,7.995440515216353,0.03429643081763084,7.666666666666667,0.03147563789611141,9.0,0.026098279405545377,0.44308571428571425,0.49728571428571433,0.4292233126260518,0.49327835311431606,0.4163333333333333,0.4493333333333332,0.3830000000000002,0.41399999999999987,0.4280000000000001,0.39271428571428574,0.4308000303690101,0.3948548974053618,0.4110000000000001,0.4306666666666667,0.37899999999999984,0.31699999999999984,71.85714285714286,71.21428571428571,71.49289660559256,70.91210790293917,73.5,66.83333333333333,68.0,62.0,0.14285714285714285,0.16326530612244897,0.1409144629755803,0.18104797892081162,0.6666666666666666,0.0,1.0,8.0,16.999999999999993,16.047012592182895,0.3333333333333286,18.0,0.23871614844533592,0.22629439550925798,0.004987531172069755,0.2903225806451613,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-12-09,@,Delaware,W,92.0,68.0,33.0,58.0,0.569,13.0,23.0,0.565,13.0,14.0,0.929,5.0,35.0,14.0,3.0,3.0,7.0,14.0,,25.0,64.0,0.391,9.0,22.0,0.409,9.0,13.0,0.692,10.0,29.0,16.0,5.0,0.0,7.0,9.0,4.0,24.0,1,9,80.0,0,1,0,-1,74.71428571428571,79.375,72.91922714788025,78.64259682395998,72.33333333333333,70.33333333333333,63.0,77.0,69.0,64.875,70.06656606330483,65.47896131978051,74.66666666666667,71.33333333333333,73.0,80.0,8.314285714285715,-0.020610976277116888,8.063567499033098,-0.026695333086376782,5.333333333333333,-0.07181820096644778,4.0,-0.0797581283376548,7.9714285714285715,0.027516100323857096,7.995440515216353,0.02545180320431356,7.666666666666667,0.008905544438167545,9.0,-0.013524362103888576,0.44308571428571425,0.49525,0.4292233126260518,0.49141963002706596,0.4163333333333333,0.44633333333333325,0.3830000000000002,0.4809999999999998,0.4280000000000001,0.401125,0.4308000303690101,0.40471670094583423,0.4110000000000001,0.43133333333333335,0.37899999999999984,0.4599999999999999,71.85714285714286,72.125,71.49289660559256,72.06077907187023,73.5,70.83333333333333,68.0,78.5,0.14285714285714285,0.5625,0.1409144629755803,0.7007940906446506,0.6666666666666666,1.0,1.0,9.0,14.5,13.163635504179467,-1.0,-3.0,0.20103986135181975,0.1826740658888886,-0.01411764705882353,-0.03821656050955414,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
2017-12-16,N,Indiana,L (1 OT),77.0,80.0,25.0,61.0,0.41,8.0,24.0,0.333,19.0,26.0,0.731,8.0,29.0,14.0,6.0,2.0,9.0,21.0,,27.0,55.0,0.491,8.0,21.0,0.381,18.0,25.0,0.72,9.0,40.0,16.0,1.0,5.0,14.0,23.0,7.0,-3.0,0,10,78.5,0,0,1,0,74.71428571428571,80.77777777777777,72.91922714788025,80.48784500566747,72.33333333333333,80.0,63.0,92.0,69.0,65.22222222222223,70.06656606330483,65.82722826803237,74.66666666666667,67.0,73.0,68.0,8.314285714285715,-0.00403330295670834,8.063567499033098,-0.005049361050990686,5.333333333333333,-0.03852436210388854,4.0,0.1103886813743723,7.9714285714285715,0.034005450502584966,7.995440515216353,0.033740429877948286,7.666666666666667,0.029759219985663665,9.0,0.08353446142552318,0.44308571428571425,0.5034444444444445,0.4292233126260518,0.5021369105300261,0.4163333333333333,0.48799999999999993,0.3830000000000002,0.5689999999999998,0.4280000000000001,0.4,0.4308000303690101,0.4028218178502392,0.4110000000000001,0.38933333333333336,0.37899999999999984,0.39099999999999996,71.85714285714286,73.0,71.49289660559256,73.15753663684991,73.5,73.5,68.0,80.0,0.14285714285714285,0.12345679012345678,0.1409144629755803,0.10475963715019829,0.6666666666666666,1.1111111111111112,1.0,10.0,15.555555555555543,14.660616737635095,13.0,24.0,0.21308980213089784,0.2003979003613751,0.17687074829931973,0.3,5.714285714285708,0.07952286282306154,2.8526610845754163,0.039901321949686756,-2.333333333333343,-0.031746031746031876,-10.0,-0.14705882352941177,ACC
