Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Holy Cross,L,64.0,69.0,25.0,57.0,0.439,4.0,20.0,0.2,10.0,18.0,0.556,16.0,42.0,14.0,4.0,2.0,19.0,14.0,,25.0,52.0,0.481,9.0,23.0,0.391,10.0,15.0,0.667,3.0,23.0,11.0,5.0,2.0,14.0,23.0,,-5.0,0,1,66.5,1,0,0,1,68.16666666666667,,70.48076868842463,,80.0,,77.0,,72.56666666666666,,73.4095298138928,,82.0,,88.0,,5.733333333333333,,6.279156697332951,,8.0,,6.0,,8.0,,8.112534468320796,,9.333333333333334,,8.0,,0.4372,,0.4473219890065404,,0.45733333333333315,,0.4079999999999998,,0.4401666666666667,,0.4454373723766021,,0.471333333333333,,0.5080000000000002,,70.36666666666666,,71.9451492511587,,81.0,,82.5,,-0.06666666666666667,,-0.08719823701941859,,-0.3333333333333333,,-1.0,,,,,,,,,,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-11-14,@,Boston College,L,53.0,73.0,21.0,60.0,0.35,2.0,18.0,0.111,9.0,17.0,0.529,11.0,44.0,8.0,3.0,2.0,19.0,19.0,,27.0,68.0,0.397,9.0,23.0,0.391,10.0,19.0,0.526,8.0,34.0,14.0,8.0,4.0,5.0,14.0,4.0,-20.0,0,2,63.0,0,1,0,-1,68.16666666666667,64.0,70.48076868842463,64.0,80.0,,77.0,64.0,72.56666666666666,69.0,73.4095298138928,69.0,82.0,,88.0,69.0,5.733333333333333,-0.12602436210388857,6.279156697332951,-0.12602436210388857,8.0,,6.0,-0.12602436210388857,8.0,0.07777998572219841,8.112534468320796,0.07777998572219841,9.333333333333334,,8.0,0.07777998572219841,0.4372,0.439,0.4473219890065404,0.439,0.45733333333333315,,0.4079999999999998,0.439,0.4401666666666667,0.481,0.4454373723766021,0.481,0.471333333333333,,0.5080000000000002,0.481,70.36666666666666,66.5,71.9451492511587,66.5,81.0,,82.5,66.5,-0.06666666666666667,2.0,-0.08719823701941859,2.0,-0.3333333333333333,,-1.0,2.0,-5.0,-5.0,,-5.0,-0.07518796992481203,-0.07518796992481203,,-0.07518796992481203,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-11-18,N,St. Peter's,L,61.0,70.0,17.0,45.0,0.378,4.0,20.0,0.2,23.0,29.0,0.793,9.0,29.0,9.0,4.0,0.0,15.0,17.0,,25.0,51.0,0.49,11.0,30.0,0.367,9.0,17.0,0.529,5.0,22.0,9.0,8.0,3.0,8.0,19.0,4.0,-9.0,0,3,65.5,0,0,1,0,68.16666666666667,58.5,70.48076868842463,58.31666666666667,80.0,,77.0,53.0,72.56666666666666,71.0,73.4095298138928,71.06666666666668,82.0,,88.0,73.0,5.733333333333333,-0.1596782082577347,6.279156697332951,-0.16090932923735526,8.0,,6.0,-0.20031681493407724,8.0,0.0667573280369565,8.112534468320796,0.06640059099179618,9.333333333333334,,8.0,0.05633865159474155,0.4372,0.39449999999999996,0.4473219890065404,0.3930166666666666,0.45733333333333315,,0.4079999999999998,0.3499999999999999,0.4401666666666667,0.439,0.4454373723766021,0.43760000000000004,0.471333333333333,,0.5080000000000002,0.397,70.36666666666666,64.75,71.9451492511587,64.69166666666666,81.0,,82.5,63.0,-0.06666666666666667,0.0,-0.08719823701941859,0.0033333333333333275,-0.3333333333333333,,-1.0,3.0,-12.5,-12.750000000000007,,-20.0,-0.19305019305019305,-0.19708875434754616,,-0.31746031746031744,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-11-19,N,Maine,W (1 OT),69.0,68.0,25.0,67.0,0.373,9.0,29.0,0.31,10.0,16.0,0.625,12.0,44.0,11.0,6.0,5.0,18.0,21.0,,23.0,61.0,0.377,4.0,26.0,0.154,18.0,26.0,0.692,6.0,35.0,9.0,3.0,2.0,12.0,16.0,1.0,1.0,1,4,68.5,0,0,1,0,68.16666666666667,59.333333333333336,70.48076868842463,59.27138097001112,80.0,59.333333333333336,77.0,61.0,72.56666666666666,70.66666666666667,73.4095298138928,70.68715290633101,82.0,70.66666666666667,88.0,70.0,5.733333333333333,-0.14498503626119194,6.279156697332951,-0.14475890224330845,8.0,-0.14498503626119194,6.0,-0.11680305062847873,8.0,0.09685299638667744,8.112534468320796,0.09864056043154396,9.333333333333334,0.09685299638667744,8.0,0.15790420932468285,0.4372,0.38899999999999996,0.4473219890065404,0.38767382450944093,0.45733333333333315,0.38899999999999996,0.4079999999999998,0.378,0.4401666666666667,0.45599999999999996,0.4454373723766021,0.4562436134764903,0.471333333333333,0.45599999999999996,0.5080000000000002,0.49,70.36666666666666,65.0,71.9451492511587,64.97926693817105,81.0,65.0,82.5,65.5,-0.06666666666666667,0.0,-0.08719823701941859,0.0018444496745278266,-0.3333333333333333,0.0,-1.0,0.0,-11.333333333333336,-11.415771936319885,-11.333333333333336,-9.0,-0.1743589743589744,-0.17568329829239532,-0.1743589743589744,-0.13740458015267176,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-11-24,@,Northwestern,L,50.0,81.0,18.0,42.0,0.429,4.0,16.0,0.25,10.0,21.0,0.476,5.0,27.0,16.0,5.0,0.0,21.0,20.0,,27.0,57.0,0.474,9.0,27.0,0.333,18.0,21.0,0.857,7.0,28.0,19.0,9.0,2.0,10.0,15.0,5.0,-31.0,0,5,65.5,0,1,0,-1,68.16666666666667,61.75,70.48076868842463,61.95197003329635,80.0,61.0,77.0,69.0,72.56666666666666,70.0,73.4095298138928,69.94674435812061,82.0,70.33333333333333,88.0,68.0,5.733333333333333,-0.08275513133465778,6.279156697332951,-0.07646547191963593,8.0,-0.06762272275962627,6.0,0.07777998572219841,8.0,0.04004706646754003,8.112534468320796,0.03550564619215407,9.333333333333334,0.02770786538426312,8.0,-0.13705377386859444,0.4372,0.38499999999999995,0.4473219890065404,0.38363065112837585,0.45733333333333315,0.36699999999999994,0.4079999999999998,0.373,0.4401666666666667,0.43624999999999997,0.4454373723766021,0.4344091102478728,0.471333333333333,0.4213333333333333,0.5080000000000002,0.377,70.36666666666666,65.875,71.9451492511587,65.94935719570847,81.0,65.66666666666667,82.5,68.5,-0.06666666666666667,0.0,-0.08719823701941859,0.0012100683815642267,-0.3333333333333333,0.5555555555555556,-1.0,0.0,-8.25,-7.994774324824263,-9.333333333333329,1.0,-0.1252371916508539,-0.12122596284144689,-0.1421319796954314,0.014598540145985401,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-11-29,@,UMass-Lowell,W,87.0,80.0,32.0,57.0,0.561,6.0,15.0,0.4,17.0,23.0,0.739,7.0,37.0,15.0,10.0,2.0,17.0,22.0,,28.0,62.0,0.452,6.0,22.0,0.273,18.0,25.0,0.72,9.0,29.0,11.0,9.0,6.0,17.0,19.0,5.0,7.0,1,6,83.5,0,1,0,-1,68.16666666666667,59.4,70.48076868842463,59.23260748149608,80.0,60.0,77.0,50.0,72.56666666666666,72.2,73.4095298138928,72.46162762709346,82.0,73.0,88.0,81.0,5.733333333333333,-0.08120112978065624,6.279156697332951,-0.07590060256915132,8.0,-0.03019102877055524,6.0,-0.07352436210388857,8.0,0.03550610881023886,8.112534468320796,0.03151344687280633,9.333333333333334,0.01524276118378265,8.0,0.01980897122944475,0.4372,0.3938,0.4473219890065404,0.39395327643427536,0.45733333333333315,0.39333333333333326,0.4079999999999998,0.42900000000000005,0.4401666666666667,0.4438,0.4454373723766021,0.4434169962017749,0.471333333333333,0.4469999999999999,0.5080000000000002,0.474,70.36666666666666,65.8,71.9451492511587,65.84711755429477,81.0,66.5,82.5,65.5,-0.06666666666666667,0.24000000000000005,-0.08719823701941859,0.34428064816653026,-0.3333333333333333,0.6666666666666666,-1.0,6.0,-12.800000000000004,-13.229020145597381,-13.0,-31.0,-0.1945288753799393,-0.20090507583250378,-0.19548872180451127,-0.4732824427480916,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-12-02,@,St. John's (NY),L,55.0,90.0,20.0,49.0,0.408,7.0,21.0,0.333,8.0,13.0,0.615,8.0,24.0,9.0,5.0,1.0,25.0,17.0,,34.0,62.0,0.548,9.0,24.0,0.375,13.0,18.0,0.722,14.0,36.0,15.0,15.0,8.0,13.0,16.0,3.0,-35.0,0,7,72.5,0,1,0,-1,68.16666666666667,64.0,70.48076868842463,64.66486042315925,80.0,68.66666666666667,77.0,87.0,72.56666666666666,73.5,73.4095298138928,73.9363914339862,82.0,76.33333333333333,88.0,80.0,5.733333333333333,-0.08696186210388857,6.279156697332951,-0.08398818816306783,8.0,-0.036825332977674985,6.0,-0.10662781037975064,8.0,0.013006250141009368,8.112534468320796,0.006104031043086877,9.333333333333334,-0.0646160651606571,8.0,-0.08852436210388856,0.4372,0.42166666666666663,0.4473219890065404,0.42663333650402785,0.45733333333333315,0.4543333333333332,0.4079999999999998,0.5610000000000002,0.4401666666666667,0.44516666666666665,0.4454373723766021,0.4450961256915224,0.471333333333333,0.43433333333333324,0.5080000000000002,0.45199999999999996,70.36666666666666,68.75,71.9451492511587,69.30062592857273,81.0,72.5,82.5,83.5,-0.06666666666666667,0.7777777777777777,-0.08719823701941859,1.0555099302017674,-0.3333333333333333,3.1111111111111107,-1.0,7.0,-9.5,-9.271531010826948,-7.666666666666657,7.0,-0.13818181818181818,-0.13378711788812697,-0.10574712643678148,0.08383233532934131,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-12-05,,Dartmouth,W,79.0,73.0,28.0,55.0,0.509,7.0,19.0,0.368,16.0,21.0,0.762,6.0,31.0,17.0,6.0,1.0,13.0,22.0,,26.0,62.0,0.419,5.0,19.0,0.263,16.0,26.0,0.615,11.0,34.0,10.0,6.0,3.0,10.0,19.0,3.0,6.0,1,8,76.0,1,0,0,1,68.16666666666667,62.714285714285715,70.48076868842463,62.993259848849846,80.0,64.0,77.0,55.0,72.56666666666666,75.85714285714286,73.4095298138928,76.71469718582993,82.0,83.66666666666667,88.0,90.0,5.733333333333333,-0.06751069467792042,6.279156697332951,-0.06099209148158391,8.0,-0.047899362103888565,6.0,0.06829381971429327,8.0,0.008509536201196155,8.112534468320796,0.0021212575537885026,9.333333333333334,-0.026671772462454335,8.0,-0.013524362103888576,0.4372,0.41971428571428565,0.4473219890065404,0.4234105795641762,0.45733333333333315,0.4659999999999998,0.4079999999999998,0.40800000000000003,0.4401666666666667,0.45985714285714285,0.4454373723766021,0.4628940211459181,0.471333333333333,0.49133333333333323,0.5080000000000002,0.548,70.36666666666666,69.28571428571429,71.9451492511587,69.8539785173399,81.0,73.83333333333333,82.5,72.5,-0.06666666666666667,1.4693877551020407,-0.08719823701941859,1.9531449515685841,-0.3333333333333333,8.0,-1.0,8.0,-13.142857142857146,-13.721437336980088,-19.66666666666667,-35.0,-0.18969072164948456,-0.1964302911332961,-0.26636568848758474,-0.4827586206896552,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-12-09,,Lafayette,W,62.0,50.0,21.0,65.0,0.323,3.0,17.0,0.176,17.0,25.0,0.68,11.0,49.0,10.0,5.0,2.0,9.0,16.0,,19.0,64.0,0.297,4.0,25.0,0.16,8.0,13.0,0.615,5.0,39.0,6.0,5.0,1.0,11.0,19.0,4.0,12.0,1,9,56.0,1,0,0,1,68.16666666666667,64.75,70.48076868842463,65.49088626582999,80.0,73.66666666666667,77.0,79.0,72.56666666666666,75.5,73.4095298138928,76.13507099493785,82.0,81.0,88.0,73.0,5.733333333333333,-0.06448961306913953,6.279156697332951,-0.05849052187629572,8.0,-0.04203114943420533,6.0,-0.04770157729376201,8.0,-0.005577342236338878,8.112534468320796,-0.014360781133602507,9.333333333333334,-0.066610781856975,8.0,-0.10804491004909406,0.4372,0.43087499999999995,0.4473219890065404,0.4367656034775976,0.45733333333333315,0.49266666666666653,0.4079999999999998,0.5090000000000001,0.4401666666666667,0.45475,0.4454373723766021,0.4560449771977878,0.471333333333333,0.4729999999999999,0.5080000000000002,0.41900000000000004,70.36666666666666,70.125,71.9451492511587,70.81297863038392,81.0,77.33333333333333,82.5,76.0,-0.06666666666666667,0.5625,-0.08719823701941859,0.6129660541827052,-0.3333333333333333,1.0,-1.0,9.0,-10.75,-10.644184729107863,-7.333333333333329,6.0,-0.1532976827094474,-0.15031403755329018,-0.09482758620689649,0.07894736842105263,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
2017-12-11,@,Hartford,L,72.0,86.0,27.0,61.0,0.443,3.0,14.0,0.214,15.0,20.0,0.75,12.0,28.0,11.0,2.0,1.0,9.0,17.0,,33.0,58.0,0.569,11.0,24.0,0.458,9.0,13.0,0.692,6.0,26.0,14.0,3.0,8.0,10.0,22.0,2.0,-14.0,0,10,79.0,0,1,0,-1,68.16666666666667,64.44444444444444,70.48076868842463,64.99185395053496,80.0,65.33333333333333,77.0,62.0,72.56666666666666,72.66666666666667,73.4095298138928,72.39898680432246,82.0,71.0,88.0,50.0,5.733333333333333,-0.07559332762112997,6.279156697332951,-0.07347407932991917,8.0,-0.05332028047123549,6.0,-0.1683630717813079,8.0,-0.010772068525906953,8.112534468320796,-0.02020175063319013,9.333333333333334,-0.06000323534332519,8.0,-0.07352436210388857,0.4372,0.41888888888888887,0.4473219890065404,0.4205024805394277,0.45733333333333315,0.4133333333333331,0.4079999999999998,0.32300000000000006,0.4401666666666667,0.43722222222222223,0.4454373723766021,0.43330903647581565,0.471333333333333,0.4213333333333333,0.5080000000000002,0.297,70.36666666666666,68.55555555555556,71.9451492511587,68.6954203774287,81.0,68.16666666666667,82.5,56.0,-0.06666666666666667,0.12345679012345678,-0.08719823701941859,0.0651474385508589,-0.3333333333333333,1.1111111111111112,-1.0,10.0,-8.222222222222229,-7.407132853787502,-5.666666666666671,12.0,-0.1199351701782821,-0.10782571550026161,-0.0831295843520783,0.21428571428571427,-4.3999999999999915,-0.06252960682141154,-2.9287611254681707,-0.040708250048157375,-2.0,-0.024691358024691357,-11.0,-0.13333333333333333,NEC
