Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,Old Dominion,L,54.0,57.0,19.0,55.0,0.345,6.0,20.0,0.3,10.0,14.0,0.714,11.0,40.0,8.0,3.0,4.0,16.0,17.0,,24.0,58.0,0.414,3.0,16.0,0.188,6.0,13.0,0.462,7.0,29.0,11.0,5.0,10.0,8.0,18.0,,-3.0,0,1,55.5,0,1,0,-1,75.56666666666666,,75.7179234207665,,75.66666666666667,,66.0,,72.56666666666666,,75.42186636762591,,83.66666666666667,,80.0,,6.333333333333333,,5.960128583709563,,5.333333333333333,,6.0,,7.866666666666666,,8.401129341341624,,10.0,,11.0,,0.4625,,0.4596927460642492,,0.45566666666666683,,0.40900000000000025,,0.44033333333333335,,0.4599075842015254,,0.49800000000000005,,0.46199999999999997,,74.06666666666666,,75.5698948941962,,79.66666666666667,,73.0,,-0.03333333333333333,,-0.0374954457497666,,-0.6666666666666666,,0.0,,,,,,,,,,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-11-17,@,Loyola (MD),W,95.0,72.0,34.0,55.0,0.618,8.0,16.0,0.5,19.0,30.0,0.633,8.0,35.0,18.0,2.0,4.0,14.0,25.0,,22.0,58.0,0.379,4.0,16.0,0.25,24.0,33.0,0.727,9.0,26.0,10.0,7.0,1.0,9.0,27.0,7.0,23.0,1,2,83.5,0,1,0,-1,75.56666666666666,54.0,75.7179234207665,54.0,75.66666666666667,,66.0,54.0,72.56666666666666,57.0,75.42186636762591,57.0,83.66666666666667,,80.0,57.0,6.333333333333333,0.01980897122944475,5.960128583709563,0.01980897122944475,5.333333333333333,,6.0,0.01980897122944475,7.866666666666666,-0.1556296252617833,8.401129341341624,-0.1556296252617833,10.0,,11.0,-0.1556296252617833,0.4625,0.345,0.4596927460642492,0.345,0.45566666666666683,,0.40900000000000025,0.345,0.44033333333333335,0.414,0.4599075842015254,0.414,0.49800000000000005,,0.46199999999999997,0.414,74.06666666666666,55.5,75.5698948941962,55.5,79.66666666666667,,73.0,55.5,-0.03333333333333333,2.0,-0.0374954457497666,2.0,-0.6666666666666666,,0.0,2.0,-3.0,-3.0,,-3.0,-0.05405405405405406,-0.05405405405405406,,-0.05405405405405406,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-11-20,,Florida Atlantic,W,76.0,52.0,31.0,58.0,0.534,9.0,22.0,0.409,5.0,7.0,0.714,8.0,34.0,16.0,7.0,1.0,13.0,17.0,,19.0,61.0,0.311,3.0,22.0,0.136,11.0,15.0,0.733,14.0,35.0,6.0,6.0,3.0,14.0,12.0,3.0,24.0,1,3,64.0,1,0,0,1,75.56666666666666,74.5,75.7179234207665,75.18333333333332,75.66666666666667,,66.0,95.0,72.56666666666666,64.5,75.42186636762591,64.75,83.66666666666667,,80.0,72.0,6.333333333333333,-0.0316451674730161,5.960128583709563,-0.03287705551998249,5.333333333333333,,6.0,-0.060892783156520136,7.866666666666666,-0.15073366442946995,8.401129341341624,-0.15058999916952562,10.0,,11.0,-0.1468576954372219,0.4625,0.4815,0.4596927460642492,0.48605,0.45566666666666683,,0.40900000000000025,0.618,0.44033333333333335,0.39649999999999996,0.4599075842015254,0.3959166666666667,0.49800000000000005,,0.46199999999999997,0.37899999999999995,74.06666666666666,69.5,75.5698948941962,69.96666666666667,79.66666666666667,,73.0,83.5,-0.03333333333333333,3.0,-0.0374954457497666,3.0,-0.6666666666666666,,0.0,3.0,10.0,10.433333333333323,,23.0,0.14388489208633093,0.14911862791805605,,0.2754491017964072,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-11-21,N,Penn,W,79.0,71.0,24.0,52.0,0.462,7.0,16.0,0.438,24.0,37.0,0.649,7.0,28.0,14.0,6.0,4.0,10.0,18.0,,28.0,59.0,0.475,6.0,19.0,0.316,9.0,14.0,0.643,8.0,32.0,15.0,4.0,1.0,14.0,24.0,1.0,8.0,1,4,75.0,0,0,1,0,75.56666666666666,75.0,75.7179234207665,75.47389855609035,75.66666666666667,75.0,66.0,76.0,72.56666666666666,60.333333333333336,75.42186636762591,60.213624583487594,83.66666666666667,60.333333333333336,80.0,52.0,6.333333333333333,-0.006857695437221922,5.960128583709563,-0.006144116340968897,5.333333333333333,-0.006857695437221922,6.0,0.04173879579084827,7.866666666666666,-0.1477785057502974,8.401129341341624,-0.14747358645013203,10.0,-0.1477785057502974,11.0,-0.1404474390269655,0.4625,0.49899999999999994,0.4596927460642492,0.5031103295075897,0.45566666666666683,0.49899999999999994,0.40900000000000025,0.5340000000000001,0.44033333333333335,0.36799999999999994,0.4599075842015254,0.3657038134024436,0.49800000000000005,0.36799999999999994,0.46199999999999997,0.31099999999999994,74.06666666666666,67.66666666666667,75.5698948941962,67.84376156978898,79.66666666666667,67.66666666666667,73.0,64.0,-0.03333333333333333,0.4444444444444444,-0.0374954457497666,0.33272523333535753,-0.6666666666666666,0.4444444444444444,0.0,4.0,14.666666666666664,15.260273972602754,14.666666666666664,24.0,0.21674876847290636,0.22493260425875614,0.21674876847290636,0.375,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-11-22,N,Georgia Southern,W,70.0,67.0,20.0,51.0,0.392,6.0,18.0,0.333,24.0,32.0,0.75,9.0,33.0,7.0,6.0,5.0,12.0,23.0,,21.0,61.0,0.344,6.0,26.0,0.231,19.0,32.0,0.594,12.0,32.0,14.0,5.0,3.0,11.0,21.0,1.0,3.0,1,5,68.5,0,0,1,0,75.56666666666666,76.0,75.7179234207665,76.44546799852017,75.66666666666667,83.33333333333333,66.0,79.0,72.56666666666666,63.0,75.42186636762591,63.18566407695153,83.66666666666667,65.0,80.0,71.0,6.333333333333333,-0.01747173052494122,5.960128583709563,-0.017977348837314833,5.333333333333333,-0.02552436210388853,6.0,-0.04770157729376201,7.866666666666666,-0.1230481716276981,8.401129341341624,-0.12039165036903857,10.0,-0.11352436210388855,11.0,-0.06000323534332519,0.4625,0.48974999999999996,0.4596927460642492,0.4917829356270809,0.45566666666666683,0.5379999999999999,0.40900000000000025,0.4620000000000002,0.44033333333333335,0.39474999999999993,0.4599075842015254,0.39581889567147616,0.49800000000000005,0.38833333333333325,0.46199999999999997,0.4749999999999999,74.06666666666666,69.5,75.5698948941962,69.81556603773586,79.66666666666667,74.16666666666667,73.0,75.0,-0.03333333333333333,0.3125,-0.0374954457497666,0.21828748713936325,-0.6666666666666666,0.0,0.0,0.0,13.0,13.25980392156864,18.33333333333333,8.0,0.18705035971223022,0.1899261822843578,0.24719101123595497,0.10666666666666667,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-12-01,N,La Salle,W,67.0,60.0,25.0,53.0,0.472,4.0,15.0,0.267,13.0,16.0,0.813,5.0,31.0,6.0,5.0,2.0,10.0,18.0,,18.0,50.0,0.36,9.0,26.0,0.346,15.0,20.0,0.75,5.0,25.0,9.0,3.0,1.0,12.0,18.0,9.0,7.0,1,6,63.5,0,0,1,0,75.56666666666666,74.8,75.7179234207665,74.9789679775886,75.66666666666667,75.0,66.0,70.0,72.56666666666666,63.8,75.42186636762591,64.05351784835727,83.66666666666667,63.333333333333336,80.0,67.0,6.333333333333333,-0.024754308627952692,5.960128583709563,-0.02613498675895748,5.333333333333333,-0.02019102877055523,6.0,-0.05638150496103145,7.866666666666666,-0.10662781037975061,8.401129341341624,-0.10241766251683421,10.0,-0.07668225684073068,11.0,-0.04486764568597812,0.4625,0.4702,0.4596927460642492,0.46907990192660703,0.45566666666666683,0.4626666666666666,0.40900000000000025,0.3920000000000002,0.44033333333333335,0.38459999999999994,0.4599075842015254,0.3840288423185902,0.49800000000000005,0.37666666666666665,0.46199999999999997,0.344,74.06666666666666,69.3,75.5698948941962,69.51624291297294,79.66666666666667,69.16666666666667,73.0,68.5,-0.03333333333333333,0.24000000000000005,-0.0374954457497666,0.15630750853474262,-0.6666666666666666,0.6666666666666666,0.0,0.0,11.0,10.925450129231322,11.666666666666664,3.0,0.15873015873015875,0.15716399033401218,0.16867469879518068,0.043795620437956206,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-12-02,N,Manhattan,W,56.0,55.0,20.0,53.0,0.377,2.0,11.0,0.182,14.0,19.0,0.737,13.0,35.0,8.0,9.0,2.0,19.0,13.0,,20.0,47.0,0.426,8.0,18.0,0.444,7.0,9.0,0.778,5.0,22.0,16.0,12.0,3.0,19.0,18.0,1.0,1.0,1,7,55.5,0,0,1,0,75.56666666666666,73.5,75.7179234207665,73.41800858110194,75.66666666666667,72.0,66.0,67.0,72.56666666666666,63.166666666666664,75.42186636762591,63.26051093418089,83.66666666666667,66.0,80.0,60.0,6.333333333333333,-0.041415518566473575,5.960128583709563,-0.045467351367639186,5.333333333333333,-0.07741325099277746,6.0,-0.13441988449194828,7.866666666666666,-0.06814177635190966,8.401129341341624,-0.05809075742564607,10.0,0.0046574560779296115,11.0,0.13647563789611145,0.4625,0.4705,0.4596927460642492,0.46965117311595483,0.45566666666666683,0.44199999999999995,0.40900000000000025,0.4720000000000001,0.44033333333333335,0.3804999999999999,0.4599075842015254,0.37932797783219885,0.49800000000000005,0.39299999999999996,0.46199999999999997,0.36,74.06666666666666,68.33333333333333,75.5698948941962,68.33925975764143,79.66666666666667,69.0,73.0,63.5,-0.03333333333333333,0.19444444444444442,-0.0374954457497666,0.11798689521925507,-0.6666666666666666,0.0,0.0,0.0,10.333333333333336,10.157497646921051,6.0,7.0,0.151219512195122,0.14863341632531044,0.08695652173913043,0.11023622047244094,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-12-06,,Morgan State,W (1 OT),82.0,78.0,26.0,55.0,0.473,14.0,30.0,0.467,16.0,24.0,0.667,4.0,32.0,19.0,3.0,8.0,15.0,23.0,,27.0,69.0,0.391,5.0,14.0,0.357,19.0,24.0,0.792,12.0,34.0,5.0,5.0,0.0,8.0,17.0,4.0,4.0,1,8,80.0,1,0,0,1,75.56666666666666,71.0,75.7179234207665,70.40545052307478,75.66666666666667,64.33333333333333,66.0,56.0,72.56666666666666,62.0,75.42186636762591,61.83180175297243,83.66666666666667,60.666666666666664,80.0,55.0,6.333333333333333,-0.06000323534332519,5.960128583709563,-0.06760405320601776,5.333333333333333,-0.12699586469456212,6.0,-0.20638150496103141,7.866666666666666,-0.04393910864766737,8.401129341341624,-0.03025529938715721,10.0,0.0655965170169906,11.0,0.12283927425974778,0.4625,0.4571428571428572,0.4596927460642492,0.4536265491265641,0.45566666666666683,0.4136666666666666,0.40900000000000025,0.3770000000000001,0.44033333333333335,0.38699999999999996,0.4599075842015254,0.3874002081225537,0.49800000000000005,0.37666666666666665,0.46199999999999997,0.42600000000000005,74.06666666666666,66.5,75.5698948941962,66.1186261380236,79.66666666666667,62.5,73.0,55.5,-0.03333333333333333,0.16326530612244897,-0.0374954457497666,0.09223216645107363,-0.6666666666666666,0.0,0.0,0.0,9.0,8.573648770102345,3.6666666666666643,1.0,0.13533834586466165,0.12967070356550858,0.05866666666666663,0.018018018018018018,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-12-09,,UMBC,W,78.0,65.0,27.0,60.0,0.45,9.0,25.0,0.36,15.0,17.0,0.882,11.0,43.0,13.0,3.0,9.0,16.0,24.0,,20.0,69.0,0.29,10.0,31.0,0.323,15.0,20.0,0.75,13.0,30.0,14.0,6.0,1.0,12.0,18.0,3.0,13.0,1,9,71.5,1,0,0,1,75.56666666666666,72.375,75.7179234207665,72.21461671138644,75.66666666666667,68.33333333333333,66.0,82.0,72.56666666666666,64.0,75.42186636762591,64.35462143239644,83.66666666666667,64.33333333333333,80.0,78.0,6.333333333333333,-0.023368921689380817,5.960128583709563,-0.02042563077105458,5.333333333333333,-0.020841435274620235,6.0,0.19867075984733096,7.866666666666666,-0.055711862103888565,8.401129341341624,-0.047457992504862656,10.0,0.02844454981320993,11.0,-0.12121666979619625,0.4625,0.459125,0.4596927460642492,0.45664950334663884,0.45566666666666683,0.4406666666666667,0.40900000000000025,0.4730000000000001,0.44033333333333335,0.38749999999999996,0.4599075842015254,0.38796190495800176,0.49800000000000005,0.39233333333333337,0.46199999999999997,0.39100000000000007,74.06666666666666,68.1875,75.5698948941962,68.28461907189144,79.66666666666667,66.33333333333333,73.0,80.0,-0.03333333333333333,0.0,-0.0374954457497666,0.03851413672256653,-0.6666666666666666,1.0,0.0,9.0,8.375,7.859995278989999,4.0,4.0,0.1228230980751604,0.1151063795305768,0.06030150753768845,0.05,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
2017-12-20,@,Oakland,L,86.0,97.0,33.0,70.0,0.471,9.0,17.0,0.529,11.0,18.0,0.611,8.0,27.0,16.0,10.0,4.0,12.0,24.0,,28.0,52.0,0.538,11.0,24.0,0.458,30.0,36.0,0.833,5.0,31.0,22.0,6.0,6.0,17.0,17.0,11.0,-11.0,0,10,91.5,0,1,0,-1,75.56666666666666,73.0,75.7179234207665,73.04165403014582,75.66666666666667,72.0,66.0,78.0,72.56666666666666,64.11111111111111,75.42186636762591,64.44688017023773,83.66666666666667,66.0,80.0,65.0,6.333333333333333,-0.016720709135851997,5.960128583709563,-0.012326391443621187,5.333333333333333,0.033697860118333645,6.0,0.03262948404995758,7.866666666666666,-0.032761797112554114,8.401129341341624,-0.019274864755950916,10.0,0.03496048638095994,11.0,0.148014099434573,0.4625,0.45811111111111114,0.4596927460642492,0.45569893755963053,0.45566666666666683,0.43333333333333335,0.40900000000000025,0.45000000000000007,0.44033333333333335,0.37666666666666665,0.4599075842015254,0.37395796655404456,0.49800000000000005,0.36900000000000005,0.46199999999999997,0.29000000000000004,74.06666666666666,68.55555555555556,75.5698948941962,68.74426710019179,79.66666666666667,69.0,73.0,71.5,-0.03333333333333333,0.12345679012345678,-0.0374954457497666,0.3960821148649818,-0.6666666666666666,4.444444444444445,0.0,10.0,8.888888888888886,8.594773859908088,6.0,13.0,0.1296596434359805,0.12502531807316494,0.08695652173913043,0.18181818181818182,3.0,0.04050405040504051,0.2960570531405864,0.003917658659643362,-8.0,-0.100418410041841,-14.0,-0.1917808219178082,CAA
