Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,South Dakota State,L,54.0,65.0,22.0,58.0,0.379,5.0,19.0,0.263,5.0,12.0,0.417,14.0,47.0,8.0,4.0,2.0,18.0,24.0,,17.0,57.0,0.298,14.0,35.0,0.4,17.0,23.0,0.739,10.0,35.0,14.0,4.0,5.0,8.0,16.0,,-11.0,0,1,59.5,0,1,0,-1,67.78787878787878,,67.75719788940275,,61.333333333333336,,55.0,,67.66666666666667,,65.11661762082093,,65.33333333333333,,71.0,,6.151515151515151,,5.779317687171394,,4.333333333333333,,5.0,,6.333333333333333,,5.9298960205149225,,6.666666666666667,,7.0,,0.42700000000000005,,0.42701598560144,,0.38566666666666677,,0.3109999999999997,,0.3948787878787879,,0.38584706154548293,,0.3966666666666667,,0.421,,67.72727272727273,,66.43690775511182,,63.333333333333336,,63.0,,-0.21212121212121213,,-0.0830885422633673,,0.0,,0.0,,,,,,,,,,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-12,@,Denver,W,83.0,69.0,28.0,62.0,0.452,8.0,22.0,0.364,19.0,26.0,0.731,11.0,40.0,16.0,10.0,8.0,12.0,26.0,,21.0,63.0,0.333,5.0,19.0,0.263,22.0,30.0,0.733,15.0,40.0,12.0,4.0,0.0,14.0,20.0,2.0,14.0,1,2,76.0,0,1,0,-1,67.78787878787878,54.0,67.75719788940275,54.0,61.333333333333336,,55.0,54.0,67.66666666666667,65.0,65.11661762082093,65.0,65.33333333333333,,71.0,65.0,6.151515151515151,-0.035746584326110775,5.779317687171394,-0.035746584326110775,4.333333333333333,,5.0,-0.035746584326110775,6.333333333333333,0.3326294840499576,5.9298960205149225,0.3326294840499576,6.666666666666667,,7.0,0.3326294840499576,0.42700000000000005,0.379,0.42701598560144,0.379,0.38566666666666677,,0.3109999999999997,0.379,0.3948787878787879,0.298,0.38584706154548293,0.298,0.3966666666666667,,0.421,0.298,67.72727272727273,59.5,66.43690775511182,59.5,63.333333333333336,,63.0,59.5,-0.21212121212121213,2.0,-0.0830885422633673,2.0,0.0,,0.0,2.0,-11.0,-11.0,,-11.0,-0.18487394957983194,-0.18487394957983194,,-0.18487394957983194,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-17,@,Kansas State,L,49.0,71.0,16.0,54.0,0.296,4.0,20.0,0.2,13.0,17.0,0.765,11.0,37.0,11.0,2.0,6.0,17.0,19.0,,24.0,61.0,0.393,9.0,19.0,0.474,14.0,18.0,0.778,9.0,35.0,15.0,8.0,2.0,8.0,22.0,5.0,-22.0,0,3,60.0,0,1,0,-1,67.78787878787878,68.5,67.75719788940275,68.93939393939394,61.333333333333336,,55.0,83.0,67.66666666666667,67.0,65.11661762082093,67.06060606060606,65.33333333333333,,71.0,69.0,6.151515151515151,-0.02885282925717325,5.779317687171394,-0.02868919726872371,4.333333333333333,,5.0,-0.02436773559786448,6.333333333333333,0.11184877222446965,5.9298960205149225,0.10536402470135314,6.666666666666667,,7.0,-0.09613305775606248,0.42700000000000005,0.4155,0.42701598560144,0.4166060606060606,0.38566666666666677,,0.3109999999999997,0.45199999999999996,0.3948787878787879,0.3155,0.38584706154548293,0.31603030303030305,0.3966666666666667,,0.421,0.333,67.72727272727273,67.75,66.43690775511182,68.0,63.333333333333336,,63.0,76.0,-0.21212121212121213,3.0,-0.0830885422633673,3.0,0.0,,0.0,3.0,1.5,1.8787878787878753,,14.0,0.02214022140221402,0.0276292335115864,,0.18421052631578946,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-19,@,Arizona State,L,78.0,99.0,28.0,61.0,0.459,12.0,25.0,0.48,10.0,16.0,0.625,13.0,31.0,21.0,7.0,2.0,19.0,28.0,,30.0,49.0,0.612,14.0,23.0,0.609,25.0,38.0,0.658,5.0,24.0,17.0,6.0,2.0,10.0,17.0,2.0,-21.0,0,4,88.5,0,1,0,-1,67.78787878787878,62.0,67.75719788940275,61.88616891064871,61.333333333333336,62.0,55.0,49.0,67.66666666666667,68.33333333333333,65.11661762082093,68.45410036719706,65.33333333333333,68.33333333333333,71.0,71.0,6.151515151515151,-0.03933081371679181,5.779317687171394,-0.03987471118717412,4.333333333333333,-0.03933081371679181,5.0,-0.0686264029202151,6.333333333333333,0.09623173545708708,5.9298960205149225,0.09119965313025596,6.666666666666667,0.09623173545708708,7.0,0.0667573280369565,0.42700000000000005,0.37566666666666665,0.42701598560144,0.37394369645042835,0.38566666666666677,0.37566666666666665,0.3109999999999997,0.296,0.3948787878787879,0.3413333333333333,0.38584706154548293,0.3432570379436965,0.3966666666666667,0.3413333333333333,0.421,0.39299999999999996,67.72727272727273,65.16666666666667,66.43690775511182,65.17013463892289,63.333333333333336,65.16666666666667,63.0,60.0,-0.21212121212121213,4.0,-0.0830885422633673,4.0,0.0,4.0,0.0,4.0,-6.333333333333329,-6.567931456548344,-6.333333333333329,-22.0,-0.09718670076726335,-0.10078130869205915,-0.09718670076726335,-0.36666666666666664,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-23,N,Rider,L,82.0,90.0,32.0,65.0,0.492,9.0,22.0,0.409,9.0,19.0,0.474,10.0,34.0,16.0,6.0,5.0,17.0,27.0,,29.0,61.0,0.475,9.0,22.0,0.409,23.0,35.0,0.657,9.0,35.0,14.0,7.0,3.0,13.0,20.0,4.0,-8.0,0,5,86.0,0,0,1,0,67.78787878787878,66.0,67.75719788940275,66.28801779260495,61.333333333333336,70.0,55.0,78.0,67.66666666666667,76.0,65.11661762082093,76.79838754517652,65.33333333333333,79.66666666666667,71.0,99.0,6.151515151515151,0.016021092441565965,5.779317687171394,0.02051970805271397,4.333333333333333,0.029332780753254295,5.0,0.148014099434573,6.333333333333333,0.10094932210663776,5.9298960205149225,0.09807292985343319,6.666666666666667,0.03794007304255492,7.0,0.11071806213853569,0.42700000000000005,0.3965,0.42701598560144,0.39717870447595216,0.38566666666666677,0.4023333333333334,0.3109999999999997,0.459,0.3948787878787879,0.40900000000000003,0.38584706154548293,0.4166701139838755,0.3966666666666667,0.446,0.421,0.6119999999999999,67.72727272727273,71.0,66.43690775511182,71.54320266889074,63.333333333333336,74.83333333333333,63.0,88.5,-0.21212121212121213,5.0,-0.0830885422633673,5.0,0.0,5.0,0.0,5.0,-10.0,-10.510369752571577,-9.666666666666671,-21.0,-0.14084507042253522,-0.14690941082431888,-0.12917594654788425,-0.23728813559322035,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-24,N,Northern Arizona,W,77.0,71.0,25.0,50.0,0.5,7.0,16.0,0.438,20.0,29.0,0.69,8.0,31.0,12.0,6.0,5.0,17.0,20.0,,22.0,58.0,0.379,8.0,20.0,0.4,19.0,23.0,0.826,11.0,31.0,12.0,3.0,3.0,12.0,21.0,1.0,6.0,1,6,74.0,0,0,1,0,67.78787878787878,69.2,67.75719788940275,69.82248485648336,61.333333333333336,69.66666666666667,55.0,82.0,67.66666666666667,78.8,65.11661762082093,79.76813787939592,65.33333333333333,86.66666666666667,71.0,90.0,6.151515151515151,0.01595540668223855,5.779317687171394,0.019258009528747178,4.333333333333333,0.045327312537259745,5.0,0.01574393057903828,6.333333333333333,0.07480051099255813,5.9298960205149225,0.06974859813563278,6.666666666666667,0.05570640712688063,7.0,-0.013524362103888576,0.42700000000000005,0.4156000000000001,0.42701598560144,0.4185090968834925,0.38566666666666677,0.4156666666666667,0.3109999999999997,0.49200000000000005,0.3948787878787879,0.4222,0.38584706154548293,0.4297916322138758,0.3966666666666667,0.4933333333333334,0.421,0.47499999999999976,67.72727272727273,74.0,66.43690775511182,74.79531136793965,63.333333333333336,78.16666666666667,63.0,86.0,-0.21212121212121213,3.8400000000000007,-0.0830885422633673,3.6041814718360525,0.0,2.6666666666666665,0.0,0.0,-9.599999999999994,-9.945653022912566,-17.0,-8.0,-0.12972972972972965,-0.13297161066670393,-0.21748400852878463,-0.09302325581395349,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-11-26,@,UCLA,L,63.0,87.0,22.0,64.0,0.344,10.0,24.0,0.417,9.0,14.0,0.643,10.0,36.0,14.0,4.0,4.0,15.0,27.0,,28.0,65.0,0.431,5.0,17.0,0.294,26.0,40.0,0.65,12.0,46.0,12.0,9.0,5.0,7.0,13.0,2.0,-24.0,0,7,75.0,0,1,0,-1,67.78787878787878,70.5,67.75719788940275,71.20707131845442,61.333333333333336,79.0,55.0,77.0,67.66666666666667,77.5,65.11661762082093,78.0767105871145,65.33333333333333,86.66666666666667,71.0,71.0,6.151515151515151,0.005624574066324217,5.779317687171394,0.006730537227859712,4.333333333333333,0.04090601764294688,5.0,-0.04079708937661586,6.333333333333333,0.06712079918643399,5.9298960205149225,0.061811689285871496,6.666666666666667,0.04416794558841913,7.0,0.024503806910195935,0.42700000000000005,0.4296666666666667,0.42701598560144,0.4342291892793729,0.38566666666666677,0.4836666666666667,0.3109999999999997,0.5,0.3948787878787879,0.41500000000000004,0.38584706154548293,0.4199936164746446,0.3966666666666667,0.48866666666666675,0.421,0.3789999999999998,67.72727272727273,74.0,66.43690775511182,74.64189095278446,63.333333333333336,82.83333333333333,63.0,74.0,-0.21212121212121213,3.1111111111111107,-0.0830885422633673,2.739060140801247,0.0,0.7777777777777777,0.0,0.0,-7.0,-6.86963926866008,-7.666666666666671,6.0,-0.0945945945945946,-0.09203463605987079,-0.09255533199195178,0.08108108108108109,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-12-02,,Nevada,L,65.0,76.0,28.0,65.0,0.431,4.0,15.0,0.267,5.0,11.0,0.455,18.0,45.0,11.0,3.0,4.0,12.0,15.0,,26.0,57.0,0.456,10.0,22.0,0.455,14.0,21.0,0.667,6.0,30.0,17.0,3.0,3.0,5.0,14.0,6.0,-11.0,0,8,70.5,1,0,0,1,67.78787878787878,69.42857142857143,67.75719788940275,69.81105821582607,61.333333333333336,74.0,55.0,63.0,67.66666666666667,78.85714285714286,65.11661762082093,79.59455153860253,65.33333333333333,82.66666666666667,71.0,87.0,6.151515151515151,0.02598181073561756,5.779317687171394,0.030667157295282632,4.333333333333333,0.037826989247462806,5.0,0.1626661140865876,6.333333333333333,0.034301724852633164,5.9298960205149225,0.024083419720086263,6.666666666666667,-0.047395329845824063,7.0,-0.14111056900044028,0.42700000000000005,0.4174285714285714,0.42701598560144,0.41888131114039506,0.38566666666666677,0.4453333333333333,0.3109999999999997,0.344,0.3948787878787879,0.4172857142857143,0.38584706154548293,0.4218657892653695,0.3966666666666667,0.4283333333333334,0.421,0.4309999999999998,67.72727272727273,74.14285714285714,66.43690775511182,74.7028048772143,63.333333333333336,78.33333333333333,63.0,75.0,-0.21212121212121213,4.081632653061225,-0.0830885422633673,3.8003175232776862,0.0,0.8888888888888888,0.0,8.0,-9.42857142857143,-9.783493322776465,-8.666666666666671,-24.0,-0.12716763005780352,-0.1309655419077926,-0.11063829787234049,-0.32,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-12-06,@,Utah State,L,59.0,62.0,21.0,58.0,0.362,5.0,17.0,0.294,12.0,18.0,0.667,13.0,38.0,8.0,4.0,4.0,12.0,14.0,,21.0,58.0,0.362,7.0,23.0,0.304,13.0,17.0,0.765,10.0,31.0,16.0,4.0,2.0,9.0,16.0,4.0,-3.0,0,9,60.5,0,1,0,-1,67.78787878787878,68.875,67.75719788940275,69.07464725591193,61.333333333333336,68.33333333333333,55.0,65.0,67.66666666666667,78.5,65.11661762082093,79.0443467748573,65.33333333333333,78.0,71.0,76.0,6.151515151515151,0.007709757678325602,5.779317687171394,0.0076822766082086935,4.333333333333333,-0.006207288933156863,5.0,-0.12890897748850394,6.333333333333333,0.03997882260948721,5.9298960205149225,0.0324911639033475,6.666666666666667,-0.018652567232093686,7.0,0.0812124800013746,0.42700000000000005,0.419125,0.42701598560144,0.4207362742058275,0.38566666666666677,0.425,0.3109999999999997,0.43099999999999994,0.3948787878787879,0.42212500000000003,0.38584706154548293,0.4270905871716415,0.3966666666666667,0.422,0.421,0.4559999999999998,67.72727272727273,73.6875,66.43690775511182,74.05949701538462,63.333333333333336,73.16666666666667,63.0,70.5,-0.21212121212121213,2.25,-0.0830885422633673,1.6692652585192764,0.0,0.0,0.0,9.0,-9.625,-9.969699518945376,-9.666666666666671,-11.0,-0.13061916878710772,-0.13461743491012823,-0.132118451025057,-0.15602836879432624,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
2017-12-09,@,Texas-Rio Grande Valley,L,59.0,73.0,22.0,53.0,0.415,5.0,13.0,0.385,10.0,13.0,0.769,8.0,40.0,12.0,3.0,4.0,22.0,23.0,,25.0,62.0,0.403,3.0,17.0,0.176,20.0,27.0,0.741,6.0,27.0,16.0,12.0,5.0,9.0,16.0,3.0,-14.0,0,10,66.0,0,1,0,-1,67.78787878787878,67.77777777777777,67.75719788940275,67.66537212581562,61.333333333333336,62.333333333333336,55.0,59.0,67.66666666666667,76.66666666666667,65.11661762082093,76.66012691996876,65.33333333333333,75.0,71.0,62.0,6.151515151515151,0.0012297362567671999,5.779317687171394,-0.0004859459672093558,4.333333333333333,-0.008711527879289638,5.0,-0.059287073968295356,6.333333333333333,0.03864955093958966,5.9298960205149225,0.031664633636637185,6.666666666666667,-0.02019102877055523,7.0,0.02518531531546625,0.42700000000000005,0.4127777777777778,0.42701598560144,0.41252004902491946,0.38566666666666677,0.379,0.3109999999999997,0.36199999999999993,0.3948787878787879,0.4154444444444445,0.38584706154548293,0.41798549958154935,0.3966666666666667,0.4163333333333334,0.421,0.3619999999999998,67.72727272727273,72.22222222222223,66.43690775511182,72.1627495228922,63.333333333333336,68.66666666666667,63.0,60.5,-0.21212121212121213,3.08641975308642,-0.0830885422633673,2.6041327968719186,0.0,1.1111111111111112,0.0,10.0,-8.8888888888889,-8.994754794153138,-12.666666666666664,-3.0,-0.12307692307692322,-0.12464540020470992,-0.18446601941747567,-0.049586776859504134,0.12121212121211045,0.0017897091722593487,2.6405802685818145,0.03974568290136354,-3.999999999999993,-0.063157894736842,-16.0,-0.25396825396825395,Big West
