Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,@,Virginia,L,48.0,60.0,15.0,51.0,0.294,4.0,26.0,0.154,14.0,18.0,0.778,13.0,30.0,9.0,5.0,2.0,17.0,20.0,,18.0,42.0,0.429,4.0,16.0,0.25,20.0,24.0,0.833,7.0,30.0,8.0,8.0,4.0,13.0,17.0,,-12.0,0,1,54.0,0,1,0,-1,71.875,,71.83346119187843,,60.666666666666664,,64.0,,63.46875,,62.71735345691302,,56.666666666666664,,68.0,,9.40625,,8.971745007437859,,6.0,,3.0,,6.71875,,6.904698134249327,,5.0,,5.0,,0.43990624999999994,,0.4413420352919701,,0.3883333333333332,,0.41800000000000015,,0.41484375,,0.4044550391836244,,0.35866666666666663,,0.42399999999999977,,67.671875,,67.27540732439572,,58.666666666666664,,66.0,,0.0,,0.021582951301604314,,0.0,,0.0,,,,,,,,,,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-11-20,,Delaware,W,79.0,66.0,25.0,53.0,0.472,14.0,27.0,0.519,15.0,18.0,0.833,8.0,30.0,15.0,7.0,7.0,13.0,14.0,,24.0,53.0,0.453,6.0,17.0,0.353,12.0,15.0,0.8,7.0,25.0,4.0,10.0,1.0,11.0,19.0,10.0,13.0,1,2,72.5,1,0,0,1,71.875,48.0,71.83346119187843,48.0,60.666666666666664,,64.0,48.0,63.46875,60.0,62.71735345691302,60.0,56.666666666666664,,68.0,60.0,9.40625,-0.06352436210388857,8.971745007437859,-0.06352436210388857,6.0,,3.0,-0.06352436210388857,6.71875,-0.11352436210388855,6.904698134249327,-0.11352436210388855,5.0,,5.0,-0.11352436210388855,0.43990624999999994,0.294,0.4413420352919701,0.294,0.3883333333333332,,0.41800000000000015,0.294,0.41484375,0.429,0.4044550391836244,0.429,0.35866666666666663,,0.42399999999999977,0.429,67.671875,54.0,67.27540732439572,54.0,58.666666666666664,,66.0,54.0,0.0,2.0,0.021582951301604314,2.0,0.0,,0.0,2.0,-12.0,-12.0,,-12.0,-0.2222222222222222,-0.2222222222222222,,-0.2222222222222222,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-11-21,,Longwood,W,71.0,40.0,26.0,62.0,0.419,11.0,34.0,0.324,8.0,14.0,0.571,11.0,39.0,15.0,12.0,6.0,18.0,18.0,,12.0,41.0,0.293,4.0,15.0,0.267,12.0,22.0,0.545,3.0,25.0,4.0,7.0,2.0,26.0,16.0,1.0,31.0,1,3,55.5,1,0,0,1,71.875,63.5,71.83346119187843,63.984375,60.666666666666664,,64.0,79.0,63.46875,63.0,62.71735345691302,63.09375000000001,56.666666666666664,,68.0,66.0,9.40625,0.11167248828981224,8.971745007437859,0.11577966720014071,6.0,,3.0,0.21812120751636455,6.71875,-0.07542912400865048,6.904698134249327,-0.07429702183642944,5.0,,5.0,-0.04079708937661586,0.43990624999999994,0.383,0.4413420352919701,0.38578124999999996,0.3883333333333332,,0.41800000000000015,0.47200000000000003,0.41484375,0.441,0.4044550391836244,0.441375,0.35866666666666663,,0.42399999999999977,0.453,67.671875,63.25,67.27540732439572,63.5390625,58.666666666666664,,66.0,72.5,0.0,0.0,0.021582951301604314,0.002929687499999995,0.0,,0.0,3.0,0.5,0.8906249999999929,,13.0,0.007905138339920948,0.014016967908520729,,0.1793103448275862,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-11-24,@,Wake Forest,L,75.0,81.0,25.0,51.0,0.49,13.0,26.0,0.5,12.0,22.0,0.545,9.0,23.0,14.0,8.0,0.0,11.0,23.0,,24.0,39.0,0.615,8.0,14.0,0.571,25.0,32.0,0.781,5.0,27.0,12.0,5.0,0.0,16.0,20.0,3.0,-6.0,0,4,78.0,0,1,0,-1,71.875,66.0,71.83346119187843,66.47054995118776,60.666666666666664,66.0,64.0,71.0,63.46875,55.333333333333336,62.71735345691302,54.909860071591275,56.666666666666664,55.333333333333336,68.0,40.0,9.40625,0.12586957729005083,8.971745007437859,0.1292115091215843,6.0,0.12586957729005083,3.0,0.15126437029047762,6.71875,-0.0605123139111175,6.904698134249327,-0.05860845697285699,5.0,-0.0605123139111175,5.0,-0.013524362103888576,0.43990624999999994,0.395,0.4413420352919701,0.3975532053368044,0.3883333333333332,0.395,0.41800000000000015,0.41900000000000004,0.41484375,0.39166666666666666,0.4044550391836244,0.3887943377806703,0.35866666666666663,0.39166666666666666,0.42399999999999977,0.293,67.671875,60.666666666666664,67.27540732439572,60.690205011389516,58.666666666666664,60.666666666666664,66.0,55.5,0.0,0.4444444444444444,0.021582951301604314,0.5611584643508659,0.0,0.4444444444444444,0.0,4.0,10.666666666666664,11.560689879596488,10.666666666666664,31.0,0.17582417582417578,0.19048691427928008,0.17582417582417578,0.5585585585585585,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-11-28,@,Presbyterian,L,72.0,74.0,28.0,58.0,0.483,10.0,23.0,0.435,6.0,9.0,0.667,8.0,27.0,13.0,6.0,0.0,13.0,19.0,,29.0,53.0,0.547,10.0,27.0,0.37,6.0,10.0,0.6,7.0,25.0,15.0,7.0,2.0,12.0,13.0,4.0,-2.0,0,5,73.0,0,1,0,-1,71.875,68.25,71.83346119187843,68.80685213414634,60.666666666666664,75.0,64.0,75.0,63.46875,61.75,62.71735345691302,62.0562118902439,56.666666666666664,62.333333333333336,68.0,81.0,9.40625,0.148014099434573,8.971745007437859,0.15227980272255925,6.0,0.19314230456277814,3.0,0.20647563789611145,6.71875,-0.04631788437109502,6.904698134249327,-0.043813887422384845,5.0,-0.024754308627952748,5.0,-0.017228065807592285,0.43990624999999994,0.41875,0.4413420352919701,0.4228753125,0.3883333333333332,0.4603333333333333,0.41800000000000015,0.49000000000000005,0.41484375,0.4475,0.4044550391836244,0.45075434451219504,0.35866666666666663,0.45366666666666666,0.42399999999999977,0.615,67.671875,65.0,67.27540732439572,65.43153201219512,58.666666666666664,68.66666666666667,66.0,78.0,0.0,0.0,0.021582951301604314,1.9036287923854855e-05,0.0,0.5555555555555556,0.0,5.0,6.5,6.750640243902438,12.666666666666664,-6.0,0.1,0.10317105585490884,0.18446601941747567,-0.07692307692307693,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-12-02,@,Liberty,W (3 OT),76.0,75.0,24.0,79.0,0.304,11.0,41.0,0.268,17.0,27.0,0.63,14.0,45.0,10.0,11.0,4.0,17.0,33.0,,19.0,58.0,0.328,4.0,23.0,0.174,33.0,42.0,0.786,7.0,46.0,8.0,8.0,2.0,20.0,24.0,4.0,1.0,1,6,75.5,0,1,0,-1,71.875,69.0,71.83346119187843,69.52772285275745,60.666666666666664,72.66666666666667,64.0,72.0,63.46875,64.2,62.71735345691302,64.7525878425416,56.666666666666664,65.0,68.0,74.0,9.40625,0.13864955093958975,8.971745007437859,0.14079229314924696,6.0,0.15436554615299214,3.0,0.10314230456277812,6.71875,-0.014458941543140869,6.904698134249327,-0.008805140297056646,5.0,0.024937176357649915,5.0,0.09188104330151686,0.43990624999999994,0.4316,0.4413420352919701,0.43644879187058516,0.3883333333333332,0.46399999999999997,0.41800000000000015,0.4830000000000001,0.41484375,0.46740000000000004,0.4044550391836244,0.4724823313607282,0.35866666666666663,0.48499999999999993,0.42399999999999977,0.5469999999999999,67.671875,66.6,67.27540732439572,67.14015534764953,58.666666666666664,68.83333333333333,66.0,73.0,0.0,0.24000000000000005,0.021582951301604314,0.3098996329850409,0.0,0.6666666666666666,0.0,6.0,4.799999999999997,4.775135010215848,7.666666666666671,-2.0,0.07207207207207203,0.07112189397671714,0.11138014527845044,-0.0273972602739726,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-12-07,,Elon,W,75.0,44.0,31.0,58.0,0.534,10.0,27.0,0.37,3.0,4.0,0.75,4.0,29.0,14.0,13.0,1.0,8.0,10.0,,17.0,49.0,0.347,4.0,28.0,0.143,6.0,7.0,0.857,4.0,25.0,11.0,3.0,0.0,16.0,4.0,5.0,31.0,1,7,59.5,1,0,0,1,71.875,70.16666666666667,71.83346119187843,70.7817698924911,60.666666666666664,74.33333333333333,64.0,76.0,63.46875,66.0,62.71735345691302,66.73809257119282,56.666666666666664,76.66666666666667,68.0,75.0,9.40625,0.13540675428566012,8.971745007437859,0.13660939433298708,6.0,0.14387474103512493,3.0,0.12068616421190093,6.71875,-0.04079708937661586,6.904698134249327,-0.04031673728321905,5.0,-0.026567840364758122,5.0,-0.15352436210388856,0.43990624999999994,0.41033333333333327,0.4413420352919701,0.41078595148489955,0.3883333333333332,0.42566666666666664,0.41800000000000015,0.30400000000000016,0.41484375,0.44416666666666665,0.4044550391836244,0.44448791211464717,0.35866666666666663,0.49666666666666665,0.42399999999999977,0.32799999999999996,67.671875,68.08333333333333,67.27540732439572,68.75993123184196,58.666666666666664,75.5,66.0,75.5,0.0,0.7777777777777777,0.021582951301604314,0.9948426829879804,0.0,7.0,0.0,7.0,4.166666666666671,4.043677321298276,-2.333333333333343,1.0,0.06119951040391684,0.05880862951511641,-0.030905077262693283,0.013245033112582781,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-12-13,,UNC Wilmington,W,71.0,58.0,25.0,66.0,0.379,9.0,29.0,0.31,12.0,17.0,0.706,12.0,39.0,14.0,12.0,7.0,12.0,21.0,,20.0,61.0,0.328,4.0,14.0,0.286,14.0,22.0,0.636,16.0,45.0,9.0,6.0,3.0,17.0,15.0,6.0,13.0,1,8,64.5,1,0,0,1,71.875,70.85714285714286,71.83346119187843,71.50304233878245,60.666666666666664,74.33333333333333,64.0,75.0,63.46875,62.857142857142854,62.71735345691302,62.850120783302664,56.666666666666664,64.33333333333333,68.0,44.0,9.40625,0.1280078959606275,8.971745007437859,0.12761781326737665,6.0,0.10351599664050609,3.0,0.08647563789611146,6.71875,-0.04079708937661586,6.904698134249327,-0.04037423827324432,5.0,-0.03373161598989893,5.0,-0.04079708937661586,0.43990624999999994,0.42799999999999994,0.4413420352919701,0.43185424219567614,0.3883333333333332,0.4403333333333333,0.41800000000000015,0.5340000000000003,0.41484375,0.43028571428571427,0.4044550391836244,0.4278185168795226,0.35866666666666663,0.4073333333333333,0.42399999999999977,0.3469999999999999,67.671875,66.85714285714286,67.27540732439572,67.17658156104255,58.666666666666664,69.33333333333333,66.0,59.5,0.0,0.16326530612244897,0.021582951301604314,0.1602644597141734,0.0,0.8888888888888888,0.0,8.0,8.000000000000007,8.652921555479786,10.0,31.0,0.11965811965811976,0.12880860196223262,0.14423076923076925,0.5210084033613446,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-12-16,@,NC State,W,81.0,76.0,31.0,60.0,0.517,12.0,24.0,0.5,7.0,13.0,0.538,10.0,32.0,16.0,8.0,1.0,12.0,20.0,,25.0,50.0,0.5,7.0,20.0,0.35,19.0,28.0,0.679,4.0,25.0,17.0,7.0,2.0,9.0,16.0,3.0,5.0,1,9,78.5,0,1,0,-1,71.875,70.875,71.83346119187843,71.42557820042778,60.666666666666664,74.0,64.0,71.0,63.46875,62.25,62.71735345691302,62.10324443030229,56.666666666666664,59.0,68.0,58.0,9.40625,0.12033807175854527,8.971745007437859,0.11830167018808851,6.0,0.09188104330151686,3.0,0.0667573280369565,6.71875,-0.04846412114003312,6.904698134249327,-0.04990262022924036,5.0,-0.11013453159541398,5.0,-0.10662781037975064,0.43990624999999994,0.42187499999999994,0.4413420352919701,0.4237151492915146,0.3883333333333332,0.4056666666666667,0.41800000000000015,0.3790000000000002,0.41484375,0.4175,0.4044550391836244,0.4124473347626685,0.35866666666666663,0.33433333333333337,0.42399999999999977,0.32799999999999996,67.671875,66.5625,67.27540732439572,66.76441131536504,58.666666666666664,66.5,66.0,64.5,0.0,0.0,0.021582951301604314,0.01055679374520342,0.0,1.0,0.0,9.0,8.625,9.32233377012549,15.0,13.0,0.1295774647887324,0.13963028485477058,0.22556390977443608,0.20155038759689922,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
2017-12-19,,UNC Asheville,L,60.0,67.0,22.0,54.0,0.407,9.0,30.0,0.3,7.0,12.0,0.583,12.0,26.0,13.0,10.0,0.0,19.0,20.0,,22.0,46.0,0.478,4.0,19.0,0.211,19.0,26.0,0.731,8.0,31.0,11.0,11.0,1.0,17.0,20.0,3.0,-7.0,0,10,63.5,1,0,0,1,71.875,72.0,71.83346119187843,72.77403025471438,60.666666666666664,75.66666666666667,64.0,81.0,63.46875,63.77777777777778,62.71735345691302,64.0604496786354,56.666666666666664,59.333333333333336,68.0,76.0,9.40625,0.12166082308129667,8.971745007437859,0.12027971557933598,6.0,0.09616726785205854,3.0,0.13092008234055585,6.71875,-0.04697383945580497,6.904698134249327,-0.04778159084715211,5.0,-0.060715373339843615,5.0,-0.03720857263020433,0.43990624999999994,0.4324444444444444,0.4413420352919701,0.4368532949889703,0.3883333333333332,0.4766666666666666,0.41800000000000015,0.5170000000000002,0.41484375,0.42666666666666664,0.4044550391836244,0.42477816515315975,0.35866666666666663,0.39166666666666666,0.42399999999999977,0.49999999999999994,67.671875,67.88888888888889,67.27540732439572,68.4172399666749,58.666666666666664,67.5,66.0,78.5,0.0,0.12345679012345678,0.021582951301604314,0.12413037919078918,0.0,1.1111111111111112,0.0,10.0,8.222222222222221,8.713580576078982,16.333333333333336,5.0,0.12111292962356791,0.12735942841779715,0.24197530864197533,0.06369426751592357,8.40625,0.12422073424151465,9.11610773496541,0.13550431127095808,4.0,0.06818181818181819,-4.0,-0.06060606060606061,Southern
