Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,South Carolina,L,52.0,73.0,17.0,49.0,0.347,6.0,19.0,0.316,12.0,16.0,0.75,5.0,22.0,7.0,3.0,0.0,13.0,16.0,,25.0,54.0,0.463,11.0,23.0,0.478,12.0,16.0,0.75,11.0,35.0,17.0,5.0,3.0,13.0,17.0,,-21.0,0,1,62.5,1,0,0,1,73.38709677419355,,73.5691448874982,,74.0,,94.0,,71.90322580645162,,71.29762255745176,,69.0,,98.0,,10.096774193548388,,10.08934775390725,,10.0,,15.0,,8.548387096774194,,8.869124557875361,,10.333333333333334,,17.0,,0.45919354838709664,,0.46132450776252776,,0.4589999999999999,,0.5400000000000001,,0.45554838709677425,,0.44764291915228754,,0.41366666666666685,,0.4930000000000001,,72.64516129032258,,72.43338372247496,,71.5,,96.0,,0.0,,0.031808495611677506,,0.3333333333333333,,1.0,,,,,,,,,,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-11-16,@,California,L,65.0,79.0,22.0,46.0,0.478,11.0,25.0,0.44,10.0,15.0,0.667,0.0,12.0,18.0,4.0,2.0,16.0,22.0,,29.0,53.0,0.547,5.0,10.0,0.5,16.0,20.0,0.8,12.0,33.0,16.0,6.0,3.0,19.0,18.0,6.0,-14.0,0,2,72.0,0,1,0,-1,73.38709677419355,52.0,73.5691448874982,52.0,74.0,,94.0,52.0,71.90322580645162,73.0,71.29762255745176,73.0,69.0,,98.0,73.0,10.096774193548388,0.03262948404995758,10.08934775390725,0.03262948404995758,10.0,,15.0,0.03262948404995758,8.548387096774194,0.13853043241665935,8.869124557875361,0.13853043241665935,10.333333333333334,,17.0,0.13853043241665935,0.45919354838709664,0.347,0.46132450776252776,0.347,0.4589999999999999,,0.5400000000000001,0.347,0.45554838709677425,0.463,0.44764291915228754,0.463,0.41366666666666685,,0.4930000000000001,0.463,72.64516129032258,62.5,72.43338372247496,62.5,71.5,,96.0,62.5,0.0,2.0,0.031808495611677506,2.0,0.3333333333333333,,1.0,2.0,-21.0,-21.0,,-21.0,-0.336,-0.336,,-0.336,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-11-19,,North Florida,W,86.0,83.0,34.0,64.0,0.531,12.0,26.0,0.462,6.0,9.0,0.667,9.0,27.0,19.0,9.0,5.0,14.0,12.0,,30.0,59.0,0.508,13.0,27.0,0.481,10.0,13.0,0.769,10.0,30.0,13.0,9.0,2.0,15.0,15.0,3.0,3.0,1,3,84.5,1,0,0,1,73.38709677419355,58.5,73.5691448874982,58.70967741935484,74.0,,94.0,65.0,71.90322580645162,76.0,71.29762255745176,76.09677419354838,69.0,,98.0,79.0,10.096774193548388,0.12237307379354734,10.08934775390725,0.12493717635764989,10.0,,15.0,0.1941679455884191,8.548387096774194,0.0022651115803219435,8.869124557875361,-0.001951661807152616,10.333333333333334,,17.0,-0.12365094438236957,0.45919354838709664,0.4125,0.46132450776252776,0.41461290322580646,0.4589999999999999,,0.5400000000000001,0.478,0.45554838709677425,0.505,0.44764291915228754,0.5063548387096775,0.41366666666666685,,0.4930000000000001,0.5469999999999999,72.64516129032258,67.25,72.43338372247496,67.40322580645162,71.5,,96.0,72.0,0.0,0.0,0.031808495611677506,0.003121748178980229,0.3333333333333333,,1.0,3.0,-17.5,-17.387096774193544,,-14.0,-0.26022304832713755,-0.2579564489112227,,-0.19444444444444445,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-11-22,@,Texas Tech,L,56.0,79.0,21.0,54.0,0.389,5.0,20.0,0.25,9.0,12.0,0.75,7.0,27.0,7.0,4.0,2.0,21.0,26.0,,27.0,57.0,0.474,7.0,20.0,0.35,18.0,26.0,0.692,6.0,28.0,17.0,12.0,3.0,13.0,11.0,3.0,-23.0,0,4,67.5,0,1,0,-1,73.38709677419355,67.66666666666667,73.5691448874982,68.3994452149792,74.0,67.66666666666667,94.0,86.0,71.90322580645162,78.33333333333333,71.29762255745176,78.54785020804438,69.0,78.33333333333333,98.0,83.0,10.096774193548388,0.11504706646753998,10.08934775390725,0.11607252328827627,10.0,0.11504706646753998,15.0,0.10508028905890215,8.548387096774194,0.05668840385355828,8.869124557875361,0.057443095032410074,10.333333333333334,0.05668840385355828,17.0,0.1563551559684006,0.45919354838709664,0.45199999999999996,0.46132450776252776,0.4559375866851595,0.4589999999999999,0.45199999999999996,0.5400000000000001,0.5309999999999999,0.45554838709677425,0.506,0.44764291915228754,0.5069389736477116,0.41366666666666685,0.506,0.4930000000000001,0.5079999999999999,72.64516129032258,73.0,72.43338372247496,73.47364771151179,71.5,73.0,96.0,84.5,0.0,0.4444444444444444,0.031808495611677506,0.4469135754971232,0.3333333333333333,0.4444444444444444,1.0,4.0,-10.666666666666657,-10.148404993065185,-10.666666666666657,3.0,-0.1461187214611871,-0.138123059207732,-0.1461187214611871,0.03550295857988166,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-11-26,@,UNC Asheville,L,65.0,85.0,23.0,50.0,0.46,8.0,17.0,0.471,11.0,15.0,0.733,3.0,24.0,11.0,6.0,2.0,13.0,15.0,,31.0,56.0,0.554,11.0,19.0,0.579,12.0,16.0,0.75,6.0,31.0,22.0,9.0,6.0,9.0,16.0,4.0,-20.0,0,5,75.0,0,1,0,-1,73.38709677419355,64.75,73.5691448874982,64.99336060626383,74.0,69.0,94.0,56.0,71.90322580645162,78.5,71.29762255745176,78.67205418818322,69.0,80.33333333333333,98.0,79.0,10.096774193548388,0.08029803171850525,10.08934775390725,0.07779102222574796,10.0,0.09227273934538682,15.0,-0.045667219246745716,8.548387096774194,0.030424682482098675,8.869124557875361,0.02843981933657702,10.333333333333334,-0.002321042601813872,17.0,-0.04770157729376201,0.45919354838709664,0.43624999999999997,0.46132450776252776,0.437550063711354,0.4589999999999999,0.46599999999999997,0.5400000000000001,0.3889999999999999,0.45554838709677425,0.498,0.44764291915228754,0.4978907517939777,0.41366666666666685,0.5096666666666666,0.4930000000000001,0.47399999999999987,72.64516129032258,71.625,72.43338372247496,71.83270739722353,71.5,74.66666666666667,96.0,67.5,0.0,0.0,0.031808495611677506,0.005202913631633714,0.3333333333333333,0.5555555555555556,1.0,5.0,-13.75,-13.67869358191939,-11.333333333333329,-23.0,-0.19197207678883071,-0.19042430777777,-0.15178571428571422,-0.34074074074074073,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-11-29,@,Coastal Carolina,W,87.0,81.0,28.0,51.0,0.549,14.0,25.0,0.56,17.0,22.0,0.773,2.0,19.0,17.0,9.0,0.0,12.0,25.0,,25.0,54.0,0.463,7.0,19.0,0.368,24.0,33.0,0.727,12.0,32.0,11.0,6.0,3.0,16.0,22.0,3.0,6.0,1,6,84.0,0,1,0,-1,73.38709677419355,64.8,73.5691448874982,64.99486516298353,74.0,69.0,94.0,65.0,71.90322580645162,79.8,71.29762255745176,80.10603351993942,69.0,82.33333333333333,98.0,85.0,10.096774193548388,0.07536452678500039,10.08934775390725,0.07278601989113398,10.0,0.04879447847582158,15.0,0.055706407126880686,8.548387096774194,0.03985909654272801,8.869124557875361,0.039565940396527444,10.333333333333334,0.06299385651959322,17.0,0.0747109320137585,0.45919354838709664,0.441,0.46132450776252776,0.4426374563020183,0.4589999999999999,0.45999999999999996,0.5400000000000001,0.45999999999999996,0.45554838709677425,0.5092000000000001,0.44764291915228754,0.5106056998419785,0.41366666666666685,0.512,0.4930000000000001,0.554,72.64516129032258,72.3,72.43338372247496,72.55044934146147,71.5,75.66666666666667,96.0,75.0,0.0,0.24000000000000005,0.031808495611677506,0.3796903891966391,0.3333333333333333,0.6666666666666666,1.0,6.0,-15.0,-15.111168356955886,-13.333333333333329,-20.0,-0.2074688796680498,-0.2082849726517143,-0.17621145374449332,-0.26666666666666666,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-12-06,,Georgia Tech,W,63.0,60.0,21.0,59.0,0.356,12.0,30.0,0.4,9.0,13.0,0.692,11.0,25.0,11.0,10.0,2.0,5.0,13.0,,24.0,42.0,0.571,5.0,13.0,0.385,7.0,8.0,0.875,3.0,29.0,11.0,4.0,3.0,16.0,14.0,7.0,3.0,1,7,61.5,1,0,0,1,73.38709677419355,68.5,73.5691448874982,69.27847538452427,74.0,69.33333333333333,94.0,87.0,71.90322580645162,80.0,71.29762255745176,80.28005671861851,69.0,81.66666666666667,98.0,81.0,10.096774193548388,0.09523476198370268,10.08934775390725,0.09636370397491206,10.0,0.07589871481918836,15.0,0.16923425858576663,8.548387096774194,0.023975637896111457,8.869124557875361,0.021136599420365887,10.333333333333334,-0.007401913124296722,17.0,-0.05426510284462932,0.45919354838709664,0.459,0.46132450776252776,0.4633424273348394,0.4589999999999999,0.4659999999999999,0.5400000000000001,0.5489999999999999,0.45554838709677425,0.5015000000000001,0.44764291915228754,0.5013385781471065,0.41366666666666685,0.49700000000000005,0.4930000000000001,0.4630000000000001,72.64516129032258,74.25,72.43338372247496,74.7792660515714,71.5,75.5,96.0,84.0,0.0,0.7777777777777777,0.031808495611677506,1.104671238385693,0.3333333333333333,7.0,1.0,7.0,-11.5,-11.00158133409424,-12.333333333333343,6.0,-0.15488215488215487,-0.14712074502719802,-0.16335540838852108,0.07142857142857142,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-12-17,N,High Point,W,70.0,57.0,23.0,51.0,0.451,9.0,22.0,0.409,15.0,18.0,0.833,8.0,35.0,11.0,6.0,1.0,10.0,20.0,,20.0,42.0,0.476,4.0,10.0,0.4,13.0,21.0,0.619,0.0,22.0,7.0,5.0,2.0,9.0,16.0,11.0,13.0,1,8,63.5,0,0,1,0,73.38709677419355,67.71428571428571,73.5691448874982,68.19895531569873,74.0,71.66666666666667,94.0,63.0,71.90322580645162,77.14285714285714,71.29762255745176,76.79310696030106,69.0,75.33333333333333,98.0,60.0,10.096774193548388,0.11685538473155443,10.08934775390725,0.12202158512555505,10.0,0.1608942425472742,15.0,0.25790420932468283,8.548387096774194,0.014253415673889214,8.869124557875361,0.009763240820210128,10.333333333333334,-0.008214627590614199,17.0,-0.06352436210388857,0.45919354838709664,0.4442857142857143,0.46132450776252776,0.44488598728411727,0.4589999999999999,0.45499999999999985,0.5400000000000001,0.35599999999999987,0.45554838709677425,0.5114285714285715,0.44764291915228754,0.5133161520495992,0.41366666666666685,0.5293333333333334,0.4930000000000001,0.571,72.64516129032258,72.42857142857143,72.43338372247496,72.49603113799989,71.5,73.5,96.0,61.5,0.0,0.16326530612244897,0.031808495611677506,0.1972165678401271,0.3333333333333333,0.8888888888888888,1.0,8.0,-9.42857142857143,-8.594151644602334,-3.666666666666657,3.0,-0.13017751479289943,-0.11854651226689815,-0.049886621315192614,0.04878048780487805,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-12-20,@,UNC,W,79.0,75.0,28.0,64.0,0.438,7.0,22.0,0.318,16.0,18.0,0.889,5.0,28.0,13.0,5.0,7.0,7.0,25.0,,20.0,55.0,0.364,7.0,25.0,0.28,28.0,38.0,0.737,8.0,36.0,11.0,3.0,5.0,14.0,17.0,3.0,4.0,1,9,77.0,0,1,0,-1,73.38709677419355,68.0,73.5691448874982,68.47807936326623,74.0,73.33333333333333,94.0,70.0,71.90322580645162,74.625,71.29762255745176,73.72559165829213,69.0,66.0,98.0,57.0,10.096774193548388,0.1111079908372879,10.08934775390725,0.11412708559551238,10.0,0.16374836516883873,15.0,0.07218992361039717,8.548387096774194,0.0030585524689757393,8.869124557875361,-0.003747817854528157,10.333333333333334,-0.07110011967964613,17.0,-0.10299804631441489,0.45919354838709664,0.445125,0.46132450776252776,0.4458335306688049,0.4589999999999999,0.4519999999999999,0.5400000000000001,0.45099999999999996,0.45554838709677425,0.507,0.44764291915228754,0.5075329332929975,0.41366666666666685,0.5033333333333333,0.4930000000000001,0.476,72.64516129032258,71.3125,72.43338372247496,71.10183551077918,71.5,69.66666666666667,96.0,63.5,0.0,0.140625,0.031808495611677506,0.15842764082502966,0.3333333333333333,0.0,1.0,0.0,-6.625,-5.247512295025899,7.333333333333329,13.0,-0.09290096406660824,-0.07380276834386879,0.10526315789473677,0.2047244094488189,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
2017-12-30,@,UNC Greensboro,L,67.0,71.0,25.0,54.0,0.463,12.0,26.0,0.462,5.0,9.0,0.556,9.0,27.0,14.0,4.0,3.0,14.0,19.0,,24.0,52.0,0.462,11.0,27.0,0.407,12.0,16.0,0.75,9.0,27.0,16.0,4.0,4.0,11.0,14.0,10.0,-4.0,0,10,69.0,0,1,0,-1,73.38709677419355,69.22222222222223,73.5691448874982,69.97071808199745,74.0,70.66666666666667,94.0,79.0,71.90322580645162,74.66666666666667,71.29762255745176,73.90637911145598,69.0,64.0,98.0,75.0,10.096774193548388,0.09097001991858333,10.08934775390725,0.0882076292934002,10.0,0.08270205299045102,15.0,-0.04770157729376201,8.548387096774194,-0.0010243621038886208,8.869124557875361,-0.008034421341869713,10.333333333333334,-0.06352436210388857,17.0,-0.03352436210388854,0.45919354838709664,0.44433333333333336,0.46132450776252776,0.4447222667100362,0.4589999999999999,0.41499999999999987,0.5400000000000001,0.438,0.45554838709677425,0.4911111111111111,0.44764291915228754,0.4871713642370368,0.41366666666666685,0.4703333333333333,0.4930000000000001,0.364,72.64516129032258,71.94444444444444,72.43338372247496,71.9385485967267,71.5,67.33333333333333,96.0,77.0,0.0,0.49382716049382713,0.031808495611677506,0.6539015649572482,0.3333333333333333,0.0,1.0,10.0,-5.444444444444443,-3.9356610294585295,6.666666666666671,4.0,-0.07567567567567565,-0.054708652123648865,0.09900990099009908,0.05194805194805195,1.483870967741936,0.02042628774422736,2.2715223300464373,0.03136015761392104,5.0,0.06993006993006994,-4.0,-0.041666666666666664,Southern
