Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2017-11-10,,Chattanooga,W,74.0,65.0,20.0,48.0,0.417,10.0,21.0,0.476,24.0,30.0,0.8,3.0,33.0,12.0,5.0,7.0,15.0,19.0,,24.0,60.0,0.4,7.0,23.0,0.304,10.0,14.0,0.714,8.0,37.0,14.0,5.0,2.0,16.0,27.0,,9.0,1,1,69.5,1,0,0,1,79.6875,,80.56681439956981,,78.66666666666667,,75.0,,78.96875,,79.87143990469693,,80.33333333333333,,85.0,,9.09375,,9.638917627048853,,11.0,,9.0,,7.8125,,7.738163046598743,,7.666666666666667,,7.0,,0.4433437500000001,,0.45637538086374657,,0.5056666666666666,,0.48299999999999976,,0.4476875,,0.4596816702469629,,0.48099999999999987,,0.49200000000000005,,79.328125,,80.21912715213337,,79.5,,80.0,,0.125,,0.05816387692383689,,-0.3333333333333333,,0.0,,,,,,,,,,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-11-13,@,Oregon State,W,75.0,66.0,26.0,51.0,0.51,9.0,20.0,0.45,14.0,19.0,0.737,5.0,30.0,14.0,5.0,7.0,16.0,16.0,,24.0,59.0,0.407,4.0,20.0,0.2,14.0,23.0,0.609,8.0,28.0,15.0,9.0,3.0,11.0,21.0,3.0,9.0,1,2,70.5,0,1,0,-1,79.6875,74.0,80.56681439956981,74.0,78.66666666666667,,75.0,74.0,78.96875,65.0,79.87143990469693,65.0,80.33333333333333,,85.0,65.0,9.09375,0.09188104330151686,9.638917627048853,0.09188104330151686,11.0,,9.0,0.09188104330151686,7.8125,0.00955256097303453,7.738163046598743,0.00955256097303453,7.666666666666667,,7.0,0.00955256097303453,0.4433437500000001,0.417,0.45637538086374657,0.417,0.5056666666666666,,0.48299999999999976,0.417,0.4476875,0.4,0.4596816702469629,0.4,0.48099999999999987,,0.49200000000000005,0.4,79.328125,69.5,80.21912715213337,69.5,79.5,,80.0,69.5,0.125,2.0,0.05816387692383689,2.0,-0.3333333333333333,,0.0,2.0,9.0,9.0,,9.0,0.12949640287769784,0.12949640287769784,,0.12949640287769784,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-11-20,,South Dakota State,W,77.0,65.0,25.0,60.0,0.417,8.0,30.0,0.267,19.0,25.0,0.76,7.0,32.0,12.0,8.0,0.0,17.0,24.0,,17.0,46.0,0.37,9.0,25.0,0.36,22.0,30.0,0.733,6.0,36.0,11.0,6.0,2.0,23.0,24.0,7.0,12.0,1,3,71.0,1,0,0,1,79.6875,74.5,80.56681439956981,74.51562499999999,78.66666666666667,,75.0,75.0,78.96875,65.5,79.87143990469693,65.515625,80.33333333333333,,85.0,66.0,9.09375,0.06902597346658124,9.638917627048853,0.06831669472144175,11.0,,9.0,0.04647563789611142,7.8125,-0.061615965157323704,7.738163046598743,-0.06382247801135338,7.666666666666667,,7.0,-0.13170618028570674,0.4433437500000001,0.4635,0.45637538086374657,0.46495312499999997,0.5056666666666666,,0.48299999999999976,0.51,0.4476875,0.40349999999999997,0.4596816702469629,0.403609375,0.48099999999999987,,0.49200000000000005,0.4069999999999999,79.328125,70.0,80.21912715213337,70.01562500000001,79.5,,80.0,70.5,0.125,0.0,0.05816387692383689,0.002929687499999995,-0.3333333333333333,,0.0,3.0,9.0,8.999999999999986,,9.0,0.12857142857142856,0.12854273599642915,,0.1276595744680851,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-11-21,N,Louisiana,W,70.0,61.0,19.0,45.0,0.422,7.0,21.0,0.333,25.0,30.0,0.833,6.0,32.0,11.0,6.0,3.0,17.0,17.0,,22.0,66.0,0.333,4.0,27.0,0.148,13.0,19.0,0.684,14.0,36.0,13.0,10.0,2.0,13.0,25.0,1.0,9.0,1,4,65.5,0,0,1,0,79.6875,75.33333333333333,80.56681439956981,75.39602993817115,78.66666666666667,75.33333333333333,75.0,77.0,78.96875,65.33333333333333,79.87143990469693,65.33289944679466,80.33333333333333,65.33333333333333,85.0,65.0,9.09375,0.044882717542129136,9.638917627048853,0.04292730649062482,11.0,0.044882717542129136,9.0,-0.0018360504155768842,7.8125,-0.007401913124296722,7.738163046598743,-0.005407530736339927,7.666666666666667,-0.007401913124296722,7.0,0.10186025328072684,0.4433437500000001,0.448,0.45637538086374657,0.4479596485519036,0.5056666666666666,0.448,0.48299999999999976,0.41700000000000004,0.4476875,0.39233333333333337,0.4596816702469629,0.39169899121379753,0.48099999999999987,0.39233333333333337,0.49200000000000005,0.36999999999999994,79.328125,70.33333333333333,80.21912715213337,70.36446469248291,79.5,70.33333333333333,80.0,71.0,0.125,0.4444444444444444,0.05816387692383689,0.44676151810447345,-0.3333333333333333,0.4444444444444444,0.0,4.0,10.0,10.063130491376498,10.0,12.0,0.14218009478672985,0.14301438283309428,0.14218009478672985,0.16901408450704225,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-11-22,N,Cincinnati,L,53.0,78.0,15.0,48.0,0.313,6.0,21.0,0.286,17.0,25.0,0.68,4.0,22.0,10.0,3.0,3.0,13.0,15.0,,31.0,62.0,0.5,7.0,14.0,0.5,9.0,14.0,0.643,11.0,35.0,12.0,8.0,5.0,10.0,19.0,1.0,-25.0,0,5,65.5,0,0,1,0,79.6875,74.0,80.56681439956981,73.91800304878046,78.66666666666667,74.0,75.0,70.0,78.96875,64.25,79.87143990469693,64.14607469512195,80.33333333333333,64.0,85.0,61.0,9.09375,0.031070232490706007,9.638917627048853,0.028284221525672948,11.0,0.010799962220435777,9.0,-0.013524362103888576,7.8125,-0.03336872008054226,7.738163046598743,-0.03442339150812207,7.666666666666667,-0.047899362103888565,7.0,-0.11680305062847873,0.4433437500000001,0.4415,0.45637538086374657,0.44084903963414623,0.5056666666666666,0.44966666666666666,0.48299999999999976,0.422,0.4476875,0.3775,0.4596816702469629,0.37562074695121944,0.48099999999999987,0.36999999999999994,0.49200000000000005,0.33299999999999996,79.328125,69.125,80.21912715213337,69.03203887195122,79.5,69.0,80.0,65.5,0.125,0.3125,0.05816387692383689,0.2944195259634332,-0.3333333333333333,0.0,0.0,0.0,9.75,9.77192835365851,10.0,9.0,0.1410488245931284,0.1415564209509245,0.14492753623188406,0.13740458015267176,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-11-29,@,Denver,L,78.0,88.0,23.0,68.0,0.338,10.0,37.0,0.27,22.0,30.0,0.733,7.0,24.0,12.0,10.0,4.0,5.0,25.0,,28.0,50.0,0.56,7.0,15.0,0.467,25.0,32.0,0.781,8.0,44.0,16.0,1.0,0.0,21.0,24.0,7.0,-10.0,0,6,83.0,0,1,0,-1,79.6875,69.8,80.56681439956981,69.19564864392044,78.66666666666667,66.66666666666667,75.0,53.0,78.96875,67.0,79.87143990469693,67.27367464027576,80.33333333333333,68.0,85.0,78.0,9.09375,0.030315179443389406,9.638917627048853,0.027906236932354556,11.0,0.001475637896111437,9.0,0.026098279405545377,7.8125,-0.03591242180538107,7.738163046598743,-0.037006923359905575,7.666666666666667,-0.019406715045065026,7.0,-0.04429359287311935,0.4433437500000001,0.41580000000000006,0.45637538086374657,0.4119864147427786,0.5056666666666666,0.38399999999999995,0.48299999999999976,0.313,0.4476875,0.40199999999999997,0.4596816702469629,0.40370004840931706,0.48099999999999987,0.40099999999999997,0.49200000000000005,0.49999999999999994,79.328125,68.4,80.21912715213337,68.2346616420981,79.5,67.33333333333333,80.0,65.5,0.125,0.24000000000000005,0.05816387692383689,0.21178934346340392,-0.3333333333333333,0.6666666666666666,0.0,0.0,2.799999999999997,1.921974003644678,-1.3333333333333286,-25.0,0.04093567251461984,0.028167121480366448,-0.019801980198019733,-0.3816793893129771,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-12-02,,Drake,W (2 OT),96.0,89.0,35.0,83.0,0.422,13.0,40.0,0.325,13.0,25.0,0.52,12.0,49.0,28.0,11.0,8.0,10.0,23.0,,30.0,76.0,0.395,6.0,17.0,0.353,23.0,29.0,0.793,8.0,48.0,18.0,6.0,3.0,17.0,21.0,3.0,7.0,1,7,92.5,1,0,0,1,79.6875,71.16666666666667,80.56681439956981,70.901550678658,78.66666666666667,67.0,75.0,78.0,78.96875,70.5,79.87143990469693,71.28953897528685,80.33333333333333,75.66666666666667,85.0,88.0,9.09375,0.03776369410220043,9.638917627048853,0.03711129130479546,11.0,0.029759219985663665,9.0,0.07109102251149607,7.8125,-0.044020816004597785,7.738163046598743,-0.046067083704916134,7.666666666666667,-0.0756388995488225,7.0,-0.07488799846752492,0.4433437500000001,0.4028333333333334,0.45637538086374657,0.39765105142660523,0.5056666666666666,0.35766666666666663,0.48299999999999976,0.338,0.4476875,0.4283333333333333,0.4596816702469629,0.4339842107132005,0.48099999999999987,0.46433333333333326,0.49200000000000005,0.56,79.328125,70.83333333333333,80.21912715213337,71.09554482697243,79.5,71.33333333333333,80.0,83.0,0.125,0.0,0.05816387692383689,0.01251386562600178,-0.3333333333333333,0.7777777777777777,0.0,7.0,0.6666666666666714,-0.3879882966288477,-8.666666666666671,-10.0,0.00941176470588242,-0.005457280024692231,-0.12149532710280381,-0.12048192771084337,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-12-06,@,South Carolina,L,64.0,80.0,19.0,56.0,0.339,6.0,25.0,0.24,20.0,26.0,0.769,6.0,32.0,14.0,7.0,3.0,18.0,22.0,,28.0,62.0,0.452,8.0,23.0,0.348,16.0,29.0,0.552,8.0,41.0,17.0,7.0,4.0,16.0,21.0,4.0,-16.0,0,8,72.0,0,1,0,-1,79.6875,74.71428571428571,80.56681439956981,75.19311834536705,78.66666666666667,75.66666666666667,75.0,96.0,78.96875,73.14285714285714,79.87143990469693,74.31783928671445,80.33333333333333,85.0,85.0,89.0,9.09375,0.04785231093626441,9.638917627048853,0.049252140115728205,11.0,0.06973554979038454,9.0,0.09272563789611143,7.8125,-0.055711862103888565,7.738163046598743,-0.05942014335312279,7.666666666666667,-0.07823024445682975,7.0,-0.11127717109265262,0.4433437500000001,0.40557142857142864,0.45637538086374657,0.40181446244367897,0.5056666666666666,0.35766666666666663,0.48299999999999976,0.422,0.4476875,0.42357142857142854,0.4596816702469629,0.427318325659231,0.48099999999999987,0.48499999999999993,0.49200000000000005,0.395,79.328125,73.92857142857143,80.21912715213337,74.75547881604076,79.5,80.33333333333333,80.0,92.5,0.125,0.16326530612244897,0.05816387692383689,0.14783276478223545,-0.3333333333333333,0.0,0.0,8.0,1.5714285714285694,0.8752790586526089,-9.333333333333329,7.0,0.02125603864734297,0.011708560663580348,-0.11618257261410783,0.07567567567567568,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-12-09,,Pacific,W,86.0,72.0,32.0,62.0,0.516,12.0,27.0,0.444,10.0,13.0,0.769,2.0,37.0,19.0,9.0,3.0,13.0,19.0,,25.0,60.0,0.417,6.0,15.0,0.4,16.0,25.0,0.64,5.0,30.0,7.0,6.0,3.0,14.0,18.0,3.0,14.0,1,9,79.0,1,0,0,1,79.6875,73.375,80.56681439956981,73.46947561934061,78.66666666666667,79.33333333333333,75.0,64.0,78.96875,74.0,79.87143990469693,75.19284254133667,80.33333333333333,85.66666666666667,85.0,80.0,9.09375,0.03911618304091552,9.638917627048853,0.03831590095435489,11.0,0.052021856383506426,9.0,-0.032274362103888565,7.8125,-0.05001084859037508,7.738163046598743,-0.05190075688797363,7.666666666666667,-0.06838817533346056,7.0,-0.013524362103888576,0.4433437500000001,0.39725000000000005,0.45637538086374657,0.3921415823811607,0.5056666666666666,0.36633333333333334,0.48299999999999976,0.339,0.4476875,0.427125,0.4596816702469629,0.4311190885146714,0.48099999999999987,0.4689999999999999,0.49200000000000005,0.45199999999999996,79.328125,73.6875,80.21912715213337,74.33115908033865,79.5,82.5,80.0,72.0,0.125,0.0,0.05816387692383689,0.013679661442906445,-0.3333333333333333,1.0,0.0,9.0,-0.625,-1.7233669219960603,-6.333333333333343,-16.0,-0.008481764206955046,-0.02318498652945005,-0.07676767676767689,-0.2222222222222222,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
2017-12-12,,Eastern Washington,W (1 OT),93.0,88.0,35.0,66.0,0.53,6.0,18.0,0.333,17.0,23.0,0.739,4.0,34.0,19.0,4.0,4.0,10.0,18.0,,30.0,62.0,0.484,15.0,30.0,0.5,13.0,21.0,0.619,3.0,29.0,14.0,5.0,2.0,10.0,23.0,3.0,5.0,1,10,90.5,1,0,0,1,79.6875,74.77777777777777,80.56681439956981,75.23426222432845,78.66666666666667,82.0,75.0,86.0,78.96875,73.77777777777777,79.87143990469693,74.74316576982955,80.33333333333333,80.33333333333333,85.0,72.0,9.09375,0.04754547444886037,9.638917627048853,0.04906446901343686,11.0,0.06452441838391632,9.0,0.10508028905890215,7.8125,-0.05147616933280419,7.738163046598743,-0.05347773190054678,7.666666666666667,-0.06456170650222881,7.0,-0.06352436210388857,0.4433437500000001,0.4104444444444445,0.45637538086374657,0.4095856788681438,0.5056666666666666,0.42566666666666664,0.48299999999999976,0.516,0.4476875,0.42599999999999993,0.4596816702469629,0.42913057011525074,0.48099999999999987,0.4213333333333333,0.49200000000000005,0.417,79.328125,74.27777777777777,80.21912715213337,74.988713997079,79.5,81.16666666666667,80.0,79.0,0.125,0.12345679012345678,0.05816387692383689,0.11522553776380855,-0.3333333333333333,1.1111111111111112,0.0,10.0,1.0,0.4910964544989014,1.6666666666666714,14.0,0.013462976813762155,0.006548938211129088,0.020533880903490818,0.17721518987341772,0.71875,0.009060468780776048,0.6953744948728797,0.008668437560460127,-1.6666666666666572,-0.020964360587001976,-10.0,-0.125,MWC
