Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-07,@,St. Bonaventure,W (1 OT),88.0,85.0,28.0,58.0,0.483,9.0,27.0,0.333,23.0,36.0,0.639,9.0,33.0,12.0,1.0,1.0,14.0,21.0,,29.0,60.0,0.483,4.0,19.0,0.211,23.0,31.0,0.742,7.0,29.0,13.0,8.0,5.0,12.0,27.0,,3.0,1,1,86.5,0,1,0,-1,76.78787878787878,,78.04092815863919,,84.66666666666667,,80.0,,73.27272727272727,,73.07875876559419,,78.0,,94.0,,9.424242424242424,,9.858842910410669,,12.333333333333334,,13.0,,6.96969696969697,,7.072448151177589,,7.0,,12.0,,0.4483030303030303,,0.4483490916926164,,0.4870000000000001,,0.4359999999999997,,0.4361212121212121,,0.43987656941853553,,0.4933333333333332,,0.5770000000000008,,75.03030303030303,,75.55984346211669,,81.33333333333333,,87.0,,0.0,,0.04287384730934401,,0.3333333333333333,,-1.0,,,,,,,,,,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-11-10,,Fairfield,L,58.0,60.0,20.0,58.0,0.345,5.0,21.0,0.238,13.0,22.0,0.591,16.0,39.0,14.0,3.0,9.0,14.0,20.0,,20.0,49.0,0.408,6.0,16.0,0.375,14.0,17.0,0.824,6.0,25.0,4.0,5.0,3.0,12.0,23.0,3.0,-2.0,0,2,59.0,1,0,0,1,76.78787878787878,88.0,78.04092815863919,88.0,84.66666666666667,,80.0,88.0,73.27272727272727,85.0,73.07875876559419,85.0,78.0,,94.0,85.0,9.424242424242424,-0.006706180285706742,9.858842910410669,-0.006706180285706742,12.333333333333334,,13.0,-0.006706180285706742,6.96969696969697,-0.17234789151565327,7.072448151177589,-0.17234789151565327,7.0,,12.0,-0.17234789151565327,0.4483030303030303,0.483,0.4483490916926164,0.483,0.4870000000000001,,0.4359999999999997,0.483,0.4361212121212121,0.483,0.43987656941853553,0.483,0.4933333333333332,,0.5770000000000008,0.483,75.03030303030303,86.5,75.55984346211669,86.5,81.33333333333333,,87.0,86.5,0.0,2.0,0.04287384730934401,2.0,0.3333333333333333,,-1.0,2.0,3.0,3.0,,3.0,0.03468208092485549,0.03468208092485549,,0.03468208092485549,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-11-13,,Canisius,L,73.0,82.0,26.0,53.0,0.491,10.0,26.0,0.385,11.0,20.0,0.55,4.0,27.0,14.0,4.0,6.0,15.0,22.0,,26.0,57.0,0.456,10.0,22.0,0.455,20.0,25.0,0.8,6.0,31.0,13.0,8.0,4.0,12.0,21.0,3.0,-9.0,0,3,77.5,1,0,0,1,76.78787878787878,73.0,78.04092815863919,72.54545454545455,84.66666666666667,,80.0,58.0,73.27272727272727,72.5,73.07875876559419,72.12121212121212,78.0,,94.0,60.0,9.424242424242424,-0.025853129227176253,9.858842910410669,-0.02655694355752264,12.333333333333334,,13.0,-0.054903672448716134,6.96969696969697,-0.10662781037975064,7.072448151177589,-0.10428066462489693,7.0,,12.0,-0.013524362103888576,0.4483030303030303,0.414,0.4483490916926164,0.4119090909090909,0.4870000000000001,,0.4359999999999997,0.345,0.4361212121212121,0.4455,0.43987656941853553,0.44436363636363635,0.4933333333333332,,0.5770000000000008,0.40800000000000003,75.03030303030303,72.75,75.55984346211669,72.33333333333333,81.33333333333333,,87.0,59.0,0.0,0.0,0.04287384730934401,0.00275482093663912,0.3333333333333333,,-1.0,3.0,0.5,0.4242424242424221,,-2.0,0.006872852233676976,0.005865102639296158,,-0.03389830508474576,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-11-25,@,Vermont,W,69.0,61.0,23.0,53.0,0.434,8.0,23.0,0.348,15.0,18.0,0.833,4.0,31.0,11.0,4.0,1.0,9.0,19.0,,19.0,60.0,0.317,5.0,20.0,0.25,18.0,19.0,0.947,13.0,39.0,7.0,4.0,2.0,14.0,22.0,12.0,8.0,1,4,65.0,0,1,0,-1,76.78787878787878,73.0,78.04092815863919,72.7062423500612,84.66666666666667,73.0,80.0,73.0,73.27272727272727,75.66666666666667,73.07875876559419,75.6156670746634,78.0,75.66666666666667,94.0,82.0,9.424242424242424,0.01524276118378265,9.858842910410669,0.01748016643940198,12.333333333333334,0.01524276118378265,13.0,0.09743454200570045,6.96969696969697,-0.04920718148714848,7.072448151177589,-0.04420518699300763,7.0,-0.04920718148714848,12.0,0.05232929643269679,0.4483030303030303,0.43966666666666665,0.4483490916926164,0.4398861689106487,0.4870000000000001,0.43966666666666665,0.4359999999999997,0.491,0.4361212121212121,0.449,0.43987656941853553,0.4484798041615667,0.4933333333333332,0.449,0.5770000000000008,0.4560000000000001,75.03030303030303,74.33333333333333,75.55984346211669,74.1609547123623,81.33333333333333,74.33333333333333,87.0,77.5,0.0,0.4444444444444444,0.04287384730934401,0.5574623701663998,0.3333333333333333,0.4444444444444444,-1.0,4.0,-2.6666666666666714,-2.9094247246022036,-2.6666666666666714,-9.0,-0.03587443946188348,-0.03923121993084611,-0.03587443946188348,-0.11612903225806452,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-11-28,,Northeastern,L,78.0,96.0,26.0,53.0,0.491,11.0,25.0,0.44,15.0,22.0,0.682,4.0,21.0,16.0,6.0,2.0,10.0,15.0,,36.0,62.0,0.581,12.0,25.0,0.48,12.0,14.0,0.857,5.0,34.0,24.0,9.0,3.0,7.0,17.0,3.0,-18.0,0,5,87.0,1,0,0,1,76.78787878787878,72.0,78.04092815863919,71.69380038921322,84.66666666666667,66.66666666666667,80.0,69.0,73.27272727272727,72.0,73.07875876559419,71.62307478454268,78.0,67.66666666666667,94.0,61.0,9.424242424242424,0.01980897122944475,9.858842910410669,0.021902688809976922,12.333333333333334,0.03147563789611141,13.0,0.034301724852633164,6.96969696969697,-0.05310769543722188,7.072448151177589,-0.049653403878042124,7.0,-0.0031795345176817147,12.0,-0.06762272275962627,0.4483030303030303,0.43825,0.4483490916926164,0.43827823185988324,0.4870000000000001,0.42333333333333334,0.4359999999999997,0.43400000000000005,0.4361212121212121,0.416,0.43987656941853553,0.4125631915485126,0.4933333333333332,0.39366666666666666,0.5770000000000008,0.3170000000000001,75.03030303030303,72.0,75.55984346211669,71.65843758687795,81.33333333333333,67.16666666666667,87.0,65.0,0.0,0.0,0.04287384730934401,1.6833599865331127e-05,0.3333333333333333,0.5555555555555556,-1.0,5.0,0.0,0.07072560467054245,-1.0,8.0,0.0,0.0009869822319918077,-0.014888337468982629,0.12307692307692308,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-12-01,,Monmouth,W,65.0,43.0,21.0,53.0,0.396,11.0,34.0,0.324,12.0,18.0,0.667,4.0,32.0,14.0,10.0,4.0,11.0,15.0,,17.0,52.0,0.327,3.0,15.0,0.2,6.0,15.0,0.4,8.0,36.0,12.0,4.0,4.0,17.0,18.0,3.0,22.0,1,6,54.0,1,0,0,1,76.78787878787878,73.2,78.04092815863919,73.11240273539448,84.66666666666667,73.33333333333333,80.0,78.0,73.27272727272727,76.8,73.07875876559419,77.10675202878683,78.0,79.66666666666667,94.0,96.0,9.424242424242424,0.038934654289554005,9.858842910410669,0.04293794440827198,12.333333333333334,0.08193018335065694,13.0,0.10955256097303451,6.96969696969697,-0.02446186210388851,7.072448151177589,-0.0185291210358981,7.0,0.02538777178732482,12.0,0.061475637896111435,0.4483030303030303,0.4488,0.4483490916926164,0.45013818374761977,0.4870000000000001,0.47200000000000003,0.4359999999999997,0.49100000000000005,0.4361212121212121,0.449,0.43987656941853553,0.45045365908839924,0.4933333333333332,0.45133333333333336,0.5770000000000008,0.5810000000000002,75.03030303030303,75.0,75.55984346211669,75.10957738209065,81.33333333333333,76.5,87.0,87.0,0.0,0.24000000000000005,0.04287384730934401,0.2997979972510191,0.3333333333333333,0.6666666666666666,-1.0,6.0,-3.5999999999999943,-3.9943492933923466,-6.333333333333343,-18.0,-0.047999999999999925,-0.053180292482177795,-0.08278867102396527,-0.20689655172413793,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-12-04,@,La Salle,W,92.0,79.0,29.0,52.0,0.558,11.0,24.0,0.458,23.0,32.0,0.719,5.0,29.0,21.0,8.0,5.0,18.0,28.0,,22.0,65.0,0.338,6.0,22.0,0.273,29.0,35.0,0.829,13.0,33.0,11.0,13.0,5.0,18.0,28.0,3.0,13.0,1,7,85.5,0,1,0,-1,76.78787878787878,71.83333333333333,78.04092815863919,71.54747075310111,84.66666666666667,70.66666666666667,80.0,65.0,73.27272727272727,71.16666666666667,73.07875876559419,70.52735147349591,78.0,66.66666666666667,94.0,43.0,9.424242424242424,0.06234570750167989,9.858842910410669,0.06944142976440099,12.333333333333334,0.11100393978290385,13.0,0.1941679455884191,6.96969696969697,-0.03249391713901739,7.072448151177589,-0.02860775709079061,7.0,-0.013524362103888576,12.0,-0.1042220365224932,0.4483030303030303,0.43999999999999995,0.4483490916926164,0.439694597799861,0.4870000000000001,0.4403333333333334,0.4359999999999997,0.396,0.4361212121212121,0.4286666666666667,0.43987656941853553,0.42663869504628377,0.4933333333333332,0.4083333333333334,0.5770000000000008,0.3270000000000002,75.03030303030303,71.5,75.55984346211669,71.0374111132985,81.33333333333333,68.66666666666667,87.0,54.0,0.0,0.7777777777777777,0.04287384730934401,0.9755591477911996,0.3333333333333333,0.7777777777777777,-1.0,7.0,0.6666666666666572,1.020119279605197,4.0,22.0,0.009324009324009192,0.014360310484544479,0.058252427184466014,0.4074074074074074,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-12-15,@,Ohio State,L,71.0,73.0,23.0,55.0,0.418,12.0,30.0,0.4,13.0,18.0,0.722,5.0,28.0,13.0,6.0,1.0,8.0,20.0,,27.0,56.0,0.482,6.0,15.0,0.4,13.0,18.0,0.722,9.0,39.0,15.0,2.0,3.0,13.0,14.0,11.0,-2.0,0,8,72.0,0,1,0,-1,76.78787878787878,74.71428571428571,78.04092815863919,75.02642173362426,84.66666666666667,78.33333333333333,80.0,92.0,73.27272727272727,72.28571428571429,73.07875876559419,71.968538944399,78.0,72.66666666666667,94.0,79.0,9.424242424242424,0.059324586270872504,9.858842910410669,0.06437913818083313,12.333333333333334,0.10775223364079234,13.0,0.04517129007002446,6.96969696969697,-0.04079708937661586,7.072448151177589,-0.03926346184031321,7.0,-0.024533536415815183,12.0,-0.08567626083806579,0.4483030303030303,0.4568571428571428,0.4483490916926164,0.45981820647519217,0.4870000000000001,0.48166666666666674,0.4359999999999997,0.558,0.4361212121212121,0.41571428571428576,0.43987656941853553,0.41156135809098676,0.4933333333333332,0.4153333333333334,0.5770000000000008,0.33800000000000024,75.03030303030303,73.5,75.55984346211669,73.49748033901163,81.33333333333333,75.5,87.0,85.5,0.0,0.16326530612244897,0.04287384730934401,0.15616765379953618,0.3333333333333333,0.8888888888888888,-1.0,8.0,2.4285714285714164,3.0578827892252605,5.666666666666657,13.0,0.03304178814382879,0.0416052737470807,0.07505518763796896,0.15204678362573099,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-12-19,@,Saint Mary's,L,56.0,85.0,22.0,63.0,0.349,5.0,25.0,0.2,7.0,7.0,1.0,6.0,24.0,14.0,3.0,2.0,7.0,11.0,,35.0,64.0,0.547,10.0,21.0,0.476,5.0,5.0,1.0,8.0,40.0,18.0,6.0,1.0,10.0,14.0,4.0,-29.0,0,9,70.5,0,1,0,-1,76.78787878787878,74.25,78.04092815863919,74.41011218988945,84.66666666666667,76.0,80.0,71.0,73.27272727272727,72.375,73.07875876559419,72.12642088886821,78.0,65.0,94.0,73.0,9.424242424242424,0.07536452678500033,9.858842910410669,0.08324004675778662,12.333333333333334,0.13384405894874302,13.0,0.19351789141723819,6.96969696969697,-0.04409431029041705,7.072448151177589,-0.04355251459043147,7.0,-0.08275513133465778,12.0,-0.06694901963813515,0.4483030303030303,0.45199999999999996,0.4483490916926164,0.45341724764435076,0.4870000000000001,0.4573333333333334,0.4359999999999997,0.4179999999999999,0.4361212121212121,0.42400000000000004,0.43987656941853553,0.42234314155239483,0.4933333333333332,0.3823333333333334,0.5770000000000008,0.48200000000000026,75.03030303030303,73.3125,75.55984346211669,73.26826653937883,81.33333333333333,70.5,87.0,72.0,0.0,0.0,0.04287384730934401,0.010858638018426785,0.3333333333333333,1.0,-1.0,9.0,1.875,2.2836913010212356,11.0,-2.0,0.02557544757033248,0.03116890038327631,0.15602836879432624,-0.027777777777777776,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
2018-12-22,N,Rhode Island,W,84.0,82.0,28.0,55.0,0.509,9.0,20.0,0.45,19.0,26.0,0.731,4.0,33.0,13.0,3.0,0.0,13.0,17.0,,31.0,70.0,0.443,8.0,24.0,0.333,12.0,23.0,0.522,9.0,31.0,8.0,7.0,3.0,9.0,21.0,3.0,2.0,1,10,83.0,0,0,1,0,76.78787878787878,72.22222222222223,78.04092815863919,71.83484453113651,84.66666666666667,73.0,80.0,56.0,73.27272727272727,73.77777777777777,73.07875876559419,73.92721990602477,78.0,79.0,94.0,85.0,9.424242424242424,0.06493717635764984,9.858842910410669,0.0691829314545705,12.333333333333334,0.07003728173172785,13.0,-0.045667219246745716,6.96969696969697,-0.03340388017617768,7.072448151177589,-0.030208144823641536,7.0,-0.03504334944566073,12.0,0.03941681436669969,0.4483030303030303,0.44055555555555553,0.4483490916926164,0.4388110161287075,0.4870000000000001,0.4416666666666667,0.4359999999999997,0.3489999999999999,0.4361212121212121,0.4376666666666667,0.43987656941853553,0.4397805570711424,0.4933333333333332,0.45566666666666683,0.5770000000000008,0.5470000000000004,75.03030303030303,73.0,75.55984346211669,72.88103221858064,81.33333333333333,76.0,87.0,70.5,0.0,0.12345679012345678,0.04287384730934401,0.2881825886258595,0.3333333333333333,10.0,-1.0,10.0,-1.555555555555543,-2.092375374888263,-6.0,-29.0,-0.021308980213089627,-0.028709464056613936,-0.07894736842105263,-0.41134751773049644,3.5151515151515156,0.04684975767366721,4.962169393045002,0.06567204437808129,6.666666666666671,0.08196721311475416,-14.0,-0.16091954022988506,Patriot
