Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-08,@,Illinois,L,60.0,99.0,20.0,53.0,0.377,6.0,24.0,0.25,14.0,22.0,0.636,6.0,26.0,9.0,7.0,0.0,24.0,16.0,,40.0,71.0,0.563,12.0,28.0,0.429,7.0,14.0,0.5,10.0,38.0,22.0,11.0,4.0,14.0,21.0,,-39.0,0,1,79.5,0,1,0,-1,69.23333333333333,,67.46652120729733,,72.0,,60.0,,73.2,,72.32620386064171,,75.33333333333333,,65.0,,8.233333333333333,,8.357445320548905,,9.666666666666666,,7.0,,6.333333333333333,,6.1305404689578475,,5.0,,3.0,,0.41953333333333326,,0.4154504711405907,,0.3983333333333336,,0.2949999999999998,,0.44920000000000015,,0.45841814938221553,,0.48466666666666675,,0.3620000000000001,,71.21666666666667,,69.89636253396952,,73.66666666666667,,62.5,,-0.03333333333333333,,-0.0569155381909823,,0.0,,0.0,,,,,,,,,,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-11-10,@,Xavier,L,85.0,91.0,27.0,59.0,0.458,17.0,33.0,0.515,14.0,18.0,0.778,3.0,22.0,20.0,5.0,1.0,9.0,25.0,,32.0,62.0,0.516,10.0,22.0,0.455,17.0,31.0,0.548,18.0,47.0,18.0,4.0,6.0,12.0,21.0,2.0,-6.0,0,2,88.0,0,1,0,-1,69.23333333333333,60.0,67.46652120729733,60.0,72.0,,60.0,60.0,73.2,99.0,72.32620386064171,99.0,75.33333333333333,,65.0,99.0,8.233333333333333,-0.013524362103888576,8.357445320548905,-0.013524362103888576,9.666666666666666,,7.0,-0.013524362103888576,6.333333333333333,0.05011200153247508,6.1305404689578475,0.05011200153247508,5.0,,3.0,0.05011200153247508,0.41953333333333326,0.377,0.4154504711405907,0.377,0.3983333333333336,,0.2949999999999998,0.377,0.44920000000000015,0.563,0.45841814938221553,0.563,0.48466666666666675,,0.3620000000000001,0.563,71.21666666666667,79.5,69.89636253396952,79.5,73.66666666666667,,62.5,79.5,-0.03333333333333333,2.0,-0.0569155381909823,2.0,0.0,,0.0,2.0,-39.0,-39.0,,-39.0,-0.49056603773584906,-0.49056603773584906,,-0.49056603773584906,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-11-18,,Texas Southern,W,85.0,63.0,30.0,64.0,0.469,10.0,22.0,0.455,15.0,21.0,0.714,8.0,45.0,16.0,8.0,4.0,18.0,20.0,,23.0,71.0,0.324,5.0,22.0,0.227,12.0,18.0,0.667,12.0,41.0,4.0,6.0,2.0,17.0,21.0,8.0,22.0,1,3,74.0,1,0,0,1,69.23333333333333,72.5,67.46652120729733,72.91666666666666,72.0,,60.0,85.0,73.2,95.0,72.32620386064171,94.86666666666667,75.33333333333333,,65.0,91.0,8.233333333333333,0.16233770686162868,8.357445320548905,0.16716135218182576,9.666666666666666,,7.0,0.2864756378961114,6.333333333333333,0.03384405894874304,6.1305404689578475,0.03327816776259068,5.0,,3.0,0.0161459675664411,0.41953333333333326,0.4175,0.4154504711405907,0.41885,0.3983333333333336,,0.2949999999999998,0.45799999999999996,0.44920000000000015,0.5395,0.45841814938221553,0.5387166666666666,0.48466666666666675,,0.3620000000000001,0.516,71.21666666666667,83.75,69.89636253396952,83.89166666666667,73.66666666666667,,62.5,88.0,-0.03333333333333333,3.0,-0.0569155381909823,3.0,0.0,,0.0,3.0,-22.5,-21.950000000000017,,-6.0,-0.26865671641791045,-0.261646965332274,,-0.06818181818181818,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-11-24,@,Ball State,L,72.0,82.0,26.0,53.0,0.491,8.0,17.0,0.471,12.0,20.0,0.6,6.0,28.0,12.0,5.0,3.0,11.0,25.0,,30.0,63.0,0.476,8.0,20.0,0.4,14.0,24.0,0.583,13.0,39.0,16.0,7.0,2.0,11.0,21.0,6.0,-10.0,0,4,77.0,0,1,0,-1,69.23333333333333,76.66666666666667,67.46652120729733,77.21584598296927,72.0,76.66666666666667,60.0,85.0,73.2,84.33333333333333,72.32620386064171,83.52869307663829,75.33333333333333,84.33333333333333,65.0,63.0,8.233333333333333,0.11691042050480704,8.357445320548905,0.11712868737827486,9.666666666666666,0.11691042050480704,7.0,0.03941681436669969,6.333333333333333,0.006633740662909893,6.1305404689578475,0.004106427175003036,5.0,0.006633740662909893,3.0,-0.07542912400865048,0.41953333333333326,0.4346666666666666,0.4154504711405907,0.4366930766382821,0.3983333333333336,0.4346666666666666,0.2949999999999998,0.4689999999999999,0.44920000000000015,0.4676666666666667,0.45841814938221553,0.4623217326915957,0.48466666666666675,0.4676666666666667,0.3620000000000001,0.32400000000000007,71.21666666666667,80.5,69.89636253396952,80.37226952980379,73.66666666666667,80.5,62.5,74.0,-0.03333333333333333,0.4444444444444444,-0.0569155381909823,0.33272523333535753,0.0,0.4444444444444444,0.0,4.0,-7.666666666666657,-6.312847093669021,-7.666666666666657,22.0,-0.09523809523809512,-0.07854508937722705,-0.09523809523809512,0.2972972972972973,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-11-28,,Wyoming,W,86.0,78.0,28.0,63.0,0.444,8.0,27.0,0.296,22.0,31.0,0.71,4.0,34.0,14.0,5.0,1.0,9.0,23.0,,26.0,59.0,0.441,4.0,19.0,0.211,22.0,27.0,0.815,3.0,41.0,7.0,3.0,1.0,16.0,28.0,4.0,8.0,1,5,82.0,1,0,0,1,69.23333333333333,75.5,67.46652120729733,75.77869034406214,72.0,80.66666666666667,60.0,72.0,73.2,83.75,72.32620386064171,83.10748242693306,75.33333333333333,78.66666666666667,65.0,82.0,8.233333333333333,0.09376040610803199,8.357445320548905,0.0916506905495828,9.666666666666666,0.12035993541677259,7.0,0.01980897122944475,6.333333333333333,-9.152628299302634e-05,6.1305404689578475,-0.0026760151800781506,5.0,-0.021151480747956364,3.0,-0.02084143527462029,0.41953333333333326,0.44875,0.4154504711405907,0.45165661302256743,0.3983333333333336,0.4726666666666666,0.2949999999999998,0.491,0.44920000000000015,0.46975,0.45841814938221553,0.4660905937846837,0.48466666666666675,0.4386666666666667,0.3620000000000001,0.47600000000000003,71.21666666666667,79.625,69.89636253396952,79.44308638549761,73.66666666666667,79.66666666666667,62.5,77.0,-0.03333333333333333,1.25,-0.0569155381909823,1.1736053557323642,0.0,0.5555555555555556,0.0,5.0,-8.25,-7.328792082870919,2.0,-10.0,-0.10361067503924647,-0.09225210671332622,0.02510460251046025,-0.12987012987012986,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-12-04,@,Arkansas State,L,77.0,87.0,22.0,56.0,0.393,6.0,23.0,0.261,27.0,34.0,0.794,4.0,24.0,11.0,5.0,3.0,11.0,23.0,,28.0,62.0,0.452,9.0,24.0,0.375,22.0,26.0,0.846,11.0,39.0,12.0,5.0,4.0,12.0,28.0,6.0,-10.0,0,6,82.0,0,1,0,-1,69.23333333333333,77.6,67.46652120729733,78.10428575898355,72.0,81.0,60.0,86.0,73.2,82.6,72.32620386064171,81.94540651751504,75.33333333333333,74.33333333333333,65.0,78.0,8.233333333333333,0.06534161727755478,8.357445320548905,0.060058154354242055,9.666666666666666,0.007463292217099071,7.0,-0.034454594662028104,6.333333333333333,-0.030231383895656105,6.1305404689578475,-0.036677926046135345,5.0,-0.08482481053438182,3.0,-0.1596782082577347,0.41953333333333326,0.4478,0.4154504711405907,0.44991454818562493,0.3983333333333336,0.46799999999999997,0.2949999999999998,0.44400000000000006,0.44920000000000015,0.46399999999999997,0.45841814938221553,0.46038187623013643,0.48466666666666675,0.4136666666666667,0.3620000000000001,0.44100000000000006,71.21666666666667,80.1,69.89636253396952,80.0248461382493,73.66666666666667,77.66666666666667,62.5,82.0,-0.03333333333333333,0.24000000000000005,-0.0569155381909823,0.12916938770387235,0.0,0.6666666666666666,0.0,6.0,-5.0,-3.8411207585314884,6.666666666666671,8.0,-0.06242197253433209,-0.047999102077567836,0.08583690987124469,0.0975609756097561,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-12-09,,Ball State,W,89.0,77.0,27.0,65.0,0.415,8.0,25.0,0.32,27.0,30.0,0.9,12.0,41.0,14.0,4.0,2.0,10.0,20.0,,28.0,59.0,0.475,4.0,21.0,0.19,17.0,25.0,0.68,6.0,32.0,9.0,6.0,4.0,11.0,23.0,5.0,12.0,1,7,83.0,1,0,0,1,69.23333333333333,77.5,67.46652120729733,77.88824964544938,72.0,78.33333333333333,60.0,77.0,73.2,83.33333333333333,72.32620386064171,82.9342581101103,75.33333333333333,82.33333333333333,65.0,87.0,8.233333333333333,0.04131434757353081,8.357445320548905,0.03301723726424072,9.666666666666666,-0.032673298274101314,7.0,-0.0797581283376548,6.333333333333333,-0.02552436210388853,6.1305404689578475,-0.0298032200924096,5.0,-0.058463633358949274,3.0,-0.003179534517681659,0.41953333333333326,0.4386666666666666,0.4154504711405907,0.43878011337692757,0.3983333333333336,0.4426666666666666,0.2949999999999998,0.39300000000000007,0.44920000000000015,0.46199999999999997,0.45841814938221553,0.45874209418083267,0.48466666666666675,0.4563333333333333,0.3620000000000001,0.452,71.21666666666667,80.41666666666667,69.89636253396952,80.41125387777986,73.66666666666667,80.33333333333333,62.5,82.0,-0.03333333333333333,0.7777777777777777,-0.0569155381909823,0.688655458272379,0.0,0.7777777777777777,0.0,7.0,-5.833333333333329,-5.046008464660929,-4.0,-10.0,-0.07253886010362688,-0.06275251561591802,-0.049792531120331954,-0.12195121951219512,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-12-15,,Jacksonville State,L,50.0,55.0,16.0,52.0,0.308,6.0,25.0,0.24,12.0,17.0,0.706,3.0,34.0,10.0,11.0,3.0,12.0,13.0,,21.0,60.0,0.35,7.0,23.0,0.304,6.0,8.0,0.75,9.0,45.0,13.0,6.0,4.0,17.0,18.0,6.0,-5.0,0,8,52.5,1,0,0,1,69.23333333333333,79.14285714285714,67.46652120729733,79.8100992595153,72.0,84.0,60.0,89.0,73.2,82.42857142857143,72.32620386064171,81.90788950977432,75.33333333333333,80.66666666666667,65.0,77.0,8.233333333333333,0.027630872553151165,8.357445320548905,0.018189496394935556,9.666666666666666,-0.05161960019912665,7.0,-0.043861440755573966,6.333333333333333,-0.043160410630751656,6.1305404689578475,-0.05059512627108004,5.0,-0.10278056045099601,3.0,-0.15768020625973272,0.41953333333333326,0.4352857142857142,0.4154504711405907,0.4346671878469569,0.3983333333333336,0.4173333333333333,0.2949999999999998,0.41500000000000004,0.44920000000000015,0.46385714285714286,0.45841814938221553,0.46155400490840687,0.48466666666666675,0.45599999999999996,0.3620000000000001,0.47500000000000003,71.21666666666667,80.78571428571429,69.89636253396952,80.85899438464482,73.66666666666667,82.33333333333333,62.5,83.0,-0.03333333333333333,0.16326530612244897,-0.0569155381909823,0.05978836000297405,0.0,0.8888888888888888,0.0,8.0,-3.285714285714292,-2.097790250259024,3.3333333333333286,12.0,-0.040671971706454535,-0.025943808307581376,0.040485829959514115,0.14457831325301204,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-12-18,@,Murray State,L,64.0,66.0,23.0,53.0,0.434,6.0,21.0,0.286,12.0,16.0,0.75,6.0,34.0,14.0,5.0,4.0,13.0,18.0,,23.0,59.0,0.39,6.0,21.0,0.286,14.0,21.0,0.667,10.0,32.0,12.0,4.0,8.0,8.0,16.0,3.0,-2.0,0,9,65.0,0,1,0,-1,69.23333333333333,75.5,67.46652120729733,75.1586530124782,72.0,72.0,60.0,50.0,73.2,79.0,72.32620386064171,77.70929222949262,75.33333333333333,73.0,65.0,55.0,8.233333333333333,0.02919086968419088,8.357445320548905,0.021125721247361784,9.666666666666666,-0.035746584326110775,7.0,0.04647563789611142,6.333333333333333,-0.033461070964648065,6.1305404689578475,-0.03746539621271411,5.0,-0.03955175936416255,3.0,0.06829381971429327,0.41953333333333326,0.41937499999999994,0.4154504711405907,0.4149025567263341,0.3983333333333336,0.37199999999999994,0.2949999999999998,0.3080000000000001,0.44920000000000015,0.449625,0.45841814938221553,0.4441475731835095,0.48466666666666675,0.42566666666666664,0.3620000000000001,0.35,71.21666666666667,77.25,69.89636253396952,76.43397262098541,73.66666666666667,72.5,62.5,52.5,-0.03333333333333333,0.0,-0.0569155381909823,0.06211385632092189,0.0,1.0,0.0,9.0,-3.5,-2.550639217014421,-1.0,-5.0,-0.045307443365695796,-0.03337049128222504,-0.013793103448275862,-0.09523809523809523,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
2018-12-22,,Green Bay,W,80.0,75.0,25.0,57.0,0.439,6.0,17.0,0.353,24.0,28.0,0.857,9.0,39.0,11.0,5.0,3.0,12.0,14.0,,27.0,67.0,0.403,9.0,23.0,0.391,12.0,18.0,0.667,11.0,33.0,11.0,9.0,5.0,13.0,22.0,4.0,5.0,1,10,77.5,1,0,0,1,69.23333333333333,74.22222222222223,67.46652120729733,73.56349120417251,72.0,67.66666666666667,60.0,64.0,73.2,77.55555555555556,72.32620386064171,76.03541494825713,75.33333333333333,66.0,65.0,66.0,8.233333333333333,0.02330198520150062,8.357445320548905,0.014484429682129152,9.666666666666666,-0.017957859640834406,7.0,-0.032274362103888565,6.333333333333333,-0.034154734596725245,6.1305404689578475,-0.037878810977432176,5.0,-0.055948604528130996,3.0,-0.04079708937661586,0.41953333333333326,0.421,0.4154504711405907,0.417632591625024,0.3983333333333336,0.3856666666666666,0.2949999999999998,0.4340000000000001,0.44920000000000015,0.443,0.45841814938221553,0.43640702056858516,0.48466666666666675,0.40499999999999997,0.3620000000000001,0.39,71.21666666666667,75.88888888888889,69.89636253396952,74.79945307621482,73.66666666666667,66.83333333333333,62.5,65.0,-0.03333333333333333,0.12345679012345678,-0.0569155381909823,0.051485330552500555,0.0,1.1111111111111112,0.0,10.0,-3.3333333333333286,-2.47192374408462,1.6666666666666714,-2.0,-0.04392386530014635,-0.033047350514260075,0.0249376558603492,-0.03076923076923077,-3.9666666666666686,-0.055698572431546946,-4.859682653344379,-0.06952697504083392,-3.3333333333333286,-0.04524886877828047,-5.0,-0.08,MVC
