Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-06,@,Xavier,L,69.0,82.0,20.0,56.0,0.357,9.0,27.0,0.333,20.0,26.0,0.769,8.0,35.0,11.0,4.0,3.0,15.0,22.0,,31.0,66.0,0.47,9.0,29.0,0.31,11.0,19.0,0.579,13.0,40.0,18.0,10.0,6.0,13.0,22.0,,-13.0,0,1,75.5,0,1,0,-1,74.06451612903226,,73.51736635651693,,64.0,,73.0,,73.74193548387096,,74.2959910733725,,74.33333333333333,,78.0,,6.935483870967742,,7.105893784805066,,6.333333333333333,,8.0,,8.32258064516129,,8.856172752325115,,8.333333333333334,,8.0,,0.44409677419354837,,0.4445231200830477,,0.4066666666666665,,0.4460000000000003,,0.4555483870967742,,0.4598406277851378,,0.45500000000000007,,0.4210000000000003,,73.90322580645162,,73.90667871494472,,69.16666666666667,,75.5,,-0.0967741935483871,,-0.14809870605042036,,-1.0,,-1.0,,,,,,,,,,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-10,,Eastern Illinois,W,71.0,65.0,22.0,57.0,0.386,7.0,25.0,0.28,20.0,29.0,0.69,10.0,35.0,16.0,5.0,4.0,17.0,20.0,,19.0,53.0,0.358,6.0,17.0,0.353,21.0,26.0,0.808,7.0,32.0,11.0,6.0,5.0,18.0,27.0,4.0,6.0,1,2,68.0,1,0,0,1,74.06451612903226,69.0,73.51736635651693,69.0,64.0,,73.0,69.0,73.74193548387096,82.0,74.2959910733725,82.0,74.33333333333333,,78.0,82.0,6.935483870967742,0.07777998572219841,7.105893784805066,0.07777998572219841,6.333333333333333,,8.0,0.07777998572219841,8.32258064516129,0.01574393057903828,8.856172752325115,0.01574393057903828,8.333333333333334,,8.0,0.01574393057903828,0.44409677419354837,0.357,0.4445231200830477,0.357,0.4066666666666665,,0.4460000000000003,0.357,0.4555483870967742,0.47,0.4598406277851378,0.47,0.45500000000000007,,0.4210000000000003,0.47,73.90322580645162,75.5,73.90667871494472,75.5,69.16666666666667,,75.5,75.5,-0.0967741935483871,2.0,-0.14809870605042036,2.0,-1.0,,-1.0,2.0,-13.0,-13.0,,-13.0,-0.17218543046357615,-0.17218543046357615,,-0.17218543046357615,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-14,@,Boston College,W,76.0,69.0,24.0,60.0,0.4,8.0,25.0,0.32,20.0,25.0,0.8,15.0,38.0,11.0,7.0,2.0,12.0,23.0,,21.0,46.0,0.457,8.0,21.0,0.381,19.0,29.0,0.655,5.0,27.0,11.0,4.0,2.0,15.0,19.0,4.0,7.0,1,3,72.5,0,1,0,-1,74.06451612903226,70.0,73.51736635651693,70.03225806451613,64.0,,73.0,71.0,73.74193548387096,73.5,74.2959910733725,73.2258064516129,74.33333333333333,,78.0,65.0,6.935483870967742,0.029332780753254295,7.105893784805066,0.027793003165572483,6.333333333333333,,8.0,-0.017749714216564627,8.32258064516129,-0.007401913124296722,8.856172752325115,-0.008238018491553756,8.333333333333334,,8.0,-0.03660128518081163,0.44409677419354837,0.3715,0.4445231200830477,0.3719677419354838,0.4066666666666665,,0.4460000000000003,0.386,0.4555483870967742,0.414,0.4598406277851378,0.4121935483870967,0.45500000000000007,,0.4210000000000003,0.358,73.90322580645162,71.75,73.90667871494472,71.62903225806451,69.16666666666667,,75.5,68.0,-0.0967741935483871,0.0,-0.14809870605042036,0.003121748178980229,-1.0,,-1.0,3.0,-3.5,-3.1935483870967687,,6.0,-0.04878048780487805,-0.04458455302859709,,0.08823529411764706,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-16,@,Richmond,L,70.0,78.0,28.0,54.0,0.519,7.0,20.0,0.35,7.0,14.0,0.5,7.0,30.0,13.0,8.0,4.0,14.0,19.0,,26.0,50.0,0.52,6.0,17.0,0.353,20.0,29.0,0.69,2.0,23.0,12.0,11.0,5.0,12.0,13.0,2.0,-8.0,0,4,74.0,0,1,0,-1,74.06451612903226,72.0,73.51736635651693,72.15117891816921,64.0,72.0,73.0,76.0,73.74193548387096,72.0,74.2959910733725,71.7253814147018,74.33333333333333,72.0,78.0,69.0,6.935483870967742,0.01980897122944475,7.105893784805066,0.018245500067157694,6.333333333333333,0.01980897122944475,8.0,0.0022651115803219435,8.32258064516129,0.0059200823405558545,8.856172752325115,0.006292321966189174,8.333333333333334,0.0059200823405558545,8.0,0.034301724852633164,0.44409677419354837,0.381,0.4445231200830477,0.3819209431345354,0.4066666666666665,0.381,0.4460000000000003,0.4,0.4555483870967742,0.4283333333333333,0.4598406277851378,0.4281026352288488,0.45500000000000007,0.4283333333333333,0.4210000000000003,0.45699999999999996,73.90322580645162,72.0,73.90667871494472,71.9382801664355,69.16666666666667,72.0,75.5,72.5,-0.0967741935483871,0.4444444444444444,-0.14809870605042036,0.4469135754971232,-1.0,0.4444444444444444,-1.0,4.0,0.0,0.4257975034674075,0.0,7.0,0.0,0.005918928037788612,0.0,0.09655172413793103,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-23,N,St. Francis (NY),W,68.0,48.0,28.0,54.0,0.519,2.0,13.0,0.154,10.0,16.0,0.625,5.0,37.0,7.0,11.0,2.0,15.0,15.0,,18.0,53.0,0.34,4.0,16.0,0.25,8.0,16.0,0.5,4.0,25.0,4.0,6.0,5.0,18.0,15.0,7.0,20.0,1,5,58.0,0,0,1,0,74.06451612903226,71.5,73.51736635651693,71.56025752799947,64.0,72.33333333333333,73.0,70.0,73.74193548387096,73.5,74.2959910733725,73.44899738448126,74.33333333333333,70.66666666666667,78.0,78.0,6.935483870967742,0.01165046307093659,7.105893784805066,0.009708708976254088,6.333333333333333,-0.009376896666100532,8.0,-0.013524362103888576,8.32258064516129,-0.017605994756949794,8.856172752325115,-0.019684344134535126,8.333333333333334,-0.03050549417936027,8.0,-0.08275513133465778,0.44409677419354837,0.4155,0.4445231200830477,0.4195760847696332,0.4066666666666665,0.435,0.4460000000000003,0.519,0.4555483870967742,0.45125,0.4598406277851378,0.4533465227013614,0.45500000000000007,0.445,0.4210000000000003,0.52,73.90322580645162,72.5,73.90667871494472,72.50462745624036,69.16666666666667,71.5,75.5,74.0,-0.0967741935483871,1.25,-0.14809870605042036,1.3371430463272165,-1.0,0.5555555555555556,-1.0,5.0,-2.0,-1.8887398564817914,1.6666666666666572,-8.0,-0.027586206896551724,-0.026049921539445558,0.023310023310023176,-0.10810810810810811,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-24,N,Grambling,W,80.0,69.0,30.0,63.0,0.476,9.0,23.0,0.391,11.0,14.0,0.786,10.0,32.0,16.0,3.0,1.0,14.0,23.0,,23.0,63.0,0.365,4.0,14.0,0.286,19.0,28.0,0.679,14.0,38.0,8.0,5.0,4.0,12.0,17.0,1.0,11.0,1,6,74.5,0,0,1,0,74.06451612903226,70.8,73.51736635651693,70.75346558276078,64.0,71.33333333333333,73.0,68.0,73.74193548387096,68.4,74.2959910733725,67.68198588524936,74.33333333333333,65.0,78.0,48.0,6.935483870967742,-0.033863345154736046,7.105893784805066,-0.04147185768508205,6.333333333333333,-0.07520660509454274,8.0,-0.2252890679862415,8.32258064516129,-0.024050677893362293,8.856172752325115,-0.026729960759799165,8.333333333333334,-0.03660128518081163,8.0,-0.06352436210388857,0.44409677419354837,0.43620000000000003,0.4445231200830477,0.44210659368397764,0.4066666666666665,0.4793333333333332,0.4460000000000003,0.519,0.4555483870967742,0.429,0.4598406277851378,0.4276610039384373,0.45500000000000007,0.43900000000000006,0.4210000000000003,0.3400000000000001,73.90322580645162,69.6,73.90667871494472,69.21772573400507,69.16666666666667,68.16666666666667,75.5,58.0,-0.0967741935483871,0.9600000000000002,-0.14809870605042036,0.9597444162375472,-1.0,2.6666666666666665,-1.0,0.0,2.3999999999999915,3.071479697511421,6.333333333333329,20.0,0.03448275862068954,0.04437417821722036,0.09290953545232267,0.3448275862068966,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-11-28,,Bradley,W,85.0,73.0,25.0,49.0,0.51,6.0,17.0,0.353,29.0,39.0,0.744,6.0,30.0,15.0,4.0,4.0,11.0,21.0,,26.0,58.0,0.448,8.0,23.0,0.348,13.0,19.0,0.684,6.0,26.0,12.0,6.0,1.0,10.0,28.0,4.0,12.0,1,7,79.0,1,0,0,1,74.06451612903226,72.33333333333333,73.51736635651693,72.55343407360982,64.0,72.66666666666667,73.0,80.0,73.74193548387096,68.5,74.2959910733725,67.93855594382421,74.33333333333333,65.0,78.0,69.0,6.935483870967742,-0.023201781458727255,7.105893784805066,-0.027423972195014024,6.333333333333333,-0.06581794008553996,8.0,0.023975637896111457,8.32258064516129,-0.043451369403158635,8.856172752325115,-0.04904722298128067,8.333333333333334,-0.09813974671927317,8.0,-0.1396113186256277,0.44409677419354837,0.44283333333333336,0.4445231200830477,0.44870442381832965,0.4066666666666665,0.5046666666666666,0.4460000000000003,0.476,0.4555483870967742,0.4183333333333333,0.4598406277851378,0.4154631547113935,0.45500000000000007,0.4083333333333334,0.4210000000000003,0.36500000000000005,73.90322580645162,70.41666666666667,73.90667871494472,70.24599500871702,69.16666666666667,68.83333333333333,75.5,74.5,-0.0967741935483871,0.7777777777777777,-0.14809870605042036,0.7262003940438344,-1.0,0.7777777777777777,-1.0,0.0,3.8333333333333286,4.614878129785609,7.666666666666671,11.0,0.054437869822485135,0.0656959607336039,0.11138014527845044,0.1476510067114094,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-12-01,,Ball State,L,75.0,85.0,29.0,64.0,0.453,7.0,19.0,0.368,10.0,17.0,0.588,7.0,23.0,11.0,12.0,1.0,16.0,24.0,,28.0,50.0,0.56,8.0,18.0,0.444,21.0,30.0,0.7,6.0,35.0,16.0,7.0,2.0,22.0,17.0,3.0,-10.0,0,8,80.0,1,0,0,1,74.06451612903226,74.14285714285714,73.51736635651693,74.6934946587986,64.0,77.66666666666667,73.0,85.0,73.74193548387096,69.14285714285714,74.2959910733725,68.80881983772233,74.33333333333333,63.333333333333336,78.0,73.0,6.935483870967742,-0.03606771470504466,7.105893784805066,-0.04196884786783839,6.333333333333333,-0.09464024193221476,8.0,-0.10175965622153563,8.32258064516129,-0.03459874226917781,8.856172752325115,-0.037319907880869974,8.333333333333334,-0.060892783156520136,8.0,0.01524276118378265,0.44409677419354837,0.4524285714285714,0.4445231200830477,0.45924357553363926,0.4066666666666665,0.5016666666666666,0.4460000000000003,0.51,0.4555483870967742,0.42257142857142854,0.4598406277851378,0.42105753476612773,0.45500000000000007,0.38433333333333336,0.4210000000000003,0.44800000000000006,73.90322580645162,71.64285714285714,73.90667871494472,71.75115724826047,69.16666666666667,70.5,75.5,79.0,-0.0967741935483871,0.16326530612244897,-0.14809870605042036,0.07185274710568432,-1.0,0.8888888888888888,-1.0,8.0,5.0,5.884674821076274,14.333333333333336,12.0,0.06979062811565305,0.08201505100071318,0.20330969267139484,0.1518987341772152,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-12-15,,Western Illinois,W,82.0,68.0,27.0,58.0,0.466,7.0,19.0,0.368,21.0,31.0,0.677,9.0,33.0,18.0,2.0,6.0,7.0,13.0,,26.0,62.0,0.419,7.0,17.0,0.412,9.0,12.0,0.75,9.0,28.0,9.0,3.0,3.0,11.0,21.0,14.0,14.0,1,9,75.0,1,0,0,1,74.06451612903226,74.25,73.51736635651693,74.74099654044701,64.0,80.0,73.0,75.0,73.74193548387096,71.125,74.2959910733725,71.31811223961691,74.33333333333333,75.66666666666667,78.0,85.0,6.935483870967742,-0.035746584326110775,7.105893784805066,-0.040655595013387336,6.333333333333333,-0.03852436210388854,8.0,-0.03352436210388854,8.32258064516129,-0.034086752262060815,8.856172752325115,-0.036184217077981806,8.333333333333334,-0.04920718148714848,8.0,-0.03117142092741798,0.44409677419354837,0.45249999999999996,0.4445231200830477,0.45827595263708737,0.4066666666666665,0.4796666666666667,0.4460000000000003,0.45300000000000007,0.4555483870967742,0.43975,0.4598406277851378,0.44259069472219686,0.45500000000000007,0.45766666666666667,0.4210000000000003,0.56,73.90322580645162,72.6875,73.90667871494472,73.02955439003198,69.16666666666667,77.83333333333333,75.5,80.0,-0.0967741935483871,0.0,-0.14809870605042036,0.05048369069439519,-1.0,4.0,-1.0,9.0,3.125,3.4228843008301055,4.333333333333329,-10.0,0.04299226139294927,0.0468698505614503,0.05567451820128474,-0.125,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
2018-12-18,@,Purdue-Fort Wayne,L,77.0,87.0,26.0,66.0,0.394,8.0,21.0,0.381,17.0,22.0,0.773,10.0,30.0,10.0,8.0,3.0,12.0,18.0,,29.0,53.0,0.547,8.0,25.0,0.32,21.0,24.0,0.875,5.0,33.0,13.0,8.0,9.0,15.0,16.0,3.0,-10.0,0,10,82.0,0,1,0,-1,74.06451612903226,75.11111111111111,73.51736635651693,75.7707581207906,64.0,80.66666666666667,73.0,82.0,73.74193548387096,70.77777777777777,74.2959910733725,70.84740513461773,74.33333333333333,75.33333333333333,78.0,68.0,6.935483870967742,-0.03837643310980571,7.105893784805066,-0.043230351715953796,6.333333333333333,-0.06559047780636793,8.0,-0.057426801128278804,8.32258064516129,-0.030949793815034543,8.856172752325115,-0.03189748779827145,8.333333333333334,-0.008214627590614199,8.0,-0.004700832692123846,0.44409677419354837,0.45399999999999996,0.4445231200830477,0.4593716853038922,0.4066666666666665,0.47633333333333333,0.4460000000000003,0.466,0.4555483870967742,0.4374444444444444,0.4598406277851378,0.4392441208827035,0.45500000000000007,0.4756666666666667,0.4210000000000003,0.41900000000000004,73.90322580645162,72.94444444444444,73.90667871494472,73.30908162770416,69.16666666666667,78.0,75.5,75.0,-0.0967741935483871,0.12345679012345678,-0.14809870605042036,0.4248979530323873,-1.0,10.0,-1.0,10.0,4.333333333333343,4.923352986172873,5.333333333333343,14.0,0.059405940594059535,0.06715884139943029,0.0683760683760685,0.18666666666666668,0.32258064516129537,0.004364906154517746,-0.7786247168555747,-0.010535241610013365,-10.333333333333329,-0.1493975903614457,-5.0,-0.06622516556291391,Horizon
