Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-09,,Brown,W,83.0,81.0,25.0,67.0,0.373,8.0,30.0,0.267,25.0,36.0,0.694,11.0,37.0,8.0,8.0,5.0,15.0,28.0,,27.0,56.0,0.482,8.0,18.0,0.444,19.0,31.0,0.613,6.0,37.0,17.0,7.0,9.0,15.0,26.0,,2.0,1,1,82.0,1,0,0,1,73.03225806451613,,72.73622466447992,,72.0,,64.0,,72.93548387096774,,70.67491795000448,,66.33333333333333,,72.0,,8.548387096774194,,8.957852979627141,,10.666666666666666,,13.0,,6.451612903225806,,5.99559304537198,,3.0,,1.0,,0.43409677419354836,,0.4354238485698863,,0.41599999999999976,,0.36099999999999993,,0.42903225806451617,,0.41327068214496204,,0.38766666666666666,,0.43399999999999994,,72.98387096774194,,71.70557130724221,,69.16666666666667,,68.0,,-0.12903225806451613,,-0.14866806330611906,,-0.3333333333333333,,-1.0,,,,,,,,,,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-13,@,Fairfield,W,89.0,87.0,31.0,60.0,0.517,13.0,25.0,0.52,14.0,20.0,0.7,6.0,24.0,17.0,8.0,4.0,9.0,14.0,,31.0,61.0,0.508,10.0,23.0,0.435,15.0,21.0,0.714,12.0,37.0,19.0,6.0,3.0,12.0,19.0,4.0,2.0,1,2,88.0,0,1,0,-1,73.03225806451613,83.0,72.73622466447992,83.0,72.0,,64.0,83.0,72.93548387096774,81.0,70.67491795000448,81.0,66.33333333333333,,72.0,81.0,8.548387096774194,-0.02436773559786448,8.957852979627141,-0.02436773559786448,10.666666666666666,,13.0,-0.02436773559786448,6.451612903225806,-0.017228065807592285,5.99559304537198,-0.017228065807592285,3.0,,1.0,-0.017228065807592285,0.43409677419354836,0.373,0.4354238485698863,0.373,0.41599999999999976,,0.36099999999999993,0.373,0.42903225806451617,0.482,0.41327068214496204,0.482,0.38766666666666666,,0.43399999999999994,0.482,72.98387096774194,82.0,71.70557130724221,82.0,69.16666666666667,,68.0,82.0,-0.12903225806451613,2.0,-0.14866806330611906,2.0,-0.3333333333333333,,-1.0,2.0,2.0,2.0,,2.0,0.024390243902439025,0.024390243902439025,,0.024390243902439025,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-18,N,San Francisco,L,52.0,84.0,18.0,64.0,0.281,7.0,30.0,0.233,9.0,16.0,0.563,7.0,26.0,8.0,5.0,2.0,10.0,16.0,,34.0,62.0,0.548,5.0,19.0,0.263,11.0,19.0,0.579,9.0,43.0,15.0,7.0,5.0,13.0,17.0,5.0,-32.0,0,3,68.0,0,0,1,0,73.03225806451613,86.0,72.73622466447992,86.09677419354838,72.0,,64.0,89.0,72.93548387096774,84.0,70.67491795000448,84.09677419354838,66.33333333333333,,72.0,87.0,8.548387096774194,0.05275470766355328,8.957852979627141,0.05515304516475139,10.666666666666666,,13.0,0.12467788508712269,6.451612903225806,0.007904209324682887,5.99559304537198,0.008685074029598283,3.0,,1.0,0.03130322410300801,0.43409677419354836,0.445,0.4354238485698863,0.44732258064516134,0.41599999999999976,,0.36099999999999993,0.517,0.42903225806451617,0.495,0.41327068214496204,0.4954193548387097,0.38766666666666666,,0.43399999999999994,0.508,72.98387096774194,85.0,71.70557130724221,85.09677419354838,69.16666666666667,,68.0,88.0,-0.12903225806451613,0.0,-0.14866806330611906,0.003121748178980229,-0.3333333333333333,,-1.0,3.0,2.0,2.0,,2.0,0.023529411764705882,0.02350265352539803,,0.022727272727272728,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-20,@,Milwaukee,L (1 OT),87.0,92.0,26.0,66.0,0.394,5.0,33.0,0.152,30.0,39.0,0.769,16.0,43.0,10.0,5.0,7.0,7.0,27.0,,27.0,62.0,0.435,5.0,19.0,0.263,33.0,41.0,0.805,10.0,39.0,8.0,3.0,4.0,10.0,26.0,2.0,-5.0,0,4,89.5,0,1,0,-1,73.03225806451613,74.66666666666667,72.73622466447992,73.99029126213593,72.0,74.66666666666667,64.0,52.0,72.93548387096774,84.0,70.67491795000448,84.0624133148405,66.33333333333333,84.0,72.0,84.0,8.548387096774194,0.061475637896111435,8.957852979627141,0.06392891549372698,10.666666666666666,0.061475637896111435,13.0,0.09032179174226529,6.451612903225806,-0.03971483829436473,5.99559304537198,-0.04227751757584819,3.0,-0.03971483829436473,1.0,-0.13495293353246,0.43409677419354836,0.39033333333333337,0.4354238485698863,0.3882676837725382,0.41599999999999976,0.39033333333333337,0.36099999999999993,0.281,0.42903225806451617,0.5126666666666667,0.41327068214496204,0.5140887656033287,0.38766666666666666,0.5126666666666667,0.43399999999999994,0.548,72.98387096774194,79.33333333333333,71.70557130724221,79.02635228848821,69.16666666666667,79.33333333333333,68.0,68.0,-0.12903225806451613,0.0,-0.14866806330611906,0.0017312986086130183,-0.3333333333333333,0.0,-1.0,0.0,-9.333333333333329,-10.072122052704572,-9.333333333333329,-32.0,-0.11764705882352935,-0.12745270104250755,-0.11764705882352935,-0.47058823529411764,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-24,,NJIT,L,70.0,77.0,23.0,57.0,0.404,10.0,29.0,0.345,14.0,19.0,0.737,6.0,33.0,14.0,3.0,4.0,14.0,23.0,,27.0,59.0,0.458,6.0,22.0,0.273,17.0,23.0,0.739,6.0,32.0,12.0,6.0,2.0,10.0,18.0,4.0,-7.0,0,5,73.5,1,0,0,1,73.03225806451613,77.75,72.73622466447992,77.5640131446583,72.0,76.0,64.0,87.0,72.93548387096774,86.0,70.67491795000448,86.24284085574408,66.33333333333333,87.66666666666667,72.0,92.0,8.548387096774194,0.004803612172638749,8.957852979627141,0.0007532740178071151,10.666666666666666,0.01542300631716409,13.0,-0.14111056900044028,6.451612903225806,-0.06933831559226067,5.99559304537198,-0.07398477827319927,3.0,-0.08538747997461102,1.0,-0.150480883843019,0.43409677419354836,0.39125,0.4354238485698863,0.38984233116491185,0.41599999999999976,0.3973333333333333,0.36099999999999993,0.394,0.42903225806451617,0.49325,0.41327068214496204,0.492363355911743,0.38766666666666666,0.49700000000000005,0.43399999999999994,0.43500000000000005,72.98387096774194,81.875,71.70557130724221,81.90342700020119,69.16666666666667,81.83333333333333,68.0,89.5,-0.12903225806451613,0.3125,-0.14866806330611906,0.41987981438398,-0.3333333333333333,2.2222222222222223,-1.0,5.0,-8.25,-8.678827711085773,-11.666666666666671,-5.0,-0.10076335877862595,-0.10596415838698,-0.14256619144602858,-0.055865921787709494,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-29,N,Albany (NY),W,80.0,77.0,26.0,63.0,0.413,11.0,28.0,0.393,17.0,22.0,0.773,9.0,30.0,13.0,10.0,6.0,16.0,21.0,,25.0,56.0,0.446,6.0,22.0,0.273,21.0,27.0,0.778,11.0,39.0,10.0,6.0,5.0,26.0,24.0,5.0,3.0,1,6,78.5,0,0,1,0,73.03225806451613,76.2,72.73622466447992,75.84992790481361,72.0,69.66666666666667,64.0,70.0,72.93548387096774,84.2,70.67491795000448,84.14831553141241,66.33333333333333,84.33333333333333,72.0,77.0,8.548387096774194,0.02505831506146572,8.957852979627141,0.024655901961255833,10.666666666666666,0.0022651115803219435,13.0,0.11504706646753998,6.451612903225806,-0.07124407706825914,5.99559304537198,-0.07518194139548051,3.0,-0.12380104194578578,1.0,-0.0797581283376548,0.43409677419354836,0.3938,0.4354238485698863,0.39305060840038597,0.41599999999999976,0.35966666666666675,0.36099999999999993,0.404,0.42903225806451617,0.4862,0.41327068214496204,0.4845762566519479,0.38766666666666666,0.48033333333333333,0.43399999999999994,0.458,72.98387096774194,80.2,71.70557130724221,79.999121718113,69.16666666666667,77.0,68.0,73.5,-0.12903225806451613,0.0,-0.14866806330611906,3.729256017393696e-05,-0.3333333333333333,0.0,-1.0,6.0,-8.0,-8.298387626598796,-14.666666666666657,-7.0,-0.0997506234413965,-0.10373098414554115,-0.19047619047619035,-0.09523809523809523,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-11-30,N,Marist,L,53.0,70.0,17.0,53.0,0.321,8.0,30.0,0.267,11.0,16.0,0.688,9.0,30.0,7.0,8.0,3.0,16.0,19.0,,27.0,57.0,0.474,6.0,23.0,0.261,10.0,17.0,0.588,9.0,35.0,16.0,10.0,3.0,13.0,19.0,1.0,-17.0,0,7,61.5,0,0,1,0,73.03225806451613,76.83333333333333,72.73622466447992,76.65779803961355,72.0,79.0,64.0,80.0,72.93548387096774,83.0,70.67491795000448,82.7567949747809,66.33333333333333,82.0,72.0,77.0,8.548387096774194,0.037885616204137496,8.957852979627141,0.039754051303724613,10.666666666666666,0.015589561946744324,13.0,0.09897563789611141,6.451612903225806,-0.07256050668220182,5.99559304537198,-0.07601079290358209,3.0,-0.10620728893315687,1.0,-0.0797581283376548,0.43409677419354836,0.39699999999999996,0.4354238485698863,0.39693403917245623,0.41599999999999976,0.4036666666666668,0.36099999999999993,0.4129999999999999,0.42903225806451617,0.47950000000000004,0.41327068214496204,0.4770668435750923,0.38766666666666666,0.4463333333333333,0.43399999999999994,0.446,72.98387096774194,79.91666666666667,71.70557130724221,79.70729650719723,69.16666666666667,80.5,68.0,78.5,-0.12903225806451613,0.0,-0.14866806330611906,2.8217795732935392e-05,-0.3333333333333333,0.0,-1.0,0.0,-6.166666666666671,-6.098996935167349,-3.0,3.0,-0.07716371220020861,-0.0765174231523037,-0.037267080745341616,0.03821656050955414,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-12-08,@,St. Peter's,W,74.0,58.0,23.0,52.0,0.442,14.0,35.0,0.4,14.0,20.0,0.7,10.0,37.0,13.0,9.0,3.0,14.0,14.0,,23.0,55.0,0.418,4.0,12.0,0.333,8.0,12.0,0.667,7.0,29.0,11.0,8.0,6.0,14.0,19.0,8.0,16.0,1,8,66.0,0,1,0,-1,73.03225806451613,73.42857142857143,72.73622466447992,72.59007997052065,72.0,67.66666666666667,64.0,53.0,72.93548387096774,81.14285714285714,70.67491795000448,80.56339365586942,66.33333333333333,74.66666666666667,72.0,70.0,8.548387096774194,0.04834334217626707,8.957852979627141,0.052251579590646136,10.666666666666666,0.11504706646753998,13.0,0.13930582657535673,6.451612903225806,-0.07056661562501529,5.99559304537198,-0.07307827036821563,3.0,-0.07245293353246002,1.0,-0.05638150496103145,0.43409677419354836,0.3861428571428571,0.4354238485698863,0.3838779524359049,0.41599999999999976,0.37933333333333347,0.36099999999999993,0.321,0.42903225806451617,0.4787142857142857,0.41327068214496204,0.47653953097378443,0.38766666666666666,0.4593333333333333,0.43399999999999994,0.4739999999999999,72.98387096774194,77.28571428571429,71.70557130724221,76.57673681319503,69.16666666666667,71.16666666666667,68.0,61.5,-0.12903225806451613,0.0,-0.14866806330611906,2.2112549087214876e-05,-0.3333333333333333,0.8888888888888888,-1.0,0.0,-7.714285714285708,-7.973313685348771,-7.0,-17.0,-0.09981515711645093,-0.1041218784864032,-0.09836065573770492,-0.2764227642276423,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-12-12,@,Stony Brook,L,79.0,83.0,27.0,49.0,0.551,11.0,22.0,0.5,14.0,24.0,0.583,2.0,23.0,16.0,6.0,4.0,15.0,19.0,,32.0,65.0,0.492,5.0,18.0,0.278,14.0,21.0,0.667,13.0,35.0,14.0,5.0,4.0,11.0,17.0,4.0,-4.0,0,9,81.0,0,1,0,-1,73.03225806451613,73.5,72.73622466447992,72.80858792249157,72.0,69.0,64.0,74.0,72.93548387096774,78.25,70.67491795000448,77.06654217906733,66.33333333333333,68.33333333333333,72.0,58.0,8.548387096774194,0.07423073993692775,8.957852979627141,0.08403678462842662,10.666666666666666,0.16473650746132884,13.0,0.254043205463679,6.451612903225806,-0.07390774868535821,5.99559304537198,-0.07699137496234915,3.0,-0.07937802064047392,1.0,-0.10662781037975064,0.43409677419354836,0.393125,0.4354238485698863,0.39288564742005005,0.41599999999999976,0.39200000000000007,0.36099999999999993,0.442,0.42903225806451617,0.471125,0.41327068214496204,0.4674671348413999,0.38766666666666666,0.44599999999999995,0.43399999999999994,0.4179999999999999,72.98387096774194,75.875,71.70557130724221,74.93756505077944,69.16666666666667,68.66666666666667,68.0,66.0,-0.12903225806451613,0.140625,-0.14866806330611906,0.21226498205031888,-0.3333333333333333,1.0,-1.0,9.0,-4.75,-4.257954256575758,0.6666666666666714,16.0,-0.06260296540362438,-0.05682002415865085,0.009708737864077738,0.24242424242424243,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
2018-12-21,,Binghamton,L,67.0,68.0,27.0,60.0,0.45,5.0,18.0,0.278,8.0,11.0,0.727,7.0,37.0,16.0,7.0,5.0,18.0,17.0,,27.0,64.0,0.422,5.0,18.0,0.278,9.0,13.0,0.692,4.0,30.0,14.0,6.0,7.0,12.0,12.0,9.0,-1.0,0,10,67.5,1,0,0,1,73.03225806451613,74.11111111111111,72.73622466447992,73.68690108503772,72.0,68.66666666666667,64.0,79.0,72.93548387096774,78.77777777777777,70.67491795000448,77.9082619738891,66.33333333333333,70.33333333333333,72.0,83.0,8.548387096774194,0.07777998572219835,8.957852979627141,0.08710294613345482,10.666666666666666,0.16705816216795605,13.0,0.10419715688345321,6.451612903225806,-0.08080221823929054,5.99559304537198,-0.08542602414368161,3.0,-0.10025421992379377,1.0,-0.1328014705376235,0.43409677419354836,0.4106666666666667,0.4354238485698863,0.41531573530951876,0.41599999999999976,0.4380000000000001,0.36099999999999993,0.5510000000000002,0.42903225806451617,0.47344444444444445,0.41327068214496204,0.47094736489458017,0.38766666666666666,0.4613333333333333,0.43399999999999994,0.49199999999999994,72.98387096774194,76.44444444444444,71.70557130724221,75.7975815294634,69.16666666666667,69.5,68.0,81.0,-0.12903225806451613,0.49382716049382713,-0.14866806330611906,0.7488321972237743,-0.3333333333333333,4.444444444444445,-1.0,10.0,-4.666666666666657,-4.221360888851379,-1.6666666666666572,-4.0,-0.061046511627906856,-0.05569255382126522,-0.023980815347721687,-0.04938271604938271,0.09677419354838435,0.0013259668508286916,2.0613067144754353,0.02874681390715375,5.666666666666671,0.08192771084337355,-8.0,-0.11764705882352941,NEC
