Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-13,@,Tennessee State,W,83.0,67.0,33.0,58.0,0.569,4.0,15.0,0.267,13.0,19.0,0.684,8.0,37.0,12.0,7.0,4.0,16.0,16.0,,24.0,61.0,0.393,12.0,35.0,0.343,7.0,14.0,0.5,10.0,30.0,17.0,6.0,3.0,17.0,21.0,,16.0,1,1,75.0,0,1,-1,73.55172413793103,,71.349935544001,,68.0,,62.0,,76.34482758620689,,75.52707146493059,,79.66666666666667,,79.0,,6.551724137931035,,6.213107382451594,,6.666666666666667,,7.0,,8.758620689655173,,8.564646174453593,,11.0,,9.0,,0.48541379310344834,,0.47709082442398953,,0.4673333333333334,,0.44699999999999984,,0.4468275862068965,,0.4464137147620397,,0.4460000000000002,,0.41099999999999987,,74.94827586206897,,73.4385035044658,,73.83333333333333,,70.5,,-0.034482758620689655,,0.020772176080692647,,0.3333333333333333,,1.0,,,,,,,,,,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-11-16,@,Nevada,L,59.0,87.0,22.0,63.0,0.349,8.0,30.0,0.267,7.0,17.0,0.412,5.0,32.0,13.0,6.0,2.0,12.0,24.0,,30.0,56.0,0.536,10.0,27.0,0.37,17.0,25.0,0.68,3.0,42.0,22.0,4.0,5.0,11.0,20.0,3.0,-28.0,0,2,73.0,0,1,-1,73.55172413793103,83.0,71.349935544001,83.0,68.0,,62.0,83.0,76.34482758620689,67.0,75.52707146493059,67.0,79.66666666666667,,79.0,67.0,6.551724137931035,-0.16894604885087652,6.213107382451594,-0.16894604885087652,6.666666666666667,,7.0,-0.16894604885087652,8.758620689655173,0.22378907073193233,8.564646174453593,0.22378907073193233,11.0,,9.0,0.22378907073193233,0.48541379310344834,0.569,0.47709082442398953,0.569,0.4673333333333334,,0.44699999999999984,0.569,0.4468275862068965,0.393,0.4464137147620397,0.393,0.4460000000000002,,0.41099999999999987,0.393,74.94827586206897,75.0,73.4385035044658,75.0,73.83333333333333,,70.5,75.0,-0.034482758620689655,2.0,0.020772176080692647,2.0,0.3333333333333333,,1.0,2.0,16.0,16.0,,16.0,0.21333333333333335,0.21333333333333335,,0.21333333333333335,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-11-19,@,Tulsa,L,78.0,88.0,29.0,56.0,0.518,5.0,12.0,0.417,15.0,28.0,0.536,8.0,37.0,14.0,6.0,3.0,19.0,32.0,,28.0,58.0,0.483,5.0,20.0,0.25,27.0,39.0,0.692,8.0,34.0,14.0,10.0,6.0,13.0,23.0,3.0,-10.0,0,3,83.0,0,1,-1,73.55172413793103,71.0,71.349935544001,70.58620689655173,68.0,,62.0,59.0,76.34482758620689,77.0,75.52707146493059,77.34482758620689,79.66666666666667,,79.0,87.0,6.551724137931035,-0.06000323534332519,6.213107382451594,-0.055585915596805036,6.666666666666667,,7.0,0.09325529891306061,8.758620689655173,0.11504706646753998,8.564646174453593,0.11179886571599551,11.0,,9.0,0.03130322410300801,0.48541379310344834,0.45899999999999996,0.47709082442398953,0.4552068965517241,0.4673333333333334,,0.44699999999999984,0.349,0.4468275862068965,0.4645,0.4464137147620397,0.46696551724137936,0.4460000000000002,,0.41099999999999987,0.536,74.94827586206897,74.0,73.4385035044658,73.96551724137932,73.83333333333333,,70.5,73.0,-0.034482758620689655,3.0,0.020772176080692647,3.0,0.3333333333333333,,1.0,3.0,-6.0,-6.75862068965516,,-28.0,-0.08108108108108109,-0.0913752913752912,,-0.3835616438356164,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-11-23,,Howard,W,97.0,76.0,31.0,53.0,0.585,9.0,18.0,0.5,26.0,31.0,0.839,3.0,35.0,18.0,3.0,2.0,19.0,16.0,,28.0,69.0,0.406,8.0,27.0,0.296,12.0,15.0,0.8,9.0,26.0,6.0,5.0,1.0,16.0,23.0,4.0,21.0,1,4,86.5,1,0,1,73.55172413793103,73.33333333333333,71.349935544001,73.229793977813,68.0,73.33333333333333,62.0,78.0,76.34482758620689,80.66666666666667,75.52707146493059,81.14421553090332,79.66666666666667,80.66666666666667,79.0,88.0,6.551724137931035,-0.08170618028570673,6.213107382451594,-0.08051276238089691,6.666666666666667,-0.08170618028570673,7.0,-0.12121666979619625,8.758620689655173,0.021186381697764323,8.564646174453593,0.013240217404724364,11.0,0.021186381697764323,9.0,-0.14306981664934312,0.48541379310344834,0.47866666666666663,0.47709082442398953,0.47759746434231376,0.4673333333333334,0.47866666666666663,0.44699999999999984,0.518,0.4468275862068965,0.4706666666666666,0.4464137147620397,0.4726830427892235,0.4460000000000002,0.4706666666666666,0.41099999999999987,0.4830000000000001,74.94827586206897,77.0,73.4385035044658,77.18700475435817,73.83333333333333,77.0,70.5,83.0,-0.034482758620689655,4.0,0.020772176080692647,4.0,0.3333333333333333,4.0,1.0,4.0,-7.333333333333343,-7.914421553090321,-7.333333333333343,-10.0,-0.09523809523809536,-0.10253567395544588,-0.09523809523809536,-0.12048192771084337,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-11-24,,Arkansas-Pine Bluff,L,66.0,75.0,26.0,56.0,0.464,4.0,19.0,0.211,10.0,19.0,0.526,9.0,40.0,13.0,5.0,4.0,15.0,18.0,,27.0,65.0,0.415,10.0,28.0,0.357,11.0,19.0,0.579,9.0,34.0,14.0,6.0,3.0,7.0,17.0,1.0,-9.0,0,5,70.5,1,0,1,73.55172413793103,79.25,71.349935544001,79.80072077975265,68.0,78.0,62.0,97.0,76.34482758620689,79.5,75.52707146493059,79.72217216807272,79.66666666666667,83.66666666666667,79.0,76.0,6.551724137931035,-0.06746757976950371,6.213107382451594,-0.06527820876303522,6.666666666666667,-0.03147308005260652,7.0,-0.03517384663997103,8.758620689655173,0.016664317141394436,8.564646174453593,0.010347960484180463,11.0,-0.038623963697514085,9.0,0.0022651115803219435,0.48541379310344834,0.50525,0.47709082442398953,0.5072873290195756,0.4673333333333334,0.484,0.44699999999999984,0.585,0.4468275862068965,0.4545,0.4464137147620397,0.4542494880825621,0.4460000000000002,0.47500000000000003,0.41099999999999987,0.40600000000000014,74.94827586206897,79.375,73.4385035044658,79.76144647391268,73.83333333333333,80.83333333333333,70.5,86.5,-0.034482758620689655,1.25,0.020772176080692647,0.9996224599460937,0.3333333333333333,0.5555555555555556,1.0,5.0,-0.25,0.07854861167993477,-5.666666666666671,21.0,-0.0031496062992125984,0.0009847942226778122,-0.07010309278350521,0.24277456647398843,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-11-28,@,Central Arkansas,L,65.0,78.0,27.0,66.0,0.409,7.0,25.0,0.28,4.0,21.0,0.19,14.0,39.0,14.0,9.0,2.0,16.0,20.0,,27.0,53.0,0.509,10.0,20.0,0.5,14.0,19.0,0.737,4.0,36.0,17.0,5.0,2.0,17.0,20.0,4.0,-13.0,0,6,71.5,0,1,-1,73.55172413793103,76.6,71.349935544001,76.64721892476226,68.0,80.33333333333333,62.0,66.0,76.34482758620689,78.6,75.52707146493059,78.64314311377515,79.66666666666667,79.66666666666667,79.0,75.0,6.551724137931035,-0.07853741693417576,6.213107382451594,-0.07834863788824109,6.666666666666667,-0.08945797206239478,7.0,-0.13170618028570674,8.758620689655173,0.02998708827779084,8.564646174453593,0.026937498902305013,11.0,-0.024821433233595702,9.0,0.08647563789611146,0.48541379310344834,0.497,0.47709082442398953,0.4973960577925624,0.4673333333333334,0.5223333333333333,0.44699999999999984,0.46399999999999997,0.4468275862068965,0.4466,0.4464137147620397,0.4452808743810681,0.4460000000000002,0.4346666666666667,0.41099999999999987,0.41500000000000015,74.94827586206897,77.6,73.4385035044658,77.64518101926872,73.83333333333333,80.0,70.5,70.5,-0.034482758620689655,0.24000000000000005,0.020772176080692647,0.08137235753917968,0.3333333333333333,0.6666666666666666,1.0,6.0,-2.0,-1.9959241890128965,0.6666666666666572,-9.0,-0.025773195876288662,-0.025705705915188483,0.008333333333333215,-0.1276595744680851,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-12-01,,Sam Houston State,W,79.0,52.0,23.0,48.0,0.479,10.0,22.0,0.455,23.0,31.0,0.742,7.0,33.0,12.0,4.0,2.0,10.0,13.0,,19.0,55.0,0.345,5.0,27.0,0.185,9.0,14.0,0.643,9.0,33.0,9.0,3.0,0.0,15.0,27.0,3.0,27.0,1,7,65.5,1,0,1,73.55172413793103,74.66666666666667,71.349935544001,74.35651625746002,68.0,76.0,62.0,65.0,76.34482758620689,78.5,75.52707146493059,78.5166537212688,79.66666666666667,76.33333333333333,79.0,78.0,6.551724137931035,-0.06575650496103144,6.213107382451594,-0.06323616259849957,6.666666666666667,-0.050366467367046475,7.0,0.00955256097303453,8.758620689655173,0.03679410923369103,8.564646174453593,0.035564198414566484,11.0,0.053287864970347265,9.0,0.07109102251149607,0.48541379310344834,0.4823333333333333,0.47709082442398953,0.48001087024930006,0.4673333333333334,0.486,0.44699999999999984,0.409,0.4468275862068965,0.457,0.4464137147620397,0.4578127561939132,0.4460000000000002,0.44333333333333336,0.41099999999999987,0.5090000000000001,74.94827586206897,76.58333333333333,73.4385035044658,76.43658498936442,73.83333333333333,76.16666666666667,70.5,71.5,-0.034482758620689655,0.7777777777777777,0.020772176080692647,0.589618531976576,0.3333333333333333,0.7777777777777777,1.0,7.0,-3.8333333333333286,-4.1601374638087805,-0.3333333333333286,-13.0,-0.050054406964091344,-0.054425998550139736,-0.004376367614879587,-0.18181818181818182,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-12-04,,Bradley,L,62.0,68.0,24.0,47.0,0.511,4.0,14.0,0.286,10.0,22.0,0.455,9.0,33.0,14.0,6.0,3.0,20.0,24.0,,22.0,55.0,0.4,9.0,25.0,0.36,15.0,24.0,0.625,13.0,28.0,13.0,5.0,5.0,15.0,20.0,3.0,-6.0,0,8,65.0,1,0,1,73.55172413793103,75.28571428571429,71.349935544001,75.16469836576856,68.0,70.0,62.0,79.0,76.34482758620689,74.71428571428571,75.52707146493059,73.90152286306954,79.66666666666667,68.33333333333333,79.0,52.0,6.551724137931035,-0.04597217994070074,6.213107382451594,-0.0395546465692409,6.666666666666667,-0.013524362103888576,7.0,0.06622247333914943,8.758620689655173,0.030643897934352404,8.564646174453593,0.028139454231860317,11.0,0.05232929643269685,9.0,-0.02506282364235013,0.48541379310344834,0.4818571428571428,0.47709082442398953,0.4798349318171653,0.4673333333333334,0.4506666666666666,0.44699999999999984,0.4789999999999999,0.4468275862068965,0.44099999999999995,0.4464137147620397,0.43817809045585177,0.4460000000000002,0.42300000000000004,0.41099999999999987,0.3450000000000001,74.94827586206897,75.0,73.4385035044658,74.53311061441907,73.83333333333333,69.16666666666667,70.5,65.5,-0.034482758620689655,0.16326530612244897,0.020772176080692647,0.034497030233619906,0.3333333333333333,0.8888888888888888,1.0,8.0,0.5714285714285836,1.2631755026990135,1.6666666666666714,27.0,0.007619047619047781,0.016947843613206736,0.024096385542168742,0.4122137404580153,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-12-08,,Central Arkansas,L,82.0,85.0,30.0,47.0,0.638,4.0,11.0,0.364,18.0,21.0,0.857,4.0,22.0,17.0,8.0,1.0,19.0,15.0,,31.0,65.0,0.477,12.0,32.0,0.375,11.0,13.0,0.846,16.0,29.0,15.0,5.0,1.0,14.0,19.0,4.0,-3.0,0,9,83.5,1,0,1,73.55172413793103,73.625,71.349935544001,73.09560730842804,68.0,68.66666666666667,62.0,62.0,76.34482758620689,73.875,75.52707146493059,72.9739825699764,79.66666666666667,66.0,79.0,68.0,6.551724137931035,-0.05376205310558635,6.213107382451594,-0.0502757711919013,6.666666666666667,-0.007699119385441988,7.0,-0.11997597500711438,8.758620689655173,0.036729445002710415,8.564646174453593,0.03625242998521555,11.0,0.05011200153247508,9.0,0.08353446142552318,0.48541379310344834,0.4855,0.47709082442398953,0.4847331347297503,0.4673333333333334,0.4663333333333333,0.44699999999999984,0.511,0.4468275862068965,0.43587499999999996,0.4464137147620397,0.4321776532750088,0.4460000000000002,0.418,0.41099999999999987,0.40000000000000013,74.94827586206897,73.75,73.4385035044658,73.03479493920224,73.83333333333333,67.33333333333333,70.5,65.0,-0.034482758620689655,0.0,0.020772176080692647,0.09331255410486289,0.3333333333333333,1.0,1.0,9.0,-0.25,0.12162473845164357,2.6666666666666714,-6.0,-0.003389830508474576,0.0016652985546531621,0.039603960396039674,-0.09230769230769231,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
2018-12-19,@,Memphis,L,89.0,99.0,30.0,60.0,0.5,11.0,26.0,0.423,18.0,34.0,0.529,4.0,21.0,20.0,12.0,3.0,15.0,26.0,,34.0,68.0,0.5,9.0,24.0,0.375,22.0,30.0,0.733,16.0,47.0,22.0,9.0,4.0,21.0,27.0,11.0,-10.0,0,10,94.0,0,1,-1,73.55172413793103,74.55555555555556,71.349935544001,74.37896032754539,68.0,74.33333333333333,62.0,82.0,76.34482758620689,75.11111111111111,75.52707146493059,74.70724235661929,79.66666666666667,68.33333333333333,79.0,85.0,6.551724137931035,-0.0676227227596263,6.213107382451594,-0.0688515303097266,6.666666666666667,-0.07137189573617556,7.0,-0.16718289868925443,8.758620689655173,0.045943093517413214,8.564646174453593,0.048346584227115574,11.0,0.06696344277416022,9.0,0.11000504966081731,0.48541379310344834,0.5024444444444445,0.47709082442398953,0.5068228494456567,0.4673333333333334,0.5426666666666666,0.44699999999999984,0.638,0.4468275862068965,0.4404444444444444,0.4464137147620397,0.43863771135936164,0.4460000000000002,0.4073333333333333,0.41099999999999987,0.4770000000000001,74.94827586206897,74.83333333333333,73.4385035044658,74.54310134208235,73.83333333333333,71.33333333333333,70.5,83.5,-0.034482758620689655,0.12345679012345678,0.020772176080692647,0.5348770461223047,0.3333333333333333,10.0,1.0,10.0,-0.5555555555555571,-0.3282820290739039,6.0,-3.0,-0.007423904974016354,-0.004403922337057051,0.08411214953271029,-0.03592814371257485,-2.7931034482758577,-0.03726708074534155,-4.177135920929587,-0.05687937146861353,-11.666666666666671,-0.15801354401805875,-17.0,-0.24113475177304963,Sun Belt
