Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-09,@,UCLA,L,80.0,91.0,26.0,63.0,0.413,9.0,28.0,0.321,19.0,24.0,0.792,8.0,32.0,16.0,5.0,1.0,15.0,21.0,,32.0,64.0,0.5,8.0,23.0,0.348,19.0,30.0,0.633,8.0,35.0,14.0,12.0,5.0,15.0,15.0,,-11.0,0,1,85.5,0,1,0,-1,73.21875,,73.7802298582616,,68.33333333333333,,67.0,,77.34375,,75.23386794483366,,66.0,,75.0,,6.0625,,5.65881677707593,,5.666666666666667,,5.0,,7.5,,7.4379685057783185,,6.0,,2.0,,0.428875,,0.43823600527501,,0.4536666666666667,,0.41699999999999987,,0.45309375,,0.4527108026844016,,0.456,,0.49100000000000016,,75.28125,,74.50704890154765,,67.16666666666667,,71.0,,-0.125,,-0.04803098345630996,,0.3333333333333333,,0.0,,,,,,,,,,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-12,@,Arizona State,L,58.0,90.0,17.0,62.0,0.274,9.0,31.0,0.29,15.0,24.0,0.625,7.0,26.0,14.0,11.0,4.0,15.0,27.0,,29.0,65.0,0.446,5.0,16.0,0.313,27.0,36.0,0.75,16.0,58.0,17.0,7.0,7.0,17.0,23.0,3.0,-32.0,0,2,74.0,0,1,0,-1,73.21875,80.0,73.7802298582616,80.0,68.33333333333333,,67.0,80.0,77.34375,91.0,75.23386794483366,91.0,66.0,,75.0,91.0,6.0625,0.023975637896111457,5.65881677707593,0.023975637896111457,5.666666666666667,,5.0,0.023975637896111457,7.5,-0.04978809836762482,7.4379685057783185,-0.04978809836762482,6.0,,2.0,-0.04978809836762482,0.428875,0.413,0.43823600527501,0.413,0.4536666666666667,,0.41699999999999987,0.413,0.45309375,0.5,0.4527108026844016,0.5,0.456,,0.49100000000000016,0.5,75.28125,85.5,74.50704890154765,85.5,67.16666666666667,,71.0,85.5,-0.125,2.0,-0.04803098345630996,2.0,0.3333333333333333,,0.0,2.0,-11.0,-11.0,,-11.0,-0.1286549707602339,-0.1286549707602339,,-0.1286549707602339,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-16,@,Mississippi State,L,51.0,79.0,18.0,55.0,0.327,7.0,16.0,0.438,8.0,15.0,0.533,7.0,31.0,9.0,5.0,2.0,20.0,18.0,,31.0,74.0,0.419,4.0,23.0,0.174,13.0,18.0,0.722,19.0,49.0,14.0,12.0,10.0,12.0,17.0,4.0,-28.0,0,3,65.0,0,1,0,-1,73.21875,69.0,73.7802298582616,68.65625,68.33333333333333,,67.0,58.0,77.34375,90.5,75.23386794483366,90.484375,66.0,,75.0,90.0,6.0625,0.07777998572219841,5.65881677707593,0.0797391790886467,5.666666666666667,,5.0,0.15199287927542177,7.5,-0.09805474884422005,7.4379685057783185,-0.09957167690271432,6.0,,2.0,-0.1468576954372219,0.428875,0.3435,0.43823600527501,0.341328125,0.4536666666666667,,0.41699999999999987,0.2740000000000001,0.45309375,0.473,0.4527108026844016,0.47215625,0.456,,0.49100000000000016,0.44599999999999995,75.28125,79.75,74.50704890154765,79.5703125,67.16666666666667,,71.0,74.0,-0.125,3.0,-0.04803098345630996,3.0,0.3333333333333333,,0.0,3.0,-21.5,-21.828125,,-32.0,-0.26959247648902823,-0.2743249877270496,,-0.43243243243243246,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-19,N,Iona,W,86.0,85.0,30.0,54.0,0.556,10.0,17.0,0.588,16.0,20.0,0.8,7.0,33.0,13.0,6.0,2.0,24.0,25.0,,26.0,60.0,0.433,10.0,31.0,0.323,23.0,28.0,0.821,8.0,25.0,11.0,14.0,2.0,17.0,21.0,3.0,1.0,1,4,85.5,0,0,1,0,73.21875,63.0,73.7802298582616,62.399284087211186,68.33333333333333,63.0,67.0,51.0,77.34375,86.66666666666667,75.23386794483366,86.41457858769931,66.0,86.66666666666667,75.0,79.0,6.0625,0.08330103472150824,5.65881677707593,0.08509782372892766,5.666666666666667,0.08330103472150824,5.0,0.09824034377846436,7.5,-0.11737051595004241,7.4379685057783185,-0.11967532312093984,6.0,-0.11737051595004241,2.0,-0.16162562792667337,0.428875,0.338,0.43823600527501,0.33625056947608195,0.4536666666666667,0.338,0.41699999999999987,0.32700000000000007,0.45309375,0.455,0.4527108026844016,0.4533189066059225,0.456,0.455,0.49100000000000016,0.419,75.28125,74.83333333333333,74.50704890154765,74.40693133745525,67.16666666666667,74.83333333333333,71.0,65.0,-0.125,4.0,-0.04803098345630996,4.0,0.3333333333333333,4.0,0.0,4.0,-23.66666666666667,-24.015294500488125,-23.66666666666667,-28.0,-0.31625835189309587,-0.32275614742895886,-0.31625835189309587,-0.4307692307692308,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-21,N,Utah Valley,L,72.0,87.0,26.0,61.0,0.426,9.0,22.0,0.409,11.0,15.0,0.733,6.0,19.0,7.0,6.0,2.0,12.0,21.0,,29.0,50.0,0.58,11.0,21.0,0.524,18.0,24.0,0.75,9.0,32.0,16.0,7.0,1.0,21.0,18.0,2.0,-15.0,0,5,79.5,0,0,1,0,73.21875,68.75,73.7802298582616,68.86375762195121,68.33333333333333,65.0,67.0,86.0,77.34375,86.25,75.23386794483366,86.0271112804878,66.0,84.66666666666667,75.0,85.0,6.0625,0.06829381971429327,5.65881677707593,0.06806784812475208,5.666666666666667,0.08647563789611146,5.0,0.035312847198437025,7.5,-0.07874175340823639,7.4379685057783185,-0.0766186681122486,6.0,-0.08911491328499094,2.0,0.03941681436669969,0.428875,0.3925,0.43823600527501,0.3964421493902439,0.4536666666666667,0.38566666666666666,0.41699999999999987,0.556,0.45309375,0.4495,0.4527108026844016,0.4477533536585366,0.456,0.4326666666666667,0.49100000000000016,0.433,75.28125,77.5,74.50704890154765,77.44543445121951,67.16666666666667,74.83333333333333,71.0,85.5,-0.125,2.8125,-0.04803098345630996,2.636032997762214,0.3333333333333333,2.2222222222222223,0.0,0.0,-17.5,-17.163353658536593,-19.66666666666667,1.0,-0.22580645161290322,-0.22161866325828747,-0.2628062360801783,0.011695906432748537,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-25,,Oregon State,L,72.0,75.0,25.0,65.0,0.385,4.0,16.0,0.25,18.0,25.0,0.72,15.0,38.0,13.0,6.0,4.0,12.0,16.0,,30.0,70.0,0.429,5.0,21.0,0.238,10.0,13.0,0.769,14.0,38.0,16.0,6.0,6.0,9.0,20.0,4.0,-3.0,0,6,73.5,1,0,0,1,73.21875,69.4,73.7802298582616,69.5717816132543,68.33333333333333,69.66666666666667,67.0,72.0,77.34375,86.4,75.23386794483366,86.24674626759978,66.0,83.66666666666667,75.0,87.0,6.0625,0.06687909610936793,5.65881677707593,0.06652767771529317,5.666666666666667,0.05968137952290564,5.0,0.061475637896111435,7.5,-0.049635473214999726,7.4379685057783185,-0.04418925709676452,6.0,-0.014719581227394585,2.0,0.06578598272369762,0.428875,0.3992,0.43823600527501,0.4031149969703725,0.4536666666666667,0.4363333333333333,0.41699999999999987,0.42599999999999993,0.45309375,0.4756,0.4527108026844016,0.47760876248614875,0.456,0.4773333333333334,0.49100000000000016,0.5799999999999998,75.28125,77.9,74.50704890154765,77.90926394042704,67.16666666666667,76.66666666666667,71.0,79.5,-0.125,2.16,-0.04803098345630996,1.8962183167609155,0.3333333333333333,0.6666666666666666,0.0,0.0,-17.0,-16.674964654345473,-14.0,-15.0,-0.2182284980744544,-0.21403057622384813,-0.1826086956521739,-0.18867924528301888,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-11-28,@,USC,L,65.0,75.0,25.0,70.0,0.357,5.0,22.0,0.227,10.0,18.0,0.556,13.0,40.0,13.0,3.0,2.0,11.0,21.0,,27.0,64.0,0.422,7.0,14.0,0.5,14.0,21.0,0.667,10.0,37.0,19.0,6.0,4.0,11.0,16.0,3.0,-10.0,0,7,70.0,0,1,0,-1,73.21875,69.83333333333333,73.7802298582616,70.04226518657016,68.33333333333333,76.66666666666667,67.0,72.0,77.34375,84.5,75.23386794483366,84.06761386293633,66.0,82.33333333333333,75.0,75.0,6.0625,0.030151055557209316,5.65881677707593,0.024027212704625545,5.666666666666667,-0.013524362103888576,5.0,-0.1468576954372219,7.5,-0.059086492281403336,7.4379685057783185,-0.05617437861634794,6.0,0.002265111580321999,2.0,-0.11352436210388855,0.428875,0.39683333333333337,0.43823600527501,0.3996050949979024,0.4536666666666667,0.45566666666666666,0.41699999999999987,0.38499999999999995,0.45309375,0.4678333333333333,0.4527108026844016,0.4681904892394845,0.456,0.48066666666666674,0.49100000000000016,0.42899999999999994,75.28125,77.16666666666667,74.50704890154765,77.05493952475325,67.16666666666667,79.5,71.0,73.5,-0.125,0.7777777777777777,-0.04803098345630996,0.471345482813731,0.3333333333333333,0.7777777777777777,0.0,7.0,-14.666666666666671,-14.025348676366164,-5.666666666666657,-3.0,-0.19006479481641472,-0.18201751585127957,-0.07127882599580701,-0.04081632653061224,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-12-01,@,San Diego,L,70.0,74.0,24.0,59.0,0.407,4.0,15.0,0.267,18.0,24.0,0.75,13.0,37.0,9.0,5.0,1.0,15.0,21.0,,25.0,56.0,0.446,10.0,25.0,0.4,14.0,16.0,0.875,6.0,28.0,15.0,6.0,3.0,13.0,21.0,3.0,-4.0,0,8,72.0,0,1,0,-1,73.21875,69.14285714285714,73.7802298582616,69.18009151342387,68.33333333333333,69.66666666666667,67.0,65.0,77.34375,83.14285714285714,75.23386794483366,82.51714841504548,66.0,79.0,75.0,75.0,6.0625,0.014988034590326327,5.65881677707593,0.006871816632566363,5.666666666666667,-0.05515115636226181,5.0,-0.08275513133465778,7.5,-0.05579240334100194,7.4379685057783185,-0.05265428146643536,6.0,-0.022385121597559454,2.0,-0.03352436210388854,0.428875,0.3911428571428572,0.43823600527501,0.3923200772747322,0.4536666666666667,0.3893333333333333,0.41699999999999987,0.357,0.45309375,0.4612857142857143,0.4527108026844016,0.4602924072667037,0.456,0.47700000000000004,0.49100000000000016,0.422,75.28125,76.14285714285714,74.50704890154765,75.84861996423469,67.16666666666667,74.33333333333333,71.0,70.0,-0.125,1.4693877551020407,-0.04803098345630996,1.192643389458901,0.3333333333333333,0.0,0.0,8.0,-14.0,-13.337056901621608,-9.333333333333329,-10.0,-0.18386491557223267,-0.17583783209121673,-0.12556053811659187,-0.14285714285714285,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-12-05,,Southern Utah,W,82.0,71.0,28.0,65.0,0.431,5.0,15.0,0.333,21.0,31.0,0.677,17.0,48.0,7.0,11.0,5.0,21.0,24.0,,23.0,61.0,0.377,7.0,24.0,0.292,18.0,26.0,0.692,11.0,32.0,8.0,14.0,5.0,19.0,28.0,4.0,11.0,1,9,76.5,1,0,0,1,73.21875,69.25,73.7802298582616,69.30635027843365,68.33333333333333,69.0,67.0,70.0,77.34375,82.0,75.23386794483366,81.20558174889322,66.0,74.66666666666667,75.0,74.0,6.0625,-0.00486010217609073,5.65881677707593,-0.0162974884623327,5.666666666666667,-0.12511856500243929,5.0,-0.14209579067531714,7.5,-0.03913411820144952,7.4379685057783185,-0.03237203780778369,6.0,-0.018881504961031415,2.0,0.09188104330151686,0.428875,0.39312500000000006,0.43823600527501,0.3945806575029857,0.4536666666666667,0.383,0.41699999999999987,0.40700000000000003,0.45309375,0.45937500000000003,0.4527108026844016,0.4580915010435636,0.456,0.4323333333333334,0.49100000000000016,0.446,75.28125,75.625,74.50704890154765,75.25596601366344,67.16666666666667,71.83333333333333,71.0,72.0,-0.125,2.25,-0.04803098345630996,2.0791605874794987,0.3333333333333333,1.0,0.0,9.0,-12.75,-11.899231470459569,-5.666666666666671,-4.0,-0.16859504132231404,-0.1581167859608519,-0.07888631090487246,-0.05555555555555555,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
2018-12-08,@,Fresno State,L,71.0,92.0,22.0,59.0,0.373,9.0,22.0,0.409,18.0,23.0,0.783,9.0,33.0,9.0,7.0,5.0,17.0,16.0,,36.0,75.0,0.48,10.0,30.0,0.333,10.0,13.0,0.769,15.0,43.0,16.0,11.0,4.0,12.0,22.0,3.0,-21.0,0,10,81.5,0,1,0,-1,73.21875,70.66666666666667,73.7802298582616,71.09411129437359,68.33333333333333,72.33333333333333,67.0,82.0,77.34375,80.77777777777777,75.23386794483366,79.76823775438697,66.0,73.33333333333333,75.0,71.0,6.0625,-0.02107153191520933,5.65881677707593,-0.034864823519553556,5.666666666666667,-0.11997597500711435,5.0,-0.1305975328355959,7.5,-0.0370456825990742,7.4379685057783185,-0.030539015735598696,6.0,0.013748365168838705,2.0,-0.017749714216564627,0.428875,0.39733333333333337,0.43823600527501,0.3997099215184963,0.4536666666666667,0.3983333333333334,0.41699999999999987,0.4310000000000001,0.45309375,0.4502222222222223,0.4527108026844016,0.4466706545991064,0.456,0.41500000000000004,0.49100000000000016,0.37699999999999995,75.28125,75.72222222222223,74.50704890154765,75.43117452438028,67.16666666666667,72.83333333333333,71.0,76.5,-0.125,1.1111111111111112,-0.04803098345630996,0.7404431173529818,0.3333333333333333,1.1111111111111112,0.0,10.0,-10.1111111111111,-8.674126460013383,-1.0,11.0,-0.13352898019075554,-0.11499392014915265,-0.013729977116704806,0.1437908496732026,-4.125,-0.0547945205479452,-1.453638086572056,-0.019510074657404144,2.3333333333333286,0.03473945409429273,-8.0,-0.11267605633802817,Big West
