Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-06,@,Alabama-Birmingham,L,67.0,75.0,21.0,59.0,0.356,6.0,26.0,0.231,19.0,25.0,0.76,7.0,23.0,11.0,6.0,0.0,18.0,25.0,,21.0,54.0,0.389,4.0,23.0,0.174,29.0,35.0,0.829,12.0,41.0,8.0,8.0,6.0,18.0,25.0,,-8.0,0,1,71.0,0,1,0,-1,70.79310344827586,,69.98646500629414,,64.0,,74.0,,73.41379310344827,,74.83804127753861,,81.0,,85.0,,7.172413793103448,,7.187617986357159,,6.333333333333333,,4.0,,9.172413793103448,,9.32064990787077,,10.666666666666666,,15.0,,0.44982758620689667,,0.4463879467347166,,0.4423333333333332,,0.5089999999999997,,0.44734482758620686,,0.45432870129275793,,0.47933333333333356,,0.5000000000000002,,72.10344827586206,,72.41225314191635,,72.5,,79.5,,-0.034482758620689655,,0.06893533054541959,,0.0,,0.0,,,,,,,,,,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-11-13,@,Georgia State,L,60.0,62.0,23.0,58.0,0.397,7.0,26.0,0.269,7.0,10.0,0.7,9.0,35.0,14.0,3.0,1.0,13.0,14.0,,23.0,54.0,0.426,15.0,35.0,0.429,1.0,6.0,0.167,6.0,28.0,13.0,7.0,5.0,14.0,15.0,7.0,-2.0,0,2,61.0,0,1,0,-1,70.79310344827586,67.0,69.98646500629414,67.0,64.0,,74.0,67.0,73.41379310344827,75.0,74.83804127753861,75.0,81.0,,85.0,75.0,7.172413793103448,-0.04486764568597812,7.187617986357159,-0.04486764568597812,6.333333333333333,,4.0,-0.04486764568597812,9.172413793103448,-0.15352436210388856,9.32064990787077,-0.15352436210388856,10.666666666666666,,15.0,-0.15352436210388856,0.44982758620689667,0.356,0.4463879467347166,0.356,0.4423333333333332,,0.5089999999999997,0.356,0.44734482758620686,0.389,0.45432870129275793,0.389,0.47933333333333356,,0.5000000000000002,0.389,72.10344827586206,71.0,72.41225314191635,71.0,72.5,,79.5,71.0,-0.034482758620689655,2.0,0.06893533054541959,2.0,0.0,,0.0,2.0,-8.0,-8.0,,-8.0,-0.11267605633802817,-0.11267605633802817,,-0.11267605633802817,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-11-16,,UT-Martin,W,77.0,60.0,28.0,61.0,0.459,11.0,29.0,0.379,10.0,15.0,0.667,11.0,28.0,17.0,5.0,1.0,11.0,15.0,,24.0,60.0,0.4,5.0,21.0,0.238,7.0,11.0,0.636,14.0,33.0,10.0,2.0,3.0,17.0,16.0,3.0,17.0,1,3,68.5,1,0,0,1,70.79310344827586,63.5,69.98646500629414,63.37931034482759,64.0,,74.0,60.0,73.41379310344827,68.5,74.83804127753861,68.27586206896552,81.0,,85.0,62.0,7.172413793103448,-0.006437747930660209,7.187617986357159,-0.0050368757056296065,6.333333333333333,,4.0,0.03647563789611141,9.172413793103448,0.10253403205669537,9.32064990787077,0.11223321365368716,10.666666666666666,,15.0,0.4122820895090147,0.44982758620689667,0.3765,0.4463879467347166,0.3772068965517242,0.4423333333333332,,0.5089999999999997,0.397,0.44734482758620686,0.4075,0.45432870129275793,0.40813793103448276,0.47933333333333356,,0.5000000000000002,0.42599999999999993,72.10344827586206,66.0,72.41225314191635,65.82758620689656,72.5,,79.5,61.0,-0.034482758620689655,3.0,0.06893533054541959,3.0,0.0,,0.0,3.0,-5.0,-4.896551724137936,,-2.0,-0.07575757575757576,-0.07438449449973815,,-0.03278688524590164,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-11-20,,Maryland-Eastern Shore,W,80.0,42.0,30.0,57.0,0.526,10.0,23.0,0.435,10.0,13.0,0.769,9.0,35.0,17.0,8.0,3.0,14.0,13.0,,15.0,47.0,0.319,3.0,16.0,0.188,9.0,11.0,0.818,4.0,19.0,4.0,8.0,3.0,17.0,14.0,4.0,38.0,1,4,61.0,1,0,0,1,70.79310344827586,68.0,69.98646500629414,68.23613312202852,64.0,68.0,74.0,77.0,73.41379310344827,65.66666666666667,74.83804127753861,65.32488114104596,81.0,65.66666666666667,85.0,60.0,7.172413793103448,0.03941681436669969,7.187617986357159,0.04328173214327219,6.333333333333333,0.03941681436669969,4.0,0.11504706646753998,9.172413793103448,0.05195787139864949,9.32064990787077,0.05467068884225401,10.666666666666666,0.05195787139864949,15.0,-0.06352436210388857,0.44982758620689667,0.40399999999999997,0.4463879467347166,0.40637242472266244,0.4423333333333332,0.40399999999999997,0.5089999999999997,0.4590000000000001,0.44734482758620686,0.40499999999999997,0.45432870129275793,0.40523613312202855,0.47933333333333356,0.40499999999999997,0.5000000000000002,0.39999999999999997,72.10344827586206,66.83333333333333,72.41225314191635,66.78050713153725,72.5,66.83333333333333,79.5,68.5,-0.034482758620689655,0.4444444444444444,0.06893533054541959,0.3291231436529444,0.0,0.4444444444444444,0.0,4.0,2.3333333333333286,2.9112519809825557,2.3333333333333286,17.0,0.03491271820448871,0.04359433771966236,0.03491271820448871,0.24817518248175183,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-11-24,@,NC State,L,74.0,78.0,23.0,44.0,0.523,3.0,12.0,0.25,25.0,34.0,0.735,3.0,28.0,9.0,5.0,0.0,22.0,28.0,,27.0,60.0,0.45,8.0,27.0,0.296,16.0,29.0,0.552,13.0,28.0,12.0,8.0,2.0,11.0,25.0,4.0,-4.0,0,5,76.0,0,1,0,-1,70.79310344827586,71.0,69.98646500629414,71.4880825620444,64.0,72.33333333333333,74.0,80.0,73.41379310344827,59.75,74.83804127753861,58.87705790810058,81.0,54.666666666666664,85.0,42.0,7.172413793103448,0.045630567473576245,7.187617986357159,0.04891001561008407,6.333333333333333,0.07357241208965987,4.0,0.061475637896111435,9.172413793103448,0.02538777178732482,9.32064990787077,0.0243204690801187,10.666666666666666,0.10720734521318465,15.0,-0.09923864781817429,0.44982758620689667,0.4345,0.4463879467347166,0.43944172331886316,0.4423333333333332,0.4606666666666667,0.5089999999999997,0.526,0.44734482758620686,0.38349999999999995,0.45432870129275793,0.3813974117454337,0.47933333333333356,0.3816666666666666,0.5000000000000002,0.31899999999999995,72.10344827586206,65.375,72.41225314191635,65.18257023507249,72.5,63.5,79.5,61.0,-0.034482758620689655,0.0,0.06893533054541959,0.023724758944036646,0.0,0.5555555555555556,0.0,5.0,11.25,12.611024653943815,17.666666666666664,38.0,0.17208413001912046,0.19347234404019034,0.27821522309711283,0.6229508196721312,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-12-01,@,Citadel,L,69.0,79.0,25.0,69.0,0.362,7.0,35.0,0.2,12.0,17.0,0.706,16.0,41.0,11.0,6.0,1.0,12.0,18.0,,26.0,61.0,0.426,12.0,33.0,0.364,15.0,22.0,0.682,9.0,38.0,14.0,10.0,3.0,12.0,19.0,7.0,-10.0,0,6,74.0,0,1,0,-1,70.79310344827586,71.6,69.98646500629414,72.06206245965942,64.0,77.0,74.0,74.0,73.41379310344827,63.4,74.83804127753861,63.2467016623712,81.0,60.0,85.0,78.0,7.172413793103448,-0.0034684961821007665,7.187617986357159,-0.007596150497580945,6.333333333333333,-0.0018360504155768842,4.0,-0.19190274048226694,9.172413793103448,0.017705921807783354,9.32064990787077,0.015823349953386523,10.666666666666666,-0.0468576954372219,15.0,-0.005832054411580856,0.44982758620689667,0.45220000000000005,0.4463879467347166,0.45853501451133155,0.4423333333333332,0.5026666666666667,0.5089999999999997,0.5229999999999999,0.44734482758620686,0.39679999999999993,0.45432870129275793,0.39707328786599927,0.47933333333333356,0.3896666666666666,0.5000000000000002,0.4499999999999999,72.10344827586206,67.5,72.41225314191635,67.65438206101531,72.5,68.5,79.5,76.0,-0.034482758620689655,0.24000000000000005,0.06893533054541959,0.1845050360271582,0.0,0.6666666666666666,0.0,6.0,8.199999999999996,8.815360797288214,17.0,-4.0,0.12148148148148141,0.13029992335659682,0.24817518248175183,-0.05263157894736842,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-12-05,@,Florida Atlantic,L,64.0,68.0,21.0,54.0,0.389,2.0,17.0,0.118,20.0,23.0,0.87,8.0,31.0,4.0,12.0,1.0,19.0,24.0,,24.0,54.0,0.444,6.0,26.0,0.231,14.0,22.0,0.636,9.0,27.0,12.0,10.0,6.0,18.0,23.0,4.0,-4.0,0,7,66.0,0,1,0,-1,70.79310344827586,71.16666666666667,69.98646500629414,71.45983503617764,64.0,74.33333333333333,74.0,69.0,73.41379310344827,66.0,74.83804127753861,66.34496252223143,81.0,66.33333333333333,85.0,79.0,7.172413793103448,-0.004390872642530297,7.187617986357159,-0.007896271650391973,6.333333333333333,-0.044466066139763005,4.0,-0.009176536016932024,9.172413793103448,0.04253624395671751,9.32064990787077,0.045412717238761,10.666666666666666,0.03320930623781998,15.0,0.142171840427757,0.44982758620689667,0.4371666666666667,0.4463879467347166,0.4395491075186302,0.4423333333333332,0.4703333333333333,0.5089999999999997,0.3619999999999999,0.44734482758620686,0.4016666666666666,0.45432870129275793,0.40276241392001066,0.47933333333333356,0.39833333333333326,0.5000000000000002,0.4259999999999999,72.10344827586206,68.58333333333333,72.41225314191635,68.90239877920453,72.5,70.33333333333333,79.5,74.0,-0.034482758620689655,0.7777777777777777,0.06893533054541959,0.7975535906984188,0.0,0.7777777777777777,0.0,7.0,5.166666666666671,5.11487251394621,8.0,-10.0,0.07533414337788585,0.07423359134907118,0.1137440758293839,-0.13513513513513514,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-12-08,,Georgia Southern,L,74.0,89.0,30.0,66.0,0.455,6.0,19.0,0.316,8.0,14.0,0.571,13.0,29.0,17.0,4.0,1.0,10.0,19.0,,32.0,62.0,0.516,10.0,26.0,0.385,15.0,20.0,0.75,15.0,38.0,15.0,6.0,8.0,11.0,16.0,3.0,-15.0,0,8,81.5,1,0,0,1,70.79310344827586,70.14285714285714,69.98646500629414,70.16147683327495,64.0,69.0,74.0,64.0,73.41379310344827,66.28571428571429,74.83804127753861,66.63301600799232,81.0,75.0,85.0,68.0,7.172413793103448,-0.03246529896743233,7.187617986357159,-0.041534460513325044,6.333333333333333,-0.1396113186256277,4.0,-0.21977436210388857,9.172413793103448,0.02914805168921486,9.32064990787077,0.02867564649671689,10.666666666666666,0.03314230456277811,15.0,-0.048818479750947386,0.44982758620689667,0.4302857142857143,0.4463879467347166,0.4307512121123731,0.4423333333333332,0.4246666666666667,0.5089999999999997,0.3889999999999999,0.44734482758620686,0.40771428571428564,0.45432870129275793,0.4099396715798924,0.47933333333333356,0.43999999999999995,0.5000000000000002,0.4439999999999999,72.10344827586206,68.21428571428571,72.41225314191635,68.39724642063364,72.5,72.0,79.5,66.0,-0.034482758620689655,1.4693877551020407,0.06893533054541959,1.6405305456402854,0.0,8.0,0.0,8.0,3.857142857142847,3.5284608252826217,-6.0,-4.0,0.056544502617800904,0.05158776134909108,-0.08333333333333333,-0.06060606060606061,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-12-18,@,Florida,L,63.0,71.0,23.0,57.0,0.404,7.0,23.0,0.304,10.0,15.0,0.667,8.0,30.0,8.0,6.0,2.0,12.0,18.0,,24.0,57.0,0.421,12.0,33.0,0.364,11.0,15.0,0.733,8.0,34.0,16.0,4.0,7.0,11.0,13.0,10.0,-8.0,0,9,67.0,0,1,0,-1,70.79310344827586,70.625,69.98646500629414,70.76477618256479,64.0,69.0,74.0,74.0,73.41379310344827,69.125,74.83804127753861,70.14842709237227,81.0,78.66666666666667,85.0,89.0,7.172413793103448,-0.03741816741362308,7.187617986357159,-0.04625912138034116,6.333333333333333,-0.09613305775606248,4.0,-0.07028111886064531,9.172413793103448,0.0282477897948456,9.32064990787077,0.027654411231206655,10.666666666666666,0.04240784128594194,15.0,0.023554289581504684,0.44982758620689667,0.43337500000000007,0.4463879467347166,0.43456238565966054,0.4423333333333332,0.40199999999999997,0.5089999999999997,0.45499999999999985,0.44734482758620686,0.42124999999999996,0.45432870129275793,0.42660913646055093,0.47933333333333356,0.46199999999999997,0.5000000000000002,0.516,72.10344827586206,69.875,72.41225314191635,70.45660163746854,72.5,73.83333333333333,79.5,81.5,-0.034482758620689655,0.5625,0.06893533054541959,0.45360119713223757,0.0,1.0,0.0,9.0,1.5,0.6163490901925144,-9.666666666666671,-15.0,0.02146690518783542,0.008747925330885423,-0.13092550790067728,-0.18404907975460122,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
2018-12-21,,UNC Wilmington,W,77.0,73.0,27.0,51.0,0.529,11.0,23.0,0.478,12.0,20.0,0.6,3.0,23.0,13.0,4.0,5.0,11.0,22.0,,25.0,60.0,0.417,7.0,27.0,0.259,16.0,20.0,0.8,9.0,32.0,15.0,2.0,2.0,11.0,17.0,3.0,4.0,1,10,75.0,1,0,0,1,70.79310344827586,69.77777777777777,69.98646500629414,69.6456713427595,64.0,67.0,74.0,63.0,73.41379310344827,69.33333333333333,74.83804127753861,70.2711607475307,81.0,76.0,85.0,71.0,7.172413793103448,-0.03167722834592679,7.187617986357159,-0.03764561417473905,6.333333333333333,-0.08964376508896318,4.0,0.01980897122944475,9.172413793103448,0.04705256097303456,9.32064990787077,0.0518075639348598,10.666666666666666,0.05489669052769036,15.0,0.19351789141723819,0.44982758620689667,0.43011111111111117,0.4463879467347166,0.4301575563505401,0.4423333333333332,0.4159999999999999,0.5089999999999997,0.40399999999999986,0.44734482758620686,0.42122222222222216,0.45432870129275793,0.4258007149925599,0.47933333333333356,0.4603333333333333,0.5000000000000002,0.42100000000000004,72.10344827586206,69.55555555555556,72.41225314191635,69.95841604514511,72.5,71.5,79.5,67.0,-0.034482758620689655,1.1111111111111112,0.06893533054541959,1.1307708310658424,0.0,1.1111111111111112,0.0,10.0,0.44444444444444287,-0.6254894047712014,-9.0,-8.0,0.006389776357827453,-0.008940874309783752,-0.1258741258741259,-0.11940298507462686,-2.620689655172413,-0.03634624581539932,-4.851576271244468,-0.06699938284942136,-17.0,-0.23448275862068965,-11.0,-0.13836477987421383,Southern
