Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Rest_Days,result,Win,Game_Number,Mean_Score,Home,Away,Neutral,Comb_Loc,SMA_Score_Fin,SMA_Score,EMA_Score_Fin,EMA_Score,Last3Avg_Score_Fin,Last3Avg_Score,Prev_Score_Fin,Prev_Score,SMA_Opp_score_Fin,SMA_Opp_score,EMA_Opp_score_Fin,EMA_Opp_score,Last3Avg_Opp_score_Fin,Last3Avg_Opp_score,Prev_Opp_score_Fin,Prev_Opp_score,SMA_Threes_Fin,SMA_Threes,EMA_Threes_Fin,EMA_Threes,Last3Avg_Threes_Fin,Last3Avg_Threes,Prev_Threes_Fin,Prev_Threes,SMA_Opp_Threes_Fin,SMA_Opp_Threes,EMA_Opp_Threes_Fin,EMA_Opp_Threes,Last3Avg_Opp_Threes_Fin,Last3Avg_Opp_Threes,Prev_Opp_Threes_Fin,Prev_Opp_Threes,SMA_FG_Pct_Fin,SMA_FG_Pct,EMA_FG_Pct_Fin,EMA_FG_Pct,Last3Avg_FG_Pct_Fin,Last3Avg_FG_Pct,Prev_FG_Pct_Fin,Prev_FG_Pct,SMA_Opp_FG_Pct_Fin,SMA_Opp_FG_Pct,EMA_Opp_FG_Pct_Fin,EMA_Opp_FG_Pct,Last3Avg_Opp_FG_Pct_Fin,Last3Avg_Opp_FG_Pct,Prev_Opp_FG_Pct_Fin,Prev_Opp_FG_Pct,SMA_Mean_Score_Fin,SMA_Mean_Score,EMA_Mean_Score_Fin,EMA_Mean_Score,Last3Avg_Mean_Score_Fin,Last3Avg_Mean_Score,Prev_Mean_Score_Fin,Prev_Mean_Score,SMA_Comb_Loc_Fin,SMA_Comb_Loc,EMA_Comb_Loc_Fin,EMA_Comb_Loc,Last3Avg_Comb_Loc_Fin,Last3Avg_Comb_Loc,Prev_Comb_Loc_Fin,Prev_Comb_Loc,SMA_Result,EMA_Result,Last3Avg_Result,Prev_Result,SMA_Pct_Margin,EMA_Pct_Margin,Last3Avg_Pct_Margin,Prev_Pct_Margin,SMA_Result_Fin,SMA_Pct_Margin_Fin,EMA_Result_Fin,EMA_Pct_Margin_Fin,Last3Avg_Result_Fin,Last3Avg_Pct_Margin_Fin,Prev_Result_Fin,Prev_Pct_Margin_Fin,Conference
2018-11-06,@,SIU-Edwardsville,W,74.0,65.0,24.0,49.0,0.49,8.0,23.0,0.348,18.0,22.0,0.818,7.0,38.0,15.0,6.0,1.0,19.0,23.0,,22.0,56.0,0.393,8.0,31.0,0.258,13.0,26.0,0.5,5.0,19.0,10.0,8.0,3.0,12.0,23.0,,9.0,1,1,69.5,0,1,0,-1,65.76666666666667,,62.28451152708526,,64.0,,53.0,,70.2,,68.82064216876081,,73.0,,61.0,,6.166666666666667,,6.197667854158241,,9.666666666666666,,5.0,,8.0,,7.619731500785152,,7.333333333333333,,7.0,,0.4171666666666667,,0.40046341898654236,,0.38799999999999996,,0.33300000000000013,,0.46246666666666664,,0.4635041322669233,,0.4649999999999998,,0.37499999999999983,,67.98333333333333,,65.55257684792304,,68.5,,57.0,,-0.03333333333333333,,0.010283641419311975,,0.0,,0.0,,,,,,,,,,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-09,@,Nevada,L,61.0,83.0,25.0,60.0,0.417,5.0,20.0,0.25,6.0,14.0,0.429,6.0,30.0,15.0,4.0,1.0,9.0,28.0,,25.0,56.0,0.446,15.0,31.0,0.484,18.0,27.0,0.667,9.0,37.0,21.0,5.0,6.0,7.0,18.0,3.0,-22.0,0,2,72.0,0,1,0,-1,65.76666666666667,74.0,62.28451152708526,74.0,64.0,,53.0,74.0,70.2,65.0,68.82064216876081,65.0,73.0,,61.0,65.0,6.166666666666667,0.010799962220435777,6.197667854158241,0.010799962220435777,9.666666666666666,,5.0,0.010799962220435777,8.0,0.055706407126880686,7.619731500785152,0.055706407126880686,7.333333333333333,,7.0,0.055706407126880686,0.4171666666666667,0.49,0.40046341898654236,0.49,0.38799999999999996,,0.33300000000000013,0.49,0.46246666666666664,0.393,0.4635041322669233,0.393,0.4649999999999998,,0.37499999999999983,0.393,67.98333333333333,69.5,65.55257684792304,69.5,68.5,,57.0,69.5,-0.03333333333333333,2.0,0.010283641419311975,2.0,0.0,,0.0,2.0,9.0,9.0,,9.0,0.12949640287769784,0.12949640287769784,,0.12949640287769784,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-15,@,Idaho State,W,83.0,76.0,28.0,62.0,0.452,10.0,21.0,0.476,17.0,18.0,0.944,12.0,37.0,12.0,4.0,0.0,10.0,23.0,,23.0,54.0,0.426,11.0,33.0,0.333,19.0,23.0,0.826,6.0,26.0,8.0,5.0,3.0,7.0,14.0,6.0,7.0,1,3,79.5,0,1,0,-1,65.76666666666667,67.5,62.28451152708526,67.28333333333335,64.0,,53.0,61.0,70.2,74.0,68.82064216876081,74.3,73.0,,61.0,83.0,6.166666666666667,-0.024635473214999704,6.197667854158241,-0.025934567702105116,9.666666666666666,,5.0,-0.06762272275962627,8.0,0.15269185411232766,7.619731500785152,0.1555200524317777,7.333333333333333,,7.0,0.22864431259490658,0.4171666666666667,0.4535,0.40046341898654236,0.4522833333333333,0.38799999999999996,,0.33300000000000013,0.41700000000000004,0.46246666666666664,0.4195,0.4635041322669233,0.42038333333333333,0.4649999999999998,,0.37499999999999983,0.44599999999999995,67.98333333333333,70.75,65.55257684792304,70.79166666666666,68.5,,57.0,72.0,-0.03333333333333333,3.0,0.010283641419311975,3.0,0.0,,0.0,3.0,-6.5,-7.0166666666666515,,-22.0,-0.09187279151943463,-0.09911712772218932,,-0.3055555555555556,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-20,@,UNLV,L,70.0,96.0,23.0,52.0,0.442,7.0,11.0,0.636,17.0,24.0,0.708,8.0,20.0,11.0,5.0,0.0,14.0,20.0,,36.0,58.0,0.621,11.0,27.0,0.407,13.0,24.0,0.542,10.0,31.0,22.0,7.0,1.0,11.0,20.0,5.0,-26.0,0,4,83.0,0,1,0,-1,65.76666666666667,72.66666666666667,62.28451152708526,72.87523139577935,64.0,72.66666666666667,53.0,83.0,70.2,74.66666666666667,68.82064216876081,74.904850055535,73.0,74.66666666666667,61.0,76.0,6.166666666666667,0.0029893993640013328,6.197667854158241,0.003993774822283469,9.666666666666666,0.0029893993640013328,5.0,0.04792142102864155,8.0,0.14183278075325428,7.619731500785152,0.1429451561792104,7.333333333333333,0.14183278075325428,7.0,0.12068616421190093,0.4171666666666667,0.453,0.40046341898654236,0.45218252499074424,0.38799999999999996,0.453,0.33300000000000013,0.452,0.46246666666666664,0.42166666666666663,0.4635041322669233,0.4223817104776009,0.4649999999999998,0.42166666666666663,0.37499999999999983,0.4259999999999999,67.98333333333333,73.66666666666667,65.55257684792304,73.89004072565716,68.5,73.66666666666667,57.0,79.5,-0.03333333333333333,4.0,0.010283641419311975,4.0,0.0,4.0,0.0,4.0,-2.0,-2.0296186597556414,-2.0,7.0,-0.027149321266968323,-0.02746809502096929,-0.027149321266968323,0.0880503144654088,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-22,,UC-Riverside,W,74.0,54.0,26.0,50.0,0.52,3.0,14.0,0.214,19.0,25.0,0.76,8.0,39.0,10.0,3.0,0.0,14.0,21.0,,17.0,52.0,0.327,10.0,31.0,0.323,10.0,18.0,0.556,7.0,25.0,8.0,4.0,3.0,12.0,21.0,2.0,20.0,1,5,64.0,1,0,0,1,65.76666666666667,72.0,62.28451152708526,72.08300036995931,64.0,71.33333333333333,53.0,70.0,70.2,80.0,68.82064216876081,80.71733259341472,73.0,85.0,61.0,96.0,6.166666666666667,-0.0010243621038885653,6.197667854158241,-0.0006936265811900988,9.666666666666666,-0.005113147150617503,5.0,-0.013524362103888576,8.0,0.10835063789611143,7.619731500785152,0.10600637172721666,7.333333333333333,0.12176975554317027,7.0,0.030225637896111435,0.4171666666666667,0.45025,0.40046341898654236,0.44937686829448764,0.38799999999999996,0.437,0.33300000000000013,0.442,0.46246666666666664,0.4715,0.4635041322669233,0.4771082870884203,0.4649999999999998,0.49766666666666665,0.37499999999999983,0.621,67.98333333333333,76.0,65.55257684792304,76.40016648168701,68.5,78.16666666666667,57.0,83.0,-0.03333333333333333,5.0,0.010283641419311975,5.0,0.0,5.0,0.0,5.0,-8.0,-8.634332223455417,-13.666666666666671,-26.0,-0.10526315789473684,-0.11301457341097616,-0.17484008528784653,-0.3132530120481928,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-23,,Abilene Christian,L,71.0,73.0,20.0,46.0,0.435,3.0,13.0,0.231,28.0,37.0,0.757,8.0,29.0,5.0,6.0,3.0,9.0,19.0,,28.0,56.0,0.5,5.0,15.0,0.333,12.0,18.0,0.667,6.0,27.0,11.0,4.0,2.0,9.0,28.0,1.0,-2.0,0,6,72.0,1,0,0,1,65.76666666666667,72.4,62.28451152708526,72.51916419828426,64.0,75.66666666666667,53.0,74.0,70.2,74.8,68.82064216876081,74.63849257489713,73.0,75.33333333333333,61.0,54.0,6.166666666666667,-0.04004369912046324,6.197667854158241,-0.045086692071312884,9.666666666666666,-0.04920718148714848,5.0,-0.19190274048226694,8.0,0.12765210848434677,7.619731500785152,0.12839753633028111,7.333333333333333,0.11125439895805839,7.0,0.24203119345166701,0.4171666666666667,0.46419999999999995,0.40046341898654236,0.4654453406145996,0.38799999999999996,0.4713333333333333,0.33300000000000013,0.52,0.46246666666666664,0.4426,0.4635041322669233,0.4429550175030753,0.4649999999999998,0.45799999999999996,0.37499999999999983,0.32699999999999996,67.98333333333333,73.6,65.55257684792304,73.5788283865907,68.5,75.5,57.0,64.0,-0.03333333333333333,2.16,0.010283641419311975,1.781833334101822,0.0,0.6666666666666666,0.0,6.0,-2.3999999999999915,-2.11932837661287,0.3333333333333428,20.0,-0.0326086956521738,-0.028803508061825907,0.00441501103752772,0.3125,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-24,,Elon,W,65.0,57.0,22.0,54.0,0.407,8.0,20.0,0.4,13.0,19.0,0.684,4.0,29.0,8.0,11.0,3.0,16.0,17.0,,18.0,50.0,0.36,8.0,31.0,0.258,13.0,16.0,0.813,7.0,36.0,9.0,6.0,3.0,22.0,20.0,1.0,8.0,1,7,61.0,1,0,0,1,65.76666666666667,72.16666666666667,62.28451152708526,72.22196365345457,64.0,71.66666666666667,53.0,71.0,70.2,74.5,68.82064216876081,74.31794731289794,73.0,74.33333333333333,61.0,73.0,6.166666666666667,-0.06410172930943131,6.197667854158241,-0.07233462864643844,9.666666666666666,-0.13212901326667928,5.0,-0.18676379872360688,8.0,0.08916020165450067,7.619731500785152,0.08296159994725166,7.333333333333333,0.036251422649474674,7.0,-0.10804491004909406,0.4171666666666667,0.4593333333333333,0.40046341898654236,0.4594891893121903,0.38799999999999996,0.4656666666666667,0.33300000000000013,0.43500000000000005,0.46246666666666664,0.45216666666666666,0.4635041322669233,0.45411496973011783,0.4649999999999998,0.48266666666666663,0.37499999999999983,0.49999999999999994,67.98333333333333,73.33333333333333,65.55257684792304,73.26995548317626,68.5,73.0,57.0,72.0,-0.03333333333333333,0.7777777777777777,0.010283641419311975,0.4123438877706379,0.0,0.7777777777777777,0.0,7.0,-2.3333333333333286,-2.0959836594433767,-2.666666666666657,-2.0,-0.03181818181818175,-0.028606318178051055,-0.03652968036529668,-0.027777777777777776,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-11-28,@,Fresno State,L (1 OT),78.0,81.0,28.0,64.0,0.438,10.0,23.0,0.435,12.0,17.0,0.706,11.0,34.0,14.0,6.0,5.0,19.0,22.0,,29.0,60.0,0.483,8.0,26.0,0.308,15.0,23.0,0.652,11.0,37.0,17.0,10.0,7.0,16.0,19.0,4.0,-3.0,0,8,79.5,0,1,0,-1,65.76666666666667,71.14285714285714,62.28451152708526,70.97287799032088,64.0,70.0,53.0,65.0,70.2,72.0,68.82064216876081,71.32269550308054,73.0,61.333333333333336,61.0,57.0,6.166666666666667,-0.04846412114003312,6.197667854158241,-0.052052803042915874,9.666666666666666,-0.11352436210388855,5.0,0.055706407126880686,8.0,0.09123754265801615,7.619731500785152,0.08635730778048828,7.333333333333333,0.061475637896111435,7.0,0.10752826947505878,0.4171666666666667,0.45185714285714285,0.40046341898654236,0.450410842066839,0.38799999999999996,0.454,0.33300000000000013,0.4070000000000001,0.46246666666666664,0.439,0.4635041322669233,0.43783717258004246,0.4649999999999998,0.3956666666666666,0.37499999999999983,0.3599999999999999,67.98333333333333,71.57142857142857,65.55257684792304,71.14778674670072,68.5,65.66666666666667,57.0,61.0,-0.03333333333333333,0.16326530612244897,0.010283641419311975,0.006170278962542031,0.0,8.0,0.0,8.0,-0.8571428571428612,-0.3498175127596568,8.666666666666664,8.0,-0.011976047904191673,-0.004916772942004111,0.13197969543147203,0.13114754098360656,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-12-01,,Air Force,W,82.0,69.0,28.0,53.0,0.528,10.0,22.0,0.455,16.0,20.0,0.8,9.0,29.0,13.0,8.0,3.0,12.0,18.0,,26.0,49.0,0.531,7.0,23.0,0.304,10.0,13.0,0.769,4.0,24.0,13.0,3.0,0.0,10.0,16.0,3.0,13.0,1,9,75.5,1,0,0,1,65.76666666666667,72.0,62.28451152708526,72.0693614342316,64.0,71.33333333333333,53.0,78.0,70.2,73.125,68.82064216876081,72.83270260811435,73.0,70.33333333333333,61.0,81.0,6.166666666666667,-0.032274362103888565,6.197667854158241,-0.0312567386163628,9.666666666666666,-0.01913183873940255,5.0,0.07109102251149607,8.0,0.07621922763970118,7.619731500785152,0.06838178149998986,7.333333333333333,-0.014946163051755834,7.0,-0.017228065807592285,0.4171666666666667,0.450125,0.40046341898654236,0.4484743049137149,0.38799999999999996,0.4266666666666667,0.33300000000000013,0.4380000000000001,0.46246666666666664,0.4445,0.4635041322669233,0.44488419588175426,0.4649999999999998,0.44766666666666666,0.37499999999999983,0.4829999999999999,67.98333333333333,72.5625,65.55257684792304,72.45103202117299,68.5,70.83333333333333,57.0,79.5,-0.03333333333333333,0.5625,0.010283641419311975,0.28989987623323576,0.0,1.0,0.0,9.0,-1.125,-0.7633411738827505,1.0,-3.0,-0.015503875968992248,-0.010535959979972026,0.01411764705882353,-0.03773584905660377,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
2018-12-10,,Long Beach State,W,74.0,68.0,25.0,58.0,0.431,5.0,19.0,0.263,19.0,20.0,0.95,7.0,29.0,10.0,12.0,1.0,13.0,19.0,,21.0,48.0,0.438,9.0,19.0,0.474,17.0,22.0,0.773,4.0,26.0,10.0,7.0,2.0,18.0,18.0,9.0,6.0,1,10,71.0,1,0,0,1,65.76666666666667,73.11111111111111,62.28451152708526,73.48897501612961,64.0,75.0,53.0,82.0,70.2,72.66666666666667,68.82064216876081,72.28480665541997,73.0,69.0,61.0,69.0,6.166666666666667,-0.021731049033979766,6.197667854158241,-0.017924030943767155,9.666666666666666,0.059808971229444785,5.0,0.05232929643269679,8.0,0.06720958285023981,7.619731500785152,0.057798425223646976,7.333333333333333,0.01980897122944475,7.0,-0.009176536016932024,0.4171666666666667,0.45877777777777773,0.40046341898654236,0.4598427336513724,0.38799999999999996,0.45766666666666667,0.33300000000000013,0.5280000000000002,0.46246666666666664,0.4541111111111111,0.4635041322669233,0.4571946998168929,0.4649999999999998,0.458,0.37499999999999983,0.5309999999999998,67.98333333333333,72.88888888888889,65.55257684792304,72.8868908357748,68.5,72.0,57.0,75.5,-0.03333333333333333,0.12345679012345678,0.010283641419311975,0.0011805262813355242,0.0,1.1111111111111112,0.0,10.0,0.44444444444444287,1.2041683607096445,6.0,13.0,0.006097560975609735,0.01652105539009502,0.08333333333333333,0.17218543046357615,-4.433333333333337,-0.06521206177984806,-6.536130641675555,-0.09970821828772465,-9.0,-0.13138686131386862,-8.0,-0.14035087719298245,WCC
