Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-08,@,North Carolina A&T,L,49.0,63.0,20.0,66.0,0.303,4.0,26.0,0.154,5.0,16.0,0.313,16.0,42.0,8.0,8.0,3.0,21.0,21.0,,25.0,53.0,0.472,4.0,14.0,0.286,9.0,21.0,0.429,10.0,39.0,14.0,11.0,4.0,23.0,19.0,-14.0,0,1,56.0,,,,,,,,,,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,,14.0,56.0,83.0,50.0,66.5,-33.0,-0.49624060150375937,1,0,0.0,2019-11-08,,Charleston Southern,1,49.0,63.0,4.0,4.0,W,-0.07352436210388857,0.08406599934189457,2,-1.8064516129032313,-33.0,0.429,0.326,0.4254838709677419,-0.02527075812274376,,,,,,33.0,33.0,,-2.162010335197017,,-2.055489747776675,-33.0
2019-11-12,,Furman,L,47.0,91.0,20.0,61.0,0.328,4.0,23.0,0.174,3.0,4.0,0.75,9.0,26.0,13.0,5.0,2.0,15.0,11.0,,35.0,65.0,0.538,11.0,28.0,0.393,10.0,11.0,0.909,12.0,42.0,14.0,6.0,3.0,11.0,10.0,-44.0,0,2,69.0,49.0,63.0,-0.0686264029202151,-0.1230481716276981,0.303,0.472,56.0,-14.0,-0.25,1,0,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-14.0,44.0,69.0,63.0,78.5,70.75,15.5,0.21908127208480566,0,1,0.0,2019-11-12,@,Charleston Southern,1,47.0,91.0,11.0,4.0,W,-0.04600843853700959,0.01980897122944475,3,8.344827586206904,15.5,0.4565,0.5085000000000001,0.4424137931034482,0.1167390255668115,-7.375,-0.03687029212017209,0.07524130674984555,-9.5,-9.5,-2.25,-2.25,-1.75,-2.162010335197017,-1.8064516129032313,-2.055489747776675,-1.625
2019-11-16,@,Dayton,L,61.0,90.0,25.0,61.0,0.41,7.0,16.0,0.438,4.0,6.0,0.667,11.0,23.0,15.0,8.0,2.0,17.0,14.0,,37.0,61.0,0.607,9.0,24.0,0.375,7.0,9.0,0.778,12.0,38.0,27.0,6.0,2.0,17.0,10.0,-29.0,0,3,75.5,48.0,77.0,-0.06352436210388857,-0.02131656989609637,0.3155,0.505,62.5,-29.0,-0.464,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-29.0,29.0,75.5,81.0,86.0,83.5,5.0,0.059880239520958084,1,0,0.0,2019-11-16,,Charleston Southern,1,61.0,90.0,9.0,7.0,W,-0.06933831559226067,-0.09130213988166636,2,15.483870967741936,5.0,0.474,0.483,0.41270967741935494,0.21428571428571427,-10.5,0.0761571414556958,0.03844548153944769,3.5000000000000036,3.5000000000000036,-17.0,-17.0,-1.8690476190476193,-2.162010335197017,3.2691879866518363,-2.055489747776675,13.333333333333332
2019-11-18,@,Michigan State,L,46.0,94.0,19.0,68.0,0.279,2.0,24.0,0.083,6.0,8.0,0.75,8.0,21.0,9.0,8.0,1.0,12.0,22.0,,36.0,64.0,0.563,4.0,17.0,0.235,18.0,25.0,0.72,15.0,54.0,31.0,6.0,8.0,12.0,13.0,-48.0,0,4,70.0,52.333333333333336,81.33333333333333,-0.026900158282232522,-0.018442394890773817,0.347,0.539,66.83333333333333,-28.999999999999993,-0.4339152119700747,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-28.999999999999993,48.0,70.0,63.0,79.33333333333333,71.16666666666667,16.33333333333333,0.2295081967213114,1,0,0.0,2019-11-18,,Charleston Southern,1,46.0,94.0,4.0,2.0,W,-0.011003353700527185,0.09917405059452411,4,11.161290322580655,16.33333333333333,0.371,0.4406666666666667,0.38170967741935485,0.15871559633027535,-2.1666666666666714,-0.051650727569733566,0.014245286731687071,8.000000000000002,8.000000000000002,3.7777777777777786,3.7777777777777786,-6.574074074074073,-2.162010335197017,7.340748980348536,-2.055489747776675,-0.20324074074074217
2019-11-23,N,Southern Utah,L,45.0,80.0,16.0,58.0,0.276,3.0,19.0,0.158,10.0,12.0,0.833,7.0,21.0,6.0,5.0,2.0,16.0,16.0,,30.0,59.0,0.508,6.0,17.0,0.353,14.0,16.0,0.875,12.0,43.0,14.0,9.0,4.0,16.0,14.0,-35.0,0,5,62.5,50.75,84.5,-0.06229283501029248,-0.06500365204471698,0.32999999999999996,0.5449999999999999,67.625,-33.75,-0.49907578558225507,0,0,1,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-33.75,35.0,62.5,74.0,67.66666666666667,70.83333333333333,-6.333333333333329,-0.08941176470588229,0,0,1.0,2019-11-23,N,Charleston Southern,1,45.0,80.0,6.0,3.0,W,-0.18051943599551418,-0.09730814588767234,4,2.566666666666663,-6.333333333333329,0.39399999999999996,0.42166666666666663,0.40856666666666663,0.037478705281090235,-1.6041666666666643,0.07785627962430676,0.10832553994677782,11.833333333333336,11.833333333333336,4.1333333333333355,4.1333333333333355,-5.7441176470588236,-2.162010335197017,8.295884315906566,-2.055489747776675,-3.1105555555555537
2019-11-24,,Delaware State,W,71.0,61.0,22.0,59.0,0.373,10.0,31.0,0.323,17.0,23.0,0.739,10.0,40.0,12.0,6.0,2.0,15.0,13.0,,23.0,62.0,0.371,7.0,22.0,0.318,8.0,9.0,0.889,8.0,35.0,12.0,10.0,1.0,13.0,21.0,10.0,1,6,66.0,49.6,83.6,-0.07158887823292084,-0.06950522334790771,0.3192,0.5376,66.6,-33.99999999999999,-0.5105105105105104,1,0,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-33.99999999999999,-10.0,66.0,92.66666666666667,68.0,80.33333333333333,-24.66666666666667,-0.30705394190871377,0,1,0.0,2019-11-24,@,Charleston Southern,0,71.0,61.0,7.0,10.0,L,-0.004700832692123846,0.03179937890330564,7,-11.333333333333343,-24.66666666666667,0.5199999999999999,0.4088333333333334,0.4702333333333334,-0.14443500424808847,-6.866666666666667,-0.04771249169967189,0.018075741373100418,10.26666666666667,10.26666666666667,7.991666666666667,7.991666666666667,-5.293650793650792,-2.162010335197017,7.150040786058585,-2.055489747776675,-5.536230158730159
2019-12-03,@,Missouri,W,68.0,60.0,22.0,56.0,0.393,10.0,22.0,0.455,14.0,19.0,0.737,8.0,26.0,12.0,7.0,3.0,7.0,18.0,,20.0,56.0,0.357,4.0,26.0,0.154,16.0,20.0,0.8,15.0,42.0,10.0,5.0,2.0,15.0,22.0,8.0,1,7,64.0,53.166666666666664,79.83333333333333,-0.03139270066188227,-0.05673939341912865,0.32816666666666666,0.5098333333333332,66.5,-26.666666666666664,-0.40100250626566414,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-26.666666666666664,-8.0,64.0,58.42857142857143,67.71428571428571,63.07142857142857,9.285714285714278,0.14722536806342004,1,0,0.0,2019-12-03,,Charleston Southern,0,68.0,60.0,4.0,10.0,L,-0.047701577293761954,-0.020125829096553638,8,1.9677419354838719,9.285714285714278,0.3805714285714285,0.44328571428571434,0.40783870967741936,0.029748841745915647,1.7142857142857153,0.025135714201118473,0.052024595729171536,1.8244047619047639,1.8244047619047639,2.6088435374149617,2.6088435374149617,-0.8184523809523819,-2.162010335197017,4.069478432826597,-2.055489747776675,-0.008859059496816377
2019-12-07,,North Carolina Central,W,58.0,53.0,18.0,51.0,0.353,6.0,22.0,0.273,16.0,20.0,0.8,10.0,29.0,8.0,7.0,1.0,17.0,11.0,,24.0,50.0,0.48,3.0,14.0,0.214,2.0,7.0,0.286,6.0,27.0,13.0,10.0,5.0,16.0,19.0,5.0,1,8,55.5,55.285714285714285,77.0,-0.0034468427240436084,-0.06306054021149526,0.33742857142857147,0.48799999999999993,66.14285714285714,-21.714285714285715,-0.32829373650107996,1,0,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-21.714285714285715,-5.0,55.5,75.5,58.5,67.0,-17.0,-0.2537313432835821,0,1,0.0,2019-12-07,@,Charleston Southern,0,58.0,53.0,3.0,6.0,L,0.01980897122944475,0.02919086968419088,9,-1.1785714285714164,-17.0,0.48375,0.38725,0.4284642857142857,-0.017428043306046824,-0.4285714285714306,-0.010030769500863753,-0.03534352029386368,2.6709183673469385,2.6709183673469385,3.2948908730158735,3.2948908730158735,0.11222943722943678,-2.162010335197017,3.7692303617776366,-2.055489747776675,-1.5868038824326023
2019-12-16,@,James Madison,L,60.0,81.0,18.0,56.0,0.321,6.0,30.0,0.2,18.0,23.0,0.783,7.0,30.0,8.0,5.0,2.0,14.0,21.0,,29.0,58.0,0.5,12.0,32.0,0.375,11.0,21.0,0.524,11.0,40.0,14.0,8.0,6.0,13.0,19.0,-21.0,0,9,70.5,55.625,74.0,-0.003412002553326743,-0.07028111886064531,0.339375,0.48699999999999993,64.8125,-18.375,-0.28351012536162007,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-18.375,21.0,70.5,81.0,73.625,77.3125,-7.375,-0.09539207760711399,1,0,0.0,2019-12-16,,Charleston Southern,1,60.0,81.0,12.0,6.0,W,0.08885254791308939,0.0244386008590744,9,-6.448275862068968,-7.375,0.43175,0.41262499999999996,0.45389655172413795,-0.08679508006498031,-6.25,-0.009131515127890606,-0.07902313889583872,0.39861111111111125,0.39861111111111125,0.3382575757575772,0.3382575757575772,0.6197591516670455,-2.162010335197017,3.150755137984005,-2.055489747776675,0.21572524828916945
2019-12-21,@,Eastern Kentucky,W,76.0,69.0,27.0,48.0,0.563,8.0,21.0,0.381,14.0,20.0,0.7,5.0,36.0,13.0,2.0,2.0,20.0,20.0,,25.0,72.0,0.347,6.0,25.0,0.24,13.0,19.0,0.684,15.0,33.0,8.0,9.0,2.0,9.0,18.0,7.0,1,10,72.5,56.111111111111114,74.77777777777777,-0.004613471014779713,-0.04606522391666712,0.3373333333333333,0.48844444444444435,65.44444444444444,-18.666666666666657,-0.2852292020373513,0,1,0,-6.166666666666671,0.46493333333333337,-0.08858032080440516,-18.666666666666657,-7.0,72.5,81.77777777777777,64.77777777777777,73.27777777777777,-17.0,-0.23199393479909025,1,0,0.0,2019-12-21,,Charleston Southern,0,76.0,69.0,6.0,8.0,L,0.005515089011034313,-0.07711131862562765,10,-4.709677419354847,-17.0,0.4900000000000001,0.3588888888888888,0.4636774193548387,-0.06323083585967963,-3.9166666666666643,0.01886135820641706,-0.015939065537654517,0.22166105499438593,0.22166105499438593,2.405920314253649,2.405920314253649,0.3952103452103466,-2.162010335197017,2.084196137978119,-2.055489747776675,-1.1428904788627008
