Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-11,@,Georgia Tech,L,41.0,64.0,16.0,74.0,0.216,3.0,30.0,0.1,6.0,10.0,0.6,10.0,40.0,4.0,5.0,0.0,13.0,22.0,,20.0,53.0,0.377,7.0,24.0,0.292,17.0,27.0,0.63,6.0,48.0,15.0,7.0,10.0,16.0,17.0,-23.0,0,1,52.5,,,,,,,,,,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,,23.0,52.5,81.0,82.0,81.5,1.0,0.012269938650306749,1,0,0.0,2019-11-11,,Elon,1,41.0,64.0,7.0,3.0,W,-0.09401216698193735,-0.05426510284462932,2,1.3000000000000114,1.0,0.38,0.492,0.4032666666666666,0.01926401580637211,,,,,,9.0,9.0,,-0.5050783277715993,,-0.5384780929427763,-9.0
2019-11-15,@,Michigan,L,50.0,70.0,20.0,59.0,0.339,3.0,13.0,0.231,7.0,8.0,0.875,4.0,26.0,3.0,4.0,0.0,5.0,14.0,,28.0,58.0,0.483,7.0,23.0,0.304,7.0,10.0,0.7,7.0,35.0,12.0,3.0,6.0,10.0,7.0,-20.0,0,2,60.0,41.0,64.0,-0.09401216698193735,0.014600637896111435,0.216,0.377,52.5,-23.0,-0.4380952380952381,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-23.0,20.0,60.0,70.0,79.0,74.5,9.0,0.12080536912751678,1,0,0.0,2019-11-15,,Elon,1,50.0,70.0,7.0,3.0,W,0.0282477897948456,-0.07781007638960286,3,6.774193548387089,9.0,0.4405,0.5205,0.4275806451612904,0.09455200360198099,-11.0,0.085528322177023,0.020308514228274125,12.0,12.0,3.5,3.5,-7.0,-0.5050783277715993,1.3000000000000114,-0.5384780929427763,-1.166666666666666
2019-11-20,@,UNC,L,61.0,75.0,20.0,63.0,0.317,12.0,32.0,0.375,9.0,9.0,1.0,5.0,22.0,11.0,5.0,2.0,10.0,22.0,,29.0,68.0,0.426,3.0,19.0,0.158,14.0,23.0,0.609,15.0,50.0,19.0,4.0,7.0,10.0,13.0,-14.0,0,3,68.0,45.5,67.0,-0.11572216430169077,-9.152628299302634e-05,0.2775,0.43,56.25,-21.5,-0.38222222222222224,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-21.5,14.0,68.0,62.666666666666664,77.0,69.83333333333333,14.333333333333336,0.20525059665871126,1,0,0.0,2019-11-20,,Elon,1,61.0,75.0,3.0,12.0,W,-0.0018360504155768842,-0.010332872742186416,4,-0.6060606060605949,14.333333333333336,0.35600000000000004,0.42966666666666664,0.42296969696969705,-0.008357709987463281,-6.791666666666664,0.03457950834207679,0.00040993520210583716,12.333333333333332,12.333333333333332,-5.327777777777778,-5.327777777777778,-3.5066666666666704,-0.5050783277715993,4.03709677419355,-0.5384780929427763,4.351851851851852
2019-11-23,,Manhattan,L,64.0,69.0,19.0,48.0,0.396,10.0,20.0,0.5,16.0,23.0,0.696,8.0,34.0,10.0,4.0,1.0,17.0,22.0,,18.0,45.0,0.4,11.0,25.0,0.44,22.0,30.0,0.733,2.0,23.0,11.0,11.0,2.0,9.0,20.0,-5.0,0,4,66.5,50.666666666666664,69.66666666666667,0.04173879579084827,-0.06950522334790771,0.2906666666666667,0.4286666666666667,60.166666666666664,-19.000000000000007,-0.3157894736842107,1,0,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-19.000000000000007,5.0,66.5,65.0,66.33333333333333,65.66666666666667,1.3333333333333286,0.020304568527918707,0,1,0.0,2019-11-23,@,Elon,1,64.0,69.0,11.0,10.0,W,-0.027092201299868446,-0.02121666979619624,4,-2.1612903225806406,1.3333333333333286,0.3993333333333333,0.3793333333333333,0.41974193548387084,-0.03422733077905484,-2.7500000000000036,-0.02975833073250738,0.0433941182919279,13.722222222222223,13.722222222222223,-10.233333333333329,-10.233333333333329,-4.33636363636364,-0.5050783277715993,2.4893776474421685,-0.5384780929427763,0.730555555555554
2019-11-26,,Furman,L,61.0,97.0,18.0,51.0,0.353,5.0,24.0,0.208,20.0,24.0,0.833,3.0,23.0,10.0,7.0,2.0,19.0,13.0,,36.0,68.0,0.529,17.0,37.0,0.459,8.0,9.0,0.889,7.0,31.0,19.0,11.0,1.0,10.0,21.0,-36.0,0,5,79.0,54.0,69.5,0.07536452678500033,-0.011366088722593592,0.31700000000000006,0.4215,61.75,-15.5,-0.25101214574898784,1,0,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-15.5,36.0,79.0,63.5,80.25,71.875,16.75,0.23304347826086957,0,1,0.0,2019-11-26,@,Elon,1,61.0,97.0,17.0,5.0,W,0.022924236026952538,-0.018248771552707488,5,8.344827586206904,16.75,0.4375,0.466,0.4424137931034482,0.1167390255668115,-5.0625,-0.03708517267692541,-0.016141836964237342,10.375,10.375,-7.558333333333332,-7.558333333333332,-3.5940476190476196,-0.5050783277715993,1.3267106549364662,-0.5384780929427763,3.844057539682539
2019-11-28,,Texas-Arlington,L,67.0,77.0,23.0,57.0,0.404,10.0,27.0,0.37,11.0,14.0,0.786,7.0,27.0,11.0,3.0,3.0,12.0,19.0,,28.0,54.0,0.519,8.0,20.0,0.4,13.0,19.0,0.684,6.0,33.0,10.0,7.0,2.0,11.0,14.0,-10.0,0,6,72.0,55.4,75.0,0.043876359917772056,0.04647563789611142,0.32420000000000004,0.44299999999999995,65.2,-19.6,-0.3006134969325153,1,0,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-19.6,10.0,72.0,67.2,63.2,65.2,-4.0,-0.06134969325153374,0,1,0.0,2019-11-28,@,Elon,1,67.0,77.0,8.0,10.0,W,0.07571614422522532,0.01683278075325434,6,0.63333333333334,-4.0,0.40259999999999996,0.36160000000000003,0.42020000000000013,0.009132420091324298,0.0,0.027176481500494756,0.05932078979498941,10.576666666666668,10.576666666666668,14.417857142857141,14.417857142857141,-4.271761904761906,-0.5050783277715993,2.7303340411905537,-0.5384780929427763,-5.689206349206349
2019-12-02,,Kennesaw State,W,70.0,46.0,23.0,47.0,0.489,12.0,23.0,0.522,12.0,20.0,0.6,1.0,24.0,13.0,7.0,4.0,10.0,16.0,,17.0,56.0,0.304,2.0,18.0,0.111,10.0,13.0,0.769,13.0,40.0,4.0,5.0,3.0,16.0,20.0,24.0,1,7,58.0,57.333333333333336,75.33333333333333,0.061475637896111435,0.03824554940053626,0.3375000000000001,0.45566666666666666,66.33333333333333,-17.999999999999993,-0.2713567839195979,1,0,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-17.999999999999993,-24.0,58.0,77.4,52.8,65.1,-24.60000000000001,-0.3778801843317974,0,1,0.0,2019-12-02,@,Elon,0,70.0,46.0,2.0,12.0,L,-0.12034254392207039,0.12058416502789426,6,-19.965517241379317,-24.60000000000001,0.4654,0.3216,0.4834827586206896,-0.3061062648691516,0.6166666666666671,0.0860987134936392,-0.06784221921899185,7.534920634920634,7.534920634920634,0.8246031746031761,0.8246031746031761,-0.7458443562610224,-0.5050783277715993,2.3808339232143516,-0.5384780929427763,-3.802671957671957
2019-12-05,@,High Point,L (1 OT),66.0,70.0,23.0,54.0,0.426,13.0,29.0,0.448,7.0,11.0,0.636,5.0,26.0,14.0,3.0,3.0,15.0,22.0,,19.0,55.0,0.345,10.0,25.0,0.4,22.0,30.0,0.733,11.0,34.0,12.0,5.0,5.0,9.0,15.0,-4.0,0,8,68.0,59.142857142857146,71.14285714285714,0.08502636253379253,0.017800939100930724,0.35914285714285715,0.434,65.14285714285714,-11.999999999999993,-0.18421052631578938,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-11.999999999999993,4.0,68.0,79.71428571428571,57.142857142857146,68.42857142857143,-22.571428571428562,-0.3298538622129435,1,0,,2019-12-05,,Elon,1,66.0,70.0,10.0,13.0,W (1 OT),-0.08852436210388856,0.10583047660578893,8,-10.966666666666669,-22.571428571428562,0.46671428571428575,0.35014285714285714,0.4659333333333335,-0.15722819593787338,-1.642857142857146,0.09485979375377039,-0.039696558777305366,1.0510204081632648,1.0510204081632648,2.7304421768707465,2.7304421768707465,1.0880061548428897,-0.5050783277715993,-0.8115019574418868,-0.5384780929427763,-2.0191707833927217
2019-12-17,@,Campbell,L,46.0,60.0,16.0,46.0,0.348,6.0,24.0,0.25,8.0,12.0,0.667,3.0,26.0,9.0,3.0,0.0,17.0,19.0,,22.0,50.0,0.44,7.0,22.0,0.318,9.0,14.0,0.643,5.0,30.0,15.0,8.0,1.0,11.0,18.0,-14.0,0,9,53.0,60.0,71.0,0.11147563789611142,0.029785497051041,0.36750000000000005,0.422875,65.5,-11.0,-0.16793893129770993,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-11.0,14.0,53.0,68.75,68.75,68.75,0.0,0.0,1,0,0.0,2019-12-17,,Elon,1,46.0,60.0,7.0,6.0,W,-0.0026152711947976526,-0.08988799846752493,9,-0.41379310344827047,0.0,0.435375,0.43975000000000003,0.44624137931034485,-0.006144393241167355,-1.625,-0.10010155827144764,-0.00882593635034368,-2.6836174242424216,-2.6836174242424216,-5.470147907647909,-5.470147907647909,1.7754728234728232,-0.5050783277715993,-2.0808975460949846,-0.5384780929427763,0.255757162397787
2019-12-21,@,Winthrop,L,80.0,85.0,24.0,53.0,0.453,12.0,33.0,0.364,20.0,30.0,0.667,4.0,32.0,15.0,3.0,4.0,12.0,33.0,,25.0,57.0,0.439,9.0,23.0,0.391,26.0,42.0,0.619,8.0,35.0,11.0,6.0,1.0,10.0,26.0,-5.0,0,10,82.5,58.44444444444444,69.77777777777777,0.10852886983527488,0.03042468248209873,0.36533333333333334,0.42477777777777775,64.11111111111111,-11.333333333333329,-0.17677642980935868,0,1,0,-5.774193548387103,0.4496774193548386,-0.08323645663799126,-11.333333333333329,5.0,82.5,71.3,70.2,70.75,-1.0999999999999943,-0.015547703180211933,1,0,0.0,2019-12-21,,Elon,1,80.0,85.0,9.0,12.0,W,0.058270509690983185,-0.006371486928572978,11,7.6875,-3.444444444444443,0.4548,0.4290000000000001,0.4455625000000001,0.10199004975124377,-3.319444444444443,-0.026296202682673634,0.04210536492441576,-2.8599887766554435,-2.8599887766554435,2.809444444444447,2.809444444444447,1.346470258136926,-0.5050783277715993,-1.8956637191342385,-0.5384780929427763,-0.8488580835550528
