Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,,Western Carolina,W,91.0,72.0,31.0,66.0,0.47,8.0,26.0,0.308,21.0,32.0,0.656,12.0,48.0,15.0,9.0,7.0,14.0,26.0,,26.0,73.0,0.356,9.0,34.0,0.265,11.0,20.0,0.55,12.0,38.0,11.0,3.0,3.0,12.0,25.0,19.0,1,1,81.5,,,,,,,,,,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,,-19.0,81.5,,,,,,0,1,0.0,2019-11-05,@,Georgia,0,91.0,72.0,9.0,8.0,L,,,1,1.448275862068968,,,,0.44248275862068964,0.018775145283862347,,,,,,,,,3.1759362254356707,,3.1871634353180993,
2019-11-12,,Citadel,W,95.0,86.0,33.0,72.0,0.458,7.0,29.0,0.241,22.0,31.0,0.71,8.0,34.0,18.0,13.0,3.0,8.0,17.0,,30.0,61.0,0.492,14.0,33.0,0.424,12.0,18.0,0.667,5.0,39.0,20.0,3.0,1.0,22.0,23.0,9.0,1,2,90.5,91.0,72.0,-0.04978809836762482,0.061475637896111435,0.47,0.356,81.5,19.0,0.2331288343558282,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,19.0,-9.0,90.5,91.0,76.0,83.5,-15.0,-0.17964071856287425,0,1,0.0,2019-11-12,@,Georgia,0,95.0,86.0,14.0,7.0,L,0.04173879579084827,0.04911300053347406,2,-12.81481481481481,-15.0,0.569,0.529,0.4768888888888888,-0.1655502392344497,-1.0,-0.04944939738449617,0.0506549019963313,-3.5,-3.5,0.0,0.0,4.75,3.1759362254356707,1.448275862068968,3.1871634353180993,0.0
2019-11-15,,Delaware State,W,100.0,66.0,40.0,67.0,0.597,7.0,20.0,0.35,13.0,24.0,0.542,14.0,38.0,30.0,13.0,2.0,11.0,16.0,,25.0,57.0,0.439,6.0,16.0,0.375,10.0,16.0,0.625,9.0,24.0,6.0,5.0,2.0,17.0,20.0,34.0,1,3,83.0,93.0,79.0,-0.07158887823292082,0.1231844986556051,0.46399999999999997,0.424,86.0,14.0,0.16279069767441862,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,14.0,-34.0,83.0,83.0,64.0,73.5,-19.0,-0.2585034013605442,0,1,0.0,2019-11-15,@,Georgia,0,100.0,66.0,6.0,7.0,L,-0.008836862103888565,-0.02436773559786448,3,-11.333333333333343,-19.0,0.46199999999999997,0.3955,0.4702333333333334,-0.14443500424808847,6.25,0.041766719484866544,-0.03299339976353193,-2.8333333333333286,-2.8333333333333286,14.0,14.0,-0.5666666666666658,3.1759362254356707,-5.683269476372921,3.1871634353180993,-17.166666666666668
2019-11-20,,Georgia Tech,W,82.0,78.0,27.0,65.0,0.415,6.0,16.0,0.375,22.0,31.0,0.71,13.0,38.0,11.0,8.0,1.0,11.0,23.0,,29.0,62.0,0.468,8.0,19.0,0.421,12.0,23.0,0.522,8.0,35.0,11.0,6.0,11.0,15.0,25.0,4.0,1,4,80.0,95.33333333333333,74.66666666666667,-0.08275513133465778,0.07486849503896853,0.5083333333333333,0.429,85.0,20.666666666666657,0.24313725490196067,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,20.666666666666657,-4.0,80.0,61.0,73.0,67.0,12.0,0.1791044776119403,0,1,0.0,2019-11-20,@,Georgia,0,82.0,78.0,8.0,6.0,L,-0.046401074432655676,-0.06762272275962627,3,1.3000000000000114,12.0,0.298,0.4345,0.4032666666666666,0.01926401580637211,9.0,0.07480726771631233,-0.05894046666734232,-8.25,-8.25,-2.6500000000000057,-2.6500000000000057,1.5708333333333322,3.1759362254356707,-7.566624095359728,3.1871634353180993,2.666666666666665
2019-11-25,N,Dayton,L,61.0,80.0,24.0,49.0,0.49,4.0,16.0,0.25,9.0,17.0,0.529,6.0,25.0,8.0,7.0,2.0,22.0,24.0,,27.0,55.0,0.491,10.0,27.0,0.37,16.0,19.0,0.842,6.0,23.0,10.0,6.0,7.0,14.0,17.0,-19.0,0,5,70.5,92.0,75.5,-0.08526349253867119,0.05402530677028361,0.485,0.43875,83.75,16.5,0.19701492537313434,0,0,1,0.2258064516128968,0.4541290322580645,0.0029857112390700795,16.5,19.0,70.5,70.0,89.66666666666667,79.83333333333333,19.66666666666667,0.2463465553235909,0,0,1.0,2019-11-25,N,Georgia,1,61.0,80.0,10.0,4.0,W,-0.023561536825078166,-0.013524362103888576,4,15.483870967741936,19.66666666666667,0.4473333333333333,0.5559999999999999,0.41270967741935494,0.21428571428571427,1.9583333333333357,0.03395783189980171,-0.03567799398724909,-5.43452380952381,-5.43452380952381,-11.633333333333333,-11.633333333333333,1.8295454545454548,3.1759362254356707,-5.349968071519793,3.1871634353180993,6.961322751322752
2019-11-26,N,Michigan State,L,85.0,93.0,27.0,65.0,0.415,12.0,31.0,0.387,19.0,22.0,0.864,9.0,32.0,12.0,9.0,5.0,14.0,19.0,,32.0,63.0,0.508,8.0,17.0,0.471,21.0,27.0,0.778,7.0,34.0,20.0,6.0,2.0,12.0,15.0,-8.0,0,6,89.0,85.8,76.4,-0.08974813832766476,0.05558558554009052,0.48599999999999993,0.4492,81.1,9.399999999999991,0.11590628853267561,0,0,1,0.2258064516128968,0.4541290322580645,0.0029857112390700795,9.399999999999991,8.0,89.0,61.2,79.6,70.4,18.39999999999999,0.26136363636363624,0,0,1.0,2019-11-26,N,Georgia,1,85.0,93.0,8.0,12.0,W,-0.04216757818429051,0.059024657503954525,6,11.161290322580655,18.39999999999999,0.36679999999999996,0.4584,0.38170967741935485,0.15871559633027535,5.349999999999994,-0.07278291782010354,-0.04841393935821929,-0.8309523809523824,-0.8309523809523824,4.173333333333337,4.173333333333337,0.717813051146382,3.1759362254356707,-1.1832002636674475,3.1871634353180993,-1.3856349206349214
2019-12-04,,North Carolina Central,W,95.0,59.0,37.0,70.0,0.529,9.0,25.0,0.36,12.0,16.0,0.75,20.0,52.0,19.0,8.0,6.0,16.0,13.0,,23.0,66.0,0.348,6.0,21.0,0.286,7.0,11.0,0.636,13.0,23.0,11.0,9.0,2.0,14.0,18.0,36.0,1,7,77.0,85.66666666666667,79.16666666666667,-0.05671502358248781,0.03384405894874298,0.4741666666666666,0.459,82.41666666666667,6.5,0.0788675429726997,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,6.5,-36.0,77.0,72.71428571428571,58.42857142857143,65.57142857142857,-14.285714285714278,-0.21786492374727656,0,1,0.0,2019-12-04,@,Georgia,0,95.0,59.0,6.0,9.0,L,0.023883950854546643,0.04011021549925492,8,-1.1785714285714164,-14.285714285714278,0.4772857142857143,0.39285714285714285,0.4284642857142857,-0.017428043306046824,8.422619047619051,-0.047695406675474644,0.028431142091906135,1.5071428571428551,1.5071428571428551,1.8613945578231303,1.8613945578231303,0.969144405729771,3.1759362254356707,0.8742148340405697,3.1871634353180993,-1.284885541518193
2019-12-14,@,Arizona State,L,59.0,79.0,23.0,66.0,0.348,2.0,24.0,0.083,11.0,20.0,0.55,13.0,39.0,12.0,11.0,1.0,19.0,20.0,,33.0,67.0,0.493,6.0,25.0,0.24,7.0,16.0,0.438,10.0,40.0,12.0,9.0,1.0,17.0,18.0,-20.0,0,8,69.0,87.0,76.28571428571429,-0.05244061826152402,0.029172267109594474,0.48199999999999993,0.4431428571428571,81.64285714285714,10.714285714285708,0.13123359580052488,0,1,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,10.714285714285708,20.0,69.0,64.0,75.66666666666667,69.83333333333333,11.666666666666671,0.16706443914081154,1,0,0.0,2019-12-14,,Georgia,1,59.0,79.0,6.0,2.0,W,-0.053612467830760846,-0.04269102877055525,10,3.3548387096774235,11.666666666666671,0.39855555555555555,0.4292222222222222,0.43012903225806437,0.046511627906976806,5.904761904761905,0.04731536687957123,-0.03954740487014915,-1.5342970521541974,-1.5342970521541974,0.3156766073432762,0.3156766073432762,1.6385534543429265,3.1759362254356707,0.5809596536674287,3.1871634353180993,-0.4147388512939856
2019-12-20,,SMU,W (2 OT),87.0,85.0,33.0,73.0,0.452,12.0,32.0,0.375,9.0,12.0,0.75,10.0,39.0,16.0,6.0,7.0,18.0,18.0,,35.0,87.0,0.402,8.0,32.0,0.25,7.0,12.0,0.583,24.0,51.0,19.0,9.0,2.0,13.0,15.0,2.0,1,9,86.0,83.5,76.625,-0.06651837407993647,0.014371233328411614,0.46524999999999994,0.44937499999999997,80.0625,6.875,0.0858704137392662,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,6.875,-2.0,86.0,63.111111111111114,74.77777777777777,68.94444444444444,11.666666666666657,0.1692183722804189,0,1,,2019-12-20,@,Georgia,0,87.0,85.0,8.0,12.0,L (2 OT),-0.02377696240106536,0.07203901817780156,10,4.466666666666669,11.666666666666657,0.38333333333333336,0.4666666666666667,0.4193,0.0631777463460632,5.559027777777779,-0.06922368351584844,-0.018485244778108305,-0.47619949494949676,-0.47619949494949676,-7.1352493185826535,-7.1352493185826535,1.9259496406371412,3.1759362254356707,0.9276945356686781,3.1871634353180993,0.7109752874723994
2019-12-23,,Georgia Southern,W,73.0,64.0,33.0,63.0,0.524,4.0,22.0,0.182,3.0,7.0,0.429,9.0,35.0,20.0,6.0,4.0,10.0,15.0,,26.0,64.0,0.406,7.0,25.0,0.28,5.0,9.0,0.556,10.0,32.0,9.0,4.0,3.0,13.0,11.0,9.0,1,10,68.5,83.88888888888889,77.55555555555556,-0.04729919654097464,0.008825208096684467,0.46377777777777773,0.4441111111111111,80.72222222222223,6.333333333333329,0.07845836200963517,1,0,0,0.2258064516128968,0.4541290322580645,0.0029857112390700795,6.333333333333329,-9.0,68.5,75.4,74.4,74.9,-1.0,-0.013351134846461948,0,1,0.0,2019-12-23,@,Georgia,0,73.0,64.0,7.0,4.0,L,0.000991766928369442,0.024671924368259934,11,2.516129032258064,-1.4444444444444429,0.45970000000000005,0.4218,0.4416129032258065,0.03472840605520926,2.9111111111111114,-0.03416082844045777,0.0029584708087574373,0.907631874298541,0.907631874298541,-0.8517171717171778,-0.8517171717171778,0.995572669026277,3.1759362254356707,1.3209136613351216,3.1871634353180993,0.11257450574117209
