Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-06,,Belmont,W,79.0,72.0,30.0,63.0,0.476,13.0,26.0,0.5,6.0,13.0,0.462,9.0,34.0,16.0,7.0,5.0,8.0,13.0,,28.0,60.0,0.467,7.0,25.0,0.28,9.0,13.0,0.692,7.0,34.0,16.0,5.0,3.0,10.0,14.0,7.0,1,1,75.5,,,,,,,,,,1,0,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,,-7.0,75.5,,,,,,0,1,0.0,2019-11-06,@,Illinois State,0,79.0,72.0,7.0,13.0,L,,,1,10.53125,,,,0.4223124999999999,0.1431909921393669,,,,,,,,,1.6345047884095107,,1.6320265815152668,
2019-11-10,,Little Rock,W,75.0,70.0,24.0,51.0,0.471,10.0,24.0,0.417,17.0,24.0,0.708,8.0,25.0,14.0,4.0,4.0,15.0,16.0,,27.0,53.0,0.509,6.0,19.0,0.316,10.0,12.0,0.833,4.0,24.0,13.0,9.0,4.0,15.0,19.0,5.0,1,2,72.5,79.0,72.0,0.18014652397206082,-0.02185769543722188,0.476,0.467,75.5,7.0,0.09271523178807947,1,0,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,7.0,-5.0,72.5,66.0,67.0,66.5,1.0,0.015037593984962405,0,1,,2019-11-10,@,Illinois State,0,75.0,70.0,6.0,10.0,L,-0.17919600389493334,0.05011200153247508,2,3.3333333333333286,1.0,0.426,0.519,0.4284666666666668,0.04666355576294907,4.5,0.09501317216764195,0.06258443637760652,-7.0,-7.0,-1.0,-1.0,7.0,1.6345047884095107,10.53125,1.6320265815152668,1.0
2019-11-17,,UCF,L,65.0,67.0,28.0,61.0,0.459,6.0,20.0,0.3,3.0,4.0,0.75,10.0,32.0,16.0,8.0,3.0,17.0,21.0,,24.0,58.0,0.414,6.0,23.0,0.261,13.0,19.0,0.684,13.0,33.0,12.0,8.0,7.0,17.0,10.0,-2.0,0,3,66.0,77.0,71.0,0.13452758594805947,-0.03887647477994488,0.4735,0.488,74.0,6.0,0.08108108108108109,1,0,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,6.0,2.0,66.0,74.0,71.5,72.75,-2.5,-0.03436426116838488,0,1,0.0,2019-11-17,@,Illinois State,1,65.0,67.0,6.0,6.0,W,0.0431189945394681,0.010799962220435777,3,1.0,-2.5,0.4255,0.447,0.4216,0.014619883040935672,0.625,0.038116831529463054,-0.0409428199291428,5.666666666666664,5.666666666666664,-2.7500000000000036,-2.7500000000000036,2.45,1.6345047884095107,6.932291666666664,1.6320265815152668,0.9444444444444451
2019-11-22,N,Cincinnati,L,65.0,66.0,27.0,62.0,0.435,6.0,15.0,0.4,5.0,9.0,0.556,12.0,30.0,9.0,4.0,1.0,15.0,22.0,,22.0,49.0,0.449,1.0,16.0,0.063,21.0,30.0,0.7,12.0,33.0,7.0,4.0,4.0,17.0,17.0,-1.0,0,4,65.5,73.0,69.66666666666667,0.08373591186871415,-0.04079708937661586,0.4686666666666666,0.4633333333333333,71.33333333333333,3.3333333333333286,0.04672897196261676,0,0,1,-4.666666666666671,0.4506333333333333,-0.06849315068493157,3.3333333333333286,1.0,65.5,58.666666666666664,74.0,66.33333333333333,15.333333333333336,0.23115577889447242,0,0,1.0,2019-11-22,N,Illinois State,1,65.0,66.0,1.0,6.0,W,-0.01622706480659125,-0.05784254392207039,4,5.599999999999994,15.333333333333336,0.35866666666666663,0.45566666666666666,0.3988333333333333,0.08007626310772155,2.5,-0.06959524524075415,0.025729691277484094,5.833333333333333,5.833333333333333,1.1833333333333325,1.1833333333333325,-2.300000000000001,1.6345047884095107,4.95486111111111,1.6320265815152668,1.313611111111112
2019-11-23,N,Western Kentucky,L,69.0,83.0,27.0,59.0,0.458,8.0,21.0,0.381,7.0,11.0,0.636,15.0,32.0,15.0,3.0,4.0,11.0,20.0,,27.0,50.0,0.54,11.0,19.0,0.579,18.0,21.0,0.857,6.0,21.0,12.0,9.0,4.0,11.0,13.0,-14.0,0,5,76.0,71.0,68.75,0.05619394775526637,-0.0953425439220704,0.46025,0.45975,69.875,2.25,0.03220035778175313,0,0,1,-4.666666666666671,0.4506333333333333,-0.06849315068493157,2.25,14.0,76.0,71.75,81.75,76.75,10.0,0.13029315960912052,0,0,1.0,2019-11-23,N,Illinois State,1,69.0,83.0,11.0,8.0,W,-0.06581794008553993,-0.010388473602146397,5,3.2413793103448256,10.0,0.43075,0.5225,0.445896551724138,0.0439047174217655,-3.4375,-0.024161319145609133,0.07921647457104984,7.3125,7.3125,-10.249999999999996,-10.249999999999996,-1.1624999999999992,1.6345047884095107,5.116145833333331,1.6320265815152668,6.801388888888889
2019-11-25,N,Grand Canyon,L,63.0,68.0,26.0,61.0,0.426,10.0,26.0,0.385,1.0,2.0,0.5,7.0,32.0,14.0,4.0,6.0,10.0,17.0,,24.0,60.0,0.4,8.0,22.0,0.364,12.0,14.0,0.857,9.0,35.0,9.0,5.0,1.0,13.0,11.0,-5.0,0,6,65.5,70.6,71.6,0.05191473138053071,-0.05374782579103937,0.4598,0.4758,71.1,-1.0,-0.014064697609001408,0,0,1,-4.666666666666671,0.4506333333333333,-0.06849315068493157,-1.0,5.0,65.5,71.16666666666667,66.66666666666667,68.91666666666667,-4.5,-0.0652962515114873,0,0,1.0,2019-11-25,N,Illinois State,1,63.0,68.0,8.0,10.0,W,-0.036024362103888596,-0.011416633766652029,7,-2.275862068965509,-4.5,0.44783333333333336,0.4363333333333333,0.4428275862068966,-0.03179190751445075,1.0916666666666615,-0.024345255703435046,0.044002626496530015,5.926666666666665,5.926666666666665,2.1888888888888878,2.1888888888888878,-1.2320952380952375,1.6345047884095107,4.741192528735629,1.6320265815152668,-0.683743386243386
2019-12-03,@,TCU,L,69.0,81.0,25.0,54.0,0.463,11.0,22.0,0.5,8.0,13.0,0.615,5.0,27.0,18.0,3.0,1.0,16.0,20.0,,30.0,64.0,0.469,8.0,28.0,0.286,13.0,21.0,0.619,13.0,37.0,19.0,9.0,4.0,11.0,13.0,-12.0,0,7,75.0,69.33333333333333,71.0,0.06868717635764993,-0.03887647477994488,0.45416666666666666,0.46316666666666667,70.16666666666667,-1.6666666666666714,-0.023752969121140208,0,1,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,-1.6666666666666714,12.0,75.0,57.2,69.2,63.2,12.0,0.18987341772151897,1,0,0.0,2019-12-03,,Illinois State,1,69.0,81.0,8.0,11.0,W,0.13734268991923282,0.04311899453946805,6,-0.2258064516128968,12.0,0.3814000000000001,0.4184,0.4361612903225806,-0.003476533399552918,3.4833333333333343,0.05442170506605785,-0.07307119556196438,4.36904761904762,4.36904761904762,0.275,0.275,-1.2614462081128757,1.6345047884095107,3.571683429118773,1.6320265815152668,-1.1837797619047623
2019-12-07,,Morehead State,W,61.0,50.0,20.0,57.0,0.351,7.0,20.0,0.35,14.0,23.0,0.609,8.0,36.0,8.0,5.0,2.0,9.0,13.0,,19.0,57.0,0.333,7.0,24.0,0.292,5.0,7.0,0.714,6.0,40.0,9.0,4.0,2.0,15.0,20.0,11.0,1,8,55.5,69.28571428571429,72.42857142857143,0.08235192655590517,-0.03541785322814894,0.45542857142857146,0.46399999999999997,70.85714285714286,-3.142857142857139,-0.04435483870967736,1,0,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,-3.142857142857139,-11.0,55.5,68.125,67.75,67.9375,-0.375,-0.005519779208831647,0,1,0.0,2019-12-07,@,Illinois State,0,61.0,50.0,7.0,7.0,L,-0.08105203738064135,0.000237105786019709,9,-4.533333333333331,-0.375,0.418375,0.432875,0.4383333333333333,-0.06532180595581169,1.4598214285714306,0.004418836756011161,0.05357881263885937,5.160430839002267,5.160430839002267,-4.81294642857143,-4.81294642857143,-1.070337301587301,1.6345047884095107,3.029184874728535,1.6320265815152668,1.3274094938901488
2019-12-15,@,Northern Kentucky,L,64.0,79.0,28.0,57.0,0.491,5.0,14.0,0.357,3.0,7.0,0.429,8.0,29.0,12.0,1.0,1.0,16.0,13.0,,28.0,53.0,0.528,11.0,25.0,0.44,12.0,18.0,0.667,6.0,27.0,19.0,7.0,0.0,12.0,12.0,-15.0,0,9,71.5,68.25,69.625,0.07658552800600155,-0.022680555999759322,0.442375,0.447625,68.9375,-1.375,-0.019945602901178604,0,1,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,-1.375,15.0,71.5,67.625,71.75,69.6875,4.125,0.059192825112107626,1,0,0.0,2019-12-15,,Illinois State,1,64.0,79.0,11.0,5.0,W,0.07323521977764452,-0.07507704232570003,9,4.933333333333323,4.125,0.405,0.44625000000000004,0.4159,0.0721247563352825,-0.375,-0.07582753409970987,-0.04075555794393628,4.220075757575758,4.220075757575758,-0.6335858585858594,-0.6335858585858594,-1.0342048302574616,1.6345047884095107,2.0838700987208014,1.6320265815152668,0.6890336023929774
2019-12-18,,UIC,W,67.0,66.0,24.0,53.0,0.453,2.0,15.0,0.133,17.0,24.0,0.708,8.0,31.0,12.0,7.0,2.0,15.0,9.0,,25.0,59.0,0.424,9.0,26.0,0.346,7.0,12.0,0.583,8.0,32.0,7.0,8.0,2.0,15.0,22.0,1.0,1,10,66.5,67.77777777777777,70.66666666666667,0.060246129699390194,-0.0069205885189829175,0.44777777777777783,0.45655555555555555,69.22222222222223,-2.8888888888889,-0.041733547351525034,1,0,0,-4.666666666666671,0.4506333333333333,-0.06849315068493157,-2.8888888888889,-1.0,66.5,74.1,64.0,69.05,-10.099999999999994,-0.14627081824764657,0,1,0.0,2019-12-18,@,Illinois State,0,67.0,66.0,9.0,2.0,L,0.07553813789611147,-0.0017834714156294007,11,0.05882352941176805,-8.888888888888886,0.442,0.40659999999999996,0.4075,0.0008561643835616926,0.08611111111111569,-0.010365676544305438,-0.022864128451991723,3.9765432098765436,3.9765432098765436,3.2911033411033417,3.2911033411033417,-0.9430469467401288,1.6345047884095107,2.400477124788859,1.6320265815152668,-3.257031442883715
