Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,,Nicholls State,W (1 OT),78.0,70.0,27.0,61.0,0.443,5.0,19.0,0.263,19.0,29.0,0.655,17.0,50.0,12.0,6.0,2.0,22.0,17.0,,27.0,66.0,0.409,8.0,20.0,0.4,8.0,9.0,0.889,3.0,18.0,13.0,11.0,4.0,16.0,29.0,8.0,1,1,74.0,,,,,,,,,,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,,-8.0,74.0,,,,,,0,1,0.0,2019-11-05,@,Illinois,0,78.0,70.0,8.0,5.0,L (1 OT),,,1,2.148148148148138,,,,0.44474074074074077,0.02992776057791524,,,,,,,,,2.9040440847429467,,2.8264429346783784,
2019-11-08,@,Grand Canyon,W,83.0,71.0,29.0,64.0,0.453,4.0,13.0,0.308,21.0,30.0,0.7,16.0,46.0,13.0,5.0,0.0,17.0,21.0,,27.0,61.0,0.443,8.0,19.0,0.421,9.0,16.0,0.563,6.0,23.0,12.0,4.0,0.0,11.0,23.0,12.0,1,2,77.0,78.0,70.0,-0.12121666979619625,0.029332780753254295,0.443,0.409,74.0,8.0,0.10810810810810811,0,1,0,5.433333333333337,0.41929999999999995,0.07988238176917428,8.0,-12.0,77.0,,,,,,1,0,0.0,2019-11-08,,Illinois,0,83.0,71.0,8.0,4.0,L,,,1,-2.275862068965509,,,,0.4428275862068966,-0.03179190751445075,,,,-8.0,-8.0,,,8.0,2.9040440847429467,2.148148148148138,2.8264429346783784,
2019-11-10,@,Arizona,L,69.0,90.0,25.0,53.0,0.472,5.0,16.0,0.313,14.0,20.0,0.7,6.0,25.0,10.0,4.0,2.0,22.0,22.0,,34.0,61.0,0.557,7.0,16.0,0.438,15.0,22.0,0.682,10.0,32.0,20.0,14.0,3.0,16.0,23.0,-21.0,0,3,79.5,80.5,70.5,-0.1458224987498513,0.026901169811005043,0.448,0.426,75.5,10.0,0.13245033112582782,0,1,0,5.433333333333337,0.41929999999999995,0.07988238176917428,10.0,21.0,79.5,52.0,91.0,71.5,39.0,0.5454545454545454,1,0,0.0,2019-11-10,,Illinois,1,69.0,90.0,7.0,5.0,W,-0.01682106540059186,0.03262948404995758,2,11.09375,39.0,0.315,0.541,0.39628125,0.1565600882028666,2.0,-0.0689790757917445,-0.02127219633097023,-6.75,-6.75,-39.0,-39.0,6.166666666666667,2.9040440847429467,-0.06385696040868538,2.8264429346783784,39.0
2019-11-18,,Hawaii,W,66.0,53.0,23.0,54.0,0.426,5.0,12.0,0.417,15.0,23.0,0.652,10.0,43.0,14.0,3.0,3.0,15.0,8.0,,24.0,64.0,0.375,3.0,22.0,0.136,2.0,3.0,0.667,4.0,25.0,9.0,7.0,2.0,9.0,18.0,13.0,1,4,59.5,76.66666666666667,77.0,-0.13091566645171465,-0.014823063402589876,0.45599999999999996,0.4696666666666667,76.83333333333333,-0.3333333333333286,-0.004338394793926186,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,-0.3333333333333286,-13.0,59.5,68.75,73.75,71.25,5.0,0.07017543859649122,0,1,,2019-11-18,@,Illinois,0,66.0,53.0,3.0,5.0,L,0.04240784128594194,-0.07352436210388857,5,0.8275862068965552,5.0,0.4085,0.45775,0.4482068965517241,0.012078510317060946,2.7916666666666643,0.09810958600089885,-0.025072178209092362,7.38888888888889,7.38888888888889,-3.3125,-3.3125,-7.233333333333332,2.9040440847429467,3.655345359727543,2.8264429346783784,4.375
2019-11-20,,Citadel,W,85.0,57.0,33.0,68.0,0.485,3.0,18.0,0.167,16.0,21.0,0.762,21.0,53.0,17.0,4.0,4.0,13.0,13.0,,21.0,74.0,0.284,10.0,38.0,0.263,5.0,7.0,0.714,15.0,27.0,10.0,8.0,2.0,11.0,19.0,28.0,1,5,71.0,74.0,71.0,-0.120956794536321,-0.03887647477994488,0.44849999999999995,0.446,72.5,3.0,0.041379310344827586,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,3.0,-28.0,71.0,85.5,77.25,81.375,-8.25,-0.10138248847926268,0,1,0.0,2019-11-20,@,Illinois,0,85.0,57.0,10.0,3.0,L,0.03599020100290756,-0.03282260771792367,5,-12.81481481481481,-8.25,0.5025,0.4795,0.4768888888888888,-0.1655502392344497,-4.4375,0.0630088677717919,-0.037405509508823466,7.162499999999998,7.162499999999998,2.583333333333332,2.583333333333332,-3.3019607843137244,2.9040440847429467,2.948405571519796,2.8264429346783784,-2.8416666666666663
2019-11-23,,Hampton,W,120.0,71.0,45.0,70.0,0.643,8.0,18.0,0.444,22.0,27.0,0.815,13.0,41.0,29.0,9.0,1.0,9.0,14.0,,28.0,64.0,0.438,6.0,16.0,0.375,9.0,14.0,0.643,7.0,19.0,12.0,3.0,0.0,16.0,21.0,49.0,1,6,95.5,76.2,68.2,-0.14029601564719565,0.003191180418105566,0.4558,0.4136,72.2,8.0,0.11080332409972299,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,8.0,-49.0,95.5,78.0,65.0,71.5,-13.0,-0.18181818181818182,0,1,0.0,2019-11-23,@,Illinois,0,120.0,71.0,6.0,8.0,L,-0.1750628236423501,0.03262948404995758,2,-6.225806451612897,-13.0,0.545,0.377,0.4646774193548387,-0.07937487147851112,0.3500000000000014,-0.06765934233225127,-0.02363592720300466,1.8399999999999992,1.8399999999999992,0.1666666666666714,0.1666666666666714,-1.157999999999999,2.9040440847429467,-0.20423850574712504,2.8264429346783784,-2.344444444444445
2019-12-02,,Miami (FL),L,79.0,81.0,28.0,53.0,0.528,6.0,17.0,0.353,17.0,23.0,0.739,8.0,30.0,16.0,4.0,4.0,13.0,17.0,,32.0,54.0,0.593,10.0,18.0,0.556,7.0,13.0,0.538,4.0,21.0,9.0,7.0,2.0,10.0,21.0,-2.0,0,7,80.0,83.5,68.66666666666667,-0.1338836435410143,-0.007699119385441988,0.48699999999999993,0.4176666666666667,76.08333333333333,14.833333333333329,0.19496166484118285,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,14.833333333333329,2.0,80.0,71.0,70.57142857142857,70.78571428571429,-0.4285714285714306,-0.00605449041372354,0,1,0.0,2019-12-02,@,Illinois,1,79.0,81.0,10.0,6.0,W,0.0022651115803219435,-0.023785931520387604,8,-2.032258064516128,-0.4285714285714306,0.4532857142857143,0.44214285714285717,0.444258064516129,-0.028143846325664496,2.6488095238095184,0.05643179225371591,-0.004176046512940896,-2.300595238095236,-2.300595238095236,4.953061224489798,4.953061224489798,0.14551587301587113,2.9040440847429467,-1.2078331633914203,2.8264429346783784,-2.783152129899579
2019-12-07,@,Maryland,L,58.0,59.0,22.0,56.0,0.393,3.0,14.0,0.214,11.0,16.0,0.688,8.0,36.0,10.0,5.0,1.0,13.0,17.0,,21.0,63.0,0.333,8.0,31.0,0.258,9.0,11.0,0.818,12.0,38.0,12.0,6.0,4.0,11.0,17.0,-1.0,0,8,58.5,82.85714285714286,70.42857142857143,-0.12731746555216442,0.0029056581800870895,0.4928571428571428,0.4427142857142857,76.64285714285714,12.42857142857143,0.1621621621621622,0,1,0,5.433333333333337,0.41929999999999995,0.07988238176917428,12.42857142857143,1.0,58.5,61.111111111111114,80.0,70.55555555555556,18.888888888888886,0.26771653543307083,1,0,0.0,2019-12-07,,Illinois,1,58.0,59.0,8.0,3.0,W,-0.03019102877055524,0.10102109244156598,10,7.322580645161295,18.888888888888886,0.36544444444444446,0.4457777777777777,0.40129032258064506,0.10745562130177523,3.043650793650791,-0.11340965327947658,-0.009366152343006624,-1.2412131519274356,-1.2412131519274356,1.629497354497354,1.629497354497354,0.6508012820512824,2.9040440847429467,-1.3256081492663785,2.8264429346783784,0.8744032746843591
2019-12-11,,Michigan,W,71.0,62.0,28.0,61.0,0.459,1.0,11.0,0.091,14.0,20.0,0.7,11.0,37.0,6.0,5.0,6.0,12.0,10.0,,27.0,62.0,0.435,3.0,18.0,0.167,5.0,6.0,0.833,5.0,24.0,12.0,6.0,5.0,8.0,18.0,9.0,1,9,66.5,79.75,69.0,-0.13013878216658448,0.01256259441785057,0.480375,0.42900000000000005,74.375,10.75,0.14453781512605043,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,10.75,-9.0,66.5,67.88888888888889,80.33333333333333,74.11111111111111,12.444444444444443,0.16791604197901047,0,1,0.0,2019-12-11,@,Illinois,0,71.0,62.0,3.0,1.0,L,0.039172733331796106,-0.10730504950159722,10,6.774193548387089,12.444444444444443,0.4096666666666666,0.5011111111111111,0.4275806451612904,0.09455200360198099,0.13194444444444287,0.118171690613543,0.022183578635692907,0.43848755411255613,0.43848755411255613,3.3137085137085105,3.3137085137085105,1.6114557084706325,2.9040440847429467,-0.24458454996291934,2.8264429346783784,1.2528499898837195
2019-12-14,,Old Dominion,W,69.0,55.0,22.0,47.0,0.468,7.0,20.0,0.35,18.0,20.0,0.9,4.0,28.0,15.0,7.0,2.0,15.0,12.0,,21.0,57.0,0.368,6.0,18.0,0.333,7.0,8.0,0.875,8.0,27.0,12.0,7.0,0.0,18.0,23.0,14.0,1,10,62.0,78.77777777777777,68.22222222222223,-0.14427189383872635,-0.005706772527341364,0.478,0.4296666666666667,73.5,10.555555555555543,0.14361300075585773,1,0,0,5.433333333333337,0.41929999999999995,0.07988238176917428,10.555555555555543,-14.0,62.0,65.5,61.8,63.65,-3.700000000000003,-0.05813040062843681,0,1,0.0,2019-12-14,@,Illinois,0,69.0,55.0,6.0,7.0,L,-0.07566028443398562,0.06204815698008087,11,-0.03125,-2.7777777777777786,0.4126,0.39310000000000006,0.40978125000000004,-0.0004765308553728854,4.925000000000001,-0.09461397949943157,0.020779221174497917,1.6332010582010588,1.6332010582010588,2.622601010101012,2.622601010101012,1.9254443165835542,2.9040440847429467,0.5352796831870816,2.8264429346783784,-1.5947881150134942
