Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,@,Rhode Island,L,65.0,76.0,22.0,68.0,0.324,13.0,44.0,0.295,8.0,12.0,0.667,8.0,36.0,15.0,6.0,1.0,12.0,16.0,,27.0,70.0,0.386,9.0,26.0,0.346,13.0,17.0,0.765,15.0,52.0,18.0,5.0,2.0,10.0,14.0,-11.0,0,1,70.5,,,,,,,,,,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,,11.0,70.5,,,,,,1,0,0.0,2019-11-05,,LIU,1,65.0,76.0,9.0,13.0,W,,,1,4.466666666666669,,,,0.41803333333333337,0.06282231598687298,,,,,,,,,-1.5985325239532429,,-1.6385225465027398,
2019-11-08,,UMass-Lowell,L,74.0,87.0,29.0,66.0,0.439,8.0,33.0,0.242,8.0,12.0,0.667,7.0,29.0,15.0,4.0,9.0,15.0,22.0,,30.0,69.0,0.435,10.0,25.0,0.4,17.0,24.0,0.708,15.0,43.0,15.0,6.0,4.0,13.0,19.0,-13.0,0,2,80.5,65.0,76.0,0.2864756378961114,0.04173879579084827,0.324,0.386,70.5,-11.0,-0.15602836879432624,1,0,0,-2.21875,0.44356249999999997,-0.029405674052598883,-11.0,13.0,80.5,79.0,64.0,71.5,-15.0,-0.2097902097902098,0,1,,2019-11-08,@,LIU,1,74.0,87.0,10.0,8.0,W,-0.07914936210388857,0.0282477897948456,2,-2.8387096774193594,-15.0,0.484,0.383,0.473483870967742,-0.037542662116041015,-0.5,0.08995723206409621,-0.05747694374120905,11.0,11.0,15.0,15.0,-11.0,-1.5985325239532429,4.466666666666669,-1.6385225465027398,-15.0
2019-11-13,@,George Mason,L,74.0,80.0,29.0,63.0,0.46,5.0,21.0,0.238,11.0,18.0,0.611,8.0,33.0,10.0,6.0,4.0,14.0,16.0,,31.0,67.0,0.463,5.0,18.0,0.278,13.0,17.0,0.765,10.0,36.0,11.0,7.0,7.0,10.0,16.0,-6.0,0,3,77.0,69.5,81.5,0.1397130479680539,0.036168889429853746,0.3815,0.4105,75.5,-12.0,-0.15894039735099338,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-12.0,6.0,77.0,60.0,72.0,66.0,12.0,0.18181818181818182,1,0,0.0,2019-11-13,,LIU,1,74.0,80.0,5.0,5.0,W,-0.02185769543722188,0.03647563789611141,3,-0.625,12.0,0.3675,0.48,0.4401250000000001,-0.009267840593141797,4.75,0.0713871315227386,-0.028117051222706423,-5.416666666666664,-5.416666666666664,2.75,2.75,3.9333333333333345,-1.5985325239532429,0.8139784946236546,-1.6385225465027398,-0.5
2019-11-18,@,Delaware State,W,92.0,84.0,31.0,60.0,0.517,12.0,28.0,0.429,18.0,23.0,0.783,2.0,29.0,17.0,6.0,7.0,10.0,17.0,,31.0,70.0,0.443,6.0,23.0,0.261,16.0,22.0,0.727,8.0,33.0,12.0,6.0,2.0,11.0,21.0,8.0,1,4,88.0,71.0,81.0,0.052672820994702996,-0.017228065807592285,0.4076666666666667,0.428,76.0,-10.0,-0.13157894736842105,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-10.0,-8.0,88.0,88.66666666666667,64.66666666666667,76.66666666666667,-24.0,-0.31304347826086953,1,0,0.0,2019-11-18,,LIU,0,92.0,84.0,6.0,12.0,L,-0.01970992911419789,-0.05412586586328705,4,-11.333333333333343,-24.0,0.507,0.41,0.4702333333333334,-0.14443500424808847,-0.3333333333333357,-0.053394400865635946,0.01842726121382069,2.638888888888895,2.638888888888895,9.388888888888886,9.388888888888886,1.410256410256411,-1.5985325239532429,0.33431899641576973,-1.6385225465027398,-8.255555555555555
2019-11-22,@,San Diego State,L,64.0,81.0,20.0,46.0,0.435,7.0,21.0,0.333,17.0,26.0,0.654,4.0,32.0,11.0,2.0,2.0,21.0,16.0,,32.0,67.0,0.478,10.0,30.0,0.333,7.0,12.0,0.583,7.0,29.0,26.0,8.0,2.0,6.0,21.0,-17.0,0,5,72.5,76.25,81.75,0.06024612969939014,-0.03829500430572341,0.43500000000000005,0.43175,79.0,-5.5,-0.06962025316455696,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-5.5,17.0,72.5,55.75,76.25,66.0,20.5,0.3106060606060606,1,0,0.0,2019-11-22,,LIU,1,64.0,81.0,10.0,7.0,W,0.02090186740430816,-0.05791898093796927,5,14.451612903225815,20.5,0.34775,0.4635,0.3904193548387097,0.21548821548821562,6.5,-0.05907109646557614,-0.028291997141340886,-3.99166666666666,-3.99166666666666,-6.833333333333334,-6.833333333333334,2.491666666666667,-1.5985325239532429,-2.5825940860215084,-1.6385225465027398,4.743402777777779
2019-11-24,@,Texas Tech,L,66.0,96.0,21.0,50.0,0.42,10.0,24.0,0.417,14.0,19.0,0.737,3.0,22.0,9.0,5.0,0.0,19.0,22.0,,35.0,68.0,0.515,11.0,19.0,0.579,15.0,20.0,0.75,13.0,38.0,22.0,4.0,3.0,9.0,17.0,-30.0,0,6,81.0,73.8,81.6,0.05232929643269679,-0.019406715045065026,0.43500000000000005,0.441,77.7,-7.799999999999997,-0.10038610038610035,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-7.799999999999997,30.0,81.0,58.75,84.75,71.75,26.0,0.3623693379790941,1,0,0.0,2019-11-24,,LIU,1,66.0,96.0,11.0,10.0,W,-0.06573675148441954,0.01839053151313269,5,8.41935483870968,26.0,0.35725,0.49100000000000005,0.4073870967741935,0.12431531316980238,2.9750000000000014,0.031021985350805203,0.0357174243758755,-0.20666666666666486,-0.20666666666666486,-5.1875,-5.1875,1.5636904761904764,-1.5985325239532429,0.8242473118279563,-1.6385225465027398,1.7510416666666675
2019-11-28,N,North Florida,L,92.0,95.0,32.0,62.0,0.516,10.0,25.0,0.4,18.0,21.0,0.857,3.0,30.0,16.0,6.0,2.0,15.0,19.0,,33.0,71.0,0.465,10.0,32.0,0.313,19.0,25.0,0.76,9.0,34.0,15.0,8.0,2.0,14.0,20.0,-3.0,0,7,93.5,72.5,84.0,0.06578598272369762,-0.009952933532460018,0.43250000000000005,0.45333333333333337,78.25,-11.5,-0.14696485623003194,0,0,1,-2.21875,0.44356249999999997,-0.029405674052598883,-11.5,3.0,93.5,74.6,68.0,71.3,-6.599999999999994,-0.09256661991584846,0,0,1.0,2019-11-28,N,LIU,1,92.0,95.0,10.0,10.0,W,0.18941681436669966,-0.06419460339075181,6,2.6774193548387046,-6.599999999999994,0.442,0.38120000000000004,0.4668064516129033,0.03550802139037426,3.4750000000000014,-0.06498542197769142,-0.04341949980506546,4.863492063492065,4.863492063492065,2.7442857142857164,2.7442857142857164,-1.4015389082462266,-1.5985325239532429,2.0900985663082436,-1.6385225465027398,0.8297959183673479
2019-11-29,N,Cal Poly,W,82.0,69.0,26.0,48.0,0.542,12.0,27.0,0.444,18.0,21.0,0.857,2.0,26.0,15.0,8.0,4.0,16.0,17.0,,23.0,62.0,0.371,10.0,26.0,0.385,13.0,15.0,0.867,12.0,32.0,13.0,6.0,1.0,14.0,20.0,13.0,1,8,75.5,75.28571428571429,85.57142857142857,0.05649461322817978,-0.008015180133938704,0.44442857142857145,0.455,80.42857142857143,-10.285714285714278,-0.12788632326820593,0,0,1,-2.21875,0.44356249999999997,-0.029405674052598883,-10.285714285714278,-13.0,75.5,80.5,63.166666666666664,71.83333333333333,-17.333333333333336,-0.2412993039443156,0,0,1.0,2019-11-29,N,LIU,0,82.0,69.0,10.0,12.0,L,-0.044395074504943954,-0.03402125651382648,7,-9.57142857142857,-17.333333333333336,0.4985000000000001,0.44500000000000006,0.4632142857142857,-0.13487669854051332,4.297619047619051,-0.04384082262327338,0.01886357652240835,2.806122448979594,2.806122448979594,6.736507936507935,6.736507936507935,-0.9178571428571421,-1.5985325239532429,2.1740015360983094,-1.6385225465027398,-3.049145880574452
2019-12-07,@,Army,W,85.0,72.0,26.0,63.0,0.413,18.0,45.0,0.4,15.0,27.0,0.556,5.0,30.0,11.0,11.0,4.0,9.0,23.0,,28.0,60.0,0.467,4.0,23.0,0.174,12.0,22.0,0.545,9.0,47.0,13.0,1.0,1.0,15.0,23.0,13.0,1,9,78.5,76.125,83.5,0.06578598272369762,0.005337913345213219,0.45662500000000006,0.4445,79.8125,-7.375,-0.09240407204385279,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-7.375,-13.0,78.5,74.66666666666667,67.66666666666667,71.16666666666667,-7.0,-0.09836065573770492,1,0,,2019-12-07,,LIU,0,85.0,72.0,4.0,18.0,L,0.041155440851776415,0.06817206646753998,7,-2.4137931034482705,-7.0,0.4323333333333334,0.4438333333333333,0.44458620689655176,-0.03360537686029757,4.322916666666664,0.06696839841949598,0.014821746757748581,0.22876984126983935,0.22876984126983935,-3.978703703703703,-3.978703703703703,-0.1784046468829082,-1.5985325239532429,0.7058227726574495,-1.6385225465027398,-0.5466361699000589
2019-12-14,@,Rider,L,74.0,89.0,26.0,62.0,0.419,8.0,24.0,0.333,14.0,20.0,0.7,8.0,32.0,10.0,6.0,4.0,16.0,24.0,,31.0,79.0,0.392,5.0,20.0,0.25,22.0,29.0,0.759,21.0,52.0,16.0,10.0,6.0,13.0,20.0,-15.0,0,10,81.5,77.11111111111111,82.22222222222223,0.09713846210360416,-0.009470308049834508,0.45177777777777783,0.44699999999999995,79.66666666666667,-5.111111111111114,-0.06415620641562068,0,1,0,-2.21875,0.44356249999999997,-0.029405674052598883,-5.111111111111114,15.0,81.5,73.0,78.14285714285714,75.57142857142857,5.142857142857139,0.06805293005671072,1,0,0.0,2019-12-14,,LIU,1,74.0,89.0,5.0,8.0,W,-0.07769255223185928,0.06808033456930129,8,2.4000000000000057,5.142857142857139,0.3971428571428572,0.4697142857142857,0.42216666666666663,0.03402646502835547,2.047619047619051,0.08132170066815356,0.027125124936367852,-0.1572109988776652,-0.1572109988776652,-4.053102453102453,-4.053102453102453,-0.38788219056076234,-1.5985325239532429,0.35919878642348063,-1.6385225465027398,1.4043123463036882
