Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-06,@,Texas A&M-Corpus Christi,W,82.0,49.0,31.0,62.0,0.5,10.0,26.0,0.385,10.0,13.0,0.769,11.0,31.0,16.0,9.0,2.0,9.0,23.0,,16.0,45.0,0.356,4.0,17.0,0.235,13.0,22.0,0.591,8.0,27.0,6.0,2.0,1.0,17.0,15.0,33.0,1,1,65.5,,,,,,,,,,0,1,8.535714285714278,0.4112142857142858,0.12380212380212369,,-33.0,65.5,,,,,,1,0,0.0,2019-11-06,,Louisiana Tech,0,82.0,49.0,4.0,10.0,L,,,1,-4.166666666666657,,,,0.43413333333333337,-0.06174364040503814,,,,,,,,,-1.4240152071569696,,-1.3149729368120158,
2019-11-16,@,Creighton,L,72.0,82.0,30.0,68.0,0.441,8.0,28.0,0.286,4.0,11.0,0.364,12.0,41.0,12.0,8.0,1.0,12.0,20.0,,27.0,58.0,0.466,13.0,29.0,0.448,15.0,22.0,0.682,6.0,31.0,15.0,7.0,3.0,10.0,14.0,-10.0,0,2,77.0,82.0,49.0,0.05232929643269679,-0.0686264029202151,0.5,0.356,65.5,33.0,0.5038167938931297,0,1,8.535714285714278,0.4112142857142858,0.12380212380212369,33.0,10.0,77.0,67.0,75.0,71.0,8.0,0.11267605633802817,1,0,0.0,2019-11-16,,Louisiana Tech,1,72.0,82.0,13.0,8.0,W,0.06647563789611144,-0.04486764568597812,3,7.63333333333334,8.0,0.4695,0.47450000000000003,0.4262333333333334,0.1030371203599551,-2.75,-0.04845505475529626,-0.06754246005763237,-14.333333333333336,-14.333333333333336,-5.166666666666664,-5.166666666666664,11.555555555555557,-1.4240152071569696,-4.166666666666657,-1.3149729368120158,0.19444444444444287
2019-11-19,,Mississippi Valley State,W,76.0,43.0,28.0,67.0,0.418,3.0,22.0,0.136,17.0,29.0,0.586,11.0,54.0,19.0,7.0,3.0,11.0,15.0,,17.0,71.0,0.239,2.0,23.0,0.087,7.0,12.0,0.583,8.0,41.0,8.0,3.0,2.0,16.0,22.0,33.0,1,3,59.5,77.0,65.5,0.03712498854546209,0.07578861499534806,0.47050000000000003,0.41100000000000003,71.25,11.5,0.16140350877192983,1,0,8.535714285714278,0.4112142857142858,0.12380212380212369,11.5,-33.0,59.5,119.5,70.5,95.0,-49.0,-0.5157894736842106,0,1,,2019-11-19,@,Louisiana Tech,0,76.0,43.0,2.0,3.0,L,0.005624574066324217,-0.0059929813507504925,5,-21.400000000000006,-49.0,0.5409999999999999,0.38625,0.47909999999999986,-0.27100042211903763,-11.875,-0.014916077366378197,0.02064651734374263,-0.36666666666666714,-0.36666666666666714,20.333333333333332,20.333333333333332,1.4625000000000004,-1.4240152071569696,1.7333333333333414,-1.3149729368120158,-16.473958333333332
2019-11-22,,North Alabama,W,82.0,61.0,34.0,69.0,0.493,6.0,19.0,0.316,8.0,10.0,0.8,10.0,32.0,13.0,7.0,3.0,5.0,17.0,,22.0,47.0,0.468,8.0,17.0,0.471,9.0,17.0,0.529,8.0,32.0,6.0,0.0,2.0,16.0,17.0,21.0,1,4,71.5,76.66666666666667,58.0,-0.03961131862562772,0.014061844792663147,0.453,0.35366666666666663,67.33333333333333,18.66666666666667,0.2772277227722773,1,0,8.535714285714278,0.4112142857142858,0.12380212380212369,18.66666666666667,-21.0,71.5,75.25,63.5,69.375,-11.75,-0.16936936936936936,0,1,,2019-11-22,@,Louisiana Tech,0,82.0,61.0,8.0,6.0,L,-0.041870818796801934,-0.09425525911385535,5,-3.1785714285714306,-11.75,0.46799999999999997,0.38725,0.4432857142857144,-0.04603051461080944,-1.0208333333333357,0.06110298765936103,-0.024264808988787682,-15.511111111111111,-15.511111111111111,8.60833333333333,8.60833333333333,7.598717948717951,-1.4240152071569696,-5.977777777777774,-1.3149729368120158,-4.720486111111111
2019-11-25,@,Indiana,L,75.0,88.0,28.0,57.0,0.491,10.0,25.0,0.4,9.0,15.0,0.6,1.0,27.0,17.0,13.0,2.0,20.0,28.0,,27.0,56.0,0.482,6.0,19.0,0.316,28.0,38.0,0.737,9.0,36.0,13.0,7.0,4.0,17.0,15.0,-13.0,0,5,81.5,78.0,58.75,-0.05390897748850393,0.03115648895994122,0.46299999999999997,0.38225,68.375,19.25,0.28153564899451555,0,1,8.535714285714278,0.4112142857142858,0.12380212380212369,19.25,13.0,81.5,64.0,90.6,77.3,26.599999999999994,0.3441138421733505,1,0,0.0,2019-11-25,,Louisiana Tech,1,75.0,88.0,6.0,10.0,W,-0.12809389852772965,-0.00414936210388861,6,4.71875,26.599999999999994,0.3756,0.5374000000000001,0.41940625,0.06831033702782176,-4.462499999999999,0.014956198322106536,-0.06317401471582315,-13.991666666666662,-13.991666666666662,-11.509999999999998,-11.509999999999998,6.674716553287981,-1.4240152071569696,-5.277976190476188,-1.3149729368120158,7.329547619047619
2019-11-30,,Samford,W,78.0,57.0,26.0,66.0,0.394,10.0,33.0,0.303,16.0,18.0,0.889,16.0,40.0,14.0,9.0,1.0,13.0,15.0,,21.0,54.0,0.389,4.0,13.0,0.308,11.0,20.0,0.55,11.0,36.0,8.0,7.0,0.0,21.0,18.0,21.0,1,6,67.5,77.4,64.6,-0.026702656677531966,-0.00702281411627248,0.4686,0.4022,71.0,12.800000000000011,0.18028169014084522,1,0,8.535714285714278,0.4112142857142858,0.12380212380212369,12.800000000000011,-21.0,67.5,74.83333333333333,70.5,72.66666666666667,-4.333333333333329,-0.059633027522935714,0,1,0.0,2019-11-30,@,Louisiana Tech,0,78.0,57.0,4.0,10.0,L,-0.02274422025991696,0.0005068182970023316,7,-12.0,-4.333333333333329,0.4243333333333334,0.442,0.47000000000000003,-0.15247776365946633,-0.8333333333333357,-0.003678776288760257,0.012638371378660914,-5.799047619047615,-5.799047619047615,-1.137896825396826,-1.137896825396826,1.2946620583717385,-1.4240152071569696,-3.2786309523809507,-1.3149729368120158,-3.244825916477701
2019-12-05,@,Mississippi State,W,74.0,67.0,26.0,54.0,0.481,10.0,16.0,0.625,12.0,19.0,0.632,12.0,30.0,12.0,5.0,1.0,9.0,15.0,,25.0,53.0,0.472,11.0,23.0,0.478,6.0,12.0,0.5,11.0,29.0,18.0,4.0,5.0,13.0,18.0,7.0,1,7,70.5,77.5,63.333333333333336,-0.010298555652275665,-0.021419098945993864,0.45616666666666666,0.4000000000000001,70.41666666666667,14.166666666666664,0.20118343195266267,0,1,8.535714285714278,0.4112142857142858,0.12380212380212369,14.166666666666664,-7.0,70.5,62.285714285714285,75.0,68.64285714285714,12.714285714285715,0.18522372528616027,1,0,0.0,2019-12-05,,Louisiana Tech,0,74.0,67.0,11.0,10.0,L,-0.04495293353245999,-0.024533536415815183,8,5.258064516129039,12.714285714285715,0.4135714285714286,0.5014285714285714,0.42358064516129035,0.07431046273079563,0.8869047619047663,0.015895282008363498,0.03102984581406176,-5.821428571428572,-5.821428571428572,0.6653061224489798,0.6653061224489798,0.8857936507936504,-1.4240152071569696,-4.732192460317459,-1.3149729368120158,0.08325821995464776
2019-12-08,@,Sam Houston State,L,68.0,71.0,25.0,56.0,0.446,10.0,23.0,0.435,8.0,19.0,0.421,7.0,34.0,14.0,4.0,3.0,21.0,20.0,,24.0,65.0,0.369,8.0,19.0,0.421,15.0,20.0,0.75,12.0,38.0,17.0,8.0,6.0,12.0,18.0,-3.0,0,8,69.5,77.0,63.857142857142854,0.0037298122931429534,0.008623288902822823,0.4597142857142857,0.4102857142857143,70.42857142857143,13.142857142857146,0.18661257606490875,0,1,8.535714285714278,0.4112142857142858,0.12380212380212369,13.142857142857146,3.0,69.5,79.2,75.2,77.2,-4.0,-0.05181347150259067,1,0,,2019-12-08,,Louisiana Tech,1,68.0,71.0,8.0,10.0,W,0.013603297470579478,-0.02564557422510072,6,1.3333333333333428,-4.0,0.43979999999999997,0.418,0.440148148148148,0.017655713585090858,-3.385714285714286,-0.009780244271463302,0.010830750856697139,-3.146541950113377,-3.146541950113377,2.1500000000000012,2.1500000000000012,0.6889097744360912,-1.4240152071569696,-3.3050128922536737,-1.3149729368120158,-1.3841225749559072
2019-12-14,,Louisiana,W,77.0,59.0,27.0,59.0,0.458,9.0,29.0,0.31,14.0,18.0,0.778,8.0,47.0,13.0,4.0,2.0,11.0,21.0,,20.0,61.0,0.328,4.0,21.0,0.19,15.0,28.0,0.536,9.0,29.0,8.0,9.0,2.0,7.0,15.0,18.0,1,9,68.0,75.875,64.75,0.017612375952124615,0.010799962220435777,0.458,0.40512500000000007,70.3125,11.125,0.1582222222222222,1,0,8.535714285714278,0.4112142857142858,0.12380212380212369,11.125,-18.0,68.0,77.5,74.375,75.9375,-3.125,-0.0411522633744856,0,1,0.0,2019-12-14,@,Louisiana Tech,0,77.0,59.0,4.0,9.0,L,0.004122696719640828,0.02034660563804691,9,-3.9375,-3.125,0.448625,0.42687499999999995,0.4541875,-0.05285234899328859,-2.8125,0.018930189324116664,0.00667270326168004,-3.0921130952380933,-3.0921130952380933,-3.9701884920634907,-3.9701884920634907,0.3019125235034327,-1.4240152071569696,-2.7252196140552964,-1.3149729368120158,0.8280841901154407
2019-12-17,,North Carolina Central,W,69.0,60.0,22.0,50.0,0.44,8.0,26.0,0.308,17.0,21.0,0.81,12.0,25.0,13.0,9.0,0.0,12.0,9.0,,23.0,42.0,0.548,8.0,16.0,0.5,6.0,9.0,0.667,5.0,21.0,12.0,4.0,3.0,19.0,19.0,9.0,1,10,64.5,76.0,64.11111111111111,0.019808971229444805,-0.0015659565579613788,0.45799999999999996,0.3965555555555556,70.05555555555556,11.888888888888886,0.16970658207771605,1,0,8.535714285714278,0.4112142857142858,0.12380212380212369,11.888888888888886,-9.0,64.5,75.3,59.2,67.25,-16.099999999999994,-0.23940520446096647,0,1,0.0,2019-12-17,@,Louisiana Tech,0,69.0,60.0,8.0,8.0,L,0.0006648270853006344,0.021136992477784777,11,-1.1785714285714164,-15.666666666666671,0.47939999999999994,0.4004,0.4284642857142857,-0.017428043306046824,1.4027777777777786,0.020462210923295407,-0.0010203383429710348,-3.1407407407407373,-3.1407407407407373,0.9399494949494944,0.9399494949494944,0.10057035088680692,-1.4240152071569696,-2.859917434715819,-1.3149729368120158,-1.2663146772559644
