Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,@,Iowa State,L,74.0,110.0,30.0,73.0,0.411,11.0,29.0,0.379,3.0,8.0,0.375,10.0,35.0,13.0,3.0,0.0,21.0,9.0,,45.0,87.0,0.517,13.0,35.0,0.371,7.0,11.0,0.636,15.0,48.0,32.0,15.0,7.0,10.0,8.0,-36.0,0,1,92.0,,,,,,,,,,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,,36.0,92.0,,,,,,1,0,0.0,2019-11-05,,Mississippi Valley State,1,74.0,110.0,13.0,11.0,W,,,1,-0.96875,,,,0.456,-0.013364949342530718,,,,,,,,,-2.225890424717908,,-2.1198966149464322,
2019-11-08,@,Utah,L,49.0,143.0,21.0,80.0,0.263,4.0,30.0,0.133,3.0,6.0,0.5,7.0,26.0,10.0,9.0,6.0,17.0,16.0,,57.0,90.0,0.633,17.0,34.0,0.5,12.0,13.0,0.923,10.0,61.0,41.0,6.0,3.0,11.0,14.0,-94.0,0,2,96.0,74.0,110.0,0.13242158384205738,0.04102109244156599,0.411,0.517,92.0,-36.0,-0.391304347826087,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-36.0,94.0,96.0,74.0,79.0,76.5,5.0,0.06535947712418301,1,0,0.0,2019-11-08,,Mississippi Valley State,1,49.0,143.0,17.0,4.0,W,-0.12365094438236957,0.13242158384205738,2,0.6129032258064484,5.0,0.412,0.441,0.4446129032258065,0.008677780315140398,7.75,0.13242158384205738,-0.07122005911255702,36.0,36.0,-5.0,-5.0,-36.0,-2.225890424717908,-0.96875,-2.1198966149464322,5.0
2019-11-10,@,Central Michigan,L,78.0,134.0,30.0,73.0,0.411,8.0,32.0,0.25,10.0,16.0,0.625,7.0,34.0,15.0,0.0,4.0,23.0,27.0,,47.0,93.0,0.505,13.0,37.0,0.351,27.0,37.0,0.73,20.0,56.0,20.0,16.0,1.0,6.0,15.0,-56.0,0,3,106.0,61.5,126.5,0.05232929643269679,0.04220686319255412,0.33699999999999997,0.575,94.0,-65.0,-0.6914893617021277,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-65.0,56.0,106.0,,,,,,1,0,,2019-11-10,,Mississippi Valley State,1,78.0,134.0,13.0,8.0,W,,,1,-3.1379310344827474,,,,0.47068965517241373,-0.04083464213596575,,,,32.25,32.25,,,-29.25,-2.225890424717908,-0.1779233870967758,-2.1198966149464322,
2019-11-12,@,Western Michigan,L,81.0,91.0,29.0,63.0,0.46,7.0,18.0,0.389,16.0,19.0,0.842,8.0,29.0,6.0,5.0,2.0,8.0,27.0,,29.0,57.0,0.509,6.0,12.0,0.5,27.0,38.0,0.711,10.0,35.0,14.0,2.0,3.0,8.0,14.0,-10.0,0,4,86.0,67.0,129.0,0.029759219985663665,0.01980897122944475,0.36166666666666664,0.5516666666666666,98.0,-62.0,-0.6326530612244898,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-62.0,10.0,86.0,87.5,95.0,91.25,7.5,0.0821917808219178,1,0,0.0,2019-11-12,,Mississippi Valley State,1,81.0,91.0,6.0,7.0,W,0.018054585264532463,-0.05638150496103145,3,-5.166666666666671,7.5,0.4365,0.405,0.4399999999999999,-0.07340753019180683,3.375,-0.04096180671379281,0.018911445213538828,40.166666666666664,40.166666666666664,-6.25,-6.25,-34.6,-2.225890424717908,-1.1645926028920996,-2.1198966149464322,6.875
2019-11-19,@,Louisiana Tech,L,43.0,76.0,17.0,71.0,0.239,2.0,23.0,0.087,7.0,12.0,0.583,8.0,41.0,8.0,3.0,2.0,16.0,22.0,,28.0,67.0,0.418,3.0,22.0,0.136,17.0,29.0,0.586,11.0,54.0,19.0,7.0,3.0,11.0,15.0,-33.0,0,5,59.5,70.5,119.5,0.005624574066324217,-0.0059929813507504925,0.38625,0.5409999999999999,95.0,-49.0,-0.5157894736842106,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-49.0,33.0,59.5,65.5,77.0,71.25,11.5,0.16140350877192983,1,0,,2019-11-19,,Mississippi Valley State,1,43.0,76.0,3.0,2.0,W,0.03712498854546209,0.07578861499534806,3,8.535714285714278,11.5,0.41100000000000003,0.47050000000000003,0.4112142857142858,0.12380212380212369,11.875,0.02064651734374263,-0.014916077366378197,20.333333333333332,20.333333333333332,-0.36666666666666714,-0.36666666666666714,-14.840277777777777,-2.225890424717908,-2.1651111188357426,-2.1198966149464322,1.2477777777777785
2019-11-24,@,South Dakota State,L,54.0,84.0,22.0,67.0,0.328,5.0,22.0,0.227,5.0,5.0,1.0,9.0,24.0,4.0,5.0,4.0,8.0,14.0,,33.0,58.0,0.569,8.0,25.0,0.32,10.0,15.0,0.667,8.0,40.0,19.0,5.0,3.0,10.0,7.0,-30.0,0,6,69.0,65.0,110.8,-0.018139746719273153,-0.0319359144504589,0.35679999999999995,0.5164,87.9,-45.8,-0.521046643913538,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-45.8,30.0,69.0,77.66666666666667,74.0,75.83333333333333,-3.6666666666666714,-0.048351648351648416,1,0,0.0,2019-11-24,,Mississippi Valley State,1,54.0,84.0,8.0,5.0,W,-0.05676760534713182,-0.06888916897084138,7,6.533333333333331,-3.6666666666666714,0.41316666666666674,0.44799999999999995,0.4264666666666666,0.08738296923762816,6.0333333333333385,0.03535013545705694,0.04257846154951368,13.623333333333335,13.623333333333335,-0.016666666666664536,-0.016666666666664536,-10.579365079365079,-2.225890424717908,-0.024946037925738553,-2.1198966149464322,1.149166666666666
2019-11-27,@,North Alabama,L,50.0,73.0,21.0,66.0,0.318,5.0,27.0,0.185,3.0,15.0,0.2,14.0,43.0,5.0,6.0,2.0,16.0,21.0,,28.0,68.0,0.412,7.0,26.0,0.269,10.0,20.0,0.5,13.0,44.0,14.0,7.0,3.0,12.0,17.0,-23.0,0,7,61.5,63.166666666666664,106.33333333333333,-0.020648372657978253,-0.03139270066188227,0.3519999999999999,0.5251666666666667,84.75,-43.166666666666664,-0.5093411996066863,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-43.166666666666664,23.0,61.5,76.6,63.0,69.8,-13.599999999999994,-0.19484240687679075,1,0,,2019-11-27,,Mississippi Valley State,1,50.0,73.0,7.0,5.0,W,-0.01828626686579332,-0.0942032132788233,6,-3.1785714285714306,-13.599999999999994,0.473,0.4034,0.4432857142857144,-0.04603051461080944,7.475000000000001,0.04410377595354109,0.023959451202837382,8.226587301587303,8.226587301587303,8.875238095238101,8.875238095238101,-5.890367965367963,-2.225890424717908,1.068100523950773,-2.1198966149464322,-5.292825396825394
2019-12-06,@,Missouri State,L,62.0,86.0,24.0,59.0,0.407,8.0,17.0,0.471,6.0,14.0,0.429,4.0,24.0,7.0,8.0,1.0,19.0,24.0,,30.0,60.0,0.5,8.0,23.0,0.348,18.0,26.0,0.692,9.0,44.0,19.0,8.0,3.0,17.0,18.0,-24.0,0,8,74.0,61.285714285714285,101.57142857142857,-0.019818068397594868,-0.030823940162960306,0.3471428571428571,0.509,81.42857142857143,-40.285714285714285,-0.49473684210526314,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-40.285714285714285,24.0,74.0,65.44444444444444,66.44444444444444,65.94444444444444,1.0,0.015164279696714406,1,0,0.0,2019-12-06,,Mississippi Valley State,1,62.0,86.0,8.0,8.0,W,-0.04763807447847046,-0.03338853867434699,10,2.787878787878796,1.0,0.41844444444444445,0.428,0.43278787878787883,0.040280210157618325,7.742063492063494,0.025723459004262046,0.038319618437596945,4.920408163265306,4.920408163265306,-1.8187830687830673,-1.8187830687830673,-3.017034097589654,-2.225890424717908,0.4614331021618869,-2.1198966149464322,1.8337786246185723
2019-12-15,@,Miami (OH),L,67.0,79.0,28.0,69.0,0.406,5.0,26.0,0.192,6.0,14.0,0.429,13.0,37.0,13.0,8.0,5.0,8.0,15.0,,30.0,72.0,0.417,11.0,36.0,0.306,8.0,11.0,0.727,14.0,42.0,20.0,2.0,4.0,10.0,10.0,-12.0,0,9,73.0,61.375,99.625,-0.008025380433827445,-0.03121570463839296,0.35462499999999997,0.507875,80.5,-38.25,-0.4751552795031056,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-38.25,12.0,73.0,77.5,73.625,75.5625,-3.875,-0.05128205128205128,1,0,0.0,2019-12-15,,Mississippi Valley State,1,67.0,79.0,11.0,5.0,W,0.027732004619371198,-0.013524362103888576,9,-3.5999999999999943,-3.875,0.485625,0.436,0.4486999999999999,-0.050847457627118564,2.46875,0.010418164474058987,-0.029422339560763018,3.988952020202019,3.988952020202019,-0.3731782106782102,-0.3731782106782102,-3.573164822190797,-2.225890424717908,0.7522388128765005,-2.1198966149464322,-1.4679692874815973
2019-12-17,@,Wright State,L,50.0,92.0,20.0,77.0,0.26,4.0,22.0,0.182,6.0,8.0,0.75,16.0,40.0,8.0,7.0,1.0,16.0,21.0,,35.0,72.0,0.486,7.0,26.0,0.269,15.0,27.0,0.556,16.0,54.0,20.0,4.0,3.0,16.0,11.0,-42.0,0,10,71.0,62.0,97.33333333333333,-0.01782543737270581,-0.019003814158683074,0.36033333333333334,0.4977777777777777,79.66666666666667,-35.33333333333333,-0.44351464435146437,0,1,-21.400000000000006,0.47909999999999986,-0.27100042211903763,-35.33333333333333,42.0,71.0,72.0,77.22222222222223,74.61111111111111,5.2222222222222285,0.06999255398361885,1,0,0.0,2019-12-17,,Mississippi Valley State,1,50.0,92.0,7.0,4.0,W,-0.05453155634849288,-0.012598436177962635,10,8.666666666666657,5.2222222222222285,0.43033333333333335,0.43599999999999994,0.41986666666666667,0.11473962930273597,2.5277777777777786,0.014985747731905277,0.0321917312773096,3.1722783389450058,3.1722783389450058,-3.992504409171072,-3.992504409171072,-3.187259260535122,-2.225890424717908,0.26865672255689,-2.1198966149464322,1.1323684845675595
