Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-09,@,Temple,L,57.0,75.0,20.0,56.0,0.357,7.0,25.0,0.28,10.0,16.0,0.625,10.0,41.0,11.0,2.0,6.0,19.0,25.0,,24.0,65.0,0.369,7.0,32.0,0.219,20.0,32.0,0.625,13.0,39.0,11.0,14.0,4.0,6.0,16.0,-18.0,0,1,66.0,,,,,,,,,,0,1,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,,18.0,66.0,62.0,70.0,66.0,8.0,0.12121212121212122,1,0,0.0,2019-11-09,,Morgan State,1,57.0,75.0,7.0,7.0,W,-0.09923864781817429,-0.023201781458727255,2,0.4193548387096797,8.0,0.348,0.431,0.4013225806451614,0.0061596778014688805,,,,,,0.0,0.0,,-4.6032226323414065,,-4.409846581990526,0.0
2019-11-13,,Saint Francis (PA),L,65.0,71.0,22.0,57.0,0.386,2.0,13.0,0.154,19.0,32.0,0.594,12.0,27.0,8.0,8.0,3.0,10.0,26.0,,18.0,46.0,0.391,4.0,10.0,0.4,31.0,35.0,0.886,6.0,37.0,10.0,2.0,4.0,21.0,24.0,-6.0,0,2,68.0,57.0,75.0,0.05489669052769036,-0.03352436210388854,0.357,0.369,66.0,-18.0,-0.2727272727272727,1,0,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-18.0,6.0,68.0,86.0,78.0,82.0,-8.0,-0.0975609756097561,0,1,0.0,2019-11-13,@,Morgan State,1,65.0,71.0,4.0,2.0,W,0.07109102251149607,-0.034454594662028104,3,4.451612903225808,-8.0,0.503,0.40449999999999997,0.4452903225806452,0.05997392438070406,-8.0,-0.0434907256828208,-0.04881886091472317,13.0,13.0,5.25,5.25,-8.5,-4.6032226323414065,0.4193548387096797,-4.409846581990526,-9.25
2019-11-16,@,George Washington,W,68.0,64.0,25.0,65.0,0.385,2.0,14.0,0.143,16.0,21.0,0.762,17.0,44.0,11.0,6.0,4.0,11.0,25.0,,17.0,50.0,0.34,7.0,31.0,0.226,23.0,31.0,0.742,3.0,23.0,10.0,5.0,5.0,10.0,19.0,4.0,1,3,66.0,61.0,73.0,-0.0922128866940525,-0.0874969648436146,0.3715,0.38,67.0,-12.0,-0.1791044776119403,0,1,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-12.0,-4.0,66.0,67.0,66.33333333333333,66.66666666666667,-0.6666666666666714,-0.01000000000000007,1,0,0.0,2019-11-16,,Morgan State,0,68.0,64.0,7.0,2.0,L,0.0482846831222421,-0.08964376508896318,4,-4.90625,-0.6666666666666714,0.4303333333333333,0.4176666666666667,0.45240625,-0.07253407253407253,0.1666666666666643,0.09091925182807446,-0.06499817860241847,4.833333333333336,4.833333333333336,-9.111111111111109,-9.111111111111109,-3.3333333333333313,-4.6032226323414065,2.4354838709677438,-4.409846581990526,2.555555555555554
2019-11-22,N,Liberty,L,48.0,89.0,14.0,49.0,0.286,3.0,19.0,0.158,17.0,27.0,0.63,9.0,29.0,7.0,7.0,2.0,18.0,34.0,,24.0,44.0,0.545,8.0,17.0,0.471,33.0,47.0,0.702,6.0,31.0,11.0,4.0,0.0,12.0,20.0,-41.0,0,4,68.5,63.333333333333336,70.0,-0.1398401515775728,-0.05638150496103145,0.37600000000000006,0.3666666666666667,66.66666666666667,-6.666666666666664,-0.09999999999999996,0,0,1,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-6.666666666666664,41.0,68.5,51.8,65.8,58.8,14.0,0.2380952380952381,0,0,1.0,2019-11-22,N,Morgan State,1,48.0,89.0,8.0,3.0,W,0.06945436130036681,-0.05869810727763369,6,12.40625,14.0,0.3556,0.44960000000000006,0.39634374999999994,0.20270615266785805,3.933333333333337,0.0905999570586042,-0.0625774833004804,1.4777777777777767,1.4777777777777767,-12.716666666666667,-12.716666666666667,-3.3541666666666656,-4.6032226323414065,-0.01176075268817082,-4.409846581990526,9.04111111111111
2019-11-23,N,Milwaukee,L,57.0,62.0,18.0,53.0,0.34,6.0,19.0,0.316,15.0,20.0,0.75,9.0,36.0,9.0,1.0,7.0,18.0,27.0,,18.0,49.0,0.367,9.0,19.0,0.474,17.0,26.0,0.654,8.0,31.0,11.0,6.0,5.0,12.0,17.0,-5.0,0,5,59.5,59.5,74.75,-0.13705377386859444,-0.05265479688649727,0.35350000000000004,0.41125,67.125,-15.25,-0.2271880819366853,0,0,1,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-15.25,5.0,59.5,78.0,79.75,78.875,1.75,0.022187004754358162,0,0,1.0,2019-11-23,N,Morgan State,1,57.0,62.0,9.0,6.0,W,-0.02198831194714873,-0.02506282364235013,5,-3.3103448275862064,1.75,0.44175,0.4095,0.44720689655172413,-0.04595500239348971,-5.875,0.05860848542649022,0.03402631480860156,5.4250000000000025,5.4250000000000025,-8.3875,-8.3875,-6.934166666666667,-4.6032226323414065,3.092741935483872,-4.409846581990526,3.5568055555555564
2019-11-24,N,Evansville,L (3 OT),112.0,115.0,38.0,80.0,0.475,9.0,17.0,0.529,27.0,36.0,0.75,13.0,41.0,12.0,4.0,2.0,16.0,35.0,,35.0,62.0,0.565,10.0,23.0,0.435,35.0,46.0,0.761,3.0,33.0,14.0,2.0,5.0,16.0,25.0,-3.0,0,6,113.5,59.0,72.2,-0.11013453159541398,-0.022665636342115714,0.35080000000000006,0.4024,65.6,-13.200000000000003,-0.20121951219512202,0,0,1,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-13.200000000000003,3.0,113.5,72.2,68.2,70.2,-4.0,-0.05698005698005698,0,0,1.0,2019-11-24,N,Morgan State,1,112.0,115.0,10.0,9.0,W (3 OT),0.03838179625388266,-0.04759638426455337,6,-7.6451612903225765,-4.0,0.45020000000000004,0.3984,0.48087096774193555,-0.10879045214597192,-2.3000000000000043,0.07240169532968076,-0.029494878132443326,4.627619047619051,4.627619047619051,6.680000000000002,6.680000000000002,-5.927465986394558,-4.6032226323414065,1.8121245828698562,-4.409846581990526,-7.210396825396826
2019-11-29,@,Ohio State,L,57.0,90.0,21.0,56.0,0.375,2.0,11.0,0.182,13.0,20.0,0.65,7.0,27.0,6.0,1.0,1.0,14.0,22.0,,30.0,63.0,0.476,9.0,25.0,0.36,21.0,26.0,0.808,13.0,40.0,12.0,4.0,2.0,10.0,15.0,-33.0,0,7,73.5,67.83333333333333,79.33333333333333,-0.09976514834467479,-0.029910916725737313,0.3715,0.4295,73.58333333333333,-11.5,-0.1562853907134768,0,1,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-11.5,33.0,73.5,52.0,76.33333333333333,64.16666666666667,24.33333333333333,0.3792207792207791,1,0,0.0,2019-11-29,,Morgan State,1,57.0,90.0,9.0,2.0,W,0.033637209948513214,0.08070640712688065,7,9.129032258064512,24.33333333333333,0.32183333333333336,0.48766666666666675,0.39970967741935487,0.1352449223416965,4.708333333333329,-0.08973119122902005,-0.03171939131913035,2.6595238095238094,2.6595238095238094,0.2757936507936532,0.2757936507936532,-2.633897243107769,-4.6032226323414065,0.23591027067111744,-4.409846581990526,2.191228898966995
2019-12-04,,Towson,L,59.0,76.0,21.0,46.0,0.457,3.0,14.0,0.214,14.0,17.0,0.824,7.0,22.0,10.0,5.0,4.0,18.0,22.0,,24.0,51.0,0.471,7.0,17.0,0.412,21.0,28.0,0.75,12.0,30.0,12.0,10.0,3.0,14.0,19.0,-17.0,0,8,67.5,66.28571428571429,80.85714285714286,-0.11309332762112995,-0.02730528083180378,0.372,0.4361428571428571,73.57142857142857,-14.57142857142857,-0.19805825242718444,1,0,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-14.57142857142857,17.0,67.5,70.16666666666667,68.66666666666667,69.41666666666667,-1.5,-0.02160864345738295,0,1,0.0,2019-12-04,@,Morgan State,1,59.0,76.0,7.0,3.0,W,-0.05138843977379148,0.04277017471321354,7,1.5999999999999943,-1.5,0.4068333333333333,0.4091666666666667,0.4199333333333333,0.02326708676684432,2.077380952380949,-0.06954869791199851,0.03745898796726376,6.780612244897961,6.780612244897961,2.5095899470899474,2.5095899470899474,-2.5866946778711486,-4.6032226323414065,1.506356268870174,-4.409846581990526,0.9028925999412118
2019-12-07,,Longwood,W,73.0,65.0,25.0,48.0,0.521,7.0,17.0,0.412,16.0,21.0,0.762,4.0,32.0,17.0,6.0,3.0,17.0,24.0,,19.0,54.0,0.352,9.0,30.0,0.3,18.0,23.0,0.783,7.0,21.0,13.0,9.0,1.0,17.0,20.0,8.0,1,9,69.0,65.375,80.25,-0.11849568141555206,-0.028477633131925972,0.382625,0.4405,72.8125,-14.875,-0.20429184549356222,1,0,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-14.875,-8.0,69.0,66.42857142857143,62.0,64.21428571428571,-4.428571428571431,-0.06896551724137935,0,1,0.0,2019-12-07,@,Morgan State,0,73.0,65.0,9.0,7.0,L,0.11504706646754004,0.034862734670304985,8,-3.13333333333334,-4.428571428571431,0.4382857142857143,0.3851428571428572,0.44333333333333336,-0.045988258317025535,4.299107142857146,-0.06427350543394518,-0.05723869453234331,6.357142857142858,6.357142857142858,-3.078628117913832,-3.078628117913832,-2.281458013312852,-4.6032226323414065,1.5180617352614014,-4.409846581990526,0.001710690890112427
2019-12-14,@,La Salle,L,68.0,85.0,26.0,58.0,0.448,3.0,16.0,0.188,13.0,18.0,0.722,8.0,36.0,7.0,3.0,1.0,16.0,19.0,,26.0,58.0,0.448,12.0,33.0,0.364,21.0,27.0,0.778,8.0,31.0,17.0,10.0,4.0,7.0,20.0,-17.0,0,10,76.5,66.22222222222223,78.55555555555556,-0.10714852317771409,-0.01649465913359155,0.39799999999999996,0.43066666666666664,72.38888888888889,-12.333333333333329,-0.17037605525709895,0,1,0,-3.642857142857139,0.41307142857142853,-0.0515672396359959,-12.333333333333329,17.0,76.5,70.625,70.625,70.625,0.0,0.0,1,0,0.0,2019-12-14,,Morgan State,1,68.0,85.0,12.0,3.0,W,0.07408625736513796,-0.04803763644017173,9,-1.9333333333333371,0.0,0.39725,0.43912500000000004,0.43129999999999996,-0.028032866118898072,0.8819444444444429,0.07174372308092426,-0.03495751080556919,5.116049382716051,5.116049382716051,2.9918154761904745,2.9918154761904745,-1.907063492063492,-4.6032226323414065,1.001240060973097,-4.409846581990526,-0.29504218775052127
