Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-06,@,Georgetown,L,68.0,81.0,25.0,54.0,0.463,8.0,21.0,0.381,10.0,16.0,0.625,4.0,25.0,13.0,7.0,2.0,14.0,20.0,,28.0,59.0,0.475,8.0,21.0,0.381,17.0,21.0,0.81,10.0,37.0,16.0,9.0,1.0,12.0,14.0,-13.0,0,1,74.5,,,,,,,,,,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,,13.0,74.5,,,,,,1,0,0.0,2019-11-06,,Mount St. Mary's,1,68.0,81.0,8.0,8.0,W,,,1,0.78125,,,,0.4338125,0.010519671786240269,,,,,,,,,-1.8395042185735557,,-1.8259210368913268,
2019-11-12,@,Washington,L,46.0,56.0,16.0,55.0,0.291,7.0,22.0,0.318,7.0,13.0,0.538,10.0,29.0,7.0,6.0,1.0,14.0,16.0,,22.0,53.0,0.415,5.0,18.0,0.278,7.0,14.0,0.5,10.0,33.0,16.0,7.0,11.0,15.0,14.0,-10.0,0,2,51.0,68.0,81.0,0.03941681436669969,-0.017228065807592285,0.463,0.475,74.5,-13.0,-0.174496644295302,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-13.0,10.0,51.0,64.0,67.0,65.5,3.0,0.04580152671755725,1,0,0.0,2019-11-12,,Mount St. Mary's,1,46.0,56.0,5.0,7.0,W,-9.152628299302634e-05,0.061475637896111435,2,4.15625,3.0,0.354,0.453,0.3822812500000002,0.06066134549600912,4.5,0.049225743336444125,0.001255715264910072,12.0,12.0,20.5,20.5,-20.25,-1.8395042185735557,0.78125,-1.8259210368913268,-12.25
2019-11-15,@,Lamar,L,61.0,76.0,24.0,56.0,0.429,8.0,27.0,0.296,5.0,13.0,0.385,9.0,29.0,9.0,6.0,1.0,17.0,20.0,,29.0,55.0,0.527,7.0,18.0,0.389,11.0,18.0,0.611,5.0,27.0,17.0,7.0,4.0,11.0,17.0,-15.0,0,3,68.5,57.0,68.5,0.0812124800013746,-0.02885282925717325,0.377,0.44499999999999995,62.75,-11.5,-0.18326693227091634,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-11.5,15.0,68.5,66.0,56.0,61.0,-10.0,-0.16393442622950818,1,0,0.0,2019-11-15,,Mount St. Mary's,1,61.0,76.0,7.0,8.0,W,-0.09923864781817429,0.05011200153247508,2,-0.7931034482758577,-10.0,0.368,0.407,0.44293103448275867,-0.011173184357541837,0.875,0.063794356508119,0.053509959458128274,4.75,4.75,18.5,18.5,-2.2333333333333356,-1.8395042185735557,2.46875,-1.8259210368913268,-12.333333333333336
2019-11-20,@,Alabama-Birmingham,L,51.0,58.0,22.0,54.0,0.407,6.0,25.0,0.24,1.0,1.0,1.0,6.0,27.0,11.0,2.0,4.0,13.0,15.0,,21.0,61.0,0.344,4.0,17.0,0.235,12.0,14.0,0.857,14.0,37.0,10.0,4.0,4.0,10.0,10.0,-7.0,0,4,54.5,58.333333333333336,71.0,0.08076135218182573,-0.03183422125881813,0.39433333333333337,0.47233333333333327,64.66666666666667,-12.666666666666664,-0.19587628865979376,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-12.666666666666664,7.0,54.5,64.33333333333333,68.33333333333333,66.33333333333333,4.0,0.06030150753768845,1,0,0.0,2019-11-20,,Mount St. Mary's,1,51.0,58.0,4.0,6.0,W,-0.12328045966486417,0.07507667416554153,4,0.7000000000000028,4.0,0.424,0.46599999999999997,0.42493333333333333,0.010571356657437747,-0.8333333333333286,0.077867154326606,0.0626461286103147,3.8333333333333335,3.8333333333333335,-15.166666666666666,-15.166666666666666,-0.5416666666666664,-1.8395042185735557,1.3814655172413808,-1.8259210368913268,7.379629629629629
2019-11-22,@,Kentucky,L,62.0,82.0,22.0,61.0,0.361,5.0,24.0,0.208,13.0,18.0,0.722,9.0,30.0,8.0,5.0,2.0,9.0,18.0,,30.0,55.0,0.545,6.0,15.0,0.4,16.0,18.0,0.889,6.0,33.0,21.0,4.0,3.0,12.0,14.0,-20.0,0,5,72.0,56.5,67.75,0.0714313901085008,-0.04784170527732029,0.3975,0.4402499999999999,62.125,-11.25,-0.18108651911468812,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-11.25,20.0,72.0,63.0,76.5,69.75,13.5,0.1935483870967742,1,0,0.0,2019-11-22,,Mount St. Mary's,1,62.0,82.0,6.0,5.0,W,-0.1860733817117317,0.07933278075325428,5,8.322580645161295,13.5,0.358,0.43425,0.39874193548387105,0.11845730027548215,-3.8125,0.0752784883640597,0.09435077046747943,4.941666666666666,4.941666666666666,2.291666666666668,2.291666666666668,-3.207291666666667,-1.8395042185735557,1.2110991379310363,-1.8259210368913268,3.782291666666666
2019-11-26,,Utah Valley,W,64.0,61.0,23.0,64.0,0.359,3.0,17.0,0.176,15.0,18.0,0.833,12.0,42.0,8.0,3.0,5.0,10.0,16.0,,22.0,63.0,0.349,8.0,28.0,0.286,9.0,12.0,0.75,8.0,35.0,9.0,3.0,6.0,11.0,17.0,3.0,1,6,62.5,57.6,70.6,0.040642304562778064,-0.05856685502173559,0.3902,0.46119999999999994,64.1,-12.999999999999993,-0.2028081123244929,1,0,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-12.999999999999993,-3.0,62.5,69.4,67.6,68.5,-1.8000000000000114,-0.02627737226277389,0,1,,2019-11-26,@,Mount St. Mary's,0,64.0,61.0,8.0,3.0,L,0.023753744404987176,-0.1406136992796811,6,-3.2962962962962905,-1.8000000000000114,0.42560000000000003,0.4304,0.4311111111111111,-0.04692855259688892,-2.200000000000003,-0.0755967247427009,-0.03729855365547365,6.216666666666667,6.216666666666667,0.31666666666666854,0.31666666666666854,-1.2771978021978012,-1.8395042185735557,2.633395439377088,-1.8259210368913268,-1.8310317460317471
2019-11-30,@,Howard,W,73.0,56.0,26.0,66.0,0.394,9.0,29.0,0.31,12.0,14.0,0.857,14.0,42.0,17.0,4.0,0.0,12.0,16.0,,20.0,51.0,0.392,9.0,20.0,0.45,7.0,13.0,0.538,3.0,28.0,10.0,4.0,2.0,16.0,13.0,17.0,1,7,64.5,58.666666666666664,69.0,0.0018165469870205508,-0.038162043263308854,0.385,0.4424999999999999,63.833333333333336,-10.333333333333336,-0.16187989556135773,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-10.333333333333336,-17.0,64.5,89.85714285714286,63.714285714285715,76.78571428571429,-26.142857142857146,-0.3404651162790698,1,0,0.0,2019-11-30,,Mount St. Mary's,0,73.0,56.0,9.0,9.0,L,-0.004107321745144166,-0.003508463852696153,8,-13.903225806451601,-26.142857142857146,0.546,0.39685714285714285,0.47445161290322574,-0.18352139663615058,-6.476190476190478,-0.0025245374706440206,0.012519736024953595,4.2134920634920645,4.2134920634920645,3.5523809523809526,3.5523809523809526,-0.6476851851851833,-1.8395042185735557,1.645113483431525,-1.8259210368913268,-4.79917638483965
2019-12-03,@,Grand Canyon,L (1 OT),67.0,75.0,22.0,61.0,0.361,10.0,32.0,0.313,13.0,19.0,0.684,9.0,31.0,11.0,6.0,3.0,12.0,21.0,,26.0,54.0,0.481,5.0,18.0,0.278,18.0,24.0,0.75,5.0,37.0,9.0,7.0,2.0,10.0,16.0,-8.0,0,8,71.0,60.714285714285715,67.14285714285714,0.011181520249052612,-0.013524362103888576,0.3862857142857143,0.43528571428571416,63.92857142857143,-6.4285714285714235,-0.10055865921787702,0,1,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-6.4285714285714235,8.0,71.0,70.125,66.0,68.0625,-4.125,-0.06060606060606061,1,0,0.0,2019-12-03,,Mount St. Mary's,1,67.0,75.0,5.0,10.0,W (1 OT),-0.023751634831161272,0.007331252869373472,9,-2.275862068965509,-4.125,0.4580000000000001,0.42724999999999996,0.4428275862068966,-0.03179190751445075,-2.0669642857142847,0.009053979920997424,0.017922770712586755,-0.45918367346938893,-0.45918367346938893,0.42872023809523707,0.42872023809523707,0.003976521164021918,-1.8395042185735557,-0.5760778436946359,-1.8259210368913268,0.26424939767573774
2019-12-07,,Loyola (MD),L,48.0,64.0,18.0,54.0,0.333,2.0,17.0,0.118,10.0,16.0,0.625,12.0,35.0,5.0,2.0,4.0,13.0,17.0,,23.0,54.0,0.426,5.0,14.0,0.357,13.0,18.0,0.722,6.0,29.0,14.0,5.0,3.0,5.0,18.0,-16.0,0,9,56.0,61.5,68.125,0.027939052530257802,-0.027285829993796806,0.38312500000000005,0.4409999999999999,64.8125,-6.625,-0.10221793635486982,1,0,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-6.625,16.0,56.0,73.66666666666667,72.88888888888889,73.27777777777777,-0.7777777777777857,-0.010614101592115347,0,1,0.0,2019-12-07,@,Mount St. Mary's,1,48.0,64.0,5.0,2.0,W,0.0020244183839163155,-0.005832054411580911,10,-2.3548387096774235,-0.7777777777777857,0.43311111111111117,0.46811111111111114,0.4444516129032259,-0.03156756756756762,-4.232638888888886,-0.012764876598090592,-0.007432222807468668,-0.5200892857142847,-0.5200892857142847,-6.783641975308643,-6.783641975308643,-0.4256976446492573,-1.8395042185735557,-0.788550871853495,-1.8259210368913268,0.6481879531648033
2019-12-17,,American,L,76.0,82.0,25.0,56.0,0.446,5.0,20.0,0.25,21.0,26.0,0.808,6.0,25.0,14.0,9.0,5.0,8.0,17.0,,24.0,52.0,0.462,10.0,22.0,0.455,24.0,30.0,0.8,11.0,36.0,13.0,5.0,2.0,16.0,22.0,-6.0,0,10,79.0,60.0,67.66666666666667,0.008697860118333678,-0.0327361847639871,0.37755555555555564,0.43933333333333324,63.833333333333336,-7.666666666666671,-0.12010443864229772,1,0,-3.0967741935483915,0.4370967741935483,-0.04738400789733471,-7.666666666666671,6.0,79.0,73.125,72.625,72.875,-0.5,-0.00686106346483705,0,1,,2019-12-17,@,Mount St. Mary's,1,76.0,82.0,10.0,5.0,W,-0.008877202035041776,-0.05198590056542701,9,2.13333333333334,-0.5,0.4555,0.4665000000000001,0.4453999999999999,0.03023145961265952,-4.520833333333332,-0.02126419740417418,0.01704716181674738,-0.639870931537597,-0.639870931537597,-2.8457431457431444,-2.8457431457431444,-0.3877472527472545,-1.8395042185735557,-0.9625828538339315,-1.8259210368913268,-1.3244465032722608
