Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-12,@,Ole Miss,L,55.0,68.0,17.0,52.0,0.327,5.0,21.0,0.238,16.0,21.0,0.762,8.0,31.0,8.0,8.0,3.0,17.0,21.0,,26.0,51.0,0.51,5.0,15.0,0.333,11.0,17.0,0.647,5.0,32.0,14.0,12.0,3.0,12.0,16.0,-13.0,0,1,61.5,,,,,,,,,,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,,13.0,61.5,43.0,71.0,57.0,28.0,0.49122807017543857,1,0,0.0,2019-11-12,,Norfolk State,1,55.0,68.0,5.0,5.0,W,0.024503806910195935,0.10508028905890215,2,0.46875,28.0,0.326,0.446,0.42634374999999997,0.006816632583503749,,,,,,-28.0,-28.0,,-4.670076563577888,,-4.387127580762868,28.0
2019-11-19,@,Bradley,L,57.0,69.0,21.0,52.0,0.404,4.0,20.0,0.2,11.0,15.0,0.733,9.0,30.0,8.0,8.0,2.0,16.0,22.0,,24.0,57.0,0.421,6.0,24.0,0.25,15.0,23.0,0.652,14.0,33.0,19.0,4.0,6.0,12.0,16.0,-12.0,0,2,63.0,55.0,68.0,-0.04079708937661586,-0.09293612680977092,0.327,0.51,61.5,-13.0,-0.21138211382113822,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-13.0,12.0,63.0,66.0,78.66666666666667,72.33333333333333,12.666666666666671,0.17511520737327196,1,0,0.0,2019-11-19,,Norfolk State,1,57.0,69.0,6.0,4.0,W,-0.059287073968295356,0.05011200153247508,4,5.0,12.666666666666671,0.38666666666666666,0.41566666666666663,0.39639393939393947,0.07286376683594613,-5.416666666666664,-0.04521530499025188,0.07422877490904566,22.66666666666667,22.66666666666667,-15.111111111111112,-15.111111111111112,-3.3333333333333335,-4.670076563577888,0.46875,-4.387127580762868,11.932870370370372
2019-11-22,@,Northwestern,L,59.0,70.0,21.0,51.0,0.412,7.0,21.0,0.333,10.0,20.0,0.5,7.0,30.0,12.0,7.0,2.0,14.0,25.0,,19.0,56.0,0.339,5.0,22.0,0.227,27.0,30.0,0.9,13.0,41.0,15.0,5.0,1.0,10.0,16.0,-11.0,0,3,64.5,56.0,68.5,-0.07245293353245999,-0.07264844969512943,0.36550000000000005,0.4655,62.25,-12.5,-0.20080321285140562,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-12.5,11.0,64.5,67.0,63.0,65.0,-4.0,-0.06153846153846154,1,0,0.0,2019-11-22,,Norfolk State,1,59.0,70.0,5.0,7.0,W,-0.1230481716276981,0.07453533938864876,4,-5.161290322580641,-4.0,0.391,0.39966666666666667,0.42203225806451605,-0.07648183556405347,-1.375,-0.07348676064805901,0.09454765415689846,16.375,16.375,6.044444444444449,6.044444444444449,-9.98125,-4.670076563577888,2.734375,-4.387127580762868,-1.5012962962962952
2019-11-27,@,Monmouth,L,71.0,75.0,27.0,61.0,0.443,7.0,19.0,0.368,10.0,15.0,0.667,15.0,39.0,9.0,5.0,1.0,22.0,17.0,,28.0,58.0,0.483,8.0,22.0,0.364,11.0,15.0,0.733,4.0,24.0,16.0,12.0,4.0,13.0,18.0,-4.0,0,4,73.0,57.0,69.0,-0.03282260771792367,-0.08164030413287407,0.381,0.42333333333333334,63.0,-12.0,-0.19047619047619047,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-12.0,4.0,73.0,71.25,63.375,67.3125,-7.875,-0.116991643454039,1,0,0.0,2019-11-27,,Norfolk State,1,71.0,75.0,8.0,7.0,W,0.011919424878359952,-0.034576993682835955,9,0.6774193548387188,-7.875,0.428125,0.3982500000000001,0.42329032258064514,0.009551967250398127,-2.15625,0.03368838226624794,-0.031194638516229868,8.844444444444443,8.844444444444443,-1.4714285714285733,-1.4714285714285733,-3.125595238095237,-4.670076563577888,0.10248655913978648,-4.387127580762868,0.8961245748299317
2019-12-01,,Niagara,L,61.0,65.0,21.0,58.0,0.362,7.0,26.0,0.269,12.0,15.0,0.8,11.0,38.0,14.0,3.0,2.0,15.0,22.0,,22.0,55.0,0.4,8.0,28.0,0.286,13.0,20.0,0.65,6.0,30.0,15.0,5.0,2.0,9.0,15.0,-4.0,0,5,63.0,60.5,70.5,-0.02840039516173981,-0.05820521316771837,0.3965,0.43825000000000003,65.5,-10.0,-0.15267175572519084,1,0,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-10.0,4.0,63.0,79.4,59.8,69.6,-19.60000000000001,-0.281609195402299,0,1,0.0,2019-12-01,@,Norfolk State,1,61.0,65.0,8.0,7.0,W,-0.06268824170255077,0.011412665603919958,6,-6.6875,-19.60000000000001,0.49540000000000006,0.41899999999999993,0.45696875000000003,-0.09687641466727026,-2.049999999999997,-0.01800345003048368,0.06040515268920707,1.9742063492063497,1.9742063492063497,4.528571428571427,4.528571428571427,-1.3604269293924458,-4.670076563577888,0.24621975806451957,-4.387127580762868,-1.5977791950113391
2019-12-04,@,Southern Illinois,L,59.0,76.0,24.0,54.0,0.444,6.0,20.0,0.3,5.0,9.0,0.556,8.0,25.0,10.0,9.0,1.0,14.0,16.0,,26.0,54.0,0.481,14.0,30.0,0.467,10.0,11.0,0.909,11.0,33.0,21.0,8.0,2.0,14.0,12.0,-17.0,0,6,67.5,60.6,69.4,-0.01649465913359155,-0.03686730158515655,0.3896,0.4306,65.0,-8.800000000000004,-0.13538461538461544,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-8.800000000000004,17.0,67.5,64.14285714285714,61.142857142857146,62.642857142857146,-2.999999999999993,-0.04789053591790182,1,0,0.0,2019-12-04,,Norfolk State,1,59.0,76.0,14.0,6.0,W,-0.019131838739402607,-0.00617469617961236,8,-0.5483870967741922,-2.999999999999993,0.4121428571428571,0.4442857142857143,0.4356774193548387,-0.008787800465236473,1.178571428571427,0.010092051760479425,0.026558224125195897,-2.008730158730157,-2.008730158730157,0.07653061224490086,0.07653061224490086,0.6361946532999162,-4.670076563577888,-1.1405241935483843,-4.387127580762868,-0.7216958211856169
2019-12-07,@,Hampton,L,53.0,64.0,16.0,54.0,0.296,3.0,22.0,0.136,18.0,21.0,0.857,9.0,28.0,5.0,8.0,1.0,11.0,22.0,,20.0,43.0,0.465,5.0,16.0,0.313,19.0,27.0,0.704,9.0,37.0,12.0,5.0,6.0,18.0,13.0,-11.0,0,7,58.5,60.333333333333336,70.5,-0.015181820667424462,0.012716772647884511,0.39866666666666667,0.439,65.41666666666667,-10.166666666666664,-0.15541401273885347,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-10.166666666666664,11.0,58.5,88.5,70.0,79.25,-18.5,-0.2334384858044164,1,0,0.0,2019-12-07,,Norfolk State,1,53.0,64.0,5.0,3.0,W,-0.09209579067531715,-0.002789898827052384,7,-6.225806451612897,-18.5,0.49516666666666675,0.4283333333333333,0.4646774193548387,-0.07937487147851112,-6.916666666666664,0.006508129045475907,-0.03422223300495119,-1.7572751322751305,-1.7572751322751305,0.5562169312169326,0.5562169312169326,0.17380089717046387,-4.670076563577888,-1.0418346774193523,-4.387127580762868,-0.8904162205005451
2019-12-15,@,Loyola (IL),L,45.0,64.0,17.0,45.0,0.378,6.0,23.0,0.261,5.0,9.0,0.556,5.0,31.0,12.0,5.0,3.0,21.0,19.0,,21.0,50.0,0.42,8.0,19.0,0.421,14.0,23.0,0.609,6.0,27.0,16.0,13.0,2.0,12.0,10.0,-19.0,0,8,54.5,59.285714285714285,69.57142857142857,-0.03159665126051503,0.0006440157195200524,0.38399999999999995,0.44271428571428567,64.42857142857143,-10.285714285714285,-0.15964523281596452,0,1,0,1.6296296296296333,0.4106296296296296,0.02439024390243908,-10.285714285714285,19.0,54.5,65.22222222222223,71.11111111111111,68.16666666666667,5.888888888888886,0.0863895680521597,1,0,0.0,2019-12-15,,Norfolk State,1,45.0,64.0,8.0,6.0,W,-0.10727436210388855,0.06978057827089845,10,5.161290322580648,5.888888888888886,0.43555555555555553,0.5131111111111111,0.4438387096774194,0.07889546351084817,-1.8690476190476204,-0.04695564498952869,-0.008311821430732882,-2.319387755102041,-2.319387755102041,-2.016746525079859,-2.016746525079859,-1.0429417122040079,-4.670076563577888,-1.7824020737327158,-4.387127580762868,0.42010248652083604
2019-12-20,N,Bowling Green State,W (1 OT),72.0,67.0,25.0,63.0,0.397,11.0,28.0,0.393,11.0,13.0,0.846,10.0,33.0,15.0,7.0,1.0,12.0,14.0,,26.0,64.0,0.406,8.0,29.0,0.276,7.0,9.0,0.778,12.0,37.0,16.0,3.0,3.0,14.0,18.0,5.0,1,9,69.5,57.5,68.875,-0.02004610123432332,0.007709757678325602,0.38325,0.43987499999999996,63.1875,-11.375,-0.18001978239366964,0,0,1,1.6296296296296333,0.4106296296296296,0.02439024390243908,-11.375,-5.0,69.5,71.875,75.0,73.4375,3.125,0.0425531914893617,0,0,1.0,2019-12-20,N,Norfolk State,0,72.0,67.0,8.0,11.0,L (1 OT),0.03647563789611141,0.00995389876567665,9,0.2758620689655231,3.125,0.42875,0.415875,0.4266896551724138,0.0037664783427496097,-5.125,-0.014125751743994374,0.01676956556805719,-0.8404671717171706,-0.8404671717171706,1.7815656565656584,1.7815656565656584,-1.2274128824761745,-4.670076563577888,-0.9144405241935454,-4.387127580762868,0.530971860105383
2019-12-21,N,Drexel,L,49.0,53.0,20.0,51.0,0.392,1.0,13.0,0.077,8.0,10.0,0.8,7.0,29.0,8.0,8.0,3.0,16.0,21.0,,18.0,56.0,0.321,5.0,23.0,0.217,12.0,15.0,0.8,13.0,33.0,12.0,4.0,1.0,14.0,14.0,-4.0,0,10,51.0,59.111111111111114,68.66666666666667,0.0022651115803219435,0.011718356342713399,0.3847777777777778,0.4361111111111111,63.888888888888886,-9.555555555555557,-0.14956521739130438,0,0,1,1.6296296296296333,0.4106296296296296,0.02439024390243908,-9.555555555555557,4.0,51.0,73.72727272727273,69.81818181818181,71.77272727272727,-3.9090909090909207,-0.054464851171627776,0,0,1.0,2019-12-21,N,Norfolk State,1,49.0,53.0,5.0,1.0,W,0.03413188789611149,-0.0730804656797209,12,-3.1875,-3.555555555555557,0.4493636363636364,0.4508181818181818,0.4530624999999999,-0.04592525889239082,-3.9419191919191903,-0.012866056470669487,0.019999240610987727,-0.5001683501683485,-0.5001683501683485,1.0763216581398403,1.0763216581398403,-0.881674260083352,-4.670076563577888,-0.7821846805092044,-4.387127580762868,-0.8271774215989107
