Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,@,Texas,L,45.0,69.0,15.0,55.0,0.273,2.0,21.0,0.095,13.0,22.0,0.591,11.0,34.0,3.0,4.0,2.0,15.0,9.0,,29.0,64.0,0.453,7.0,27.0,0.259,4.0,5.0,0.8,10.0,36.0,9.0,4.0,4.0,15.0,19.0,-24.0,0,1,57.0,,,,,,,,,,0,1,0,8.517241379310349,0.4508620689655172,0.12452735064280318,,24.0,57.0,,,,,,1,0,0.0,2019-11-05,,Northern Colorado,1,45.0,69.0,7.0,2.0,W,,,1,0.8709677419354804,,,,0.4253548387096774,0.013667425968109286,,,,,,,,,-1.5384685310525519,,-1.4638911948134499,
2019-11-08,,Incarnate Word,W,83.0,61.0,28.0,55.0,0.509,14.0,32.0,0.438,13.0,15.0,0.867,7.0,35.0,20.0,4.0,3.0,10.0,15.0,,22.0,56.0,0.393,5.0,15.0,0.333,12.0,16.0,0.75,5.0,21.0,5.0,4.0,0.0,8.0,20.0,22.0,1,2,72.0,45.0,69.0,-0.18019102877055523,-0.009176536016932024,0.273,0.453,57.0,-24.0,-0.42105263157894735,1,0,0,8.517241379310349,0.4508620689655172,0.12452735064280318,-24.0,-22.0,72.0,82.0,42.0,62.0,-40.0,-0.6451612903225806,0,1,,2019-11-08,@,Northern Colorado,0,83.0,61.0,5.0,14.0,L,-0.17066721924674572,-0.057426801128278804,2,-11.714285714285708,-40.0,0.444,0.268,0.4708571428571429,-0.1674323634507401,-2.5,0.1017241091104102,0.03957440946277526,24.0,24.0,40.0,40.0,-24.0,-1.5384685310525519,0.8709677419354804,-1.4638911948134499,-40.0
2019-11-16,@,Northern Iowa,L (1 OT),72.0,77.0,27.0,60.0,0.45,9.0,24.0,0.375,9.0,15.0,0.6,5.0,36.0,9.0,7.0,0.0,17.0,12.0,,30.0,63.0,0.476,5.0,15.0,0.333,12.0,17.0,0.706,6.0,32.0,6.0,6.0,0.0,12.0,14.0,-5.0,0,3,74.5,64.0,65.0,0.061475637896111435,-0.03660128518081163,0.391,0.42300000000000004,64.5,-1.0,-0.015503875968992248,0,1,0,8.517241379310349,0.4508620689655172,0.12452735064280318,-1.0,5.0,74.5,54.0,63.0,58.5,9.0,0.15384615384615385,1,0,0.0,2019-11-16,,Northern Colorado,1,72.0,77.0,5.0,9.0,W (1 OT),0.11504706646753998,-0.09130213988166636,4,8.379310344827587,9.0,0.38233333333333336,0.39833333333333326,0.4231379310344827,0.12086545635414077,3.0,-0.07491900486862753,-0.06489122043076567,-8.625,-8.625,-2.2222222222222214,-2.2222222222222214,-0.16666666666666666,-1.5384685310525519,-5.421658986175114,-1.4638911948134499,2.0277777777777795
2019-11-18,@,West Virginia,L,61.0,69.0,20.0,53.0,0.377,8.0,30.0,0.267,13.0,17.0,0.765,6.0,23.0,12.0,8.0,2.0,12.0,20.0,,26.0,54.0,0.481,4.0,9.0,0.444,13.0,19.0,0.684,12.0,36.0,12.0,7.0,2.0,15.0,15.0,-8.0,0,4,65.0,66.66666666666667,69.0,0.061475637896111435,-0.06714755050968566,0.4106666666666667,0.4406666666666667,67.83333333333333,-2.3333333333333286,-0.03439803439803433,0,1,0,8.517241379310349,0.4508620689655172,0.12452735064280318,-2.3333333333333286,8.0,65.0,68.5,81.0,74.75,12.5,0.16722408026755853,1,0,0.0,2019-11-18,,Northern Colorado,1,61.0,69.0,4.0,8.0,W,-0.07278362136314784,-0.05075063947615133,3,7.8709677419354875,12.5,0.33899999999999997,0.429,0.3936774193548387,0.11861934856587268,-3.4583333333333357,-0.05585631508998761,0.0699088112598105,0.1388888888888881,0.1388888888888881,-0.5,-0.5,-1.333333333333333,-1.5384685310525519,-0.8213358758408802,-1.4638911948134499,-0.2291666666666652
2019-11-26,N,Boston University,W,78.0,55.0,30.0,56.0,0.536,11.0,21.0,0.524,7.0,13.0,0.538,7.0,34.0,9.0,4.0,3.0,13.0,15.0,,22.0,57.0,0.386,3.0,13.0,0.231,8.0,12.0,0.667,6.0,22.0,4.0,7.0,3.0,9.0,13.0,23.0,1,5,66.5,65.25,69.0,0.06578598272369762,-0.08526349253867119,0.40225,0.45075,67.125,-3.75,-0.055865921787709494,0,0,1,8.517241379310349,0.4508620689655172,0.12452735064280318,-3.75,-23.0,66.5,68.6,64.0,66.3,-4.599999999999994,-0.06938159879336342,0,0,1.0,2019-11-26,N,Northern Colorado,0,78.0,55.0,3.0,11.0,L,-0.00414936210388861,-0.08611911429047744,6,3.424242424242422,-4.599999999999994,0.4484,0.4164,0.4392424242424242,0.04994475138121544,0.4125000000000014,-0.0752690544971404,0.01880928241015992,3.658333333333328,3.658333333333328,7.98857142857143,7.98857142857143,-1.30654761904762,-1.5384685310525519,1.3517400286032117,-1.4638911948134499,-4.556608843537414
2019-11-27,N,Gardner-Webb,L,62.0,67.0,21.0,64.0,0.328,13.0,35.0,0.371,7.0,14.0,0.5,10.0,32.0,17.0,6.0,1.0,8.0,15.0,,28.0,58.0,0.483,4.0,14.0,0.286,7.0,12.0,0.583,7.0,40.0,10.0,5.0,8.0,9.0,10.0,-5.0,0,6,64.5,67.8,66.2,0.07585616886956281,-0.0960017034936167,0.429,0.4378,67.0,1.5999999999999943,0.023880597014925287,0,0,1,8.517241379310349,0.4508620689655172,0.12452735064280318,1.5999999999999943,5.0,64.5,71.66666666666667,64.16666666666667,67.91666666666667,-7.5,-0.11042944785276072,0,0,1.0,2019-11-27,N,Northern Colorado,1,62.0,67.0,4.0,13.0,W,0.06829381971429321,-0.013524362103888576,7,0.2666666666666657,-7.5,0.42766666666666664,0.413,0.42456666666666665,0.0037261294829995214,-0.4583333333333357,-0.032029772019258704,-0.08097112467205882,0.49999999999999717,0.49999999999999717,8.263888888888888,8.263888888888888,1.4641156462585019,-1.5384685310525519,1.766240507731054,-1.4638911948134499,-3.817288359788359
2019-12-14,@,Wyoming,W,74.0,53.0,26.0,55.0,0.473,11.0,31.0,0.355,11.0,14.0,0.786,8.0,32.0,10.0,4.0,3.0,6.0,19.0,,20.0,45.0,0.444,2.0,11.0,0.182,11.0,18.0,0.611,3.0,24.0,7.0,2.0,3.0,8.0,15.0,21.0,1,7,63.5,66.83333333333333,66.33333333333333,0.11290955310808154,-0.10246908572197899,0.4121666666666666,0.44533333333333336,66.58333333333333,0.5,0.007509386733416772,0,1,0,8.517241379310349,0.4508620689655172,0.12452735064280318,0.5,-21.0,63.5,64.4,57.7,61.05,-6.700000000000003,-0.1097461097461098,1,0,0.0,2019-12-14,,Northern Colorado,0,74.0,53.0,2.0,11.0,L,0.0400284975148289,0.05448806025635988,11,-7.875,-5.888888888888893,0.41079999999999994,0.4022,0.43315625,-0.11920529801324503,2.7666666666666657,0.07843610478135572,-0.0640443872885753,-0.38095238095238076,-0.38095238095238076,0.3738888888888908,0.3738888888888908,0.7855790043290044,-1.5384685310525519,1.5163115342203224,-1.4638911948134499,0.004224113849112543
2019-12-17,,Denver,W,86.0,64.0,28.0,58.0,0.483,9.0,19.0,0.474,21.0,28.0,0.75,8.0,28.0,9.0,8.0,2.0,13.0,26.0,,23.0,46.0,0.5,2.0,8.0,0.25,16.0,27.0,0.593,5.0,31.0,5.0,8.0,6.0,25.0,24.0,22.0,1,8,75.0,67.85714285714286,64.42857142857143,0.11594932210663766,-0.11396782108393291,0.4208571428571428,0.4451428571428572,66.14285714285714,3.4285714285714306,0.051835853131749494,1,0,0,8.517241379310349,0.4508620689655172,0.12452735064280318,3.4285714285714306,-22.0,75.0,73.18181818181819,63.0,68.0909090909091,-10.181818181818187,-0.1495327102803739,0,1,0.0,2019-12-17,@,Northern Colorado,0,86.0,64.0,2.0,9.0,L,-0.07110011967964613,-0.011661008066621514,12,-8.066666666666663,-11.44444444444445,0.4703636363636364,0.43654545454545457,0.4524999999999999,-0.11080586080586076,-0.9740259740259773,-0.03677072178248338,0.09001736342893035,-1.39954648526077,-1.39954648526077,-0.9541975701066634,-0.9541975701066634,1.1400519049772793,-1.5384685310525519,0.1746956007602764,-1.4638911948134499,-0.3407697365892966
2019-12-20,N,South Dakota,W,87.0,68.0,32.0,62.0,0.516,10.0,24.0,0.417,13.0,18.0,0.722,7.0,30.0,14.0,5.0,1.0,7.0,18.0,,27.0,56.0,0.482,0.0,8.0,0.0,14.0,18.0,0.778,4.0,28.0,6.0,4.0,3.0,12.0,16.0,19.0,1,9,77.5,70.125,64.375,0.09824034377846436,-0.1271165951135973,0.428625,0.452,67.25,5.75,0.08550185873605948,0,0,1,8.517241379310349,0.4508620689655172,0.12452735064280318,5.75,-19.0,77.5,71.4,73.7,72.55,2.299999999999997,0.03170227429359059,0,0,1.0,2019-12-20,N,Northern Colorado,0,87.0,68.0,0.0,10.0,L,-0.020444307829804442,-0.04461679907867844,11,2.103448275862064,1.0,0.4298,0.4849,0.4601724137931035,0.02747129024994364,-2.6499999999999986,-0.0662055109472319,0.05097853274446998,-2.365972222222222,-2.365972222222222,-3.794444444444443,-3.794444444444443,0.7150223918742433,-1.5384685310525519,-0.855474682668091,-1.4638911948134499,0.7525706854873523
2019-12-28,@,Portland State,L,65.0,69.0,26.0,58.0,0.448,5.0,23.0,0.217,8.0,15.0,0.533,8.0,29.0,12.0,4.0,3.0,15.0,14.0,,30.0,59.0,0.508,5.0,9.0,0.556,4.0,11.0,0.364,7.0,27.0,14.0,7.0,7.0,12.0,17.0,-4.0,0,10,67.0,72.0,64.77777777777777,0.08925341567388922,-0.14885883894779936,0.4383333333333333,0.4553333333333333,68.38888888888889,7.2222222222222285,0.10560519902518288,0,1,0,8.517241379310349,0.4508620689655172,0.12452735064280318,7.2222222222222285,4.0,67.0,77.2,76.5,76.85,-0.7000000000000028,-0.009108653220559568,1,0,0.0,2019-12-28,,Northern Colorado,1,65.0,69.0,5.0,5.0,W,-0.023328283672515993,-0.09202177143031343,11,0.9333333333333371,-1.8888888888888857,0.47729999999999995,0.4197,0.47853333333333337,0.012126461671719407,-4.230555555555554,-0.09062702365474323,0.058928950628155896,-2.2456746956746962,-2.2456746956746962,-1.1569735819735854,-1.1569735819735854,0.3749437229437239,-1.5384685310525519,-0.5267054650536294,-1.4638911948134499,-0.18595284167399578
