Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-05,,Arkansas-Pine Bluff,W,70.0,41.0,20.0,54.0,0.37,7.0,21.0,0.333,23.0,35.0,0.657,12.0,37.0,11.0,9.0,5.0,12.0,22.0,,13.0,45.0,0.289,4.0,12.0,0.333,11.0,19.0,0.579,5.0,28.0,5.0,4.0,3.0,21.0,21.0,29.0,1,1,55.5,,,,,,,,,,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,,-29.0,55.5,,,,,,0,1,,2019-11-05,@,South Florida,0,70.0,41.0,4.0,7.0,L,,,1,-15.241379310344819,,,,0.4329655172413794,-0.2509937535491197,,,,,,,,,2.3193358876117496,,2.182422786782494,
2019-11-10,,Boston College,L,60.0,74.0,22.0,61.0,0.361,6.0,27.0,0.222,10.0,18.0,0.556,11.0,28.0,5.0,18.0,4.0,19.0,23.0,,25.0,50.0,0.5,8.0,21.0,0.381,16.0,24.0,0.667,11.0,38.0,16.0,9.0,5.0,25.0,15.0,-14.0,0,2,67.0,70.0,41.0,-0.013524362103888576,-0.02084143527462029,0.37,0.289,55.5,29.0,0.5225225225225225,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,29.0,14.0,67.0,70.0,77.0,73.5,7.0,0.09523809523809523,0,1,0.0,2019-11-10,@,South Florida,1,60.0,74.0,8.0,6.0,W,-0.0797581283376548,-0.09923864781817429,2,-6.03125,7.0,0.419,0.435,0.44562500000000005,-0.08920730298128034,-9.0,0.03663522086453501,0.04077099298979719,-39.5,-39.5,-7.0,-7.0,34.75,2.3193358876117496,-15.241379310344819,2.182422786782494,7.0
2019-11-13,,IUPUI,L,53.0,70.0,20.0,54.0,0.37,5.0,23.0,0.217,8.0,18.0,0.444,15.0,32.0,8.0,12.0,3.0,22.0,14.0,,25.0,49.0,0.51,10.0,19.0,0.526,10.0,13.0,0.769,6.0,27.0,15.0,10.0,1.0,19.0,18.0,-17.0,0,3,61.5,65.0,57.5,-0.013524362103888576,-0.00048088384301897547,0.3655,0.39449999999999996,61.25,7.5,0.12244897959183673,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,7.5,17.0,61.5,85.0,51.5,68.25,-33.5,-0.4908424908424908,0,1,0.0,2019-11-13,@,South Florida,1,53.0,70.0,10.0,5.0,W,-0.022262226181558487,-0.048818479750947386,3,-11.5,-33.5,0.5355,0.36,0.47426666666666667,-0.1515484296068526,-3.5,0.025695112327311677,0.00327193289667522,-14.5,-14.5,18.416666666666664,18.416666666666664,12.458333333333334,2.3193358876117496,-10.63631465517241,2.182422786782494,-17.208333333333332
2019-11-21,,Wofford,W,69.0,55.0,26.0,47.0,0.553,9.0,20.0,0.45,8.0,17.0,0.471,7.0,27.0,11.0,9.0,0.0,15.0,19.0,,22.0,46.0,0.478,6.0,19.0,0.316,5.0,10.0,0.5,5.0,20.0,11.0,9.0,1.0,16.0,14.0,14.0,1,4,62.0,61.0,61.666666666666664,-0.018442394890773817,0.04323239465286821,0.367,0.433,61.333333333333336,-0.6666666666666643,-0.010869565217391266,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,-0.6666666666666643,-14.0,62.0,74.0,71.25,72.625,-2.75,-0.0378657487091222,0,1,0.0,2019-11-21,@,South Florida,0,69.0,55.0,6.0,9.0,L,0.06542300631716408,0.02093509735557092,5,1.6666666666666714,-2.75,0.50625,0.41875000000000007,0.4458484848484849,0.023939064200217696,-5.645833333333332,-0.01964925781062057,0.05318264029249326,-12.266666666666666,-12.266666666666666,5.3750000000000036,5.3750000000000036,5.384615384615385,2.3193358876117496,-10.92420977011494,2.182422786782494,-2.5495833333333326
2019-11-25,N,Loyola (IL),W,66.0,55.0,22.0,44.0,0.5,10.0,21.0,0.476,12.0,23.0,0.522,5.0,23.0,12.0,9.0,0.0,15.0,17.0,,18.0,35.0,0.514,2.0,9.0,0.222,17.0,25.0,0.68,1.0,20.0,4.0,6.0,2.0,17.0,19.0,11.0,1,5,60.5,63.0,60.0,0.007904209324682887,0.03647563789611141,0.4135,0.44425,61.5,3.0,0.04878048780487805,0,0,1,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,3.0,-11.0,60.5,68.2,77.4,72.8,9.200000000000003,0.12637362637362642,0,0,1.0,2019-11-25,N,South Florida,0,66.0,55.0,2.0,10.0,L,-0.11972591249148548,0.047179450212826934,6,5.161290322580648,9.200000000000003,0.4246,0.5376,0.4438387096774194,0.07889546351084817,-5.649999999999999,0.019311039596708372,-0.0660838787513335,-10.920833333333336,-10.920833333333336,-5.495238095238095,-5.495238095238095,6.0525,2.3193358876117496,-7.776490660919537,2.182422786782494,3.661757369614513
2019-11-26,N,New Mexico State,L,45.0,65.0,16.0,47.0,0.34,5.0,16.0,0.313,8.0,11.0,0.727,8.0,25.0,7.0,5.0,4.0,15.0,14.0,,24.0,50.0,0.48,11.0,21.0,0.524,6.0,10.0,0.6,7.0,30.0,12.0,7.0,2.0,11.0,12.0,-20.0,0,6,55.0,63.6,59.0,0.035532241669696374,-0.008439616341176681,0.43079999999999996,0.4582,61.3,4.600000000000001,0.07504078303425778,0,0,1,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,4.600000000000001,20.0,55.0,71.8,67.4,69.6,-4.3999999999999915,-0.06321839080459758,0,0,1.0,2019-11-26,N,South Florida,1,45.0,65.0,11.0,5.0,W,0.024754569646853186,-0.054471437312802184,6,8.344827586206904,-4.3999999999999915,0.49260000000000004,0.414,0.43434482758620696,0.12756984712704283,-4.149999999999999,-0.04399423001592599,-0.014454033018862882,-7.0,-7.0,4.933333333333333,4.933333333333333,3.107142857142858,2.3193358876117496,-5.1889344642195,2.182422786782494,-2.5739285714285702
2019-11-27,N,Nebraska,L,67.0,74.0,27.0,70.0,0.386,8.0,27.0,0.296,5.0,6.0,0.833,16.0,38.0,12.0,4.0,3.0,8.0,15.0,,27.0,49.0,0.551,6.0,14.0,0.429,14.0,19.0,0.737,3.0,24.0,10.0,2.0,1.0,9.0,10.0,-7.0,0,7,70.5,60.5,60.0,0.03358307591264037,0.02814230456277811,0.41566666666666663,0.4618333333333333,60.25,0.5,0.008298755186721992,0,0,1,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,0.5,7.0,70.5,76.66666666666667,76.0,76.33333333333333,-0.6666666666666714,-0.008733624454148534,0,0,1.0,2019-11-27,N,South Florida,1,67.0,74.0,6.0,8.0,W,0.008844058948743017,-0.020046101234323377,7,-8.25,-0.6666666666666714,0.4186666666666667,0.44116666666666654,0.4528125,-0.11153358681875793,-8.041666666666664,-0.025946285659121916,0.015776317710628457,-4.957142857142862,-4.957142857142862,1.2876984126984137,1.2876984126984137,1.52628968253968,2.3193358876117496,-2.933307455815099,2.182422786782494,-2.4686044973544967
2019-12-02,,Furman,W,65.0,55.0,21.0,53.0,0.396,9.0,23.0,0.391,14.0,22.0,0.636,12.0,43.0,13.0,5.0,3.0,15.0,16.0,,20.0,56.0,0.357,7.0,28.0,0.25,8.0,12.0,0.667,4.0,28.0,10.0,8.0,0.0,9.0,20.0,10.0,1,8,60.0,61.42857142857143,62.0,0.035312847198437025,0.011360430522839526,0.4114285714285714,0.4745714285714286,61.714285714285715,-0.5714285714285694,-0.009259259259259226,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,-0.5714285714285694,-10.0,60.0,62.0,79.33333333333333,70.66666666666667,17.33333333333333,0.24528301886792445,0,1,0.0,2019-12-02,@,South Florida,0,65.0,55.0,7.0,9.0,L,0.07723194041711984,-0.03933081371679181,7,8.344827586206904,17.33333333333333,0.42283333333333334,0.46416666666666667,0.4424137931034482,0.1167390255668115,-4.476190476190478,-0.0372677208180385,0.02962073755416586,-4.784693877551024,-4.784693877551024,-7.749007936507937,-7.749007936507937,1.3003224206349202,2.3193358876117496,-3.692834962127228,2.182422786782494,3.85496307319224
2019-12-06,,Dartmouth,W,63.0,44.0,23.0,47.0,0.489,8.0,22.0,0.364,9.0,19.0,0.474,7.0,29.0,11.0,11.0,1.0,17.0,19.0,,15.0,44.0,0.341,6.0,21.0,0.286,8.0,10.0,0.8,5.0,22.0,8.0,5.0,0.0,19.0,19.0,19.0,1,9,53.5,61.875,61.125,0.04405139547186904,0.017763981454393618,0.4095,0.45987500000000003,61.5,0.75,0.012195121951219513,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,0.75,-19.0,53.5,64.14285714285714,63.42857142857143,63.785714285714285,-0.7142857142857082,-0.011198208286674036,0,1,0.0,2019-12-06,@,South Florida,0,63.0,44.0,6.0,8.0,L,0.0986378000582735,0.08736650649299343,8,-0.9642857142857153,-0.7142857142857082,0.40499999999999997,0.4192857142857144,0.424,-0.015004167824395682,-1.1428571428571423,0.06203721889735603,0.041859288705583086,-2.845238095238096,-2.845238095238096,-3.8678004535147372,-3.8678004535147372,0.9166477702191985,2.3193358876117496,-2.1881271435854615,2.182422786782494,1.4839587157614378
2019-12-15,,Drexel,W,81.0,61.0,28.0,63.0,0.444,7.0,22.0,0.318,18.0,26.0,0.692,17.0,36.0,12.0,9.0,1.0,8.0,19.0,,19.0,41.0,0.463,11.0,24.0,0.458,12.0,23.0,0.522,5.0,22.0,10.0,3.0,1.0,15.0,20.0,20.0,1,10,71.0,62.0,59.22222222222222,0.04669069165955231,0.024186707314497957,0.4183333333333333,0.4466666666666667,60.611111111111114,2.7777777777777786,0.04582951420714942,1,0,0,-0.032258064516128115,0.44351612903225796,-0.0005145356315924732,2.7777777777777786,-20.0,71.0,74.11111111111111,70.55555555555556,72.33333333333333,-3.555555555555557,-0.049155145929339505,0,1,0.0,2019-12-15,@,South Florida,0,81.0,61.0,11.0,7.0,L,0.007735480415796414,-0.09313455700643727,10,-3.1875,-3.555555555555557,0.45577777777777784,0.4562222222222222,0.4530624999999999,-0.04592525889239082,-5.861111111111107,-0.06594328535974348,0.013678296705142014,-2.5754769921436593,-2.5754769921436593,0.5775813692480362,0.5775813692480362,0.6426378538447498,2.3193358876117496,-2.0521447625521563,2.182422786782494,0.46619287613184845
