Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-06,,Northwestern State,W,77.0,63.0,28.0,50.0,0.56,4.0,15.0,0.267,17.0,28.0,0.607,8.0,38.0,15.0,4.0,4.0,14.0,11.0,,25.0,73.0,0.342,9.0,38.0,0.237,4.0,7.0,0.571,18.0,37.0,14.0,5.0,1.0,13.0,23.0,14.0,1,1,70.0,,,,,,,,,,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,,-14.0,70.0,,,,,,0,1,0.0,2019-11-06,@,Texas A&M,0,77.0,63.0,9.0,4.0,L,,,1,-2.925925925925924,,,,0.41959259259259263,-0.038489646772228964,,,,,,,,,2.1849398356421474,,2.1757779748291237,
2019-11-11,,Louisiana-Monroe,W,63.0,57.0,23.0,54.0,0.426,5.0,12.0,0.417,12.0,21.0,0.571,10.0,31.0,9.0,8.0,4.0,13.0,7.0,,23.0,55.0,0.418,8.0,28.0,0.286,3.0,5.0,0.6,9.0,33.0,12.0,9.0,7.0,20.0,17.0,6.0,1,2,60.0,77.0,63.0,-0.15768020625973272,0.11504706646753998,0.56,0.342,70.0,14.0,0.2,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,14.0,-6.0,60.0,72.0,73.0,72.5,1.0,0.013793103448275862,0,1,,2019-11-11,@,Texas A&M,0,63.0,57.0,8.0,5.0,L,-0.23133258128197076,0.061475637896111435,2,-6.333333333333336,1.0,0.384,0.538,0.4241851851851852,-0.09680158505519393,-1.25,-0.09845552936939343,-0.16313839172572006,-14.0,-14.0,-9.5,-9.5,14.0,2.1849398356421474,-2.925925925925924,2.1757779748291237,7.75
2019-11-15,,Gonzaga,L,49.0,79.0,17.0,56.0,0.304,3.0,20.0,0.15,12.0,16.0,0.75,8.0,24.0,5.0,9.0,5.0,18.0,15.0,,31.0,63.0,0.492,7.0,19.0,0.368,10.0,15.0,0.667,15.0,42.0,20.0,10.0,6.0,15.0,18.0,-30.0,0,3,64.0,70.0,60.0,-0.1206672192467457,0.11147563789611142,0.493,0.38,65.0,10.0,0.15384615384615385,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,10.0,30.0,64.0,63.333333333333336,100.66666666666667,82.0,37.333333333333336,0.4552845528455285,0,1,0.0,2019-11-15,@,Texas A&M,1,49.0,79.0,7.0,3.0,W,-0.05524621640852434,-0.029313835788099096,4,19.575757575757578,37.333333333333336,0.416,0.5926666666666667,0.42436363636363633,0.25214676034348166,-8.5,0.059474524378137356,-0.07847679412085376,-8.666666666666668,-8.666666666666668,-31.055555555555554,-31.055555555555554,2.8333333333333357,2.1849398356421474,-4.62962962962963,2.1757779748291237,26.85185185185186
2019-11-20,,Troy,W,56.0,52.0,17.0,53.0,0.321,5.0,28.0,0.179,17.0,23.0,0.739,7.0,40.0,10.0,4.0,8.0,14.0,16.0,,21.0,66.0,0.318,7.0,30.0,0.233,3.0,9.0,0.333,10.0,39.0,9.0,6.0,2.0,15.0,19.0,4.0,1,4,54.0,63.0,66.33333333333333,-0.1230481716276981,0.0482846831222421,0.43,0.41733333333333333,64.66666666666667,-3.3333333333333286,-0.05154639175257724,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-3.3333333333333286,-4.0,54.0,83.33333333333333,68.33333333333333,75.83333333333333,-15.0,-0.19780219780219782,0,1,,2019-11-20,@,Texas A&M,0,56.0,52.0,7.0,5.0,L,0.08159758911562365,0.034475637896111466,4,-7.689655172413794,-15.0,0.48333333333333334,0.3913333333333333,0.4597931034482758,-0.10854222438549527,-5.583333333333329,-0.0651318985506725,0.06276873213620615,2.1999999999999957,2.1999999999999957,11.583333333333334,11.583333333333334,-6.90151515151515,2.1849398356421474,3.4388327721661063,2.1757779748291237,-10.854166666666666
2019-11-28,N,Harvard,L,51.0,62.0,16.0,51.0,0.314,5.0,20.0,0.25,14.0,23.0,0.609,6.0,30.0,7.0,11.0,3.0,16.0,19.0,,17.0,53.0,0.321,6.0,29.0,0.207,22.0,22.0,1.0,9.0,40.0,11.0,10.0,2.0,16.0,17.0,-11.0,0,5,56.5,61.25,62.75,-0.10536109679776612,0.05699356618296403,0.40275,0.3925,62.0,-1.5,-0.024193548387096774,0,0,1,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-1.5,11.0,56.5,69.6,72.6,71.1,3.0,0.042194092827004225,0,0,1.0,2019-11-28,N,Texas A&M,1,51.0,62.0,6.0,5.0,W,0.0005252246729709475,0.05716529306852519,6,4.607142857142861,3.0,0.44580000000000003,0.4476,0.41396428571428584,0.06563215466802347,-4.549999999999997,-0.07760797624255866,0.005471236346557817,-0.2589285714285712,-0.2589285714285712,-4.849999999999997,-4.849999999999997,-6.259637188208616,2.1849398356421474,0.6567107860211312,2.1757779748291237,2.4745476190476206
2019-11-29,N,Temple,L,42.0,65.0,13.0,58.0,0.224,6.0,33.0,0.182,10.0,13.0,0.769,10.0,33.0,8.0,7.0,0.0,13.0,15.0,,22.0,50.0,0.44,10.0,27.0,0.37,11.0,17.0,0.647,5.0,38.0,11.0,7.0,3.0,11.0,13.0,-23.0,0,6,53.5,59.2,62.6,-0.0905513891309156,0.04110822575553641,0.385,0.3782,60.9,-3.3999999999999986,-0.05582922824302133,0,0,1,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-3.3999999999999986,23.0,53.5,64.2,70.8,67.5,6.599999999999994,0.0977777777777777,0,0,1.0,2019-11-29,N,Texas A&M,1,42.0,65.0,10.0,6.0,W,0.025458688743569102,0.09769059116713946,6,0.4193548387096797,6.599999999999994,0.377,0.3814,0.4013225806451614,0.0061596778014688805,-3.3000000000000007,-0.09405327604716825,0.03235060315219134,-0.03333333333333286,-0.03333333333333286,3.7523809523809533,3.7523809523809533,-5.499404761904762,2.1849398356421474,1.4467972002454772,2.1757779748291237,0.4151360544217684
2019-12-01,N,Fairfield,L,62.0,67.0,19.0,43.0,0.442,9.0,27.0,0.333,15.0,18.0,0.833,4.0,21.0,14.0,9.0,1.0,12.0,16.0,,22.0,51.0,0.431,12.0,29.0,0.414,11.0,14.0,0.786,9.0,30.0,16.0,5.0,0.0,13.0,16.0,-5.0,0,7,64.5,56.333333333333336,63.0,-0.06500365204471698,0.05949151091198446,0.3581666666666667,0.3885,59.666666666666664,-6.666666666666664,-0.11173184357541896,0,0,1,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-6.666666666666664,5.0,64.5,67.42857142857143,60.714285714285715,64.07142857142857,-6.714285714285715,-0.10479375696767003,0,0,1.0,2019-12-01,N,Texas A&M,1,62.0,67.0,12.0,9.0,W,-0.024112597398006252,0.03605190908255207,8,-4.84375,-6.714285714285715,0.44371428571428567,0.41200000000000003,0.42240625,-0.08012406306539158,-2.2023809523809526,-0.04840976919538025,-0.03787472575768407,0.45701058201058115,0.45701058201058115,-0.16128117913832693,-0.16128117913832693,-3.2728505291005296,2.1849398356421474,1.2755568066561775,2.1757779748291237,0.5833019517330735
2019-12-08,N,Texas,L,50.0,60.0,20.0,42.0,0.476,3.0,11.0,0.273,7.0,13.0,0.538,6.0,29.0,14.0,7.0,3.0,21.0,11.0,,23.0,55.0,0.418,9.0,29.0,0.31,5.0,6.0,0.833,8.0,21.0,19.0,10.0,3.0,13.0,13.0,-10.0,0,8,55.0,57.142857142857146,63.57142857142857,-0.036024362103888596,0.08422844688487546,0.37014285714285716,0.3945714285714286,60.357142857142854,-6.4285714285714235,-0.10650887573964489,0,0,1,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-6.4285714285714235,10.0,55.0,59.5,68.0,63.75,8.5,0.13333333333333333,0,0,1.0,2019-12-08,N,Texas A&M,1,50.0,60.0,9.0,3.0,W,0.061475637896111435,-0.06772604277615749,9,0.8709677419354804,8.5,0.407125,0.4485,0.4253548387096774,0.013667425968109286,-1.696428571428573,0.04939420501265048,0.07195830390751619,-0.08917233560090564,-0.08917233560090564,-0.3348214285714288,-0.3348214285714288,-2.391602297484649,2.1849398356421474,0.4013701199910094,2.1757779748291237,0.7907071709155049
2019-12-15,,Texas A&M-Corpus Christi,W,63.0,60.0,20.0,49.0,0.408,5.0,22.0,0.227,18.0,23.0,0.783,13.0,35.0,12.0,5.0,2.0,11.0,14.0,,20.0,50.0,0.4,10.0,28.0,0.357,10.0,16.0,0.625,9.0,29.0,9.0,1.0,2.0,12.0,19.0,3.0,1,9,61.5,56.25,63.125,-0.0468576954372219,0.09043603393571542,0.383375,0.3975,59.6875,-6.875,-0.11518324607329843,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-6.875,-3.0,61.5,67.71428571428571,58.285714285714285,63.0,-9.428571428571423,-0.14965986394557815,0,1,0.0,2019-12-15,@,Texas A&M,0,63.0,60.0,10.0,5.0,L,0.07618152024905261,0.009260448022693768,8,-4.166666666666657,-9.428571428571423,0.43657142857142855,0.4062857142857143,0.43413333333333337,-0.06174364040503814,-1.65625,-0.02083082458904612,0.08300334059854286,0.6715277777777766,0.6715277777777766,-0.4077612863327147,-0.4077612863327147,-1.7235428822385344,2.1849398356421474,0.46006982273406827,2.1757779748291237,-1.6490877581956727
2019-12-21,,Oregon State,W,64.0,49.0,20.0,49.0,0.408,6.0,22.0,0.273,18.0,31.0,0.581,11.0,43.0,14.0,4.0,8.0,16.0,16.0,,19.0,57.0,0.333,3.0,21.0,0.143,8.0,14.0,0.571,6.0,29.0,11.0,7.0,3.0,13.0,23.0,15.0,1,10,56.5,57.0,62.77777777777778,-0.050366467367046475,0.10063492993150969,0.3861111111111111,0.3977777777777778,59.888888888888886,-5.777777777777779,-0.09647495361781078,1,0,0,-2.0333333333333385,0.41073333333333323,-0.031696544557027875,-5.777777777777779,-15.0,56.5,65.4,80.9,73.15,15.5,0.2118933697881066,0,1,0.0,2019-12-21,@,Texas A&M,0,64.0,49.0,3.0,6.0,L,-0.04281978855629898,0.025925179180515123,11,3.548387096774192,16.111111111111114,0.39239999999999997,0.5130999999999999,0.4323870967741935,0.05111524163568771,-6.63055555555556,-0.03613529702631829,-0.06564424133955093,-0.0056437389770738694,-0.0056437389770738694,-6.213964646464647,-6.213964646464647,-1.2757176355390643,2.1849398356421474,-0.05401200942156789,2.1757779748291237,2.255000131181949
