Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC,result2,Mean_Score2,Opp_Avg_Score2,Avg_Score2,Avg_Mean_Score2,Avg_Result2,Pct_Margin2,Home2,Away2,Neutral2,Date2,Loc2,Opp_name2,Win2,Opp_score2,Score2,Threes2,Opp_Threes2,W2,Avg_Threes2,Opp_Avg_Threes2,Game_Number2,Avg_Result_Fin2,Avg_Result_NC2,Opp_Avg_FG_Pct2,Avg_FG_Pct2,Opp_Avg_FG_Pct_Fin2,Pct_Margin_Fin2,Scoring_Pace_Diff,Matchup_Comp,Opp_Matchup_Comp,SOS,SOS_NC,Opp_SOS,Opp_SOS_NC,Prev_SOS,SOS_Fin,SOS_All,SOS_All_Fin,Opp_Prev_SOS
2019-11-09,,High Point,W,89.0,61.0,28.0,58.0,0.483,15.0,37.0,0.405,18.0,21.0,0.857,6.0,24.0,19.0,8.0,7.0,4.0,22.0,,17.0,48.0,0.354,6.0,15.0,0.4,21.0,26.0,0.808,8.0,28.0,11.0,2.0,3.0,11.0,20.0,28.0,1,1,75.0,,,,,,,,,,1,0,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,,-28.0,75.0,70.0,56.0,63.0,-14.0,-0.2222222222222222,0,1,,2019-11-09,@,Wofford,0,89.0,61.0,6.0,15.0,L,-0.20638150496103141,0.029332780753254295,2,-10.966666666666669,-14.0,0.429,0.317,0.4659333333333335,-0.15722819593787338,,,,,,11.5,11.5,,-0.9030115766489515,,-0.865259075640401,-13.25
2019-11-12,,William & Mary,L,79.0,80.0,28.0,63.0,0.444,10.0,24.0,0.417,13.0,13.0,1.0,9.0,21.0,10.0,3.0,1.0,6.0,11.0,,31.0,55.0,0.564,12.0,26.0,0.462,6.0,7.0,0.857,6.0,28.0,16.0,4.0,3.0,10.0,17.0,-1.0,0,2,79.5,89.0,61.0,0.19209361542420134,-0.018442394890773817,0.483,0.354,75.0,28.0,0.37333333333333335,1,0,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,28.0,1.0,79.5,63.0,74.5,68.75,11.5,0.16727272727272727,0,1,0.0,2019-11-12,@,Wofford,1,79.0,80.0,12.0,10.0,W,-0.071913623848855,-0.05161960019912665,3,0.6451612903225765,11.5,0.348,0.45599999999999996,0.4349677419354838,0.009140767824497199,3.125,-0.09957808809673974,0.03641784520049413,-21.0,-21.0,-16.75,-16.75,19.75,-0.9030115766489515,-10.966666666666669,-0.865259075640401,12.5
2019-11-16,@,Butler,L,61.0,80.0,22.0,57.0,0.386,5.0,27.0,0.185,12.0,18.0,0.667,6.0,25.0,9.0,5.0,3.0,9.0,19.0,,29.0,52.0,0.558,6.0,16.0,0.375,16.0,19.0,0.842,4.0,32.0,19.0,2.0,3.0,8.0,15.0,-19.0,0,3,70.5,84.0,70.5,0.1329042093246829,0.06945436130036675,0.4635,0.45899999999999996,77.25,13.5,0.17475728155339806,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,13.5,19.0,70.5,52.0,74.33333333333333,63.166666666666664,22.33333333333333,0.3535620052770448,1,0,0.0,2019-11-16,,Wofford,1,61.0,80.0,6.0,5.0,W,-0.07137189573617556,-0.04429359287311935,4,6.419354838709673,22.33333333333333,0.37666666666666665,0.48600000000000004,0.3983548387096774,0.09824734633423837,7.041666666666668,-0.07672551686988713,-0.07040660077828244,-6.708333333333336,-6.708333333333336,-10.888888888888888,-10.888888888888888,1.2261904761904745,-0.9030115766489515,-5.160752688172046,-0.865259075640401,12.99074074074074
2019-11-18,@,Missouri,L,56.0,75.0,17.0,47.0,0.362,6.0,22.0,0.273,16.0,18.0,0.889,7.0,28.0,8.0,3.0,2.0,15.0,19.0,,28.0,51.0,0.549,9.0,23.0,0.391,10.0,14.0,0.714,5.0,22.0,15.0,7.0,2.0,10.0,16.0,-19.0,0,4,65.5,76.33333333333333,73.66666666666667,0.07948873833279269,0.012267493099731297,0.4376666666666667,0.492,75.0,2.666666666666657,0.03555555555555543,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,2.666666666666657,19.0,65.5,53.666666666666664,70.33333333333333,62.0,16.666666666666664,0.26881720430107525,1,0,0.0,2019-11-18,,Wofford,1,56.0,75.0,9.0,6.0,W,-0.04338218200910182,-0.07128833725916806,4,1.9677419354838719,16.666666666666664,0.323,0.4106666666666667,0.40783870967741936,0.029748841745915647,6.5,-0.07527695521588186,-0.023069256998177117,2.694444444444443,2.694444444444443,-3.5833333333333357,-3.5833333333333357,-4.613636363636366,-0.9030115766489515,-1.3007168458781397,-0.865259075640401,2.30787037037037
2019-11-21,@,South Florida,L,55.0,69.0,22.0,46.0,0.478,6.0,19.0,0.316,5.0,10.0,0.5,5.0,20.0,11.0,9.0,1.0,16.0,14.0,,26.0,47.0,0.553,9.0,20.0,0.45,8.0,17.0,0.471,7.0,27.0,11.0,9.0,0.0,15.0,19.0,-14.0,0,5,62.0,71.25,74.0,0.06542300631716408,0.02093509735557092,0.41875000000000007,0.50625,72.625,-2.75,-0.0378657487091222,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,-2.75,14.0,62.0,61.666666666666664,61.0,61.333333333333336,-0.6666666666666643,-0.010869565217391266,1,0,0.0,2019-11-21,,Wofford,1,55.0,69.0,9.0,6.0,W,-0.018442394890773817,0.04323239465286821,4,-0.032258064516128115,-0.6666666666666643,0.433,0.367,0.44351612903225796,-0.0005145356315924732,5.645833333333332,0.05318264029249326,-0.01964925781062057,5.3750000000000036,5.3750000000000036,-12.266666666666666,-12.266666666666666,-2.1815789473684206,-0.9030115766489515,-0.4836021505376369,-0.865259075640401,6.007777777777778
2019-11-26,@,Maryland-Eastern Shore,W,67.0,42.0,24.0,56.0,0.429,13.0,31.0,0.419,6.0,9.0,0.667,9.0,37.0,16.0,9.0,3.0,13.0,11.0,,16.0,52.0,0.308,4.0,19.0,0.211,6.0,8.0,0.75,7.0,28.0,10.0,6.0,4.0,18.0,10.0,25.0,1,6,54.5,68.0,73.0,0.0570638731902291,0.031681117348166254,0.4306000000000001,0.5156,70.5,-5.0,-0.07092198581560284,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,-5.0,-25.0,54.5,79.66666666666667,54.666666666666664,67.16666666666667,-25.000000000000007,-0.3722084367245658,1,0,0.0,2019-11-26,,Wofford,0,67.0,42.0,4.0,13.0,L,0.07062197935952608,0.00655931990447961,7,-15.580645161290313,-25.000000000000007,0.5343333333333333,0.3855,0.44577419354838715,-0.24180225281601989,1.6666666666666643,0.019346839515625547,0.047300985353890046,2.8200000000000003,2.8200000000000003,12.15357142857143,12.15357142857143,-1.9182266009852218,-0.9030115766489515,-0.39333333333333514,-0.865259075640401,-5.84304232804233
2019-12-02,,North Carolina Central,W,77.0,59.0,29.0,54.0,0.537,11.0,27.0,0.407,8.0,12.0,0.667,5.0,24.0,12.0,9.0,4.0,14.0,13.0,,20.0,47.0,0.426,7.0,20.0,0.35,12.0,18.0,0.667,6.0,27.0,14.0,11.0,1.0,14.0,12.0,18.0,1,7,68.0,67.83333333333333,67.83333333333333,0.09188104330151686,0.02554197696245053,0.4303333333333334,0.4809999999999999,67.83333333333333,0.0,0.0,1,0,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,0.0,-18.0,68.0,72.0,58.333333333333336,65.16666666666667,-13.666666666666664,-0.2097186700767263,0,1,0.0,2019-12-02,@,Wofford,0,77.0,59.0,7.0,11.0,L,0.020761352181825732,0.026753415673889225,7,-1.1785714285714164,-13.666666666666664,0.4673333333333334,0.3873333333333333,0.4284642857142857,-0.017428043306046824,1.3333333333333286,0.04957954965503515,0.02302793909878856,-3.496362433862437,-3.496362433862437,1.1626984126984137,1.1626984126984137,1.3764880952380936,-0.9030115766489515,-2.924551971326165,-0.865259075640401,-0.9164729780801216
2019-12-07,,Gardner-Webb,W,81.0,77.0,28.0,56.0,0.5,11.0,29.0,0.379,14.0,16.0,0.875,8.0,33.0,13.0,1.0,2.0,12.0,17.0,,28.0,62.0,0.452,5.0,24.0,0.208,16.0,23.0,0.696,8.0,27.0,9.0,5.0,1.0,7.0,15.0,4.0,1,8,79.0,69.14285714285714,66.57142857142857,0.09556654698702055,0.02767735463430887,0.4455714285714286,0.47314285714285714,67.85714285714286,2.5714285714285694,0.03789473684210523,1,0,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,2.5714285714285694,-4.0,79.0,70.28571428571429,64.57142857142857,67.42857142857143,-5.714285714285722,-0.08474576271186453,0,1,0.0,2019-12-07,@,Wofford,0,81.0,77.0,5.0,11.0,L,0.03824554940053626,0.027939052530257746,8,0.2666666666666657,-5.714285714285722,0.41342857142857137,0.423,0.42456666666666665,0.0037261294829995214,0.2142857142857153,0.05167241794618974,0.03253514459692197,-4.7746031746031745,-4.7746031746031745,4.393424036281179,4.393424036281179,1.6127380952380956,-0.9030115766489515,-2.675126179504058,-0.865259075640401,-0.48554927923550417
2019-12-15,@,UNC,W,68.0,64.0,25.0,66.0,0.379,14.0,40.0,0.35,4.0,6.0,0.667,6.0,31.0,19.0,8.0,5.0,5.0,21.0,,23.0,63.0,0.365,6.0,19.0,0.316,12.0,20.0,0.6,17.0,49.0,17.0,2.0,6.0,11.0,12.0,4.0,1,9,66.0,70.625,67.875,0.09532519541823531,0.006917626846387692,0.452375,0.4705,69.25,2.75,0.039711191335740074,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,2.75,-4.0,66.0,65.88888888888889,68.88888888888889,67.38888888888889,3.0,0.04451772464962902,1,0,0.0,2019-12-15,,Wofford,0,68.0,64.0,6.0,14.0,L,-0.08126629758775952,0.09625641361280624,10,-0.6060606060605949,3.0,0.3794444444444444,0.4013333333333333,0.42296969696969705,-0.008357709987463281,0.9305555555555571,0.09578967291884465,-0.02371012277276557,-5.014393939393939,-5.014393939393939,4.119893378226711,4.119893378226711,1.0800856430726549,-0.9030115766489515,-2.3074020737327174,-0.865259075640401,1.9529975470190115
2019-12-19,@,Duke,L,57.0,86.0,22.0,62.0,0.355,10.0,24.0,0.417,3.0,5.0,0.6,9.0,21.0,11.0,4.0,0.0,7.0,19.0,,32.0,59.0,0.542,8.0,20.0,0.4,14.0,18.0,0.778,15.0,42.0,19.0,4.0,6.0,8.0,13.0,-29.0,0,10,71.5,70.33333333333333,67.44444444444444,0.11775525874919202,0.002785357830213553,0.44422222222222224,0.45877777777777773,68.88888888888889,2.8888888888888857,0.041935483870967696,0,1,0,1.6666666666666714,0.4458484848484849,0.023939064200217696,2.8888888888888857,29.0,71.5,65.6,83.4,74.5,17.80000000000001,0.23892617449664444,1,0,0.0,2019-12-19,,Wofford,1,57.0,86.0,8.0,10.0,W,-0.06172580095280944,-0.11230484990876657,11,14.548387096774192,18.22222222222223,0.429,0.46980000000000005,0.41648387096774186,0.19335476956055733,-2.805555555555557,-0.11499776806441063,-0.013112148680140526,-4.127272727272728,-4.127272727272728,3.623564491064491,3.623564491064491,1.979396597554493,-0.9030115766489515,-2.1183641328802594,-0.865259075640401,2.7797285298444976
