Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-10,@,Drexel,L (1 OT),83.0,86.0,30.0,65.0,0.462,9.0,25.0,0.36,14.0,20.0,0.7,3.0,18.0,13.0,12.0,2.0,8.0,26.0,,27.0,52.0,0.519,8.0,20.0,0.4,24.0,32.0,0.75,8.0,39.0,15.0,4.0,5.0,22.0,17.0,-3.0,0,1,84.5,,,,,,,,,,0,1,4.0,0.4564074074074074,0.0565149136577708,
2019-11-16,,Pepperdine,L,69.0,73.0,20.0,50.0,0.4,5.0,18.0,0.278,24.0,33.0,0.727,9.0,31.0,9.0,10.0,0.0,15.0,20.0,,23.0,51.0,0.451,7.0,21.0,0.333,20.0,23.0,0.87,5.0,26.0,9.0,9.0,1.0,17.0,22.0,-4.0,0,2,71.0,83.0,86.0,0.011776842715388536,-0.034454594662028104,0.462,0.519,84.5,-3.0,-0.03550295857988166,1,0,4.0,0.4564074074074074,0.0565149136577708,-3.0
2019-11-18,@,UNLV,L,58.0,72.0,22.0,59.0,0.373,7.0,26.0,0.269,7.0,9.0,0.778,9.0,25.0,16.0,6.0,1.0,11.0,17.0,,27.0,50.0,0.54,6.0,22.0,0.273,12.0,15.0,0.8,7.0,29.0,14.0,4.0,4.0,12.0,13.0,-14.0,0,3,65.0,76.0,79.5,-0.03720857263020433,-0.03050549417936027,0.43100000000000005,0.485,77.75,-3.5,-0.04501607717041801,0,1,4.0,0.4564074074074074,0.0565149136577708,-3.5
2019-11-25,@,Texas State,L,56.0,61.0,19.0,56.0,0.339,5.0,13.0,0.385,13.0,17.0,0.765,11.0,34.0,7.0,5.0,5.0,16.0,20.0,,24.0,50.0,0.48,5.0,15.0,0.333,8.0,17.0,0.471,5.0,28.0,12.0,9.0,5.0,13.0,14.0,-5.0,0,4,58.5,70.0,77.0,-0.013524362103888576,-0.04079708937661586,0.4116666666666667,0.5033333333333333,73.5,-7.0,-0.09523809523809523,0,1,4.0,0.4564074074074074,0.0565149136577708,-7.0
2019-11-29,@,SMU,L,51.0,70.0,17.0,52.0,0.327,5.0,19.0,0.263,12.0,15.0,0.8,7.0,21.0,8.0,7.0,0.0,9.0,16.0,,26.0,42.0,0.619,7.0,17.0,0.412,11.0,14.0,0.786,4.0,31.0,15.0,7.0,5.0,14.0,16.0,-19.0,0,5,60.5,66.5,73.0,-0.020291279397121664,-0.046401074432655676,0.3935,0.4975,69.75,-6.5,-0.0931899641577061,0,1,4.0,0.4564074074074074,0.0565149136577708,-6.5
2019-12-05,,Southeast Missouri State,W,73.0,64.0,23.0,56.0,0.411,5.0,19.0,0.263,22.0,27.0,0.815,7.0,35.0,11.0,8.0,2.0,13.0,20.0,,19.0,54.0,0.352,2.0,13.0,0.154,24.0,28.0,0.857,7.0,30.0,6.0,7.0,3.0,13.0,19.0,9.0,1,6,68.5,63.4,72.4,-0.020148967782121996,-0.04004369912046324,0.3802,0.5218,67.9,-9.000000000000007,-0.13254786450662748,1,0,4.0,0.4564074074074074,0.0565149136577708,-9.000000000000007
2019-12-18,@,New Orleans,W,77.0,71.0,24.0,50.0,0.48,7.0,15.0,0.467,22.0,30.0,0.733,8.0,30.0,18.0,11.0,3.0,21.0,22.0,,22.0,48.0,0.458,3.0,9.0,0.333,24.0,26.0,0.923,4.0,25.0,13.0,10.0,4.0,22.0,27.0,6.0,1,7,74.0,65.0,71.0,-0.03660128518081163,-0.06704548886445194,0.3853333333333333,0.4935,68.0,-6.0,-0.08823529411764706,0,1,4.0,0.4564074074074074,0.0565149136577708,-6.0
2019-12-21,,Nicholls State,W,79.0,61.0,30.0,55.0,0.545,4.0,18.0,0.222,15.0,19.0,0.789,7.0,31.0,22.0,11.0,5.0,19.0,25.0,,18.0,52.0,0.346,3.0,18.0,0.167,22.0,30.0,0.733,11.0,31.0,4.0,11.0,2.0,22.0,20.0,18.0,1,8,70.0,66.71428571428571,71.0,-0.03729309872059089,-0.08414810455861696,0.39885714285714285,0.48842857142857143,68.85714285714286,-4.285714285714292,-0.06224066390041502,1,0,4.0,0.4564074074074074,0.0565149136577708,-4.285714285714292
2019-12-29,@,Wichita State,L,66.0,84.0,21.0,54.0,0.389,5.0,21.0,0.238,19.0,23.0,0.826,5.0,25.0,9.0,8.0,4.0,18.0,23.0,,29.0,57.0,0.509,6.0,17.0,0.353,20.0,29.0,0.69,13.0,38.0,16.0,8.0,5.0,16.0,20.0,-18.0,0,9,75.0,68.25,69.75,-0.0552826038621303,-0.09309425457700685,0.41712499999999997,0.470625,69.0,-1.5,-0.021739130434782608,0,1,4.0,0.4564074074074074,0.0565149136577708,-1.5
2020-01-04,@,Lamar,W,74.0,62.0,28.0,64.0,0.438,7.0,22.0,0.318,11.0,16.0,0.688,12.0,31.0,13.0,9.0,2.0,12.0,17.0,,22.0,49.0,0.449,4.0,14.0,0.286,14.0,18.0,0.778,8.0,31.0,13.0,7.0,8.0,21.0,14.0,12.0,1,10,68.0,68.0,71.33333333333333,-0.05862240131957486,-0.09389819387958948,0.414,0.4748888888888889,69.66666666666667,-3.3333333333333286,-0.04784688995215304,0,1,4.0,0.4564074074074074,0.0565149136577708,-3.3333333333333286
2020-01-08,,McNeese State,L,84.0,88.0,29.0,63.0,0.46,6.0,21.0,0.286,20.0,23.0,0.87,6.0,17.0,15.0,5.0,2.0,14.0,28.0,,29.0,46.0,0.63,4.0,12.0,0.333,26.0,29.0,0.897,5.0,29.0,8.0,9.0,8.0,21.0,27.0,-4.0,0,11,86.0,68.6,70.4,-0.055506869392518254,-0.09619481664934315,0.4164,0.4723,69.5,-1.8000000000000114,-0.02589928057553973,1,0,4.0,0.4564074074074074,0.0565149136577708,-3.3333333333333286
2020-01-11,,Texas A&M-Corpus Christi,W,68.0,56.0,18.0,52.0,0.346,7.0,22.0,0.318,25.0,35.0,0.714,11.0,30.0,11.0,14.0,1.0,14.0,25.0,,18.0,44.0,0.409,5.0,14.0,0.357,15.0,24.0,0.625,11.0,40.0,10.0,7.0,2.0,24.0,26.0,12.0,1,12,62.0,70.0,72.0,-0.060277608857135345,-0.10519102877055522,0.42036363636363633,0.4866363636363636,71.0,-2.0,-0.028169014084507043,1,0,4.0,0.4564074074074074,0.0565149136577708,-3.3333333333333286
