Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,@,Siena,L,80.0,96.0,28.0,54.0,0.519,6.0,18.0,0.333,18.0,28.0,0.643,5.0,23.0,7.0,5.0,1.0,11.0,17.0,,35.0,67.0,0.522,11.0,21.0,0.524,15.0,18.0,0.833,13.0,39.0,17.0,4.0,0.0,13.0,23.0,-16.0,0,1,88.0,,,,,,,,,,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,
2019-11-08,,William & Mary,L,70.0,79.0,25.0,66.0,0.379,9.0,25.0,0.36,11.0,13.0,0.846,8.0,31.0,10.0,4.0,5.0,12.0,18.0,,28.0,58.0,0.483,4.0,13.0,0.308,19.0,24.0,0.792,7.0,38.0,15.0,7.0,5.0,11.0,10.0,-9.0,0,2,74.5,80.0,96.0,-0.08852436210388856,0.030225637896111435,0.519,0.522,88.0,-16.0,-0.18181818181818182,1,0,2.13333333333334,0.4453999999999999,0.03023145961265952,-16.0
2019-11-12,@,George Washington,W,67.0,65.0,28.0,63.0,0.444,4.0,15.0,0.267,7.0,12.0,0.583,6.0,25.0,9.0,13.0,5.0,7.0,14.0,,25.0,58.0,0.431,7.0,24.0,0.292,8.0,11.0,0.727,15.0,43.0,10.0,5.0,8.0,17.0,12.0,2.0,1,3,66.0,75.0,87.5,-0.013524362103888576,-0.05638150496103145,0.449,0.5025,81.25,-12.5,-0.15384615384615385,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,-12.5
2019-11-16,@,Saint Francis (PA),L,76.0,79.0,28.0,57.0,0.491,13.0,23.0,0.565,7.0,9.0,0.778,9.0,29.0,12.0,4.0,6.0,11.0,17.0,,29.0,58.0,0.5,7.0,13.0,0.538,14.0,19.0,0.737,7.0,26.0,8.0,8.0,0.0,8.0,11.0,-3.0,0,4,77.5,72.33333333333333,80.0,-0.0508515510439807,-0.03852436210388854,0.44733333333333336,0.47866666666666663,76.16666666666667,-7.666666666666671,-0.10065645514223201,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,-7.666666666666671
2019-11-26,,Howard,W,86.0,69.0,35.0,65.0,0.538,4.0,13.0,0.308,12.0,19.0,0.632,7.0,34.0,15.0,8.0,5.0,9.0,11.0,,27.0,58.0,0.466,8.0,21.0,0.381,7.0,12.0,0.583,4.0,30.0,17.0,4.0,5.0,15.0,19.0,17.0,1,5,77.5,73.25,79.75,0.014120689090650673,-0.04079708937661586,0.45825000000000005,0.484,76.5,-6.5,-0.08496732026143791,1,0,2.13333333333334,0.4453999999999999,0.03023145961265952,-6.5
2019-11-30,@,Albany (NY),L,64.0,68.0,25.0,67.0,0.373,8.0,26.0,0.308,6.0,10.0,0.6,10.0,33.0,16.0,8.0,2.0,11.0,18.0,,22.0,49.0,0.449,7.0,17.0,0.412,17.0,23.0,0.739,4.0,32.0,12.0,6.0,7.0,12.0,11.0,-4.0,0,6,66.0,75.8,77.6,-0.028563939940300154,-0.027441887877084403,0.47420000000000007,0.48040000000000005,76.7,-1.7999999999999972,-0.023468057366362413,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,-1.7999999999999972
2019-12-03,,UMBC,W,85.0,61.0,29.0,49.0,0.592,10.0,23.0,0.435,17.0,22.0,0.773,5.0,28.0,21.0,13.0,6.0,18.0,28.0,,18.0,48.0,0.375,4.0,12.0,0.333,21.0,36.0,0.583,9.0,26.0,6.0,4.0,3.0,20.0,19.0,24.0,1,7,73.0,73.83333333333333,76.0,-0.015555964812692169,-0.024050677893362238,0.4573333333333334,0.4751666666666667,74.91666666666667,-2.1666666666666714,-0.02892102335928816,1,0,2.13333333333334,0.4453999999999999,0.03023145961265952,-2.1666666666666714
2019-12-07,@,George Mason,L,53.0,68.0,21.0,53.0,0.396,5.0,19.0,0.263,6.0,16.0,0.375,10.0,37.0,8.0,5.0,2.0,16.0,17.0,,23.0,55.0,0.418,3.0,12.0,0.25,19.0,25.0,0.76,5.0,31.0,6.0,7.0,3.0,8.0,18.0,-15.0,0,8,60.5,75.42857142857143,73.85714285714286,-0.006706180285706742,-0.03499438144624839,0.4765714285714287,0.46085714285714285,74.64285714285714,1.5714285714285694,0.021052631578947344,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,1.5714285714285694
2019-12-17,@,Mount St. Mary's,W,82.0,76.0,24.0,52.0,0.462,10.0,22.0,0.455,24.0,30.0,0.8,11.0,36.0,13.0,5.0,2.0,16.0,22.0,,25.0,56.0,0.446,5.0,20.0,0.25,21.0,26.0,0.808,6.0,25.0,14.0,9.0,5.0,8.0,17.0,6.0,1,9,79.0,72.625,73.125,-0.008877202035041776,-0.05198590056542701,0.4665000000000001,0.4555,72.875,-0.5,-0.00686106346483705,0,1,2.13333333333334,0.4453999999999999,0.03023145961265952,-0.5
2019-12-21,,Stony Brook,L,74.0,77.0,29.0,59.0,0.492,10.0,19.0,0.526,6.0,10.0,0.6,7.0,32.0,18.0,6.0,3.0,16.0,16.0,,29.0,63.0,0.46,8.0,17.0,0.471,11.0,19.0,0.579,12.0,36.0,12.0,8.0,5.0,12.0,12.0,-3.0,0,10,75.5,73.66666666666667,73.44444444444444,-0.0013071675337528177,-0.059363999017655544,0.4660000000000001,0.45444444444444443,73.55555555555556,0.22222222222222854,0.0030211480362538623,1,0,2.13333333333334,0.4453999999999999,0.03023145961265952,0.22222222222222854
