Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Neutral,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,Northeastern,L,67.0,72.0,27.0,55.0,0.491,8.0,26.0,0.308,5.0,12.0,0.417,7.0,30.0,11.0,5.0,4.0,15.0,15.0,,28.0,55.0,0.509,5.0,16.0,0.313,11.0,14.0,0.786,5.0,28.0,10.0,10.0,1.0,12.0,18.0,-5.0,0,1,69.5,,,,,,,,,,1,0,0,3.424242424242422,0.4392424242424242,0.04994475138121544,
2019-11-13,@,Vermont,L,47.0,62.0,17.0,57.0,0.298,4.0,16.0,0.25,9.0,15.0,0.6,8.0,33.0,7.0,10.0,1.0,13.0,19.0,,23.0,53.0,0.434,5.0,20.0,0.25,11.0,18.0,0.611,6.0,35.0,11.0,7.0,5.0,14.0,16.0,-15.0,0,2,54.5,67.0,72.0,0.04468459311999201,-0.10519102877055522,0.491,0.509,69.5,-5.0,-0.07194244604316546,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-5.0
2019-11-16,,New Hampshire,W,84.0,70.0,31.0,57.0,0.544,6.0,21.0,0.286,16.0,24.0,0.667,7.0,30.0,13.0,7.0,1.0,9.0,16.0,,24.0,53.0,0.453,10.0,22.0,0.455,12.0,16.0,0.75,5.0,29.0,17.0,2.0,1.0,16.0,20.0,14.0,1,3,77.0,57.0,67.0,0.0022651115803219435,-0.08964376508896318,0.39449999999999996,0.47150000000000003,62.0,-10.0,-0.16129032258064516,1,0,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-10.0
2019-11-19,@,South Carolina,W,78.0,70.0,27.0,64.0,0.422,9.0,25.0,0.36,15.0,22.0,0.682,11.0,36.0,15.0,7.0,2.0,10.0,17.0,,27.0,67.0,0.403,4.0,22.0,0.182,12.0,21.0,0.571,15.0,40.0,14.0,6.0,5.0,12.0,16.0,8.0,1,4,74.0,66.0,68.0,-0.04079708937661586,-0.019406715045065026,0.4443333333333333,0.4653333333333334,67.0,-2.0,-0.029850746268656716,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-2.0
2019-11-22,@,West Virginia,L,44.0,69.0,17.0,52.0,0.327,6.0,20.0,0.3,4.0,6.0,0.667,9.0,32.0,8.0,5.0,0.0,22.0,16.0,,27.0,61.0,0.443,2.0,18.0,0.111,13.0,21.0,0.619,12.0,37.0,13.0,13.0,6.0,10.0,10.0,-25.0,0,5,56.5,69.0,68.5,-0.02004610123432332,-0.05075063947615133,0.43875,0.44975000000000004,68.75,0.5,0.007272727272727273,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,0.5
2019-11-26,N,Northern Colorado,L,55.0,78.0,22.0,57.0,0.386,3.0,13.0,0.231,8.0,12.0,0.667,6.0,22.0,4.0,7.0,3.0,9.0,13.0,,30.0,56.0,0.536,11.0,21.0,0.524,7.0,13.0,0.538,7.0,34.0,9.0,4.0,3.0,13.0,15.0,-23.0,0,6,66.5,64.0,68.6,-0.00414936210388861,-0.08611911429047744,0.4164,0.4484,66.3,-4.599999999999994,-0.06938159879336342,0,0,1,3.424242424242422,0.4392424242424242,0.04994475138121544,-4.599999999999994
2019-11-27,N,UT-Martin,L,73.0,76.0,26.0,56.0,0.464,10.0,30.0,0.333,11.0,14.0,0.786,10.0,33.0,14.0,2.0,1.0,11.0,11.0,,30.0,61.0,0.492,7.0,22.0,0.318,9.0,12.0,0.75,8.0,27.0,11.0,4.0,2.0,6.0,16.0,-3.0,0,7,74.5,62.5,70.16666666666667,-0.025524362103888587,-0.04986640485923299,0.41133333333333333,0.463,66.33333333333333,-7.666666666666671,-0.11557788944723627,0,0,1,3.424242424242422,0.4392424242424242,0.04994475138121544,-7.666666666666671
2019-12-04,@,George Washington,L,63.0,64.0,26.0,57.0,0.456,4.0,15.0,0.267,7.0,12.0,0.583,10.0,34.0,15.0,7.0,3.0,14.0,16.0,,23.0,59.0,0.39,7.0,23.0,0.304,11.0,13.0,0.846,10.0,31.0,7.0,9.0,3.0,15.0,13.0,-1.0,0,8,63.5,64.0,71.0,-0.005488647818174264,-0.04793080073567929,0.4188571428571429,0.46714285714285714,67.5,-7.0,-0.1037037037037037,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-7.0
2019-12-07,@,Binghamton,L (1 OT),79.0,84.0,32.0,82.0,0.39,4.0,29.0,0.138,11.0,16.0,0.688,23.0,45.0,9.0,5.0,1.0,8.0,15.0,,30.0,62.0,0.484,12.0,28.0,0.429,12.0,16.0,0.75,10.0,39.0,9.0,4.0,2.0,13.0,16.0,-5.0,0,9,81.5,63.875,70.125,-0.01998228773989641,-0.04079708937661586,0.4235,0.4575,67.0,-6.25,-0.09328358208955224,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-6.25
2019-12-14,,Dartmouth,W,78.0,76.0,27.0,46.0,0.587,7.0,16.0,0.438,17.0,28.0,0.607,4.0,27.0,14.0,1.0,4.0,11.0,17.0,,29.0,65.0,0.446,5.0,21.0,0.238,13.0,18.0,0.722,12.0,29.0,10.0,5.0,2.0,7.0,25.0,2.0,1,10,77.0,65.55555555555556,71.66666666666667,-0.038948090917447886,-0.020501106289935123,0.4197777777777778,0.46044444444444443,68.61111111111111,-6.111111111111114,-0.08906882591093121,1,0,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-6.111111111111114
2019-12-21,@,UMass-Lowell,W,74.0,62.0,29.0,64.0,0.453,5.0,20.0,0.25,11.0,14.0,0.786,9.0,43.0,12.0,4.0,2.0,13.0,17.0,,21.0,67.0,0.313,5.0,21.0,0.238,15.0,22.0,0.682,11.0,36.0,11.0,8.0,4.0,7.0,14.0,12.0,1,11,68.0,66.8,72.1,-0.039572266295505365,-0.030584001493625057,0.4365,0.45899999999999996,69.45,-5.299999999999997,-0.07631389488840888,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-6.111111111111114
2019-12-29,@,Merrimack,W,69.0,67.0,28.0,49.0,0.571,8.0,17.0,0.471,5.0,13.0,0.385,7.0,29.0,15.0,4.0,4.0,12.0,15.0,,25.0,54.0,0.463,8.0,16.0,0.5,9.0,11.0,0.818,5.0,24.0,11.0,7.0,0.0,7.0,16.0,2.0,1,12,68.0,67.45454545454545,71.18181818181819,-0.04667800091790475,-0.03383087551385028,0.43800000000000006,0.4457272727272727,69.31818181818181,-3.7272727272727337,-0.05377049180327879,0,1,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-6.111111111111114
2020-01-02,,Lafayette,W,73.0,72.0,29.0,61.0,0.475,8.0,24.0,0.333,7.0,12.0,0.583,8.0,33.0,12.0,7.0,0.0,9.0,14.0,,25.0,50.0,0.5,9.0,21.0,0.429,13.0,17.0,0.765,2.0,28.0,18.0,5.0,1.0,12.0,13.0,1.0,1,13,72.5,67.58333333333333,70.83333333333333,-0.03978823386714381,-0.02764200916271209,0.44908333333333333,0.44716666666666666,69.20833333333333,-3.25,-0.046959662853702594,1,0,0,3.424242424242422,0.4392424242424242,0.04994475138121544,-6.111111111111114
