Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,Jackson State,W,93.0,70.0,30.0,62.0,0.484,13.0,30.0,0.433,20.0,26.0,0.769,11.0,45.0,16.0,2.0,4.0,17.0,18.0,,26.0,70.0,0.371,4.0,17.0,0.235,14.0,21.0,0.667,11.0,33.0,8.0,9.0,3.0,12.0,24.0,23.0,1,1,81.5,,,,,,,,,,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,
2019-11-12,@,Texas,L,54.0,67.0,20.0,58.0,0.345,8.0,23.0,0.348,6.0,16.0,0.375,8.0,30.0,7.0,3.0,1.0,16.0,10.0,,26.0,60.0,0.433,6.0,22.0,0.273,9.0,14.0,0.643,11.0,37.0,10.0,11.0,6.0,13.0,14.0,-13.0,0,2,60.5,93.0,70.0,0.10583047660578887,-0.14209579067531714,0.484,0.371,81.5,23.0,0.2822085889570552,0,1,4.666666666666671,0.43418518518518523,0.06315789473684218,23.0
2019-11-15,@,California,L,62.0,82.0,20.0,60.0,0.333,8.0,31.0,0.258,14.0,14.0,1.0,8.0,24.0,10.0,3.0,2.0,13.0,15.0,,32.0,56.0,0.571,6.0,11.0,0.545,12.0,14.0,0.857,7.0,35.0,15.0,4.0,4.0,15.0,16.0,-20.0,0,3,72.0,73.5,68.5,0.11504706646753998,-0.09454625991410753,0.4145,0.402,71.0,5.0,0.07042253521126761,0,1,4.666666666666671,0.43418518518518523,0.06315789473684218,5.0
2019-11-22,,Central Arkansas,W (1 OT),104.0,98.0,30.0,69.0,0.435,15.0,37.0,0.405,29.0,38.0,0.763,11.0,34.0,23.0,6.0,5.0,15.0,27.0,,33.0,63.0,0.524,7.0,19.0,0.368,25.0,34.0,0.735,8.0,37.0,21.0,4.0,8.0,18.0,27.0,6.0,1,4,101.0,69.66666666666667,73.0,0.10274358047984344,-0.09434627991210776,0.3873333333333333,0.4583333333333333,71.33333333333333,-3.3333333333333286,-0.04672897196261676,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,-3.3333333333333286
2019-11-23,,Georgia State,L,60.0,69.0,20.0,55.0,0.364,9.0,31.0,0.29,11.0,15.0,0.733,8.0,44.0,11.0,1.0,4.0,19.0,18.0,,28.0,70.0,0.4,1.0,9.0,0.111,12.0,19.0,0.632,11.0,37.0,14.0,10.0,3.0,7.0,17.0,-9.0,0,5,64.5,78.25,79.25,0.10820087751272484,-0.09585874696193272,0.39925,0.47475,78.75,-1.0,-0.012698412698412698,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,-1.0
2019-11-27,,South Dakota,L,83.0,84.0,30.0,68.0,0.441,11.0,27.0,0.407,12.0,14.0,0.857,7.0,33.0,15.0,1.0,1.0,8.0,19.0,,33.0,62.0,0.532,6.0,17.0,0.353,12.0,18.0,0.667,5.0,36.0,19.0,6.0,2.0,7.0,14.0,-1.0,0,6,83.5,74.6,77.2,0.11274909634115166,-0.12699586469456217,0.3922,0.4598,75.9,-2.6000000000000085,-0.03425559947299089,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,-2.6000000000000085
2019-12-04,,UC-Riverside,W,79.0,67.0,26.0,58.0,0.448,6.0,18.0,0.333,21.0,25.0,0.84,14.0,41.0,11.0,4.0,4.0,11.0,18.0,,22.0,54.0,0.407,8.0,24.0,0.333,15.0,21.0,0.714,5.0,24.0,14.0,7.0,2.0,10.0,21.0,12.0,1,7,73.0,76.0,78.33333333333333,0.10752826947505878,-0.1220350004017609,0.40033333333333326,0.4718333333333333,77.16666666666667,-2.3333333333333286,-0.030237580993520453,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,-2.3333333333333286
2019-12-07,@,UC-Irvine,W,68.0,60.0,23.0,55.0,0.418,6.0,13.0,0.462,16.0,21.0,0.762,7.0,40.0,7.0,3.0,3.0,11.0,18.0,,23.0,65.0,0.354,3.0,22.0,0.136,11.0,20.0,0.55,9.0,32.0,9.0,6.0,6.0,4.0,18.0,8.0,1,8,64.0,76.42857142857143,76.71428571428571,0.07899900238209273,-0.10123385931059248,0.4071428571428571,0.4625714285714286,76.57142857142857,-0.2857142857142776,-0.0037313432835819837,0,1,4.666666666666671,0.43418518518518523,0.06315789473684218,-0.2857142857142776
2019-12-14,,Bethune-Cookman,W,87.0,68.0,32.0,60.0,0.533,13.0,30.0,0.433,10.0,12.0,0.833,5.0,43.0,23.0,1.0,4.0,16.0,19.0,,23.0,67.0,0.343,7.0,22.0,0.318,15.0,23.0,0.652,10.0,33.0,10.0,5.0,2.0,8.0,17.0,19.0,1,9,77.5,75.375,74.625,0.06458509063242984,-0.10749421135011972,0.4085,0.449,75.0,0.75,0.01,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,0.75
2019-12-18,,Southern,W,78.0,61.0,28.0,63.0,0.444,6.0,17.0,0.353,16.0,22.0,0.727,17.0,41.0,11.0,4.0,4.0,6.0,15.0,,24.0,58.0,0.414,6.0,14.0,0.429,7.0,15.0,0.467,13.0,29.0,15.0,2.0,1.0,12.0,21.0,17.0,1,10,69.5,76.66666666666667,73.88888888888889,0.07343215963524186,-0.09698300872042992,0.4223333333333333,0.43722222222222223,75.27777777777777,2.7777777777777857,0.03690036900369015,1,0,4.666666666666671,0.43418518518518523,0.06315789473684218,2.7777777777777857
