Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,@,Saint Louis,L,67.0,89.0,24.0,52.0,0.462,12.0,27.0,0.444,7.0,9.0,0.778,5.0,23.0,16.0,4.0,5.0,18.0,16.0,,34.0,71.0,0.479,11.0,27.0,0.407,10.0,18.0,0.556,16.0,36.0,16.0,10.0,5.0,9.0,16.0,-22.0,0,1,78.0,,,,,,,,,,0,1,-5.966666666666669,0.4309,-0.0936437352864243,
2019-11-09,,UMBC,L,61.0,65.0,16.0,53.0,0.302,5.0,24.0,0.208,24.0,37.0,0.649,13.0,42.0,10.0,4.0,3.0,13.0,26.0,,19.0,55.0,0.345,6.0,21.0,0.286,21.0,37.0,0.568,14.0,41.0,5.0,3.0,1.0,10.0,28.0,-4.0,0,2,63.0,67.0,89.0,0.22378907073193233,0.057262154750044036,0.462,0.479,78.0,-22.0,-0.28205128205128205,1,0,-5.966666666666669,0.4309,-0.0936437352864243,-22.0
2019-11-11,@,Dartmouth,L,49.0,55.0,17.0,50.0,0.34,7.0,26.0,0.269,8.0,12.0,0.667,4.0,33.0,12.0,5.0,2.0,14.0,16.0,,20.0,57.0,0.351,8.0,28.0,0.286,7.0,13.0,0.538,9.0,37.0,14.0,6.0,4.0,12.0,14.0,-6.0,0,3,52.0,64.0,77.0,0.08491313789611143,0.017644469064942603,0.382,0.412,70.5,-13.0,-0.18439716312056736,0,1,-5.966666666666669,0.4309,-0.0936437352864243,-13.0
2019-11-15,@,Mercer,L,68.0,84.0,22.0,57.0,0.386,7.0,21.0,0.333,17.0,22.0,0.773,9.0,25.0,13.0,10.0,4.0,21.0,16.0,,32.0,60.0,0.533,6.0,15.0,0.4,14.0,15.0,0.933,7.0,35.0,15.0,9.0,3.0,17.0,19.0,-16.0,0,4,76.0,59.0,69.66666666666667,0.09325529891306061,0.045327312537259745,0.36800000000000005,0.3916666666666666,64.33333333333333,-10.666666666666671,-0.16580310880829024,0,1,-5.966666666666669,0.4309,-0.0936437352864243,-10.666666666666671
2019-11-20,,Florida Atlantic,W (1 OT),72.0,70.0,30.0,64.0,0.469,6.0,19.0,0.316,6.0,10.0,0.6,9.0,30.0,12.0,14.0,4.0,20.0,25.0,,23.0,52.0,0.442,5.0,16.0,0.313,19.0,30.0,0.633,8.0,31.0,9.0,9.0,2.0,21.0,17.0,2.0,1,5,71.0,61.25,73.25,0.06606747463080531,0.003881781240821336,0.37250000000000005,0.42699999999999994,67.25,-12.0,-0.17843866171003717,1,0,-5.966666666666669,0.4309,-0.0936437352864243,-12.0
2019-11-23,@,VCU,L,48.0,78.0,19.0,50.0,0.38,7.0,17.0,0.412,3.0,4.0,0.75,7.0,35.0,14.0,5.0,7.0,20.0,8.0,,28.0,76.0,0.368,9.0,30.0,0.3,13.0,16.0,0.813,17.0,40.0,16.0,15.0,8.0,8.0,9.0,-30.0,0,6,63.0,63.4,72.6,0.036633366602736084,-0.016003700946863708,0.39180000000000004,0.43,68.0,-9.199999999999996,-0.13529411764705876,0,1,-5.966666666666669,0.4309,-0.0936437352864243,-9.199999999999996
2019-11-29,,North Dakota,L,63.0,78.0,21.0,53.0,0.396,6.0,19.0,0.316,15.0,19.0,0.789,6.0,23.0,11.0,11.0,3.0,13.0,17.0,,28.0,57.0,0.491,7.0,19.0,0.368,15.0,17.0,0.882,10.0,36.0,17.0,4.0,4.0,17.0,18.0,-15.0,0,7,70.5,60.833333333333336,73.5,0.048119473512549804,-0.007401913124296722,0.3898333333333333,0.41966666666666663,67.16666666666667,-12.666666666666664,-0.1885856079404466,1,0,-5.966666666666669,0.4309,-0.0936437352864243,-12.666666666666664
2019-11-30,,Campbell,L,46.0,51.0,12.0,55.0,0.218,3.0,25.0,0.12,19.0,22.0,0.864,12.0,36.0,5.0,8.0,2.0,16.0,14.0,,18.0,47.0,0.383,6.0,18.0,0.333,9.0,11.0,0.818,7.0,29.0,10.0,8.0,3.0,15.0,16.0,-5.0,0,8,48.5,61.142857142857146,74.14285714285714,0.03694292761573764,-0.012946327421807624,0.3907142857142857,0.4298571428571428,67.64285714285714,-12.999999999999993,-0.19218585005279823,1,0,-5.966666666666669,0.4309,-0.0936437352864243,-12.999999999999993
2019-12-01,,Georgia Southern,L,57.0,72.0,21.0,58.0,0.362,8.0,29.0,0.276,7.0,11.0,0.636,7.0,28.0,12.0,5.0,7.0,20.0,18.0,,26.0,60.0,0.433,6.0,23.0,0.261,14.0,20.0,0.7,10.0,36.0,9.0,14.0,3.0,13.0,15.0,-15.0,0,9,64.5,59.25,71.25,0.02191867587079499,-0.008261204209151718,0.369125,0.424,65.25,-12.0,-0.1839080459770115,1,0,-5.966666666666669,0.4309,-0.0936437352864243,-12.0
2019-12-04,@,Florida International,L,53.0,71.0,19.0,68.0,0.279,5.0,33.0,0.152,10.0,14.0,0.714,18.0,48.0,10.0,7.0,5.0,23.0,12.0,,24.0,66.0,0.364,12.0,39.0,0.308,11.0,19.0,0.579,11.0,40.0,19.0,11.0,8.0,14.0,15.0,-18.0,0,10,62.0,59.0,71.33333333333333,0.031108406257693344,-0.014458941543140924,0.36833333333333335,0.425,65.16666666666667,-12.333333333333329,-0.18925831202046028,0,1,-5.966666666666669,0.4309,-0.0936437352864243,-12.333333333333329
