Date,Loc,Opp_name,W,Score,Opp_score,FG,FGA,FG_Pct,Threes,ThreesA,Threes_Pct,FT,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF,22,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_Threes,Opp_ThreesA,Opp_Threes_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,result,Win,Game_Number,Mean_Score,Avg_Score,Opp_Avg_Score,Avg_Threes,Opp_Avg_Threes,Avg_FG_Pct,Opp_Avg_FG_Pct,Avg_Mean_Score,Avg_Result,Pct_Margin,Home,Away,Avg_Result_Fin,Opp_Avg_FG_Pct_Fin,Pct_Margin_Fin,Avg_Result_NC
2019-11-05,,William & Mary,L,56.0,70.0,20.0,63.0,0.317,2.0,12.0,0.167,14.0,21.0,0.667,10.0,35.0,6.0,5.0,5.0,11.0,16.0,,24.0,56.0,0.429,8.0,24.0,0.333,14.0,20.0,0.7,6.0,39.0,15.0,4.0,4.0,15.0,14.0,-14.0,0,1,63.0,,,,,,,,,,1,0,-10.966666666666669,0.4659333333333335,-0.15722819593787338,
2019-11-09,@,Wofford,L,61.0,89.0,17.0,48.0,0.354,6.0,15.0,0.4,21.0,26.0,0.808,8.0,28.0,11.0,2.0,3.0,11.0,20.0,,28.0,58.0,0.483,15.0,37.0,0.405,18.0,21.0,0.857,6.0,24.0,19.0,8.0,7.0,4.0,22.0,-28.0,0,2,75.0,56.0,70.0,-0.20638150496103141,0.029332780753254295,0.317,0.429,63.0,-14.0,-0.2222222222222222,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-14.0
2019-11-13,@,Boston College,L,33.0,59.0,12.0,48.0,0.25,4.0,19.0,0.211,5.0,8.0,0.625,9.0,39.0,6.0,6.0,3.0,28.0,15.0,,24.0,65.0,0.369,3.0,25.0,0.12,8.0,13.0,0.615,10.0,36.0,13.0,16.0,3.0,13.0,13.0,-26.0,0,3,46.0,58.5,79.5,-0.10839615697568344,0.12043790204705485,0.3355,0.45599999999999996,69.0,-21.0,-0.30434782608695654,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-21.0
2019-11-18,@,Belmont,L,51.0,90.0,19.0,58.0,0.328,5.0,19.0,0.263,8.0,12.0,0.667,5.0,28.0,8.0,6.0,4.0,19.0,16.0,,35.0,71.0,0.493,13.0,32.0,0.406,7.0,11.0,0.636,8.0,43.0,21.0,10.0,6.0,11.0,11.0,-39.0,0,4,70.5,50.0,72.66666666666667,-0.07352436210388857,0.04427380303372608,0.307,0.427,61.333333333333336,-22.66666666666667,-0.36956521739130443,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-22.66666666666667
2019-11-20,@,Saint Louis,L,55.0,67.0,21.0,51.0,0.412,6.0,17.0,0.353,7.0,12.0,0.583,7.0,25.0,13.0,7.0,4.0,17.0,15.0,,27.0,54.0,0.5,7.0,22.0,0.318,6.0,12.0,0.5,9.0,29.0,16.0,9.0,5.0,16.0,12.0,-12.0,0,5,61.0,50.25,77.0,-0.059793018820306465,0.06634576776624129,0.31225,0.4435,63.625,-26.75,-0.4204322200392927,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-26.75
2019-11-23,,Eastern Washington,L,74.0,90.0,20.0,61.0,0.328,3.0,17.0,0.176,31.0,37.0,0.838,21.0,43.0,12.0,6.0,6.0,16.0,24.0,,27.0,58.0,0.466,15.0,32.0,0.469,21.0,29.0,0.724,11.0,32.0,21.0,10.0,4.0,15.0,26.0,-16.0,0,6,82.0,51.2,75.0,-0.04399311210388862,0.05447563789611143,0.3322,0.4548,63.1,-23.799999999999997,-0.3771790808240887,1,0,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-23.799999999999997
2019-12-02,@,North Florida,L,70.0,93.0,24.0,52.0,0.462,4.0,17.0,0.235,18.0,25.0,0.72,9.0,25.0,14.0,8.0,3.0,14.0,15.0,,29.0,55.0,0.527,17.0,35.0,0.486,18.0,20.0,0.9,8.0,30.0,22.0,8.0,4.0,15.0,18.0,-23.0,0,7,81.5,55.0,77.5,-0.0771607257402522,0.08002402499288563,0.3315,0.4566666666666667,66.25,-22.5,-0.33962264150943394,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-22.5
2019-12-05,,Elon,W (1 OT),70.0,66.0,19.0,55.0,0.345,10.0,25.0,0.4,22.0,30.0,0.733,11.0,34.0,12.0,5.0,5.0,9.0,15.0,,23.0,54.0,0.426,13.0,29.0,0.448,7.0,11.0,0.636,5.0,26.0,14.0,3.0,3.0,15.0,22.0,4.0,1,8,68.0,57.142857142857146,79.71428571428571,-0.08852436210388856,0.10583047660578893,0.35014285714285714,0.46671428571428575,68.42857142857143,-22.571428571428562,-0.3298538622129435,1,0,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-22.571428571428562
2019-12-14,@,Florida Atlantic,L,64.0,81.0,24.0,49.0,0.49,7.0,18.0,0.389,9.0,15.0,0.6,8.0,27.0,12.0,1.0,3.0,16.0,20.0,,28.0,52.0,0.538,9.0,21.0,0.429,16.0,23.0,0.696,6.0,27.0,15.0,7.0,1.0,5.0,16.0,-17.0,0,9,72.5,58.75,78.0,-0.05820521316771837,0.12397563789611143,0.34950000000000003,0.46162500000000006,68.375,-19.25,-0.28153564899451555,0,1,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-19.25
2019-12-18,,Valparaiso,L,72.0,87.0,30.0,60.0,0.5,8.0,20.0,0.4,4.0,7.0,0.571,10.0,28.0,15.0,3.0,3.0,16.0,16.0,,31.0,59.0,0.525,12.0,29.0,0.414,13.0,17.0,0.765,11.0,28.0,21.0,8.0,6.0,9.0,13.0,-15.0,0,10,79.5,59.333333333333336,78.33333333333333,-0.04947941828366381,0.1120075527897284,0.36511111111111116,0.4701111111111112,68.83333333333333,-18.999999999999993,-0.2760290556900726,1,0,-10.966666666666669,0.4659333333333335,-0.15722819593787338,-18.999999999999993
